事業所規模,産業,夏季／1人平均支給額(円),夏季／1人平均支給額／前年比(％),夏季／支給事業所数割合(％),夏季／支給労働者数割合(％),夏季／平均支給月数(か月),夏季／平均支給月数／前年月数差(か月),冬季／1人平均支給額(円),冬季／1人平均支給額／前年比(％),冬季／支給事業所数割合(％),冬季／支給労働者数割合(％),冬季／平均支給月数(か月),冬季／平均支給月数／前年月数差(か月)
30人以上,RS Ｒ一括分,771492,16.9,85.6,87.6,2.11,0.49,712951,12.2,100,100,1.98,0.37
30人以上,L71 学術・開発研究機関,719308,-2.1,100,100,1.74,-0.23,742203,-5.2,100,100,1.97,-0.26
30人以上,"L72,74 専門サービス業，技術サービス業",735759,-9.5,81.4,87,1.58,0.12,765900,3.8,76.8,81.7,1.94,0.41
30人以上,L73 広告業,659589,15.4,75.4,48.5,0.76,-0.24,342203,-33.9,79.6,69.6,0.88,-0.4
30人以上,N78 洗濯・理容・美容・浴場業,164910,-0.6,42,18.9,0.78,0.02,172269,-0.3,100,100,0.82,0.03
30人以上,"R89,90 自動車整備業、機械等修理業",930481,54.3,100,100,2.72,1.51,879749,74.8,100,100,2.34,1.39
30人以上,E25-31 ［特掲積上げ］機械関連製造業,1042023,-1.7,82.2,89.1,1.66,0.04,1035735,10.1,73.5,93,1.76,0.24
,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成29年年報,,,,,,,,,,,,,
第５表　夏・冬季賞与の産業別支給状況（事業所規模30人以上）,,,,,,,,,,,,,
