行,経度,緯度,施設名,郵便番号,所在地,電話番号,URL
33,139.462376,35.539871,高ヶ坂ふたば保育園,194-0014,町田市高ヶ坂7-26-6,042-720-8215,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/5/2700.html
34,139.465725,35.549212,スナグル・ポット保育ルーム,194-0014,町田市高ヶ坂4-16-7,042-720-5235,https://kosodate-machida.tokyo.jp/mokuteki/4/2/2/4234.html
35,139.461317,35.545443,高ヶ坂こども園,194-0014,町田市高ヶ坂5-6-19,042-728-0321,http://www.kougasaka.ac.jp/
36,139.465131,35.541577,たちはな幼稚園,194-0014,町田市高ヶ坂976-1,042-726-4984,http://www.tachihana.ac.jp/
37,139.457026,35.542249,町田こひつじ幼稚園,194-0014,町田市高ヶ坂2-37 高ヶ坂2-37-24 ,042-723-3687,http://m-kohitsuji.xsrv.jp/wp/
38,139.459834,35.535159,市立金森保育園,194-0015,町田市金森東1-12-16,042-723-3664,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/5/2696.html
39,139.467873,35.527732,町田南保育園,194-0015,町田市金森東4-36-8,042-796-8346,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/5/2705.html
40,139.464879,35.530374,ねむの木保育園,194-0015,町田市金森東3-17-25,042-706-0733,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/5/2707.html
41,139.448368,35.547981,未来保育ＣＬＵＢ,194-0021,町田市中町1-31-4,042-729-8228,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/3/2685.html
42,139.435735,35.553393,森野三丁目保育園,194-0022,町田市森野3-11-16,042-710-7888,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/3/2687.html
43,139.433586,35.550598,光の森保育園,194-0022,町田市森野5-21-5,042-720-8423,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/3/2679.html
44,139.432499,35.554043,もりの聖愛保育園,194-0022,町田市森野4-8-10,042-722-0352,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/3/2686.html
45,139.441363,35.554043,町田文化幼稚園,194-0023,町田市旭町1-17  ,042-726-1008,http://machidabunkayouchien.com/
46,139.459964,35.552209,ぐりーんぴーす家庭保育室 ,194-0031,町田市南大谷1165-6,042-723-5221,https://kosodate-machida.tokyo.jp/mokuteki/4/2/2/4229.html
47,139.450687,35.570029,草笛保育園,194-0032,町田市本町田3133-5,042-725-2652,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/3/2683.html
48,139.440312,35.567231,わかば保育園,194-0032,町田市本町田2591-20,042-726-1007,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/3/2692.html
49,139.453892,35.557782,本町田わかくさ保育園,194-0032,町田市本町田29-8,042-723-2789,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/3/2680.html
50,139.444906,35.570148,開進こども保育園,194-0032,町田市本町田3350-38,042-711-6901,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/3/2681.html
51,139.437682,35.565896,さふらん,194-0032,町田市本町田2441,042-791-0036,http://www.safuran.ed.jp/
52,139.444998,35.56982,開進認定こども園,194-0032,町田市本町田3350-24,042-725-7851,http://kaishin.kids.coocan.jp/
53,139.451611,35.564293,山ゆり幼稚園,194-0032,町田市本町田3450,042-723-2474,http://www.it-service.co.jp/9059c.html
54,139.440638,35.570013,町田こばと幼稚園,194-0032,町田市本町田2904 ,042-723-1494,http://www.m-kobato.ed.jp/
55,139.423931,35.562775,境川幼稚園,194-0033,町田市木曽町941,042-791-3680,http://www.sakaigawa.jp/
56,139.424901,35.577432,しぜんの国保育園,194-0035,町田市忠生2-5-3,042-793-4169,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/2/2729.html
57,139.425635,35.579022,町田自然幼稚園,194-0035,町田市忠生2-7-5,042-791-0015,http://www.seiwagakuen.ed.jp/sizen/
58,139.425104,35.556391,すみれ保育園,194-0036,町田市木曽東2-8-1,042-723-3229,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/2/2730.html
59,139.431213,35.566329,木曽保育園,194-0036,町田市木曽東4-13-7,042-792-0361,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/2/2723.html
60,139.426761,35.555708,すずらん保育園,194-0036,町田市木曽東2-3-22,042-728-0270,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/2/2731.html
61,139.429033,35.560412,きそ幼稚園,194-0036,町田市木曽東1-27-16,042-722-5144,http://www.kiso.ed.jp/
62,139.415383,35.566931,ひかりの子保育園,194-0037,町田市木曽西1-34-1,042-793-6836,https://kosodate-machida.tokyo.jp/soshiki/4/3/4/1_1/4/1297.html
63,139.41562,35.572864,ひかりの子保育園　分園,194-0037,町田市木曽西3-9-7,042-793-1377,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/2/2721.html
64,139.424047,35.566658,第二わかくさ保育園,194-0037,町田市木曽西5-1-1,042-794-4666,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/2/2720.html
65,139.419106,35.572981,アスク木曽西保育園,194-0037,町田市木曽西3-18-2,042-789-2320,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/2/2719.html
66,139.41157,35.57107,まなざし保育園,194-0038,町田市根岸1-2-3,042-793-3216,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/2/2727.html
67,139.411095,35.575133,つぼみ保育室,194-0038,町田市根岸2-16-5,042-793-0933,https://kosodate-machida.tokyo.jp/mokuteki/4/2/2/4226.html
68,139.459208,35.562641,玉川さくら保育園,194-0041,町田市玉川学園3-35-48,042-725-2166,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/3/2691.html
69,139.453594,35.564061,Ａｌｏｈａ　Ｋｅｉｋｉ家庭保育室,194-0041,町田市玉川学園4-23-14,042-729-7853,https://kosodate-machida.tokyo.jp/mokuteki/4/2/2/4228.html
70,139.459238,35.562194,玉川中央幼稚園,194-0041,町田市玉川学園2-3-27,042-725-8446,http://www.tamachu.jp/
71,139.468992,35.568721,玉川学園幼稚部,194-0041,町田市玉川学園6-1ー1,042-739-8623,http://www.tamagawa.jp/academy/
72,139.478327,35.549706,成瀬台幼稚園,194-0043,町田市成瀬台2-2-12,042-726-9123,http://www.narusedai-youchien.com/
73,139.475431,35.540699,町田わかくさ保育園,194-0044,町田市成瀬7-10-7,042-728-0288,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/5/2709.html
74,139.472494,35.548265,成瀬くりの家保育園,194-0044,町田市成瀬1-5-1,042-710-8177,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/5/2702.html
75,139.473519,35.546183,こざくら保育室,194-0044,町田市成瀬1-2-8　エクセルメゾン弐-館101,042-725-1378,https://kosodate-machida.tokyo.jp/mokuteki/4/2/2/4232.html
76,139.472019,35.542641,第一富士幼稚園,194-0044,町田市成瀬1416,042-723-4055,http://www2.tbb.t-com.ne.jp/dai1fuji/index.html
77,139.471947,35.537295,町田わかくさ保育園　分園,194-0045,町田市南成瀬1-8-7　成和ビル1Ｆ,042-850-9593,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/5/2709.html
78,139.4722,35.536505,都市型保育園ポポラー東京成瀬園,194-0045,町田市南成瀬1-3-5　そうてつローゼン成瀬SCアネックスビル2階,042-710-5150,https://kosodate-machida.tokyo.jp/mokuteki/4/8/2767.html
79,139.398557,35.590961,Ｍａｍｍｙ’ｓ保育ルーム,194-0201,町田市上小山田町442-24,042-860-0325,https://kosodate-machida.tokyo.jp/mokuteki/4/2/2/4221.html
80,139.402906,35.589178,桜台保育園,194-0204,町田市小山田桜台1-18,042-797-5131,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/2/2728.html
81,139.333732,35.604348,市立こうさぎ保育園,194-0211,町田市相原町792,042-772-3034,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/1/2714.html
82,139.297235,35.609492,クローバー保育園,194-0211,町田市相原町3338-1,042-782-4401,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/1/2710.html
83,139.292843,35.612473,相原幼稚園,194-0211,町田市 相原町4445ー3,042-782-2104,http://aiharayouchien.com/
84,139.381545,35.59666,小山保育園,194-0212,町田市小山町954,042-797-3042,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/1/2716.html
85,139.364848,35.601385,多摩境敬愛保育園,194-0212,町田市小山町4464,042-775-1470,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/1/2718.html
86,139.359922,35.60167,サンフィール保育園,194-0212,町田市小山町4604-2,042-700-8852,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/1/2717.html
87,139.380761,35.591266,かえで保育園,194-0212,町田市小山町775,042-798-0511,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/1/2711.html
88,139.37764,35.59401,子どもの森保育園　分園,194-0212,町田市小山町1016,042-798-0603,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/2/2724.html
89,139.362544,35.599929,サンフィール保育園　分園,194-0212,町田市小山町3166-1,042-775-6300,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/1/2717.html
90,139.353431,35.601559,プチコパン,194-0212,町田市小山町3651-1,042-851-4300,https://kosodate-machida.tokyo.jp/mokuteki/4/2/2/4224.html
91,139.381544,35.596999,ティンクほいくしつ,194-0212,町田市小山町1618-103,042-719-6245,https://kosodate-machida.tokyo.jp/mokuteki/4/2/2/4235.html
92,139.359682,35.605237,町田すみれ幼稚園,194-0212,町田市小山町4365ー1 ,042‐773-1151,http://machida-sumire.jp/
93,139.401649,35.583017,町田ときわ保育園,194-0213,町田市常盤町3465-1,042-797-3345,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/2/2726.html
94,139.395109,35.58846,子どもの森保育園,194-0213,町田市常盤町2970-1,042-798-7321,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/2/2724.html
95,139.393163,35.589486,こっこのもり保育園,194-0213,町田市常盤町3028-3,042-797-0611,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/2/2725.html
96,139.393599,35.589587,子どもの森こども園,194-0213,町田市常盤町3031-2,042-797-7631,http://www.kodomonomori.org/
97,139.405668,35.583651,桜美林幼稚園,194-0213,町田市常盤町3624-1  ,042-797-0796,http://kids.obirin.ed.jp/
98,139.366466,35.602584,敬愛桃の実保育園,194-0215,町田市小山ヶ丘3-28,042-770-1113,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/1/2713.html
99,139.385138,35.596391,もみの木保育園,194-0215,町田市小山ヶ丘1-3-2,042-860-0515,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/1/2715.html
100,139.383092,35.599042,かりん保育園,194-0215,町田市小山ヶ丘1-10-2,042-860-0250,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/1/2712.html
101,139.350763,35.606576,種まく人,194-0215,町田市小山ヶ丘5-42-12,042-771-2442,https://kosodate-machida.tokyo.jp/mokuteki/4/2/2/4225.html
102,139.359661,35.60522,町田サレジオ幼稚園,194-0215,町田市小山ヶ丘4-6-2  ,042-775-3120,http://machida-salesio.ed.jp/
103,139.366452,35.602571,町田多摩境雲母(きらら)保育園,194-0215,町田市小山ヶ丘3-28　アパガーデンパレス多摩境1F,042-703-7985,https://kosodate-machida.tokyo.jp/mokuteki/4/8/2762.html
104,139.457197,35.599449,和光鶴川幼稚園,195-0051,町田市真光寺町1271-1,042-735-2291,http://www.wako.ed.jp/k2/
105,139.475735,35.593517,東平ひまわり保育園,195-0052,町田市広袴町543-1,042-736-2266,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/4/2738.html
106,139.475509,35.593741,東平しらゆり保育園,195-0052,町田市広袴町542,042-736-2276,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/4/2737.html
107,139.481823,35.587618,みどりの森保育園,195-0053,町田市能ヶ谷4-7-19,042-708-8161,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/4/2741.html
108,139.480407,35.590683,ななくさ家庭保育室,195-0053,町田市能ヶ谷7-23-31　きのかの家102,042-738-7059,https://kosodate-machida.tokyo.jp/mokuteki/4/2/2/4222.html
109,139.485938,35.589157,にじの丘家庭保育室,195-0053,町田市能ヶ谷6-28-20,042-736-7699,https://kosodate-machida.tokyo.jp/mokuteki/4/2/2/4233.html
110,139.490731,35.587433,ゆりかご保育室,195-0053,町田市能ヶ谷5-8-11,042-734-4752,https://kosodate-machida.tokyo.jp/mokuteki/4/2/2/4227.html
111,139.484809,35.590922,鶴川平和台幼稚園,195-0053,町田市能ヶ谷6-41-1,042-735-4918,http://www.tsurukawa-heiwadai.ed.jp/
112,139.481498,35.583366,木下の保育園　鶴川,195-0053,町田市能ヶ谷1-6-2　小田急マルシェ鶴川2階,042-708-1451,https://kosodate-machida.tokyo.jp/mokuteki/4/8/2763.html
113,139.493673,35.579823,三輪保育園,195-0054,町田市三輪町1720-8,044-989-4639,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/4/2742.html
114,139.493039,35.581863,三輪あいこう保育園,195-0054,町田市三輪町82-7,044-987-9871,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/4/2743.html
115,139.493531,35.579872,三輪保育園　分園,195-0054,町田市三輪町1760-3,044-988-8287,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/4/2742.html
116,139.494811,35.582523,鶴川幼稚園鶴川女子短期大学附属幼稚園,195-0054,町田市三輪町122 ,044-988-4074,http://www.meisen.ac.jp/fuzokuyouchien/index.php
117,139.485193,35.574053,ほほえみ家庭保育室,195-0055,町田市三輪緑山3-2106-25,044-712-7900,https://kosodate-machida.tokyo.jp/mokuteki/4/2/2/4231.html
118,139.463035,35.597577,花の木保育園,195-0057,町田市真光寺3-1-6,042-734-6113,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/4/2736.html
119,139.478185,35.587424,ききょう保育園,195-0061,町田市鶴川1-16-7,042-735-2242,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/4/2740.html
120,139.47434,35.586085,慶松幼稚園,195-0061,町田市鶴川1-5ー2 ,042-735-3252,http://www.keishou.jp/
121,139.467966,35.588694,市立大蔵保育園,195-0062,町田市大蔵町1984,042-735-3600,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/4/2746.html
122,139.474076,35.585371,つるかわ保育園,195-0062,町田市大蔵町2177-2,042-735-5562,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/4/2748.html
123,139.460624,35.589396,井の花保育園,195-0062,町田市大蔵町530-1,042-708-9541,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/4/2739.html
124,139.465382,35.587947,ぽっぽの森保育園,195-0062,町田市大蔵町410,042-860-1515,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/4/2747.html
125,139.475282,35.584426,鶴川シオン幼稚園,195-0062,町田市大蔵町2216,042-735-3136,https://t-sion.org/
126,139.442773,35.586821,おひさま共同保育園,195-0063,町田市野津田町498-1,042-736-6648,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/4/2744.html
127,139.458143,35.588125,小野路保育園　第一分園,195-0063,町田市野津田町1084-1,042-708-0231,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/4/2745.html
128,139.456613,35.591409,鶴川若竹幼稚園,195-0063,町田市野津田町1303 ,042-735-5210,http://www.ans.co.jp/k/t-wakatake/
129,139.440479,35.598551,小野路保育園,195-0064,町田市小野路町1416,042-735-2314,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/4/2745.html
130,139.454497,35.568063,ゆうき山保育園,195-0071,町田市金井町2938-14,042-737-7607,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/4/2749.html
131,139.45046,35.572629,藤の台幼稚園,195-0071,町田市金井町3040ー2  ,042-725-5472,http://www.fujikids.sakura.ne.jp/
132,139.468141,35.581676,ひだまり保育室,195-0072,町田市金井4-19-37,042-737-4630,https://kosodate-machida.tokyo.jp/mokuteki/4/2/2/4230.html
133,139.434607,35.569883,たかね保育園,195-0074,町田市山崎町2160,042-791-2705,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/2/2732.html
134,139.430424,35.580771,ユニケ保育園,195-0074,町田市山崎町457,042-791-0800,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/2/2735.html
135,139.432977,35.575358,たかね第二保育園,195-0074,町田市山崎町1555,042-793-6736,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/2/2733.html
136,139.436083,35.571274,カナリヤ保育園,195-0074,町田市山崎町2130,042-794-6590,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/2/2722.html
137,139.431505,35.568435,正和幼稚園,195-0074,町田市山崎町2261-1,042-791-2746,http://www.seiwagakuen.ed.jp/seiwa/
138,139.435374,35.573008,カナリヤこども園,195-0074,町田市山崎町2088-1,042-791-2290,http://www.diana.dti.ne.jp/~kanariya/
139,139.428988,35.568663,市立山崎保育園,195-0075,町田市山崎1-2-14,042-792-0155,https://kosodate-machida.tokyo.jp/mokuteki/4/7/2/2/2734.html
