,参議院議員選挙/調査数,参議院議員選挙/ネット選挙運動の規制が緩和され、より自由に選挙運動ができることが望ましい,参議院議員選挙/ネット選挙運動の規制をより強化する,参議院議員選挙/現状のままでよい,参議院議員選挙/わからない,東京都知事選挙/調査数,東京都知事選挙/ネット選挙運動の規制が緩和され、より自由に選挙運動ができることが望ましい,東京都知事選挙/ネット選挙運動の規制をより強化する,東京都知事選挙/現状のままでよい,東京都知事選挙/わからない
性/年齢別女性19歳,100.0,33.3,-,-,66.7,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
性/年齢別女性20歳代,54,18,3,21,12,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
性/年齢別女性20歳代,100.0,33.3,5.6,38.9,22.2,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
性/年齢別女性30歳代,114,37,5,44,28,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
性/年齢別女性30歳代,100.0,32.5,4.4,38.6,24.6,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
性/年齢別女性40歳代,196,61,15,56,64,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
性/年齢別女性40歳代,100.0,31.1,7.7,28.6,32.7,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
性/年齢別女性50歳代,139,29,9,52,49,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
性/年齢別女性50歳代,100.0,20.9,6.5,37.4,35.3,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
性/年齢別女性60歳代,165,19,4,55,87,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
性/年齢別女性60歳代,100.0,11.5,2.4,33.3,52.7,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
性/年齢別女性70歳代,101,17,5,19,60,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
性/年齢別女性70歳代,100.0,16.8,5.0,18.8,59.4,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
性/年齢別女性80歳以上,33,2,1,4,26,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
性/年齢別女性80歳以上,100.0,6.1,3.0,12.1,78.8,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
未・既婚別未婚,230,82,16,84,48,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
未・既婚別未婚,100.0,35.7,7.0,36.5,20.9,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
未・既婚別既婚（死別・離別を含む）,1286,354,64,380,488,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
未・既婚別既婚（死別・離別を含む）,100.0,27.5,5.0,29.5,37.9,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
子供の有無別子供はいない,282,108,17,97,60,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
子供の有無別子供はいない,100.0,38.3,6.0,34.4,21.3,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
子供の有無別未就学（～６歳）,100,40,8,34,18,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
子供の有無別未就学（～６歳）,100.0,40.0,8.0,34.0,18.0,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
子供の有無別小・中・高校生,344,135,18,94,97,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
子供の有無別小・中・高校生,100.0,39.2,5.2,27.3,28.2,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
子供の有無別大学生・大学院生・短大生・専門学校生,128,39,10,36,43,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,30.5,7.8,28.1,33.6,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
子供の有無別学校教育終了,677,129,30,206,312,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
子供の有無別学校教育終了,100.0,19.1,4.4,30.4,46.1,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
子供の有無別その他,55,10,3,14,28,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
子供の有無別その他,100.0,18.2,5.5,25.5,50.9,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
職業別自営業（計）,125,38,5,46,36,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
職業別自営業（計）,100.0,30.4,4.0,36.8,28.8,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
職業別農林漁業,1,-,-,1,-,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
職業別農林漁業,100.0,-,-,100.0,-,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
職業別商工・サービス業,38,11,2,10,15,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
職業別商工・サービス業,100.0,28.9,5.3,26.3,39.5,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
職業別その他自由業,86,27,3,35,21,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
職業別その他自由業,100.0,31.4,3.5,40.7,24.4,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
職業別お勤め（計）,662,258,43,202,159,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
職業別お勤め（計）,100.0,39.0,6.5,30.5,24.0,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
職業別経営・管理職,65,26,7,21,11,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
職業別経営・管理職,100.0,40.0,10.8,32.3,16.9,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
職業別専門職・技術職,164,76,10,41,37,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
職業別専門職・技術職,100.0,46.3,6.1,25.0,22.6,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
職業別事務職,183,79,6,61,37,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
職業別事務職,100.0,43.2,3.3,33.3,20.2,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
職業別労務職・技能職,51,16,6,16,13,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
職業別労務職・技能職,100.0,31.4,11.8,31.4,25.5,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
職業別販売・サービス職,199,61,14,63,61,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
職業別販売・サービス職,100.0,30.7,7.0,31.7,30.7,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
職業別その他（計）,729,140,32,216,341,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
職業別その他（計）,100.0,19.2,4.4,29.6,46.8,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
職業別生徒・学生,28,13,1,10,4,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
職業別生徒・学生,100.0,46.4,3.6,35.7,14.3,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
職業別専業主婦（夫）,360,75,16,118,151,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
職業別専業主婦（夫）,100.0,20.8,4.4,32.8,41.9,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
職業別その他,19,3,1,8,7,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
職業別その他,100.0,15.8,5.3,42.1,36.8,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
職業別無職（年金受給者含む）,322,49,14,80,179,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
職業別無職（年金受給者含む）,100.0,15.2,4.3,24.8,55.6,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし,ＰＤＦなし
投票所までの時間別５分以内,379,134,26,104,115,379,134,26,104,115
投票所までの時間別５分以内,100.0,35.4,6.9,27.4,30.3,100.0,35.4,6.9,27.4,30.3
投票所までの時間別10分以内,890,265,41,271,313,890,265,41,271,313
投票所までの時間別10分以内,100.0,29.8,4.6,30.4,35.2,100.0,29.8,4.6,30.4,35.2
投票所までの時間別20分以内,231,34,10,85,102,231,34,10,85,102
投票所までの時間別20分以内,100.0,14.7,4.3,36.8,44.2,100.0,14.7,4.3,36.8,44.2
投票所までの時間別30分以内,12,2,2,3,5,12,2,2,3,5
投票所までの時間別30分以内,100.0,16.7,16.7,25.0,41.7,100.0,16.7,16.7,25.0,41.7
投票所までの時間別30分を超える,3,-,1,1,1,3,-,1,1,1
投票所までの時間別30分を超える,100.0,-,33.3,33.3,33.3,100.0,-,33.3,33.3,33.3
投票所までの時間別わからない,1,1,-,-,-,1,1,-,-,-
投票所までの時間別わからない,100.0,100.0,-,-,-,100.0,100.0,-,-,-
地域別区部（計）,1151,341,64,353,393,1151,341,64,353,393
地域別区部（計）,100.0,29.6,5.6,30.7,34.1,100.0,29.6,5.6,30.7,34.1
地域別センターコア,326,123,30,96,77,326,123,30,96,77
地域別センターコア,100.0,37.7,9.2,29.4,23.6,100.0,37.7,9.2,29.4,23.6
地域別区部東部・北部エリア,339,92,15,94,138,339,92,15,94,138
地域別区部東部・北部エリア,100.0,27.1,4.4,27.7,40.7,100.0,27.1,4.4,27.7,40.7
地域別区部西部・南部エリア,486,126,19,163,178,486,126,19,163,178
地域別区部西部・南部エリア,100.0,25.9,3.9,33.5,36.6,100.0,25.9,3.9,33.5,36.6
地域別市郡部（計）,365,95,16,111,143,365,95,16,111,143
地域別市郡部（計）,100.0,26.0,4.4,30.4,39.2,100.0,26.0,4.4,30.4,39.2
地域別多摩東部エリア,114,28,7,40,39,114,28,7,40,39
地域別多摩東部エリア,100.0,24.6,6.1,35.1,34.2,100.0,24.6,6.1,35.1,34.2
地域別多摩中央部北エリア,60,18,4,16,22,60,18,4,16,22
地域別多摩中央部北エリア,100.0,30.0,6.7,26.7,36.7,100.0,30.0,6.7,26.7,36.7
地域別多摩中央部南エリア,166,42,4,50,70,166,42,4,50,70
地域別多摩中央部南エリア,100.0,25.3,2.4,30.1,42.2,100.0,25.3,2.4,30.1,42.2
地域別多摩西部エリア,25,7,1,5,12,25,7,1,5,12
地域別多摩西部エリア,100.0,28.0,4.0,20.0,48.0,100.0,28.0,4.0,20.0,48.0
選挙への関心度別関心があった（計）,1226,366,71,363,426,1345,388,76,409,472
選挙への関心度別関心があった（計）,100.0,29.9,5.8,29.6,34.7,100.0,28.8,5.7,30.4,35.1
選挙への関心度別関心があった,612,162,25,193,232,740,197,30,228,285
選挙への関心度別関心があった,100.0,26.5,4.1,31.5,37.9,100.0,26.6,4.1,30.8,38.5
選挙への関心度別やや関心があった,614,204,46,170,194,605,191,46,181,187
選挙への関心度別やや関心があった,100.0,33.2,7.5,27.7,31.6,100.0,31.6,7.6,29.9,30.9
選挙への関心度別関心がなかった（計）,86,16,1,34,35,47,11,-,16,20
選挙への関心度別関心がなかった（計）,100.0,18.6,1.2,39.5,40.7,100.0,23.4,-,34.0,42.6
選挙への関心度別あまり関心がなかった,67,12,1,25,29,38,9,-,13,16
選挙への関心度別あまり関心がなかった,100.0,17.9,1.5,37.3,43.3,100.0,23.7,-,34.2,42.1
選挙への関心度別関心がなかった,19,4,-,9,6,9,2,-,3,4
選挙への関心度別関心がなかった,100.0,21.1,-,47.4,31.6,100.0,22.2,-,33.3,44.4
選挙への関心度別どちらともいえない,204,54,8,67,75,124,37,4,39,44
選挙への関心度別どちらともいえない,100.0,26.5,3.9,32.8,36.8,100.0,29.8,3.2,31.5,35.5
選挙への関心度別わからない,-,-,-,-,-,,-,-,-,-
選挙への関心度別わからない,-,-,-,-,-,-,-,-,-,-
投票への意識別投票するべき（計）,1358,394,75,409,480,1366,395,76,415,480
投票への意識別投票するべき（計）,100.0,29.0,5.5,30.1,35.3,100.0,28.9,5.6,30.4,35.1
投票への意識別必ず投票するべき,590,152,32,179,227,608,157,30,187,234
投票への意識別必ず投票するべき,100.0,25.8,5.4,30.3,38.5,100.0,25.8,4.9,30.8,38.5
投票への意識別可能な限り投票するべき,768,242,43,230,253,758,238,46,228,246
投票への意識別可能な限り投票するべき,100.0,31.5,5.6,29.9,32.9,100.0,31.4,6.1,30.1,32.5
投票への意識別投票するのもしないのも自由,150,40,4,53,53,141,39,3,47,52
投票への意識別投票するのもしないのも自由,100.0,26.7,2.7,35.3,35.3,100.0,27.7,2.1,33.3,36.9
投票への意識別その他,-,-,-,-,-,,-,-,-,-
投票への意識別その他,-,-,-,-,-,-,-,-,-,-
投票への意識別わからない,8,2,1,2,3,9,2,1,2,4
投票への意識別わからない,100.0,25.0,12.5,25.0,37.5,100.0,22.2,11.1,22.2,44.4
投票への参加状況別投票した（計）,1435,408,78,450,499,1491,432,79,455,525
投票への参加状況別投票した（計）,100.0,28.4,5.4,31.4,34.8,100.0,29.0,5.3,30.5,35.2
投票への参加状況別投票日に投票した,1226,330,66,390,440,1254,340,65,394,455
投票への参加状況別投票日に投票した,100.0,26.9,5.4,31.8,35.9,100.0,27.1,5.2,31.4,36.3
投票への参加状況別期日前投票（又は不在者投票等）をした,209,78,12,60,59,237,92,14,61,70
投票への参加状況別期日前投票（又は不在者投票等）をした,100.0,37.3,5.7,28.7,28.2,100.0,38.8,5.9,25.7,29.5
投票への参加状況別投票しなかった,80,28,1,14,37,24,3,1,9,11
投票への参加状況別投票しなかった,100.0,35.0,1.3,17.5,46.3,100.0,12.5,4.2,37.5,45.8
投票への参加状況別答えたくない,1,-,1,-,-,1,1,-,-,-
投票への参加状況別答えたくない,100.0,-,100.0,-,-,100.0,100.0,-,-,-
新聞の定期購読別定期購読している,1123,305,67,347,404,1123,305,67,347,404
新聞の定期購読別定期購読している,100.0,27.2,6.0,30.9,36.0,100.0,27.2,6.0,30.9,36.0
新聞の定期購読別定期購読していない,393,131,13,117,132,393,131,13,117,132
新聞の定期購読別定期購読していない,100.0,33.3,3.3,29.8,33.6,100.0,33.3,3.3,29.8,33.6
インターネットの利用有無別インターネットを利用している,882,361,58,285,178,882,361,58,285,178
インターネットの利用有無別インターネットを利用している,100.0,40.9,6.6,32.3,20.2,100.0,40.9,6.6,32.3,20.2
インターネットの利用有無別インターネットを利用していない,634,75,22,179,358,634,75,22,179,358
インターネットの利用有無別インターネットを利用していない,100.0,11.8,3.5,28.2,56.5,100.0,11.8,3.5,28.2,56.5
