,調査数,旅行に出かけていたから,投票日を忘れていたから、知らなかったから,投票所へ行くのが面倒だったから,投票所が遠かった（不便だった、わからなかった）から,適当な候補者がいなかったから,候補者の人柄や政策がわからなかったから,政治や選挙には関心がないから,仕事が忙しく、時間がなかったから,病気（看病を含む）又は体調が悪かったから,選挙によって政治や暮らしが良くなるわけではないから,自分一人が投票しなくても選挙の結果に影響がないから,その他,わからない、忘れた,無回答
性/年齢別女性50歳代実数,43,2,-,4,1,17,5,5,11,6,11,4,6,-,-
性/年齢別女性50歳代（％）,100.0,4.7,-,9.3,2.3,39.5,11.6,11.6,25.6,14.0,25.6,9.3,14.0,-,-
性/年齢別女性60歳代実数,44,1,1,1,-,14,8,2,6,8,10,4,7,-,3
性/年齢別女性60歳代（％）,100.0,2.3,2.3,2.3,-,31.8,18.2,4.5,13.6,18.2,22.7,9.1,15.9,-,6.8
性/年齢別女性70歳代実数,37,-,1,2,1,9,3,3,1,21,5,5,2,-,-
性/年齢別女性70歳代（％）,100.0,-,2.7,5.4,2.7,24.3,8.1,8.1,2.7,56.8,13.5,13.5,5.4,-,-
性/年齢別女性80歳以上実数,31,-,-,2,1,4,1,2,-,24,-,1,1,-,-
性/年齢別女性80歳以上（％）,100.0,-,-,6.5,3.2,12.9,3.2,6.5,-,77.4,-,3.2,3.2,-,-
未・既婚別未婚実数,197,6,6,25,4,56,24,21,84,17,34,25,14,2,2
未・既婚別未婚（％）,100.0,3.0,3.0,12.7,2.0,28.4,12.2,10.7,42.6,8.6,17.3,12.7,7.1,1.0,1.0
未・既婚別既婚（死別・離別を含む）実数,365,15,8,23,6,108,41,29,81,91,52,31,41,1,3
未・既婚別既婚（死別・離別を含む）（％）,100.0,4.1,2.2,6.3,1.6,29.6,11.2,7.9,22.2,24.9,14.2,8.5,11.2,0.3,0.8
子供の有無別子供はいない実数,239,9,7,29,4,71,26,23,96,27,37,28,16,2,3
子供の有無別子供はいない（％）,100.0,3.8,2.9,12.1,1.7,29.7,10.9,9.6,40.2,11.3,15.5,11.7,6.7,0.8,1.3
子供の有無別未就学（～６歳）実数,60,1,4,5,2,17,5,4,16,11,10,5,11,-,-
子供の有無別未就学（～６歳）（％）,100.0,1.7,6.7,8.3,3.3,28.3,8.3,6.7,26.7,18.3,16.7,8.3,18.3,-,-
子供の有無別小・中・高校生実数,73,6,2,6,1,17,9,6,22,9,11,6,10,1,-
子供の有無別小・中・高校生（％）,100.0,8.2,2.7,8.2,1.4,23.3,12.3,8.2,30.1,12.3,15.1,8.2,13.7,1.4,-
子供の有無別大学生・大学院生・短大生・専門学校生実数,28,1,1,2,1,10,4,1,8,3,3,2,4,-,-
子供の有無別大学生・大学院生・短大生・専門学校生（％）,100.0,3.6,3.6,7.1,3.6,35.7,14.3,3.6,28.6,10.7,10.7,7.1,14.3,-,-
子供の有無別学校教育終了実数,195,4,1,7,3,56,23,17,35,64,29,14,22,-,2
子供の有無別学校教育終了（％）,100.0,2.1,0.5,3.6,1.5,28.7,11.8,8.7,17.9,32.8,14.9,7.2,11.3,-,1.0
子供の有無別その他実数,2,-,-,-,-,2,-,-,-,-,1,-,-,-,-
子供の有無別その他（％）,100.0,-,-,-,-,100.0,-,-,-,-,50.0,-,-,-,-
職業別自営業（計）実数,42,3,-,-,-,13,4,2,12,9,5,4,7,-,1
職業別自営業（計）（％）,100.0,7.1,-,-,-,31.0,9.5,4.8,28.6,21.4,11.9,9.5,16.7,-,2.4
職業別農林漁業実数,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-
職業別農林漁業（％）,100.0,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-
職業別商工・サービス業実数,28,2,-,-,-,10,4,1,7,5,2,4,6,-,1
職業別商工・サービス業（％）,100.0,7.1,-,-,-,35.7,14.3,3.6,25.0,17.9,7.1,14.3,21.4,-,3.6
職業別その他自由業実数,13,-,-,-,-,3,-,1,5,4,3,-,1,-,-
職業別その他自由業（％）,100.0,-,-,-,-,23.1,-,7.7,38.5,30.8,23.1,-,7.7,-,-
職業別お勤め（計）実数,311,10,10,24,5,94,34,26,137,26,48,26,28,2,3
職業別お勤め（計）（％）,100.0,3.2,3.2,7.7,1.6,30.2,10.9,8.4,44.1,8.4,15.4,8.4,9.0,0.6,1.0
職業別経営・管理職実数,23,1,-,2,-,8,3,-,9,1,1,2,4,1,-
職業別経営・管理職（％）,100.0,4.3,-,8.7,-,34.8,13.0,-,39.1,4.3,4.3,8.7,17.4,4.3,-
職業別専門職・技術職実数,64,2,1,4,1,26,6,8,24,2,11,5,8,1,2
職業別専門職・技術職（％）,100.0,3.1,1.6,6.3,1.6,40.6,9.4,12.5,37.5,3.1,17.2,7.8,12.5,1.6,3.1
職業別事務職実数,74,4,2,6,2,22,4,9,30,8,8,1,6,-,1
職業別事務職（％）,100.0,5.4,2.7,8.1,2.7,29.7,5.4,12.2,40.5,10.8,10.8,1.4,8.1,-,1.4
職業別労務職・技能職実数,51,2,2,7,1,14,5,5,31,2,14,7,2,-,-
職業別労務職・技能職（％）,100.0,3.9,3.9,13.7,2.0,27.5,9.8,9.8,60.8,3.9,27.5,13.7,3.9,-,-
職業別販売・サービス職実数,99,1,5,5,1,24,16,4,43,13,14,11,8,-,-
職業別販売・サービス職（％）,100.0,1.0,5.1,5.1,1.0,24.2,16.2,4.0,43.4,13.1,14.1,11.1,8.1,-,-
職業別その他（計）実数,208,7,4,24,5,56,27,22,16,74,33,26,20,1,1
職業別その他（計）（％）,100.0,3.4,1.9,11.5,2.4,26.9,13.0,10.6,7.7,35.6,15.9,12.5,9.6,0.5,0.5
職業別生徒・学生実数,13,1,1,4,1,1,3,1,6,-,2,3,2,1,-
職業別生徒・学生（％）,100.0,7.7,7.7,30.8,7.7,7.7,23.1,7.7,46.2,-,15.4,23.1,15.4,7.7,-
職業別専業主婦（夫）実数,86,2,-,7,2,25,12,8,6,26,19,10,12,-,1
職業別専業主婦（夫）（％）,100.0,2.3,-,8.1,2.3,29.1,14.0,9.3,7.0,30.2,22.1,11.6,14.0,-,1.2
職業別その他実数,6,-,-,-,-,1,1,1,3,1,1,1,1,-,-
職業別その他（％）,100.0,-,-,-,-,16.7,16.7,16.7,50.0,16.7,16.7,16.7,16.7,-,-
職業別無職（年金受給者含む）実数,103,4,3,13,2,29,11,12,1,47,11,12,5,-,-
職業別無職（年金受給者含む）（％）,100.0,3.9,2.9,12.6,1.9,28.2,10.7,11.7,1.0,45.6,10.7,11.7,4.9,-,-
投票所までの時間別５分以内実数,171,7,2,13,1,50,23,13,48,31,28,19,15,2,2
投票所までの時間別５分以内（％）,100.0,4.1,1.2,7.6,0.6,29.2,13.5,7.6,28.1,18.1,16.4,11.1,8.8,1.2,1.2
投票所までの時間別10分以内実数,244,7,7,18,1,72,24,18,82,46,33,24,26,1,2
投票所までの時間別10分以内（％）,100.0,2.9,2.9,7.4,0.4,29.5,9.8,7.4,33.6,18.9,13.5,9.8,10.7,0.4,0.8
投票所までの時間別20分以内実数,78,2,3,6,3,27,12,11,20,16,13,5,6,-,-
投票所までの時間別20分以内（％）,100.0,2.6,3.8,7.7,3.8,34.6,15.4,14.1,25.6,20.5,16.7,6.4,7.7,-,-
投票所までの時間別30分以内実数,19,2,-,2,2,1,1,-,4,7,1,-,4,-,-
投票所までの時間別30分以内（％）,100.0,10.5,-,10.5,10.5,5.3,5.3,-,21.1,36.8,5.3,-,21.1,-,-
投票所までの時間別30分を超える実数,5,1,-,1,2,3,1,-,-,1,3,2,-,-,-
投票所までの時間別30分を超える（％）,100.0,20.0,-,20.0,40.0,60.0,20.0,-,-,20.0,60.0,40.0,-,-,-
投票所までの時間別わからない実数,45,1,2,8,1,11,4,8,11,8,8,5,4,-,1
投票所までの時間別わからない（％）,100.0,2.2,4.4,17.8,2.2,24.4,8.9,17.8,24.4,17.8,17.8,11.1,8.9,-,2.2
地域別区部（計）実数,348,10,8,26,6,102,40,27,104,77,51,33,37,-,3
地域別区部（計）（％）,100.0,2.9,2.3,7.5,1.7,29.3,11.5,7.8,29.9,22.1,14.7,9.5,10.6,-,0.9
地域別センターコア実数,100,4,2,13,1,22,8,11,31,23,16,12,10,-,-
地域別センターコア（％）,100.0,4.0,2.0,13.0,1.0,22.0,8.0,11.0,31.0,23.0,16.0,12.0,10.0,-,-
地域別区部東部・北部エリア実数,111,2,5,7,2,40,17,8,27,27,21,8,14,-,-
地域別区部東部・北部エリア（％）,100.0,1.8,4.5,6.3,1.8,36.0,15.3,7.2,24.3,24.3,18.9,7.2,12.6,-,-
地域別区部西部・南部エリア実数,137,4,1,6,3,40,15,8,46,27,14,13,13,-,3
地域別区部西部・南部エリア（％）,100.0,2.9,0.7,4.4,2.2,29.2,10.9,5.8,33.6,19.7,10.2,9.5,9.5,-,2.2
地域別市郡部（計）実数,215,11,6,22,4,62,25,23,61,32,35,23,18,3,2
地域別市郡部（計）（％）,100.0,5.1,2.8,10.2,1.9,28.8,11.6,10.7,28.4,14.9,16.3,10.7,8.4,1.4,0.9
地域別多摩東部エリア実数,69,4,3,7,1,23,7,4,20,11,9,6,6,-,1
地域別多摩東部エリア（％）,100.0,5.8,4.3,10.1,1.4,33.3,10.1,5.8,29.0,15.9,13.0,8.7,8.7,-,1.4
地域別多摩中央部北エリア実数,36,2,2,6,2,7,6,5,8,5,7,4,3,-,-
地域別多摩中央部北エリア（％）,100.0,5.6,5.6,16.7,5.6,19.4,16.7,13.9,22.2,13.9,19.4,11.1,8.3,-,-
地域別多摩中央部南エリア実数,94,5,1,9,-,30,11,12,28,12,19,13,7,2,1
地域別多摩中央部南エリア（％）,100.0,5.3,1.1,9.6,-,31.9,11.7,12.8,29.8,12.8,20.2,13.8,7.4,2.1,1.1
地域別多摩西部エリア実数,16,-,-,-,1,2,1,2,5,4,-,-,2,1,-
地域別多摩西部エリア（％）,100.0,-,-,-,6.3,12.5,6.3,12.5,31.3,25.0,-,-,12.5,6.3,-
選挙への関心度別関心があった（計）実数,161,5,6,6,3,38,14,1,54,40,11,9,18,1,2
選挙への関心度別関心があった（計）（％）,100.0,3.1,3.7,3.7,1.9,23.6,8.7,0.6,33.5,24.8,6.8,5.6,11.2,0.6,1.2
選挙への関心度別関心があった実数,62,1,2,1,1,12,2,-,17,24,3,1,10,1,1
選挙への関心度別関心があった（％）,100.0,1.6,3.2,1.6,1.6,19.4,3.2,-,27.4,38.7,4.8,1.6,16.1,1.6,1.6
選挙への関心度別やや関心があった実数,99,4,4,5,2,26,12,1,37,16,8,8,8,-,1
選挙への関心度別やや関心があった（％）,100.0,4.0,4.0,5.1,2.0,26.3,12.1,1.0,37.4,16.2,8.1,8.1,8.1,-,1.0
選挙への関心度別関心がなかった（計）実数,54,2,2,2,-,12,10,1,25,10,7,3,4,-,1
選挙への関心度別関心がなかった（計）（％）,100.0,3.7,3.7,3.7,-,22.2,18.5,1.9,46.3,18.5,13.0,5.6,7.4,-,1.9
選挙への関心度別あまり関心がなかった実数,343,14,6,40,7,113,41,48,86,55,67,44,33,2,2
選挙への関心度別あまり関心がなかった（％）,100.0,4.1,1.7,11.7,2.0,32.9,12.0,14.0,25.1,16.0,19.5,12.8,9.6,0.6,0.6
選挙への関心度別関心がなかった実数,197,8,3,23,4,64,24,17,63,35,28,23,18,1,1
選挙への関心度別関心がなかった（％）,100.0,4.1,1.5,11.7,2.0,32.5,12.2,8.6,32.0,17.8,14.2,11.7,9.1,0.5,0.5
選挙への関心度別どちらともいえない実数,146,6,3,17,3,49,17,31,23,20,39,21,15,1,1
選挙への関心度別どちらともいえない（％）,100.0,4.1,2.1,11.6,2.1,33.6,11.6,21.2,15.8,13.7,26.7,14.4,10.3,0.7,0.7
選挙への関心度別わからない実数,4,-,-,-,-,1,-,-,-,3,1,-,-,-,-
選挙への関心度別わからない（％）,100.0,-,-,-,-,25.0,-,-,-,75.0,25.0,-,-,-,-
投票への意識別投票するべき（計）実数,306,14,7,21,6,77,34,10,100,72,26,18,35,1,3
投票への意識別投票するべき（計）（％）,100.0,4.6,2.3,6.9,2.0,25.2,11.1,3.3,32.7,23.5,8.5,5.9,11.4,0.3,1.0
投票への意識別必ず投票するべき実数,46,-,3,4,1,10,3,-,17,8,6,3,10,-,2
投票への意識別必ず投票するべき（％）,100.0,-,6.5,8.7,2.2,21.7,6.5,-,37.0,17.4,13.0,6.5,21.7,-,4.3
投票への意識別可能な限り投票するべき実数,260,14,4,17,5,67,31,10,83,64,20,15,25,1,1
投票への意識別可能な限り投票するべき（％）,100.0,5.4,1.5,6.5,1.9,25.8,11.9,3.8,31.9,24.6,7.7,5.8,9.6,0.4,0.4
投票への意識別投票するのもしないのも自由実数,235,6,7,25,4,81,28,37,64,31,56,36,16,2,2
投票への意識別投票するのもしないのも自由（％）,100.0,2.6,3.0,10.6,1.7,34.5,11.9,15.7,27.2,13.2,23.8,15.3,6.8,0.9,0.9
投票への意識別その他実数,9,-,-,1,-,2,-,-,-,4,2,1,3,-,-
投票への意識別その他（％）,100.0,-,-,11.1,-,22.2,-,-,-,44.4,22.2,11.1,33.3,-,-
投票への意識別わからない実数,12,1,-,1,-,4,3,3,1,1,2,1,1,-,-
投票への意識別わからない（％）,100.0,8.3,-,8.3,-,33.3,25.0,25.0,8.3,8.3,16.7,8.3,8.3,-,-
投票への参加状況別投票した（計）実数,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別投票した（計）（％）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別投票日（12月14日）に投票した実数,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別投票日（12月14日）に投票した（％）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別期日前投票（又は不在者投票等）をした実数,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別期日前投票（又は不在者投票等）をした（％）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別投票しなかった実数,563,21,14,48,10,164,65,50,165,109,86,56,55,3,5
投票への参加状況別投票しなかった（％）,100.0,3.7,2.5,8.5,1.8,29.1,11.5,8.9,29.3,19.4,15.3,9.9,9.8,0.5,0.9
投票への参加状況別答えたくない実数,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別答えたくない（％）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
新聞の定期購読定期購読している実数,271,11,5,22,4,94,24,20,73,65,43,28,22,2,3
新聞の定期購読定期購読している（％）,100.0,4.1,1.8,8.1,1.5,34.7,8.9,7.4,26.9,24.0,15.9,10.3,8.1,0.7,1.1
新聞の定期購読定期購読していない実数,290,10,9,26,6,70,41,30,92,43,43,28,32,1,2
新聞の定期購読定期購読していない（％）,100.0,3.4,3.1,9.0,2.1,24.1,14.1,10.3,31.7,14.8,14.8,9.7,11.0,0.3,0.7
インターネットの利用有無利用している実数,313,16,10,26,7,96,38,30,114,29,46,34,37,1,4
インターネットの利用有無利用している（％）,100.0,5.1,3.2,8.3,2.2,30.7,12.1,9.6,36.4,9.3,14.7,10.9,11.8,0.3,1.3
インターネットの利用有無利用していない実数,247,5,4,22,3,67,27,20,51,79,39,22,17,2,1
インターネットの利用有無利用していない（％）,100.0,2.0,1.6,8.9,1.2,27.1,10.9,8.1,20.6,32.0,15.8,8.9,6.9,0.8,0.4
ネット選挙の認知度別知っている実数,211,11,4,17,3,79,23,17,62,25,37,18,27,1,3
ネット選挙の認知度別知っている（％）,100.0,5.2,1.9,8.1,1.4,37.4,10.9,8.1,29.4,11.8,17.5,8.5,12.8,0.5,1.4
ネット選挙の認知度別知らなかった実数,315,10,10,30,7,75,39,33,94,69,45,37,24,1,1
ネット選挙の認知度別知らなかった（％）,100.0,3.2,3.2,9.5,2.2,23.8,12.4,10.5,29.8,21.9,14.3,11.7,7.6,0.3,0.3
