,調査数,国政全体のことを考えてくれる人だと思ったから,自分の日常の暮らしを守ってくれる人だと思ったから,候補者の政策や主張に賛成だから,地元の利益を考えてくれる人だと思ったから,自分の仕事や職業上の利益を守ってくれる人だと思ったから,テレビや新聞などマスコミを通して知っている人だから,人柄、経歴などから国政を託すのに最適な人だと思ったから,自分の支持する政党の推薦する人だから,団体や組織や知人に頼まれたから,テレビやラジオ、新聞等メディアの報道内容からふさわしい人だと思ったから,ホームページやＳＮＳ等のインターネット上の情報を見てふさわしい人だと思ったから,家族や友人との選挙に関する話の中で、ふさわしい人だと思ったから,ポスターや選挙公報などを見て、ふさわしい人だと思ったから,その他,特に理由はない（なんとなく）,わからない,無回答
性/年齢別男性30歳代（％）,100.0,14.7,13.3,25.3,4.0,2.7,5.3,6.7,21.3,1.3,4.0,2.7,1.3,2.7,12.0,13.3,2.7,-
性/年齢別男性40歳代実数,116,28,22,38,5,3,-,12,32,1,2,1,3,16,10,11,-,-
性/年齢別男性40歳代（％）,100.0,24.1,19.0,32.8,4.3,2.6,-,10.3,27.6,0.9,1.7,0.9,2.6,13.8,8.6,9.5,-,-
性/年齢別男性50歳代実数,107,25,16,38,11,6,1,14,25,3,6,2,5,5,4,11,1,-
性/年齢別男性50歳代（％）,100.0,23.4,15.0,35.5,10.3,5.6,0.9,13.1,23.4,2.8,5.6,1.9,4.7,4.7,3.7,10.3,0.9,-
性/年齢別男性60歳代実数,117,45,21,43,8,5,2,25,39,1,2,-,5,7,6,4,1,-
性/年齢別男性60歳代（％）,100.0,38.5,17.9,36.8,6.8,4.3,1.7,21.4,33.3,0.9,1.7,-,4.3,6.0,5.1,3.4,0.9,-
性/年齢別男性70歳代実数,116,33,19,51,15,4,1,26,41,3,5,-,6,9,8,8,-,-
性/年齢別男性70歳代（％）,100.0,28.4,16.4,44.0,12.9,3.4,0.9,22.4,35.3,2.6,4.3,-,5.2,7.8,6.9,6.9,-,-
性/年齢別男性80歳以上実数,37,12,11,14,4,-,3,10,14,2,3,1,-,4,-,1,1,-
性/年齢別男性80歳以上（％）,100.0,32.4,29.7,37.8,10.8,-,8.1,27.0,37.8,5.4,8.1,2.7,-,10.8,-,2.7,2.7,-
性/年齢別女性20歳代実数,42,11,7,15,3,1,2,5,8,1,-,3,4,6,2,5,1,-
性/年齢別女性20歳代（％）,100.0,26.2,16.7,35.7,7.1,2.4,4.8,11.9,19.0,2.4,-,7.1,9.5,14.3,4.8,11.9,2.4,-
性/年齢別女性30歳代実数,86,14,13,22,4,2,2,4,19,2,2,-,4,4,5,14,2,-
性/年齢別女性30歳代（％）,100.0,16.3,15.1,25.6,4.7,2.3,2.3,4.7,22.1,2.3,2.3,-,4.7,4.7,5.8,16.3,2.3,-
性/年齢別女性40歳代実数,131,30,26,37,10,5,3,16,27,4,8,3,14,9,10,9,-,-
性/年齢別女性40歳代（％）,100.0,22.9,19.8,28.2,7.6,3.8,2.3,12.2,20.6,3.1,6.1,2.3,10.7,6.9,7.6,6.9,-,-
性/年齢別女性50歳代実数,88,22,18,27,7,2,2,8,28,5,4,3,6,9,6,4,2,-
性/年齢別女性50歳代（％）,100.0,25.0,20.5,30.7,8.0,2.3,2.3,9.1,31.8,5.7,4.5,3.4,6.8,10.2,6.8,4.5,2.3,-
性/年齢別女性60歳代実数,116,40,34,46,10,2,3,23,31,1,3,1,6,8,1,7,1,-
性/年齢別女性60歳代（％）,100.0,34.5,29.3,39.7,8.6,1.7,2.6,19.8,26.7,0.9,2.6,0.9,5.2,6.9,0.9,6.0,0.9,-
性/年齢別女性70歳代実数,123,46,45,36,12,2,3,17,37,3,7,-,7,5,9,7,3,2
性/年齢別女性70歳代（％）,100.0,37.4,36.6,29.3,9.8,1.6,2.4,13.8,30.1,2.4,5.7,-,5.7,4.1,7.3,5.7,2.4,1.6
性/年齢別女性80歳以上実数,43,11,14,11,5,-,1,8,11,2,6,-,4,2,1,3,-,-
性/年齢別女性80歳以上（％）,100.0,25.6,32.6,25.6,11.6,-,2.3,18.6,25.6,4.7,14.0,-,9.3,4.7,2.3,7.0,-,-
未・既婚別未婚実数,248,57,36,67,17,9,11,28,76,7,9,6,12,21,17,32,4,-
未・既婚別未婚（％）,100.0,23.0,14.5,27.0,6.9,3.6,4.4,11.3,30.6,2.8,3.6,2.4,4.8,8.5,6.9,12.9,1.6,-
未・既婚別既婚（死別・離別を含む）実数,991,276,224,339,80,29,18,146,272,23,43,11,53,68,56,69,11,2
未・既婚別既婚（死別・離別を含む）（％）,100.0,27.9,22.6,34.2,8.1,2.9,1.8,14.7,27.4,2.3,4.3,1.1,5.3,6.9,5.7,7.0,1.1,0.2
子供の有無別子供はいない実数,392,93,65,118,25,15,14,50,113,8,13,9,18,30,22,45,6,-
子供の有無別子供はいない（％）,100.0,23.7,16.6,30.1,6.4,3.8,3.6,12.8,28.8,2.0,3.3,2.3,4.6,7.7,5.6,11.5,1.5,-
子供の有無別未就学（～６歳）実数,117,16,27,27,8,4,2,7,19,4,3,1,10,10,9,14,1,-
子供の有無別未就学（～６歳）（％）,100.0,13.7,23.1,23.1,6.8,3.4,1.7,6.0,16.2,3.4,2.6,0.9,8.5,8.5,7.7,12.0,0.9,-
子供の有無別小・中・高校生実数,195,37,42,56,12,4,2,17,44,5,7,3,8,16,14,18,1,-
子供の有無別小・中・高校生（％）,100.0,19.0,21.5,28.7,6.2,2.1,1.0,8.7,22.6,2.6,3.6,1.5,4.1,8.2,7.2,9.2,0.5,-
子供の有無別大学生・大学院生・短大生・専門学校生実数,78,22,15,27,4,4,1,10,18,3,6,2,7,7,4,6,1,-
子供の有無別大学生・大学院生・短大生・専門学校生（％）,100.0,28.2,19.2,34.6,5.1,5.1,1.3,12.8,23.1,3.8,7.7,2.6,9.0,9.0,5.1,7.7,1.3,-
子供の有無別学校教育終了実数,547,185,132,197,54,13,11,98,166,13,26,4,28,34,30,30,7,2
子供の有無別学校教育終了（％）,100.0,33.8,24.1,36.0,9.9,2.4,2.0,17.9,30.3,2.4,4.8,0.7,5.1,6.2,5.5,5.5,1.3,0.4
子供の有無別その他実数,5,4,2,3,-,-,-,1,2,-,1,-,1,1,-,-,-,-
子供の有無別その他（％）,100.0,80.0,40.0,60.0,-,-,-,20.0,40.0,-,20.0,-,20.0,20.0,-,-,-,-
職業別自営業（計）実数,108,28,20,39,10,3,1,14,28,2,3,1,7,7,5,9,1,1
職業別自営業（計）（％）,100.0,25.9,18.5,36.1,9.3,2.8,0.9,13.0,25.9,1.9,2.8,0.9,6.5,6.5,4.6,8.3,0.9,0.9
職業別農林漁業実数,2,1,1,1,1,-,-,1,-,1,-,-,-,-,-,-,-,-
職業別農林漁業（％）,100.0,50.0,50.0,50.0,50.0,-,-,50.0,-,50.0,-,-,-,-,-,-,-,-
職業別商工・サービス業実数,67,16,14,24,6,3,1,13,16,1,2,-,3,4,3,9,-,1
職業別商工・サービス業（％）,100.0,23.9,20.9,35.8,9.0,4.5,1.5,19.4,23.9,1.5,3.0,-,4.5,6.0,4.5,13.4,-,1.5
職業別その他自由業実数,39,11,5,14,3,-,-,-,12,-,1,1,4,3,2,-,1,-
職業別その他自由業（％）,100.0,28.2,12.8,35.9,7.7,-,-,-,30.8,-,2.6,2.6,10.3,7.7,5.1,-,2.6,-
職業別お勤め（計）実数,612,143,110,194,35,25,12,71,163,11,23,12,23,46,43,56,8,-
職業別お勤め（計）（％）,100.0,23.4,18.0,31.7,5.7,4.1,2.0,11.6,26.6,1.8,3.8,2.0,3.8,7.5,7.0,9.2,1.3,-
職業別経営・管理職実数,70,20,10,20,5,3,-,10,15,-,5,1,5,6,6,8,-,-
職業別経営・管理職（％）,100.0,28.6,14.3,28.6,7.1,4.3,-,14.3,21.4,-,7.1,1.4,7.1,8.6,8.6,11.4,-,-
職業別専門職・技術職実数,175,37,34,69,8,10,1,22,43,2,5,4,3,15,14,9,1,-
職業別専門職・技術職（％）,100.0,21.1,19.4,39.4,4.6,5.7,0.6,12.6,24.6,1.1,2.9,2.3,1.7,8.6,8.0,5.1,0.6,-
職業別事務職実数,172,39,29,56,5,5,4,17,51,4,5,4,7,16,10,13,3,-
職業別事務職（％）,100.0,22.7,16.9,32.6,2.9,2.9,2.3,9.9,29.7,2.3,2.9,2.3,4.1,9.3,5.8,7.6,1.7,-
職業別労務職・技能職実数,59,14,15,17,9,3,1,10,19,1,2,-,1,4,3,6,-,-
職業別労務職・技能職（％）,100.0,23.7,25.4,28.8,15.3,5.1,1.7,16.9,32.2,1.7,3.4,-,1.7,6.8,5.1,10.2,-,-
職業別販売・サービス職実数,136,33,22,32,8,4,6,12,35,4,6,3,7,5,10,20,4,-
職業別販売・サービス職（％）,100.0,24.3,16.2,23.5,5.9,2.9,4.4,8.8,25.7,2.9,4.4,2.2,5.1,3.7,7.4,14.7,2.9,-
職業別その他（計）実数,519,162,130,172,54,10,16,89,154,17,26,5,35,36,25,36,6,1
職業別その他（計）（％）,100.0,31.2,25.0,33.1,10.4,1.9,3.1,17.1,29.7,3.3,5.0,1.0,6.7,6.9,4.8,6.9,1.2,0.2
職業別生徒・学生実数,21,2,2,3,1,1,2,2,9,-,-,2,2,2,1,3,1,-
職業別生徒・学生（％）,100.0,9.5,9.5,14.3,4.8,4.8,9.5,9.5,42.9,-,-,9.5,9.5,9.5,4.8,14.3,4.8,-
職業別専業主婦（夫）実数,222,62,65,70,23,4,3,32,64,8,14,1,18,16,12,12,3,1
職業別専業主婦（夫）（％）,100.0,27.9,29.3,31.5,10.4,1.8,1.4,14.4,28.8,3.6,6.3,0.5,8.1,7.2,5.4,5.4,1.4,0.5
職業別その他実数,12,3,2,6,-,-,1,1,4,2,-,1,2,-,-,2,-,-
職業別その他（％）,100.0,25.0,16.7,50.0,-,-,8.3,8.3,33.3,16.7,-,8.3,16.7,-,-,16.7,-,-
職業別無職（年金受給者含む）実数,264,95,61,93,30,5,10,54,77,7,12,1,13,18,12,19,2,-
職業別無職（年金受給者含む）（％）,100.0,36.0,23.1,35.2,11.4,1.9,3.8,20.5,29.2,2.7,4.5,0.4,4.9,6.8,4.5,7.2,0.8,-
投票所までの時間別５分以内実数,538,147,101,165,46,19,14,72,148,13,20,9,32,40,29,48,8,2
投票所までの時間別５分以内（％）,100.0,27.3,18.8,30.7,8.6,3.5,2.6,13.4,27.5,2.4,3.7,1.7,5.9,7.4,5.4,8.9,1.5,0.4
投票所までの時間別10分以内実数,515,135,105,180,42,11,14,77,150,11,23,5,22,33,35,45,5,-
投票所までの時間別10分以内（％）,100.0,26.2,20.4,35.0,8.2,2.1,2.7,15.0,29.1,2.1,4.5,1.0,4.3,6.4,6.8,8.7,1.0,-
投票所までの時間別20分以内実数,163,43,42,53,10,7,-,24,42,6,8,4,10,14,9,9,2,-
投票所までの時間別20分以内（％）,100.0,26.4,25.8,32.5,6.1,4.3,-,14.7,25.8,3.7,4.9,2.5,6.1,8.6,5.5,5.5,1.2,-
投票所までの時間別30分以内実数,19,6,9,8,-,-,1,2,5,-,1,-,1,2,-,-,-,-
投票所までの時間別30分以内（％）,100.0,31.6,47.4,42.1,-,-,5.3,10.5,26.3,-,5.3,-,5.3,10.5,-,-,-,-
投票所までの時間別30分を超える実数,6,2,2,1,1,1,-,-,3,-,-,-,-,-,-,-,-,-
投票所までの時間別30分を超える（％）,100.0,33.3,33.3,16.7,16.7,16.7,-,-,50.0,-,-,-,-,-,-,-,-,-
投票所までの時間別わからない実数,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票所までの時間別わからない（％）,100.0,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
地域別区部（計）実数,826,217,162,276,66,20,20,118,225,23,31,11,46,50,47,70,7,2
地域別区部（計）（％）,100.0,26.3,19.6,33.4,8.0,2.4,2.4,14.3,27.2,2.8,3.8,1.3,5.6,6.1,5.7,8.5,0.8,0.2
地域別センターコア実数,207,56,35,81,12,4,2,31,70,4,7,1,5,6,10,17,1,-
地域別センターコア（％）,100.0,27.1,16.9,39.1,5.8,1.9,1.0,15.0,33.8,1.9,3.4,0.5,2.4,2.9,4.8,8.2,0.5,-
地域別区部東部・北部エリア実数,268,60,56,78,32,8,11,41,56,14,11,3,15,20,20,23,6,1
地域別区部東部・北部エリア（％）,100.0,22.4,20.9,29.1,11.9,3.0,4.1,15.3,20.9,5.2,4.1,1.1,5.6,7.5,7.5,8.6,2.2,0.4
地域別区部西部・南部エリア実数,351,101,71,117,22,8,7,46,99,5,13,7,26,24,17,30,-,1
地域別区部西部・南部エリア（％）,100.0,28.8,20.2,33.3,6.3,2.3,2.0,13.1,28.2,1.4,3.7,2.0,7.4,6.8,4.8,8.5,-,0.3
地域別市郡部（計）実数,420,118,99,131,33,18,9,57,123,7,21,7,19,39,26,33,8,-
地域別市郡部（計）（％）,100.0,28.1,23.6,31.2,7.9,4.3,2.1,13.6,29.3,1.7,5.0,1.7,4.5,9.3,6.2,7.9,1.9,-
地域別多摩東部エリア実数,169,43,40,55,9,6,2,25,48,-,7,5,7,18,11,14,2,-
地域別多摩東部エリア（％）,100.0,25.4,23.7,32.5,5.3,3.6,1.2,14.8,28.4,-,4.1,3.0,4.1,10.7,6.5,8.3,1.2,-
地域別多摩中央部北エリア実数,53,22,21,16,8,2,2,7,18,3,-,1,3,2,1,2,-,-
地域別多摩中央部北エリア（％）,100.0,41.5,39.6,30.2,15.1,3.8,3.8,13.2,34.0,5.7,-,1.9,5.7,3.8,1.9,3.8,-,-
地域別多摩中央部南エリア実数,171,44,32,52,11,7,5,23,52,2,12,1,9,18,13,13,6,-
地域別多摩中央部南エリア（％）,100.0,25.7,18.7,30.4,6.4,4.1,2.9,13.5,30.4,1.2,7.0,0.6,5.3,10.5,7.6,7.6,3.5,-
地域別多摩西部エリア実数,27,9,6,8,5,3,-,2,5,2,2,-,-,1,1,4,-,-
地域別多摩西部エリア（％）,100.0,33.3,22.2,29.6,18.5,11.1,-,7.4,18.5,7.4,7.4,-,-,3.7,3.7,14.8,-,-
選挙への関心度別関心があった（計）実数,918,299,215,348,81,27,17,145,278,19,36,17,46,69,42,46,8,-
選挙への関心度別関心があった（計）（％）,100.0,32.6,23.4,37.9,8.8,2.9,1.9,15.8,30.3,2.1,3.9,1.9,5.0,7.5,4.6,5.0,0.9,-
選挙への関心度別関心があった実数,577,205,139,243,50,19,8,102,189,10,24,10,34,47,28,27,5,-
選挙への関心度別関心があった（％）,100.0,35.5,24.1,42.1,8.7,3.3,1.4,17.7,32.8,1.7,4.2,1.7,5.9,8.1,4.9,4.7,0.9,-
選挙への関心度別やや関心があった実数,341,94,76,105,31,8,9,43,89,9,12,7,12,22,14,19,3,-
選挙への関心度別やや関心があった（％）,100.0,27.6,22.3,30.8,9.1,2.3,2.6,12.6,26.1,2.6,3.5,2.1,3.5,6.5,4.1,5.6,0.9,-
選挙への関心度別関心がなかった（計）実数,121,19,18,25,5,3,3,11,23,5,3,-,5,5,13,23,-,-
選挙への関心度別関心がなかった（計）（％）,100.0,15.7,14.9,20.7,4.1,2.5,2.5,9.1,19.0,4.1,2.5,-,4.1,4.1,10.7,19.0,-,-
選挙への関心度別あまり関心がなかった実数,203,17,27,34,12,8,9,19,47,6,13,1,14,15,18,33,7,1
選挙への関心度別あまり関心がなかった（％）,100.0,8.4,13.3,16.7,5.9,3.9,4.4,9.4,23.2,3.0,6.4,0.5,6.9,7.4,8.9,16.3,3.4,0.5
選挙への関心度別関心がなかった実数,169,15,24,27,11,6,9,17,38,6,11,1,14,12,13,27,3,1
選挙への関心度別関心がなかった（％）,100.0,8.9,14.2,16.0,6.5,3.6,5.3,10.1,22.5,3.6,6.5,0.6,8.3,7.1,7.7,16.0,1.8,0.6
選挙への関心度別どちらともいえない実数,34,2,3,7,1,2,-,2,9,-,2,-,-,3,5,6,4,-
選挙への関心度別どちらともいえない（％）,100.0,5.9,8.8,20.6,2.9,5.9,-,5.9,26.5,-,5.9,-,-,8.8,14.7,17.6,11.8,-
選挙への関心度別わからない実数,2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
選挙への関心度別わからない（％）,100.0,-,50.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50.0
投票への意識別投票するべき（計）実数,1168,323,251,395,92,37,27,172,332,27,50,17,62,86,65,92,12,2
投票への意識別投票するべき（計）（％）,100.0,27.7,21.5,33.8,7.9,3.2,2.3,14.7,28.4,2.3,4.3,1.5,5.3,7.4,5.6,7.9,1.0,0.2
投票への意識別必ず投票するべき実数,657,201,147,235,64,24,14,111,200,16,24,10,37,51,40,37,8,1
投票への意識別必ず投票するべき（％）,100.0,30.6,22.4,35.8,9.7,3.7,2.1,16.9,30.4,2.4,3.7,1.5,5.6,7.8,6.1,5.6,1.2,0.2
投票への意識別可能な限り投票するべき実数,511,122,104,160,28,13,13,61,132,11,26,7,25,35,25,55,4,1
投票への意識別可能な限り投票するべき（％）,100.0,23.9,20.4,31.3,5.5,2.5,2.5,11.9,25.8,2.2,5.1,1.4,4.9,6.8,4.9,10.8,0.8,0.2
投票への意識別投票するのもしないのも自由実数,73,12,10,12,6,1,2,3,16,3,2,1,3,3,6,9,3,-
投票への意識別投票するのもしないのも自由（％）,100.0,16.4,13.7,16.4,8.2,1.4,2.7,4.1,21.9,4.1,2.7,1.4,4.1,4.1,8.2,12.3,4.1,-
投票への意識別その他実数,2,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-
投票への意識別その他（％）,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0,-,-,-
投票への意識別わからない実数,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-
投票への意識別わからない（％）,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0,-,-
投票への参加状況別投票した（計）実数,1246,335,261,407,99,38,29,175,348,30,52,18,65,89,73,103,15,2
投票への参加状況別投票した（計）（％）,100.0,26.9,20.9,32.7,7.9,3.0,2.3,14.0,27.9,2.4,4.2,1.4,5.2,7.1,5.9,8.3,1.2,0.2
投票への参加状況別投票日（12月14日）に投票した実数,987,258,205,308,82,25,28,132,262,22,43,11,51,71,55,89,14,2
投票への参加状況別投票日（12月14日）に投票した（％）,100.0,26.1,20.8,31.2,8.3,2.5,2.8,13.4,26.5,2.2,4.4,1.1,5.2,7.2,5.6,9.0,1.4,0.2
投票への参加状況別期日前投票（又は不在者投票等）をした実数,259,77,56,99,17,13,1,43,86,8,9,7,14,18,18,14,1,-
投票への参加状況別期日前投票（又は不在者投票等）をした（％）,100.0,29.7,21.6,38.2,6.6,5.0,0.4,16.6,33.2,3.1,3.5,2.7,5.4,6.9,6.9,5.4,0.4,-
投票への参加状況別投票しなかった実数,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別投票しなかった（％）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別答えたくない実数,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別答えたくない（％）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
新聞の定期購読定期購読している実数,864,259,193,297,79,24,18,144,251,21,39,10,46,62,44,64,7,2
新聞の定期購読定期購読している（％）,100.0,30.0,22.3,34.4,9.1,2.8,2.1,16.7,29.1,2.4,4.5,1.2,5.3,7.2,5.1,7.4,0.8,0.2
新聞の定期購読定期購読していない実数,381,76,68,110,20,14,11,31,97,9,13,8,19,27,29,38,8,-
新聞の定期購読定期購読していない（％）,100.0,19.9,17.8,28.9,5.2,3.7,2.9,8.1,25.5,2.4,3.4,2.1,5.0,7.1,7.6,10.0,2.1,-
インターネットの利用有無利用している実数,660,146,105,209,36,25,15,72,179,11,21,16,32,57,51,58,7,-
インターネットの利用有無利用している（％）,100.0,22.1,15.9,31.7,5.5,3.8,2.3,10.9,27.1,1.7,3.2,2.4,4.8,8.6,7.7,8.8,1.1,-
インターネットの利用有無利用していない実数,581,188,156,198,62,13,14,103,168,19,31,2,33,32,22,44,7,2
インターネットの利用有無利用していない（％）,100.0,32.4,26.9,34.1,10.7,2.2,2.4,17.7,28.9,3.3,5.3,0.3,5.7,5.5,3.8,7.6,1.2,0.3
ネット選挙の認知度別知っている実数,734,201,142,255,52,26,15,102,216,13,36,15,35,63,50,55,5,-
ネット選挙の認知度別知っている（％）,100.0,27.4,19.3,34.7,7.1,3.5,2.0,13.9,29.4,1.8,4.9,2.0,4.8,8.6,6.8,7.5,0.7,-
ネット選挙の認知度別知らなかった実数,431,105,101,120,37,11,12,57,113,13,12,3,28,22,20,44,9,2
ネット選挙の認知度別知らなかった（％）,100.0,24.4,23.4,27.8,8.6,2.6,2.8,13.2,26.2,3.0,2.8,0.7,6.5,5.1,4.6,10.2,2.1,0.5
