,ア）投票日前に投票できる制度（期日前投票）があること／調査数,ア）投票日前に投票できる制度（期日前投票）があること／知っている,ア）投票日前に投票できる制度（期日前投票）があること／知らなかった,ア）投票日前に投票できる制度（期日前投票）があること／無回答,イ）仕事や買い物、旅行などを理由として期日前投票ができること／調査数,イ）仕事や買い物、旅行などを理由として期日前投票ができること／知っている,イ）仕事や買い物、旅行などを理由として期日前投票ができること／知らなかった,イ）仕事や買い物、旅行などを理由として期日前投票ができること／無回答,ウ）印鑑や身分証明書などを持参しなくても、期日前投票ができること／調査数,ウ）印鑑や身分証明書などを持参しなくても、期日前投票ができること／知っている,ウ）印鑑や身分証明書などを持参しなくても、期日前投票ができること／知らなかった,ウ）印鑑や身分証明書などを持参しなくても、期日前投票ができること／無回答,エ）期日前投票は、公示日の翌日から投票日の前日（土日含む）までの間できること（衆議院議員選挙の場合は11日間）／調査数,エ）期日前投票は、公示日の翌日から投票日の前日（土日含む）までの間できること（衆議院議員選挙の場合は11日間）／知っている,エ）期日前投票は、公示日の翌日から投票日の前日（土日含む）までの間できること（衆議院議員選挙の場合は11日間）／知らなかった,エ）期日前投票は、公示日の翌日から投票日の前日（土日含む）までの間できること（衆議院議員選挙の場合は11日間）／無回答,オ）期日前投票は夜の8時までできること／調査数,オ）期日前投票は夜の8時までできること／知っている,オ）期日前投票は夜の8時までできること／知らなかった,オ）期日前投票は夜の8時までできること／無回答,カ）期日前投票ができる場所が東京都の特設ＨＰに掲載されていること／調査数,カ）期日前投票ができる場所が東京都の特設ＨＰに掲載されていること／知っている,カ）期日前投票ができる場所が東京都の特設ＨＰに掲載されていること／知らなかった,カ）期日前投票ができる場所が東京都の特設ＨＰに掲載されていること／無回答
年齢別50歳代実数,294,287,5,2,287,257,23,7,287,183,97,7,287,194,85,8,287,162,119,6,287,73,208,6
年齢別50歳代（％）,100.0,97.6,1.7,0.7,100.0,89.5,8.0,2.4,100.0,63.8,33.8,2.4,100.0,67.6,29.6,2.8,100.0,56.4,41.5,2.1,100.0,25.4,72.5,2.1
年齢別60歳代実数,313,305,7,1,305,284,13,8,305,210,87,8,305,211,86,8,305,179,118,8,305,79,215,11
年齢別60歳代（％）,100.0,97.4,2.2,0.3,100.0,93.1,4.3,2.6,100.0,68.9,28.5,2.6,100.0,69.2,28.2,2.6,100.0,58.7,38.7,2.6,100.0,25.9,70.5,3.6
年齢別70歳代実数,296,285,9,2,285,257,19,9,285,196,80,9,285,211,66,8,285,189,87,9,285,69,207,9
年齢別70歳代（％）,100.0,96.3,3.0,0.7,100.0,90.2,6.7,3.2,100.0,68.8,28.1,3.2,100.0,74.0,23.2,2.8,100.0,66.3,30.5,3.2,100.0,24.2,72.6,3.2
年齢別80歳以上実数,124,115,9,-,115,96,15,4,115,73,39,3,115,73,39,3,115,59,53,3,115,19,93,3
年齢別80歳以上（％）,100.0,92.7,7.3,-,100.0,83.5,13.0,3.5,100.0,63.5,33.9,2.6,100.0,63.5,33.9,2.6,100.0,51.3,46.1,2.6,100.0,16.5,80.9,2.6
性/年齢別男性20歳代実数,92,86,6,-,86,71,11,4,86,51,31,4,86,52,30,4,86,37,45,4,86,31,51,4
性/年齢別男性20歳代（％）,100.0,93.5,6.5,-,100.0,82.6,12.8,4.7,100.0,59.3,36.0,4.7,100.0,60.5,34.9,4.7,100.0,43.0,52.3,4.7,100.0,36.0,59.3,4.7
性/年齢別男性30歳代実数,118,113,5,-,113,96,14,3,113,73,37,3,113,73,37,3,113,65,45,3,113,29,81,3
性/年齢別男性30歳代（％）,100.0,95.8,4.2,-,100.0,85.0,12.4,2.7,100.0,64.6,32.7,2.7,100.0,64.6,32.7,2.7,100.0,57.5,39.8,2.7,100.0,25.7,71.7,2.7
性/年齢別男性40歳代実数,174,172,2,-,172,152,13,7,172,107,59,6,172,118,48,6,172,102,64,6,172,48,117,7
性/年齢別男性40歳代（％）,100.0,98.9,1.1,-,100.0,88.4,7.6,4.1,100.0,62.2,34.3,3.5,100.0,68.6,27.9,3.5,100.0,59.3,37.2,3.5,100.0,27.9,68.0,4.1
性/年齢別男性50歳代実数,161,157,3,1,157,143,10,4,157,102,51,4,157,109,43,5,157,89,65,3,157,43,111,3
性/年齢別男性50歳代（％）,100.0,97.5,1.9,0.6,100.0,91.1,6.4,2.5,100.0,65.0,32.5,2.5,100.0,69.4,27.4,3.2,100.0,56.7,41.4,1.9,100.0,27.4,70.7,1.9
性/年齢別男性60歳代実数,153,148,4,1,148,139,5,4,148,104,40,4,148,105,39,4,148,95,49,4,148,41,101,6
性/年齢別男性60歳代（％）,100.0,96.7,2.6,0.7,100.0,93.9,3.4,2.7,100.0,70.3,27.0,2.7,100.0,70.9,26.4,2.7,100.0,64.2,33.1,2.7,100.0,27.7,68.2,4.1
性/年齢別男性70歳代実数,134,134,-,-,134,121,10,3,134,99,32,3,134,102,29,3,134,101,30,3,134,33,98,3
性/年齢別男性70歳代（％）,100.0,100.0,-,-,100.0,90.3,7.5,2.2,100.0,73.9,23.9,2.2,100.0,76.1,21.6,2.2,100.0,75.4,22.4,2.2,100.0,24.6,73.1,2.2
性/年齢別男性80歳以上実数,50,48,2,-,48,37,7,4,48,30,15,3,48,32,13,3,48,27,18,3,48,9,36,3
性/年齢別男性80歳以上（％）,100.0,96.0,4.0,-,100.0,77.1,14.6,8.3,100.0,62.5,31.3,6.3,100.0,66.7,27.1,6.3,100.0,56.3,37.5,6.3,100.0,18.8,75.0,6.3
性/年齢別女性20歳代実数,82,76,6,-,76,66,9,1,76,41,34,1,76,46,29,1,76,39,36,1,76,23,52,1
性/年齢別女性20歳代（％）,100.0,92.7,7.3,-,100.0,86.8,11.8,1.3,100.0,53.9,44.7,1.3,100.0,60.5,38.2,1.3,100.0,51.3,47.4,1.3,100.0,30.3,68.4,1.3
性/年齢別女性30歳代実数,143,138,5,-,138,114,20,4,138,85,50,3,138,83,51,4,138,76,59,3,138,38,97,3
性/年齢別女性30歳代（％）,100.0,96.5,3.5,-,100.0,82.6,14.5,2.9,100.0,61.6,36.2,2.2,100.0,60.1,37.0,2.9,100.0,55.1,42.8,2.2,100.0,27.5,70.3,2.2
性/年齢別女性40歳代実数,191,189,1,1,189,165,20,4,189,129,56,4,189,128,57,4,189,103,82,4,189,51,134,4
性/年齢別女性40歳代（％）,100.0,99.0,0.5,0.5,100.0,87.3,10.6,2.1,100.0,68.3,29.6,2.1,100.0,67.7,30.2,2.1,100.0,54.5,43.4,2.1,100.0,27.0,70.9,2.1
性/年齢別女性50歳代実数,133,130,2,1,130,114,13,3,130,81,46,3,130,85,42,3,130,73,54,3,130,30,97,3
性/年齢別女性50歳代（％）,100.0,97.7,1.5,0.8,100.0,87.7,10.0,2.3,100.0,62.3,35.4,2.3,100.0,65.4,32.3,2.3,100.0,56.2,41.5,2.3,100.0,23.1,74.6,2.3
性/年齢別女性60歳代実数,160,157,3,-,157,145,8,4,157,106,47,4,157,106,47,4,157,84,69,4,157,38,114,5
性/年齢別女性60歳代（％）,100.0,98.1,1.9,-,100.0,92.4,5.1,2.5,100.0,67.5,29.9,2.5,100.0,67.5,29.9,2.5,100.0,53.5,43.9,2.5,100.0,24.2,72.6,3.2
性/年齢別女性70歳代実数,162,151,9,2,151,136,9,6,151,97,48,6,151,109,37,5,151,88,57,6,151,36,109,6
性/年齢別女性70歳代（％）,100.0,93.2,5.6,1.2,100.0,90.1,6.0,4.0,100.0,64.2,31.8,4.0,100.0,72.2,24.5,3.3,100.0,58.3,37.7,4.0,100.0,23.8,72.2,4.0
性/年齢別女性80歳以上実数,74,67,7,-,67,59,8,-,67,43,24,-,67,41,26,-,67,32,35,-,67,10,57,-
性/年齢別女性80歳以上（％）,100.0,90.5,9.5,-,100.0,88.1,11.9,-,100.0,64.2,35.8,-,100.0,61.2,38.8,-,100.0,47.8,52.2,-,100.0,14.9,85.1,-
未・既婚別未婚実数,453,433,20,-,433,367,52,14,433,262,157,14,433,276,143,14,433,224,195,14,433,104,313,16
未・既婚別未婚（％）,100.0,95.6,4.4,-,100.0,84.8,12.0,3.2,100.0,60.5,36.3,3.2,100.0,63.7,33.0,3.2,100.0,51.7,45.0,3.2,100.0,24.0,72.3,3.7
未・既婚別既婚（死別・離別を含む）実数,1366,1327,34,5,1327,1185,105,37,1327,881,412,34,1327,908,384,35,1327,782,512,33,1327,354,938,35
未・既婚別既婚（死別・離別を含む）（％）,100.0,97.1,2.5,0.4,100.0,89.3,7.9,2.8,100.0,66.4,31.0,2.6,100.0,68.4,28.9,2.6,100.0,58.9,38.6,2.5,100.0,26.7,70.7,2.6
子供の有無別子供はいない実数,642,619,20,3,619,528,71,20,619,377,222,20,619,391,209,19,619,335,265,19,619,153,445,21
子供の有無別子供はいない（％）,100.0,96.4,3.1,0.5,100.0,85.3,11.5,3.2,100.0,60.9,35.9,3.2,100.0,63.2,33.8,3.1,100.0,54.1,42.8,3.1,100.0,24.7,71.9,3.4
子供の有無別未就学（～６歳）実数,180,175,5,-,175,149,22,4,175,103,69,3,175,119,52,4,175,99,73,3,175,56,116,3
子供の有無別未就学（～６歳）（％）,100.0,97.2,2.8,-,100.0,85.1,12.6,2.3,100.0,58.9,39.4,1.7,100.0,68.0,29.7,2.3,100.0,56.6,41.7,1.7,100.0,32.0,66.3,1.7
子供の有無別小・中・高校生実数,270,261,7,2,261,232,20,9,261,173,79,9,261,177,75,9,261,140,112,9,261,72,179,10
子供の有無別小・中・高校生（％）,100.0,96.7,2.6,0.7,100.0,88.9,7.7,3.4,100.0,66.3,30.3,3.4,100.0,67.8,28.7,3.4,100.0,53.6,42.9,3.4,100.0,27.6,68.6,3.8
子供の有無別大学生・大学院生・短大生・専門学校生実数,106,105,1,-,105,97,4,4,105,70,32,3,105,64,38,3,105,55,47,3,105,26,76,3
子供の有無別大学生・大学院生・短大生・専門学校生（％）,100.0,99.1,0.9,-,100.0,92.4,3.8,3.8,100.0,66.7,30.5,2.9,100.0,61.0,36.2,2.9,100.0,52.4,44.8,2.9,100.0,24.8,72.4,2.9
子供の有無別学校教育終了実数,743,718,23,2,718,654,45,19,718,494,206,18,718,508,191,19,718,437,263,18,718,184,515,19
子供の有無別学校教育終了（％）,100.0,96.6,3.1,0.3,100.0,91.1,6.3,2.6,100.0,68.8,28.7,2.5,100.0,70.8,26.6,2.6,100.0,60.9,36.6,2.5,100.0,25.6,71.7,2.6
子供の有無別その他実数,7,7,-,-,7,7,-,-,7,6,1,-,7,7,-,-,7,6,1,-,7,4,3,-
子供の有無別その他（％）,100.0,100.0,-,-,100.0,100.0,-,-,100.0,85.7,14.3,-,100.0,100.0,-,-,100.0,85.7,14.3,-,100.0,57.1,42.9,-
職業別自営業（計）実数,152,149,2,1,149,137,6,6,149,104,39,6,149,111,32,6,149,94,49,6,149,40,102,7
職業別自営業（計）（％）,100.0,98.0,1.3,0.7,100.0,91.9,4.0,4.0,100.0,69.8,26.2,4.0,100.0,74.5,21.5,4.0,100.0,63.1,32.9,4.0,100.0,26.8,68.5,4.7
職業別農林漁業実数,3,3,-,-,3,3,-,-,3,3,-,-,3,2,1,-,3,2,1,-,3,2,1,-
職業別農林漁業（％）,100.0,100.0,-,-,100.0,100.0,-,-,100.0,100.0,-,-,100.0,66.7,33.3,-,100.0,66.7,33.3,-,100.0,66.7,33.3,-
職業別商工・サービス業実数,96,94,1,1,94,85,6,3,94,66,25,3,94,70,21,3,94,59,32,3,94,25,65,4
職業別商工・サービス業（％）,100.0,97.9,1.0,1.0,100.0,90.4,6.4,3.2,100.0,70.2,26.6,3.2,100.0,74.5,22.3,3.2,100.0,62.8,34.0,3.2,100.0,26.6,69.1,4.3
職業別その他自由業実数,53,52,1,-,52,49,-,3,52,35,14,3,52,39,10,3,52,33,16,3,52,13,36,3
職業別その他自由業（％）,100.0,98.1,1.9,-,100.0,94.2,-,5.8,100.0,67.3,26.9,5.8,100.0,75.0,19.2,5.8,100.0,63.5,30.8,5.8,100.0,25.0,69.2,5.8
職業別お勤め（計）実数,934,909,24,1,909,803,80,26,909,580,304,25,909,599,284,26,909,513,372,24,909,255,628,26
職業別お勤め（計）（％）,100.0,97.3,2.6,0.1,100.0,88.3,8.8,2.9,100.0,63.8,33.4,2.8,100.0,65.9,31.2,2.9,100.0,56.4,40.9,2.6,100.0,28.1,69.1,2.9
職業別経営・管理職実数,94,92,2,-,92,79,8,5,92,56,31,5,92,55,32,5,92,49,38,5,92,27,59,6
職業別経営・管理職（％）,100.0,97.9,2.1,-,100.0,85.9,8.7,5.4,100.0,60.9,33.7,5.4,100.0,59.8,34.8,5.4,100.0,53.3,41.3,5.4,100.0,29.3,64.1,6.5
職業別専門職・技術職実数,243,238,5,-,238,209,20,9,238,136,93,9,238,154,74,10,238,136,94,8,238,69,161,8
職業別専門職・技術職（％）,100.0,97.9,2.1,-,100.0,87.8,8.4,3.8,100.0,57.1,39.1,3.8,100.0,64.7,31.1,4.2,100.0,57.1,39.5,3.4,100.0,29.0,67.6,3.4
職業別事務職実数,249,247,2,-,247,224,17,6,247,168,74,5,247,177,65,5,247,135,107,5,247,72,169,6
職業別事務職（％）,100.0,99.2,0.8,-,100.0,90.7,6.9,2.4,100.0,68.0,30.0,2.0,100.0,71.7,26.3,2.0,100.0,54.7,43.3,2.0,100.0,29.1,68.4,2.4
職業別労務職・技能職実数,111,106,5,-,106,93,11,2,106,69,35,2,106,67,37,2,106,65,39,2,106,30,74,2
職業別労務職・技能職（％）,100.0,95.5,4.5,-,100.0,87.7,10.4,1.9,100.0,65.1,33.0,1.9,100.0,63.2,34.9,1.9,100.0,61.3,36.8,1.9,100.0,28.3,69.8,1.9
職業別販売・サービス職実数,237,226,10,1,226,198,24,4,226,151,71,4,226,146,76,4,226,128,94,4,226,57,165,4
職業別販売・サービス職（％）,100.0,95.4,4.2,0.4,100.0,87.6,10.6,1.8,100.0,66.8,31.4,1.8,100.0,64.6,33.6,1.8,100.0,56.6,41.6,1.8,100.0,25.2,73.0,1.8
職業別その他（計）実数,732,699,29,4,699,610,70,19,699,458,224,17,699,474,208,17,699,400,282,17,699,164,517,18
職業別その他（計）（％）,100.0,95.5,4.0,0.5,100.0,87.3,10.0,2.7,100.0,65.5,32.0,2.4,100.0,67.8,29.8,2.4,100.0,57.2,40.3,2.4,100.0,23.5,74.0,2.6
職業別生徒・学生実数,35,33,2,-,33,26,7,-,33,17,16,-,33,15,18,-,33,13,20,-,33,9,24,-
職業別生徒・学生（％）,100.0,94.3,5.7,-,100.0,78.8,21.2,-,100.0,51.5,48.5,-,100.0,45.5,54.5,-,100.0,39.4,60.6,-,100.0,27.3,72.7,-
職業別専業主婦（夫）実数,309,296,10,3,296,261,30,5,296,196,96,4,296,198,93,5,296,166,126,4,296,81,211,4
職業別専業主婦（夫）（％）,100.0,95.8,3.2,1.0,100.0,88.2,10.1,1.7,100.0,66.2,32.4,1.4,100.0,66.9,31.4,1.7,100.0,56.1,42.6,1.4,100.0,27.4,71.3,1.4
職業別その他実数,18,18,-,-,18,15,2,1,18,15,2,1,18,12,6,-,18,11,6,1,18,5,12,1
職業別その他（％）,100.0,100.0,-,-,100.0,83.3,11.1,5.6,100.0,83.3,11.1,5.6,100.0,66.7,33.3,-,100.0,61.1,33.3,5.6,100.0,27.8,66.7,5.6
職業別無職（年金受給者含む）実数,370,352,17,1,352,308,31,13,352,230,110,12,352,249,91,12,352,210,130,12,352,69,270,13
職業別無職（年金受給者含む）（％）,100.0,95.1,4.6,0.3,100.0,87.5,8.8,3.7,100.0,65.3,31.3,3.4,100.0,70.7,25.9,3.4,100.0,59.7,36.9,3.4,100.0,19.6,76.7,3.7
投票所までの時間別５分以内実数,712,695,17,-,695,627,48,20,695,455,221,19,695,473,203,19,695,417,260,18,695,201,475,19
投票所までの時間別５分以内（％）,100.0,97.6,2.4,-,100.0,90.2,6.9,2.9,100.0,65.5,31.8,2.7,100.0,68.1,29.2,2.7,100.0,60.0,37.4,2.6,100.0,28.9,68.3,2.7
投票所までの時間別10分以内実数,769,743,22,4,743,656,66,21,743,482,241,20,743,503,219,21,743,431,292,20,743,174,547,22
投票所までの時間別10分以内（％）,100.0,96.6,2.9,0.5,100.0,88.3,8.9,2.8,100.0,64.9,32.4,2.7,100.0,67.7,29.5,2.8,100.0,58.0,39.3,2.7,100.0,23.4,73.6,3.0
投票所までの時間別20分以内実数,245,235,9,1,235,209,19,7,235,161,68,6,235,169,59,7,235,127,102,6,235,67,161,7
投票所までの時間別20分以内（％）,100.0,95.9,3.7,0.4,100.0,88.9,8.1,3.0,100.0,68.5,28.9,2.6,100.0,71.9,25.1,3.0,100.0,54.0,43.4,2.6,100.0,28.5,68.5,3.0
投票所までの時間別30分以内実数,38,38,-,-,38,30,6,2,38,26,10,2,38,24,12,2,38,20,16,2,38,7,29,2
投票所までの時間別30分以内（％）,100.0,100.0,-,-,100.0,78.9,15.8,5.3,100.0,68.4,26.3,5.3,100.0,63.2,31.6,5.3,100.0,52.6,42.1,5.3,100.0,18.4,76.3,5.3
投票所までの時間別30分を超える実数,11,11,-,-,11,10,1,-,11,7,4,-,11,7,4,-,11,6,5,-,11,3,8,-
投票所までの時間別30分を超える（％）,100.0,100.0,-,-,100.0,90.9,9.1,-,100.0,63.6,36.4,-,100.0,63.6,36.4,-,100.0,54.5,45.5,-,100.0,27.3,72.7,-
投票所までの時間別わからない実数,48,41,7,-,41,25,16,-,41,17,24,-,41,12,29,-,41,10,31,-,41,8,33,-
投票所までの時間別わからない（％）,100.0,85.4,14.6,-,100.0,61.0,39.0,-,100.0,41.5,58.5,-,100.0,29.3,70.7,-,100.0,24.4,75.6,-,100.0,19.5,80.5,-
地域別区部（計）実数,1189,1148,38,3,1148,996,107,45,1148,716,388,44,1148,740,365,43,1148,632,473,43,1148,307,794,47
地域別区部（計）（％）,100.0,96.6,3.2,0.3,100.0,86.8,9.3,3.9,100.0,62.4,33.8,3.8,100.0,64.5,31.8,3.7,100.0,55.1,41.2,3.7,100.0,26.7,69.2,4.1
地域別センターコア実数,314,310,3,1,310,273,33,4,310,181,125,4,310,184,123,3,310,169,137,4,310,75,230,5
地域別センターコア（％）,100.0,98.7,1.0,0.3,100.0,88.1,10.6,1.3,100.0,58.4,40.3,1.3,100.0,59.4,39.7,1.0,100.0,54.5,44.2,1.3,100.0,24.2,74.2,1.6
地域別区部東部・北部エリア実数,382,365,17,-,365,315,44,6,365,243,117,5,365,254,106,5,365,213,147,5,365,112,247,6
地域別区部東部・北部エリア（％）,100.0,95.5,4.5,-,100.0,86.3,12.1,1.6,100.0,66.6,32.1,1.4,100.0,69.6,29.0,1.4,100.0,58.4,40.3,1.4,100.0,30.7,67.7,1.6
地域別区部西部・南部エリア実数,493,473,18,2,473,408,30,35,473,292,146,35,473,302,136,35,473,250,189,34,473,120,317,36
地域別区部西部・南部エリア（％）,100.0,95.9,3.7,0.4,100.0,86.3,6.3,7.4,100.0,61.7,30.9,7.4,100.0,63.8,28.8,7.4,100.0,52.9,40.0,7.2,100.0,25.4,67.0,7.6
地域別市郡部（計）実数,638,618,17,3,618,562,50,6,618,432,182,4,618,449,163,6,618,379,235,4,618,153,461,4
地域別市郡部（計）（％）,100.0,96.9,2.7,0.5,100.0,90.9,8.1,1.0,100.0,69.9,29.4,0.6,100.0,72.7,26.4,1.0,100.0,61.3,38.0,0.6,100.0,24.8,74.6,0.6
地域別多摩東部エリア実数,239,235,3,1,235,204,31,-,235,152,83,-,235,154,80,1,235,131,104,-,235,66,169,-
地域別多摩東部エリア（％）,100.0,98.3,1.3,0.4,100.0,86.8,13.2,-,100.0,64.7,35.3,-,100.0,65.5,34.0,0.4,100.0,55.7,44.3,-,100.0,28.1,71.9,-
地域別多摩中央部北エリア実数,89,86,3,-,86,78,8,-,86,64,22,-,86,61,25,-,86,61,25,-,86,8,78,-
地域別多摩中央部北エリア（％）,100.0,96.6,3.4,-,100.0,90.7,9.3,-,100.0,74.4,25.6,-,100.0,70.9,29.1,-,100.0,70.9,29.1,-,100.0,9.3,90.7,-
地域別多摩中央部南エリア実数,267,258,9,-,258,246,10,2,258,187,71,-,258,205,52,1,258,160,98,-,258,72,186,-
地域別多摩中央部南エリア（％）,100.0,96.6,3.4,-,100.0,95.3,3.9,0.8,100.0,72.5,27.5,-,100.0,79.5,20.2,0.4,100.0,62.0,38.0,-,100.0,27.9,72.1,-
地域別多摩西部エリア実数,43,39,2,2,39,34,1,4,39,29,6,4,39,29,6,4,39,27,8,4,39,7,28,4
地域別多摩西部エリア（％）,100.0,90.7,4.7,4.7,100.0,87.2,2.6,10.3,100.0,74.4,15.4,10.3,100.0,74.4,15.4,10.3,100.0,69.2,20.5,10.3,100.0,17.9,71.8,10.3
選挙への関心度別関心があった（計）実数,1084,1071,11,2,1071,977,65,29,1071,740,305,26,1071,784,260,27,1071,656,389,26,1071,298,743,30
選挙への関心度別関心があった（計）（％）,100.0,98.8,1.0,0.2,100.0,91.2,6.1,2.7,100.0,69.1,28.5,2.4,100.0,73.2,24.3,2.5,100.0,61.3,36.3,2.4,100.0,27.8,69.4,2.8
選挙への関心度別関心があった実数,642,637,3,2,637,584,33,20,637,453,166,18,637,471,146,20,637,423,196,18,637,187,430,20
選挙への関心度別関心があった（％）,100.0,99.2,0.5,0.3,100.0,91.7,5.2,3.1,100.0,71.1,26.1,2.8,100.0,73.9,22.9,3.1,100.0,66.4,30.8,2.8,100.0,29.4,67.5,3.1
選挙への関心度別やや関心があった実数,442,434,8,-,434,393,32,9,434,287,139,8,434,313,114,7,434,233,193,8,434,111,313,10
選挙への関心度別やや関心があった（％）,100.0,98.2,1.8,-,100.0,90.6,7.4,2.1,100.0,66.1,32.0,1.8,100.0,72.1,26.3,1.6,100.0,53.7,44.5,1.8,100.0,25.6,72.1,2.3
選挙への関心度別関心がなかった（計）実数,179,171,8,-,171,150,14,7,171,100,64,7,171,112,52,7,171,99,65,7,171,39,125,7
選挙への関心度別関心がなかった（計）（％）,100.0,95.5,4.5,-,100.0,87.7,8.2,4.1,100.0,58.5,37.4,4.1,100.0,65.5,30.4,4.1,100.0,57.9,38.0,4.1,100.0,22.8,73.1,4.1
選挙への関心度別あまり関心がなかった実数,554,517,34,3,517,425,77,15,517,303,199,15,517,289,213,15,517,251,252,14,517,121,382,14
選挙への関心度別あまり関心がなかった（％）,100.0,93.3,6.1,0.5,100.0,82.2,14.9,2.9,100.0,58.6,38.5,2.9,100.0,55.9,41.2,2.9,100.0,48.5,48.7,2.7,100.0,23.4,73.9,2.7
選挙への関心度別関心がなかった実数,369,347,20,2,347,291,46,10,347,208,129,10,347,196,141,10,347,170,168,9,347,89,249,9
選挙への関心度別関心がなかった（％）,100.0,94.0,5.4,0.5,100.0,83.9,13.3,2.9,100.0,59.9,37.2,2.9,100.0,56.5,40.6,2.9,100.0,49.0,48.4,2.6,100.0,25.6,71.8,2.6
選挙への関心度別どちらともいえない実数,185,170,14,1,170,134,31,5,170,95,70,5,170,93,72,5,170,81,84,5,170,32,133,5
選挙への関心度別どちらともいえない（％）,100.0,91.9,7.6,0.5,100.0,78.8,18.2,2.9,100.0,55.9,41.2,2.9,100.0,54.7,42.4,2.9,100.0,47.6,49.4,2.9,100.0,18.8,78.2,2.9
選挙への関心度別わからない実数,7,5,2,-,5,4,1,-,5,3,2,-,5,2,3,-,5,3,2,-,5,1,4,-
選挙への関心度別わからない（％）,100.0,71.4,28.6,-,100.0,80.0,20.0,-,100.0,60.0,40.0,-,100.0,40.0,60.0,-,100.0,60.0,40.0,-,100.0,20.0,80.0,-
投票への意識別投票するべき（計）実数,1484,1460,21,3,1460,1315,101,44,1460,979,440,41,1460,1034,384,42,1460,871,549,40,1460,403,1013,44
投票への意識別投票するべき（計）（％）,100.0,98.4,1.4,0.2,100.0,90.1,6.9,3.0,100.0,67.1,30.1,2.8,100.0,70.8,26.3,2.9,100.0,59.7,37.6,2.7,100.0,27.6,69.4,3.0
投票への意識別必ず投票するべき実数,703,699,4,-,699,643,35,21,699,495,186,18,699,532,149,18,699,464,217,18,699,217,464,18
