,参議院議員選挙/調査数,参議院議員選挙/新聞,参議院議員選挙/雑誌,参議院議員選挙/ラジオ,参議院議員選挙/テレビ,参議院議員選挙/パソコンでのインターネット,参議院議員選挙/携帯電話・スマートフォン・タブレット等でのインターネット,参議院議員選挙/その他,参議院議員選挙/特にない,東京都知事選挙/調査数,東京都知事選挙/新聞,東京都知事選挙/雑誌,東京都知事選挙/ラジオ,東京都知事選挙/テレビ,東京都知事選挙/パソコンでのインターネット,東京都知事選挙/携帯電話・スマートフォン・タブレット等でのインターネット,東京都知事選挙/その他,東京都知事選挙/特にない
性/年齢別男性18歳,100.0,100.0,-,-,100.0,-,100.0,-,-,100.0,100.0,-,-,100.0,-,100.0,-,-
性/年齢別男性19歳,12,2,1,-,8,9,12,-,-,12,2,1,-,8,9,12,-,-
性/年齢別男性19歳,100.0,16.7,8.3,-,66.7,75.0,100.0,-,-,100.0,16.7,8.3,-,66.7,75.0,100.0,-,-
性/年齢別男性20歳代,83,18,20,6,71,62,75,-,-,83,18,20,6,71,62,75,-,-
性/年齢別男性20歳代,100.0,21.7,24.1,7.2,85.5,74.7,90.4,-,-,100.0,21.7,24.1,7.2,85.5,74.7,90.4,-,-
性/年齢別男性30歳代,122,58,21,9,108,87,103,-,-,122,58,21,9,108,87,103,-,-
性/年齢別男性30歳代,100.0,47.5,17.2,7.4,88.5,71.3,84.4,-,-,100.0,47.5,17.2,7.4,88.5,71.3,84.4,-,-
性/年齢別男性40歳代,170,117,21,24,149,106,124,1,2,170,117,21,24,149,106,124,1,2
性/年齢別男性40歳代,100.0,68.8,12.4,14.1,87.6,62.4,72.9,0.6,1.2,100.0,68.8,12.4,14.1,87.6,62.4,72.9,0.6,1.2
性/年齢別男性50歳代,152,121,11,20,137,62,83,-,1,152,121,11,20,137,62,83,-,1
性/年齢別男性50歳代,100.0,79.6,7.2,13.2,90.1,40.8,54.6,-,0.7,100.0,79.6,7.2,13.2,90.1,40.8,54.6,-,0.7
性/年齢別男性60歳代,157,137,9,50,147,41,44,-,1,157,137,9,50,147,41,44,-,1
性/年齢別男性60歳代,100.0,87.3,5.7,31.8,93.6,26.1,28,-,0.6,100.0,87.3,5.7,31.8,93.6,26.1,28,-,0.6
性/年齢別男性70歳代,107,88,9,34,89,11,2,-,-,107,88,9,34,89,11,2,-,-
性/年齢別男性70歳代,100.0,82.2,8.4,31.8,83.2,10.3,1.9,-,-,100.0,82.2,8.4,31.8,83.2,10.3,1.9,-,-
性/年齢別男性80歳以上,48,41,1,12,39,5,1,1,1,48,41,1,12,39,5,1,1,1
性/年齢別男性80歳以上,100.0,85.4,2.1,25.0,81.3,10.4,2.1,2.1,2.1,100.0,85.4,2.1,25.0,81.3,10.4,2.1,2.1,2.1
性/年齢別女性18歳,6,2,1,-,6,4,5,-,-,6,2,1,-,6,4,5,-,-
性/年齢別女性18歳,100.0,33.3,16.7,-,100.0,66.7,83.3,-,-,100.0,33.3,16.7,-,100.0,66.7,83.3,-,-
性/年齢別女性19歳,8,1,1,-,7,4,8,-,-,8,1,1,-,7,4,8,-,-
性/年齢別女性19歳,100.0,12.5,12.5,-,87.5,50.0,100.0,-,-,100.0,12.5,12.5,-,87.5,50.0,100.0,-,-
性/年齢別女性20歳代,81,21,20,5,61,59,68,-,1,81,21,20,5,61,59,68,-,1
性/年齢別女性20歳代,100.0,25.9,24.7,6.2,75.3,72.8,84,-,1.2,100.0,25.9,24.7,6.2,75.3,72.8,84,-,1.2
性/年齢別女性30歳代,135,59,17,7,118,80,106,-,-,135,59,17,7,118,80,106,-,-
性/年齢別女性30歳代,100.0,43.7,12.6,5.2,87.4,59.3,78.5,-,-,100.0,43.7,12.6,5.2,87.4,59.3,78.5,-,-
性/年齢別女性40歳代,228,143,38,16,209,108,157,-,3,228,143,38,16,209,108,157,-,3
性/年齢別女性40歳代,100.0,62.7,16.7,7.0,91.7,47.4,68.9,-,1.3,100.0,62.7,16.7,7.0,91.7,47.4,68.9,-,1.3
性/年齢別女性50歳代,159,125,10,18,147,47,78,1,-,159,125,10,18,147,47,78,1,-
性/年齢別女性50歳代,100.0,78.6,6.3,11.3,92.5,29.6,49.1,0.6,-,100.0,78.6,6.3,11.3,92.5,29.6,49.1,0.6,-
性/年齢別女性60歳代,180,153,16,39,164,28,24,2,2,180,153,16,39,164,28,24,2,2
性/年齢別女性60歳代,100.0,85.0,8.9,21.7,91.1,15.6,13.3,1.1,1.1,100.0,85.0,8.9,21.7,91.1,15.6,13.3,1.1,1.1
性/年齢別女性70歳代,124,92,2,35,111,13,9,-,-,124,92,2,35,111,13,9,-,-
性/年齢別女性70歳代,100.0,74.2,1.6,28.2,89.5,10.5,7.3,-,-,100.0,74.2,1.6,28.2,89.5,10.5,7.3,-,-
性/年齢別女性80歳以上,50,32,2,17,42,1,1,-,-,50,32,2,17,42,1,1,-,-
性/年齢別女性80歳以上,100.0,64.0,4.0,34.0,84.0,2.0,2.0,-,-,100.0,64.0,4.0,34.0,84.0,2.0,2.0,-,-
未・既婚別未婚,344,112,61,32,280,212,258,-,1,344,112,61,32,280,212,258,-,1
未・既婚別未婚,100.0,32.6,17.7,9.3,81.4,61.6,75,-,0.3,100.0,32.6,17.7,9.3,81.4,61.6,75,-,0.3
未・既婚別既婚（死別・離別を含む）,1479,1099,139,260,1334,515,643,5,10,1479,1099,139,260,1334,515,643,5,10
未・既婚別既婚（死別・離別を含む）,100.0,74.3,9.4,17.6,90.2,34.8,43.5,0.3,0.7,100.0,74.3,9.4,17.6,90.2,34.8,43.5,0.3,0.7
子供の有無別子供はいない,404,136,70,42,332,254,295,1,2,404,136,70,42,332,254,295,1,2
子供の有無別子供はいない,100.0,33.7,17.3,10.4,82.2,62.9,73,0.2,0.5,100.0,33.7,17.3,10.4,82.2,62.9,73,0.2,0.5
子供の有無別未就学（～６歳）,114,61,14,7,96,72,93,-,1,114,61,14,7,96,72,93,-,1
子供の有無別未就学（～６歳）,100.0,53.5,12.3,6.1,84.2,63.2,81.6,-,0.9,100.0,53.5,12.3,6.1,84.2,63.2,81.6,-,0.9
子供の有無別小・中・高校生,394,265,58,41,364,212,301,1,3,394,265,58,41,364,212,301,1,3
子供の有無別小・中・高校生,100.0,67.3,14.7,10.4,92.4,53.8,76.4,0.3,0.8,100.0,67.3,14.7,10.4,92.4,53.8,76.4,0.3,0.8
子供の有無別大学生・大学院生・短大生・専門学校生,144,110,19,18,132,63,87,1,-,144,110,19,18,132,63,87,1,-
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,76.4,13.2,12.5,91.7,43.8,60.4,0.7,-,100.0,76.4,13.2,12.5,91.7,43.8,60.4,0.7,-
子供の有無別学校教育終了,791,651,39,181,714,154,176,3,5,791,651,39,181,714,154,176,3,5
子供の有無別学校教育終了,100.0,82.3,4.9,22.9,90.3,19.5,22.3,0.4,0.6,100.0,82.3,4.9,22.9,90.3,19.5,22.3,0.4,0.6
子供の有無別その他,60,46,10,15,54,13,10,-,-,60,46,10,15,54,13,10,-,-
子供の有無別その他,100.0,76.7,16.7,25.0,90.0,21.7,16.7,-,-,100.0,76.7,16.7,25.0,90.0,21.7,16.7,-,-
職業別自営業（計）,133,99,17,25,114,64,59,1,1,133,99,17,25,114,64,59,1,1
職業別自営業（計）,100.0,74.4,12.8,18.8,85.7,48.1,44.4,0.8,0.8,100.0,74.4,12.8,18.8,85.7,48.1,44.4,0.8,0.8
職業別農林漁業,1,-,-,-,1,-,-,-,-,1,-,-,-,1,-,-,-,-
職業別農林漁業,100.0,-,-,-,100.0,-,-,-,-,100.0,-,-,-,100.0,-,-,-,-
職業別商工・サービス業,42,27,7,9,33,18,16,-,1,42,27,7,9,33,18,16,-,1
職業別商工・サービス業,100.0,64.3,16.7,21.4,78.6,42.9,38.1,-,2.4,100.0,64.3,16.7,21.4,78.6,42.9,38.1,-,2.4
職業別その他自由業,90,72,10,16,80,46,43,1,-,90,72,10,16,80,46,43,1,-
職業別その他自由業,100.0,80.0,11.1,17.8,88.9,51.1,47.8,1.1,-,100.0,80.0,11.1,17.8,88.9,51.1,47.8,1.1,-
職業別お勤め（計）,821,477,117,92,720,455,584,1,5,821,477,117,92,720,455,584,1,5
職業別お勤め（計）,100.0,58.1,14.3,11.2,87.7,55.4,71.1,0.1,0.6,100.0,58.1,14.3,11.2,87.7,55.4,71.1,0.1,0.6
職業別経営・管理職,74,60,8,13,61,42,41,-,-,74,60,8,13,61,42,41,-,-
職業別経営・管理職,100.0,81.1,10.8,17.6,82.4,56.8,55.4,-,-,100.0,81.1,10.8,17.6,82.4,56.8,55.4,-,-
職業別専門職・技術職,196,124,23,29,179,108,132,-,2,196,124,23,29,179,108,132,-,2
職業別専門職・技術職,100.0,63.3,11.7,14.8,91.3,55.1,67.3,-,1.0,100.0,63.3,11.7,14.8,91.3,55.1,67.3,-,1.0
職業別事務職,221,123,36,17,183,142,164,-,2,221,123,36,17,183,142,164,-,2
職業別事務職,100.0,55.7,16.3,7.7,82.8,64.3,74.2,-,0.9,100.0,55.7,16.3,7.7,82.8,64.3,74.2,-,0.9
職業別労務職・技能職,61,44,11,3,59,26,42,-,-,61,44,11,3,59,26,42,-,-
職業別労務職・技能職,100.0,72.1,18.0,4.9,96.7,42.6,68.9,-,-,100.0,72.1,18.0,4.9,96.7,42.6,68.9,-,-
職業別販売・サービス職,269,126,39,30,238,137,205,1,1,269,126,39,30,238,137,205,1,1
職業別販売・サービス職,100.0,46.8,14.5,11.2,88.5,50.9,76.2,0.4,0.4,100.0,46.8,14.5,11.2,88.5,50.9,76.2,0.4,0.4
職業別その他（計）,869,635,66,175,780,208,258,3,5,869,635,66,175,780,208,258,3,5
職業別その他（計）,100.0,73.1,7.6,20.1,89.8,23.9,29.7,0.3,0.6,100.0,73.1,7.6,20.1,89.8,23.9,29.7,0.3,0.6
職業別生徒・学生,47,12,5,-,39,35,44,-,-,47,12,5,-,39,35,44,-,-
職業別生徒・学生,100.0,25.5,10.6,-,83.0,74.5,93.6,-,-,100.0,25.5,10.6,-,83.0,74.5,93.6,-,-
職業別専業主婦（夫）,395,299,42,48,372,116,168,2,1,395,299,42,48,372,116,168,2,1
職業別専業主婦（夫）,100.0,75.7,10.6,12.2,94.2,29.4,42.5,0.5,0.3,100.0,75.7,10.6,12.2,94.2,29.4,42.5,0.5,0.3
職業別その他,25,15,2,6,20,11,11,-,-,25,15,2,6,20,11,11,-,-
職業別その他,100.0,60.0,8.0,24.0,80.0,44.0,44.0,-,-,100.0,60.0,8.0,24.0,80.0,44.0,44.0,-,-
職業別無職（年金受給者含む）,402,309,17,121,349,46,35,1,4,402,309,17,121,349,46,35,1,4
職業別無職（年金受給者含む）,100.0,76.9,4.2,30.1,86.8,11.4,8.7,0.2,1.0,100.0,76.9,4.2,30.1,86.8,11.4,8.7,0.2,1.0
投票所までの時間別５分以内,433,304,61,69,371,186,221,2,3,433,304,61,69,371,186,221,2,3
投票所までの時間別５分以内,100.0,70.2,14.1,15.9,85.7,43.0,51.0,0.5,0.7,100.0,70.2,14.1,15.9,85.7,43.0,51.0,0.5,0.7
投票所までの時間別10分以内,1067,698,111,175,952,453,572,2,8,1067,698,111,175,952,453,572,2,8
投票所までの時間別10分以内,100.0,65.4,10.4,16.4,89.2,42.5,53.6,0.2,0.7,100.0,65.4,10.4,16.4,89.2,42.5,53.6,0.2,0.7
投票所までの時間別20分以内,288,192,20,41,259,76,90,1,-,288,192,20,41,259,76,90,1,-
投票所までの時間別20分以内,100.0,66.7,6.9,14.2,89.9,26.4,31.3,0.3,-,100.0,66.7,6.9,14.2,89.9,26.4,31.3,0.3,-
投票所までの時間別30分以内,21,14,3,6,20,6,7,-,-,21,14,3,6,20,6,7,-,-
投票所までの時間別30分以内,100.0,66.7,14.3,28.6,95.2,28.6,33.3,-,-,100.0,66.7,14.3,28.6,95.2,28.6,33.3,-,-
投票所までの時間別30分を超える,3,2,1,1,3,1,1,-,-,3,2,1,1,3,1,1,-,-
投票所までの時間別30分を超える,100.0,66.7,33.3,33.3,100.0,33.3,33.3,-,-,100.0,66.7,33.3,33.3,100.0,33.3,33.3,-,-
投票所までの時間別わからない,11,1,4,-,9,5,10,-,-,11,1,4,-,9,5,10,-,-
投票所までの時間別わからない,100.0,9.1,36.4,-,81.8,45.5,90.9,-,-,100.0,9.1,36.4,-,81.8,45.5,90.9,-,-
地域別区部（計）,1381,888,150,233,1209,575,728,3,11,1381,888,150,233,1209,575,728,3,11
地域別区部（計）,100.0,64.3,10.9,16.9,87.5,41.6,52.7,0.2,0.8,100.0,64.3,10.9,16.9,87.5,41.6,52.7,0.2,0.8
地域別センターコア,388,277,35,76,338,181,198,1,1.0,388,277,35,76,338,181,198,1,1.0
地域別センターコア,100.0,71.4,9.0,19.6,87.1,46.6,51.0,0.3,0.3,100.0,71.4,9.0,19.6,87.1,46.6,51.0,0.3,0.3
地域別区部東部・北部エリア,398,248,49,72,354,147,209,2,2,398,248,49,72,354,147,209,2,2
地域別区部東部・北部エリア,100.0,62.3,12.3,18.1,88.9,36.9,52.5,0.5,0.5,100.0,62.3,12.3,18.1,88.9,36.9,52.5,0.5,0.5
地域別区部西部・南部エリア,595,363,66,85,517,247,321,-,8,595,363,66,85,517,247,321,-,8
地域別区部西部・南部エリア,100.0,61.0,11.1,14.3,86.9,41.5,53.9,-,1.3,100.0,61.0,11.1,14.3,86.9,41.5,53.9,-,1.3
地域別市郡部（計）,442,323,50,59,405,152,173,2,-,442,323,50,59,405,152,173,2,-
地域別市郡部（計）,100.0,73.1,11.3,13.3,91.6,34.4,39.1,0.5,-,100.0,73.1,11.3,13.3,91.6,34.4,39.1,0.5,-
地域別多摩東部エリア,132,85,33,21,118,46,52,-,-,132,85,33,21,118,46,52,-,-
地域別多摩東部エリア,100.0,64.4,25.0,15.9,89.4,34.8,39.4,-,-,100.0,64.4,25.0,15.9,89.4,34.8,39.4,-,-
地域別多摩中央部北エリア,70,44,7,14,63,32,36,1,-,70,44,7,14,63,32,36,1,-
地域別多摩中央部北エリア,100.0,62.9,10.0,20.0,90.0,45.7,51.4,1.4,-,100.0,62.9,10.0,20.0,90.0,45.7,51.4,1.4,-
地域別多摩中央部南エリア,201,171,7,22,186,62,68,1,-,201,171,7,22,186,62,68,1,-
地域別多摩中央部南エリア,100.0,85.1,3.5,10.9,92.5,30.8,33.8,0.5,-,100.0,85.1,3.5,10.9,92.5,30.8,33.8,0.5,-
地域別多摩西部エリア,39,23,3,2,38,12,17,-,-,39,23,3,2,38,12,17,-,-
地域別多摩西部エリア,100.0,59.0,7.7,5.1,97.4,30.8,43.6,-,-,100.0,59.0,7.7,5.1,97.4,30.8,43.6,-,-
選挙への関心度別関心があった（計）,1283,985,128,222,1138,525,591,5,2.0,1424,1059,147,245,1272,574,672,5,2
選挙への関心度別関心があった（計）,100.0,76.8,10.0,17.3,88.7,40.9,46.1,0.4,0.2,100.0,74.4,10.3,17.2,89.3,40.3,47.2,0.4,0.1
選挙への関心度別関心があった,633,513,64,125,570,214,242,5,-,769,594,79,155,695,269,311,5,-
選挙への関心度別関心があった,100.0,81.0,10.1,19.7,90.0,33.8,38.2,0.8,-,100.0,77.2,10.3,20.2,90.4,35.0,40.4,0.7,-
選挙への関心度別やや関心があった,650,472,64,97,568,311,349,-,2,655,465,68,90,577,305,361,-,2
選挙への関心度別やや関心があった,100.0,72.6,9.8,14.9,87.4,47.8,53.7,-,0.3,100.0,71.0,10.4,13.7,88.1,46.6,55.1,-,0.3
選挙への関心度別関心がなかった（計）,227,69,29,25,193,89,134,-,8,175,49,27,15,147,72,108,-,8
選挙への関心度別関心がなかった（計）,100.0,30.4,12.8,11.0,85.0,39.2,59.0,-,3.5,100.0,28.0,15.4,8.6,84.0,41.1,61.7,-,4.6
選挙への関心度別あまり関心がなかった,125,45,15,14,109,48,74,-,2.0,89,27,14,8,77,39,57,-,3
選挙への関心度別あまり関心がなかった,100.0,36.0,12.0,11.2,87.2,38.4,59.2,-,1.6,100.0,30.3,15.7,9.0,86.5,43.8,64.0,-,3.4
選挙への関心度別関心がなかった,102,24,14,11,84,41,60,-,6,86,22,13,7,70,33,51,-,5
選挙への関心度別関心がなかった,100.0,23.5,13.7,10.8,82.4,40.2,58.8,-,5.9,100.0,25.6,15.1,8.1,81.4,38.4,59.3,-,5.8
選挙への関心度別どちらともいえない,298,155,43,38,271,112,174,-,-,209,101,26,25,183,80,119,-,-
選挙への関心度別どちらともいえない,100.0,52.0,14.4,12.8,90.9,37.6,58.4,-,-,100.0,48.3,12.4,12.0,87.6,38.3,56.9,-,-
選挙への関心度別わからない,15,2,-,7,12,1,2,-,1,15,2,-,7,12,1,2,-,1
選挙への関心度別わからない,100.0,13.3,-,46.7,80.0,6.7,13.3,-,6.7,100.0,13.3,-,46.7,80.0,6.7,13.3,-,6.7
投票への意識別投票するべき（計）,1434,1061,142,242,1276,575,675,4,2,1443,1066,142,244,1285,579,679,4,2
投票への意識別投票するべき（計）,100.0,74.0,9.9,16.9,89.0,40.1,47.1,0.3,0.1,100.0,73.9,9.8,16.9,89.1,40.1,47.1,0.3,0.1
投票への意識別必ず投票するべき,596,494,58,129,534,206,224,1,-,615,506,58,130,553,212,236,1,-
投票への意識別必ず投票するべき,100.0,82.9,9.7,21.6,89.6,34.6,37.6,0.2,-,100.0,82.3,9.4,21.1,89.9,34.5,38.4,0.2,-
投票への意識別可能な限り投票するべき,838,567,84,113,742,369,451,3,2.0,828,560,84,114,732,367,443,3,2
投票への意識別可能な限り投票するべき,100.0,67.7,10.0,13.5,88.5,44.0,53.8,0.4,0.2,100.0,67.6,10.1,13.8,88.4,44.3,53.5,0.4,0.2
投票への意識別投票するのもしないのも自由,344,140,53,43,301,141,207,-,6,335,134,53,41,292,137,203,-,6
投票への意識別投票するのもしないのも自由,100.0,40.7,15.4,12.5,87.5,41.0,60.2,-,1.7,100.0,40.0,15.8,12.2,87.2,40.9,60.6,-,1.8
投票への意識別その他,1,1,-,-,1,-,-,-,-,1,1,-,-,1,-,-,-,-
投票への意識別その他,100.0,100.0,-,-,100.0,-,-,-,-,100.0,100.0,-,-,100.0,-,-,-,-
投票への意識別わからない,44,9,5,7,36,11,19,1,3,44,10,5,7,36,11,19,1,3
投票への意識別わからない,100.0,20.5,11.4,15.9,81.8,25.0,43.2,2.3,6.8,100.0,22.7,11.4,15.9,81.8,25.0,43.2,2.3,6.8
投票への参加状況別投票した（計）,1435,1055,135,233,1279,588,699,5,3,1491,1087,147,242,1332,609,726,5,3
投票への参加状況別投票した（計）,100.0,73.5,9.4,16.2,89.1,41.0,48.7,0.3,0.2,100.0,72.9,9.9,16.2,89.3,40.8,48.7,0.3,0.2
投票への参加状況別投票日に投票した,1226,907,113,197,1102,489,578,3,3,1254,930,116,194,1125,493,585,4,3
投票への参加状況別投票日に投票した,100.0,74.0,9.2,16.1,89.9,39.9,47.1,0.2,0.2,100.0,74.2,9.3,15.5,89.7,39.3,46.7,0.3,0.2
投票への参加状況別期日前投票（又は不在者投票等）をした,209,148,22,36,177,99,121,2,-,237,157,31,48,207,116,141,1,-
投票への参加状況別期日前投票（又は不在者投票等）をした,100.0,70.8,10.5,17.2,84.7,47.4,57.9,1.0,-,100.0,66.2,13.1,20.3,87.3,48.9,59.5,0.4,-
投票への参加状況別投票しなかった,377,152,65,56,328,135,197,-,8,321,120,53,47,275,115,170,-,8
投票への参加状況別投票しなかった,100.0,40.3,17.2,14.9,87.0,35.8,52.3,-,2.1,100.0,37.4,16.5,14.6,85.7,35.8,53,-,2.5
投票への参加状況別答えたくない,11,4,-,3,7,4,5,-,-,11,4,-,3,7,3,5,-,-
投票への参加状況別答えたくない,100.0,36.4,-,27.3,63.6,36.4,45.5,-,-,100.0,36.4,-,27.3,63.6,27.3,45.5,-,-
新聞の定期購読別定期購読している,1240,1174,108,212,1133,410,507,3,4,1240,1174,108,212,1133,410,507,3,4
新聞の定期購読別定期購読している,100.0,94.7,8.7,17.1,91.4,33.1,40.9,0.2,0.3,100.0,94.7,8.7,17.1,91.4,33.1,40.9,0.2,0.3
新聞の定期購読別定期購読していない,583,37,92,80,481,317,394,2,7,583,37,92,80,481,317,394,2,7
新聞の定期購読別定期購読していない,100.0,6.3,15.8,13.7,82.5,54.4,67.6,0.3,1.2,100.0,6.3,15.8,13.7,82.5,54.4,67.6,0.3,1.2
インターネットの利用有無別インターネットを利用している,1055,602,158,105,919,727,901,1,-,1055,602,158,105,919,727,901,1,-
インターネットの利用有無別インターネットを利用している,100.0,57.1,15.0,10.0,87.1,68.9,85.4,0.1,-,100.0,57.1,15.0,10.0,87.1,68.9,85.4,0.1,-
インターネットの利用有無別インターネットを利用していない,768,609,42,187,695,-,-,4,11,768,609,42,187,695,-,-,4,11
インターネットの利用有無別インターネットを利用していない,100.0,79.3,5.5,24.3,90.5,-,-,0.5,1.4,100.0,79.3,5.5,24.3,90.5,-,-,0.5,1.4
