,参議院議員選挙／調査数,参議院議員選挙／目にした,参議院議員選挙／目にしなかった,参議院議員選挙／わからない、忘れた,東京都知事選挙／調査数,東京都知事選挙／目にした,東京都知事選挙／目にしなかった,東京都知事選挙／わからない、忘れた
性/年齢別女性50歳代,100.0,73.0,18.9,8.2,100.0,73.6,18.9,7.5
性/年齢別女性60歳代,180,137,22,21,180,140,25,15
性/年齢別女性60歳代,100.0,76.1,12.2,11.7,100.0,77.8,13.9,8.3
性/年齢別女性70歳代,124,92,14,18,124,95,12,17
性/年齢別女性70歳代,100.0,74.2,11.3,14.5,100.0,76.6,9.7,13.7
性/年齢別女性80歳以上,50,28,8,14,50,29,8,13
性/年齢別女性80歳以上,100.0,56.0,16.0,28.0,100.0,58.0,16.0,26.0
未・既婚別未婚,344,141,153,50,344,146,147,51
未・既婚別未婚,100.0,41.0,44.5,14.5,100.0,42.4,42.7,14.8
未・既婚別既婚（死別・離別を含む）,1479,1067,267,145,1479,1086,260,133
未・既婚別既婚（死別・離別を含む）,100.0,72.1,18.1,9.8,100.0,73.4,17.6,9.0
子供の有無別子供はいない,404,187,166,51,404,196,156,52
子供の有無別子供はいない,100.0,46.3,41.1,12.6,100.0,48.5,38.6,12.9
子供の有無別未就学（～６歳）,114,75,35,4,114,76,33,5
子供の有無別未就学（～６歳）,100.0,65.8,30.7,3.5,100.0,66.7,28.9,4.4
子供の有無別小・中・高校生,394,273,81,40,394,275,79,40
子供の有無別小・中・高校生,100.0,69.3,20.6,10.2,100.0,69.8,20.1,10.2
子供の有無別大学生・大学院生・短大生・専門学校生,144,113,23,8,144,114,23,7
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,78.5,16.0,5.6,100.0,79.2,16.0,4.9
子供の有無別学校教育終了,791,575,118,98,791,586,119,86
子供の有無別学校教育終了,100.0,72.7,14.9,12.4,100.0,74.1,15.0,10.9
子供の有無別その他,60,44,14,2,60,44,14,2
子供の有無別その他,100.0,73.3,23.3,3.3,100.0,73.3,23.3,3.3
職業別自営業（計）,133,98,27,8,133,98,28,7
職業別自営業（計）,100.0,73.7,20.3,6.0,100.0,73.7,21.1,5.3
職業別農林漁業,1,1,-,-,1,1,-,-
職業別農林漁業,100.0,100.0,-,-,100.0,100.0,-,-
職業別商工・サービス業,42,28,10,4,42,27,12,3
職業別商工・サービス業,100.0,66.7,23.8,9.5,100.0,64.3,28.6,7.1
職業別その他自由業,90,69,17,4,90,70,16,4
職業別その他自由業,100.0,76.7,18.9,4.4,100.0,77.8,17.8,4.4
職業別お勤め（計）,821,507,240,74,821,523,225,73
職業別お勤め（計）,100.0,61.8,29.2,9.0,100.0,63.7,27.4,8.9
職業別経営・管理職,74,57,14,3,74,58,13,3
職業別経営・管理職,100.0,77.0,18.9,4.1,100.0,78.4,17.6,4.1
職業別専門職・技術職,196,139,39,18,196,140,37,19
職業別専門職・技術職,100.0,70.9,19.9,9.2,100.0,71.4,18.9,9.7
職業別事務職,221,131,72,18,221,143,62,16
職業別事務職,100.0,59.3,32.6,8.1,100.0,64.7,28.1,7.2
職業別労務職・技能職,61,41,13,7,61,41,13,7
職業別労務職・技能職,100.0,67.2,21.3,11.5,100.0,67.2,21.3,11.5
職業別販売・サービス職,269,139,102,28,269,141,100,28
職業別販売・サービス職,100.0,51.7,37.9,10.4,100.0,52.4,37.2,10.4
職業別その他（計）,869,603,153,113,869,611,154,104
職業別その他（計）,100.0,69.4,17.6,13.0,100.0,70.3,17.7,12.0
職業別生徒・学生,47,17,23,7,47,17,23,7
職業別生徒・学生,100.0,36.2,48.9,14.9,100.0,36.2,48.9,14.9
職業別専業主婦（夫）,395,288,65,42,395,296,64,35
職業別専業主婦（夫）,100.0,72.9,16.5,10.6,100.0,74.9,16.2,8.9
職業別その他,25,18,6,1,25,17,7,1
職業別その他,100.0,72.0,24.0,4.0,100.0,68.0,28.0,4.0
職業別無職（年金受給者含む）,402,280,59,63,402,281,60,61
職業別無職（年金受給者含む）,100.0,69.7,14.7,15.7,100.0,69.9,14.9,15.2
投票所までの時間別５分以内,433,310,86,37,433,316,81,36
投票所までの時間別５分以内,100.0,71.6,19.9,8.5,100.0,73.0,18.7,8.3
投票所までの時間別10分以内,1067,700,260,107,1067,716,254,97
投票所までの時間別10分以内,100.0,65.6,24.4,10.0,100.0,67.1,23.8,9.1
投票所までの時間別20分以内,288,183,62,43,288,184,61,43
投票所までの時間別20分以内,100.0,63.5,21.5,14.9,100.0,63.9,21.2,14.9
投票所までの時間別30分以内,21,10,6,5,21,11,5,5
投票所までの時間別30分以内,100.0,47.6,28.6,23.8,100.0,52.4,23.8,23.8
投票所までの時間別30分を超える,3,3,-,-,3,3,-,-
投票所までの時間別30分を超える,100.0,100.0,-,-,100.0,100.0,-,-
投票所までの時間別わからない,11,2,6,3,11,2,6,3
投票所までの時間別わからない,100.0,18.2,54.5,27.3,100.0,18.2,54.5,27.3
地域別区部（計）,1381,881,331,169,1381,902,322,157
地域別区部（計）,100.0,63.8,24.0,12.2,100.0,65.3,23.3,11.4
地域別センターコア,388,253,87,48,388,259,84,45
地域別センターコア,100.0,65.2,22.4,12.4,100.0,66.8,21.6,11.6
地域別区部東部・北部エリア,398,246,113,39,398,254,108,36
地域別区部東部・北部エリア,100.0,61.8,28.4,9.8,100.0,63.8,27.1,9.0
地域別区部西部・南部エリア,595,382,131,82,595,389,130,76
地域別区部西部・南部エリア,100.0,64.2,22.0,13.8,100.0,65.4,21.8,12.8
地域別市郡部（計）,442,327,89,26,442,330,85,27
地域別市郡部（計）,100.0,74.0,20.1,5.9,100.0,74.7,19.2,6.1
地域別多摩東部エリア,132,102,25,5,132,105,22,5
地域別多摩東部エリア,100.0,77.3,18.9,3.8,100.0,79.5,16.7,3.8
地域別多摩中央部北エリア,70,42,25,3,70,43,24,3
地域別多摩中央部北エリア,100.0,60.0,35.7,4.3,100.0,61.4,34.3,4.3
地域別多摩中央部南エリア,201,162,21,18,201,161,21,19
地域別多摩中央部南エリア,100.0,80.6,10.4,9.0,100.0,80.1,10.4,9.5
地域別多摩西部エリア,39,21,18,-,39,21,18,-
地域別多摩西部エリア,100.0,53.8,46.2,-,100.0,53.8,46.2,-
選挙への関心度別関心があった（計）,1283,1017,205,61,1424,1102,235,87
選挙への関心度別関心があった（計）,100.0,79.3,16.0,4.8,100.0,77.4,16.5,6.1
選挙への関心度別関心があった,633,534,80,19,769,633,104,32
選挙への関心度別関心があった,100.0,84.4,12.6,3.0,100.0,82.3,13.5,4.2
選挙への関心度別やや関心があった,650,483,125,42,655,469,131,55
選挙への関心度別やや関心があった,100.0,74.3,19.2,6.5,100.0,71.6,20.0,8.4
選挙への関心度別関心がなかった（計）,227,58,119,50,175,41,96,38
選挙への関心度別関心がなかった（計）,100.0,25.6,52.4,22.0,100.0,23.4,54.9,21.7
選挙への関心度別あまり関心がなかった,125,38,62,25,89,25,45,19
選挙への関心度別あまり関心がなかった,100.0,30.4,49.6,20.0,100.0,28.1,50.6,21.3
選挙への関心度別関心がなかった,102,20,57,25,86,16,51,19
選挙への関心度別関心がなかった,100.0,19.6,55.9,24.5,100.0,18.6,59.3,22.1
選挙への関心度別どちらともいえない,298,132,93,73,209,88,73,48
選挙への関心度別どちらともいえない,100.0,44.3,31.2,24.5,100.0,42.1,34.9,23.0
選挙への関心度別わからない,15,1,3,11,15,1,3,11
選挙への関心度別わからない,100.0,6.7,20.0,73.3,100.0,6.7,20.0,73.3
投票への意識別投票するべき（計）,1434,1081,256,97,1443,1102,247,94
投票への意識別投票するべき（計）,100.0,75.4,17.9,6.8,100.0,76.4,17.1,6.5
投票への意識別必ず投票するべき,596,488,85,23,615,509,80,26
投票への意識別必ず投票するべき,100.0,81.9,14.3,3.9,100.0,82.8,13.0,4.2
投票への意識別可能な限り投票するべき,838,593,171,74,828,593,167,68
投票への意識別可能な限り投票するべき,100.0,70.8,20.4,8.8,100.0,71.6,20.2,8.2
投票への意識別投票するのもしないのも自由,344,118,143,83,335,120,138,77
投票への意識別投票するのもしないのも自由,100.0,34.3,41.6,24.1,100.0,35.8,41.2,23.0
投票への意識別その他,1,1,-,-,1,1,-,-
投票への意識別その他,100.0,100.0,-,-,100.0,100.0,-,-
投票への意識別わからない,44,8,21,15,44,9,22,13
投票への意識別わからない,100.0,18.2,47.7,34.1,100.0,20.5,50.0,29.5
投票への参加状況別投票した（計）,1435,1079,275,81,1491,1125,275,91
投票への参加状況別投票した（計）,100.0,75.2,19.2,5.6,100.0,75.5,18.4,6.1
投票への参加状況別投票日に投票した,1226,918,237,71,1254,939,232,83
投票への参加状況別投票日に投票した,100.0,74.9,19.3,5.8,100.0,74.9,18.5,6.6
投票への参加状況別期日前投票（又は不在者投票等）をした,209,161,38,10,237,186,43,8
投票への参加状況別期日前投票（又は不在者投票等）をした,100.0,77.0,18.2,4.8,100.0,78.5,18.1,3.4
投票への参加状況別投票しなかった,377,128,144,105,321,106,132,83
投票への参加状況別投票しなかった,100.0,34.0,38.2,27.9,100.0,33.0,41.1,25.9
投票への参加状況別答えたくない,11,1,1,9,11,1,-,10
投票への参加状況別答えたくない,100.0,9.1,9.1,81.8,100.0,9.1,-,90.9
新聞の定期購読別定期購読している,1240,958,176,106,1240,974,167,99
新聞の定期購読別定期購読している,100.0,77.3,14.2,8.5,100.0,78.5,13.5,8.0
新聞の定期購読別定期購読していない,583,250,244,89,583,258,240,85
新聞の定期購読別定期購読していない,100.0,42.9,41.9,15.3,100.0,44.3,41.2,14.6
インターネットの利用有無別インターネットを利用している,1055,680,289,86,1055,696,273,86
インターネットの利用有無別インターネットを利用している,100.0,64.5,27.4,8.2,100.0,66.0,25.9,8.2
インターネットの利用有無別インターネットを利用していない,768,528,131,109,768,536,134,98
インターネットの利用有無別インターネットを利用していない,100.0,68.8,17.1,14.2,100.0,69.8,17.4,12.8
