,参議院議員選挙/調査数,参議院議員選挙/18歳,参議院議員選挙/19歳,参議院議員選挙/20～24歳,参議院議員選挙/25～29歳,参議院議員選挙/30～34歳,参議院議員選挙/35～39歳,参議院議員選挙/40～44歳,参議院議員選挙/45～49歳,参議院議員選挙/50～54歳,参議院議員選挙/55～59歳,参議院議員選挙/60～64歳,参議院議員選挙/65～69歳,参議院議員選挙/70～74歳,参議院議員選挙/75～79歳,参議院議員選挙/80歳以上,東京都知事選挙/調査数,東京都知事選挙/18歳,東京都知事選挙/19歳,東京都知事選挙/20～24歳,東京都知事選挙/25～29歳,東京都知事選挙/30～34歳,東京都知事選挙/35～39歳,東京都知事選挙/40～44歳,東京都知事選挙/45～49歳,東京都知事選挙/50～54歳,東京都知事選挙/55～59歳,東京都知事選挙/60～64歳,東京都知事選挙/65～69歳,東京都知事選挙/70～74歳,東京都知事選挙/75～79歳,東京都知事選挙/80歳以上
性/年齢別男性60歳代,157,-,-,-,-,-,-,-,-,-,-,57,100,-,-,-,157,-,-,-,-,-,-,-,-,-,-,57,100,-,-,-
性/年齢別男性60歳代,100.0,-,-,-,-,-,-,-,-,-,-,36.3,63.7,-,-,-,100.0,-,-,-,-,-,-,-,-,-,-,36.3,63.7,-,-,-
性/年齢別男性70歳代,107,-,-,-,-,-,-,-,-,-,-,-,-,55,52,-,107,-,-,-,-,-,-,-,-,-,-,-,-,55,52,-
性/年齢別男性70歳代,100.0,-,-,-,-,-,-,-,-,-,-,-,-,51.4,48.6,-,100.0,-,-,-,-,-,-,-,-,-,-,-,-,51.4,48.6,-
性/年齢別男性80歳以上,48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48,48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48
性/年齢別男性80歳以上,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0
性/年齢別女性18歳,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-
性/年齢別女性18歳,100.0,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
性/年齢別女性19歳,8,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-
性/年齢別女性19歳,100.0,-,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0,-,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-
性/年齢別女性20歳代,81,-,-,37,44,-,-,-,-,-,-,-,-,-,-,-,81,-,-,37,44,-,-,-,-,-,-,-,-,-,-,-
性/年齢別女性20歳代,100.0,-,-,45.7,54.3,-,-,-,-,-,-,-,-,-,-,-,100.0,-,-,45.7,54.3,-,-,-,-,-,-,-,-,-,-,-
性/年齢別女性30歳代,135,-,-,-,-,62,73,-,-,-,-,-,-,-,-,-,135,-,-,-,-,62,73,-,-,-,-,-,-,-,-,-
性/年齢別女性30歳代,100.0,-,-,-,-,45.9,54.1,-,-,-,-,-,-,-,-,-,100.0,-,-,-,-,45.9,54.1,-,-,-,-,-,-,-,-,-
性/年齢別女性40歳代,228,-,-,-,-,-,-,111,117,-,-,-,-,-,-,-,228,-,-,-,-,-,-,111,117,-,-,-,-,-,-,-
性/年齢別女性40歳代,100.0,-,-,-,-,-,-,48.7,51.3,-,-,-,-,-,-,-,100.0,-,-,-,-,-,-,48.7,51.3,-,-,-,-,-,-,-
性/年齢別女性50歳代,159,-,-,-,-,-,-,-,-,79,80,-,-,-,-,-,159,-,-,-,-,-,-,-,-,79,80,-,-,-,-,-
性/年齢別女性50歳代,100.0,-,-,-,-,-,-,-,-,49.7,50.3,-,-,-,-,-,100.0,-,-,-,-,-,-,-,-,49.7,50.3,-,-,-,-,-
性/年齢別女性60歳代,180,-,-,-,-,-,-,-,-,-,-,79,101,-,-,-,180,-,-,-,-,-,-,-,-,-,-,79,101,-,-,-
性/年齢別女性60歳代,100.0,-,-,-,-,-,-,-,-,-,-,43.9,56.1,-,-,-,100.0,-,-,-,-,-,-,-,-,-,-,43.9,56.1,-,-,-
性/年齢別女性70歳代,124,-,-,-,-,-,-,-,-,-,-,-,-,64,60,-,124,-,-,-,-,-,-,-,-,-,-,-,-,64,60,-
性/年齢別女性70歳代,100.0,-,-,-,-,-,-,-,-,-,-,-,-,51.6,48.4,-,100.0,-,-,-,-,-,-,-,-,-,-,-,-,51.6,48.4,-
性/年齢別女性80歳以上,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50
性/年齢別女性80歳以上,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0
未・既婚別未婚,344,7,20,69,73,53,37,24,14,12,7,11,8,4,3,2,344,7,20,69,73,53,37,24,14,12,7,11,8,4,3,2
未・既婚別未婚,100.0,2.0,5.8,20.1,21.2,15.4,10.8,7.0,4.1,3.5,2.0,3.2,2.3,1.2,0.9,0.6,100.0,2.0,5.8,20.1,21.2,15.4,10.8,7.0,4.1,3.5,2.0,3.2,2.3,1.2,0.9,0.6
未・既婚別既婚（死別・離別を含む）,1479,-,-,3,19,57,110,173,187,151,141,125,193,115,109,96,1479,-,-,3,19,57,110,173,187,151,141,125,193,115,109,96
未・既婚別既婚（死別・離別を含む）,100.0,-,-,0.2,1.3,3.9,7.4,11.7,12.6,10.2,9.5,8.5,13.0,7.8,7.4,6.5,100.0,-,-,0.2,1.3,3.9,7.4,11.7,12.6,10.2,9.5,8.5,13.0,7.8,7.4,6.5
子供の有無別子供はいない,404,7,20,69,81,66,45,34,25,16,9,10,7,9,3,3,404,7,20,69,81,66,45,34,25,16,9,10,7,9,3,3
子供の有無別子供はいない,100.0,1.7,5.0,17.1,20.0,16.3,11.1,8.4,6.2,4.0,2.2,2.5,1.7,2.2,0.7,0.7,100.0,1.7,5.0,17.1,20.0,16.3,11.1,8.4,6.2,4.0,2.2,2.5,1.7,2.2,0.7,0.7
子供の有無別未就学（～６歳）,114,-,-,2,11,31,33,24,11,2,-,-,-,-,-,-,114,-,-,2,11,31,33,24,11,2,-,-,-,-,-,-
子供の有無別未就学（～６歳）,100.0,-,-,1.8,9.6,27.2,28.9,21.1,9.6,1.8,-,-,-,-,-,-,100.0,-,-,1.8,9.6,27.2,28.9,21.1,9.6,1.8,-,-,-,-,-,-
子供の有無別小・中・高校生,394,-,-,-,-,17,72,139,107,41,15,2,1,-,-,-,394,-,-,-,-,17,72,139,107,41,15,2,1,-,-,-
子供の有無別小・中・高校生,100.0,-,-,-,-,4.3,18.3,35.3,27.2,10.4,3.8,0.5,0.3,-,-,-,100.0,-,-,-,-,4.3,18.3,35.3,27.2,10.4,3.8,0.5,0.3,-,-,-
子供の有無別大学生・大学院生・短大生・専門学校生,144,-,-,1,-,-,6,9,40,47,34,3,4,-,-,-,144,-,-,1,-,-,6,9,40,47,34,3,4,-,-,-
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,-,-,0.7,-,-,4.2,6.3,27.8,32.6,23.6,2.1,2.8,-,-,-,100.0,-,-,0.7,-,-,4.2,6.3,27.8,32.6,23.6,2.1,2.8,-,-,-
子供の有無別学校教育終了,791,-,-,-,-,-,3,7,39,73,97,105,180,96,104,87,791,-,-,-,-,-,3,7,39,73,97,105,180,96,104,87
子供の有無別学校教育終了,100.0,-,-,-,-,-,0.4,0.9,4.9,9.2,12.3,13.3,22.8,12.1,13.1,11.0,100.0,-,-,-,-,-,0.4,0.9,4.9,9.2,12.3,13.3,22.8,12.1,13.1,11.0
子供の有無別その他,60,-,-,-,-,-,-,-,1,2,2,17,11,14,5,8,60,-,-,-,-,-,-,-,1,2,2,17,11,14,5,8
子供の有無別その他,100.0,-,-,-,-,-,-,-,1.7,3.3,3.3,28.3,18.3,23.3,8.3,13.3,100.0,-,-,-,-,-,-,-,1.7,3.3,3.3,28.3,18.3,23.3,8.3,13.3
職業別自営業（計）,133,-,1,-,5,7,8,12,13,16,17,22,21,4,4,3,133,-,1,-,5,7,8,12,13,16,17,22,21,4,4,3
職業別自営業（計）,100.0,-,0.8,-,3.8,5.3,6.0,9.0,9.8,12.0,12.8,16.5,15.8,3.0,3.0,2.3,100.0,-,0.8,-,3.8,5.3,6.0,9.0,9.8,12.0,12.8,16.5,15.8,3.0,3.0,2.3
職業別農林漁業,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
職業別農林漁業,100.0,-,-,-,-,-,-,-,-,100.0,-,-,-,-,-,-,100.0,-,-,-,-,-,-,-,-,100.0,-,-,-,-,-,-
職業別商工・サービス業,42,-,1,-,1,2,2,2,5,4,6,10,7,2,-,-,42,-,1,-,1,2,2,2,5,4,6,10,7,2,-,-
職業別商工・サービス業,100.0,-,2.4,-,2.4,4.8,4.8,4.8,11.9,9.5,14.3,23.8,16.7,4.8,-,-,100.0,-,2.4,-,2.4,4.8,4.8,4.8,11.9,9.5,14.3,23.8,16.7,4.8,-,-
職業別その他自由業,90,-,-,-,4,5,6,10,8,11,11,12,14,2,4,3,90,-,-,-,4,5,6,10,8,11,11,12,14,2,4,3
職業別その他自由業,100.0,-,-,-,4.4,5.6,6.7,11.1,8.9,12.2,12.2,13.3,15.6,2.2,4.4,3.3,100.0,-,-,-,4.4,5.6,6.7,11.1,8.9,12.2,12.2,13.3,15.6,2.2,4.4,3.3
職業別お勤め（計）,821,2,5,43,75,85,105,137,125,97,78,39,21,5,3,1,821,2,5,43,75,85,105,137,125,97,78,39,21,5,3,1
職業別お勤め（計）,100.0,0.2,0.6,5.2,9.1,10.4,12.8,16.7,15.2,11.8,9.5,4.8,2.6,0.6,0.4,0.1,100.0,0.2,0.6,5.2,9.1,10.4,12.8,16.7,15.2,11.8,9.5,4.8,2.6,0.6,0.4,0.1
職業別経営・管理職,74,-,-,-,-,1,8,7,10,12,15,11,7,3,-,-,74,-,-,-,-,1,8,7,10,12,15,11,7,3,-,-
職業別経営・管理職,100.0,-,-,-,-,1.4,10.8,9.5,13.5,16.2,20.3,14.9,9.5,4.1,-,-,100.0,-,-,-,-,1.4,10.8,9.5,13.5,16.2,20.3,14.9,9.5,4.1,-,-
職業別専門職・技術職,196,-,-,3,16,18,27,32,30,34,19,9,7,1,-,-,196,-,-,3,16,18,27,32,30,34,19,9,7,1,-,-
職業別専門職・技術職,100.0,-,-,1.5,8.2,9.2,13.8,16.3,15.3,17.3,9.7,4.6,3.6,0.5,-,-,100.0,-,-,1.5,8.2,9.2,13.8,16.3,15.3,17.3,9.7,4.6,3.6,0.5,-,-
職業別事務職,221,-,1,19,19,28,23,40,39,25,17,7,2,-,1,-,221,-,1,19,19,28,23,40,39,25,17,7,2,-,1,-
職業別事務職,100.0,-,0.5,8.6,8.6,12.7,10.4,18.1,17.6,11.3,7.7,3.2,0.9,-,0.5,-,100.0,-,0.5,8.6,8.6,12.7,10.4,18.1,17.6,11.3,7.7,3.2,0.9,-,0.5,-
職業別労務職・技能職,61,-,-,-,4,4,9,7,10,9,10,5,2,1,-,-,61,-,-,-,4,4,9,7,10,9,10,5,2,1,-,-
職業別労務職・技能職,100.0,-,-,-,6.6,6.6,14.8,11.5,16.4,14.8,16.4,8.2,3.3,1.6,-,-,100.0,-,-,-,6.6,6.6,14.8,11.5,16.4,14.8,16.4,8.2,3.3,1.6,-,-
職業別販売・サービス職,269,2,4,21,36,34,38,51,36,17,17,7,3,-,2,1,269,2,4,21,36,34,38,51,36,17,17,7,3,-,2,1
職業別販売・サービス職,100.0,0.7,1.5,7.8,13.4,12.6,14.1,19.0,13.4,6.3,6.3,2.6,1.1,-,0.7,0.4,100.0,0.7,1.5,7.8,13.4,12.6,14.1,19.0,13.4,6.3,6.3,2.6,1.1,-,0.7,0.4
職業別その他（計）,869,5,14,29,12,18,34,48,63,50,53,75,159,110,105,94,869,5,14,29,12,18,34,48,63,50,53,75,159,110,105,94
職業別その他（計）,100.0,0.6,1.6,3.3,1.4,2.1,3.9,5.5,7.2,5.8,6.1,8.6,18.3,12.7,12.1,10.8,100.0,0.6,1.6,3.3,1.4,2.1,3.9,5.5,7.2,5.8,6.1,8.6,18.3,12.7,12.1,10.8
職業別生徒・学生,47,5,14,23,2,2,-,-,-,1,-,-,-,-,-,-,47,5,14,23,2,2,-,-,-,1,-,-,-,-,-,-
職業別生徒・学生,100.0,10.6,29.8,48.9,4.3,4.3,-,-,-,2.1,-,-,-,-,-,-,100.0,10.6,29.8,48.9,4.3,4.3,-,-,-,2.1,-,-,-,-,-,-
職業別専業主婦（夫）,395,-,-,1,5,13,32,48,59,46,45,59,48,18,15,6,395,-,-,1,5,13,32,48,59,46,45,59,48,18,15,6
職業別専業主婦（夫）,100.0,-,-,0.3,1.3,3.3,8.1,12.2,14.9,11.6,11.4,14.9,12.2,4.6,3.8,1.5,100.0,-,-,0.3,1.3,3.3,8.1,12.2,14.9,11.6,11.4,14.9,12.2,4.6,3.8,1.5
職業別その他,25,-,-,2,3,3,2,-,4,-,5,2,2,1,1,-,25,-,-,2,3,3,2,-,4,-,5,2,2,1,1,-
職業別その他,100.0,-,-,8.0,12.0,12.0,8.0,-,16.0,-,20.0,8.0,8.0,4.0,4.0,-,100.0,-,-,8.0,12.0,12.0,8.0,-,16.0,-,20.0,8.0,8.0,4.0,4.0,-
職業別無職（年金受給者含む）,402,-,-,3,2,-,-,-,-,3,3,14,109,91,89,88,402,-,-,3,2,-,-,-,-,3,3,14,109,91,89,88
職業別無職（年金受給者含む）,100.0,-,-,0.7,0.5,-,-,-,-,0.7,0.7,3.5,27.1,22.6,22.1,21.9,100.0,-,-,0.7,0.5,-,-,-,-,0.7,0.7,3.5,27.1,22.6,22.1,21.9
投票所までの時間別５分以内,433,2,8,16,20,28,33,51,44,30,38,39,51,30,29,14,433,2,8,16,20,28,33,51,44,30,38,39,51,30,29,14
投票所までの時間別５分以内,100.0,0.5,1.8,3.7,4.6,6.5,7.6,11.8,10.2,6.9,8.8,9.0,11.8,6.9,6.7,3.2,100.0,0.5,1.8,3.7,4.6,6.5,7.6,11.8,10.2,6.9,8.8,9.0,11.8,6.9,6.7,3.2
投票所までの時間別10分以内,1067,3,12,42,53,69,98,120,134,99,93,69,116,58,58,43,1067,3,12,42,53,69,98,120,134,99,93,69,116,58,58,43
投票所までの時間別10分以内,100.0,0.3,1.1,3.9,5.0,6.5,9.2,11.2,12.6,9.3,8.7,6.5,10.9,5.4,5.4,4.0,100.0,0.3,1.1,3.9,5.0,6.5,9.2,11.2,12.6,9.3,8.7,6.5,10.9,5.4,5.4,4.0
投票所までの時間別20分以内,288,1,-,12,13,11,14,26,23,29,14,27,31,29,23,35,288,1,-,12,13,11,14,26,23,29,14,27,31,29,23,35
投票所までの時間別20分以内,100.0,0.3,-,4.2,4.5,3.8,4.9,9.0,8.0,10.1,4.9,9.4,10.8,10.1,8.0,12.2,100.0,0.3,-,4.2,4.5,3.8,4.9,9.0,8.0,10.1,4.9,9.4,10.8,10.1,8.0,12.2
投票所までの時間別30分以内,21,-,-,-,2,-,2,-,-,2,2,1,2,2,2,6,21,-,-,-,2,-,2,-,-,2,2,1,2,2,2,6
投票所までの時間別30分以内,100.0,-,-,-,9.5,-,9.5,-,-,9.5,9.5,4.8,9.5,9.5,9.5,28.6,100.0,-,-,-,9.5,-,9.5,-,-,9.5,9.5,4.8,9.5,9.5,9.5,28.6
投票所までの時間別30分を超える,3,-,-,-,-,1,-,-,-,1,-,-,1,-,-,-,3,-,-,-,-,1,-,-,-,1,-,-,1,-,-,-
投票所までの時間別30分を超える,100.0,-,-,-,-,33.3,-,-,-,33.3,-,-,33.3,-,-,-,100.0,-,-,-,-,33.3,-,-,-,33.3,-,-,33.3,-,-,-
投票所までの時間別わからない,11,1,-,2,4,1,-,-,-,2,1,-,-,-,-,-,11,1,-,2,4,1,-,-,-,2,1,-,-,-,-,-
投票所までの時間別わからない,100.0,9.1,-,18.2,36.4,9.1,-,-,-,18.2,9.1,-,-,-,-,-,100.0,9.1,-,18.2,36.4,9.1,-,-,-,18.2,9.1,-,-,-,-,-
地域別区部（計）,1381,4,13,54,74,91,129,164,161,114,110,93,151,76,79,68,1381,4,13,54,74,91,129,164,161,114,110,93,151,76,79,68
地域別区部（計）,100.0,0.3,0.9,3.9,5.4,6.6,9.3,11.9,11.7,8.3,8.0,6.7,10.9,5.5,5.7,4.9,100.0,0.3,0.9,3.9,5.4,6.6,9.3,11.9,11.7,8.3,8.0,6.7,10.9,5.5,5.7,4.9
地域別センターコア,388,1,1,9,18,30,38,50,52,28,27,21,44,23,22,24,388,1,1,9,18,30,38,50,52,28,27,21,44,23,22,24
地域別センターコア,100.0,0.3,0.3,2.3,4.6,7.7,9.8,12.9,13.4,7.2,7.0,5.4,11.3,5.9,5.7,6.2,100.0,0.3,0.3,2.3,4.6,7.7,9.8,12.9,13.4,7.2,7.0,5.4,11.3,5.9,5.7,6.2
地域別区部東部・北部エリア,398,2,6,26,20,20,32,33,46,32,25,28,53,28,26,21,398,2,6,26,20,20,32,33,46,32,25,28,53,28,26,21
地域別区部東部・北部エリア,100.0,0.5,1.5,6.5,5.0,5.0,8.0,8.3,11.6,8.0,6.3,7.0,13.3,7.0,6.5,5.3,100.0,0.5,1.5,6.5,5.0,5.0,8.0,8.3,11.6,8.0,6.3,7.0,13.3,7.0,6.5,5.3
地域別区部西部・南部エリア,595,1,6,19,36,41,59,81,63,54,58,44,54,25,31,23,595,1,6,19,36,41,59,81,63,54,58,44,54,25,31,23
地域別区部西部・南部エリア,100.0,0.2,1.0,3.2,6.1,6.9,9.9,13.6,10.6,9.1,9.7,7.4,9.1,4.2,5.2,3.9,100.0,0.2,1.0,3.2,6.1,6.9,9.9,13.6,10.6,9.1,9.7,7.4,9.1,4.2,5.2,3.9
地域別市郡部（計）,442,3,7,18,18,19,18,33,40,49,38,43,50,43,33,30,442,3,7,18,18,19,18,33,40,49,38,43,50,43,33,30
地域別市郡部（計）,100.0,0.7,1.6,4.1,4.1,4.3,4.1,7.5,9.0,11.1,8.6,9.7,11.3,9.7,7.5,6.8,100.0,0.7,1.6,4.1,4.1,4.3,4.1,7.5,9.0,11.1,8.6,9.7,11.3,9.7,7.5,6.8
地域別多摩東部エリア,132,1,1,6,7,8,3,11,17,13,13,13,11,11,7,10,132,1,1,6,7,8,3,11,17,13,13,13,11,11,7,10
地域別多摩東部エリア,100.0,0.8,0.8,4.5,5.3,6.1,2.3,8.3,12.9,9.8,9.8,9.8,8.3,8.3,5.3,7.6,100.0,0.8,0.8,4.5,5.3,6.1,2.3,8.3,12.9,9.8,9.8,9.8,8.3,8.3,5.3,7.6
地域別多摩中央部北エリア,70,-,-,3,4,2,4,6,9,7,7,6,5,10,3,4,70,-,-,3,4,2,4,6,9,7,7,6,5,10,3,4
地域別多摩中央部北エリア,100.0,-,-,4.3,5.7,2.9,5.7,8.6,12.9,10.0,10.0,8.6,7.1,14.3,4.3,5.7,100.0,-,-,4.3,5.7,2.9,5.7,8.6,12.9,10.0,10.0,8.6,7.1,14.3,4.3,5.7
地域別多摩中央部南エリア,201,1,5,6,7,7,10,14,12,24,12,20,30,20,20,13,201,1,5,6,7,7,10,14,12,24,12,20,30,20,20,13
地域別多摩中央部南エリア,100.0,0.5,2.5,3.0,3.5,3.5,5.0,7.0,6.0,11.9,6.0,10.0,14.9,10.0,10.0,6.5,100.0,0.5,2.5,3.0,3.5,3.5,5.0,7.0,6.0,11.9,6.0,10.0,14.9,10.0,10.0,6.5
地域別多摩西部エリア,39,1,1,3,-,2,1,2,2,5,6,4,4,2,3,3,39,1,1,3,-,2,1,2,2,5,6,4,4,2,3,3
地域別多摩西部エリア,100.0,2.6,2.6,7.7,-,5.1,2.6,5.1,5.1,12.8,15.4,10.3,10.3,5.1,7.7,7.7,100.0,2.6,2.6,7.7,-,5.1,2.6,5.1,5.1,12.8,15.4,10.3,10.3,5.1,7.7,7.7
選挙への関心度別関心があった（計）,1283,4,8,24,37,71,99,128,149,131,112,113,161,93,83,70,1424,5,8,28,44,76,114,155,173,140,122,121,174,100,92,72
選挙への関心度別関心があった（計）,100.0,0.3,0.6,1.9,2.9,5.5,7.7,10.0,11.6,10.2,8.7,8.8,12.5,7.2,6.5,5.5,100.0,0.4,0.6,2.0,3.1,5.3,8.0,10.9,12.1,9.8,8.6,8.5,12.2,7.0,6.5,5.1
選挙への関心度別関心があった,633,3,3,11,19,26,34,49,49,65,51,63,93,69,49,49,769,4,3,15,21,35,45,64,63,82,60,80,111,76,58,52
