,問３－３調査数,問３－３選挙期間に入る前から（１月22日以前）,問３－３投票日当日を除く選挙期間中（１月23日から２月８日まで）,問３－３投票日当日（２月９日）,問３－３わからない、忘れた,問３－３無回答,問３－４調査数,問３－４選挙期間に入る前から（１月22日以前）,問３－４投票するまでの選挙期間中（投票した日を除く）,問３－４投票した日当日,問３－４わからない、忘れた
性／年齢別女性80歳以上,100.0,33.3,40.0,26.7,-,-,100.0,-,100.0,-,-
未・既婚別未婚（死別・離別を含む）,224,56,132,30,2,4,55,23,29,2,1
未・既婚別未婚（死別・離別を含む）,100.0,25.0,58.9,13.4,0.9,1.8,100.0,41.8,52.7,3.6,1.8
未・既婚別既婚,595,155,331,88,15,6,116,46,65,4,1
未・既婚別既婚,100.0,26.1,55.6,14.8,2.5,1.0,100.0,39.7,56.0,3.4,0.9
子供の有無別子供はいない,227,56,136,31,2,2,53,16,34,2,1
子供の有無別子供はいない,100.0,24.7,59.9,13.7,0.9,0.9,100.0,30.2,64.2,3.8,1.9
子供の有無別未就学（～６歳）,64,7,40,16,1,-,6,3,3,-,-
子供の有無別未就学（～６歳）,100.0,10.9,62.5,25.0,1.6,-,100.0,50.0,50.0,-,-
子供の有無別小・中・高校生,157,23,99,30,4,1,28,8,17,2,1
子供の有無別小・中・高校生,100.0,14.6,63.1,19.1,2.5,0.6,100.0,28.6,60.7,7.1,3.6
子供の有無別大学生・大学院生・短大生・専門学校生,49,11,27,10,1,-,14,8,6,-,-
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,22.4,55.1,20.4,2.0,-,100.0,57.1,42.9,-,-
子供の有無別学校教育終了,341,117,175,36,9,4,74,37,35,2,-
子供の有無別学校教育終了,100.0,34.3,51.3,10.6,2.6,1.2,100.0,50.0,47.3,2.7,-
子供の有無別その他,7,-,5,1,-,1,1,1,-,-,-
子供の有無別その他,100.0,-,71.4,14.3,-,14.3,100.0,100.0,-,-,-
職業別自営業（計）,81,31,41,7,1,1,11,4,7,-,-
職業別自営業（計）,100.0,38.3,50.6,8.6,1.2,1.2,100.0,36.4,63.6,-,-
職業別農林漁業,2,1,1,-,-,-,-,-,-,-,-
職業別農林漁業,100.0,50.0,50.0,-,-,-,-,-,-,-,-
職業別商工・サービス業,36,16,16,2,1,1,1,-,1,-,-
職業別商工・サービス業,100.0,44.4,44.4,5.6,2.8,2.8,100.0,-,100.0,-,-
職業別その他自由業,43,14,24,5,-,-,10,4,6,-,-
職業別その他自由業,100.0,32.6,55.8,11.6,-,-,100.0,40.0,60.0,-,-
職業別お勤め（計）,369,86,205,62,11,5,83,29,49,5,-
職業別お勤め（計）,100.0,23.3,55.6,16.8,3.0,1.4,100.0,34.9,59.0,6.0,-
職業別経営・管理職,52,16,28,5,2,1,17,7,9,1,-
職業別経営・管理職,100.0,30.8,53.8,9.6,3.8,1.9,100.0,41.2,52.9,5.9,-
職業別専門職・技術職,125,37,69,15,3,1,17,7,8,2,-
職業別専門職・技術職,100.0,29.6,55.2,12.0,2.4,0.8,100.0,41.2,47.1,11.8,-
職業別事務職,99,15,62,22,-,-,25,6,18,1,-
職業別事務職,100.0,15.2,62.6,22.2,-,-,100.0,24.0,72.0,4.0,-
職業別労務職・技能職,27,4,12,7,4,-,11,6,5,-,-
職業別労務職・技能職,100.0,14.8,44.4,25.9,14.8,-,100.0,54.5,45.5,-,-
職業別販売・サービス職,66,14,34,13,2,3,13,3,9,1,-
職業別販売・サービス職,100.0,21.2,51.5,19.7,3.0,4.5,100.0,23.1,69.2,7.7,-
職業別その他（計）,369,94,216,50,5,4,78,36,39,1,2
職業別その他（計）,100.0,25.5,58.5,13.6,1.4,1.1,100.0,46.2,50.0,1.3,2.6
職業別学生,10,-,9,1,-,-,1,1,-,-,-
職業別学生,100.0,-,90.0,10.0,-,-,100.0,100.0,-,-,-
職業別専業主婦（夫）,189,48,112,25,4,-,32,13,18,-,1
職業別専業主婦（夫）,100.0,25.4,59.3,13.2,2.1,-,100.0,40.6,56.3,-,3.1
職業別その他,22,6,12,4,-,-,13,7,6,-,-
職業別その他,100.0,27.3,54.5,18.2,-,-,100.0,53.8,46.2,-,-
職業別無職（年金受給者含む）,148,40,83,20,1,4,32,15,15,1,1
職業別無職（年金受給者含む）,100.0,27.0,56.1,13.5,0.7,2.7,100.0,46.9,46.9,3.1,3.1
投票所までの時間別５分以内,336,99,194,38,1,4,52,22,27,3,-
投票所までの時間別５分以内,100.0,29.5,57.7,11.3,0.3,1.2,100.0,42.3,51.9,5.8,-
投票所までの時間別10分以内,387,85,214,70,13,5,80,32,44,2,2
投票所までの時間別10分以内,100.0,22.0,55.3,18.1,3.4,1.3,100.0,40.0,55.0,2.5,2.5
投票所までの時間別20分以内,71,17,39,11,3,1,30,13,17,-,-
投票所までの時間別20分以内,100.0,23.9,54.9,15.5,4.2,1.4,100.0,43.3,56.7,-,-
投票所までの時間別30分以内,14,5,9,-,-,-,5,1,3,1,
投票所までの時間別30分以内,100.0,35.7,64.3,-,-,-,100.0,20.0,60.0,20.0,-
投票所までの時間別30分を超える,14,7,6,1,-,-,5,1,4,-,-
投票所までの時間別30分を超える,100.0,50.0,42.9,7.1,-,-,100.0,20.0,80.0,-,-
地域別区部（計）,610,144,350,99,8,9,120,49,64,6,1
地域別区部（計）,100.0,23.6,57.4,16.2,1.3,1.5,100.0,40.8,53.3,5.0,0.8
地域別センターコア,179,65,86,25,-,3,37,16,19,2,-
地域別センターコア,100.0,36.3,48.0,14.0,-,1.7,100.0,43.2,51.4,5.4,-
地域別区部東部・北部エリア,156,44,88,20,3,1,44,18,24,1,1
地域別区部東部・北部エリア,100.0,28.2,56.4,12.8,1.9,0.6,100.0,40.9,54.5,2.3,2.3
地域別区部西部・南部エリア,275,35,176,54,5,5,39,15,21,3,-
地域別区部西部・南部エリア,100.0,12.7,64.0,19.6,1.8,1.8,100.0,38.5,53.8,7.7,-
地域別市郡部（計）,217,71,115,21,9,1,52,20,31,-,1
地域別市郡部（計）,100.0,32.7,53.0,9.7,4.1,0.5,100.0,38.5,59.6,-,1.9
地域別多摩東部エリア,72,16,39,10,7,-,17,6,10,-,1
地域別多摩東部エリア,100.0,22.2,54.2,13.9,9.7,-,100.0,35.3,58.8,-,5.9
地域別多摩中央部北エリア,32,10,18,3,1,-,8,3,5,-,-
地域別多摩中央部北エリア,100.0,31.3,56.3,9.4,3.1,-,100.0,37.5,62.5,-,-
地域別多摩中央部南エリア,106,41,56,7,1,1,23,8,15,-,-
地域別多摩中央部南エリア,100.0,38.7,52.8,6.6,0.9,0.9,100.0,34.8,65.2,-,-
地域別多摩西部エリア,7,4,2,1,-,-,4,3,1,,
地域別多摩西部エリア,100.0,57.1,28.6,14.3,-,-,100.0,75.0,25.0,-,-
選挙への関心度別関心があった（計）,698,204,386,85,13,10,155,68,82,4,1
選挙への関心度別関心があった（計）,100.0,29.2,55.3,12.2,1.9,1.4,100.0,43.9,52.9,2.6,0.6
選挙への関心度別関心があった,425,151,228,35,4,7,105,52,52,-,1
選挙への関心度別関心があった,100.0,35.5,53.6,8.2,0.9,1.6,100.0,49.5,49.5,-,1.0
選挙への関心度別やや関心があった,273,53,158,50,9,3,50,16,30,4,-
選挙への関心度別やや関心があった,100.0,19.4,57.9,18.3,3.3,1.1,100.0,32.0,60.0,8.0,-
選挙への関心度別関心がなかった（計）,61,7,32,20,2,-,9,-,6,2,1
選挙への関心度別関心がなかった（計）,100.0,11.5,52.5,32.8,3.3,-,100.0,-,66.7,22.2,11.1
選挙への関心度別あまり関心がなかった,52,6,31,14,1,-,7,-,5,2,-
選挙への関心度別あまり関心がなかった,100.0,11.5,59.6,26.9,1.9,-,100.0,-,71.4,28.6,-
選挙への関心度別関心がなかった,9,1,2,6,1,-,2,-,1,,1
選挙への関心度別関心がなかった,100.0,11.1,11.1,66.7,11.1,-,100.0,-,50.0,-,50.0
選挙への関心度別どちらともいえない,68,4,47,15,2,-,8,1,7,-,-
選挙への関心度別どちらともいえない,100.0,5.9,69.1,22.1,2.9,-,100.0,12.5,87.5,-,-
選挙への関心度別わからない、答えたくない,-,-,-,-,-,-,-,-,-,-,-
選挙への関心度別わからない、答えたくない,-,-,-,-,-,-,-,-,-,-,-
投票への意識別必ず投票するべき,438,140,234,53,5,6,103,47,54,1,1
投票への意識別必ず投票するべき,100.0,32.0,53.4,12.1,1.1,1.4,100.0,45.6,52.4,1.0,1.0
投票への意識別可能な限り投票するべき,335,68,201,52,11,3,61,19,37,4,1
投票への意識別可能な限り投票するべき,100.0,20.3,60.0,15.5,3.3,0.9,100.0,31.1,60.7,6.6,1.6
投票への意識別投票するのもしないのも自由,49,7,28,13,1,-,7,3,4,-,-
投票への意識別投票するのもしないのも自由,100.0,14.3,57.1,26.5,2.0,-,100.0,42.9,57.1,-,-
投票への意識別その他,-,-,-,-,-,-,-,-,-,-,-
投票への意識別その他,-,-,-,-,-,-,-,-,-,-,-
投票への意識別わからない,2,-,1,1,-,-,1,-,-,1,-
投票への意識別わからない,100.0,-,50.0,50.0,-,-,100.0,-,-,100.0,-
投票への参加状況別投票した（計）,827,215,465,120,17,10,172,69,95,6,2
投票への参加状況別投票した（計）,100.0,26.0,56.2,14.5,2.1,1.2,100.0,40.1,55.2,3.5,1.2
投票への参加状況別投票日（２月９日）に投票した,827,215,465,120,17,10,-,-,-,-,-
投票への参加状況別投票日（２月９日）に投票した,100.0,26.0,56.2,14.5,2.1,1.2,-,-,-,-,-
投票への参加状況別期日前投票（又は不在者投票等）をした,-,-,-,-,-,-,172,69,95,6,2
投票への参加状況別期日前投票（又は不在者投票等）をした,-,-,-,-,-,-,100.0,40.1,55.2,3.5,1.2
投票への参加状況別投票しなかった,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別投票しなかった,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別答えたくない,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別答えたくない,-,-,-,-,-,-,-,-,-,-,-
ネット投票の認知度別知っている,606,159,349,83,9,6,127,51,72,3,1
ネット投票の認知度別知っている,100.0,26.2,57.6,13.7,1.5,1.0,100.0,40.2,56.7,2.4,0.8
ネット投票の認知度別知らなかった,200,53,105,35,4,3,42,17,22,2,1
ネット投票の認知度別知らなかった,100.0,26.5,52.5,17.5,2.0,1.5,100.0,40.5,52.4,4.8,2.4
インターネットの利用有無別インターネットを利用している,444,107,255,75,4,3,99,37,57,4,1
インターネットの利用有無別インターネットを利用している,100.0,24.1,57.4,16.9,0.9,0.7,100.0,37.4,57.6,4.0,1.0
インターネットの利用有無別インターネットを利用していない,381,108,208,45,13,7,73,32,38,2,1
インターネットの利用有無別インターネットを利用していない,100.0,28.3,54.6,11.8,3.4,1.8,100.0,43.8,52.1,2.7,1.4
新聞の定期購読別定期購読している,618,163,348,86,12,9,123,52,66,3,2
新聞の定期購読別定期購読している,100.0,26.4,56.3,13.9,1.9,1.5,100.0,42.3,53.7,2.4,1.6
新聞の定期購読別定期購読していない,205,50,116,33,5,1,49,17,29,3,-
新聞の定期購読別定期購読していない,100.0,24.4,56.6,16.1,2.4,0.5,100.0,34.7,59.2,6.1,-
