,調査数,知っている（計）,利用した,知っているが利用していない,知らない,わからない,無回答
職業別お勤め（計）（％）,100.0,23.9,2.7,21.2,73.0,2.6,0.5
職業別経営・管理職実数,94,29,2,27,63,2,-
職業別経営・管理職（％）,100.0,30.9,2.1,28.7,67.0,2.1,-
職業別専門職・技術職実数,243,58,10,48,177,6,2
職業別専門職・技術職（％）,100.0,23.9,4.1,19.8,72.8,2.5,0.8
職業別事務職実数,249,59,10,49,184,4,2
職業別事務職（％）,100.0,23.7,4.0,19.7,73.9,1.6,0.8
職業別労務職・技能職実数,111,29,1,28,80,2,-
職業別労務職・技能職（％）,100.0,26.1,0.9,25.2,72.1,1.8,-
職業別販売・サービス職実数,237,48,2,46,178,10,1
職業別販売・サービス職（％）,100.0,20.3,0.8,19.4,75.1,4.2,0.4
職業別その他（計）実数,732,165,10,155,512,47,8
職業別その他（計）（％）,100.0,22.5,1.4,21.2,69.9,6.4,1.1
職業別生徒・学生実数,35,8,1,7,23,4,-
職業別生徒・学生（％）,100.0,22.9,2.9,20.0,65.7,11.4,-
職業別専業主婦（夫）実数,309,72,6,66,221,14,2
職業別専業主婦（夫）（％）,100.0,23.3,1.9,21.4,71.5,4.5,0.6
職業別その他実数,18,3,-,3,13,1,1
職業別その他（％）,100.0,16.7,-,16.7,72.2,5.6,5.6
職業別無職（年金受給者含む）実数,370,82,3,79,255,28,5
職業別無職（年金受給者含む）（％）,100.0,22.2,0.8,21.4,68.9,7.6,1.4
投票所までの時間別５分以内実数,712,196,18,178,484,30,2
投票所までの時間別５分以内（％）,100.0,27.5,2.5,25.0,68.0,4.2,0.3
投票所までの時間別10分以内実数,769,158,14,144,567,36,8
投票所までの時間別10分以内（％）,100.0,20.5,1.8,18.7,73.7,4.7,1.0
投票所までの時間別20分以内実数,245,61,4,57,176,7,1
投票所までの時間別20分以内（％）,100.0,24.9,1.6,23.3,71.8,2.9,0.4
投票所までの時間別30分以内実数,38,5,1,4,32,1,-
投票所までの時間別30分以内（％）,100.0,13.2,2.6,10.5,84.2,2.6,-
投票所までの時間別30分を超える実数,11,3,-,3,7,1,-
投票所までの時間別30分を超える（％）,100.0,27.3,-,27.3,63.6,9.1,-
投票所までの時間別わからない実数,48,1,-,1,40,5,2
投票所までの時間別わからない（％）,100.0,2.1,-,2.1,83.3,10.4,4.2
地域別区部（計）実数,1189,289,30,259,848,46,6
地域別区部（計）（％）,100.0,24.3,2.5,21.8,71.3,3.9,0.5
地域別センターコア実数,314,65,9,56,237,9,3
地域別センターコア（％）,100.0,20.7,2.9,17.8,75.5,2.9,1.0
地域別区部東部・北部エリア実数,382,96,10,86,269,16,1
地域別区部東部・北部エリア（％）,100.0,25.1,2.6,22.5,70.4,4.2,0.3
地域別区部西部・南部エリア実数,493,128,11,117,342,21,2
地域別区部西部・南部エリア（％）,100.0,26.0,2.2,23.7,69.4,4.3,0.4
地域別市郡部（計）実数,638,138,7,131,459,34,7
地域別市郡部（計）（％）,100.0,21.6,1.1,20.5,71.9,5.3,1.1
地域別多摩東部エリア実数,239,63,4,59,170,4,2
地域別多摩東部エリア（％）,100.0,26.4,1.7,24.7,71.1,1.7,0.8
地域別多摩中央部北エリア実数,89,16,-,16,63,10,-
地域別多摩中央部北エリア（％）,100.0,18.0,-,18.0,70.8,11.2,-
地域別多摩中央部南エリア実数,267,49,3,46,199,17,2
地域別多摩中央部南エリア（％）,100.0,18.4,1.1,17.2,74.5,6.4,0.7
地域別多摩西部エリア実数,43,10,-,10,27,3,3
地域別多摩西部エリア（％）,100.0,23.3,-,23.3,62.8,7.0,7.0
選挙への関心度別関心があった（計）実数,1084,297,29,268,741,40,6
選挙への関心度別関心があった（計）（％）,100.0,27.4,2.7,24.7,68.4,3.7,0.6
選挙への関心度別関心があった実数,642,193,24,169,414,30,5
選挙への関心度別関心があった（％）,100.0,30.1,3.7,26.3,64.5,4.7,0.8
選挙への関心度別やや関心があった実数,442,104,5,99,327,10,1
選挙への関心度別やや関心があった（％）,100.0,23.5,1.1,22.4,74.0,2.3,0.2
選挙への関心度別関心がなかった（計）実数,179,33,3,30,134,10,2
選挙への関心度別関心がなかった（計）（％）,100.0,18.4,1.7,16.8,74.9,5.6,1.1
選挙への関心度別あまり関心がなかった実数,554,96,5,91,424,30,4
選挙への関心度別あまり関心がなかった（％）,100.0,17.3,0.9,16.4,76.5,5.4,0.7
選挙への関心度別関心がなかった実数,369,77,4,73,273,18,1
選挙への関心度別関心がなかった（％）,100.0,20.9,1.1,19.8,74.0,4.9,0.3
選挙への関心度別どちらともいえない実数,185,19,1,18,151,12,3
選挙への関心度別どちらともいえない（％）,100.0,10.3,0.5,9.7,81.6,6.5,1.6
選挙への関心度別わからない実数,7,-,-,-,7,-,-
選挙への関心度別わからない（％）,100.0,-,-,-,100.0,-,-
投票への意識別投票するべき（計）実数,1484,380,34,346,1038,58,8
投票への意識別投票するべき（計）（％）,100.0,25.6,2.3,23.3,69.9,3.9,0.5
投票への意識別必ず投票するべき実数,703,218,23,195,453,30,2
投票への意識別必ず投票するべき（％）,100.0,31.0,3.3,27.7,64.4,4.3,0.3
投票への意識別可能な限り投票するべき実数,781,162,11,151,585,28,6
投票への意識別可能な限り投票するべき（％）,100.0,20.7,1.4,19.3,74.9,3.6,0.8
投票への意識別投票するのもしないのも自由実数,315,45,3,42,248,18,4
投票への意識別投票するのもしないのも自由（％）,100.0,14.3,1.0,13.3,78.7,5.7,1.3
投票への意識別その他実数,11,1,-,1,9,1,-
投票への意識別その他（％）,100.0,9.1,-,9.1,81.8,9.1,-
投票への意識別わからない実数,15,1,-,1,11,3,-
投票への意識別わからない（％）,100.0,6.7,-,6.7,73.3,20.0,-
投票への参加状況別投票した（計）実数,1246,344,34,310,855,42,5
投票への参加状況別投票した（計）（％）,100.0,27.6,2.7,24.9,68.6,3.4,0.4
投票への参加状況別投票日（12月14日）に投票した実数,987,255,24,231,692,37,3
投票への参加状況別投票日（12月14日）に投票した（％）,100.0,25.8,2.4,23.4,70.1,3.7,0.3
投票への参加状況別期日前投票（又は不在者投票等）をした実数,259,89,10,79,163,5,2
投票への参加状況別期日前投票（又は不在者投票等）をした（％）,100.0,34.4,3.9,30.5,62.9,1.9,0.8
投票への参加状況別投票しなかった実数,563,82,3,79,438,36,7
投票への参加状況別投票しなかった（％）,100.0,14.6,0.5,14.0,77.8,6.4,1.2
投票への参加状況別答えたくない実数,18,1,-,1,14,2,1
投票への参加状況別答えたくない（％）,100.0,5.6,-,5.6,77.8,11.1,5.6
新聞の定期購読定期購読している実数,1142,292,16,276,796,46,8
新聞の定期購読定期購読している（％）,100.0,25.6,1.4,24.2,69.7,4.0,0.7
新聞の定期購読定期購読していない実数,681,134,21,113,508,34,5
新聞の定期購読定期購読していない（％）,100.0,19.7,3.1,16.6,74.6,5.0,0.7
インターネットの利用有無利用している実数,984,243,34,209,714,23,4
インターネットの利用有無利用している（％）,100.0,24.7,3.5,21.2,72.6,2.3,0.4
インターネットの利用有無利用していない実数,835,183,3,180,589,55,8
インターネットの利用有無利用していない（％）,100.0,21.9,0.4,21.6,70.5,6.6,1.0
ネット選挙の認知度別知っている実数,955,316,30,286,608,28,3
ネット選挙の認知度別知っている（％）,100.0,33.1,3.1,29.9,63.7,2.9,0.3
ネット選挙の認知度別知らなかった実数,752,85,5,80,615,46,6
ネット選挙の認知度別知らなかった（％）,100.0,11.3,0.7,10.6,81.8,6.1,0.8
