,調査数,読んだ（計）,よく読んだ,一通りざっと読んだ,一部分だけ読んだ,読まなかった,無回答
職業別農林漁業（％）,100.0,100.0,100.0,-,-,-,-
職業別商工・サービス業実数,55,51,10,32,9,3,1
職業別商工・サービス業（％）,100.0,92.7,18.2,58.2,16.4,5.5,1.8
職業別その他自由業実数,35,33,4,22,7,2,-
職業別その他自由業（％）,100.0,94.3,11.4,62.9,20.0,5.7,-
職業別お勤め（計）実数,440,400,49,267,84,39,1
職業別お勤め（計）（％）,100.0,90.9,11.1,60.7,19.1,8.9,0.2
職業別経営・管理職実数,43,39,6,25,8,4,-
職業別経営・管理職（％）,100.0,90.7,14.0,58.1,18.6,9.3,-
職業別専門職・技術職実数,120,115,14,78,23,5,-
職業別専門職・技術職（％）,100.0,95.8,11.7,65.0,19.2,4.2,-
職業別事務職実数,131,125,15,79,31,6,-
職業別事務職（％）,100.0,95.4,11.5,60.3,23.7,4.6,-
職業別労務職・技能職実数,46,37,4,29,4,9,-
職業別労務職・技能職（％）,100.0,80.4,8.7,63.0,8.7,19.6,-
職業別販売・サービス職実数,100,84,10,56,18,15,1
職業別販売・サービス職（％）,100.0,84.0,10.0,56.0,18.0,15.0,1.0
職業別その他（計）実数,459,418,85,259,74,35,6
職業別その他（計）（％）,100.0,91.1,18.5,56.4,16.1,7.6,1.3
職業別生徒・学生実数,11,8,2,6,-,2,1
職業別生徒・学生（％）,100.0,72.7,18.2,54.5,-,18.2,9.1
職業別専業主婦（夫）実数,207,184,32,115,37,21,2
職業別専業主婦（夫）（％）,100.0,88.9,15.5,55.6,17.9,10.1,1.0
職業別その他実数,8,7,4,2,1,-,1
職業別その他（％）,100.0,87.5,50.0,25.0,12.5,-,12.5
職業別無職（年金受給者含む）実数,233,219,47,136,36,12,2
職業別無職（年金受給者含む）（％）,100.0,94.0,20.2,58.4,15.5,5.2,0.9
投票所までの時間別５分以内実数,403,365,62,232,71,36,2
投票所までの時間別５分以内（％）,100.0,90.6,15.4,57.6,17.6,8.9,0.5
投票所までの時間別10分以内実数,416,389,61,248,80,24,3
投票所までの時間別10分以内（％）,100.0,93.5,14.7,59.6,19.2,5.8,0.7
投票所までの時間別20分以内実数,138,122,21,86,15,13,3
投票所までの時間別20分以内（％）,100.0,88.4,15.2,62.3,10.9,9.4,2.2
投票所までの時間別30分以内実数,20,17,3,9,5,3,-
投票所までの時間別30分以内（％）,100.0,85.0,15.0,45.0,25.0,15.0,-
投票所までの時間別30分を超える実数,3,3,1,1,1,-,-
投票所までの時間別30分を超える（％）,100.0,100.0,33.3,33.3,33.3,-,-
投票所までの時間別わからない実数,11,8,1,5,2,3,-
投票所までの時間別わからない（％）,100.0,72.7,9.1,45.5,18.2,27.3,-
地域別区部（計）実数,612,554,95,350,109,50,8
地域別区部（計）（％）,100.0,90.5,15.5,57.2,17.8,8.2,1.3
地域別センターコア実数,151,133,19,81,33,17,1
地域別センターコア（％）,100.0,88.1,12.6,53.6,21.9,11.3,0.7
地域別区部東部・北部エリア実数,198,176,34,106,36,20,2
地域別区部東部・北部エリア（％）,100.0,88.9,17.2,53.5,18.2,10.1,1.0
地域別区部西部・南部エリア実数,263,245,42,163,40,13,5
地域別区部西部・南部エリア（％）,100.0,93.2,16.0,62.0,15.2,4.9,1.9
地域別市郡部（計）実数,381,352,54,232,66,29,-
地域別市郡部（計）（％）,100.0,92.4,14.2,60.9,17.3,7.6,-
地域別多摩東部エリア実数,151,138,19,92,27,13,-
地域別多摩東部エリア（％）,100.0,91.4,12.6,60.9,17.9,8.6,-
地域別多摩中央部北エリア実数,56,53,7,35,11,3,-
地域別多摩中央部北エリア（％）,100.0,94.6,12.5,62.5,19.6,5.4,-
地域別多摩中央部南エリア実数,152,139,22,93,24,13,-
地域別多摩中央部南エリア（％）,100.0,91.4,14.5,61.2,15.8,8.6,-
地域別多摩西部エリア実数,22,22,6,12,4,-,-
地域別多摩西部エリア（％）,100.0,100.0,27.3,54.5,18.2,-,-
選挙への関心度別関心があった（計）実数,719,681,131,436,114,34,4
選挙への関心度別関心があった（計）（％）,100.0,94.7,18.2,60.6,15.9,4.7,0.6
選挙への関心度別関心があった実数,454,434,109,260,65,18,2
選挙への関心度別関心があった（％）,100.0,95.6,24.0,57.3,14.3,4.0,0.4
選挙への関心度別やや関心があった実数,265,247,22,176,49,16,2
選挙への関心度別やや関心があった（％）,100.0,93.2,8.3,66.4,18.5,6.0,0.8
選挙への関心度別関心がなかった（計）実数,77,69,5,50,14,7,1
選挙への関心度別関心がなかった（計）（％）,100.0,89.6,6.5,64.9,18.2,9.1,1.3
選挙への関心度別あまり関心がなかった実数,195,154,13,94,47,38,3
選挙への関心度別あまり関心がなかった（％）,100.0,79.0,6.7,48.2,24.1,19.5,1.5
選挙への関心度別関心がなかった実数,154,124,11,77,36,27,3
選挙への関心度別関心がなかった（％）,100.0,80.5,7.1,50.0,23.4,17.5,1.9
選挙への関心度別どちらともいえない実数,41,30,2,17,11,11,-
選挙への関心度別どちらともいえない（％）,100.0,73.2,4.9,41.5,26.8,26.8,-
選挙への関心度別わからない実数,1,1,-,1,-,-,-
選挙への関心度別わからない（％）,100.0,100.0,-,100.0,-,-,-
投票への意識別投票するべき（計）実数,903,839,142,547,150,58,6
投票への意識別投票するべき（計）（％）,100.0,92.9,15.7,60.6,16.6,6.4,0.7
投票への意識別必ず投票するべき実数,487,463,111,280,72,22,2
投票への意識別必ず投票するべき（％）,100.0,95.1,22.8,57.5,14.8,4.5,0.4
投票への意識別可能な限り投票するべき実数,416,376,31,267,78,36,4
投票への意識別可能な限り投票するべき（％）,100.0,90.4,7.5,64.2,18.8,8.7,1.0
投票への意識別投票するのもしないのも自由実数,82,61,5,33,23,19,2
投票への意識別投票するのもしないのも自由（％）,100.0,74.4,6.1,40.2,28.0,23.2,2.4
投票への意識別その他実数,5,4,1,2,1,1,-
投票への意識別その他（％）,100.0,80.0,20.0,40.0,20.0,20.0,-
投票への意識別わからない実数,3,2,1,-,1,1,-
投票への意識別わからない（％）,100.0,66.7,33.3,-,33.3,33.3,-
投票への参加状況別投票した（計）実数,803,760,137,492,131,37,6
投票への参加状況別投票した（計）（％）,100.0,94.6,17.1,61.3,16.3,4.6,0.7
投票への参加状況別投票日（12月14日）に投票した実数,622,588,99,384,105,29,5
投票への参加状況別投票日（12月14日）に投票した（％）,100.0,94.5,15.9,61.7,16.9,4.7,0.8
投票への参加状況別期日前投票（又は不在者投票等）をした実数,181,172,38,108,26,8,1
投票への参加状況別期日前投票（又は不在者投票等）をした（％）,100.0,95.0,21.0,59.7,14.4,4.4,0.6
投票への参加状況別投票しなかった実数,184,142,12,87,43,40,2
投票への参加状況別投票しなかった（％）,100.0,77.2,6.5,47.3,23.4,21.7,1.1
投票への参加状況別答えたくない実数,6,4,-,3,1,2,-
投票への参加状況別答えたくない（％）,100.0,66.7,-,50.0,16.7,33.3,-
新聞の定期購読定期購読している実数,699,643,114,406,123,50,6
新聞の定期購読定期購読している（％）,100.0,92.0,16.3,58.1,17.6,7.2,0.9
新聞の定期購読定期購読していない実数,291,262,35,176,51,28,1
新聞の定期購読定期購読していない（％）,100.0,90.0,12.0,60.5,17.5,9.6,0.3
インターネットの利用有無利用している実数,496,458,58,298,102,35,3
インターネットの利用有無利用している（％）,100.0,92.3,11.7,60.1,20.6,7.1,0.6
インターネットの利用有無利用していない実数,495,447,91,284,72,44,4
インターネットの利用有無利用していない（％）,100.0,90.3,18.4,57.4,14.5,8.9,0.8
ネット選挙の認知度別知っている実数,594,551,95,361,95,42,1
ネット選挙の認知度別知っている（％）,100.0,92.8,16.0,60.8,16.0,7.1,0.2
ネット選挙の認知度別知らなかった実数,327,288,43,177,68,33,6
ネット選挙の認知度別知らなかった（％）,100.0,88.1,13.1,54.1,20.8,10.1,1.8
