,調査数,当選させたい候補者がいたから,自分の支持する政党の推す候補者を当選させたかったから,国政をよくするためには、投票することが大切だと思ったから,今の政治がよくないので、変えたいと思ったから,自分の関係する団体、組織、知り合いの人に投票を頼まれたから,投票することは、義務であるから,投票することは、権利であるから,当選させたくない候補者がいたから,友人や家族が行くから、なんとなく,投票率が気になったから,テレビ・ラジオ・新聞などメディアの報道を見て興味を持ったから,インターネット上の情報を見て興味を持ったから,その他,わからない,無回答
性/年齢別男性40歳代実数,116,10,26,70,24,-,51,64,7,1,7,4,4,3,-,-
性/年齢別男性40歳代（％）,100.0,8.6,22.4,60.3,20.7,-,44.0,55.2,6.0,0.9,6.0,3.4,3.4,2.6,-,-
性/年齢別男性50歳代実数,107,18,17,54,15,6,49,36,6,4,1,2,1,-,1,-
性/年齢別男性50歳代（％）,100.0,16.8,15.9,50.5,14.0,5.6,45.8,33.6,5.6,3.7,0.9,1.9,0.9,-,0.9,-
性/年齢別男性60歳代実数,117,35,52,63,28,-,59,52,4,-,5,3,-,-,-,-
性/年齢別男性60歳代（％）,100.0,29.9,44.4,53.8,23.9,-,50.4,44.4,3.4,-,4.3,2.6,-,-,-,-
性/年齢別男性70歳代実数,116,35,47,57,18,3,59,40,8,2,3,6,-,1,-,1
性/年齢別男性70歳代（％）,100.0,30.2,40.5,49.1,15.5,2.6,50.9,34.5,6.9,1.7,2.6,5.2,-,0.9,-,0.9
性/年齢別男性80歳以上実数,37,7,17,15,2,2,20,11,1,-,1,1,-,-,-,-
性/年齢別男性80歳以上（％）,100.0,18.9,45.9,40.5,5.4,5.4,54.1,29.7,2.7,-,2.7,2.7,-,-,-,-
性/年齢別女性20歳代実数,42,5,6,25,10,1,16,19,2,6,3,4,2,-,-,-
性/年齢別女性20歳代（％）,100.0,11.9,14.3,59.5,23.8,2.4,38.1,45.2,4.8,14.3,7.1,9.5,4.8,-,-,-
性/年齢別女性30歳代実数,86,6,13,42,7,5,43,36,4,9,4,4,1,1,1,-
性/年齢別女性30歳代（％）,100.0,7.0,15.1,48.8,8.1,5.8,50.0,41.9,4.7,10.5,4.7,4.7,1.2,1.2,1.2,-
性/年齢別女性40歳代実数,131,8,21,69,23,4,57,60,6,7,8,8,2,3,-,-
性/年齢別女性40歳代（％）,100.0,6.1,16.0,52.7,17.6,3.1,43.5,45.8,4.6,5.3,6.1,6.1,1.5,2.3,-,-
性/年齢別女性50歳代実数,88,10,19,55,20,4,47,42,3,3,4,2,1,1,-,-
性/年齢別女性50歳代（％）,100.0,11.4,21.6,62.5,22.7,4.5,53.4,47.7,3.4,3.4,4.5,2.3,1.1,1.1,-,-
性/年齢別女性60歳代実数,116,21,38,57,26,2,66,41,4,1,1,7,-,1,1,-
性/年齢別女性60歳代（％）,100.0,18.1,32.8,49.1,22.4,1.7,56.9,35.3,3.4,0.9,0.9,6.0,-,0.9,0.9,-
性/年齢別女性70歳代実数,123,35,43,58,24,5,66,31,1,4,9,5,-,1,1,-
性/年齢別女性70歳代（％）,100.0,28.5,35.0,47.2,19.5,4.1,53.7,25.2,0.8,3.3,7.3,4.1,-,0.8,0.8,-
性/年齢別女性80歳以上実数,43,13,10,19,1,2,23,10,2,3,1,2,-,-,-,-
性/年齢別女性80歳以上（％）,100.0,30.2,23.3,44.2,2.3,4.7,53.5,23.3,4.7,7.0,2.3,4.7,-,-,-,-
未・既婚別未婚実数,248,31,59,118,36,7,103,102,17,21,9,8,5,1,-,-
未・既婚別未婚（％）,100.0,12.5,23.8,47.6,14.5,2.8,41.5,41.1,6.9,8.5,3.6,3.2,2.0,0.4,-,-
未・既婚別既婚（死別・離別を含む）実数,991,178,270,518,176,31,500,385,38,28,42,45,8,10,4,1
未・既婚別既婚（死別・離別を含む）（％）,100.0,18.0,27.2,52.3,17.8,3.1,50.5,38.8,3.8,2.8,4.2,4.5,0.8,1.0,0.4,0.1
子供の有無別子供はいない実数,392,54,94,193,55,10,174,164,20,25,18,14,8,3,-,-
子供の有無別子供はいない（％）,100.0,13.8,24.0,49.2,14.0,2.6,44.4,41.8,5.1,6.4,4.6,3.6,2.0,0.8,-,-
子供の有無別未就学（～６歳）実数,117,6,17,57,20,3,52,49,8,5,5,9,3,2,1,-
子供の有無別未就学（～６歳）（％）,100.0,5.1,14.5,48.7,17.1,2.6,44.4,41.9,6.8,4.3,4.3,7.7,2.6,1.7,0.9,-
子供の有無別小・中・高校生実数,195,14,31,109,33,5,88,76,7,10,6,10,2,5,-,-
子供の有無別小・中・高校生（％）,100.0,7.2,15.9,55.9,16.9,2.6,45.1,39.0,3.6,5.1,3.1,5.1,1.0,2.6,-,-
子供の有無別大学生・大学院生・短大生・専門学校生実数,78,11,17,39,15,2,37,34,2,3,4,5,1,3,-,-
子供の有無別大学生・大学院生・短大生・専門学校生（％）,100.0,14.1,21.8,50.0,19.2,2.6,47.4,43.6,2.6,3.8,5.1,6.4,1.3,3.8,-,-
子供の有無別学校教育終了実数,547,134,187,280,103,20,286,193,19,10,21,21,1,5,3,1
子供の有無別学校教育終了（％）,100.0,24.5,34.2,51.2,18.8,3.7,52.3,35.3,3.5,1.8,3.8,3.8,0.2,0.9,0.5,0.2
子供の有無別その他実数,5,1,3,4,2,-,4,5,1,-,1,1,-,-,-,-
子供の有無別その他（％）,100.0,20.0,60.0,80.0,40.0,-,80.0,100.0,20.0,-,20.0,20.0,-,-,-,-
職業別自営業（計）実数,108,23,38,54,27,1,52,33,8,4,3,4,-,-,-,-
職業別自営業（計）（％）,100.0,21.3,35.2,50.0,25.0,0.9,48.1,30.6,7.4,3.7,2.8,3.7,-,-,-,-
職業別農林漁業実数,2,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-
職業別農林漁業（％）,100.0,50.0,-,-,-,-,-,-,-,50.0,-,-,-,-,-,-
職業別商工・サービス業実数,67,18,27,33,18,1,33,18,2,3,2,2,-,-,-,-
職業別商工・サービス業（％）,100.0,26.9,40.3,49.3,26.9,1.5,49.3,26.9,3.0,4.5,3.0,3.0,-,-,-,-
職業別その他自由業実数,39,4,11,21,9,-,19,15,6,-,1,2,-,-,-,-
職業別その他自由業（％）,100.0,10.3,28.2,53.8,23.1,-,48.7,38.5,15.4,-,2.6,5.1,-,-,-,-
職業別お勤め（計）実数,612,66,137,323,100,17,290,272,28,26,22,27,12,6,2,-
職業別お勤め（計）（％）,100.0,10.8,22.4,52.8,16.3,2.8,47.4,44.4,4.6,4.2,3.6,4.4,2.0,1.0,0.3,-
職業別経営・管理職実数,70,7,15,42,11,1,38,33,3,1,4,2,-,-,-,-
職業別経営・管理職（％）,100.0,10.0,21.4,60.0,15.7,1.4,54.3,47.1,4.3,1.4,5.7,2.9,-,-,-,-
職業別専門職・技術職実数,175,21,33,92,34,4,71,93,12,8,5,6,5,4,-,-
職業別専門職・技術職（％）,100.0,12.0,18.9,52.6,19.4,2.3,40.6,53.1,6.9,4.6,2.9,3.4,2.9,2.3,-,-
職業別事務職実数,172,11,41,91,26,1,82,77,7,5,8,8,3,-,1,-
職業別事務職（％）,100.0,6.4,23.8,52.9,15.1,0.6,47.7,44.8,4.1,2.9,4.7,4.7,1.7,-,0.6,-
職業別労務職・技能職実数,59,15,16,30,7,4,27,14,3,3,3,4,1,-,-,-
職業別労務職・技能職（％）,100.0,25.4,27.1,50.8,11.9,6.8,45.8,23.7,5.1,5.1,5.1,6.8,1.7,-,-,-
職業別販売・サービス職実数,136,12,32,68,22,7,72,55,3,9,2,7,3,2,1,-
職業別販売・サービス職（％）,100.0,8.8,23.5,50.0,16.2,5.1,52.9,40.4,2.2,6.6,1.5,5.1,2.2,1.5,0.7,-
職業別その他（計）実数,519,120,154,258,85,20,263,181,19,19,26,22,2,5,2,1
職業別その他（計）（％）,100.0,23.1,29.7,49.7,16.4,3.9,50.7,34.9,3.7,3.7,5.0,4.2,0.4,1.0,0.4,0.2
職業別生徒・学生実数,21,-,3,13,3,-,8,13,3,6,3,2,1,-,-,-
職業別生徒・学生（％）,100.0,-,14.3,61.9,14.3,-,38.1,61.9,14.3,28.6,14.3,9.5,4.8,-,-,-
職業別専業主婦（夫）実数,222,42,55,117,42,13,113,75,6,9,13,10,-,3,1,-
職業別専業主婦（夫）（％）,100.0,18.9,24.8,52.7,18.9,5.9,50.9,33.8,2.7,4.1,5.9,4.5,-,1.4,0.5,-
職業別その他実数,12,4,4,5,1,-,5,4,-,-,-,-,1,-,-,-
職業別その他（％）,100.0,33.3,33.3,41.7,8.3,-,41.7,33.3,-,-,-,-,8.3,-,-,-
職業別無職（年金受給者含む）実数,264,74,92,123,39,7,137,89,10,4,10,10,-,2,1,1
職業別無職（年金受給者含む）（％）,100.0,28.0,34.8,46.6,14.8,2.7,51.9,33.7,3.8,1.5,3.8,3.8,-,0.8,0.4,0.4
投票所までの時間別５分以内実数,538,85,145,274,93,11,267,217,23,26,26,21,7,4,2,-
投票所までの時間別５分以内（％）,100.0,15.8,27.0,50.9,17.3,2.0,49.6,40.3,4.3,4.8,4.8,3.9,1.3,0.7,0.4,-
投票所までの時間別10分以内実数,515,94,146,263,77,14,247,195,23,13,16,25,6,5,2,1
投票所までの時間別10分以内（％）,100.0,18.3,28.3,51.1,15.0,2.7,48.0,37.9,4.5,2.5,3.1,4.9,1.2,1.0,0.4,0.2
投票所までの時間別20分以内実数,163,25,30,84,40,12,80,65,8,8,7,7,1,2,-,-
投票所までの時間別20分以内（％）,100.0,15.3,18.4,51.5,24.5,7.4,49.1,39.9,4.9,4.9,4.3,4.3,0.6,1.2,-,-
投票所までの時間別30分以内実数,19,6,6,13,2,1,10,8,-,1,2,-,-,-,-,-
投票所までの時間別30分以内（％）,100.0,31.6,31.6,68.4,10.5,5.3,52.6,42.1,-,5.3,10.5,-,-,-,-,-
投票所までの時間別30分を超える実数,6,-,2,3,1,-,1,3,2,1,-,-,-,-,-,-
投票所までの時間別30分を超える（％）,100.0,-,33.3,50.0,16.7,-,16.7,50.0,33.3,16.7,-,-,-,-,-,-
投票所までの時間別わからない実数,2,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-
投票所までの時間別わからない（％）,100.0,-,50.0,50.0,-,-,-,-,-,-,-,-,-,-,-,-
地域別区部（計）実数,826,139,215,409,137,21,392,320,31,38,25,32,11,9,1,1
地域別区部（計）（％）,100.0,16.8,26.0,49.5,16.6,2.5,47.5,38.7,3.8,4.6,3.0,3.9,1.3,1.1,0.1,0.1
地域別センターコア実数,207,46,63,101,35,5,106,84,9,4,4,6,1,2,-,-
地域別センターコア（％）,100.0,22.2,30.4,48.8,16.9,2.4,51.2,40.6,4.3,1.9,1.9,2.9,0.5,1.0,-,-
地域別区部東部・北部エリア実数,268,45,63,126,46,13,126,93,6,15,8,13,2,3,-,-
地域別区部東部・北部エリア（％）,100.0,16.8,23.5,47.0,17.2,4.9,47.0,34.7,2.2,5.6,3.0,4.9,0.7,1.1,-,-
地域別区部西部・南部エリア実数,351,48,89,182,56,3,160,143,16,19,13,13,8,4,1,1
地域別区部西部・南部エリア（％）,100.0,13.7,25.4,51.9,16.0,0.9,45.6,40.7,4.6,5.4,3.7,3.7,2.3,1.1,0.3,0.3
地域別市郡部（計）実数,420,71,115,230,76,17,214,169,26,11,26,21,3,2,3,-
地域別市郡部（計）（％）,100.0,16.9,27.4,54.8,18.1,4.0,51.0,40.2,6.2,2.6,6.2,5.0,0.7,0.5,0.7,-
地域別多摩東部エリア実数,169,28,47,92,33,6,79,68,11,2,11,6,2,1,3,-
地域別多摩東部エリア（％）,100.0,16.6,27.8,54.4,19.5,3.6,46.7,40.2,6.5,1.2,6.5,3.6,1.2,0.6,1.8,-
地域別多摩中央部北エリア実数,53,15,20,27,11,7,24,20,4,1,4,2,-,1,-,-
地域別多摩中央部北エリア（％）,100.0,28.3,37.7,50.9,20.8,13.2,45.3,37.7,7.5,1.9,7.5,3.8,-,1.9,-,-
地域別多摩中央部南エリア実数,171,21,43,95,28,3,98,72,11,6,11,10,1,-,-,-
地域別多摩中央部南エリア（％）,100.0,12.3,25.1,55.6,16.4,1.8,57.3,42.1,6.4,3.5,6.4,5.8,0.6,-,-,-
地域別多摩西部エリア実数,27,7,5,16,4,1,13,9,-,2,-,3,-,-,-,-
地域別多摩西部エリア（％）,100.0,25.9,18.5,59.3,14.8,3.7,48.1,33.3,-,7.4,-,11.1,-,-,-,-
選挙への関心度別関心があった（計）実数,918,191,291,515,172,22,431,372,48,20,39,41,13,3,3,1
選挙への関心度別関心があった（計）（％）,100.0,20.8,31.7,56.1,18.7,2.4,46.9,40.5,5.2,2.2,4.2,4.5,1.4,0.3,0.3,0.1
選挙への関心度別関心があった実数,577,147,206,342,119,10,267,243,31,4,23,21,8,1,2,1
選挙への関心度別関心があった（％）,100.0,25.5,35.7,59.3,20.6,1.7,46.3,42.1,5.4,0.7,4.0,3.6,1.4,0.2,0.3,0.2
選挙への関心度別やや関心があった実数,341,44,85,173,53,12,164,129,17,16,16,20,5,2,1,-
選挙への関心度別やや関心があった（％）,100.0,12.9,24.9,50.7,15.5,3.5,48.1,37.8,5.0,4.7,4.7,5.9,1.5,0.6,0.3,-
選挙への関心度別関心がなかった（計）実数,121,6,12,51,18,7,63,36,2,6,6,5,1,2,-,-
選挙への関心度別関心がなかった（計）（％）,100.0,5.0,9.9,42.1,14.9,5.8,52.1,29.8,1.7,5.0,5.0,4.1,0.8,1.7,-,-
選挙への関心度別あまり関心がなかった実数,203,12,27,72,23,9,111,80,7,22,6,7,-,6,1,-
選挙への関心度別あまり関心がなかった（％）,100.0,5.9,13.3,35.5,11.3,4.4,54.7,39.4,3.4,10.8,3.0,3.4,-,3.0,0.5,-
選挙への関心度別関心がなかった実数,169,10,23,60,18,9,94,63,4,16,6,7,-,5,-,-
選挙への関心度別関心がなかった（％）,100.0,5.9,13.6,35.5,10.7,5.3,55.6,37.3,2.4,9.5,3.6,4.1,-,3.0,-,-
選挙への関心度別どちらともいえない実数,34,2,4,12,5,-,17,17,3,6,-,-,-,1,1,-
選挙への関心度別どちらともいえない（％）,100.0,5.9,11.8,35.3,14.7,-,50.0,50.0,8.8,17.6,-,-,-,2.9,2.9,-
選挙への関心度別わからない実数,2,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-
選挙への関心度別わからない（％）,100.0,50.0,-,-,-,-,-,-,-,50.0,-,-,-,-,-,-
投票への意識別投票するべき（計）実数,1168,197,316,622,206,35,591,474,52,33,49,50,13,8,2,1
投票への意識別投票するべき（計）（％）,100.0,16.9,27.1,53.3,17.6,3.0,50.6,40.6,4.5,2.8,4.2,4.3,1.1,0.7,0.2,0.1
投票への意識別必ず投票するべき実数,657,136,203,370,124,18,349,278,32,9,26,23,7,4,2,1
投票への意識別必ず投票するべき（％）,100.0,20.7,30.9,56.3,18.9,2.7,53.1,42.3,4.9,1.4,4.0,3.5,1.1,0.6,0.3,0.2
投票への意識別可能な限り投票するべき実数,511,61,113,252,82,17,242,196,20,24,23,27,6,4,-,-
投票への意識別可能な限り投票するべき（％）,100.0,11.9,22.1,49.3,16.0,3.3,47.4,38.4,3.9,4.7,4.5,5.3,1.2,0.8,-,-
投票への意識別投票するのもしないのも自由実数,73,13,14,16,6,3,13,14,4,16,2,3,1,3,2,-
投票への意識別投票するのもしないのも自由（％）,100.0,17.8,19.2,21.9,8.2,4.1,17.8,19.2,5.5,21.9,2.7,4.1,1.4,4.1,2.7,-
投票への意識別その他実数,2,-,-,-,1,-,-,1,1,-,-,-,-,-,-,-
投票への意識別その他（％）,100.0,-,-,-,50.0,-,-,50.0,50.0,-,-,-,-,-,-,-
投票への意識別わからない実数,2,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-
投票への意識別わからない（％）,100.0,-,-,-,-,-,100.0,-,-,-,-,-,-,-,-,-
投票への参加状況別投票した（計）実数,1246,210,330,639,213,38,606,489,57,49,51,53,14,11,4,1
投票への参加状況別投票した（計）（％）,100.0,16.9,26.5,51.3,17.1,3.0,48.6,39.2,4.6,3.9,4.1,4.3,1.1,0.9,0.3,0.1
投票への参加状況別投票日（12月14日）に投票した実数,987,159,237,499,169,25,488,375,45,45,38,45,11,8,4,-
投票への参加状況別投票日（12月14日）に投票した（％）,100.0,16.1,24.0,50.6,17.1,2.5,49.4,38.0,4.6,4.6,3.9,4.6,1.1,0.8,0.4,-
投票への参加状況別期日前投票（又は不在者投票等）をした実数,259,51,93,140,44,13,118,114,12,4,13,8,3,3,-,1
投票への参加状況別期日前投票（又は不在者投票等）をした（％）,100.0,19.7,35.9,54.1,17.0,5.0,45.6,44.0,4.6,1.5,5.0,3.1,1.2,1.2,-,0.4
投票への参加状況別投票しなかった実数,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別投票しなかった（％）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別答えたくない実数,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別答えたくない（％）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
新聞の定期購読定期購読している実数,864,169,259,456,159,27,438,341,35,27,37,35,6,6,1,1
新聞の定期購読定期購読している（％）,100.0,19.6,30.0,52.8,18.4,3.1,50.7,39.5,4.1,3.1,4.3,4.1,0.7,0.7,0.1,0.1
新聞の定期購読定期購読していない実数,381,41,71,183,54,11,168,148,22,21,14,18,8,5,3,-
新聞の定期購読定期購読していない（％）,100.0,10.8,18.6,48.0,14.2,2.9,44.1,38.8,5.8,5.5,3.7,4.7,2.1,1.3,0.8,-
インターネットの利用有無利用している実数,660,72,136,367,111,16,303,308,41,24,30,30,14,7,1,-
インターネットの利用有無利用している（％）,100.0,10.9,20.6,55.6,16.8,2.4,45.9,46.7,6.2,3.6,4.5,4.5,2.1,1.1,0.2,-
インターネットの利用有無利用していない実数,581,138,192,270,102,22,301,181,16,25,21,23,-,4,3,1
インターネットの利用有無利用していない（％）,100.0,23.8,33.0,46.5,17.6,3.8,51.8,31.2,2.8,4.3,3.6,4.0,-,0.7,0.5,0.2
ネット選挙の認知度別知っている実数,734,128,202,387,129,18,343,337,36,17,30,34,10,4,1,1
ネット選挙の認知度別知っている（％）,100.0,17.4,27.5,52.7,17.6,2.5,46.7,45.9,4.9,2.3,4.1,4.6,1.4,0.5,0.1,0.1
ネット選挙の認知度別知らなかった実数,431,65,105,211,66,18,216,130,18,29,21,17,4,6,2,-
ネット選挙の認知度別知らなかった（％）,100.0,15.1,24.4,49.0,15.3,4.2,50.1,30.2,4.2,6.7,4.9,3.9,0.9,1.4,0.5,-
