,参議院議員選挙／調査数,参議院議員選挙／見た（計）,参議院議員選挙／すべてのポスターを一枚一枚よく見た,参議院議員選挙／すべてのポスターをざっと見た,参議院議員選挙／関心のある候補者のポスターしか見なかった,参議院議員選挙／ほとんど見なかった,参議院議員選挙／わからない、忘れた,東京都知事選挙／調査数,東京都知事選挙／見た（計）,東京都知事選挙／すべてのポスターを一枚一枚よく見た,東京都知事選挙／すべてのポスターをざっと見た,東京都知事選挙／関心のある候補者のポスターしか見なかった,東京都知事選挙／ほとんど見なかった,東京都知事選挙／わからない、忘れた
性/年齢別女性40歳代,100.0,79.4,1.8,63.6,14.0,19.3,1.3,100.0,84.2,4.8,62.7,16.7,14.5,1.3
性/年齢別女性50歳代,159,126,10,94,22,32,1,159,127,13,88,26,32,-
性/年齢別女性50歳代,100.0,79.2,6.3,59.1,13.8,20.1,0.6,100.0,79.9,8.2,55.3,16.4,20.1,-
性/年齢別女性60歳代,180,147,15,110,22,31,2,180,153,17,109,27,26,1
性/年齢別女性60歳代,100.0,81.7,8.3,61.1,12.2,17.2,1.1,100.0,85.0,9.4,60.6,15.0,14.4,0.6
性/年齢別女性70歳代,124,89,9,66,14,27,8,124,92,13,63,16,24,8
性/年齢別女性70歳代,100.0,71.8,7.3,53.2,11.3,21.8,6.5,100.0,74.2,10.5,50.8,12.9,19.4,6.5
性/年齢別女性80歳以上,50,29,4,20,5,13,8,50,29,4,19,6,12,9
性/年齢別女性80歳以上,100.0,58.0,8.0,40.0,10.0,26.0,16.0,100.0,58.0,8.0,38.0,12.0,24.0,18.0
未・既婚別未婚,344,192,15,135,42,138,14,344,204,21,125,58,127,13
未・既婚別未婚,100.0,55.8,4.4,39.2,12.2,40.1,4.1,100.0,59.3,6.1,36.3,16.9,36.9,3.8
未・既婚別既婚（死別・離別を含む）,1479,1164,100,857,207,279,36,1479,1201,139,832,230,244,34
未・既婚別既婚（死別・離別を含む）,100.0,78.7,6.8,57.9,14.0,18.9,2.4,100.0,81.2,9.4,56.3,15.6,16.5,2.3
子供の有無別子供はいない,404,238,16,167,55,151,15,404,253,24,157,72,138,13
子供の有無別子供はいない,100.0,58.9,4.0,41.3,13.6,37.4,3.7,100.0,62.6,5.9,38.9,17.8,34.2,3.2
子供の有無別未就学（～６歳）,114,87,4,59,24,27,-,114,89,8,61,20,25,-
子供の有無別未就学（～６歳）,100.0,76.3,3.5,51.8,21.1,23.7,-,100.0,78.1,7.0,53.5,17.5,21.9,-
子供の有無別小・中・高校生,394,313,12,249,52,75,6,394,325,26,240,59,64,5
子供の有無別小・中・高校生,100.0,79.4,3.0,63.2,13.2,19.0,1.5,100.0,82.5,6.6,60.9,15.0,16.2,1.3
子供の有無別大学生・大学院生・短大生・専門学校生,144,111,12,83,16,32,1,144,117,17,79,21,27,-
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,77.1,8.3,57.6,11.1,22.2,0.7,100.0,81.3,11.8,54.9,14.6,18.8,-
子供の有無別学校教育終了,791,622,72,448,102,140,29,791,638,89,436,113,124,29
子供の有無別学校教育終了,100.0,78.6,9.1,56.6,12.9,17.7,3.7,100.0,80.7,11.3,55.1,14.3,15.7,3.7
子供の有無別その他,60,50,2,37,11,10,-,60,49,3,37,9,11,-
子供の有無別その他,100.0,83.3,3.3,61.7,18.3,16.7,-,100.0,81.7,5.0,61.7,15.0,18.3,-
職業別自営業（計）,133,107,17,69,21,25,1,133,112,17,65,30,20,1
職業別自営業（計）,100.0,80.5,12.8,51.9,15.8,18.8,0.8,100.0,84.2,12.8,48.9,22.6,15.0,0.8
職業別農林漁業,1,1,-,1,-,-,-,1,1,-,1,-,-,-
職業別農林漁業,100.0,100.0,-,100.0,-,-,-,100.0,100.0,-,100.0,-,-,-
職業別商工・サービス業,42,30,7,19,4,11,1,42,32,7,17,8,9,1
職業別商工・サービス業,100.0,71.4,16.7,45.2,9.5,26.2,2.4,100.0,76.2,16.7,40.5,19.0,21.4,2.4
職業別その他自由業,90,76,10,49,17,14,-,90,79,10,47,22,11,-
職業別その他自由業,100.0,84.4,11.1,54.4,18.9,15.6,-,100.0,87.8,11.1,52.2,24.4,12.2,-
職業別お勤め（計）,821,602,40,443,119,205,14,821,626,67,423,136,183,12
職業別お勤め（計）,100.0,73.3,4.9,54.0,14.5,25.0,1.7,100.0,76.2,8.2,51.5,16.6,22.3,1.5
職業別経営・管理職,74,66,6,52,8,8,-,74,67,12,48,7,7,-
職業別経営・管理職,100.0,89.2,8.1,70.3,10.8,10.8,-,100.0,90.5,16.2,64.9,9.5,9.5,-
職業別専門職・技術職,196,163,12,120,31,31,2,196,164,19,112,33,30,2
職業別専門職・技術職,100.0,83.2,6.1,61.2,15.8,15.8,1.0,100.0,83.7,9.7,57.1,16.8,15.3,1.0
職業別事務職,221,152,10,106,36,66,3,221,162,18,105,39,57,2
職業別事務職,100.0,68.8,4.5,48.0,16.3,29.9,1.4,100.0,73.3,8.1,47.5,17.6,25.8,0.9
職業別労務職・技能職,61,47,5,36,6,14,-,61,49,5,36,8,12,-
職業別労務職・技能職,100.0,77.0,8.2,59.0,9.8,23.0,-,100.0,80.3,8.2,59.0,13.1,19.7,-
職業別販売・サービス職,269,174,7,129,38,86,9,269,184,13,122,49,77,8
職業別販売・サービス職,100.0,64.7,2.6,48.0,14.1,32.0,3.3,100.0,68.4,4.8,45.4,18.2,28.6,3.0
職業別その他（計）,869,647,58,480,109,187,35,869,667,76,469,122,168,34
職業別その他（計）,100.0,74.5,6.7,55.2,12.5,21.5,4.0,100.0,76.8,8.7,54.0,14.0,19.3,3.9
職業別生徒・学生,47,22,1,16,5,21,4,47,24,1,17,6,20,3
職業別生徒・学生,100.0,46.8,2.1,34.0,10.6,44.7,8.5,100.0,51.1,2.1,36.2,12.8,42.6,6.4
職業別専業主婦（夫）,395,320,23,239,58,69,6,395,332,32,231,69,58,5
職業別専業主婦（夫）,100.0,81.0,5.8,60.5,14.7,17.5,1.5,100.0,84.1,8.1,58.5,17.5,14.7,1.3
職業別その他,25,24,1,16,7,1,-,25,24,1,18,5,1,-
職業別その他,100.0,96.0,4.0,64.0,28.0,4.0,-,100.0,96.0,4.0,72.0,20.0,4.0,-
職業別無職（年金受給者含む）,402,281,33,209,39,96,25,402,287,42,203,42,89,26
職業別無職（年金受給者含む）,100.0,69.9,8.2,52.0,9.7,23.9,6.2,100.0,71.4,10.4,50.5,10.4,22.1,6.5
投票所までの時間別５分以内,433,336,32,253,51,89,8,433,345,45,250,50,80,8
投票所までの時間別５分以内,100.0,77.6,7.4,58.4,11.8,20.6,1.8,100.0,79.7,10.4,57.7,11.5,18.5,1.8
投票所までの時間別10分以内,1067,781,64,564,153,257,29,1067,815,94,535,186,226,26
投票所までの時間別10分以内,100.0,73.2,6.0,52.9,14.3,24.1,2.7,100.0,76.4,8.8,50.1,17.4,21.2,2.4
投票所までの時間別20分以内,288,222,17,162,43,58,8,288,227,19,159,49,53,8
投票所までの時間別20分以内,100.0,77.1,5.9,56.3,14.9,20.1,2.8,100.0,78.8,6.6,55.2,17.0,18.4,2.8
投票所までの時間別30分以内,21,12,2,9,1,6,3,21,12,2,9,1,6,3
投票所までの時間別30分以内,100.0,57.1,9.5,42.9,4.8,28.6,14.3,100.0,57.1,9.5,42.9,4.8,28.6,14.3
投票所までの時間別30分を超える,3,3,-,2,1,-,-,3,3,-,2,1,-,-
投票所までの時間別30分を超える,100.0,100.0,-,66.7,33.3,-,-,100.0,100.0,-,66.7,33.3,-,-
投票所までの時間別わからない,11,2,-,2,-,7,2,11,3,-,2,1,6,2
投票所までの時間別わからない,100.0,18.2,-,18.2,-,63.6,18.2,100.0,27.3,-,18.2,9.1,54.5,18.2
地域別区部（計）,1381,996,88,714,194,338,47,1381,1043,131,683,229,293,45
地域別区部（計）,100.0,72.1,6.4,51.7,14.0,24.5,3.4,100.0,75.5,9.5,49.5,16.6,21.2,3.3
地域別センターコア,388,292,25,223,44,81,15,388,299,37,218,44,75,14
地域別センターコア,100.0,75.3,6.4,57.5,11.3,20.9,3.9,100.0,77.1,9.5,56.2,11.3,19.3,3.6
地域別区部東部・北部エリア,398,274,30,183,61,108,16,398,293,48,172,73,88,17
地域別区部東部・北部エリア,100.0,68.8,7.5,46.0,15.3,27.1,4.0,100.0,73.6,12.1,43.2,18.3,22.1,4.3
地域別区部西部・南部エリア,595,430,33,308,89,149,16,595,451,46,293,112,130,14
地域別区部西部・南部エリア,100.0,72.3,5.5,51.8,15.0,25.0,2.7,100.0,75.8,7.7,49.2,18.8,21.8,2.4
地域別市郡部（計）,442,360,27,278,55,79,3,442,362,29,274,59,78,2
地域別市郡部（計）,100.0,81.4,6.1,62.9,12.4,17.9,0.7,100.0,81.9,6.6,62.0,13.3,17.6,0.5
地域別多摩東部エリア,132,98,8,74,16,32,2,132,102,9,76,17,29,1
地域別多摩東部エリア,100.0,74.2,6.1,56.1,12.1,24.2,1.5,100.0,77.3,6.8,57.6,12.9,22.0,0.8
地域別多摩中央部北エリア,70,57,3,46,8,13,-,70,54,3,44,7,16,-
地域別多摩中央部北エリア,100.0,81.4,4.3,65.7,11.4,18.6,-,100.0,77.1,4.3,62.9,10.0,22.9,-
地域別多摩中央部南エリア,201,181,13,139,29,19,1,201,182,14,139,29,18,1
地域別多摩中央部南エリア,100.0,90.0,6.5,69.2,14.4,9.5,0.5,100.0,90.5,7.0,69.2,14.4,9.0,0.5
地域別多摩西部エリア,39,24,3,19,2,15,-,39,24,3,15,6,15,-
地域別多摩西部エリア,100.0,61.5,7.7,48.7,5.1,38.5,-,100.0,61.5,7.7,38.5,15.4,38.5,-
選挙への関心度別関心があった（計）,1283,1117,112,819,186,158,8,1424,1245,158,848,239,171,8
選挙への関心度別関心があった（計）,100.0,87.1,8.7,63.8,14.5,12.3,0.6,100.0,87.4,11.1,59.6,16.8,12.0,0.6
選挙への関心度別関心があった,633,569,81,410,78,61,3,769,682,127,452,103,82,5
選挙への関心度別関心があった,100.0,89.9,12.8,64.8,12.3,9.6,0.5,100.0,88.7,16.5,58.8,13.4,10.7,0.7
選挙への関心度別やや関心があった,650,548,31,409,108,97,5,655,563,31,396,136,89,3
選挙への関心度別やや関心があった,100.0,84.3,4.8,62.9,16.6,14.9,0.8,100.0,86.0,4.7,60.5,20.8,13.6,0.5
選挙への関心度別関心がなかった（計）,227,60,1,39,20,145,22,175,34,1,22,11,123,18
選挙への関心度別関心がなかった（計）,100.0,26.4,0.4,17.2,8.8,63.9,9.7,100.0,19.4,0.6,12.6,6.3,70.3,10.3
選挙への関心度別あまり関心がなかった,125,50,1,32,17,69,6,89,28,1,18,9,56,5
選挙への関心度別あまり関心がなかった,100.0,40.0,0.8,25.6,13.6,55.2,4.8,100.0,31.5,1.1,20.2,10.1,62.9,5.6
選挙への関心度別関心がなかった,102,10,-,7,3,76,16,86,6,-,4,2,67,13
選挙への関心度別関心がなかった,100.0,9.8,-,6.9,2.9,74.5,15.7,100.0,7.0,-,4.7,2.3,77.9,15.1
選挙への関心度別どちらともいえない,298,178,2,133,43,111,9,209,125,1,86,38,74,10
選挙への関心度別どちらともいえない,100.0,59.7,0.7,44.6,14.4,37.2,3.0,100.0,59.8,0.5,41.1,18.2,35.4,4.8
選挙への関心度別わからない,15,1,-,1,-,3,11,15,1,-,1,-,3,11
選挙への関心度別わからない,100.0,6.7,-,6.7,-,20.0,73.3,100.0,6.7,-,6.7,-,20.0,73.3
投票への意識別投票するべき（計）,1434,1233,112,904,217,193,8,1443,1263,157,870,236,171,9
投票への意識別投票するべき（計）,100.0,86.0,7.8,63.0,15.1,13.5,0.6,100.0,87.5,10.9,60.3,16.4,11.9,0.6
投票への意識別必ず投票するべき,596,538,82,381,75,57,1,615,558,115,363,80,55,2
投票への意識別必ず投票するべき,100.0,90.3,13.8,63.9,12.6,9.6,0.2,100.0,90.7,18.7,59.0,13.0,8.9,0.3
投票への意識別可能な限り投票するべき,838,695,30,523,142,136,7,828,705,42,507,156,116,7
投票への意識別可能な限り投票するべき,100.0,82.9,3.6,62.4,16.9,16.2,0.8,100.0,85.1,5.1,61.2,18.8,14.0,0.8
投票への意識別投票するのもしないのも自由,344,116,3,82,31,201,27,335,135,3,82,50,175,25
投票への意識別投票するのもしないのも自由,100.0,33.7,0.9,23.8,9.0,58.4,7.8,100.0,40.3,0.9,24.5,14.9,52.2,7.5
投票への意識別その他,1,-,-,-,-,1,-,1,-,-,-,-,1,-
投票への意識別その他,100.0,-,-,-,-,100.0,-,100.0,-,-,-,-,100.0,-
投票への意識別わからない,44,7,-,6,1,22,15,44,7,-,5,2,24,13
投票への意識別わからない,100.0,15.9,-,13.6,2.3,50.0,34.1,100.0,15.9,-,11.4,4.5,54.5,29.5
投票への参加状況別投票した（計）,1435,1237,112,902,223,192,6,1491,1307,157,894,256,178,6
投票への参加状況別投票した（計）,100.0,86.2,7.8,62.9,15.5,13.4,0.4,100.0,87.7,10.5,60.0,17.2,11.9,0.4
投票への参加状況別投票日に投票した,1226,1053,96,767,190,167,6,1254,1100,127,756,217,148,6
投票への参加状況別投票日に投票した,100.0,85.9,7.8,62.6,15.5,13.6,0.5,100.0,87.7,10.1,60.3,17.3,11.8,0.5
投票への参加状況別期日前投票（又は不在者投票等）をした,209,184,16,135,33,25,-,237,207,30,138,39,30,-
投票への参加状況別期日前投票（又は不在者投票等）をした,100.0,88.0,7.7,64.6,15.8,12,-,100.0,87.3,12.7,58.2,16.5,12.7,-
投票への参加状況別投票しなかった,377,115,3,87,25,222,40,321,94,3,61,30,190,37
投票への参加状況別投票しなかった,100.0,30.5,0.8,23.1,6.6,58.9,10.6,100.0,29.3,0.9,19.0,9.3,59.2,11.5
投票への参加状況別答えたくない,11,4,-,3,1,3,4,11,4,-,2,2,3,4
投票への参加状況別答えたくない,100.0,36.4,-,27.3,9.1,27.3,36.4,100.0,36.4,-,18.2,18.2,27.3,36.4
新聞の定期購読別定期購読している,1240,1042,94,778,170,188,10,1240,1070,129,751,190,161,9
新聞の定期購読別定期購読している,100.0,84.0,7.6,62.7,13.7,15.2,0.8,100.0,86.3,10.4,60.6,15.3,13.0,0.7
新聞の定期購読別定期購読していない,583,314,21,214,79,229,40,583,335,31,206,98,210,38
新聞の定期購読別定期購読していない,100.0,53.9,3.6,36.7,13.6,39.3,6.9,100.0,57.5,5.3,35.3,16.8,36.0,6.5
インターネットの利用有無別インターネットを利用している,1055,770,56,565,149,267,18,1055,802,87,546,169,237,16
インターネットの利用有無別インターネットを利用している,100.0,73,5.3,53.6,14.1,25.3,1.7,100.0,76.0,8.2,51.8,16.0,22.5,1.5
インターネットの利用有無別インターネットを利用していない,768,586,59,427,100,150,32,768,603,73,411,119,134,31
インターネットの利用有無別インターネットを利用していない,100.0,76.3,7.7,55.6,13.0,19.5,4.2,100.0,78.5,9.5,53.5,15.5,17.4,4.0
