,調査数,テレビ・ラジオの選挙報道,新聞・雑誌などの選挙報道,選挙公報,候補者等のポスター,テレビ・ラジオの政見放送・経歴放送,候補者等の新聞広告,候補者等の街頭演説,候補者等の選挙運動用自動車からの連呼,候補者の個人演説会,候補者のはがき・候補者等のビラ,各政党の政策等を記載した選挙運動用パンフレット（マニフェスト）,候補者のホームページ、ツイッター等のネット上の情報,候補者以外のホームページ、ツイッター等のネット上の情報,政党・候補者の後援会などからの推薦,各種団体からの推薦,家族、友人、知人からの勧め,その他,どれにも接していない,役立ったものはない,わからない、忘れた,無回答
職業別経営・管理職実数,70,44,46,19,10,10,4,6,1,1,5,8,3,6,5,2,5,-,1,5,1,1
職業別経営・管理職（％）,100.0,62.9,65.7,27.1,14.3,14.3,5.7,8.6,1.4,1.4,7.1,11.4,4.3,8.6,7.1,2.9,7.1,-,1.4,7.1,1.4,1.4
職業別専門職・技術職実数,175,85,62,54,26,17,9,13,3,4,9,11,16,20,11,1,11,4,2,12,5,1
職業別専門職・技術職（％）,100.0,48.6,35.4,30.9,14.9,9.7,5.1,7.4,1.7,2.3,5.1,6.3,9.1,11.4,6.3,0.6,6.3,2.3,1.1,6.9,2.9,0.6
職業別事務職実数,172,91,66,57,35,23,10,12,2,1,5,19,19,16,3,4,15,3,1,9,2,3
職業別事務職（％）,100.0,52.9,38.4,33.1,20.3,13.4,5.8,7.0,1.2,0.6,2.9,11.0,11.0,9.3,1.7,2.3,8.7,1.7,0.6,5.2,1.2,1.7
職業別労務職・技能職実数,59,31,19,19,13,10,7,11,-,5,2,2,2,1,6,1,7,-,2,5,1,-
職業別労務職・技能職（％）,100.0,52.5,32.2,32.2,22.0,16.9,11.9,18.6,-,8.5,3.4,3.4,3.4,1.7,10.2,1.7,11.9,-,3.4,8.5,1.7,-
職業別販売・サービス職実数,136,65,42,31,30,19,12,20,2,3,3,9,6,5,9,1,12,1,1,14,6,2
職業別販売・サービス職（％）,100.0,47.8,30.9,22.8,22.1,14.0,8.8,14.7,1.5,2.2,2.2,6.6,4.4,3.7,6.6,0.7,8.8,0.7,0.7,10.3,4.4,1.5
職業別その他（計）実数,519,236,190,192,105,92,50,63,20,27,28,40,17,12,33,8,48,10,4,42,6,4
職業別その他（計）（％）,100.0,45.5,36.6,37.0,20.2,17.7,9.6,12.1,3.9,5.2,5.4,7.7,3.3,2.3,6.4,1.5,9.2,1.9,0.8,8.1,1.2,0.8
職業別生徒・学生実数,21,10,8,4,6,4,2,3,1,-,2,1,1,1,1,-,3,-,-,1,1,-
職業別生徒・学生（％）,100.0,47.6,38.1,19.0,28.6,19.0,9.5,14.3,4.8,-,9.5,4.8,4.8,4.8,4.8,-,14.3,-,-,4.8,4.8,-
職業別専業主婦（夫）実数,222,103,72,80,38,37,17,28,7,10,13,18,6,6,14,5,28,6,-,15,2,4
職業別専業主婦（夫）（％）,100.0,46.4,32.4,36.0,17.1,16.7,7.7,12.6,3.2,4.5,5.9,8.1,2.7,2.7,6.3,2.3,12.6,2.7,-,6.8,0.9,1.8
職業別その他実数,12,5,5,1,3,1,-,2,-,-,-,2,2,1,1,-,2,-,1,1,1,-
職業別その他（％）,100.0,41.7,41.7,8.3,25.0,8.3,-,16.7,-,-,-,16.7,16.7,8.3,8.3,-,16.7,-,8.3,8.3,8.3,-
職業別無職（年金受給者含む）実数,264,118,105,107,58,50,31,30,12,17,13,19,8,4,17,3,15,4,3,25,2,-
職業別無職（年金受給者含む）（％）,100.0,44.7,39.8,40.5,22.0,18.9,11.7,11.4,4.5,6.4,4.9,7.2,3.0,1.5,6.4,1.1,5.7,1.5,1.1,9.5,0.8,-
投票所までの時間別５分以内実数,538,257,209,178,95,87,39,57,17,10,26,37,36,34,33,8,42,7,7,47,9,3
投票所までの時間別５分以内（％）,100.0,47.8,38.8,33.1,17.7,16.2,7.2,10.6,3.2,1.9,4.8,6.9,6.7,6.3,6.1,1.5,7.8,1.3,1.3,8.7,1.7,0.6
投票所までの時間別10分以内実数,515,244,176,162,109,78,42,57,13,26,23,44,25,23,34,9,46,8,5,40,10,6
投票所までの時間別10分以内（％）,100.0,47.4,34.2,31.5,21.2,15.1,8.2,11.1,2.5,5.0,4.5,8.5,4.9,4.5,6.6,1.7,8.9,1.6,1.0,7.8,1.9,1.2
投票所までの時間別20分以内実数,163,87,72,63,31,27,17,22,5,7,9,17,13,11,12,3,19,4,1,3,4,3
投票所までの時間別20分以内（％）,100.0,53.4,44.2,38.7,19.0,16.6,10.4,13.5,3.1,4.3,5.5,10.4,8.0,6.7,7.4,1.8,11.7,2.5,0.6,1.8,2.5,1.8
投票所までの時間別30分以内実数,19,10,5,8,5,2,4,1,-,-,1,1,-,-,-,-,1,1,1,2,-,-
投票所までの時間別30分以内（％）,100.0,52.6,26.3,42.1,26.3,10.5,21.1,5.3,-,-,5.3,5.3,-,-,-,-,5.3,5.3,5.3,10.5,-,-
投票所までの時間別30分を超える実数,6,3,4,1,1,1,1,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-
投票所までの時間別30分を超える（％）,100.0,50.0,66.7,16.7,16.7,16.7,16.7,16.7,-,-,-,-,-,16.7,-,-,-,-,-,-,-,-
投票所までの時間別わからない実数,2,1,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
投票所までの時間別わからない（％）,100.0,50.0,-,50.0,50.0,-,-,-,-,-,-,50.0,-,-,-,-,-,-,-,-,-,-
地域別区部（計）実数,826,398,290,259,154,123,56,97,24,29,37,63,61,47,50,13,73,14,11,69,18,8
地域別区部（計）（％）,100.0,48.2,35.1,31.4,18.6,14.9,6.8,11.7,2.9,3.5,4.5,7.6,7.4,5.7,6.1,1.6,8.8,1.7,1.3,8.4,2.2,1.0
地域別センターコア実数,207,94,73,49,33,32,14,27,9,4,10,27,20,13,18,3,18,3,4,21,3,2
地域別センターコア（％）,100.0,45.4,35.3,23.7,15.9,15.5,6.8,13.0,4.3,1.9,4.8,13.0,9.7,6.3,8.7,1.4,8.7,1.4,1.9,10.1,1.4,1.0
地域別区部東部・北部エリア実数,268,124,80,75,44,39,18,25,4,11,11,14,15,13,14,3,31,4,3,22,9,-
地域別区部東部・北部エリア（％）,100.0,46.3,29.9,28.0,16.4,14.6,6.7,9.3,1.5,4.1,4.1,5.2,5.6,4.9,5.2,1.1,11.6,1.5,1.1,8.2,3.4,-
地域別区部西部・南部エリア実数,351,180,137,135,77,52,24,45,11,14,16,22,26,21,18,7,24,7,4,26,6,6
地域別区部西部・南部エリア（％）,100.0,51.3,39.0,38.5,21.9,14.8,6.8,12.8,3.1,4.0,4.6,6.3,7.4,6.0,5.1,2.0,6.8,2.0,1.1,7.4,1.7,1.7
地域別市郡部（計）実数,420,207,178,154,88,72,47,41,11,14,22,37,13,22,29,7,35,6,3,23,5,4
地域別市郡部（計）（％）,100.0,49.3,42.4,36.7,21.0,17.1,11.2,9.8,2.6,3.3,5.2,8.8,3.1,5.2,6.9,1.7,8.3,1.4,0.7,5.5,1.2,1.0
地域別多摩東部エリア実数,169,81,76,71,37,33,18,10,4,2,10,20,7,10,7,3,12,2,2,7,3,-
地域別多摩東部エリア（％）,100.0,47.9,45.0,42.0,21.9,19.5,10.7,5.9,2.4,1.2,5.9,11.8,4.1,5.9,4.1,1.8,7.1,1.2,1.2,4.1,1.8,-
地域別多摩中央部北エリア実数,53,24,20,21,12,9,9,7,3,4,3,3,-,1,5,-,11,1,-,3,1,1
地域別多摩中央部北エリア（％）,100.0,45.3,37.7,39.6,22.6,17.0,17.0,13.2,5.7,7.5,5.7,5.7,-,1.9,9.4,-,20.8,1.9,-,5.7,1.9,1.9
地域別多摩中央部南エリア実数,171,91,73,57,37,27,18,21,4,7,7,14,6,10,15,3,10,3,-,10,-,2
地域別多摩中央部南エリア（％）,100.0,53.2,42.7,33.3,21.6,15.8,10.5,12.3,2.3,4.1,4.1,8.2,3.5,5.8,8.8,1.8,5.8,1.8,-,5.8,-,1.2
地域別多摩西部エリア実数,27,11,9,5,2,3,2,3,-,1,2,-,-,1,2,1,2,-,1,3,1,1
地域別多摩西部エリア（％）,100.0,40.7,33.3,18.5,7.4,11.1,7.4,11.1,-,3.7,7.4,-,-,3.7,7.4,3.7,7.4,-,3.7,11.1,3.7,3.7
選挙への関心度別関心があった（計）実数,918,476,374,341,180,175,78,114,28,37,46,80,64,60,64,17,70,19,8,53,10,9
選挙への関心度別関心があった（計）（％）,100.0,51.9,40.7,37.1,19.6,19.1,8.5,12.4,3.1,4.0,5.0,8.7,7.0,6.5,7.0,1.9,7.6,2.1,0.9,5.8,1.1,1.0
選挙への関心度別関心があった実数,577,305,259,224,113,120,50,76,19,28,30,64,46,40,40,11,37,15,4,32,3,7
選挙への関心度別関心があった（％）,100.0,52.9,44.9,38.8,19.6,20.8,8.7,13.2,3.3,4.9,5.2,11.1,8.0,6.9,6.9,1.9,6.4,2.6,0.7,5.5,0.5,1.2
選挙への関心度別やや関心があった実数,341,171,115,117,67,55,28,38,9,9,16,16,18,20,24,6,33,4,4,21,7,2
選挙への関心度別やや関心があった（％）,100.0,50.1,33.7,34.3,19.6,16.1,8.2,11.1,2.6,2.6,4.7,4.7,5.3,5.9,7.0,1.8,9.7,1.2,1.2,6.2,2.1,0.6
選挙への関心度別関心がなかった（計）実数,121,46,32,28,34,3,9,11,4,3,5,7,2,5,3,2,15,-,3,11,5,2
選挙への関心度別関心がなかった（計）（％）,100.0,38.0,26.4,23.1,28.1,2.5,7.4,9.1,3.3,2.5,4.1,5.8,1.7,4.1,2.5,1.7,12.4,-,2.5,9.1,4.1,1.7
選挙への関心度別あまり関心がなかった実数,203,82,60,43,28,17,15,13,3,3,8,13,8,4,12,1,23,1,3,28,8,-
選挙への関心度別あまり関心がなかった（％）,100.0,40.4,29.6,21.2,13.8,8.4,7.4,6.4,1.5,1.5,3.9,6.4,3.9,2.0,5.9,0.5,11.3,0.5,1.5,13.8,3.9,-
選挙への関心度別関心がなかった実数,169,71,51,36,25,15,12,11,3,3,7,11,6,3,10,-,21,-,2,20,5,-
選挙への関心度別関心がなかった（％）,100.0,42.0,30.2,21.3,14.8,8.9,7.1,6.5,1.8,1.8,4.1,6.5,3.6,1.8,5.9,-,12.4,-,1.2,11.8,3.0,-
選挙への関心度別どちらともいえない実数,34,11,9,7,3,2,3,2,-,-,1,2,2,1,2,1,2,1,1,8,3,-
選挙への関心度別どちらともいえない（％）,100.0,32.4,26.5,20.6,8.8,5.9,8.8,5.9,-,-,2.9,5.9,5.9,2.9,5.9,2.9,5.9,2.9,2.9,23.5,8.8,-
選挙への関心度別わからない実数,2,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
選挙への関心度別わからない（％）,100.0,-,50.0,50.0,-,-,50.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への意識別投票するべき（計）実数,1168,580,455,392,230,185,99,131,35,43,57,97,72,66,73,20,103,20,10,79,21,11
投票への意識別投票するべき（計）（％）,100.0,49.7,39.0,33.6,19.7,15.8,8.5,11.2,3.0,3.7,4.9,8.3,6.2,5.7,6.3,1.7,8.8,1.7,0.9,6.8,1.8,0.9
投票への意識別必ず投票するべき実数,657,327,281,236,128,119,58,77,26,27,39,61,40,38,55,17,50,18,5,40,10,4
投票への意識別必ず投票するべき（％）,100.0,49.8,42.8,35.9,19.5,18.1,8.8,11.7,4.0,4.1,5.9,9.3,6.1,5.8,8.4,2.6,7.6,2.7,0.8,6.1,1.5,0.6
投票への意識別可能な限り投票するべき実数,511,253,174,156,102,66,41,54,9,16,18,36,32,28,18,3,53,2,5,39,11,7
投票への意識別可能な限り投票するべき（％）,100.0,49.5,34.1,30.5,20.0,12.9,8.0,10.6,1.8,3.1,3.5,7.0,6.3,5.5,3.5,0.6,10.4,0.4,1.0,7.6,2.2,1.4
投票への意識別投票するのもしないのも自由実数,73,24,11,21,11,10,4,7,-,-,2,3,2,3,6,-,5,-,4,12,2,-
投票への意識別投票するのもしないのも自由（％）,100.0,32.9,15.1,28.8,15.1,13.7,5.5,9.6,-,-,2.7,4.1,2.7,4.1,8.2,-,6.8,-,5.5,16.4,2.7,-
投票への意識別その他実数,2,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への意識別その他（％）,100.0,50.0,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への意識別わからない実数,2,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
投票への意識別わからない（％）,100.0,-,-,-,50.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50.0,-,-
投票への参加状況別投票した（計）実数,1246,605,468,413,242,195,103,138,35,43,59,100,74,69,79,20,108,20,14,92,23,12
投票への参加状況別投票した（計）（％）,100.0,48.6,37.6,33.1,19.4,15.7,8.3,11.1,2.8,3.5,4.7,8.0,5.9,5.5,6.3,1.6,8.7,1.6,1.1,7.4,1.8,1.0
投票への参加状況別投票日（12月14日）に投票した実数,987,490,373,329,193,146,78,104,30,32,48,65,52,48,54,19,78,13,10,71,19,10
投票への参加状況別投票日（12月14日）に投票した（％）,100.0,49.6,37.8,33.3,19.6,14.8,7.9,10.5,3.0,3.2,4.9,6.6,5.3,4.9,5.5,1.9,7.9,1.3,1.0,7.2,1.9,1.0
投票への参加状況別期日前投票（又は不在者投票等）をした実数,259,115,95,84,49,49,25,34,5,11,11,35,22,21,25,1,30,7,4,21,4,2
投票への参加状況別期日前投票（又は不在者投票等）をした（％）,100.0,44.4,36.7,32.4,18.9,18.9,9.7,13.1,1.9,4.2,4.2,13.5,8.5,8.1,9.7,0.4,11.6,2.7,1.5,8.1,1.5,0.8
投票への参加状況別投票しなかった実数,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別投票しなかった（％）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別答えたくない実数,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別答えたくない（％）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
新聞の定期購読定期購読している実数,864,428,401,305,179,145,90,99,29,36,50,74,31,26,64,17,72,12,12,53,13,8
新聞の定期購読定期購読している（％）,100.0,49.5,46.4,35.3,20.7,16.8,10.4,11.5,3.4,4.2,5.8,8.6,3.6,3.0,7.4,2.0,8.3,1.4,1.4,6.1,1.5,0.9
新聞の定期購読定期購読していない実数,381,177,67,108,62,50,13,39,6,7,9,26,43,43,15,3,36,8,2,39,10,4
新聞の定期購読定期購読していない（％）,100.0,46.5,17.6,28.3,16.3,13.1,3.4,10.2,1.6,1.8,2.4,6.8,11.3,11.3,3.9,0.8,9.4,2.1,0.5,10.2,2.6,1.0
インターネットの利用有無利用している実数,660,330,244,217,125,90,40,72,14,13,26,53,69,67,32,10,50,9,6,49,11,6
インターネットの利用有無利用している（％）,100.0,50.0,37.0,32.9,18.9,13.6,6.1,10.9,2.1,2.0,3.9,8.0,10.5,10.2,4.8,1.5,7.6,1.4,0.9,7.4,1.7,0.9
インターネットの利用有無利用していない実数,581,273,223,195,117,105,63,66,21,30,33,47,5,2,46,10,57,11,8,43,12,4
インターネットの利用有無利用していない（％）,100.0,47.0,38.4,33.6,20.1,18.1,10.8,11.4,3.6,5.2,5.7,8.1,0.9,0.3,7.9,1.7,9.8,1.9,1.4,7.4,2.1,0.7
ネット選挙の認知度別知っている実数,734,374,288,250,141,128,60,78,16,22,32,63,65,58,47,11,50,13,5,52,9,9
