,調査数,駅構内、庁舎・公共施設等での選挙広報用ポスター,電車内・駅構内のモニター、街中の大型モニターでの動画広告放映,選挙広報用の新聞広告,都、区市町村の広報誌,ラジオ告知（都民ニュース）,庁舎や公園などの懸垂幕・横断幕,東京都知事選挙イベント（ららぽーと豊洲、ららぽーと立川立飛、東京ソラマチ）,スーパー、コンビニなどの店内放送、防災無線による放送,ポケットティッシュ等の広報グッズ,区市町村の広報車,区市町村の広報掲示板,都及び区市町村のホームページ,都、区市町村、総務省のＳＮＳ（ツイッター等）,インターネットバナー広告（Yahoo!JAPAN・プロモツイート）,その他,見たり聞いたりしたものはない,わからない、忘れた
性/年齢別男性19歳,12,4,2,2,-,-,-,-,-,-,1,-,-,1,-,-,2,4
性/年齢別男性19歳,100.0,33.3,16.7,16.7,-,-,-,-,-,-,8.3,-,-,8.3,-,-,16.7,33.3
性/年齢別男性20歳代,83,27,23,3,5,-,2,2,4,1,5,6,-,1,20,-,13,22
性/年齢別男性20歳代,100.0,32.5,27.7,3.6,6.0,-,2.4,2.4,4.8,1.2,6.0,7.2,-,1.2,24.1,-,15.7,26.5
性/年齢別男性30歳代,122,65,67,25,27,4,6,3,6,5,40,38,8,3,25,-,8,13
性/年齢別男性30歳代,100.0,53.3,54.9,20.5,22.1,3.3,4.9,2.5,4.9,4.1,32.8,31.1,6.6,2.5,20.5,-,6.6,10.7
性/年齢別男性40歳代,170,86,78,27,37,9,7,3,11,6,46,48,10,5,27,-,19,17
性/年齢別男性40歳代,100.0,50.6,45.9,15.9,21.8,5.3,4.1,1.8,6.5,3.5,27.1,28.2,5.9,2.9,15.9,-,11.2,10.0
性/年齢別男性50歳代,152,67,43,48,35,6,4,1,4,1,38,36,6,2,14,1,13,30
性/年齢別男性50歳代,100.0,44.1,28.3,31.6,23.0,3.9,2.6,0.7,2.6,0.7,25.0,23.7,3.9,1.3,9.2,0.7,8.6,19.7
性/年齢別男性60歳代,157,59,34,44,41,11,5,3,4,2,36,33,2,1,5,1,19,30
性/年齢別男性60歳代,100.0,37.6,21.7,28.0,26.1,7.0,3.2,1.9,2.5,1.3,22.9,21.0,1.3,0.6,3.2,0.6,12.1,19.1
性/年齢別男性70歳代,107,29,13,32,23,3,6,1,2,1,16,23,1,1,-,1,13,27
性/年齢別男性70歳代,100.0,27.1,12.1,29.9,21.5,2.8,5.6,0.9,1.9,0.9,15.0,21.5,0.9,0.9,-,0.9,12.1,25.2
性/年齢別男性80歳以上,48,8,2,17,9,2,-,-,-,-,2,6,-,-,-,-,4,18
性/年齢別男性80歳以上,100.0,16.7,4.2,35.4,18.8,4.2,-,-,-,-,4.2,12.5,-,-,-,-,8.3,37.5
性/年齢別女性18歳,6,1,1,-,-,-,1,-,1,-,-,-,-,-,1,-,1,2
性/年齢別女性18歳,100.0,16.7,16.7,-,-,-,16.7,-,16.7,-,-,-,-,-,16.7,-,16.7,33.3
性/年齢別女性19歳,8,2,1,-,-,-,-,-,-,-,1,1,-,-,1,-,2,4
性/年齢別女性19歳,100.0,25.0,12.5,-,-,-,-,-,-,-,12.5,12.5,-,-,12.5,-,25.0,50.0
性/年齢別女性20歳代,81,34,30,10,12,2,2,1,5,5,11,7,1,1,8,-,8,23
性/年齢別女性20歳代,100.0,42.0,37.0,12.3,14.8,2.5,2.5,1.2,6.2,6.2,13.6,8.6,1.2,1.2,9.9,-,9.9,28.4
性/年齢別女性30歳代,135,53,45,16,21,5,6,1,8,4,27,26,2,2,13,2,10,28
性/年齢別女性30歳代,100.0,39.3,33.3,11.9,15.6,3.7,4.4,0.7,5.9,3.0,20.0,19.3,1.5,1.5,9.6,1.5,7.4,20.7
性/年齢別女性40歳代,228,87,70,51,45,8,15,4,28,7,59,65,3,3,17,1,24,24
性/年齢別女性40歳代,100.0,38.2,30.7,22.4,19.7,3.5,6.6,1.8,12.3,3.1,25.9,28.5,1.3,1.3,7.5,0.4,10.5,10.5
性/年齢別女性50歳代,159,60,43,43,37,10,9,2,15,2,40,37,3,-,6,-,18,30
性/年齢別女性50歳代,100.0,37.7,27.0,27.0,23.3,6.3,5.7,1.3,9.4,1.3,25.2,23.3,1.9,-,3.8,-,11.3,18.9
性/年齢別女性60歳代,180,62,29,45,51,6,15,-,9,4,37,51,1,1,1,1,26,31
性/年齢別女性60歳代,100.0,34.4,16.1,25.0,28.3,3.3,8.3,-,5.0,2.2,20.6,28.3,0.6,0.6,0.6,0.6,14.4,17.2
性/年齢別女性70歳代,124,28,17,24,27,6,6,1,6,2,29,26,1,1,-,2,19,32
性/年齢別女性70歳代,100.0,22.6,13.7,19.4,21.8,4.8,4.8,0.8,4.8,1.6,23.4,21.0,0.8,0.8,-,1.6,15.3,25.8
性/年齢別女性80歳以上,50,12,4,11,10,4,2,-,-,1,6,7,-,-,-,-,6,19
性/年齢別女性80歳以上,100.0,24.0,8.0,22.0,20.0,8.0,4.0,-,-,2.0,12.0,14.0,-,-,-,-,12.0,38.0
未・既婚別未婚,344,119,90,39,34,5,11,6,16,10,44,38,1,6,43,-,48,86
未・既婚別未婚,100.0,34.6,26.2,11.3,9.9,1.5,3.2,1.7,4.7,2.9,12.8,11.0,0.3,1.7,12.5,-,14.0,25.0
未・既婚別既婚（死別・離別を含む）,1479,565,412,360,346,71,75,16,87,31,350,372,37,16,95,9,157,268
未・既婚別既婚（死別・離別を含む）,100.0,38.2,27.9,24.3,23.4,4.8,5.1,1.1,5.9,2.1,23.7,25.2,2.5,1.1,6.4,0.6,10.6,18.1
子供の有無別子供はいない,404,150,111,55,45,9,16,4,18,10,54,44,7,8,53,1,57,91
子供の有無別子供はいない,100.0,37.1,27.5,13.6,11.1,2.2,4.0,1.0,4.5,2.5,13.4,10.9,1.7,2.0,13.1,0.2,14.1,22.5
子供の有無別未就学（～６歳）,114,44,44,13,22,6,4,3,8,5,29,31,3,1,9,1,14,22
子供の有無別未就学（～６歳）,100.0,38.6,38.6,11.4,19.3,5.3,3.5,2.6,7.0,4.4,25.4,27.2,2.6,0.9,7.9,0.9,12.3,19.3
子供の有無別小・中・高校生,394,177,154,89,93,17,21,8,39,11,113,116,8,5,46,2,37,47
子供の有無別小・中・高校生,100.0,44.9,39.1,22.6,23.6,4.3,5.3,2.0,9.9,2.8,28.7,29.4,2.0,1.3,11.7,0.5,9.4,11.9
子供の有無別大学生・大学院生・短大生・専門学校生,144,63,58,42,35,8,10,3,16,4,38,35,4,-,15,1,7,27
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,43.8,40.3,29.2,24.3,5.6,6.9,2.1,11.1,2.8,26.4,24.3,2.8,-,10.4,0.7,4.9,18.8
子供の有無別学校教育終了,791,278,160,211,196,38,38,5,31,13,179,198,17,7,21,2,88,165
子供の有無別学校教育終了,100.0,35.1,20.2,26.7,24.8,4.8,4.8,0.6,3.9,1.6,22.6,25.0,2.1,0.9,2.7,0.3,11.1,20.9
子供の有無別その他,60,9,4,18,8,4,2,1,1,2,4,8,-,1,2,3,9,14
子供の有無別その他,100.0,15.0,6.7,30.0,13.3,6.7,3.3,1.7,1.7,3.3,6.7,13.3,-,1.7,3.3,5.0,15.0,23.3
職業別自営業（計）,133,58,30,33,30,7,7,3,6,3,16,31,5,2,9,1,15,26
職業別自営業（計）,100.0,43.6,22.6,24.8,22.6,5.3,5.3,2.3,4.5,2.3,12.0,23.3,3.8,1.5,6.8,0.8,11.3,19.5
職業別農林漁業,1,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
職業別農林漁業,100.0,-,100.0,-,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-
職業別商工・サービス業,42,18,12,9,10,2,3,1,2,-,5,7,1,1,3,-,7,10
職業別商工・サービス業,100.0,42.9,28.6,21.4,23.8,4.8,7.1,2.4,4.8,-,11.9,16.7,2.4,2.4,7.1,-,16.7,23.8
職業別その他自由業,90,40,17,24,19,5,4,2,4,3,11,24,4,1,6,1,8,16
職業別その他自由業,100.0,44.4,18.9,26.7,21.1,5.6,4.4,2.2,4.4,3.3,12.2,26.7,4.4,1.1,6.7,1.1,8.9,17.8
職業別お勤め（計）,821,352,306,168,156,31,32,11,41,22,200,200,28,17,109,2,82,132
職業別お勤め（計）,100.0,42.9,37.3,20.5,19.0,3.8,3.9,1.3,5.0,2.7,24.4,24.4,3.4,2.1,13.3,0.2,10.0,16.1
職業別経営・管理職,74,47,32,27,24,6,7,2,1,-,22,25,6,3,11,1,3,8
職業別経営・管理職,100.0,63.5,43.2,36.5,32.4,8.1,9.5,2.7,1.4,-,29.7,33.8,8.1,4.1,14.9,1.4,4.1,10.8
職業別専門職・技術職,196,94,86,51,48,9,7,6,10,9,56,53,7,4,34,-,17,20
職業別専門職・技術職,100.0,48.0,43.9,26.0,24.5,4.6,3.6,3.1,5.1,4.6,28.6,27.0,3.6,2.0,17.3,-,8.7,10.2
職業別事務職,221,82,69,42,36,9,8,3,10,6,48,45,9,8,29,1,22,45
職業別事務職,100.0,37.1,31.2,19.0,16.3,4.1,3.6,1.4,4.5,2.7,21.7,20.4,4.1,3.6,13.1,0.5,10.0,20.4
職業別労務職・技能職,61,33,30,11,12,2,-,-,5,2,17,19,2,-,11,-,7,2
職業別労務職・技能職,100.0,54.1,49.2,18.0,19.7,3.3,-,-,8.2,3.3,27.9,31.1,3.3,-,18.0,-,11.5,3.3
職業別販売・サービス職,269,96,89,37,36,5,10,-,15,5,57,58,4,2,24,-,33,57
職業別販売・サービス職,100.0,35.7,33.1,13.8,13.4,1.9,3.7,-,5.6,1.9,21.2,21.6,1.5,0.7,8.9,-,12.3,21.2
職業別その他（計）,869,274,166,198,194,38,47,8,56,16,178,179,5,3,20,6,108,196
職業別その他（計）,100.0,31.5,19.1,22.8,22.3,4.4,5.4,0.9,6.4,1.8,20.5,20.6,0.6,0.3,2.3,0.7,12.4,22.6
職業別生徒・学生,47,12,13,5,3,-,2,-,2,1,4,3,-,1,5,-,7,15
職業別生徒・学生,100.0,25.5,27.7,10.6,6.4,-,4.3,-,4.3,2.1,8.5,6.4,-,2.1,10.6,-,14.9,31.9
職業別専業主婦（夫）,395,155,99,97,109,20,34,6,43,12,102,98,4,1,12,-,40,58
職業別専業主婦（夫）,100.0,39.2,25.1,24.6,27.6,5.1,8.6,1.5,10.9,3.0,25.8,24.8,1.0,0.3,3.0,-,10.1,14.7
職業別その他,25,5,4,4,3,-,-,-,1,-,1,1,-,-,-,2,4,6
職業別その他,100.0,20.0,16.0,16.0,12.0,-,-,-,4.0,-,4.0,4.0,-,-,-,8.0,16.0,24.0
職業別無職（年金受給者含む）,402,102,50,92,79,18,11,2,10,3,71,77,1,1,3,4,57,117
職業別無職（年金受給者含む）,100.0,25.4,12.4,22.9,19.7,4.5,2.7,0.5,2.5,0.7,17.7,19.2,0.2,0.2,0.7,1.0,14.2,29.1
投票所までの時間別５分以内,433,171,119,117,91,22,24,7,21,8,97,108,12,5,41,5,52,62
投票所までの時間別５分以内,100.0,39.5,27.5,27.0,21.0,5.1,5.5,1.6,4.8,1.8,22.4,24.9,2.8,1.2,9.5,1.2,12.0,14.3
投票所までの時間別10分以内,1067,407,326,214,234,46,49,11,61,26,257,265,22,12,87,2,113,202
投票所までの時間別10分以内,100.0,38.1,30.6,20.1,21.9,4.3,4.6,1.0,5.7,2.4,24.1,24.8,2.1,1.1,8.2,0.2,10.6,18.9
投票所までの時間別20分以内,288,100,54,61,51,8,11,3,19,6,39,34,4,4,9,1,31,79
投票所までの時間別20分以内,100.0,34.7,18.8,21.2,17.7,2.8,3.8,1.0,6.6,2.1,13.5,11.8,1.4,1.4,3.1,0.3,10.8,27.4
投票所までの時間別30分以内,21,3,2,5,2,-,1,1,1,1,1,2,-,1,1,-,6,4
投票所までの時間別30分以内,100.0,14.3,9.5,23.8,9.5,-,4.8,4.8,4.8,4.8,4.8,9.5,-,4.8,4.8,-,28.6,19.0
投票所までの時間別30分を超える,3,2,-,2,2,-,1,-,1,-,-,1,-,-,-,1,-,-
投票所までの時間別30分を超える,100.0,66.7,-,66.7,66.7,-,33.3,-,33.3,-,-,33.3,-,-,-,33.3,-,-
投票所までの時間別わからない,11,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,3,7
投票所までの時間別わからない,100.0,9.1,9.1,-,-,-,-,-,-,-,-,-,-,-,-,-,27.3,63.6
地域別区部（計）,1381,596,447,315,314,67,55,20,78,33,347,368,34,18,123,6,131,217
地域別区部（計）,100.0,43.2,32.4,22.8,22.7,4.9,4.0,1.4,5.6,2.4,25.1,26.6,2.5,1.3,8.9,0.4,9.5,15.7
地域別センターコア,388,159,150,77,95,23,20,5,27,7,99,139,10,7,42,1,34,48
地域別センターコア,100.0,41.0,38.7,19.8,24.5,5.9,5.2,1.3,7.0,1.8,25.5,35.8,2.6,1.8,10.8,0.3,8.8,12.4
地域別区部東部・北部エリア,398,182,126,95,79,9,9,1,14,13,118,91,8,6,28,3,36,50
地域別区部東部・北部エリア,100.0,45.7,31.7,23.9,19.8,2.3,2.3,0.3,3.5,3.3,29.6,22.9,2.0,1.5,7.0,0.8,9.0,12.6
地域別区部西部・南部エリア,595,255,171,143,140,35,26,14,37,13,130,138,16,5,53,2,61,119
地域別区部西部・南部エリア,100.0,42.9,28.7,24.0,23.5,5.9,4.4,2.4,6.2,2.2,21.8,23.2,2.7,0.8,8.9,0.3,10.3,20.0
地域別市郡部（計）,442,88,55,84,66,9,31,2,25,8,47,42,4,4,15,3,74,137
地域別市郡部（計）,100.0,19.9,12.4,19.0,14.9,2.0,7.0,0.5,5.7,1.8,10.6,9.5,0.9,0.9,3.4,0.7,16.7,31.0
地域別多摩東部エリア,132,23,12,31,15,4,10,2,4,3,6,10,1,2,6,2,28,41
地域別多摩東部エリア,100.0,17.4,9.1,23.5,11.4,3.0,7.6,1.5,3.0,2.3,4.5,7.6,0.8,1.5,4.5,1.5,21.2,31.1
地域別多摩中央部北エリア,70,28,19,14,19,1,6,-,5,5,16,9,2,-,5,-,13,9
地域別多摩中央部北エリア,100.0,40.0,27.1,20.0,27.1,1.4,8.6,-,7.1,7.1,22.9,12.9,2.9,-,7.1,-,18.6,12.9
地域別多摩中央部南エリア,201,36,23,38,29,4,7,-,9,-,19,22,1,2,3,1,28,70
地域別多摩中央部南エリア,100.0,17.9,11.4,18.9,14.4,2.0,3.5,-,4.5,-,9.5,10.9,0.5,1.0,1.5,0.5,13.9,34.8
地域別多摩西部エリア,39,1,1,1,3,-,8,-,7,-,6,1,-,-,1,-,5,17
地域別多摩西部エリア,100.0,2.6,2.6,2.6,7.7,-,20.5,-,17.9,-,15.4,2.6,-,-,2.6,-,12.8,43.6
選挙への関心度別関心があった（計）,1424,596,418,373,350,73,74,20,85,37,357,366,37,20,93,8,137,219
選挙への関心度別関心があった（計）,100.0,41.9,29.4,26.2,24.6,5.1,5.2,1.4,6.0,2.6,25.1,25.7,2.6,1.4,6.5,0.6,9.6,15.4
選挙への関心度別関心があった,769,318,195,245,222,44,47,16,34,19,194,180,19,11,39,5,82,106
選挙への関心度別関心があった,100.0,41.4,25.4,31.9,28.9,5.7,6.1,2.1,4.4,2.5,25.2,23.4,2.5,1.4,5.1,0.7,10.7,13.8
選挙への関心度別やや関心があった,655,278,223,128,128,29,27,4,51,18,163,186,18,9,54,3,55,113
選挙への関心度別やや関心があった,100.0,42.4,34.0,19.5,19.5,4.4,4.1,0.6,7.8,2.7,24.9,28.4,2.7,1.4,8.2,0.5,8.4,17.3
選挙への関心度別関心がなかった（計）,175,29,28,5,7,2,4,2,7,2,16,5,-,2,22,1,40,60
選挙への関心度別関心がなかった（計）,100.0,16.6,16.0,2.9,4.0,1.1,2.3,1.1,4.0,1.1,9.1,2.9,-,1.1,12.6,0.6,22.9,34.3
選挙への関心度別あまり関心がなかった,89,20,19,2,5,1,4,1,5,1,11,3,-,1,12,1,12,26
選挙への関心度別あまり関心がなかった,100.0,22.5,21.3,2.2,5.6,1.1,4.5,1.1,5.6,1.1,12.4,3.4,-,1.1,13.5,1.1,13.5,29.2
選挙への関心度別関心がなかった,86,9,9,3,2,1,-,1,2,1,5,2,-,1,10,-,28,34
選挙への関心度別関心がなかった,100.0,10.5,10.5,3.5,2.3,1.2,-,1.2,2.3,1.2,5.8,2.3,-,1.2,11.6,-,32.6,39.5
選挙への関心度別どちらともいえない,209,59,56,21,23,1,8,-,11,2,21,39,1,-,23,-,24,64
選挙への関心度別どちらともいえない,100.0,28.2,26.8,10.0,11.0,0.5,3.8,-,5.3,1.0,10.0,18.7,0.5,-,11.0,-,11.5,30.6
選挙への関心度別わからない,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,11
選挙への関心度別わからない,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26.7,73.3
投票への意識別投票するべき（計）,1443,597,428,371,355,66,70,20,82,35,353,383,38,21,92,8,139,224
投票への意識別投票するべき（計）,100.0,41.4,29.7,25.7,24.6,4.6,4.9,1.4,5.7,2.4,24.5,26.5,2.6,1.5,6.4,0.6,9.6,15.5
投票への意識別必ず投票するべき,615,276,163,182,203,33,33,12,25,13,175,173,19,9,24,5,62,83
投票への意識別必ず投票するべき,100.0,44.9,26.5,29.6,33.0,5.4,5.4,2.0,4.1,2.1,28.5,28.1,3.1,1.5,3.9,0.8,10.1,13.5
投票への意識別可能な限り投票するべき,828,321,265,189,152,33,37,8,57,22,178,210,19,12,68,3,77,141
投票への意識別可能な限り投票するべき,100.0,38.8,32.0,22.8,18.4,4.0,4.5,1.0,6.9,2.7,21.5,25.4,2.3,1.4,8.2,0.4,9.3,17.0
投票への意識別投票するのもしないのも自由,335,86,72,28,25,10,15,2,18,6,39,26,-,1,44,1,53,104
投票への意識別投票するのもしないのも自由,100.0,25.7,21.5,8.4,7.5,3.0,4.5,0.6,5.4,1.8,11.6,7.8,-,0.3,13.1,0.3,15.8,31.0
投票への意識別その他,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
投票への意識別その他,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0,-
投票への意識別わからない,44,1,2,-,-,-,1,-,3,-,2,1,-,-,2,-,12,26
投票への意識別わからない,100.0,2.3,4.5,-,-,-,2.3,-,6.8,-,4.5,2.3,-,-,4.5,-,27.3,59.1
投票への参加状況別投票した（計）,1491,637,462,381,366,74,80,21,90,34,372,396,37,21,99,9,135,219
投票への参加状況別投票した（計）,100.0,42.7,31.0,25.6,24.5,5.0,5.4,1.4,6.0,2.3,24.9,26.6,2.5,1.4,6.6,0.6,9.1,14.7
投票への参加状況別投票日に投票した,1254,542,389,314,306,61,58,16,69,24,315,352,23,15,73,6,112,188
投票への参加状況別投票日に投票した,100.0,43.2,31.0,25.0,24.4,4.9,4.6,1.3,5.5,1.9,25.1,28.1,1.8,1.2,5.8,0.5,8.9,15.0
投票への参加状況別期日前投票（又は不在者投票等）をした,237,95,73,67,60,13,22,5,21,10,57,44,14,6,26,3,23,31
投票への参加状況別期日前投票（又は不在者投票等）をした,100.0,40.1,30.8,28.3,25.3,5.5,9.3,2.1,8.9,4.2,24.1,18.6,5.9,2.5,11.0,1.3,9.7,13.1
投票への参加状況別投票しなかった,321,47,40,17,14,2,6,1,12,7,21,14,1,1,38,-,68,129
投票への参加状況別投票しなかった,100.0,14.6,12.5,5.3,4.4,0.6,1.9,0.3,3.7,2.2,6.5,4.4,0.3,0.3,11.8,-,21.2,40.2
投票への参加状況別答えたくない,11,-,-,1,-,-,-,-,1,-,1,-,-,-,1,-,2,6
投票への参加状況別答えたくない,100.0,-,-,9.1,-,-,-,-,9.1,-,9.1,-,-,-,9.1,-,18.2,54.5
新聞の定期購読別定期購読している,1240,493,341,363,311,60,66,16,70,25,304,345,18,8,47,5,110,214
新聞の定期購読別定期購読している,100.0,39.8,27.5,29.3,25.1,4.8,5.3,1.3,5.6,2.0,24.5,27.8,1.5,0.6,3.8,0.4,8.9,17.3
新聞の定期購読別定期購読していない,583,191,161,36,69,16,20,6,33,16,90,65,20,14,91,4,95,140
新聞の定期購読別定期購読していない,100.0,32.8,27.6,6.2,11.8,2.7,3.4,1.0,5.7,2.7,15.4,11.1,3.4,2.4,15.6,0.7,16.3,24.0
インターネットの利用有無別インターネットを利用している,1055,451,385,200,212,33,47,15,73,31,251,251,36,21,138,7,101,166
インターネットの利用有無別インターネットを利用している,100.0,42.7,36.5,19,20.1,3.1,4.5,1.4,6.9,2.9,23.8,23.8,3.4,2.0,13.1,0.7,9.6,15.7
インターネットの利用有無別インターネットを利用していない,768,233,117,199,168,43,39,7,30,10,143,159,2,1,-,2,104,188
インターネットの利用有無別インターネットを利用していない,100.0,30.3,15.2,25.9,21.9,5.6,5.1,0.9,3.9,1.3,18.6,20.7,0.3,0.1,-,0.3,13.5,24.5
