,調査数,利用した,知っているが利用していない,知らない,わからない,無回答
子供の有無別学校教育終了,671,15,48,515,88,5
子供の有無別学校教育終了,100.0,2.2,7.2,76.8,13.1,0.7
子供の有無別その他,11,-,1,6,3,1
子供の有無別その他,100.0,-,9.1,54.5,27.3,9.1
職業別自営業（計）,174,6,18,133,16,1
職業別自営業（計）,100.0,3.4,10.3,76.4,9.2,0.6
職業別農林漁業,2,-,-,2,-,-
職業別農林漁業,100.0,-,-,100.0,-,-
職業別商工・サービス業,71,3,11,47,9,1
職業別商工・サービス業,100.0,4.2,15.5,66.2,12.7,1.4
職業別その他自由業,101,3,7,84,7,-
職業別その他自由業,100.0,3.0,6.9,83.2,6.9,-
職業別お勤め（計）,981,22,81,809,64,5
職業別お勤め（計）,100.0,2.2,8.3,82.5,6.5,0.5
職業別経営・管理職,109,3,14,86,6,-
職業別経営・管理職,100.0,2.8,12.8,78.9,5.5,-
職業別専門職・技術職,261,8,27,207,18,1
職業別専門職・技術職,100.0,3.1,10.3,79.3,6.9,0.4
職業別事務職,305,2,20,260,22,1
職業別事務職,100.0,0.7,6.6,85.2,7.2,0.3
職業別労務職・技能職,89,5,7,72,4,1
職業別労務職・技能職,100.0,5.6,7.9,80.9,4.5,1.1
職業別販売・サービス職,217,4,13,184,14,2
職業別販売・サービス職,100.0,1.8,6.0,84.8,6.5,0.9
職業別その他（計）,841,18,49,653,112,9
職業別その他（計）,100.0,2.1,5.8,77.6,13.3,1.1
職業別学生,53,1,-,49,2,1
職業別学生,100.0,1.9,-,92.5,3.8,1.9
職業別専業主婦（夫）,391,8,15,319,46,3
職業別専業主婦（夫）,100.0,2.0,3.8,81.6,11.8,0.8
職業別その他,62,-,6,47,9,-
職業別その他,100.0,-,9.7,75.8,14.5,-
職業別無職（年金受給者含む）,335,9,28,238,55,5
職業別無職（年金受給者含む）,100.0,2.7,8.4,71.0,16.4,1.5
投票所までの時間別５分以内,636,21,66,488,49,12
投票所までの時間別５分以内,100.0,3.3,10.4,76.7,7.7,1.9
投票所までの時間別10分以内,1060,15,63,876,103,3
投票所までの時間別10分以内,100.0,1.4,5.9,82.6,9.7,0.3
投票所までの時間別20分以内,221,3,10,177,31,-
投票所までの時間別20分以内,100.0,1.4,4.5,80.1,14.0,-
投票所までの時間別30分以内,50,5,8,30,7,-
投票所までの時間別30分以内,100.0,10.0,16.0,60.0,14.0,-
投票所までの時間別30分を超える,26,2,2,20,2,-
投票所までの時間別30分を超える,100.0,7.7,7.7,76.9,7.7,-
地域別区部（計）,1392,36,129,1076,144,7
地域別区部（計）,100.0,2.6,9.3,77.3,10.3,0.5
地域別センターコア,372,12,33,296,31,-
地域別センターコア,100.0,3.2,8.9,79.6,8.3,-
地域別区部東部・北部エリア,408,8,40,290,70,-
地域別区部東部・北部エリア,100.0,2.0,9.8,71.1,17.2,-
地域別区部西部・南部エリア,612,16,56,490,43,7
地域別区部西部・南部エリア,100.0,2.6,9.2,80.1,7.0,1.1
地域別市郡部（計）,619,10,20,530,49,10
地域別市郡部（計）,100.0,1.6,3.2,85.6,7.9,1.6
地域別多摩東部エリア,235,5,4,203,19,4
地域別多摩東部エリア,100.0,2.1,1.7,86.4,8.1,1.7
地域別多摩中央部北エリア,88,-,6,70,11,1
地域別多摩中央部北エリア,100.0,-,6.8,79.5,12.5,1.1
地域別多摩中央部南エリア,261,5,10,229,14,3
地域別多摩中央部南エリア,100.0,1.9,3.8,87.7,5.4,1.1
地域別多摩西部エリア,35,-,-,28,5,2
地域別多摩西部エリア,100.0,-,-,80.0,14.3,5.7
選挙への関心度別関心があった（計）,1170,37,110,903,112,8
選挙への関心度別関心があった（計）,100.0,3.2,9.4,77.2,9.6,0.7
選挙への関心度別関心があった,636,25,63,479,64,5
選挙への関心度別関心があった,100.0,3.9,9.9,75.3,10.1,0.8
選挙への関心度別やや関心があった,534,12,47,424,48,3
選挙への関心度別やや関心があった,100.0,2.2,8.8,79.4,9.0,0.6
選挙への関心度別関心がなかった（計）,533,6,16,445,60,6
選挙への関心度別関心がなかった（計）,100.0,1.1,3.0,83.5,11.3,1.1
選挙への関心度別あまり関心がなかった,316,4,8,271,31,2
選挙への関心度別あまり関心がなかった,100.0,1.3,2.5,85.8,9.8,0.6
選挙への関心度別関心がなかった,217,2,8,174,29,4
選挙への関心度別関心がなかった,100.0,0.9,3.7,80.2,13.4,1.8
選挙への関心度別どちらともいえない,298,3,23,251,18,3
選挙への関心度別どちらともいえない,100.0,1.0,7.7,84.2,6.0,1.0
選挙への関心度別わからない、答えたくない,10,-,-,7,3,-
選挙への関心度別わからない、答えたくない,100.0,-,-,70.0,30.0,-
投票への意識別必ず投票するべき,609,21,61,459,63,5
投票への意識別必ず投票するべき,100.0,3.4,10.0,75.4,10.3,0.8
投票への意識別可能な限り投票するべき,845,21,63,680,78,3
投票への意識別可能な限り投票するべき,100.0,2.5,7.5,80.5,9.2,0.4
投票への意識別投票するのもしないのも自由,473,4,22,402,38,7
投票への意識別投票するのもしないのも自由,100.0,0.8,4.7,85.0,8.0,1.5
投票への意識別その他,8,-,1,6,1,-
投票への意識別その他,100.0,-,12.5,75.0,12.5,-
投票への意識別わからない,62,-,2,46,13,1
投票への意識別わからない,100.0,-,3.2,74.2,21.0,1.6
投票への参加状況別投票した（計）,999,39,111,749,94,6
投票への参加状況別投票した（計）,100.0,3.9,11.1,75.0,9.4,0.6
投票への参加状況別投票日（２月９日）に投票した,827,25,94,634,69,5
投票への参加状況別投票日（２月１０日）に投票した,100.0,3.0,11.4,76.7,8.3,0.6
投票への参加状況別期日前投票（又は不在者投票等）をした,172,14,17,115,25,1
投票への参加状況別期日前投票（又は不在者投票等）をした,100.0,8.1,9.9,66.9,14.5,0.6
投票への参加状況別投票しなかった,963,7,34,823,88,11
投票への参加状況別投票しなかった,100.0,0.7,3.5,85.5,9.1,1.1
投票への参加状況別答えたくない,42,-,2,29,11,-
投票への参加状況別答えたくない,100.0,-,4.8,69.0,26.2,-
ネット投票の認知度別知っている,1291,41,118,1017,105,10
ネット投票の認知度別知っている,100.0,3.2,9.1,78.8,8.1,0.8
ネット投票の認知度別知らなかった,645,5,27,531,78,4
ネット投票の認知度別知らなかった,100.0,0.8,4.2,82.3,12.1,0.6
インターネットの利用有無別インターネットを利用している,1176,36,96,963,73,8
インターネットの利用有無別インターネットを利用している,100.0,3.1,8.2,81.9,6.2,0.7
インターネットの利用有無別インターネットを利用していない,832,10,53,640,120,9
インターネットの利用有無別インターネットを利用していない,100.0,1.2,6.4,76.9,14.4,1.1
新聞の定期購読別定期購読している,1206,29,98,934,135,10
新聞の定期購読別定期購読している,100.0,2.4,8.1,77.4,11.2,0.8
新聞の定期購読別定期購読していない,796,17,51,664,57,7
新聞の定期購読別定期購読していない,100.0,2.1,6.4,83.4,7.2,0.9
