,調査数,当選させたい候補者がいたから,自分の支持する政党の推す候補者を当選させたかったから,都政をよくするためには、投票することが大切だと思ったから,今の政治がよくないので、変えたいと思ったから,自分の関係する団体、組織、知り合いの人に投票を頼まれたから,投票することは、義務であるから,投票することは、権利であるから,当選させたくない候補者がいたから,友人や家族が行くから、なんとなく,投票率が気になったから,テレビ・ラジオ・新聞などメディアの報道を見て興味を持ったから,インターネット上の情報を見て興味を持ったから,その他,わからない,無回答
未・既婚別未婚（死別・離別を含む）,279,84,28,149,53,7,110,97,15,16,13,27,9,5,1,-
未・既婚別未婚（死別・離別を含む）,100.0,30.1,10.0,53.4,19.0,2.5,39.4,34.8,5.4,5.7,4.7,9.7,3.2,1.8,0.4,-
未・既婚別既婚,711,207,60,416,134,24,293,240,30,26,34,46,4,9,2,2
未・既婚別既婚,100.0,29.1,8.4,58.5,18.8,3.4,41.2,33.8,4.2,3.7,4.8,6.5,0.6,1.3,0.3,0.3
子供の有無別子供はいない,280,89,17,148,42,4,113,102,17,16,10,21,7,8,1,-
子供の有無別子供はいない,100.0,31.8,6.1,52.9,15.0,1.4,40.4,36.4,6.1,5.7,3.6,7.5,2.5,2.9,0.4,-
子供の有無別未就学（～６歳）,70,20,4,39,16,-,22,33,6,6,4,8,1,-,-,-
子供の有無別未就学（～６歳）,100.0,28.6,5.7,55.7,22.9,-,31.4,47.1,8.6,8.6,5.7,11.4,1.4,-,-,-
子供の有無別小・中・高校生,185,42,15,112,40,6,71,58,6,6,9,18,4,2,-,-
子供の有無別小・中・高校生,100.0,22.7,8.1,60.5,21.6,3.2,38.4,31.4,3.2,3.2,4.9,9.7,2.2,1.1,-,-
子供の有無別大学生・大学院生・短大生・専門学校生,63,16,6,42,12,3,23,20,4,3,2,4,-,1,-,-
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,25.4,9.5,66.7,19.0,4.8,36.5,31.7,6.3,4.8,3.2,6.3,-,1.6,-,-
子供の有無別学校教育終了,415,126,48,242,78,19,189,138,16,11,24,26,1,4,2,2
子供の有無別学校教育終了,100.0,30.4,11.6,58.3,18.8,4.6,45.5,33.3,3.9,2.7,5.8,6.3,0.2,1,0.5,0.5
子供の有無別その他,8,4,-,4,1,-,4,3,1,-,-,1,-,-,-,-
子供の有無別その他,100.0,50.0,-,50.0,12.5,-,50.0,37.5,12.5,-,-,12.5,-,-,-,-
職業別自営業（計）,92,31,13,47,12,3,36,39,6,2,1,5,1,1,-,-
職業別自営業（計）,100.0,33.7,14.1,51.1,13.0,3.3,39.1,42.4,6.5,2.2,1.1,5.4,1.1,1.1,-,-
職業別農林漁業,2,1,-,-,-,-,2,-,1,-,-,-,-,-,-,---
職業別農林漁業,100.0,50.0,-,-,-,-,100.0,-,50.0,-,-,-,-,-,-,---
職業別商工・サービス業,37,16,6,18,3,2,15,13,1,-,1,2,-,-,-,---
職業別商工・サービス業,100.0,43.2,16.2,48.6,8.1,5.4,40.5,35.1,2.7,-,2.7,5.4,-,-,-,-
職業別その他自由業,53,14,7,29,9,1,19,26,4,2,-,3,1,1,-,-
職業別その他自由業,100.0,26.4,13.2,54.7,17.0,1.9,35.8,49.1,7.5,3.8,-,5.7,1.9,1.9,-,-
職業別お勤め（計）,452,113,29,254,87,8,177,161,23,18,22,30,8,9,-,1
職業別お勤め（計）,100.0,25.0,6.4,56.2,19.2,1.8,39.2,35.6,5.1,4.0,4.9,6.6,1.8,2.0,-,0.2
職業別経営・管理職,69,20,6,40,13,2,24,21,4,2,4,5,3,2,-,1
職業別経営・管理職,100.0,29.0,8.7,58.0,18.8,2.9,34.8,30.4,5.8,2.9,5.8,7.2,4.3,2.9,-,1.4
職業別専門職・技術職,142,41,15,80,30,5,56,53,9,4,8,6,2,3,-,-
職業別専門職・技術職,100.0,28.9,10.6,56.3,21.1,3.5,39.4,37.3,6.3,2.8,5.6,4.2,1.4,2.1,-,-
職業別事務職,124,24,4,76,22,-,50,45,6,4,3,7,-,1,-,-
職業別事務職,100.0,19.4,3.2,61.3,17.7,-,40.3,36.3,4.8,3.2,2.4,5.6,-,0.8,-,-
職業別労務職・技能職,38,13,2,18,7,1,14,8,2,2,4,5,2,-,-,-
職業別労務職・技能職,100.0,34.2,5.3,47.4,18.4,2.6,36.8,21.1,5.3,5.3,10.5,13.2,5.3,-,-,-
職業別販売・サービス職,79,15,2,40,15,-,33,34,2,6,3,7,1,3,-,-
職業別販売・サービス職,100.0,19.0,2.5,50.6,19.0,-,41.8,43.0,2.5,7.6,3.8,8.9,1.3,3.8,-,-
職業別その他（計）,447,146,46,262,88,20,191,137,16,22,24,38,4,4,3,1
職業別その他（計）,100.0,32.7,10.3,58.6,19.7,4.5,42.7,30.6,3.6,4.9,5.4,8.5,0.9,0.9,0.7,0.2
職業別学生,11,2,1,7,1,-,6,7,-,1,-,2,1,-,-,-
職業別学生,100.0,18.2,9.1,63.6,9.1,-,54.5,63.6,-,9.1,-,18.2,9.1,-,-,-
職業別専業主婦（夫）,221,63,13,137,47,13,79,62,4,13,11,19,1,1,1,1
職業別専業主婦（夫）,100.0,28.5,5.9,62.0,21.3,5.9,35.7,28.1,1.8,5.9,5.0,8.6,0.5,0.5,0.5,0.5
職業別その他,35,17,2,15,6,-,15,12,4,1,3,1,1,1,-,-
職業別その他,100.0,48.6,5.7,42.9,17.1,-,42.9,34.3,11.4,2.9,8.6,2.9,2.9,2.9,-,-
職業別無職（年金受給者含む）,180,64,30,103,34,7,91,56,8,7,10,16,1,2,2,-
職業別無職（年金受給者含む）,100.0,35.6,16.7,57.2,18.9,3.9,50.6,31.1,4.4,3.9,5.6,8.9,0.6,1.1,1.1,-
投票所までの時間別５分以内,388,135,34,210,46,13,177,131,17,14,21,29,7,6,-,2
投票所までの時間別５分以内,100.0,34.8,8.8,54.1,11.9,3.4,45.6,33.8,4.4,3.6,5.4,7.5,1.8,1.5,-,0.5
投票所までの時間別10分以内,467,109,39,275,109,15,156,146,20,23,21,26,3,8,2,-
投票所までの時間別10分以内,100.0,23.3,8.4,58.9,23.3,3.2,33.4,31.3,4.3,4.9,4.5,5.6,0.6,1.7,0.4,-
投票所までの時間別20分以内,101,33,10,53,19,2,54,36,8,5,3,11,2,-,1,-
投票所までの時間別20分以内,100.0,32.7,9.9,52.5,18.8,2.0,53.5,35.6,7.9,5.0,3.0,10.9,2.0,-,1.0,-
投票所までの時間別30分以内,19,10,2,14,10,-,7,14,1,-,1,4,1,-,-,-
投票所までの時間別30分以内,100.0,52.6,10.5,73.7,52.6,-,36.8,73.7,5.3,-,5.3,21.1,5.3,-,-,-
投票所までの時間別30分を超える,19,5,3,12,3,1,13,12,-,-,1,3,-,-,-,-
投票所までの時間別30分を超える,100.0,26.3,15.8,63.2,15.8,5.3,68.4,63.2,-,-,5.3,15.8,-,-,-,-
