,ア）調査数,ア）知っている,ア）知らなかった,ア）無回答,イ）調査数,イ）知っている,イ）知らなかった,イ）無回答,ウ）調査数,ウ）知っている,ウ）知らなかった,ウ）無回答,エ）調査数,エ）知っている,エ）知らなかった,エ）無回答,オ）調査数,オ）知っている,オ）知らなかった,オ）無回答,カ）調査数,カ）知っている,カ）知らなかった,カ）無回答
子供の有無別大学生・大学院生・短大生・専門学校生,92,84,7,1,84,71,11,2,84,64,18,2,84,60,22,2,84,53,29,2,84,13,69,2
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,91.3,7.6,1.1,100.0,84.5,13.1,2.4,100.0,76.2,21.4,2.4,100.0,71.4,26.2,2.4,100.0,63.1,34.5,2.4,100.0,15.5,82.1,2.4
子供の有無別学校教育終了,671,613,50,8,613,563,39,11,613,494,108,11,613,476,126,11,613,440,162,11,613,109,492,12
子供の有無別学校教育終了,100.0,91.4,7.5,1.2,100.0,91.8,6.4,1.8,100.0,80.6,17.6,1.8,100.0,77.7,20.6,1.8,100.0,71.8,26.4,1.8,100.0,17.8,80.3,2.0
子供の有無別その他,11,8,3,-,8,8,-,-,8,7,1,-,8,5,3,-,8,6,2,-,8,4,4,-
子供の有無別その他,100.0,72.7,27.3,-,100.0,100.0,-,-,100.0,87.5,12.5,-,100.0,62.5,37.5,-,100.0,75.0,25.0,-,100.0,50.0,50.0,-
職業別自営業（計）,174,146,23,5,146,133,9,4,146,95,48,3,146,113,30,3,146,86,57,3,146,36,107,3
職業別自営業（計）,100.0,83.9,13.2,2.9,100.0,91.1,6.2,2.7,100.0,65.1,32.9,2.1,100.0,77.4,20.5,2.1,100.0,58.9,39.0,2.1,100.0,24.7,73.3,2.1
職業別農林漁業,2,2,-,-,2,2,-,-,2,1,1,-,2,1,1,-,2,1,1,-,2,-,2,-
職業別農林漁業,100.0,100.0,-,-,100.0,100.0,-,-,100.0,50.0,50.0,-,100.0,50.0,50.0,-,100.0,50.0,50.0,-,100.0,-,100.0,-
職業別商工・サービス業,71,58,11,2,58,53,2,3,58,34,22,2,58,46,10,2,58,35,21,2,58,18,38,2
職業別商工・サービス業,100.0,81.7,15.5,2.8,100.0,91.4,3.4,5.2,100.0,58.6,37.9,3.4,100.0,79.3,17.2,3.4,100.0,60.3,36.2,3.4,100.0,31.0,65.5,3.4
職業別その他自由業,101,86,12,3,86,78,7,1,86,60,25,1,86,66,19,1,86,50,35,1,86,18,67,1
職業別その他自由業,100.0,85.1,11.9,3.0,100.0,90.7,8.1,1.2,100.0,69.8,29.1,1.2,100.0,76.7,22.1,1.2,100.0,58.1,40.7,1.2,100.0,20.9,77.9,1.2
職業別お勤め（計）,981,864,110,7,864,724,125,15,864,598,251,15,864,569,279,16,864,525,325,14,864,165,683,16
職業別お勤め（計）,100.0,88.1,11.2,0.7,100.0,83.8,14.5,1.7,100.0,69.2,29.1,1.7,100.0,65.9,32.3,1.9,100.0,60.8,37.6,1.6,100.0,19.1,79.1,1.9
職業別経営・管理職,109,99,10,-,99,90,8,1,99,84,14,1,99,78,20,1,99,76,22,1,99,31,67,1
職業別経営・管理職,100.0,90.8,9.2,-,100.0,90.9,8.1,1.0,100.0,84.8,14.1,1.0,100.0,78.8,20.2,1.0,100.0,76.8,22.2,1.0,100.0,31.3,67.7,1.0
職業別専門職・技術職,261,242,17,2,242,209,27,6,242,169,67,6,242,165,71,6,242,147,90,5,242,40,195,7
職業別専門職・技術職,100.0,92.7,6.5,0.8,100.0,86.4,11.2,2.5,100.0,69.8,27.7,2.5,100.0,68.2,29.3,2.5,100.0,60.7,37.2,2.1,100.0,16.5,80.6,2.9
職業別事務職,305,269,33,3,269,223,42,4,269,181,84,4,269,167,97,5,269,165,100,4,269,42,223,4
職業別事務職,100.0,88.2,10.8,1.0,100.0,82.9,15.6,1.5,100.0,67.3,31.2,1.5,100.0,62.1,36.1,1.9,100.0,61.3,37.2,1.5,100.0,15.6,82.9,1.5
職業別労務職・技能職,89,80,9,-,80,59,20,1,80,52,27,1,80,55,24,1,80,48,31,1,80,19,60,1
職業別労務職・技能職,100.0,89.9,10.1,-,100.0,73.8,25.0,1.3,100.0,65.0,33.8,1.3,100.0,68.8,30.0,1.3,100.0,60.0,38.8,1.3,100.0,23.8,75.0,1.3
職業別販売・サービス職,217,174,41,2,174,143,28,3,174,112,59,3,174,104,67,3,174,89,82,3,174,33,138,3
職業別販売・サービス職,100.0,80.2,18.9,0.9,100.0,82.2,16.1,1.7,100.0,64.4,33.9,1.7,100.0,59.8,38.5,1.7,100.0,51.1,47.1,1.7,100.0,19.0,79.3,1.7
職業別その他（計）,841,723,104,14,723,625,92,6,723,539,178,6,723,519,197,7,723,466,250,7,723,101,614,8
職業別その他（計）,100.0,86.0,12.4,1.7,100.0,86.4,12.7,0.8,100.0,74.6,24.6,0.8,100.0,71.8,27.2,1.0,100.0,64.5,34.6,1.0,100.0,14.0,84.9,1.1
職業別学生,53,40,12,1,40,21,19,-,40,12,28,-,40,9,31,-,40,9,31,-,40,3,37,-
職業別学生,100.0,75.5,22.6,1.9,100.0,52.5,47.5,-,100.0,30.0,70.0,-,100.0,22.5,77.5,-,100.0,22.5,77.5,-,100.0,7.5,92.5,-
職業別専業主婦（夫）,391,347,43,1,347,309,36,2,347,276,69,2,347,265,79,3,347,235,109,3,347,34,309,4
職業別専業主婦（夫）,100.0,88.7,11.0,0.3,100.0,89.0,10.4,0.6,100.0,79.5,19.9,0.6,100.0,76.4,22.8,0.9,100.0,67.7,31.4,0.9,100.0,9.8,89.0,1.2
職業別その他,62,52,10,-,52,45,5,2,52,36,14,2,52,37,13,2,52,32,18,2,52,12,38,2
職業別その他,100.0,83.9,16.1,-,100.0,86.5,9.6,3.8,100.0,69.2,26.9,3.8,100.0,71.2,25.0,3.8,100.0,61.5,34.6,3.8,100.0,23.1,73.1,3.8
職業別無職（年金受給者含む）,335,284,39,12,284,250,32,2,284,215,67,2,284,208,74,2,284,190,92,2,284,52,230,2
職業別無職（年金受給者含む）,100.0,84.8,11.6,3.6,100.0,88.0,11.3,0.7,100.0,75.7,23.6,0.7,100.0,73.2,26.1,0.7,100.0,66.9,32.4,0.7,100.0,18.3,81.0,0.7
投票所までの時間別５分以内,636,554,67,15,554,490,51,13,554,413,129,12,554,408,133,13,554,374,168,12,554,121,418,15
投票所までの時間別５分以内,100.0,87.1,10.5,2.4,100.0,88.4,9.2,2.3,100.0,74.5,23.3,2.2,100.0,73.6,24.0,2.3,100.0,67.5,30.3,2.2,100.0,21.8,75.5,2.7
投票所までの時間別10分以内,1060,934,123,3,934,782,144,8,934,635,291,8,934,616,309,9,934,528,398,8,934,127,799,8
投票所までの時間別10分以内,100.0,88.1,11.6,0.3,100.0,83.7,15.4,0.9,100.0,68.0,31.2,0.9,100.0,66.0,33.1,1.0,100.0,56.5,42.6,0.9,100.0,13.6,85.5,0.9
投票所までの時間別20分以内,221,196,19,6,196,175,20,1,196,151,44,1,196,149,46,1,196,143,52,1,196,39,156,1
投票所までの時間別20分以内,100.0,88.7,8.6,2.7,100.0,89.3,10.2,0.5,100.0,77.0,22.4,0.5,100.0,76.0,23.5,0.5,100.0,73.0,26.5,0.5,100.0,19.9,79.6,0.5
投票所までの時間別30分以内,50,24,24,2,24,18,6,-,24,19,5,-,24,15,9,-,24,17,7,-,24,12,12,-
投票所までの時間別30分以内,100.0,48.0,48.0,4.0,100.0,75.0,25.0,-,100.0,79.2,20.8,-,100.0,62.5,37.5,-,100.0,70.8,29.2,-,100.0,50.0,50.0,-
投票所までの時間別30分を超える,26,26,-,-,26,24,-,2,26,21,3,2,26,20,4,2,26,20,4,2,26,7,17,2
投票所までの時間別30分を超える,100.0,100.0,-,-,100.0,92.3,-,7.7,100.0,80.8,11.5,7.7,100.0,76.9,15.4,7.7,100.0,76.9,15.4,7.7,100.0,26.9,65.4,7.7
地域別区部（計）,1392,1148,221,23,1148,962,167,19,1148,748,382,18,1148,807,322,19,1148,647,484,17,1148,253,876,19
地域別区部（計）,100.0,82.5,15.9,1.7,100.0,83.8,14.5,1.7,100.0,65.2,33.3,1.6,100.0,70.3,28.0,1.7,100.0,56.4,42.2,1.5,100.0,22.0,76.3,1.7
地域別センターコア,372,329,43,-,329,299,24,6,329,226,97,6,329,238,85,6,329,203,121,5,329,98,225,6
地域別センターコア,100.0,88.4,11.6,-,100.0,90.9,7.3,1.8,100.0,68.7,29.5,1.8,100.0,72.3,25.8,1.8,100.0,61.7,36.8,1.5,100.0,29.8,68.4,1.8
地域別区部東部・北部エリア,408,363,44,1,363,315,42,6,363,246,111,6,363,287,70,6,363,211,146,6,363,81,275,7
地域別区部東部・北部エリア,100.0,89.0,10.8,0.2,100.0,86.8,11.6,1.7,100.0,67.8,30.6,1.7,100.0,79.1,19.3,1.7,100.0,58.1,40.2,1.7,100.0,22.3,75.8,1.9
地域別区部西部・南部エリア,612,456,134,22,456,348,101,7,456,276,174,6,456,282,167,7,456,233,217,6,456,74,376,6
地域別区部西部・南部エリア,100.0,74.5,21.9,3.6,100.0,76.3,22.1,1.5,100.0,60.5,38.2,1.3,100.0,61.8,36.6,1.5,100.0,51.1,47.6,1.3,100.0,16.2,82.5,1.3
地域別市郡部（計）,619,598,17,4,598,532,60,6,598,493,99,6,598,404,187,7,598,438,153,7,598,54,536,8
地域別市郡部（計）,100.0,96.6,2.7,0.6,100.0,89.0,10.0,1.0,100.0,82.4,16.6,1.0,100.0,67.6,31.3,1.2,100.0,73.2,25.6,1.2,100.0,9.0,89.6,1.3
地域別多摩東部エリア,235,223,10,2,223,191,32,-,223,177,46,-,223,151,72,-,223,168,55,-,223,22,200,1
地域別多摩東部エリア,100.0,94.9,4.3,0.9,100.0,85.7,14.3,-,100.0,79.4,20.6,-,100.0,67.7,32.3,-,100.0,75.3,24.7,-,100.0,9.9,89.7,0.4
地域別多摩中央部北エリア,88,83,5,-,83,73,8,2,83,64,17,2,83,55,25,3,83,55,25,3,83,6,74,3
地域別多摩中央部北エリア,100.0,94.3,5.7,-,100.0,88.0,9.6,2.4,100.0,77.1,20.5,2.4,100.0,66.3,30.1,3.6,100.0,66.3,30.1,3.6,100.0,7.2,89.2,3.6
地域別多摩中央部南エリア,261,258,2,1,258,238,16,4,258,223,31,4,258,178,76,4,258,189,65,4,258,24,230,4
地域別多摩中央部南エリア,100.0,98.9,0.8,0.4,100.0,92.2,6.2,1.6,100.0,86.4,12.0,1.6,100.0,69.0,29.5,1.6,100.0,73.3,25.2,1.6,100.0,9.3,89.1,1.6
地域別多摩西部エリア,35,34,-,1,34,30,4,-,34,29,5,-,34,20,14,-,34,26,8,-,34,2,32,-
地域別多摩西部エリア,100.0,97.1,-,2.9,100.0,88.2,11.8,-,100.0,85.3,14.7,-,100.0,58.8,41.2,-,100.0,76.5,23.5,-,100.0,5.9,94.1,-
選挙への関心度別関心があった（計）,1170,1104,55,11,1104,1009,81,14,1104,886,205,13,1104,866,223,15,1104,795,295,14,1104,228,861,15
選挙への関心度別関心があった（計）,100.0,94.4,4.7,0.9,100.0,91.4,7.3,1.3,100.0,80.3,18.6,1.2,100.0,78.4,20.2,1.4,100.0,72.0,26.7,1.3,100.0,20.7,78.0,1.4
選挙への関心度別関心があった,636,604,30,2,604,567,31,6,604,502,96,6,604,496,101,7,604,459,138,7,604,137,459,8
選挙への関心度別関心があった,100.0,95.0,4.7,0.3,100.0,93.9,5.1,1.0,100.0,83.1,15.9,1.0,100.0,82.1,16.7,1.2,100.0,76.0,22.8,1.2,100.0,22.7,76.0,1.3
選挙への関心度別やや関心があった,534,500,25,9,500,442,50,8,500,384,109,7,500,370,122,8,500,336,157,7,500,91,402,7
選挙への関心度別やや関心があった,100.0,93.6,4.7,1.7,100.0,88.4,10.0,1.6,100.0,76.8,21.8,1.4,100.0,74.0,24.4,1.6,100.0,67.2,31.4,1.4,100.0,18.2,80.4,1.4
選挙への関心度別関心がなかった（計）,533,379,141,13,379,267,106,6,379,188,185,6,379,207,166,6,379,154,220,5,379,39,334,6
選挙への関心度別関心がなかった（計）,100.0,71.1,26.5,2.4,100.0,70.4,28.0,1.6,100.0,49.6,48.8,1.6,100.0,54.6,43.8,1.6,100.0,40.6,58.0,1.3,100.0,10.3,88.1,1.6
選挙への関心度別あまり関心がなかった,316,239,69,8,239,178,58,3,239,128,108,3,239,138,98,3,239,106,130,3,239,25,211,3
選挙への関心度別あまり関心がなかった,100.0,75.6,21.8,2.5,100.0,74.5,24.3,1.3,100.0,53.6,45.2,1.3,100.0,57.7,41.0,1.3,100.0,44.4,54.4,1.3,100.0,10.5,88.3,1.3
選挙への関心度別関心がなかった,217,140,72,5,140,89,48,3,140,60,77,3,140,69,68,3,140,48,90,2,140,14,123,3
選挙への関心度別関心がなかった,100.0,64.5,33.2,2.3,100.0,63.6,34.3,2.1,100.0,42.9,55.0,2.1,100.0,49.3,48.6,2.1,100.0,34.3,64.3,1.4,100.0,10.0,87.9,2.1
選挙への関心度別どちらともいえない,298,261,34,3,261,218,38,5,261,167,89,5,261,138,118,5,261,136,120,5,261,40,215,6
選挙への関心度別どちらともいえない,100.0,87.6,11.4,1.0,100.0,83.5,14.6,1.9,100.0,64.0,34.1,1.9,100.0,52.9,45.2,1.9,100.0,52.1,46.0,1.9,100.0,15.3,82.4,2.3
選挙への関心度別わからない、答えたくない,10,2,8,-,2,-,2,-,2,-,2,-,2,-,2,-,2,-,2,-,2,-,2,-
選挙への関心度別わからない、答えたくない,100.0,20.0,80.0,-,100.0,-,100.0,-,100.0,-,100.0,-,100.0,-,100.0,-,100.0,-,100.0,-,100.0,-,100.0,-
投票への意識別必ず投票するべき,609,582,24,3,582,554,21,7,582,501,75,6,582,491,85,6,582,460,117,5,582,134,441,7
投票への意識別必ず投票するべき,100.0,95.6,3.9,0.5,100.0,95.2,3.6,1.2,100.0,86.1,12.9,1.0,100.0,84.4,14.6,1.0,100.0,79.0,20.1,0.9,100.0,23.0,75.8,1.2
投票への意識別可能な限り投票するべき,845,753,86,6,753,646,92,15,753,528,210,15,753,524,212,17,753,454,283,16,753,116,621,16
投票への意識別可能な限り投票するべき,100.0,89.1,10.2,0.7,100.0,85.8,12.2,2.0,100.0,70.1,27.9,2.0,100.0,69.6,28.2,2.3,100.0,60.3,37.6,2.1,100.0,15.4,82.5,2.1
投票への意識別投票するのもしないのも自由,473,369,89,15,369,269,98,2,369,194,173,2,369,183,184,2,369,156,211,2,369,51,315,3
投票への意識別投票するのもしないのも自由,100.0,78.0,18.8,3.2,100.0,72.9,26.6,0.5,100.0,52.6,46.9,0.5,100.0,49.6,49.9,0.5,100.0,42.3,57.2,0.5,100.0,13.8,85.4,0.8
投票への意識別その他,8,5,3,-,5,2,2,1,5,-,4,1,5,-,4,1,5,-,4,1,5,-,4,1
投票への意識別その他,100.0,62.5,37.5,-,100.0,40.0,40.0,20.0,100.0,-,80.0,20.0,100.0,-,80.0,20.0,100.0,-,80.0,20.0,100.0,-,80.0,20.0
投票への意識別わからない,62,28,31,3,28,15,13,-,28,9,19,-,28,7,21,-,28,9,19,-,28,3,25,-
投票への意識別わからない,100.0,45.2,50.0,4.8,100.0,53.6,46.4,-,100.0,32.1,67.9,-,100.0,25.0,75.0,-,100.0,32.1,67.9,-,100.0,10.7,89.3,-
投票への参加状況別投票した（計）,999,936,52,11,936,862,59,15,936,754,168,14,936,752,168,16,936,685,236,15,936,215,705,16
投票への参加状況別投票した（計）,100.0,93.7,5.2,1.1,100.0,92.1,6.3,1.6,100.0,80.6,17.9,1.5,100.0,80.3,17.9,1.7,100.0,73.2,25.2,1.6,100.0,23.0,75.3,1.7
投票日（２月９日）に投票した,827,767,51,9,767,696,57,14,767,595,159,13,767,607,146,14,767,532,221,14,767,167,585,15
投票日（２月９日）に投票した,100.0,92.7,6.2,1.1,100.0,90.7,7.4,1.8,100.0,77.6,20.7,1.7,100.0,79.1,19.0,1.8,100.0,69.4,28.8,1.8,100.0,21.8,76.3,2.0
投票への参加状況別期日前投票（又は不在者投票等）をした,172,169,1,2,169,166,2,1,169,159,9,1,169,145,22,2,169,153,15,1,169,48,120,1
投票への参加状況別期日前投票（又は不在者投票等）をした,100.0,98.3,0.6,1.2,100.0,98.2,1.2,0.6,100.0,94.1,5.3,0.6,100.0,85.8,13.0,1.2,100.0,90.5,8.9,0.6,100.0,28.4,71.0,0.6
投票への参加状況別投票しなかった,963,779,168,16,779,610,159,10,779,468,301,10,779,440,329,10,779,380,390,9,779,83,685,11
投票への参加状況別投票しなかった,100.0,80.9,17.4,1.7,100.0,78.3,20.4,1.3,100.0,60.1,38.6,1.3,100.0,56.5,42.2,1.3,100.0,48.8,50.1,1.2,100.0,10.7,87.9,1.4
投票への参加状況別答えたくない,42,27,15,-,27,18,9,-,27,16,11,-,27,17,10,-,27,17,10,-,27,8,19,-
投票への参加状況別答えたくない,100.0,64.3,35.7,-,100.0,66.7,33.3,-,100.0,59.3,40.7,-,100.0,63.0,37.0,-,100.0,63.0,37.0,-,100.0,29.6,70.4,-
ネット投票の認知度別知っている,1291,1192,86,13,1192,1049,129,14,1192,897,281,14,1192,881,296,15,1192,794,384,14,1192,237,938,17
ネット投票の認知度別知っている,100.0,92.3,6.7,1.0,100.0,88.0,10.8,1.2,100.0,75.3,23.6,1.2,100.0,73.9,24.8,1.3,100.0,66.6,32.2,1.2,100.0,19.9,78.7,1.4
ネット投票の認知度別知らなかった,645,496,139,10,496,392,97,7,496,300,190,6,496,289,200,7,496,259,231,6,496,65,425,6
ネット投票の認知度別知らなかった,100.0,76.9,21.6,1.6,100.0,79.0,19.6,1.4,100.0,60.5,38.3,1.2,100.0,58.3,40.3,1.4,100.0,52.2,46.6,1.2,100.0,13.1,85.7,1.2
インターネットの利用有無別インターネットを利用している,1176,1035,128,13,1035,861,163,11,1035,715,309,11,1035,688,335,12,1035,620,405,10,1035,179,844,12
