,調査数,投開票速報及び結果,選挙区の情報（候補者・候補者届出政党情報、選挙公報、区割）,比例代表の情報（名簿届出政党等一覧、選挙公報）,期日前投票所一覧、開票所一覧,東京都選挙管理委員会のツイッター,参議院議員選挙の概要（投票日や有権者の定義、選挙制度の説明）,今後の更新予定,18歳選挙権PRサイト（TOHYO都）,選挙期日等を周知する啓発動画広告（お笑いコンビのハリセンボンさん起用）,政見放送・経歴放送の日程,選挙Ｑ＆Ａ,参議院議員選挙投票率推移や年代別推定投票率のグラフ,東京都及び各区市町村の選挙管理委員会事務局への問い合わせ先,その他,わからない、覚えていない
性/年齢別男性30歳代,100.0,63.3,28.6,18.4,30.6,4.1,4.1,2.0,8.2,2.0,10.2,12.2,2.0,4.1,-,28.6
性/年齢別男性40歳代,58,40,24,17,25,3,4,2,4,2,9,16,1,4,-,12
性/年齢別男性40歳代,100.0,69.0,41.4,29.3,43.1,5.2,6.9,3.4,6.9,3.4,15.5,27.6,1.7,6.9,-,20.7
性/年齢別男性50歳代,45,23,17,13,16,-,3,3,2,2,7,10,1,2,-,11
性/年齢別男性50歳代,100.0,51.1,37.8,28.9,35.6,-,6.7,6.7,4.4,4.4,15.6,22.2,2.2,4.4,-,24.4
性/年齢別男性60歳代,39,20,14,6,11,2,6,2,5,3,7,7,2,2,-,13
性/年齢別男性60歳代,100.0,51.3,35.9,15.4,28.2,5.1,15.4,5.1,12.8,7.7,17.9,17.9,5.1,5.1,-,33.3
性/年齢別男性70歳代,16,4,3,3,2,1,1,-,-,-,1,-,-,1,-,9
性/年齢別男性70歳代,100.0,25.0,18.8,18.8,12.5,6.3,6.3,-,-,-,6.3,-,-,6.3,-,56.3
性/年齢別男性80歳以上,3,-,1,-,-,-,-,-,-,-,1,-,-,1,-,2
性/年齢別男性80歳以上,100.0,-,33.3,-,-,-,-,-,-,-,33.3,-,-,33.3,-,66.7
性/年齢別女性18歳,1,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-
性/年齢別女性18歳,100.0,-,100.0,100.0,-,-,100.0,-,-,-,-,-,-,-,-,-
性/年齢別女性19歳,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
性/年齢別女性19歳,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0
性/年齢別女性20歳代,17,11,2,-,5,2,-,1,4,-,-,2,-,-,1,2
性/年齢別女性20歳代,100.0,64.7,11.8,-,29.4,11.8,-,5.9,23.5,-,-,11.8,-,-,5.9,11.8
性/年齢別女性30歳代,26,15,10,7,13,2,-,-,-,-,1,1,-,-,-,9
性/年齢別女性30歳代,100.0,57.7,38.5,26.9,50.0,7.7,-,-,-,-,3.8,3.8,-,-,-,34.6
性/年齢別女性40歳代,46,26,13,11,10,5,1,-,3,-,3,3,1,1,-,16
性/年齢別女性40歳代,100.0,56.5,28.3,23.9,21.7,10.9,2.2,-,6.5,-,6.5,6.5,2.2,2.2,-,34.8
性/年齢別女性50歳代,40,16,6,4,7,2,2,-,-,-,2,6,-,2,-,21
性/年齢別女性50歳代,100.0,40.0,15.0,10.0,17.5,5.0,5.0,-,-,-,5.0,15.0,-,5.0,-,52.5
性/年齢別女性60歳代,25,7,4,2,4,1,2,1,2,1,3,3,1,1,-,15
性/年齢別女性60歳代,100.0,28.0,16.0,8.0,16.0,4.0,8.0,4.0,8.0,4.0,12.0,12.0,4.0,4.0,-,60.0
性/年齢別女性70歳代,14,6,1,2,3,1,1,-,1,1,1,3,1,-,-,7
性/年齢別女性70歳代,100.0,42.9,7.1,14.3,21.4,7.1,7.1,-,7.1,7.1,7.1,21.4,7.1,-,-,50.0
性/年齢別女性80歳以上,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
性/年齢別女性80歳以上,100.0,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
未・既婚別未婚,74,39,18,9,19,3,2,3,8,-,4,10,-,-,-,26
未・既婚別未婚,100.0,52.7,24.3,12.2,25.7,4.1,2.7,4.1,10.8,-,5.4,13.5,-,-,-,35.1
未・既婚別既婚（死別・離別を含む）,328,169,97,69,99,19,22,8,20,10,37,50,8,16,1,117
未・既婚別既婚（死別・離別を含む）,100.0,51.5,29.6,21.0,30.2,5.8,6.7,2.4,6.1,3.0,11.3,15.2,2.4,4.9,0.3,35.7
子供の有無別子供はいない,96,53,25,17,28,8,4,3,8,1,9,12,1,2,-,33
子供の有無別子供はいない,100.0,55.2,26.0,17.7,29.2,8.3,4.2,3.1,8.3,1.0,9.4,12.5,1.0,2.1,-,34.4
子供の有無別未就学（～６歳）,33,16,12,6,9,2,1,-,3,1,1,4,1,1,1,14
子供の有無別未就学（～６歳）,100.0,48.5,36.4,18.2,27.3,6.1,3.0,-,9.1,3.0,3.0,12.1,3.0,3.0,3.0,42.4
子供の有無別小・中・高校生,111,66,38,27,40,4,6,3,9,2,11,18,1,6,-,32
子供の有無別小・中・高校生,100.0,59.5,34.2,24.3,36.0,3.6,5.4,2.7,8.1,1.8,9.9,16.2,0.9,5.4,-,28.8
子供の有無別大学生・大学院生・短大生・専門学校生,40,24,15,12,18,3,6,1,2,1,3,12,-,4,-,11
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,60.0,37.5,30.0,45.0,7.5,15.0,2.5,5.0,2.5,7.5,30.0,-,10.0,-,27.5
子供の有無別学校教育終了,136,63,31,22,33,5,11,4,6,5,15,21,4,7,-,55
子供の有無別学校教育終了,100.0,46.3,22.8,16.2,24.3,3.7,8.1,2.9,4.4,3.7,11.0,15.4,2.9,5.1,-,40.4
子供の有無別その他,17,4,4,2,3,1,2,1,3,1,3,2,1,1,-,8
子供の有無別その他,100.0,23.5,23.5,11.8,17.6,5.9,11.8,5.9,17.6,5.9,17.6,11.8,5.9,5.9,-,47.1
職業別自営業（計）,38,18,10,7,7,3,3,1,3,2,5,3,1,1,-,14
職業別自営業（計）,100.0,47.4,26.3,18.4,18.4,7.9,7.9,2.6,7.9,5.3,13.2,7.9,2.6,2.6,-,36.8
職業別農林漁業,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
職業別農林漁業,100.0,-,-,100.0,-,-,-,-,-,-,-,-,-,-,-,-
職業別商工・サービス業,6,-,1,-,-,-,-,-,-,-,-,-,-,-,-,5
職業別商工・サービス業,100.0,-,16.7,-,-,-,-,-,-,-,-,-,-,-,-,83.3
職業別その他自由業,31,18,9,6,7,3,3,1,3,2,5,3,1,1,-,9
職業別その他自由業,100.0,58.1,29.0,19.4,22.6,9.7,9.7,3.2,9.7,6.5,16.1,9.7,3.2,3.2,-,29.0
職業別お勤め（計）,241,138,80,53,87,10,16,8,19,5,25,41,3,10,1,73
職業別お勤め（計）,100.0,57.3,33.2,22.0,36.1,4.1,6.6,3.3,7.9,2.1,10.4,17.0,1.2,4.1,0.4,30.3
職業別経営・管理職,37,20,13,10,15,1,7,1,3,1,8,7,2,2,-,14
職業別経営・管理職,100.0,54.1,35.1,27.0,40.5,2.7,18.9,2.7,8.1,2.7,21.6,18.9,5.4,5.4,-,37.8
職業別専門職・技術職,70,41,22,16,25,2,3,2,3,1,4,15,-,3,1,21
職業別専門職・技術職,100.0,58.6,31.4,22.9,35.7,2.9,4.3,2.9,4.3,1.4,5.7,21.4,-,4.3,1.4,30.0
職業別事務職,68,47,29,18,26,4,5,3,7,2,7,11,1,3,-,11
職業別事務職,100.0,69.1,42.6,26.5,38.2,5.9,7.4,4.4,10.3,2.9,10.3,16.2,1.5,4.4,-,16.2
職業別労務職・技能職,17,12,5,2,7,-,1,1,-,-,3,4,-,1,-,2
職業別労務職・技能職,100.0,70.6,29.4,11.8,41.2,-,5.9,5.9,-,-,17.6,23.5,-,5.9,-,11.8
職業別販売・サービス職,49,18,11,7,14,3,-,1,6,1,3,4,-,1,-,25
職業別販売・サービス職,100.0,36.7,22.4,14.3,28.6,6.1,-,2.0,12.2,2.0,6.1,8.2,-,2.0,-,51.0
職業別その他（計）,123,52,25,18,24,9,5,2,6,3,11,16,4,5,-,56
職業別その他（計）,100.0,42.3,20.3,14.6,19.5,7.3,4.1,1.6,4.9,2.4,8.9,13.0,3.3,4.1,-,45.5
職業別生徒・学生,10,5,2,1,2,-,1,-,1,-,-,1,-,-,-,3
職業別生徒・学生,100.0,50.0,20.0,10.0,20.0,-,10.0,-,10.0,-,-,10.0,-,-,-,30.0
職業別専業主婦（夫）,67,29,14,14,15,7,3,1,2,2,6,9,3,2,-,33
職業別専業主婦（夫）,100.0,43.3,20.9,20.9,22.4,10.4,4.5,1.5,3.0,3.0,9.0,13.4,4.5,3.0,-,49.3
職業別その他,7,3,1,-,1,-,-,-,1,-,-,-,-,-,-,4
職業別その他,100.0,42.9,14.3,-,14.3,-,-,-,14.3,-,-,-,-,-,-,57.1
職業別無職（年金受給者含む）,39,15,8,3,6,2,1,1,2,1,5,6,1,3,-,16
職業別無職（年金受給者含む）,100.0,38.5,20.5,7.7,15.4,5.1,2.6,2.6,5.1,2.6,12.8,15.4,2.6,7.7,-,41.0
投票所までの時間別５分以内,124,51,38,22,33,3,12,3,8,4,12,10,3,3,1,54
投票所までの時間別５分以内,100.0,41.1,30.6,17.7,26.6,2.4,9.7,2.4,6.5,3.2,9.7,8.1,2.4,2.4,0.8,43.5
投票所までの時間別10分以内,220,119,59,43,71,13,8,6,11,5,22,42,3,7,-,72
投票所までの時間別10分以内,100.0,54.1,26.8,19.5,32.3,5.9,3.6,2.7,5.0,2.3,10.0,19.1,1.4,3.2,-,32.7
投票所までの時間別20分以内,53,36,18,13,14,6,4,2,9,1,6,8,2,6,-,14
投票所までの時間別20分以内,100.0,67.9,34.0,24.5,26.4,11.3,7.5,3.8,17.0,1.9,11.3,15.1,3.8,11.3,-,26.4
投票所までの時間別30分以内,4,2,-,-,-,-,-,-,-,-,1,-,-,-,-,2
投票所までの時間別30分以内,100.0,50.0,-,-,-,-,-,-,-,-,25.0,-,-,-,-,50.0
投票所までの時間別30分を超える,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
投票所までの時間別30分を超える,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0
投票所までの時間別わからない,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票所までの時間別わからない,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
地域別区部（計）,314,170,90,67,99,18,17,10,23,9,32,54,7,12,1,106
地域別区部（計）,100.0,54.1,28.7,21.3,31.5,5.7,5.4,3.2,7.3,2.9,10.2,17.2,2.2,3.8,0.3,33.8
地域別センターコア,82,53,19,15,25,4,7,-,9,3,12,12,1,3,-,25
地域別センターコア,100.0,64.6,23.2,18.3,30.5,4.9,8.5,-,11.0,3.7,14.6,14.6,1.2,3.7,-,30.5
地域別区部東部・北部エリア,83,34,24,16,28,3,6,3,5,3,9,19,3,4,1,31
地域別区部東部・北部エリア,100.0,41.0,28.9,19.3,33.7,3.6,7.2,3.6,6.0,3.6,10.8,22.9,3.6,4.8,1.2,37.3
地域別区部西部・南部エリア,149,83,47,36,46,11,4,7,9,3,11,23,3,5,-,50
地域別区部西部・南部エリア,100.0,55.7,31.5,24.2,30.9,7.4,2.7,4.7,6.0,2.0,7.4,15.4,2.0,3.4,-,33.6
地域別市郡部（計）,88,38,25,11,19,4,7,1,5,1,9,6,1,4,-,37
地域別市郡部（計）,100.0,43.2,28.4,12.5,21.6,4.5,8.0,1.1,5.7,1.1,10.2,6.8,1.1,4.5,-,42.0
地域別多摩東部エリア,29,6,6,5,5,2,1,-,1,-,1,1,-,-,-,17
地域別多摩東部エリア,100.0,20.7,20.7,17.2,17.2,6.9,3.4,-,3.4,-,3.4,3.4,-,-,-,58.6
地域別多摩中央部北エリア,19,11,7,2,5,1,4,1,1,1,3,4,1,2,-,6
地域別多摩中央部北エリア,100.0,57.9,36.8,10.5,26.3,5.3,21.1,5.3,5.3,5.3,15.8,21.1,5.3,10.5,-,31.6
地域別多摩中央部南エリア,36,18,11,3,8,1,1,-,3,-,4,1,-,2,-,13
地域別多摩中央部南エリア,100.0,50.0,30.6,8.3,22.2,2.8,2.8,-,8.3,-,11.1,2.8,-,5.6,-,36.1
地域別多摩西部エリア,4,3,1,1,1,-,1,-,-,-,1,-,-,-,-,1
地域別多摩西部エリア,100.0,75.0,25.0,25.0,25.0,-,25.0,-,-,-,25.0,-,-,-,-,25.0
選挙への関心度別関心があった（計）,346,179,104,69,106,19,23,10,23,9,37,53,8,15,1,118
選挙への関心度別関心があった（計）,100.0,51.7,30.1,19.9,30.6,5.5,6.6,2.9,6.6,2.6,10.7,15.3,2.3,4.3,0.3,34.1
選挙への関心度別関心があった,179,88,51,33,47,11,12,6,12,6,24,30,6,9,-,66
選挙への関心度別関心があった,100.0,49.2,28.5,18.4,26.3,6.1,6.7,3.4,6.7,3.4,13.4,16.8,3.4,5.0,-,36.9
選挙への関心度別やや関心があった,167,91,53,36,59,8,11,4,11,3,13,23,2,6,1,52
選挙への関心度別やや関心があった,100.0,54.5,31.7,21.6,35.3,4.8,6.6,2.4,6.6,1.8,7.8,13.8,1.2,3.6,0.6,31.1
選挙への関心度別関心がなかった（計）,22,11,5,5,5,3,-,1,2,1,2,3,-,-,-,11
選挙への関心度別関心がなかった（計）,100.0,50.0,22.7,22.7,22.7,13.6,-,4.5,9.1,4.5,9.1,13.6,-,-,-,50.0
選挙への関心度別あまり関心がなかった,14,7,3,4,4,3,-,1,1,1,1,2,-,-,-,7
選挙への関心度別あまり関心がなかった,100.0,50.0,21.4,28.6,28.6,21.4,-,7.1,7.1,7.1,7.1,14.3,-,-,-,50.0
選挙への関心度別関心がなかった,8,4,2,1,1,-,-,-,1,-,1,1,-,-,-,4
選挙への関心度別関心がなかった,100.0,50.0,25.0,12.5,12.5,-,-,-,12.5,-,12.5,12.5,-,-,-,50.0
選挙への関心度別どちらともいえない,34,18,6,4,7,-,1,-,3,-,2,4,-,1,-,14
選挙への関心度別どちらともいえない,100.0,52.9,17.6,11.8,20.6,-,2.9,-,8.8,-,5.9,11.8,-,2.9,-,41.2
選挙への関心度別わからない,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
選挙への関心度別わからない,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への意識別投票するべき（計）,365,188,108,74,110,22,22,11,26,9,39,54,8,15,1,129
投票への意識別投票するべき（計）,100.0,51.5,29.6,20.3,30.1,6.0,6.0,3.0,7.1,2.5,10.7,14.8,2.2,4.1,0.3,35.3
投票への意識別必ず投票するべき,185,97,58,39,47,8,13,6,10,5,23,31,5,7,-,63
投票への意識別必ず投票するべき,100.0,52.4,31.4,21.1,25.4,4.3,7.0,3.2,5.4,2.7,12.4,16.8,2.7,3.8,-,34.1
投票への意識別可能な限り投票するべき,180,91,50,35,63,14,9,5,16,4,16,23,3,8,1,66
投票への意識別可能な限り投票するべき,100.0,50.6,27.8,19.4,35.0,7.8,5.0,2.8,8.9,2.2,8.9,12.8,1.7,4.4,0.6,36.7
投票への意識別投票するのもしないのも自由,35,18,6,3,7,-,2,-,2,1,1,5,-,1,-,14
投票への意識別投票するのもしないのも自由,100.0,51.4,17.1,8.6,20.0,-,5.7,-,5.7,2.9,2.9,14.3,-,2.9,-,40.0
投票への意識別その他,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への意識別その他,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への意識別わからない,2,2,1,1,1,-,-,-,-,-,1,1,-,-,-,-
投票への意識別わからない,100.0,100.0,50.0,50.0,50.0,-,-,-,-,-,50.0,50.0,-,-,-,-
投票への参加状況別投票した（計）,372,189,104,71,107,22,21,11,24,9,39,55,8,13,1,135
投票への参加状況別投票した（計）,100.0,50.8,28.0,19.1,28.8,5.9,5.6,3.0,6.5,2.4,10.5,14.8,2.2,3.5,0.3,36.3
投票への参加状況別投票日に投票した,287,148,71,50,75,17,15,7,16,4,26,43,7,9,-,112
投票への参加状況別投票日に投票した,100.0,51.6,24.7,17.4,26.1,5.9,5.2,2.4,5.6,1.4,9.1,15.0,2.4,3.1,-,39.0
投票への参加状況別期日前投票（又は不在者投票等）をした,85,41,33,21,32,5,6,4,8,5,13,12,1,4,1,23
投票への参加状況別期日前投票（又は不在者投票等）をした,100.0,48.2,38.8,24.7,37.6,5.9,7.1,4.7,9.4,5.9,15.3,14.1,1.2,4.7,1.2,27.1
投票への参加状況別投票しなかった,30,19,11,7,11,-,3,-,4,1,2,5,-,3,-,8
投票への参加状況別投票しなかった,100.0,63.3,36.7,23.3,36.7,-,10.0,-,13.3,3.3,6.7,16.7,-,10.0,-,26.7
投票への参加状況別答えたくない,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別答えたくない,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
新聞の定期購読別定期購読している,276,141,74,43,68,11,16,7,12,5,27,45,7,12,1,96
新聞の定期購読別定期購読している,100.0,51.1,26.8,15.6,24.6,4.0,5.8,2.5,4.3,1.8,9.8,16.3,2.5,4.3,0.4,34.8
新聞の定期購読別定期購読していない,126,67,41,35,50,11,8,4,16,5,14,15,1,4,-,47
新聞の定期購読別定期購読していない,100.0,53.2,32.5,27.8,39.7,8.7,6.3,3.2,12.7,4.0,11.1,11.9,0.8,3.2,-,37.3
インターネットの利用有無別インターネットを利用している,299,165,102,67,105,19,19,11,25,10,32,55,8,13,1,93
インターネットの利用有無別インターネットを利用している,100.0,55.2,34.1,22.4,35.1,6.4,6.4,3.7,8.4,3.3,10.7,18.4,2.7,4.3,0.3,31.1
インターネットの利用有無別インターネットを利用していない,103,43,13,11,13,3,5,-,3,-,9,5,-,3,-,50
インターネットの利用有無別インターネットを利用していない,100,41.7,12.6,10.7,12.6,2.9,4.9,-,2.9,-,8.7,4.9,-,2.9,-,48.5
