,調査数,投票するべき（計）,必ず投票するべき,可能な限り投票するべき,投票するのもしないのも自由,その他,わからない、答えたくない,無回答
地域別多摩中央部北エリア実数,89,68,29,39,21,-,-,-
地域別多摩中央部北エリア（％）,100.0,76.4,32.6,43.8,23.6,-,-,-
地域別多摩中央部南エリア実数,267,215,101,114,47,1,4,-
地域別多摩中央部南エリア（％）,100.0,80.5,37.8,42.7,17.6,0.4,1.5,-
地域別多摩西部エリア実数,43,34,18,16,5,1,2,1
地域別多摩西部エリア（％）,100.0,79.1,41.9,37.2,11.6,2.3,4.7,2.3
選挙への関心度別関心があった（計）実数,1084,1019,577,442,65,-,-,-
選挙への関心度別関心があった（計）（％）,100.0,94.0,53.2,40.8,6.0,-,-,-
選挙への関心度別関心があった実数,642,623,431,192,19,-,-,-
選挙への関心度別関心があった（％）,100.0,97.0,67.1,29.9,3.0,-,-,-
選挙への関心度別やや関心があった実数,442,396,146,250,46,-,-,-
選挙への関心度別やや関心があった（％）,100.0,89.6,33.0,56.6,10.4,-,-,-
選挙への関心度別関心がなかった（計）実数,179,142,39,103,34,1,2,-
選挙への関心度別関心がなかった（計）（％）,100.0,79.3,21.8,57.5,19.0,0.6,1.1,-
選挙への関心度別あまり関心がなかった実数,554,319,86,233,214,10,11,-
選挙への関心度別あまり関心がなかった（％）,100.0,57.6,15.5,42.1,38.6,1.8,2.0,-
選挙への関心度別関心がなかった実数,369,254,69,185,107,5,3,-
選挙への関心度別関心がなかった（％）,100.0,68.8,18.7,50.1,29.0,1.4,0.8,-
選挙への関心度別どちらともいえない実数,185,65,17,48,107,5,8,-
選挙への関心度別どちらともいえない（％）,100.0,35.1,9.2,25.9,57.8,2.7,4.3,-
選挙への関心度別わからない実数,7,3,1,2,2,-,2,-
選挙への関心度別わからない（％）,100.0,42.9,14.3,28.6,28.6,-,28.6,-
投票への意識別投票するべき（計）実数,1484,1484,703,781,-,-,-,-
投票への意識別投票するべき（計）（％）,100.0,100.0,47.4,52.6,-,-,-,-
投票への意識別必ず投票するべき実数,703,703,703,-,-,-,-,-
投票への意識別必ず投票するべき（％）,100.0,100.0,100.0,-,-,-,-,-
投票への意識別可能な限り投票するべき実数,781,781,-,781,-,-,-,-
投票への意識別可能な限り投票するべき（％）,100.0,100.0,-,100.0,-,-,-,-
投票への意識別投票するのもしないのも自由実数,315,-,-,-,315,-,-,-
投票への意識別投票するのもしないのも自由（％）,100.0,-,-,-,100.0,-,-,-
投票への意識別その他実数,11,-,-,-,-,11,-,-
投票への意識別その他（％）,100.0,-,-,-,-,100.0,-,-
投票への意識別わからない実数,15,-,-,-,-,-,15,-
投票への意識別わからない（％）,100.0,-,-,-,-,-,100.0,-
投票への参加状況別投票した（計）実数,1246,1168,657,511,73,2,2,1
投票への参加状況別投票した（計）（％）,100.0,93.7,52.7,41.0,5.9,0.2,0.2,0.1
投票への参加状況別投票日（12月14日）に投票した実数,987,924,522,402,59,2,1,1
投票への参加状況別投票日（12月14日）に投票した（％）,100.0,93.6,52.9,40.7,6.0,0.2,0.1,0.1
投票への参加状況別期日前投票（又は不在者投票等）をした実数,259,244,135,109,14,-,1,-
投票への参加状況別期日前投票（又は不在者投票等）をした（％）,100.0,94.2,52.1,42.1,5.4,-,0.4,-
投票への参加状況別投票しなかった実数,563,306,46,260,235,9,12,1
投票への参加状況別投票しなかった（％）,100.0,54.4,8.2,46.2,41.7,1.6,2.1,0.2
投票への参加状況別答えたくない実数,18,10,-,10,7,-,1,-
投票への参加状況別答えたくない（％）,100.0,55.6,-,55.6,38.9,-,5.6,-
新聞の定期購読定期購読している実数,1142,977,507,470,154,6,4,1
新聞の定期購読定期購読している（％）,100.0,85.6,44.4,41.2,13.5,0.5,0.4,0.1
新聞の定期購読定期購読していない実数,681,504,196,308,160,5,11,1
新聞の定期購読定期購読していない（％）,100.0,74.0,28.8,45.2,23.5,0.7,1.6,0.1
インターネットの利用有無利用している実数,984,800,347,453,174,6,4,-
インターネットの利用有無利用している（％）,100.0,81.3,35.3,46.0,17.7,0.6,0.4,-
インターネットの利用有無利用していない実数,835,679,354,325,139,5,11,1
インターネットの利用有無利用していない（％）,100.0,81.3,42.4,38.9,16.6,0.6,1.3,0.1
ネット選挙の認知度別知っている実数,955,818,414,404,129,4,4,-
ネット選挙の認知度別知っている（％）,100.0,85.7,43.4,42.3,13.5,0.4,0.4,-
ネット選挙の認知度別知らなかった実数,752,569,227,342,168,7,7,1
ネット選挙の認知度別知らなかった（％）,100.0,75.7,30.2,45.5,22.3,0.9,0.9,0.1
