,調査数,候補者・政党等のホームページ・ブログ,候補者等のツイッター・フェイスブック等のＳＮＳ［LINEはＳＮＳの扱い］,候補者等からのメール,YouTubeなど動画共有サイトでの選挙関連の動画,候補者・政党以外のホームページ・ブログ,候補者・政党以外のツイッター・フェイスブック等のＳＮＳ［LINEはＳＮＳの扱い］ニュー,ニュースサイトや選挙情報サイト,まとめサイトや電子掲示板などその他のサイト,その他,触れていない、見ていない,わからない、忘れた,無回答
未・既婚別既婚（死別・離別を含む）実数,991,110,47,8,30,39,23,181,41,2,674,28,23
未・既婚別既婚（死別・離別を含む）（％）,100.0,11.1,4.7,0.8,3.0,3.9,2.3,18.3,4.1,0.2,68.0,2.8,2.3
子供の有無別子供はいない実数,392,62,37,3,28,30,23,107,47,1,214,12,6
子供の有無別子供はいない（％）,100.0,15.8,9.4,0.8,7.1,7.7,5.9,27.3,12.0,0.3,54.6,3.1,1.5
子供の有無別未就学（～６歳）実数,117,20,9,-,5,10,4,30,10,-,66,3,1
子供の有無別未就学（～６歳）（％）,100.0,17.1,7.7,-,4.3,8.5,3.4,25.6,8.5,-,56.4,2.6,0.9
子供の有無別小・中・高校生実数,195,29,19,1,6,12,10,61,15,1,106,5,1
子供の有無別小・中・高校生（％）,100.0,14.9,9.7,0.5,3.1,6.2,5.1,31.3,7.7,0.5,54.4,2.6,0.5
子供の有無別大学生・大学院生・短大生・専門学校生実数,78,9,5,1,1,1,1,18,3,-,49,3,1
子供の有無別大学生・大学院生・短大生・専門学校生（％）,100.0,11.5,6.4,1.3,1.3,1.3,1.3,23.1,3.8,-,62.8,3.8,1.3
子供の有無別学校教育終了実数,547,38,8,6,8,9,4,60,3,1,421,16,16
子供の有無別学校教育終了（％）,100.0,6.9,1.5,1.1,1.5,1.6,0.7,11.0,0.5,0.2,77.0,2.9,2.9
子供の有無別その他実数,5,-,-,-,-,-,-,-,-,-,3,2,-
子供の有無別その他（％）,100.0,-,-,-,-,-,-,-,-,-,60.0,40.0,-
職業別自営業（計）実数,108,14,14,2,3,10,8,15,7,-,67,7,5
職業別自営業（計）（％）,100.0,13.0,13.0,1.9,2.8,9.3,7.4,13.9,6.5,-,62.0,6.5,4.6
職業別農林漁業実数,2,-,-,-,-,-,-,-,-,-,1,-,1
職業別農林漁業（％）,100.0,-,-,-,-,-,-,-,-,-,50.0,-,50.0
職業別商工・サービス業実数,67,4,5,1,1,1,1,6,2,-,47,5,3
職業別商工・サービス業（％）,100.0,6.0,7.5,1.5,1.5,1.5,1.5,9.0,3.0,-,70.1,7.5,4.5
職業別その他自由業実数,39,10,9,1,2,9,7,9,5,-,19,2,1
職業別その他自由業（％）,100.0,25.6,23.1,2.6,5.1,23.1,17.9,23.1,12.8,-,48.7,5.1,2.6
職業別お勤め（計）実数,612,98,44,5,31,38,24,180,60,2,334,13,9
職業別お勤め（計）（％）,100.0,16.0,7.2,0.8,5.1,6.2,3.9,29.4,9.8,0.3,54.6,2.1,1.5
職業別経営・管理職実数,70,14,5,-,2,6,3,27,4,-,26,6,2
職業別経営・管理職（％）,100.0,20.0,7.1,-,2.9,8.6,4.3,38.6,5.7,-,37.1,8.6,2.9
職業別専門職・技術職実数,175,35,16,2,15,19,8,58,20,1,89,2,2
職業別専門職・技術職（％）,100.0,20.0,9.1,1.1,8.6,10.9,4.6,33.1,11.4,0.6,50.9,1.1,1.1
職業別事務職実数,172,27,15,2,7,9,8,55,19,1,91,2,1
職業別事務職（％）,100.0,15.7,8.7,1.2,4.1,5.2,4.7,32.0,11.0,0.6,52.9,1.2,0.6
職業別労務職・技能職実数,59,6,-,-,2,-,-,8,2,-,41,3,2
職業別労務職・技能職（％）,100.0,10.2,-,-,3.4,-,-,13.6,3.4,-,69.5,5.1,3.4
職業別販売・サービス職実数,136,16,8,1,5,4,5,32,15,-,87,-,2
職業別販売・サービス職（％）,100.0,11.8,5.9,0.7,3.7,2.9,3.7,23.5,11.0,-,64.0,-,1.5
職業別その他（計）実数,519,33,13,3,12,11,6,55,7,1,403,19,11
職業別その他（計）（％）,100.0,6.4,2.5,0.6,2.3,2.1,1.2,10.6,1.3,0.2,77.6,3.7,2.1
職業別生徒・学生実数,21,4,1,-,1,2,2,9,3,-,8,2,-
職業別生徒・学生（％）,100.0,19.0,4.8,-,4.8,9.5,9.5,42.9,14.3,-,38.1,9.5,-
職業別専業主婦（夫）実数,222,12,8,1,5,4,2,26,3,1,180,3,3
職業別専業主婦（夫）（％）,100.0,5.4,3.6,0.5,2.3,1.8,0.9,11.7,1.4,0.5,81.1,1.4,1.4
職業別その他実数,12,1,2,-,1,-,-,3,-,-,7,-,1
職業別その他（％）,100.0,8.3,16.7,-,8.3,-,-,25.0,-,-,58.3,-,8.3
職業別無職（年金受給者含む）実数,264,16,2,2,5,5,2,17,1,-,208,14,7
職業別無職（年金受給者含む）（％）,100.0,6.1,0.8,0.8,1.9,1.9,0.8,6.4,0.4,-,78.8,5.3,2.7
投票所までの時間別５分以内実数,538,72,40,4,27,28,20,115,34,2,340,21,10
投票所までの時間別５分以内（％）,100.0,13.4,7.4,0.7,5.0,5.2,3.7,21.4,6.3,0.4,63.2,3.9,1.9
投票所までの時間別10分以内実数,515,48,21,4,12,19,11,99,24,1,346,16,10
投票所までの時間別10分以内（％）,100.0,9.3,4.1,0.8,2.3,3.7,2.1,19.2,4.7,0.2,67.2,3.1,1.9
投票所までの時間別20分以内実数,163,25,10,1,6,12,7,36,15,-,98,2,4
投票所までの時間別20分以内（％）,100.0,15.3,6.1,0.6,3.7,7.4,4.3,22.1,9.2,-,60.1,1.2,2.5
投票所までの時間別30分以内実数,19,1,-,-,-,-,-,1,1,-,17,-,-
投票所までの時間別30分以内（％）,100.0,5.3,-,-,-,-,-,5.3,5.3,-,89.5,-,-
投票所までの時間別30分を超える実数,6,-,-,1,1,-,-,-,1,-,4,-,-
投票所までの時間別30分を超える（％）,100.0,-,-,16.7,16.7,-,-,-,16.7,-,66.7,-,-
投票所までの時間別わからない実数,2,-,-,-,-,-,-,-,-,-,2,-,-
投票所までの時間別わからない（％）,100.0,-,-,-,-,-,-,-,-,-,100.0,-,-
地域別区部（計）実数,826,100,56,5,34,45,28,160,48,1,544,18,24
地域別区部（計）（％）,100.0,12.1,6.8,0.6,4.1,5.4,3.4,19.4,5.8,0.1,65.9,2.2,2.9
地域別センターコア実数,207,30,17,2,10,9,10,33,13,-,141,6,3
地域別センターコア（％）,100.0,14.5,8.2,1.0,4.8,4.3,4.8,15.9,6.3,-,68.1,2.9,1.4
地域別区部東部・北部エリア実数,268,24,10,1,9,13,3,47,11,1,190,4,9
地域別区部東部・北部エリア（％）,100.0,9.0,3.7,0.4,3.4,4.9,1.1,17.5,4.1,0.4,70.9,1.5,3.4
地域別区部西部・南部エリア実数,351,46,29,2,15,23,15,80,24,-,213,8,12
地域別区部西部・南部エリア（％）,100.0,13.1,8.3,0.6,4.3,6.6,4.3,22.8,6.8,-,60.7,2.3,3.4
地域別市郡部（計）実数,420,46,15,5,12,14,10,91,27,2,265,21,1
地域別市郡部（計）（％）,100.0,11.0,3.6,1.2,2.9,3.3,2.4,21.7,6.4,0.5,63.1,5.0,0.2
地域別多摩東部エリア実数,169,19,6,3,6,8,5,42,10,1,110,2,-
地域別多摩東部エリア（％）,100.0,11.2,3.6,1.8,3.6,4.7,3.0,24.9,5.9,0.6,65.1,1.2,-
地域別多摩中央部北エリア実数,53,7,2,-,2,1,1,7,3,-,41,-,-
地域別多摩中央部北エリア（％）,100.0,13.2,3.8,-,3.8,1.9,1.9,13.2,5.7,-,77.4,-,-
地域別多摩中央部南エリア実数,171,20,6,2,4,5,4,36,13,1,95,18,1
地域別多摩中央部南エリア（％）,100.0,11.7,3.5,1.2,2.3,2.9,2.3,21.1,7.6,0.6,55.6,10.5,0.6
地域別多摩西部エリア実数,27,-,1,-,-,-,-,6,1,-,19,1,-
地域別多摩西部エリア（％）,100.0,-,3.7,-,-,-,-,22.2,3.7,-,70.4,3.7,-
選挙への関心度別関心があった（計）実数,918,125,60,6,39,53,34,196,61,2,580,29,18
選挙への関心度別関心があった（計）（％）,100.0,13.6,6.5,0.7,4.2,5.8,3.7,21.4,6.6,0.2,63.2,3.2,2.0
選挙への関心度別関心があった実数,577,89,40,4,25,35,23,124,40,1,359,19,11
選挙への関心度別関心があった（％）,100.0,15.4,6.9,0.7,4.3,6.1,4.0,21.5,6.9,0.2,62.2,3.3,1.9
選挙への関心度別やや関心があった実数,341,36,20,2,14,18,11,72,21,1,221,10,7
選挙への関心度別やや関心があった（％）,100.0,10.6,5.9,0.6,4.1,5.3,3.2,21.1,6.2,0.3,64.8,2.9,2.1
選挙への関心度別関心がなかった（計）実数,121,4,3,1,2,3,2,16,4,-,88,7,3
選挙への関心度別関心がなかった（計）（％）,100.0,3.3,2.5,0.8,1.7,2.5,1.7,13.2,3.3,-,72.7,5.8,2.5
選挙への関心度別あまり関心がなかった実数,203,17,8,3,5,3,2,39,9,-,139,3,4
選挙への関心度別あまり関心がなかった（％）,100.0,8.4,3.9,1.5,2.5,1.5,1.0,19.2,4.4,-,68.5,1.5,2.0
選挙への関心度別関心がなかった実数,169,13,6,2,4,1,1,35,8,-,115,1,4
選挙への関心度別関心がなかった（％）,100.0,7.7,3.6,1.2,2.4,0.6,0.6,20.7,4.7,-,68.0,0.6,2.4
選挙への関心度別どちらともいえない実数,34,4,2,1,1,2,1,4,1,-,24,2,-
選挙への関心度別どちらともいえない（％）,100.0,11.8,5.9,2.9,2.9,5.9,2.9,11.8,2.9,-,70.6,5.9,-
選挙への関心度別わからない実数,2,-,-,-,-,-,-,-,-,1,1,-,-
選挙への関心度別わからない（％）,100.0,-,-,-,-,-,-,-,-,50.0,50.0,-,-
投票への意識別投票するべき（計）実数,1168,144,71,10,43,56,35,244,73,3,750,36,23
投票への意識別投票するべき（計）（％）,100.0,12.3,6.1,0.9,3.7,4.8,3.0,20.9,6.3,0.3,64.2,3.1,2.0
投票への意識別必ず投票するべき実数,657,92,40,7,29,35,25,142,39,1,420,19,16
投票への意識別必ず投票するべき（％）,100.0,14.0,6.1,1.1,4.4,5.3,3.8,21.6,5.9,0.2,63.9,2.9,2.4
投票への意識別可能な限り投票するべき実数,511,52,31,3,14,21,10,102,34,2,330,17,7
投票への意識別可能な限り投票するべき（％）,100.0,10.2,6.1,0.6,2.7,4.1,2.0,20.0,6.7,0.4,64.6,3.3,1.4
投票への意識別投票するのもしないのも自由実数,73,2,-,-,3,3,3,7,2,-,54,3,2
投票への意識別投票するのもしないのも自由（％）,100.0,2.7,-,-,4.1,4.1,4.1,9.6,2.7,-,74.0,4.1,2.7
投票への意識別その他実数,2,-,-,-,-,-,-,-,-,-,2,-,-
投票への意識別その他（％）,100.0,-,-,-,-,-,-,-,-,-,100.0,-,-
投票への意識別わからない実数,2,-,-,-,-,-,-,-,-,-,2,-,-
投票への意識別わからない（％）,100.0,-,-,-,-,-,-,-,-,-,100.0,-,-
投票への参加状況別投票した（計）実数,1246,146,71,10,46,59,38,251,75,3,809,39,25
投票への参加状況別投票した（計）（％）,100.0,11.7,5.7,0.8,3.7,4.7,3.0,20.1,6.0,0.2,64.9,3.1,2.0
投票への参加状況別投票日（12月14日）に投票した実数,987,106,51,9,38,45,28,198,55,3,647,34,22
投票への参加状況別投票日（12月14日）に投票した（％）,100.0,10.7,5.2,0.9,3.9,4.6,2.8,20.1,5.6,0.3,65.6,3.4,2.2
投票への参加状況別期日前投票（又は不在者投票等）をした実数,259,40,20,1,8,14,10,53,20,-,162,5,3
投票への参加状況別期日前投票（又は不在者投票等）をした（％）,100.0,15.4,7.7,0.4,3.1,5.4,3.9,20.5,7.7,-,62.5,1.9,1.2
投票への参加状況別投票しなかった実数,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別投票しなかった（％）,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別答えたくない実数,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別答えたくない（％）,-,-,-,-,-,-,-,-,-,-,-,-,-
新聞の定期購読定期購読している実数,864,72,25,8,20,24,12,134,26,2,611,29,22
新聞の定期購読定期購読している（％）,100.0,8.3,2.9,0.9,2.3,2.8,1.4,15.5,3.0,0.2,70.7,3.4,2.5
新聞の定期購読定期購読していない実数,381,74,46,2,26,35,26,117,49,1,197,10,3
新聞の定期購読定期購読していない（％）,100.0,19.4,12.1,0.5,6.8,9.2,6.8,30.7,12.9,0.3,51.7,2.6,0.8
インターネットの利用有無利用している実数,660,136,68,5,45,58,36,229,70,2,307,16,2
インターネットの利用有無利用している（％）,100.0,20.6,10.3,0.8,6.8,8.8,5.5,34.7,10.6,0.3,46.5,2.4,0.3
インターネットの利用有無利用していない実数,581,10,3,5,1,1,2,22,5,1,498,22,23
インターネットの利用有無利用していない（％）,100.0,1.7,0.5,0.9,0.2,0.2,0.3,3.8,0.9,0.2,85.7,3.8,4.0
ネット選挙の認知度別知っている実数,734,126,67,6,44,53,34,202,59,2,413,16,6
ネット選挙の認知度別知っている（％）,100.0,17.2,9.1,0.8,6.0,7.2,4.6,27.5,8.0,0.3,56.3,2.2,0.8
ネット選挙の認知度別知らなかった実数,431,18,4,4,2,6,4,46,16,1,336,18,7
ネット選挙の認知度別知らなかった（％）,100.0,4.2,0.9,0.9,0.5,1.4,0.9,10.7,3.7,0.2,78.0,4.2,1.6
