,参議院議員選挙/調査数,参議院議員選挙/国政全体、都政全体のことを考えてくれる人だと思ったから,参議院議員選挙/自分の日常の暮らしを守ってくれる人だと思ったから,参議院議員選挙/候補者の政策や主張に賛成だから,参議院議員選挙/地元の利益を考えてくれる人だと思ったから,参議院議員選挙/自分の仕事や職業上の利益を守ってくれる人だと思ったから,参議院議員選挙/テレビや新聞などマスコミを通して知っている人だから,参議院議員選挙/人柄、経歴などから国政、都政を託すのに最適な人だと思ったから,参議院議員選挙/自分の支持する政党の推薦する人だから,参議院議員選挙/団体や組織や知人に頼まれたから,参議院議員選挙/テレビやラジオ、新聞等メディアの報道内容からふさわしい人だと思ったから,参議院議員選挙/ホームページやＳＮＳ等のインターネット上の情報を見てふさわしい人だと思ったから,参議院議員選挙/家族や友人との選挙に関する話の中で、ふさわしい人だと思ったから,参議院議員選挙/ポスターや選挙公報などを見て、ふさわしい人だと思ったから,参議院議員選挙/その他,参議院議員選挙/特に理由はない（なんとなく）,参議院議員選挙/わからない,東京都知事選挙/調査数,東京都知事選挙/国政全体、都政全体のことを考えてくれる人だと思ったから,東京都知事選挙/自分の日常の暮らしを守ってくれる人だと思ったから,東京都知事選挙/候補者の政策や主張に賛成だから,東京都知事選挙/地元の利益を考えてくれる人だと思ったから,東京都知事選挙/自分の仕事や職業上の利益を守ってくれる人だと思ったから,東京都知事選挙/テレビや新聞などマスコミを通して知っている人だから,東京都知事選挙/人柄、経歴などから国政、都政を託すのに最適な人だと思ったから,東京都知事選挙/自分の支持する政党の推薦する人だから,東京都知事選挙/団体や組織や知人に頼まれたから,東京都知事選挙/テレビやラジオ、新聞等メディアの報道内容からふさわしい人だと思ったから,東京都知事選挙/ホームページやＳＮＳ等のインターネット上の情報を見てふさわしい人だと思ったから,東京都知事選挙/家族や友人との選挙に関する話の中で、ふさわしい人だと思ったから,東京都知事選挙/ポスターや選挙公報などを見て、ふさわしい人だと思ったから,東京都知事選挙/その他,東京都知事選挙/特に理由はない（なんとなく）,東京都知事選挙/わからない
年齢別20歳代,88,40,13,31,3,2,16,13,8,1,10,5,8,6,-,7,1,95,42,15,32,3,2,30,15,4,1,12,7,8,5,2,8,1
年齢別20歳代,100.0,45.5,14.8,35.2,3.4,2.3,18.2,14.8,9.1,1.1,11.4,5.7,9.1,6.8,-,8.0,1.1,100.0,44.2,15.8,33.7,3.2,2.1,31.6,15.8,4.2,1.1,12.6,7.4,8.4,5.3,2.1,8.4,1.1
年齢別30歳代,199,127,35,67,3,1,33,49,33,9,26,11,2,27,2,8,3,210,134,39,91,6,1,74,58,12,5,38,14,5,24,3,5,2
年齢別30歳代,100.0,63.8,17.6,33.7,1.5,0.5,16.6,24.6,16.6,4.5,13.1,5.5,1.0,13.6,1.0,4.0,1.5,100.0,63.8,18.6,43.3,2.9,0.5,35.2,27.6,5.7,2.4,18.1,6.7,2.4,11.4,1.4,2.4,1.0
年齢別40歳代,327,190,64,157,14,7,55,90,66,23,65,11,11,37,1,11,1,337,202,74,187,23,7,107,100,24,13,87,14,14,38,1,6,-
年齢別40歳代,100.0,58.1,19.6,48.0,4.3,2.1,16.8,27.5,20.2,7.0,19.9,3.4,3.4,11.3,0.3,3.4,0.3,100.0,59.9,22.0,55.5,6.8,2.1,31.8,29.7,7.1,3.9,25.8,4.2,4.2,11.3,0.3,1.8,-
年齢別50歳代,260,158,65,114,6,2,47,77,64,14,42,6,9,23,2,9,2,266,177,72,129,6,2,86,86,32,3,57,8,9,23,2,5,1
年齢別50歳代,100.0,60.8,25.0,43.8,2.3,0.8,18.1,29.6,24.6,5.4,16.2,2.3,3.5,8.8,0.8,3.5,0.8,100.0,66.5,27.1,48.5,2.3,0.8,32.3,32.3,12.0,1.1,21.4,3.0,3.4,8.6,0.8,1.9,0.4
年齢別60歳代,296,189,74,121,14,11,47,76,57,16,30,1,10,14,3,8,1,305,201,82,147,15,9,87,86,28,9,41,2,12,13,3,5,1
年齢別60歳代,100.0,63.9,25.0,40.9,4.7,3.7,15.9,25.7,19.3,5.4,10.1,0.3,3.4,4.7,1.0,2.7,0.3,100.0,65.9,26.9,48.2,4.9,3.0,28.5,28.2,9.2,3.0,13.4,0.7,3.9,4.3,1.0,1.6,0.3
年齢別70歳代,185,126,50,76,7,4,28,59,39,5,18,1,3,8,2,7,1,196,131,49,89,9,4,48,65,24,4,28,2,4,7,2,6,1
年齢別70歳代,100.0,68.1,27.0,41.1,3.8,2.2,15.1,31.9,21.1,2.7,9.7,0.5,1.6,4.3,1.1,3.8,0.5,100.0,66.8,25.0,45.4,4.6,2.0,24.5,33.2,12.2,2.0,14.3,1.0,2.0,3.6,1.0,3.1,0.5
年齢別80歳以上,64,36,17,12,2,2,4,8,17,3,4,-,1,2,-,3,1,65,37,18,14,2,2,6,9,14,3,6,-,1,2,-,3,1
年齢別80歳以上,100.0,56.3,26.6,18.8,3.1,3.1,6.3,12.5,26.6,4.7,6.3,-,1.6,3.1,-,4.7,1.6,100.0,56.9,27.7,21.5,3.1,3.1,9.2,13.8,21.5,4.6,9.2,-,1.5,3.1,-,4.6,1.5
性/年齢別男性18歳,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
性/年齢別男性18歳,100.0,100.0,-,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0,100.0,-,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-
性/年齢別男性19歳,8,2,1,4,-,-,3,1,1,-,-,-,-,-,-,1,-,8,2,1,4,-,-,3,1,1,-,-,-,-,-,-,1,-
性/年齢別男性19歳,100.0,25.0,12.5,50.0,-,-,37.5,12.5,12.5,-,-,-,-,-,-,12.5,-,100.0,25.0,12.5,50.0,-,-,37.5,12.5,12.5,-,-,-,-,-,-,12.5,-
性/年齢別男性20歳代,37,16,7,13,1,1,7,5,4,1,5,2,3,1,-,3,-,42,17,8,13,1,1,11,4,2,1,7,3,5,1,2,3,-
性/年齢別男性20歳代,100.0,43.2,18.9,35.1,2.7,2.7,18.9,13.5,10.8,2.7,13.5,5.4,8.1,2.7,-,8.1,-,100.0,40.5,19.0,31.0,2.4,2.4,26.2,9.5,4.8,2.4,16.7,7.1,11.9,2.4,4.8,7.1,-
性/年齢別男性30歳代,93,60,13,34,1,-,12,31,20,-,14,9,2,12,-,3,1,100,64,12,46,4,-,27,35,9,2,22,9,3,9,1,3,1
性/年齢別男性30歳代,100.0,64.5,14.0,36.6,1.1,-,12.9,33.3,21.5,-,15.1,9.7,2.2,12.9,-,3.2,1.1,100.0,64.0,12.0,46.0,4.0,-,27.0,35.0,9.0,2.0,22.0,9.0,3.0,9.0,1.0,3.0,1.0
性/年齢別男性40歳代,141,82,38,71,7,3,26,46,30,6,31,6,6,12,-,1,-,146,89,39,79,10,2,40,47,11,2,40,8,7,13,-,1,-
性/年齢別男性40歳代,100.0,58.2,27.0,50.4,5.0,2.1,18.4,32.6,21.3,4.3,22.0,4.3,4.3,8.5,-,0.7,-,100.0,61.0,26.7,54.1,6.8,1.4,27.4,32.2,7.5,1.4,27.4,5.5,4.8,8.9,-,0.7,-
性/年齢別男性50歳代,128,75,29,56,4,1,20,39,39,6,19,4,5,13,2,4,1,130,85,31,60,2,1,38,44,16,2,26,5,5,13,2,3,1
性/年齢別男性50歳代,100.0,58.6,22.7,43.8,3.1,0.8,15.6,30.5,30.5,4.7,14.8,3.1,3.9,10.2,1.6,3.1,0.8,100.0,65.4,23.8,46.2,1.5,0.8,29.2,33.8,12.3,1.5,20.0,3.8,3.8,10.0,1.5,2.3,0.8
性/年齢別男性60歳代,142,91,37,61,6,10,25,34,28,7,17,1,4,8,2,2,-,142,96,38,69,7,8,40,36,17,2,22,2,5,6,2,1,-
性/年齢別男性60歳代,100.0,64.1,26.1,43.0,4.2,7.0,17.6,23.9,19.7,4.9,12.0,0.7,2.8,5.6,1.4,1.4,-,100.0,67.6,26.8,48.6,4.9,5.6,28.2,25.4,12.0,1.4,15.5,1.4,3.5,4.2,1.4,0.7,-
性/年齢別男性70歳代,92,62,22,35,5,2,14,27,17,2,10,1,-,4,1,3,1,95,62,23,41,4,2,20,29,13,1,13,2,-,4,1,2,1
性/年齢別男性70歳代,100.0,67.4,23.9,38.0,5.4,2.2,15.2,29.3,18.5,2.2,10.9,1.1,-,4.3,1.1,3.3,1.1,100.0,65.3,24.2,43.2,4.2,2.1,21.1,30.5,13.7,1.1,13.7,2.1,-,4.2,1.1,2.1,1.1
性/年齢別男性80歳以上,31,14,7,8,1,1,1,3,9,1,2,-,-,2,-,2,-,32,15,8,8,1,1,2,3,8,1,3,-,-,2,-,2,-
性/年齢別男性80歳以上,100.0,45.2,22.6,25.8,3.2,3.2,3.2,9.7,29.0,3.2,6.5,-,-,6.5,-,6.5,-,100.0,46.9,25.0,25.0,3.1,3.1,6.3,9.4,25.0,3.1,9.4,-,-,6.3,-,6.3,-
性/年齢別女性18歳,5,4,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,5,4,-,-,-,-,1,-,-,-,1,-,-,-,-,1,-
性/年齢別女性18歳,100.0,80.0,-,-,-,-,-,-,-,-,20.0,-,-,-,-,20.0,-,100.0,80.0,-,-,-,-,20.0,-,-,-,20.0,-,-,-,-,20.0,-
性/年齢別女性19歳,2,1,-,1,-,-,1,-,-,-,1,-,-,1,-,1,-,3,1,-,1,-,-,1,-,-,-,1,-,-,1,-,2,-
性/年齢別女性19歳,100.0,50.0,-,50.0,-,-,50.0,-,-,-,50.0,-,-,50.0,-,50.0,-,100.0,33.3,-,33.3,-,-,33.3,-,-,-,33.3,-,-,33.3,-,66.7,-
性/年齢別女性20歳代,51,24,6,18,2,1,9,8,4,-,5,3,5,5,-,4,1,53,25,7,19,2,1,19,11,2,-,5,4,3,4,-,5,1
性/年齢別女性20歳代,100.0,47.1,11.8,35.3,3.9,2.0,17.6,15.7,7.8,-,9.8,5.9,9.8,9.8,-,7.8,2.0,100.0,47.2,13.2,35.8,3.8,1.9,35.8,20.8,3.8,-,9.4,7.5,5.7,7.5,-,9.4,1.9
性/年齢別女性30歳代,106,67,22,33,2,1,21,18,13,9,12,2,-,15,2,5,2,110,70,27,45,2,1,47,23,3,3,16,5,2,15,2,2,1
性/年齢別女性30歳代,100.0,63.2,20.8,31.1,1.9,0.9,19.8,17.0,12.3,8.5,11.3,1.9,-,14.2,1.9,4.7,1.9,100.0,63.6,24.5,40.9,1.8,0.9,42.7,20.9,2.7,2.7,14.5,4.5,1.8,13.6,1.8,1.8,0.9
性/年齢別女性40歳代,186,108,26,86,7,4,29,44,36,17,34,5,5,25,1,10,1,191,113,35,108,13,5,67,53,13,11,47,6,7,25,1,5,-
性/年齢別女性40歳代,100.0,58.1,14.0,46.2,3.8,2.2,15.6,23.7,19.4,9.1,18.3,2.7,2.7,13.4,0.5,5.4,0.5,100.0,59.2,18.3,56.5,6.8,2.6,35.1,27.7,6.8,5.8,24.6,3.1,3.7,13.1,0.5,2.6,-
性/年齢別女性50歳代,132,83,36,58,2,1,27,38,25,8,23,2,4,10,-,5,1,136,92,41,69,4,1,48,42,16,1,31,3,4,10,-,2,-
性/年齢別女性50歳代,100.0,62.9,27.3,43.9,1.5,0.8,20.5,28.8,18.9,6.1,17.4,1.5,3.0,7.6,-,3.8,0.8,100.0,67.6,30.1,50.7,2.9,0.7,35.3,30.9,11.8,0.7,22.8,2.2,2.9,7.4,-,1.5,-
性/年齢別女性60歳代,154,98,37,60,8,1,22,42,29,9,13,-,6,6,1,6,1,163,105,44,78,8,1,47,50,11,7,19,-,7,7,1,4,1
性/年齢別女性60歳代,100.0,63.6,24.0,39.0,5.2,0.6,14.3,27.3,18.8,5.8,8.4,-,3.9,3.9,0.6,3.9,0.6,100.0,64.4,27.0,47.9,4.9,0.6,28.8,30.7,6.7,4.3,11.7,-,4.3,4.3,0.6,2.5,0.6
性/年齢別女性70歳代,93,64,28,41,2,2,14,32,22,3,8,-,3,4,1,4,-,101,69,26,48,5,2,28,36,11,3,15,-,4,3,1,4,-
性/年齢別女性70歳代,100.0,68.8,30.1,44.1,2.2,2.2,15.1,34.4,23.7,3.2,8.6,-,3.2,4.3,1.1,4.3,-,100.0,68.3,25.7,47.5,5.0,2.0,27.7,35.6,10.9,3.0,14.9,-,4.0,3.0,1.0,4.0,-
性/年齢別女性80歳以上,33,22,10,4,1,1,3,5,8,2,2,-,1,-,-,1,1,33,22,10,6,1,1,4,6,6,2,3,-,1,-,-,1,1
性/年齢別女性80歳以上,100.0,66.7,30.3,12.1,3.0,3.0,9.1,15.2,24.2,6.1,6.1,-,3.0,-,-,3.0,3.0,100.0,66.7,30.3,18.2,3.0,3.0,12.1,18.2,18.2,6.1,9.1,-,3.0,-,-,3.0,3.0
未・既婚別未婚,216,108,32,71,6,2,42,37,31,6,22,5,9,15,-,17,3,223,112,36,79,12,1,75,48,15,3,28,9,7,14,2,17,2
未・既婚別未婚,100.0,50.0,14.8,32.9,2.8,0.9,19.4,17.1,14.4,2.8,10.2,2.3,4.2,6.9,-,7.9,1.4,100.0,50.2,16.1,35.4,5.4,0.4,33.6,21.5,6.7,1.3,12.6,4.0,3.1,6.3,0.9,7.6,0.9
未・既婚別既婚（死別・離別を含む）,1219,766,287,513,43,27,192,336,254,65,175,30,35,103,10,39,7,1268,820,314,616,52,26,368,372,124,35,243,38,46,99,11,25,5
未・既婚別既婚（死別・離別を含む）,100.0,62.8,23.5,42.1,3.5,2.2,15.8,27.6,20.8,5.3,14.4,2.5,2.9,8.4,0.8,3.2,0.6,100.0,64.7,24.8,48.6,4.1,2.1,29.0,29.3,9.8,2.8,19.2,3.0,3.6,7.8,0.9,2.0,0.4
子供の有無別子供はいない,263,135,41,92,4,3,44,45,38,8,28,9,12,21,1,18,3,273,142,49,103,12,2,81,60,16,4,37,16,11,21,3,18,2
子供の有無別子供はいない,100.0,51.3,15.6,35.0,1.5,1.1,16.7,17.1,14.4,3.0,10.6,3.4,4.6,8.0,0.4,6.8,1.1,100.0,52.0,17.9,37.7,4.4,0.7,29.7,22.0,5.9,1.5,13.6,5.9,4.0,7.7,1.1,6.6,0.7
子供の有無別未就学（～６歳）,94,52,23,38,6,2,11,19,17,1,14,5,5,15,1,2,1,97,59,26,49,5,2,21,22,7,2,18,6,6,14,2,1,1
子供の有無別未就学（～６歳）,100.0,55.3,24.5,40.4,6.4,2.1,11.7,20.2,18.1,1.1,14.9,5.3,5.3,16.0,1.1,2.1,1.1,100.0,60.8,26.8,50.5,5.2,2.1,21.6,22.7,7.2,2.1,18.6,6.2,6.2,14.4,2.1,1.0,1.0
子供の有無別小・中・高校生,320,191,58,144,11,4,57,89,61,26,59,12,6,38,3,13,1,339,211,68,182,17,5,127,96,21,14,86,14,11,37,3,5,-
子供の有無別小・中・高校生,100.0,59.7,18.1,45.0,3.4,1.3,17.8,27.8,19.1,8.1,18.4,3.8,1.9,11.9,0.9,4.1,0.3,100.0,62.2,20.1,53.7,5.0,1.5,37.5,28.3,6.2,4.1,25.4,4.1,3.2,10.9,0.9,1.5,-
子供の有無別大学生・大学院生・短大生・専門学校生,124,66,26,65,6,2,19,28,32,10,19,1,6,11,2,5,2,125,77,61.6,68,8,4,38,33,12,3,28,1,7,10,2,4,1
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,53.2,21.0,52.4,4.8,1.6,15.3,22.6,25.8,8.1,15.3,0.8,4.8,8.9,1.6,4.0,1.6,100.0,,24.8,54.4,6.4,3.2,30.4,26.4,9.6,2.4,22.4,0.8,5.6,8.0,1.6,3.2,0.8
子供の有無別学校教育終了,649,439,166,256,20,15,107,205,146,26,86,8,18,38,5,18,3,671,460,176,304,25,15,188,218,85,15,114,9,21,36,5,11,3
子供の有無別学校教育終了,100.0,67.6,25.6,39.4,3.1,2.3,16.5,31.6,22.5,4.0,13.3,1.2,2.8,5.9,0.8,2.8,0.5,100.0,68.6,26.2,45.3,3.7,2.2,28.0,32.5,12.7,2.2,17.0,1.3,3.1,5.4,0.7,1.6,0.4
子供の有無別その他,52,23,14,22,4,4,2,4,8,4,2,1,-,1,-,4,-,55,25,15,27,1,1,4,11,6,1,5,2,-,-,-,4,-
子供の有無別その他,100.0,44.2,26.9,42.3,7.7,7.7,3.8,7.7,15.4,7.7,3.8,1.9,-,1.9,-,7.7,-,100.0,45.5,27.3,49.1,1.8,1.8,7.3,20.0,10.9,1.8,9.1,3.6,-,-,-,7.3,-
職業別自営業（計）,120,69,36,53,6,7,17,30,12,2,20,6,6,7,3,6,,125,78,40,55,9,6,28,34,6,2,28,9,7,8,3,4,一
職業別自営業（計）,100.0,57.5,30.0,44.2,5.0,5.8,14.2,25.0,10.0,1.7,16.7,5.0,5.0,5.8,2.5,5.0,,100.0,62.4,32.0,44.0,7.2,4.8,22.4,27.2,4.8,1.6,22.4,7.2,5.6,6.4,2.4,3.2,一
職業別農林漁業,1,-,1,-,1,-,-,1,-,-,-,-,-,-,-,-,-,1,-,1,-,1,-,-,1,-,-,-,-,-,-,-,-,-
職業別農林漁業,100.0,-,100.0,-,100.0,-,-,100.0,-,-,-,-,-,-,-,-,-,100.0,-,100.0,-,100.0,-,-,100.0,-,-,-,-,-,-,-,-,-
職業別商工・サービス業,36,20,11,19,4,3,4,12,5,-,5,2,1,1,1,2,-,38,23,14,17,5,3,9,11,2,1,7,3,1,1,1,1,-
職業別商工・サービス業,100.0,55.6,30.6,52.8,11.1,8.3,11.1,33.3,13.9,-,13.9,5.6,2.8,2.8,2.8,5.6,-,100.0,60.5,36.8,44.7,13.2,7.9,23.7,28.9,5.3,2.6,18.4,7.9,2.6,2.6,2.6,2.6,-
職業別その他自由業,83,49,24,34,1,4,13,17,7,2,15,4,5,6,2,4,-,86,55,25,38,3,3,19,22,4,1,21,6,6,7,2,3,-
職業別その他自由業,100.0,59.0,28.9,41.0,1.2,4.8,15.7,20.5,8.4,2.4,18.1,4.8,6.0,7.2,2.4,4.8,-,100.0,64.0,29.1,44.2,3.5,3.5,22.1,25.6,4.7,1.2,24.4,7.0,7.0,8.1,2.3,3.5,-
職業別お勤め（計）,621,367,125,260,18,8,106,159,133,29,107,25,20,73,2,17,5,646,396,135,304,27,10,191,182,59,12,139,33,24,72,4,14,4
職業別お勤め（計）,100.0,59.1,20.1,41.9,2.9,1.3,17.1,25.6,21.4,4.7,17.2,4.0,3.2,11.8,0.3,2.7,0.8,100.0,61.3,20.9,47.1,4.2,1.5,29.6,28.2,9.1,1.9,21.5,5.1,3.7,11.1,0.6,2.2,0.6
職業別経営・管理職,62,35,13,30,1,2,12,22,21,3,8,1,4,10,2,-,-,64,44,16,36,1,3,15,23,12,-,14,2,3,8,2,-,-
職業別経営・管理職,100.0,56.5,21.0,48.4,1.6,3.2,19.4,35.5,33.9,4.8,12.9,1.6,6.5,16.1,3.2,-,-,100.0,68.8,25.0,56.3,1.6,4.7,23.4,35.9,18.8,-,21.9,3.1,4.7,12.5,3.1,-,-
職業別専門職・技術職,157,87,31,66,4,1,21,45,39,3,28,9,12,16,-,5,1,158,97,34,74,4,1,38,50,21,1,38,10,11,14,-,3,-
職業別専門職・技術職,100.0,55.4,19.7,42.0,2.5,0.6,13.4,28.7,24.8,1.9,17.8,5.7,7.6,10.2,-,3.2,0.6,100.0,61.4,21.5,46.8,2.5,0.6,24.1,31.6,13.3,0.6,24.1,6.3,7.0,8.9,-,1.9,-
職業別事務職,165,101,35,64,4,2,22,24,25,7,20,8,2,18,-,5,2,181,110,38,75,9,2,49,34,6,5,30,13,6,21,1,4,2
職業別事務職,100.0,61.2,21.2,38.8,2.4,1.2,13.3,14.5,15.2,4.2,12.1,4.8,1.2,10.9,-,3.0,1.2,100.0,60.8,21.0,41.4,5.0,1.1,27.1,18.8,3.3,2.8,16.6,7.2,3.3,11.6,0.6,2.2,1.1
職業別労務職・技能職,50,34,13,23,4,2,11,20,9,2,17,2,-,7,-,1,-,51,34,13,26,4,1,16,20,4,-,17,2,1,7,-,1,-
職業別労務職・技能職,100.0,68.0,26.0,46.0,8.0,4.0,22.0,40.0,18.0,4.0,34.0,4.0,-,14.0,-,2.0,-,100.0,66.7,25.5,51.0,7.8,2.0,31.4,39.2,7.8,-,33.3,3.9,2.0,13.7,-,2.0,-
職業別販売・サービス職,187,110,33,77,5,1,40,48,39,14,34,5,2,22,-,6,2,192,111,34,93,9,3,73,55,16,6,40,6,3,22,1,6,2
職業別販売・サービス職,100.0,58.8,17.6,41.2,2.7,0.5,21.4,25.7,20.9,7.5,18.2,2.7,1.1,11.8,-,3.2,1.1,100.0,57.8,17.7,48.4,4.7,1.6,38.0,28.6,8.3,3.1,20.8,3.1,1.6,11.5,0.5,3.1,1.0
職業別その他（計）,694,438,158,271,25,14,111,184,140,40,70,4,18,38,5,33,5,720,458,175,336,28,11,224,204,74,24,104,5,22,33,6,24,3
職業別その他（計）,100.0,63.1,22.8,39.0,3.6,2.0,16.0,26.5,20.2,5.8,10.1,0.6,2.6,5.5,0.7,4.8,0.7,100.0,63.6,24.3,46.7,3.9,1.5,31.1,28.3,10.3,3.3,14.4,0.7,3.1,4.6,0.8,3.3,0.4
職業別生徒・学生,27,13,3,10,1,-,7,3,2,-,2,1,1,2,-,4,-,28,13,3,10,1,-,11,3,2,-,2,1,-,1,-,5,-
職業別生徒・学生,100.0,48.1,11.1,37.0,3.7,-,25.9,11.1,7.4,-,7.4,3.7,3.7,7.4,-,14.8,-,100.0,46.4,10.7,35.7,3.6,-,39.3,10.7,7.1,-,7.1,3.6,-,3.6,-,17.9,-
職業別専業主婦（夫）,340,214,70,142,12,7,52,99,68,28,46,3,12,25,4,16,2,354,228,85,191,13,6,118,112,31,16,66,3,16,22,4,9,-
職業別専業主婦（夫）,100.0,62.9,20.6,41.8,3.5,2.1,15.3,29.1,20.0,8.2,13.5,0.9,3.5,7.4,1.2,4.7,0.6,100.0,64.4,24.0,54.0,3.7,1.7,33.3,31.6,8.8,4.5,18.6,0.8,4.5,6.2,1.1,2.5,-
職業別その他,19,8,4,6,-,-,1,4,1,1,-,-,1,1,-,3,-,19,8,4,6,1,-,3,6,-,-,1,-,1,-,-,2,-
職業別その他,100.0,42.1,21.1,31.6,-,-,5.3,21.1,5.3,5.3,-,-,5.3,5.3,-,15.8,-,100.0,42.1,21.1,31.6,5.3,-,15.8,31.6,-,-,5.3,-,5.3,-,-,10.5,-
職業別無職（年金受給者含む）,308,203,81,113,12,7,51,78,69,11,22,-,4,10,1,10,3,319,209,83,129,13,5,92,83,41,8,35,1,5,10,2,8,3
職業別無職（年金受給者含む）,100.0,65.9,26.3,36.7,3.9,2.3,16.6,25.3,22.4,3.6,7.1,-,1.3,3.2,0.3,3.2,1.0,100.0,65.5,26.0,40.4,4.1,1.6,28.8,26.0,12.9,2.5,11.0,0.3,1.6,3.1,0.6,2.5,0.9
投票所までの時間別５分以内,359,212,68,162,8,7,41,85,58,16,61,13,14,41,2,14,3,371,236,75,177,12,5,79,95,34,9,75,16,17,40,5,10,2
投票所までの時間別５分以内,100.0,59.1,18.9,45.1,2.2,1.9,11.4,23.7,16.2,4.5,17.0,3.6,3.9,11.4,0.6,3.9,0.8,100.0,63.6,20.2,47.7,3.2,1.3,21.3,25.6,9.2,2.4,20.2,4.3,4.6,10.8,1.3,2.7,0.5
投票所までの時間別10分以内,838,522,174,343,32,18,145,248,187,47,119,17,22,68,5,33,6,876,544,192,425,41,17,296,274,83,21,166,25,29,66,5,25,4
投票所までの時間別10分以内,100.0,62.3,20.8,40.9,3.8,2.1,17.3,29.6,22.3,5.6,14.2,2.0,2.6,8.1,0.6,3.9,0.7,100.0,62.1,21.9,48.5,4.7,1.9,33.8,31.3,9.5,2.4,18.9,2.9,3.3,7.5,0.6,2.9,0.5
