,調査数,候補者等のホームページ・ブログ,候補者等のツイッター・フェイスブック等のＳＮＳ,候補者等からのメール,YouTubeなど動画共有サイトでの選挙関連の動画,候補者以外のホームページ・ブログ,候補者以外のツイッター・フェイスブック等のＳＮＳ,ニュースサイトや選挙情報サイト,まとめサイトや電子掲示板などその他のサイト,その他,わからない、忘れた
地域別区部西部・南部エリア,100.0,40.0,21.7,6.7,6.7,8.3,11.7,61.7,16.7,1.7,3.3
地域別市郡部（計）,34,15,5,-,4,5,2,24,3,-,-
地域別市郡部（計）,100.0,44.1,14.7,-,11.8,14.7,5.9,70.6,8.8,-,-
地域別多摩東部エリア,12,6,4,-,1,1,-,7,-,-,-
地域別多摩東部エリア,100.0,50.0,33.3,-,8.3,8.3,-,58.3,-,-,-
地域別多摩中央部北エリア,2,1,-,-,-,1,-,2,-,-,-
地域別多摩中央部北エリア,100.0,50.0,-,-,-,50.0,-,100.0,-,-,-
地域別多摩中央部南エリア,19,7,-,-,3,3,2,15,3,-,-
地域別多摩中央部南エリア,100.0,36.8,-,-,15.8,15.8,10.5,78.9,15.8,-,-
地域別多摩西部エリア,1,1,1,-,-,-,-,-,-,-,-
地域別多摩西部エリア,100.0,100.0,100.0,-,-,-,-,-,-,-,-
選挙への関心度別関心があった（計）,184,78,34,3,28,35,25,129,39,2,3
選挙への関心度別関心があった（計）,100.0,42.4,18.5,1.6,15.2,19.0,13.6,70.1,21.2,1.1,1.6
選挙への関心度別関心があった,115,51,22,2,16,22,17,76,27,1,1
選挙への関心度別関心があった,100.0,44.3,19.1,1.7,13.9,19.1,14.8,66.1,23.5,0.9,0.9
選挙への関心度別やや関心があった,69,27,12,1,12,13,8,53,12,1,2
選挙への関心度別やや関心があった,100.0,39.1,17.4,1.4,17.4,18.8,11.6,76.8,17.4,1.4,2.9
選挙への関心度別関心がなかった（計）,5,3,1,1,2,2,2,2,2,-,-
選挙への関心度別関心がなかった（計）,100.0,60.0,20.0,20.0,40.0,40.0,40.0,40.0,40.0,-,-
選挙への関心度別あまり関心がなかった,3,2,-,-,1,2,2,1,1,-,-
選挙への関心度別あまり関心がなかった,100.0,66.7,-,-,33.3,66.7,66.7,33.3,33.3,-,-
選挙への関心度別関心がなかった,2,1,1,1,1,-,-,1,1,-,-
選挙への関心度別関心がなかった,100.0,50.0,50.0,50.0,50.0,-,-,50.0,50.0,-,-
選挙への関心度別どちらともいえない,8,4,2,1,1,-,2,6,1,-,-
選挙への関心度別どちらともいえない,100.0,50.0,25.0,12.5,12.5,-,25.0,75.0,12.5,-,-
選挙への関心度別わからない、答えたくない,-,-,-,-,-,-,-,-,-,-,-
選挙への関心度別わからない、答えたくない,-,-,-,-,-,-,-,-,-,-,-
投票への意識別必ず投票するべき,98,42,22,2,10,17,13,66,19,1,3
投票への意識別必ず投票するべき,100.0,42.9,22.4,2.0,10.2,17.3,13.3,67.3,19.4,1.0,3.1
投票への意識別可能な限り投票するべき,84,38,12,2,16,15,12,62,21,-,-
投票への意識別可能な限り投票するべき,100.0,45.2,14.3,2.4,19.0,17.9,14.3,73.8,25.0,-,-
投票への意識別投票するのもしないのも自由,14,5,3,1,5,5,4,9,2,-,-
投票への意識別投票するのもしないのも自由,100.0,35.7,21.4,7.1,35.7,35.7,28.6,64.3,14.3,-,-
投票への意識別その他,-,-,-,-,-,-,-,-,-,-,-
投票への意識別その他,-,-,-,-,-,-,-,-,-,-,-
投票への意識別わからない,-,-,-,-,-,-,-,-,-,-,-
投票への意識別わからない,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別投票した（計）,197,85,37,5,31,37,29,137,42,2,3
投票への参加状況別投票した（計）,100.0,43.1,18.8,2.5,15.7,18.8,14.7,69.5,21.3,1.0,1.5
投票への参加状況別投票日（２月９日）に投票した,153,64,26,2,25,28,22,107,34,2,3
投票への参加状況別投票日（２月１０日）に投票した,100.0,41.8,17.0,1.3,16.3,18.3,14.4,69.9,22.2,1.3,2.0
投票への参加状況別期日前投票（又は不在者投票等）をした,44,21,11,3,6,9,7,30,8,-,-
投票への参加状況別期日前投票（又は不在者投票等）をした,100.0,47.7,25.0,6.8,13.6,20.5,15.9,68.2,18.2,-,-
投票への参加状況別投票しなかった,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別投票しなかった,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別答えたくない,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別答えたくない,-,-,-,-,-,-,-,-,-,-,-
ネット投票の認知度別知っている,175,83,35,5,29,34,27,121,40,2,2
ネット投票の認知度別知っている,100.0,47.4,20.0,2.9,16.6,19.4,15.4,69.1,22.9,1.1,1.1
ネット投票の認知度別知らなかった,22,2,2,-,2,3,2,16,2,-,1
ネット投票の認知度別知らなかった,100.0,9.1,9.1,-,9.1,13.6,9.1,72.7,9.1,-,4.5
インターネットの利用有無別インターネットを利用している,193,83,36,4,31,37,29,135,42,2,3
インターネットの利用有無別インターネットを利用している,100.0,43.0,18.7,2.1,16.1,19.2,15.0,69.9,21.8,1.0,1.6
インターネットの利用有無別インターネットを利用していない,4,2,1,1,-,-,-,2,-,-,-
インターネットの利用有無別インターネットを利用していない,100.0,50.0,25.0,25.0,-,-,-,50.0,-,-,-
新聞の定期購読別定期購読している,120,52,17,3,12,17,11,85,22,1,3
新聞の定期購読別定期購読している,100.0,43.3,14.2,2.5,10.0,14.2,9.2,70.8,18.3,0.8,2.5
新聞の定期購読別定期購読していない,77,33,20,2,19,20,18,52,20,1,-
新聞の定期購読別定期購読していない,100.0,42.9,26.0,2.6,24.7,26.0,23.4,67.5,26.0,1.3,-
