,調査数,ネット上の情報が一番参考になった,参考にしたが、その他の情報の方が役にたった,ほとんど参考にしなかった,わからない,無回答
職業別自営業（計）,100.0,10.9,17.4,42.4,23.9,5.4
職業別農林漁業,2,1,-,-,-,1
職業別農林漁業,100.0,50.0,-,-,-,50.0
職業別商工・サービス業,37,3,5,14,12,3
職業別商工・サービス業,100.0,8.1,13.5,37.8,32.4,8.1
職業別その他自由業,53,6,11,25,10,1
職業別その他自由業,100.0,11.3,20.8,47.2,18.9,1.9
職業別お勤め（計）,452,43,79,259,59,12
職業別お勤め（計）,100.0,9.5,17.5,57.3,13.1,2.7
職業別経営・管理職,69,3,9,46,10,1
職業別経営・管理職,100.0,4.3,13.0,66.7,14.5,1.4
職業別専門職・技術職,142,14,30,80,13,5
職業別専門職・技術職,100.0,9.9,21.1,56.3,9.2,3.5
職業別事務職,124,10,23,79,8,4
職業別事務職,100.0,8.1,18.5,63.7,6.5,3.2
職業別労務職・技能職,38,6,5,13,14,-
職業別労務職・技能職,100.0,15.8,13.2,34.2,36.8,-
職業別販売・サービス職,79,10,12,41,14,2
職業別販売・サービス職,100.0,12.7,15.2,51.9,17.7,2.5
職業別その他（計）,447,20,28,248,131,20
職業別その他（計）,100.0,4.5,6.3,55.5,29.3,4.5
職業別学生,11,-,2,7,2,-
職業別学生,100.0,-,18.2,63.6,18.2,-
職業別専業主婦（夫）,221,10,13,140,53,5
職業別専業主婦（夫）,100.0,4.5,5.9,63.3,24.0,2.3
職業別その他,35,3,5,13,13,1
職業別その他,100.0,8.6,14.3,37.1,37.1,2.9
職業別無職（年金受給者含む）,180,7,8,88,63,14
職業別無職（年金受給者含む）,100.0,3.9,4.4,48.9,35.0,7.8
投票所までの時間別５分以内,388,27,51,222,71,17
投票所までの時間別５分以内,100.0,7.0,13.1,57.2,18.3,4.4
投票所までの時間別10分以内,467,33,53,256,111,14
投票所までの時間別10分以内,100.0,7.1,11.3,54.8,23.8,3.0
投票所までの時間別20分以内,101,9,7,52,28,5
投票所までの時間別20分以内,100.0,8.9,6.9,51.5,27.7,5.0
投票所までの時間別30分以内,19,3,9,5,1,1
投票所までの時間別30分以内,100.0,15.8,47.4,26.3,5.3,5.3
投票所までの時間別30分を超える,19,2,3,13,1,-
投票所までの時間別30分を超える,100.0,10.5,15.8,68.4,5.3,-
地域別区部（計）,730,58,105,347,189,31
地域別区部（計）,100.0,7.9,14.4,47.5,25.9,4.2
地域別センターコア,216,21,43,95,49,8
地域別センターコア,100.0,9.7,19.9,44.0,22.7,3.7
地域別区部東部・北部エリア,200,19,20,90,67,4
地域別区部東部・北部エリア,100.0,9.5,10.0,45.0,33.5,2.0
地域別区部西部・南部エリア,314,18,42,162,73,19
地域別区部西部・南部エリア,100.0,5.7,13.4,51.6,23.2,6.1
地域別市郡部（計）,269,16,18,202,26,7
地域別市郡部（計）,100.0,5.9,6.7,75.1,9.7,2.6
地域別多摩東部エリア,89,7,5,66,11,-
地域別多摩東部エリア,100.0,7.9,5.6,74.2,12.4,-
地域別多摩中央部北エリア,40,-,2,27,9,2
地域別多摩中央部北エリア,100.0,-,5.0,67.5,22.5,5.0
地域別多摩中央部南エリア,129,8,11,101,4,5
地域別多摩中央部南エリア,100.0,6.2,8.5,78.3,3.1,3.9
地域別多摩西部エリア,11,1,-,8,2,-
地域別多摩西部エリア,100.0,9.1,-,72.7,18.2,-
選挙への関心度別関心があった（計）,853,70,114,471,171,27
選挙への関心度別関心があった（計）,100.0,8.2,13.4,55.2,20.0,3.2
選挙への関心度別関心があった,530,40,75,285,113,17
選挙への関心度別関心があった,100.0,7.5,14.2,53.8,21.3,3.2
選挙への関心度別やや関心があった,323,30,39,186,58,10
選挙への関心度別やや関心があった,100.0,9.3,12.1,57.6,18.0,3.1
選挙への関心度別関心がなかった（計）,70,1,4,45,17,3
選挙への関心度別関心がなかった（計）,100.0,1.4,5.7,64.3,24.3,4.3
選挙への関心度別あまり関心がなかった,59,-,3,40,13,3
選挙への関心度別あまり関心がなかった,100.0,-,5.1,67.8,22.0,5.1
選挙への関心度別関心がなかった,11,1,1,5,4,-
選挙への関心度別関心がなかった,100.0,9.1,9.1,45.5,36.4,-
選挙への関心度別どちらともいえない,76,3,5,33,27,8
選挙への関心度別どちらともいえない,100.0,3.9,6.6,43.4,35.5,10.5
選挙への関心度別わからない、答えたくない,-,-,-,-,-,-
選挙への関心度別わからない、答えたくない,-,-,-,-,-,-
投票への意識別必ず投票するべき,541,28,70,308,118,17
投票への意識別必ず投票するべき,100.0,5.2,12.9,56.9,21.8,3.1
投票への意識別可能な限り投票するべき,396,35,49,216,83,13
投票への意識別可能な限り投票するべき,100.0,8.8,12.4,54.5,21.0,3.3
投票への意識別投票するのもしないのも自由,56,10,4,23,13,6
投票への意識別投票するのもしないのも自由,100.0,17.9,7.1,41.1,23.2,10.7
投票への意識別その他,-,-,-,-,-,-
投票への意識別その他,-,-,-,-,-,-
投票への意識別わからない,3,-,-,-,1,2
投票への意識別わからない,100.0,-,-,-,33.3,66.7
投票への参加状況別投票した（計）,999,74,123,549,215,38
投票への参加状況別投票した（計）,100.0,7.4,12.3,55.0,21.5,3.8
投票への参加状況別投票日（２月９日）に投票した,827,52,101,464,178,32
投票への参加状況別投票日（２月１０日）に投票した,100.0,6.3,12.2,56.1,21.5,3.9
投票への参加状況別期日前投票（又は不在者投票等）をした,172,22,22,85,37,6
投票への参加状況別期日前投票（又は不在者投票等）をした,100.0,12.8,12.8,49.4,21.5,3.5
投票への参加状況別投票しなかった,-,-,-,-,-,-
投票への参加状況別投票しなかった,-,-,-,-,-,-
投票への参加状況別答えたくない,-,-,-,-,-,-
投票への参加状況別答えたくない,-,-,-,-,-,-
ネット投票の認知度別知っている,733,71,104,407,136,15
ネット投票の認知度別知っている,100.0,9.7,14.2,55.5,18.6,2.0
ネット投票の認知度別知らなかった,242,3,19,133,73,14
ネット投票の認知度別知らなかった,100.0,1.2,7.9,55.0,30.2,5.8
インターネットの利用有無別インターネットを利用している,543,73,120,312,30,8
インターネットの利用有無別インターネットを利用している,100.0,13.4,22.1,57.5,5.5,1.5
インターネットの利用有無別インターネットを利用していない,454,1,3,237,184,29
インターネットの利用有無別インターネットを利用していない,100.0,0.2,0.7,52.2,40.5,6.4
新聞の定期購読別定期購読している,741,35,85,423,172,26
新聞の定期購読別定期購読している,100.0,4.7,11.5,57.1,23.2,3.5
新聞の定期購読別定期購読していない,254,39,38,124,42,11
新聞の定期購読別定期購読していない,100.0,15.4,15.0,48.8,16.5,4.3
