,ア）投票日前に投票できる制度（期日前投票）があること／調査数,ア）投票日前に投票できる制度（期日前投票）があること／知っている,ア）投票日前に投票できる制度（期日前投票）があること／知らなかった,イ）仕事や買い物、旅行などを理由として期日投票ができること／調査数,イ）仕事や買い物、旅行などを理由として期日投票ができること／知っている,イ）仕事や買い物、旅行などを理由として期日投票ができること／知らなかった,ウ）印鑑や身分証明書などを持参しなくても、期日前投票ができること／調査数,ウ）印鑑や身分証明書などを持参しなくても、期日前投票ができること／知っている,ウ）印鑑や身分証明書などを持参しなくても、期日前投票ができること／知らなかった,エ）期日前投票は、公示日（告示日）※の翌日から投票日の前日（土日含む）までの間できること（今回の参議院議員選挙の場合は17日間）／調査数,エ）期日前投票は、公示日（告示日）※の翌日から投票日の前日（土日含む）までの間できること（今回の参議院議員選挙の場合は17日間）／知っている,エ）期日前投票は、公示日（告示日）※の翌日から投票日の前日（土日含む）までの間できること（今回の参議院議員選挙の場合は17日間）知らなかった,オ）期日前投票は夜の８時までできること／調査数,オ）期日前投票は夜の８時までできること／知っている,オ）期日前投票は夜の８時までできること／知らなかった,カ）期日前投票ができる場所が東京都の特設ＨＰに掲載されていること／調査数,カ）期日前投票ができる場所が東京都の特設ＨＰに掲載されていること／知っている,カ）期日前投票ができる場所が東京都の特設ＨＰに掲載されていること／知らなかった
年齢別70歳代,231,204,27,204,198,6,204,151,53,204,140,64,204,135,69,204,27,177
年齢別70歳代,100.0,88.3,11.7,100.0,97.1,2.9,100.0,74.0,26.0,100.0,68.6,31.4,100.0,66.2,33.8,100.0,13.2,86.8
年齢別80歳以上,98,84,14,84,69,15,84,50,34,84,50,34,84,45,39,84,3,81
年齢別80歳以上,100.0,85.7,14.3,100.0,82.1,17.9,100.0,59.5,40.5,100.0,59.5,40.5,100.0,53.6,46.4,100.0,3.6,96.4
性/年齢別男性18歳,1,1,-,1,1,-,1,-,1,1,-,1,1,1,-,1,1,-
性/年齢別男性18歳,100.0,100.0,-,100.0,100.0,-,100.0,-,100.0,100.0,-,100.0,100.0,100.0,-,100.0,100.0,-
性/年齢別男性19歳,12,10,2,10,10,-,10,6,4,10,5,5,10,5,5,10,2,8
性/年齢別男性19歳,100.0,83.3,16.7,100.0,100.0,-,100.0,60.0,40.0,100.0,50.0,50.0,100.0,50.0,50.0,100.0,20.0,80.0
性/年齢別男性20歳代,83,73,10,73,59,14,73,46,27,73,38,35,73,39,34,73,15,58
性/年齢別男性20歳代,100.0,88.0,12.0,100.0,80.8,19.2,100.0,63.0,37.0,100.0,52.1,47.9,100.0,53.4,46.6,100.0,20.5,79.5
性/年齢別男性30歳代,122,119,3,119,112,7,119,86,33,119,86,33,119,85,34,119,39,80
性/年齢別男性30歳代,100.0,97.5,2.5,100.0,94.1,5.9,100.0,72.3,27.7,100.0,72.3,27.7,100.0,71.4,28.6,100.0,32.8,67.2
性/年齢別男性40歳代,170,165,5,165,155,10,165,123,42,165,129,36,165,121,44,165,46,119
性/年齢別男性40歳代,100.0,97.1,2.9,100.0,93.9,6.1,100.0,74.5,25.5,100.0,78.2,21.8,100.0,73.3,26.7,100.0,27.9,72.1
性/年齢別男性50歳代,152,149,3,149,141,8,149,114,35,149,117,32,149,110,39,149,38,111
性/年齢別男性50歳代,100.0,98.0,2.0,100.0,94.6,5.4,100.0,76.5,23.5,100.0,78.5,21.5,100.0,73.8,26.2,100.0,25.5,74.5
性/年齢別男性60歳代,157,149,8,149,143,6,149,113,36,149,111,38,149,109,40,149,26,123
性/年齢別男性60歳代,100.0,94.9,5.1,100.0,96.0,4.0,100.0,75.8,24.2,100.0,74.5,25.5,100.0,73.2,26.8,100.0,17.4,82.6
性/年齢別男性70歳代,107,98,9,98,97,1,98,69,29,98,73,25,98,67,31,98,15,83
性/年齢別男性70歳代,100.0,91.6,8.4,100.0,99.0,1.0,100.0,70.4,29.6,100.0,74.5,25.5,100.0,68.4,31.6,100.0,15.3,84.7
性/年齢別男性80歳以上,48,42,6,42,34,8,42,26,16,42,25,17,42,21,21,42,1,41
性/年齢別男性80歳以上,100.0,87.5,12.5,100.0,81.0,19.0,100.0,61.9,38.1,100.0,59.5,40.5,100.0,50.0,50.0,100.0,2.4,97.6
性/年齢別女性18歳,6,5,1,5,3,2,5,1,4,5,1,4,5,2,3,5,1,4
性/年齢別女性18歳,100.0,83.3,16.7,100.0,60.0,40.0,100.0,20.0,80.0,100.0,20.0,80.0,100.0,40.0,60.0,100.0,20.0,80.0
性/年齢別女性19歳,8,7,1,7,5,2,7,2,5,7,1,6,7,3,4,7,1,6
性/年齢別女性19歳,100.0,87.5,12.5,100.0,71.4,28.6,100.0,28.6,71.4,100.0,14.3,85.7,100.0,42.9,57.1,100.0,14.3,85.7
性/年齢別女性20歳代,81,70,11,70,65,5,70,47,23,70,41,29,70,39,31,70,17,53
性/年齢別女性20歳代,100.0,86.4,13.6,100.0,92.9,7.1,100.0,67.1,32.9,100.0,58.6,41.4,100.0,55.7,44.3,100.0,24.3,75.7
性/年齢別女性30歳代,135,126,9,126,111,15,126,87,39,126,76,50,126,73,53,126,19,107
性/年齢別女性30歳代,100.0,93.3,6.7,100.0,88.1,11.9,100.0,69.0,31.0,100.0,60.3,39.7,100.0,57.9,42.1,100.0,15.1,84.9
性/年齢別女性40歳代,228,217,11,217,192,25,217,145,72,217,142,75,217,161,56,217,32,185
性/年齢別女性40歳代,100.0,95.2,4.8,100.0,88.5,11.5,100.0,66.8,33.2,100.0,65.4,34.6,100.0,74.2,25.8,100.0,14.7,85.3
性/年齢別女性50歳代,159,156,3,156,140,16,156,109,47,156,113,43,156,119,37,156,29,127
性/年齢別女性50歳代,100.0,98.1,1.9,100.0,89.7,10.3,100.0,69.9,30.1,100.0,72.4,27.6,100.0,76.3,23.7,100.0,18.6,81.4
性/年齢別女性60歳代,180,164,16,164,160,4,164,130,34,164,128,36,164,116,48,164,23,141
性/年齢別女性60歳代,100.0,91.1,8.9,100.0,97.6,2.4,100.0,79.3,20.7,100.0,78.0,22.0,100.0,70.7,29.3,100.0,14.0,86.0
性/年齢別女性70歳代,124,106,18,106,101,5,106,82,24,106,67,39,106,68,38,106,12,94
性/年齢別女性70歳代,100.0,85.5,14.5,100.0,95.3,4.7,100.0,77.4,22.6,100.0,63.2,36.8,100.0,64.2,35.8,100.0,11.3,88.7
性/年齢別女性80歳以上,50,42,8,42,35,7,42,24,18,42,25,17,42,24,18,42,2,40
性/年齢別女性80歳以上,100.0,84.0,16.0,100.0,83.3,16.7,100.0,57.1,42.9,100.0,59.5,40.5,100.0,57.1,42.9,100.0,4.8,95.2
未・既婚別未婚,344,310,34,310,276,34,310,204,106,310,187,123,310,185,125,310,71,239
未・既婚別未婚,100.0,90.1,9.9,100.0,89.0,11.0,100.0,65.8,34.2,100.0,60.3,39.7,100.0,59.7,40.3,100.0,22.9,77.1
未・既婚別既婚（死別・離別を含む）,1479,1389,90,1389,1288,101,1389,1006,383,1389,991,398,1389,978,411,1389,248,1141
未・既婚別既婚（死別・離別を含む）,100.0,93.9,6.1,100.0,92.7,7.3,100.0,72.4,27.6,100.0,71.3,28.7,100.0,70.4,29.6,100.0,17.9,82.1
子供の有無別子供はいない,404,367,37,367,328,39,367,245,122,367,238,129,367,225,142,367,90,277
子供の有無別子供はいない,100.0,90.8,9.2,100.0,89.4,10.6,100.0,66.8,33.2,100.0,64.9,35.1,100.0,61.3,38.7,100.0,24.5,75.5
子供の有無別未就学（～６歳）,114,112,2,112,103,9,112,79,33,112,72,40,112,74,38,112,20,92
子供の有無別未就学（～６歳）,100.0,98.2,1.8,100.0,92.0,8.0,100.0,70.5,29.5,100.0,64.3,35.7,100.0,66.1,33.9,100.0,17.9,82.1
子供の有無別小・中・高校生,394,380,14,380,343,37,380,262,118,380,260,120,380,270,110,380,77,303
子供の有無別小・中・高校生,100.0,96.4,3.6,100.0,90.3,9.7,100.0,68.9,31.1,100.0,68.4,31.6,100.0,71.1,28.9,100.0,20.3,79.7
子供の有無別大学生・大学院生・短大生・専門学校生,144,136,8,136,121,15,136,97,39,136,98,38,136,102,34,136,31,105
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,94.4,5.6,100.0,89.0,11.0,100.0,71.3,28.7,100.0,72.1,27.9,100.0,75.0,25.0,100.0,22.8,77.2
子供の有無別学校教育終了,791,725,66,725,687,38,725,553,172,725,520,205,725,516,209,725,116,609
子供の有無別学校教育終了,100.0,91.7,8.3,100.0,94.8,5.2,100.0,76.3,23.7,100.0,71.7,28.3,100.0,71.2,28.8,100.0,16.0,84.0
子供の有無別その他,60,60,-,60,55,5,60,31,29,60,49,11,60,32,28,60,7,53
子供の有無別その他,100.0,100.0,-,100.0,91.7,8.3,100.0,51.7,48.3,100.0,81.7,18.3,100.0,53.3,46.7,100.0,11.7,88.3
職業別自営業（計）,133,125,8,125,121,4,125,98,27,125,104,21,125,96,29,125,32,93
職業別自営業（計）,100.0,94.0,6.0,100.0,96.8,3.2,100.0,78.4,21.6,100.0,83.2,16.8,100.0,76.8,23.2,100.0,25.6,74.4
職業別農林漁業,1,1,-,1,1,-,1,-,1,1,1,-,1,1,-,1,1,-
職業別農林漁業,100.0,100.0,-,100.0,100.0,-,100.0,-,100.0,100.0,100.0,-,100.0,100.0,-,100.0,100.0,-
職業別商工・サービス業,42,38,4,38,35,3,38,28,10,38,28,10,38,30,8,38,6,32
職業別商工・サービス業,100.0,90.5,9.5,100.0,92.1,7.9,100.0,73.7,26.3,100.0,73.7,26.3,100.0,78.9,21.1,100.0,15.8,84.2
職業別その他自由業,90,86,4,86,85,1,86,70,16,86,75,11,86,65,21,86,25,61
職業別その他自由業,100.0,95.6,4.4,100.0,98.8,1.2,100.0,81.4,18.6,100.0,87.2,12.8,100.0,75.6,24.4,100.0,29.1,70.9
職業別お勤め（計）,821,776,45,776,711,65,776,558,218,776,553,223,776,533,243,776,188,588
職業別お勤め（計）,100.0,94.5,5.5,100.0,91.6,8.4,100.0,71.9,28.1,100.0,71.3,28.7,100.0,68.7,31.3,100.0,24.2,75.8
職業別経営・管理職,74,71,3,71,67,4,71,55,16,71,61,10,71,55,16,71,27,44
職業別経営・管理職,100.0,95.9,4.1,100.0,94.4,5.6,100.0,77.5,22.5,100.0,85.9,14.1,100.0,77.5,22.5,100.0,38.0,62.0
職業別専門職・技術職,196,193,3,193,183,10,193,142,51,193,142,51,193,137,56,193,57,136
職業別専門職・技術職,100.0,98.5,1.5,100.0,94.8,5.2,100.0,73.6,26.4,100.0,73.6,26.4,100.0,71.0,29.0,100.0,29.5,70.5
職業別事務職,221,214,7,214,196,18,214,160,54,214,153,61,214,140,74,214,52,162
職業別事務職,100.0,96.8,3.2,100.0,91.6,8.4,100.0,74.8,25.2,100.0,71.5,28.5,100.0,65.4,34.6,100.0,24.3,75.7
職業別労務職・技能職,61,59,2,59,53,6,59,38,21,59,40,19,59,40,19,59,8,51
職業別労務職・技能職,100.0,96.7,3.3,100.0,89.8,10.2,100.0,64.4,35.6,100.0,67.8,32.2,100.0,67.8,32.2,100.0,13.6,86.4
職業別販売・サービス職,269,239,30,239,212,27,239,163,76,239,157,82,239,161,78,239,44,195
職業別販売・サービス職,100.0,88.8,11.2,100.0,88.7,11.3,100.0,68.2,31.8,100.0,65.7,34.3,100.0,67.4,32.6,100.0,18.4,81.6
職業別その他（計）,869,798,71,798,732,66,798,554,244,798,521,277,798,534,264,798,99,699
職業別その他（計）,100.0,91.8,8.2,100.0,91.7,8.3,100.0,69.4,30.6,100.0,65.3,34.7,100.0,66.9,33.1,100.0,12.4,87.6
職業別生徒・学生,47,41,6,41,34,7,41,23,18,41,18,23,41,22,19,41,8,33
職業別生徒・学生,100.0,87.2,12.8,100.0,82.9,17.1,100.0,56.1,43.9,100.0,43.9,56.1,100.0,53.7,46.3,100.0,19.5,80.5
職業別専業主婦（夫）,395,375,20,375,341,34,375,267,108,375,249,126,375,270,105,375,52,323
職業別専業主婦（夫）,100.0,94.9,5.1,100.0,90.9,9.1,100.0,71.2,28.8,100.0,66.4,33.6,100.0,72.0,28.0,100.0,13.9,86.1
職業別その他,25,25,-,25,22,3,25,14,11,25,21,4,25,15,10,25,7,18
職業別その他,100.0,100.0,-,100.0,88.0,12.0,100.0,56.0,44.0,100.0,84.0,16.0,100.0,60.0,40.0,100.0,28.0,72.0
職業別無職（年金受給者含む）,402,357,45,357,335,22,357,250,107,357,233,124,357,227,130,357,32,325
職業別無職（年金受給者含む）,100.0,88.8,11.2,100.0,93.8,6.2,100.0,70.0,30.0,100.0,65.3,34.7,100.0,63.6,36.4,100.0,9.0,91.0
投票所までの時間別５分以内,433,398,35,398,365,33,398,270,128,398,286,112,398,274,124,398,84,314
投票所までの時間別５分以内,100.0,91.9,8.1,100.0,91.7,8.3,100.0,67.8,32.2,100.0,71.9,28.1,100.0,68.8,31.2,100.0,21.1,78.9
投票所までの時間別10分以内,1067,999,68,999,917,82,999,701,298,999,669,330,999,663,336,999,180,819
投票所までの時間別10分以内,100.0,93.6,6.4,100.0,91.8,8.2,100.0,70.2,29.8,100.0,67.0,33.0,100.0,66.4,33.6,100.0,18.0,82.0
投票所までの時間別20分以内,288,273,15,273,260,13,273,222,51,273,206,67,273,212,61,273,51,222
投票所までの時間別20分以内,100.0,94.8,5.2,100.0,95.2,4.8,100.0,81.3,18.7,100.0,75.5,24.5,100.0,77.7,22.3,100.0,18.7,81.3
投票所までの時間別30分以内,21,18,3,18,14,4,18,11,7,18,13,5,18,10,8,18,3,15
投票所までの時間別30分以内,100.0,85.7,14.3,100.0,77.8,22.2,100.0,61.1,38.9,100.0,72.2,27.8,100.0,55.6,44.4,100.0,16.7,83.3
投票所までの時間別30分を超える,3,3,-,3,3,-,3,3,-,3,3,-,3,2,1,3,1,2
投票所までの時間別30分を超える,100.0,100.0,-,100.0,100.0,-,100.0,100.0,-,100.0,100.0,-,100.0,66.7,33.3,100.0,33.3,66.7
投票所までの時間別わからない,11,8,3,8,5,3,8,3,5,8,1,7,8,2,6,8,-,8
投票所までの時間別わからない,100.0,72.7,27.3,100.0,62.5,37.5,100.0,37.5,62.5,100.0,12.5,87.5,100.0,25.0,75.0,100.0,-,100.0
地域別区部（計）,1381,1269,112,1269,1164,105,1269,891,378,1269,859,410,1269,845,424,1269,248,1021
地域別区部（計）,100.0,91.9,8.1,100.0,91.7,8.3,100.0,70.2,29.8,100.0,67.7,32.3,100.0,66.6,33.4,100.0,19.5,80.5
地域別センターコア,388,357,31,357,318,39,357,226,131,357,243,114,357,248,109,357,64,293
地域別センターコア,100.0,92.0,8.0,100.0,89.1,10.9,100.0,63.3,36.7,100.0,68.1,31.9,100.0,69.5,30.5,100.0,17.9,82.1
地域別区部東部・北部エリア,398,376,22,376,352,24,376,271,105,376,238,138,376,239,137,376,58,318
地域別区部東部・北部エリア,100.0,94.5,5.5,100.0,93.6,6.4,100.0,72.1,27.9,100.0,63.3,36.7,100.0,63.6,36.4,100.0,15.4,84.6
地域別区部西部・南部エリア,595,536,59,536,494,42,536,394,142,536,378,158,536,358,178,536,126,410
地域別区部西部・南部エリア,100.0,90.1,9.9,100.0,92.2,7.8,100.0,73.5,26.5,100.0,70.5,29.5,100.0,66.8,33.2,100.0,23.5,76.5
地域別市郡部（計）,442,430,12,430,400,30,430,319,111,430,319,111,430,318,112,430,71,359
地域別市郡部（計）,100.0,97.3,2.7,100.0,93.0,7.0,100.0,74.2,25.8,100.0,74.2,25.8,100.0,74.0,26.0,100.0,16.5,83.5
地域別多摩東部エリア,132,124,8,124,112,12,124,82,42,124,87,37,124,82,42,124,30,94
地域別多摩東部エリア,100.0,93.9,6.1,100.0,90.3,9.7,100.0,66.1,33.9,100.0,70.2,29.8,100.0,66.1,33.9,100.0,24.2,75.8
地域別多摩中央部北エリア,70,69,1,69,65,4,69,46,23,69,52,17,69,51,18,69,11,58
地域別多摩中央部北エリア,100.0,98.6,1.4,100.0,94.2,5.8,100.0,66.7,33.3,100.0,75.4,24.6,100.0,73.9,26.1,100.0,15.9,84.1
地域別多摩中央部南エリア,201,198,3,198,186,12,198,160,38,198,162,36,198,155,43,198,23,175
地域別多摩中央部南エリア,100.0,98.5,1.5,100.0,93.9,6.1,100.0,80.8,19.2,100.0,81.8,18.2,100.0,78.3,21.7,100.0,11.6,88.4
地域別多摩西部エリア,39,39,-,39,37,2,39,31,8,39,18,21,39,30,9,39,7,32
地域別多摩西部エリア,100.0,100.0,-,100.0,94.9,5.1,100.0,79.5,20.5,100.0,46.2,53.8,100.0,76.9,23.1,100.0,17.9,82.1
選挙への関心度別関心があった（計）,1283,1250,33,1250,1199,51,1250,987,263,1250,966,284,1250,924,326,1250,270,980
選挙への関心度別関心があった（計）,100.0,97.4,2.6,100.0,95.9,4.1,100.0,79.0,21.0,100.0,77.3,22.7,100.0,73.9,26.1,100.0,21.6,78.4
選挙への関心度別関心があった,633,618,15,618,595,23,618,512,106,618,504,114,618,481,137,618,162,456
選挙への関心度別関心があった,100.0,97.6,2.4,100.0,96.3,3.7,100.0,82.8,17.2,100.0,81.6,18.4,100.0,77.8,22.2,100.0,26.2,73.8
選挙への関心度別やや関心があった,650,632,18,632,604,28,632,475,157,632,462,170,632,443,189,632,108,524
選挙への関心度別やや関心があった,100.0,97.2,2.8,100.0,95.6,4.4,100.0,75.2,24.8,100.0,73.1,26.9,100.0,70.1,29.9,100.0,17.1,82.9
選挙への関心度別関心がなかった（計）,227,177,50,177,143,34,177,88,89,177,78,99,177,89,88,177,18,159
選挙への関心度別関心がなかった（計）,100.0,78.0,22.0,100.0,80.8,19.2,100.0,49.7,50.3,100.0,44.1,55.9,100.0,50.3,49.7,100.0,10.2,89.8
選挙への関心度別あまり関心がなかった,125,111,14,111,94,17,111,60,51,111,53,58,111,60,51,111,9,102
選挙への関心度別あまり関心がなかった,100.0,88.8,11.2,100.0,84.7,15.3,100.0,54.1,45.9,100.0,47.7,52.3,100.0,54.1,45.9,100.0,8.1,91.9
選挙への関心度別関心がなかった,102,66,36,66,49,17,66,28,38,66,25,41,66,29,37,66,9,57
選挙への関心度別関心がなかった,100.0,64.7,35.3,100.0,74.2,25.8,100.0,42.4,57.6,100.0,37.9,62.1,100.0,43.9,56.1,100.0,13.6,86.4
選挙への関心度別どちらともいえない,298,266,32,266,218,48,266,133,133,266,133,133,266,147,119,266,31,235
選挙への関心度別どちらともいえない,100.0,89.3,10.7,100.0,82.0,18.0,100.0,50.0,50.0,100.0,50.0,50.0,100.0,55.3,44.7,100.0,11.7,88.3
選挙への関心度別わからない,15,6,9,6,4,2,6,2,4,6,1,5,6,3,3,6,-,6
選挙への関心度別わからない,100.0,40.0,60.0,100.0,66.7,33.3,100.0,33.3,66.7,100.0,16.7,83.3,100.0,50.0,50.0,100.0,-,100.0
投票への意識別投票するべき（計）,1434,1398,36,1398,1332,66,1398,1074,324,1398,1060,338,1398,1017,381,1398,290,1108
投票への意識別投票するべき（計）,100.0,97.5,2.5,100.0,95.3,4.7,100.0,76.8,23.2,100.0,75.8,24.2,100.0,72.7,27.3,100.0,20.7,79.3
投票への意識別必ず投票するべき,596,587,9,587,571,16,587,482,105,587,459,128,587,459,128,587,142,445
投票への意識別必ず投票するべき,100.0,98.5,1.5,100.0,97.3,2.7,100.0,82.1,17.9,100.0,78.2,21.8,100.0,78.2,21.8,100.0,24.2,75.8
投票への意識別可能な限り投票するべき,838,811,27,811,761,50,811,592,219,811,601,210,811,558,253,811,148,663
投票への意識別可能な限り投票するべき,100.0,96.8,3.2,100.0,93.8,6.2,100.0,73.0,27.0,100.0,74.1,25.9,100.0,68.8,31.2,100.0,18.2,81.8
投票への意識別投票するのもしないのも自由,344,273,71,273,212,61,273,121,152,273,112,161,273,135,138,273,28,245
投票への意識別投票するのもしないのも自由,100.0,79.4,20.6,100.0,77.7,22.3,100.0,44.3,55.7,100.0,41.0,59.0,100.0,49.5,50.5,100.0,10.3,89.7
投票への意識別その他,1,1,-,1,1,-,1,1,-,1,-,1,1,1,-,1,-,1
投票への意識別その他,100.0,100.0,-,100.0,100.0,-,100.0,100.0,-,100.0,-,100.0,100.0,100.0,-,100.0,-,100.0
投票への意識別わからない,44,27,17,27,19,8,27,14,13,27,6,21,27,10,17,27,1,26
投票への意識別わからない,100.0,61.4,38.6,100.0,70.4,29.6,100.0,51.9,48.1,100.0,22.2,77.8,100.0,37.0,63.0,100.0,3.7,96.3
投票への参加状況別投票した（計）,1435,1400,35,1400,1334,66,1400,1091,309,1400,1062,338,1400,1040,360,1400,289,1111
投票への参加状況別投票した（計）,100.0,97.6,2.4,100.0,95.3,4.7,100.0,77.9,22.1,100.0,75.9,24.1,100.0,74.3,25.7,100.0,20.6,79.4
投票への参加状況別投票日に投票した,1226,1197,29,1197,1136,61,1197,902,295,1197,889,308,1197,865,332,1197,216,981
投票への参加状況別投票日に投票した,100.0,97.6,2.4,100.0,94.9,5.1,100.0,75.4,24.6,100.0,74.3,25.7,100.0,72.3,27.7,100.0,18.0,82.0
投票への参加状況別期日前投票（又は不在者投票等）をした,209,203,6,203,198,5,203,189,14,203,173,30,203,175,28,203,73,130
投票への参加状況別期日前投票（又は不在者投票等）をした,100.0,97.1,2.9,100.0,97.5,2.5,100.0,93.1,6.9,100.0,85.2,14.8,100.0,86.2,13.8,100.0,36.0,64.0
投票への参加状況別投票しなかった,377,292,85,292,225,67,292,117,175,292,115,177,292,122,170,292,30,262
投票への参加状況別投票しなかった,100.0,77.5,22.5,100.0,77.1,22.9,100.0,40.1,59.9,100.0,39.4,60.6,100.0,41.8,58.2,100.0,10.3,89.7
投票への参加状況別答えたくない,11,7,4,7,5,2,7,2,5,7,1,6,7,1,6,7,-,7
投票への参加状況別答えたくない,100.0,63.6,36.4,100.0,71.4,28.6,100.0,28.6,71.4,100.0,14.3,85.7,100.0,14.3,85.7,100.0,-,100.0
新聞の定期購読別定期購読している,1240,1181,59,1181,1113,68,1181,902,279,1181,897,284,1181,855,326,1181,221,960
新聞の定期購読別定期購読している,100.0,95.2,4.8,100.0,94.2,5.8,100.0,76.4,23.6,100.0,76.0,24.0,100.0,72.4,27.6,100.0,18.7,81.3
新聞の定期購読別定期購読していない,583,518,65,518,451,67,518,308,210,518,281,237,518,308,210,518,98,420
新聞の定期購読別定期購読していない,100.0,88.9,11.1,100.0,87.1,12.9,100.0,59.5,40.5,100.0,54.2,45.8,100.0,59.5,40.5,100.0,18.9,81.1
インターネットの利用有無別インターネットを利用している,1055,1015,40,1015,922,93,1015,717,298,1015,687,328,1015,690,325,1015,226,789
インターネットの利用有無別インターネットを利用している,100.0,96.2,3.8,100.0,90.8,9.2,100.0,70.6,29.4,100.0,67.7,32.3,100.0,68.0,32.0,100.0,22.3,77.7
インターネットの利用有無別インターネットを利用していない,768,684,84,684,642,42,684,493,191,684,491,193,684,473,211,684,93,591
インターネットの利用有無別インターネットを利用していない,100.0,89.1,10.9,100.0,93.9,6.1,100.0,72.1,27.9,100.0,71.8,28.2,100.0,69.2,30.8,100.0,13.6,86.4
