,参議院議員選挙／調査数,参議院議員選挙／読んだ（計）,参議院議員選挙／よく読んだ,参議院議員選挙／一通りざっと読んだ,参議院議員選挙／一部分だけ読んだ,参議院議員選挙／読まなかった,東京都知事選挙／調査数,東京都知事選挙／読んだ（計）,東京都知事選挙／よく読んだ,東京都知事選挙／一通りざっと読んだ,東京都知事選挙／一部分だけ読んだ,東京都知事選挙／読まなかった
性/年齢別男性30歳代,100.0,89.5,19.7,47.4,22.4,10.5,100.0,91.3,23.8,43.8,23.8,8.8
性/年齢別男性40歳代,121,118,27,74,17,3,122,119,32,72,15,3
性/年齢別男性40歳代,100.0,97.5,22.3,61.2,14.0,2.5,100.0,97.5,26.2,59.0,12.3,2.5
性/年齢別男性50歳代,114,110,37,62,11,4,116,112,40,61,11,4
性/年齢別男性50歳代,100.0,96.5,32.5,54.4,9.6,3.5,100.0,96.6,34.5,52.6,9.5,3.4
性/年齢別男性60歳代,114,110,35,60,15,4,114,110,39,56,15,4
性/年齢別男性60歳代,100.0,96.5,30.7,52.6,13.2,3.5,100.0,96.5,34.2,49.1,13.2,3.5
性/年齢別男性70歳代,84,80,25,47,8,4,83,80,27,47,6,3
性/年齢別男性70歳代,100.0,95.2,29.8,56.0,9.5,4.8,100.0,96.4,32.5,56.6,7.2,3.6
性/年齢別男性80歳以上,30,29,11,15,3,1,30,29,11,15,3,1
性/年齢別男性80歳以上,100.0,96.7,36.7,50.0,10.0,3.3,100.0,96.7,36.7,50.0,10.0,3.3
性/年齢別女性18歳,2,2,1,1,-,-,2,2,1,1,-,-
性/年齢別女性18歳,100.0,100.0,50.0,50.0,-,-,100.0,100.0,50.0,50.0,-,-
性/年齢別女性19歳,1,1,-,1,-,-,1,1,-,1,-,-
性/年齢別女性19歳,100.0,100.0,-,100.0,-,-,100.0,100.0,-,100.0,-,-
性/年齢別女性20歳代,33,30,2,19,9,3,35,32,3,20,9,3
性/年齢別女性20歳代,100.0,90.9,6.1,57.6,27.3,9.1,100.0,91.4,8.6,57.1,25.7,8.6
性/年齢別女性30歳代,75,62,10,36,16,13,79,67,13,39,15,12
性/年齢別女性30歳代,100.0,82.7,13.3,48.0,21.3,17.3,100.0,84.8,16.5,49.4,19.0,15.2
性/年齢別女性40歳代,153,135,27,88,20,18,157,143,35,93,15,14
性/年齢別女性40歳代,100.0,88.2,17.6,57.5,13.1,11.8,100.0,91.1,22.3,59.2,9.6,8.9
性/年齢別女性50歳代,116,114,22,73,19,2,117,116,27,70,19,1
性/年齢別女性50歳代,100.0,98.3,19.0,62.9,16.4,1.7,100.0,99.1,23.1,59.8,16.2,0.9
性/年齢別女性60歳代,137,133,26,90,17,4,140,138,31,94,13,2
性/年齢別女性60歳代,100.0,97.1,19.0,65.7,12.4,2.9,100.0,98.6,22.1,67.1,9.3,1.4
性/年齢別女性70歳代,92,82,23,53,6,10,95,87,27,53,7,8
性/年齢別女性70歳代,100.0,89.1,25.0,57.6,6.5,10.9,100.0,91.6,28.4,55.8,7.4,8.4
性/年齢別女性80歳以上,28,27,9,14,4,1,29,29,9,16,4,-
性/年齢別女性80歳以上,100.0,96.4,32.1,50.0,14.3,3.6,100.0,100.0,31.0,55.2,13.8,-
未・既婚別未婚,141,124,23,73,28,17,146,130,27,74,29,16
未・既婚別未婚,100.0,87.9,16.3,51.8,19.9,12.1,100.0,89.0,18.5,50.7,19.9,11.0
未・既婚別既婚（死別・離別を含む）,1067,1001,248,613,140,66,1086,1032,288,616,128,54
未・既婚別既婚（死別・離別を含む）,100.0,93.8,23.2,57.5,13.1,6.2,100.0,95.0,26.5,56.7,11.8,5.0
子供の有無別子供はいない,187,166,34,94,38,21,196,176,42,96,38,20
子供の有無別子供はいない,100.0,88.8,18.2,50.3,20.3,11.2,100.0,89.8,21.4,49.0,19.4,10.2
子供の有無別未就学（～６歳）,75,67,11,39,17,8,76,69,15,37,17,7
子供の有無別未就学（～６歳）,100.0,89.3,14.7,52.0,22.7,10.7,100.0,90.8,19.7,48.7,22.4,9.2
子供の有無別小・中・高校生,273,252,52,160,40,21,275,258,63,161,34,17
子供の有無別小・中・高校生,100.0,92.3,19.0,58.6,14.7,7.7,100.0,93.8,22.9,58.5,12.4,6.2
子供の有無別大学生・大学院生・短大生・専門学校生,113,107,25,64,18,6,114,109,28,65,16,5
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,94.7,22.1,56.6,15.9,5.3,100.0,95.6,24.6,57.0,14.0,4.4
子供の有無別学校教育終了,575,547,151,334,62,28,586,566,170,338,58,20
子供の有無別学校教育終了,100.0,95.1,26.3,58.1,10.8,4.9,100.0,96.6,29.0,57.7,9.9,3.4
子供の有無別その他,44,41,11,25,5,3,44,41,12,24,5,3
子供の有無別その他,100.0,93.2,25.0,56.8,11.4,6.8,100.0,93.2,27.3,54.5,11.4,6.8
職業別自営業（計）,98,95,27,55,13,3,98,95,30,54,11,3
職業別自営業（計）,100.0,96.9,27.6,56.1,13.3,3.1,100.0,96.9,30.6,55.1,11.2,3.1
職業別農林漁業,1,1,-,1,-,-,1,1,-,1,-,-
職業別農林漁業,100.0,100.0,-,100.0,-,-,100.0,100.0,-,100.0,-,-
職業別商工・サービス業,28,28,8,18,2,-,27,27,9,17,1,-
職業別商工・サービス業,100.0,100.0,28.6,64.3,7.1,-,100.0,100.0,33.3,63.0,3.7,-
職業別その他自由業,69,66,19,36,11,3,70,67,21,36,10,3
職業別その他自由業,100.0,95.7,27.5,52.2,15.9,4.3,100.0,95.7,30.0,51.4,14.3,4.3
職業別お勤め（計）,507,469,108,277,84,38,523,490,133,274,83,33
職業別お勤め（計）,100.0,92.5,21.3,54.6,16.6,7.5,103.2,93.7,26.2,54.0,16.4,6.5
職業別経営・管理職,57,54,19,28,7,3,58,55,22,25,8,3
職業別経営・管理職,100.0,94.7,33.3,49.1,12.3,5.3,100.0,94.8,37.9,43.1,13.8,5.2
職業別専門職・技術職,139,134,33,81,20,5,140,136,39,79,18,4
職業別専門職・技術職,100.0,96.4,23.7,58.3,14.4,3.6,100.0,97.1,27.9,56.4,12.9,2.9
職業別事務職,131,124,23,78,23,7,143,137,30,83,24,6
職業別事務職,100.0,94.7,17.6,59.5,17.6,5.3,100.0,95.8,21.0,58.0,16.8,4.2
職業別労務職・技能職,41,36,12,20,4,5,41,37,12,21,4,4
職業別労務職・技能職,100.0,87.8,29.3,48.8,9.8,12.2,100.0,90.2,29.3,51.2,9.8,9.8
職業別販売・サービス職,139,121,21,70,30,18,141,125,30,66,29,16
職業別販売・サービス職,100.0,87.1,15.1,50.4,21.6,12.9,100.0,88.7,21.3,46.8,20.6,11.3
職業別その他（計）,603,561,136,354,71,42,611,577,152,362,63,34
職業別その他（計）,100.0,93.0,22.6,58.7,11.8,7.0,101.3,94.4,25.2,60.0,10.4,5.6
職業別生徒・学生,17,16,2,11,3,1,17,16,2,11,3,1
職業別生徒・学生,100.0,94.1,11.8,64.7,17.6,5.9,100.0,94.1,11.8,64.7,17.6,5.9
職業別専業主婦（夫）,288,265,56,171,38,23,296,277,65,178,34,19
職業別専業主婦（夫）,100.0,92.0,19.4,59.4,13.2,8.0,100.0,93.6,22.0,60.1,11.5,6.4
職業別その他,18,18,4,9,5,-,17,17,4,9,4,-
職業別その他,100.0,100.0,22.2,50.0,27.8,-,100.0,100.0,23.5,52.9,23.5,-
職業別無職（年金受給者含む）,280,262,74,163,25,18,281,267,81,164,22,14
職業別無職（年金受給者含む）,100.0,93.6,26.4,58.2,8.9,6.4,100.0,95.0,28.8,58.4,7.8,5.0
投票所までの時間別５分以内,310,294,78,178,38,16,316,304,93,173,38,12
投票所までの時間別５分以内,100.0,94.8,25.2,57.4,12.3,5.2,100.0,96.2,29.4,54.7,12.0,3.8
投票所までの時間別10分以内,700,651,156,388,107,49,716,674,183,396,95,42
投票所までの時間別10分以内,100.0,93.0,22.3,55.4,15.3,7.0,100.0,94.1,25.6,55.3,13.3,5.9
投票所までの時間別20分以内,183,167,34,112,21,16,184,170,36,112,22,14
投票所までの時間別20分以内,100.0,91.3,18.6,61.2,11.5,8.7,100.0,92.4,19.6,60.9,12.0,7.6
投票所までの時間別30分以内,10,9,2,5,2,1,11,10,2,6,2,1
投票所までの時間別30分以内,100.0,90.0,20.0,50.0,20.0,10.0,100.0,90.9,18.2,54.5,18.2,9.1
投票所までの時間別30分を超える,3,3,1,2,-,-,3,3,1,2,-,-
投票所までの時間別30分を超える,100.0,100.0,33.3,66.7,-,-,100.0,100.0,33.3,66.7,-,-
投票所までの時間別わからない,2,1,-,1,-,1,2,1,-,1,-,1
投票所までの時間別わからない,100.0,50.0,-,50.0,-,50.0,100.0,50.0,-,50.0,-,50.0
地域別区部（計）,881,815,209,479,127,66,902,848,253,479,116,54
地域別区部（計）,100.0,92.5,23.7,54.4,14.4,7.5,100.0,94.0,28.0,53.1,12.9,6.0
地域別センターコア,253,238,55,150,33,15,259,245,66,149,30,14
地域別センターコア,100.0,94.1,21.7,59.3,13.0,5.9,100.0,94.6,25.5,57.5,11.6,5.4
地域別区部東部・北部エリア,246,224,66,119,39,22,254,239,82,126,31,15
地域別区部東部・北部エリア,100.0,91.1,26.8,48.4,15.9,8.9,100.0,94.1,32.3,49.6,12.2,5.9
地域別区部西部・南部エリア,382,353,88,210,55,29,389,364,105,204,55,25
地域別区部西部・南部エリア,100.0,92.4,23.0,55.0,14.4,7.6,100.0,93.6,27.0,52.4,14.1,6.4
地域別市郡部（計）,327,310,62,207,41,17,330,314,62,211,41,16
地域別市郡部（計）,100.0,94.8,19.0,63.3,12.5,5.2,100.0,95.2,18.8,63.9,12.4,4.8
地域別多摩東部エリア,102,93,25,53,15,9,105,95,25,54,16,10
地域別多摩東部エリア,100.0,91.2,24.5,52.0,14.7,8.8,100.0,90.5,23.8,51.4,15.2,9.5
地域別多摩中央部北エリア,42,40,6,31,3,2,43,42,6,33,3,1
地域別多摩中央部北エリア,100.0,95.2,14.3,73.8,7.1,4.8,100.0,97.7,14.0,76.7,7.0,2.3
地域別多摩中央部南エリア,162,160,27,112,21,2,161,159,27,112,20,2
地域別多摩中央部南エリア,100.0,98.8,16.7,69.1,13.0,1.2,100.0,98.8,16.8,69.6,12.4,1.2
地域別多摩西部エリア,21,17,4,11,2,4,21,18,4,12,2,3
地域別多摩西部エリア,100.0,81.0,19.0,52.4,9.5,19.0,100.0,85.7,19.0,57.1,9.5,14.3
選挙への関心度別関心があった（計）,1017,984,266,605,113,33,1102,1067,311,633,123,35
選挙への関心度別関心があった（計）,100.0,96.8,26.2,59.5,11.1,3.2,100.0,96.8,28.2,57.4,11.2,3.2
選挙への関心度別関心があった,534,526,198,281,47,8,633,621,250,322,49,12
選挙への関心度別関心があった,100.0,98.5,37.1,52.6,8.8,1.5,100.0,98.1,39.5,50.9,7.7,1.9
選挙への関心度別やや関心があった,483,458,68,324,66,25,469,446,61,311,74,23
選挙への関心度別やや関心があった,100.0,94.8,14.1,67.1,13.7,5.2,100.0,95.1,13.0,66.3,15.8,4.9
選挙への関心度別関心がなかった（計）,58,35,1,19,15,23,41,22,2,12,8,19
選挙への関心度別関心がなかった（計）,100.0,60.3,1.7,32.8,25.9,39.7,100.0,53.7,4.9,29.3,19.5,46.3
選挙への関心度別あまり関心がなかった,38,26,1,13,12,12,25,16,1,9,6,9
選挙への関心度別あまり関心がなかった,100.0,68.4,2.6,34.2,31.6,31.6,100.0,64.0,4.0,36.0,24.0,36.0
選挙への関心度別関心がなかった,20,9,-,6,3,11,16,6,1,3,2,10
選挙への関心度別関心がなかった,100.0,45.0,-,30.0,15.0,55.0,100.0,37.5,6.3,18.8,12.5,62.5
選挙への関心度別どちらともいえない,132,105,4,61,40,27,88,72,2,44,26,16
選挙への関心度別どちらともいえない,100.0,79.5,3.0,46.2,30.3,20.5,100.0,81.8,2.3,50.0,29.5,18.2
選挙への関心度別わからない,1,1,-,1,-,-,1,1,-,1,-,-
選挙への関心度別わからない,100.0,100.0,-,100.0,-,-,100.0,100.0,-,100.0,-,-
投票への意識別投票するべき（計）,1081,1040,266,639,135,41,1102,1070,306,643,121,32
投票への意識別投票するべき（計）,100.0,96.2,24.6,59.1,12.5,3.8,100.0,97.1,27.8,58.3,11.0,2.9
投票への意識別必ず投票するべき,488,480,192,247,41,8,509,502,220,247,35,7
投票への意識別必ず投票するべき,100.0,98.4,39.3,50.6,8.4,1.6,100.0,98.6,43.2,48.5,6.9,1.4
投票への意識別可能な限り投票するべき,593,560,74,392,94,33,593,568,86,396,86,25
投票への意識別可能な限り投票するべき,100.0,94.4,12.5,66.1,15.9,5.6,100.0,95.8,14.5,66.8,14.5,4.2
投票への意識別投票するのもしないのも自由,118,83,5,45,33,35,120,88,9,43,36,32
投票への意識別投票するのもしないのも自由,100.0,70.3,4.2,38.1,28.0,29.7,100.0,73.3,7.5,35.8,30.0,26.7
投票への意識別その他,1,-,-,-,-,1,1,-,-,-,-,1
投票への意識別その他,100.0,-,-,-,-,100.0,100.0,-,-,-,-,100
投票への意識別わからない,8,2,-,2,-,6,9,4,-,4,-,5
投票への意識別わからない,100.0,25.0,-,25.0,-,75.0,100.0,44.4,-,44.4,-,55.6
投票への参加状況別投票した（計）,1079,1036,263,640,133,43,1125,1088,311,649,128,37
投票への参加状況別投票した（計）,100.0,96.0,24.4,59.3,12.3,4.0,100.0,96.7,27.6,57.7,11.4,3.3
投票への参加状況別投票日に投票した,918,880,225,538,117,38,939,910,258,543,109,29
投票への参加状況別投票日に投票した,100.0,95.9,24.5,58.6,12.7,4.1,100.0,96.9,27.5,57.8,11.6,3.1
投票への参加状況別期日前投票（又は不在者投票等）をした,161,156,38,102,16,5,186,178,53,106,19,8
投票への参加状況別期日前投票（又は不在者投票等）をした,100.0,96.9,23.6,63.4,9.9,3.1,100.0,95.7,28.5,57.0,10.2,4.3
投票への参加状況別投票しなかった,128,88,8,45,35,40,106,73,4,40,29,33
投票への参加状況別投票しなかった,100.0,68.8,6.3,35.2,27.3,31.3,100.0,68.9,3.8,37.7,27.4,31.1
投票への参加状況別答えたくない,1,1,-,1,-,-,1,1,-,1,-,-
投票への参加状況別答えたくない,100.0,100.0,-,100.0,-,-,100.0,100.0,-,100.0,-,-
新聞の定期購読別定期購読している,958,918,226,567,125,40,974,940,259,571,110,34
新聞の定期購読別定期購読している,100.0,95.8,23.6,59.2,13.0,4.2,100.0,96.5,26.6,58.6,11.3,3.5
新聞の定期購読別定期購読していない,250,207,45,119,43,43,258,222,56,119,47,36
新聞の定期購読別定期購読していない,100.0,82.8,18.0,47.6,17.2,17.2,100.0,86.0,21.7,46.1,18.2,14.0
インターネットの利用有無別インターネットを利用している,680,628,131,396,101,52,696,650,161,398,91,46
インターネットの利用有無別インターネットを利用している,100.0,92.4,19.3,58.2,14.9,7.6,100.0,93.4,23.1,57.2,13.1,6.6
インターネットの利用有無別インターネットを利用していない,528,497,140,290,67,31,536,512,154,292,66,24
インターネットの利用有無別インターネットを利用していない,100.0,94.1,26.5,54.9,12.7,5.9,100.0,95.5,28.7,54.5,12.3,4.5
