,参議院議員選挙/調査数,参議院議員選挙/当選させたい候補者がいたから,参議院議員選挙/自分の支持する政党の推す候補者を当選させたかったから,参議院議員選挙/国政、都政をよくするためには、投票することが大切だと思ったから,参議院議員選挙/今の政治がよくないので、変えたいと思ったから,参議院議員選挙/自分の関係する団体、組織、知り合いの人に投票を頼まれたから,参議院議員選挙/投票することは、義務であるから,参議院議員選挙/投票することは、権利であるから,参議院議員選挙/当選させたくない候補者がいたから,参議院議員選挙/友人や家族が行くから、なんとなく,参議院議員選挙/投票率が気になったから,参議院議員選挙/テレビ・ラジオ・新聞などメディアの報道を見て興味を持ったから,参議院議員選挙/インターネット上の情報を見て興味を持ったから,参議院議員選挙/その他,参議院議員選挙/わからない,東京都知事選挙/調査数,東京都知事選挙/当選させたい候補者がいたから,東京都知事選挙/自分の支持する政党の推す候補者を当選させたかったから,東京都知事選挙/国政、都政をよくするためには、投票することが大切だと思ったから,東京都知事選挙/今の政治がよくないので、変えたいと思ったから,東京都知事選挙/自分の関係する団体、組織、知り合いの人に投票を頼まれたから,東京都知事選挙/投票することは、義務であるから,東京都知事選挙/投票することは、権利であるから,東京都知事選挙/当選させたくない候補者がいたから,東京都知事選挙/友人や家族が行くから、なんとなく,東京都知事選挙/投票率が気になったから,東京都知事選挙/テレビ・ラジオ・新聞などメディアの報道を見て興味を持ったから,東京都知事選挙/インターネット上の情報を見て興味を持ったから,東京都知事選挙/その他,東京都知事選挙/わからない
年齢別20歳代,88,24,22,42,17,1,22,21,5,6,4,5,-,-,6,95,36,13,40,17,-,20,19,7,8,4,12,3,1,5
年齢別20歳代,100.0,27.3,25.0,47.7,19.3,1.1,25.0,23.9,5.7,6.8,4.5,5.7,-,-,6.8,100.0,37.9,13.7,42.1,17.9,-,21.1,20.0,7.4,8.4,4.2,12.6,3.2,1.1,5.3
年齢別30歳代,199,66,59,107,53,10,37,52,8,8,10,12,4,-,1,210,101,34,112,60,5,38,53,8,11,12,27,6,-,1
年齢別30歳代,100.0,33.2,29.6,53.8,26.6,5.0,18.6,26.1,4.0,4.0,5.0,6.0,2.0,-,0.5,100.0,48.1,16.2,53.3,28.6,2.4,18.1,25.2,3.8,5.2,5.7,12.9,2.9,-,0.5
年齢別40歳代,327,100,104,174,99,24,85,83,14,10,9,23,8,-,1,337,164,52,181,114,15,84,86,13,9,12,41,10,-,-
年齢別40歳代,100.0,30.6,31.8,53.2,30.3,7.3,26.0,25.4,4.3,3.1,2.8,7.0,2.4,-,0.3,100.0,48.7,15.4,53.7,33.8,4.5,24.9,25.5,3.9,2.7,3.6,12.2,3.0,-,-
年齢別50歳代,260,97,97,141,68,13,76,77,5,4,7,22,5,-,1,266,143,51,148,75,5,76,76,6,4,8,34,6,-,-
年齢別50歳代,100.0,37.3,37.3,54.2,26.2,5.0,29.2,29.6,1.9,1.5,2.7,8.5,1.9,-,0.4,100.0,53.8,19.2,55.6,28.2,1.9,28.6,28.6,2.3,1.5,3.0,12.8,2.3,-,-
年齢別60歳代,296,126,111,166,88,18,102,81,9,2,5,15,5,-,1,305,175,67,171,87,12,101,81,12,2,5,29,4,-,1
年齢別60歳代,100.0,42.6,37.5,56.1,29.7,6.1,34.5,27.4,3.0,0.7,1.7,5.1,1.7,-,0.3,100.0,57.4,22.0,56.1,28.5,3.9,33.1,26.6,3.9,0.7,1.6,9.5,1.3,-,0.3
年齢別70歳代,185,87,80,90,53,9,65,48,9,2,5,8,2,2,3,196,118,51,95,61,6,64,51,10,4,6,11,3,2,1
年齢別70歳代,100.0,47.0,43.2,48.6,28.6,4.9,35.1,25.9,4.9,1.1,2.7,4.3,1.1,1.1,1.6,100.0,60.2,26.0,48.5,31.1,3.1,32.7,26.0,5.1,2.0,3.1,5.6,1.5,1.0,0.5
年齢別80歳以上,64,22,27,25,6,5,21,10,1,2,-,-,-,-,1,65,25,25,25,6,5,22,11,1,2,-,-,-,-,1
年齢別80歳以上,100.0,34.4,42.2,39.1,9.4,7.8,32.8,15.6,1.6,3.1,-,-,-,-,1.6,100.0,38.5,38.5,38.5,9.2,7.7,33.8,16.9,1.5,3.1,-,-,-,-,1.5
性/年齢別男性18歳,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-
性/年齢別男性18歳,100.0,-,-,100.0,100.0,-,-,-,-,-,-,-,-,-,-,100.0,-,-,100.0,100.0,-,-,-,-,-,-,-,-,-,-
性/年齢別男性19歳,8,1,1,4,-,-,-,2,-,2,-,2,-,-,-,8,2,-,4,-,-,-,2,-,2,-,2,-,-,-
性/年齢別男性19歳,100.0,12.5,12.5,50.0,-,-,-,25.0,-,25.0,-,25.0,-,-,-,100.0,25.0,-,50.0,-,-,-,25.0,-,25.0,-,25.0,-,-,-
性/年齢別男性20歳代,37,7,9,18,6,1,11,8,1,4,1,2,-,-,2,42,11,6,18,6,-,10,8,2,5,1,9,2,1,1
性/年齢別男性20歳代,100.0,18.9,24.3,48.6,16.2,2.7,29.7,21.6,2.7,10.8,2.7,5.4,-,-,5.4,100.0,26.2,14.3,42.9,14.3,-,23.8,19.0,4.8,11.9,2.4,21.4,4.8,2.4,2.4
性/年齢別男性30歳代,93,33,29,56,26,-,18,33,5,2,6,7,3,-,-,100,49,17,57,29,1,18,33,5,4,7,15,4,-,-
性/年齢別男性30歳代,100.0,35.5,31.2,60.2,28.0,-,19.4,35.5,5.4,2.2,6.5,7.5,3.2,-,-,100.0,49.0,17.0,57.0,29.0,1.0,18.0,33.0,5.0,4.0,7.0,15.0,4.0,-,-
性/年齢別男性40歳代,141,56,48,70,47,7,38,39,7,2,5,10,5,-,-,146,73,26,73,50,4,39,41,6,3,7,16,6,-,-
性/年齢別男性40歳代,100.0,39.7,34.0,49.6,33.3,5.0,27.0,27.7,5.0,1.4,3.5,7.1,3.5,-,-,100.0,50.0,17.8,50.0,34.2,2.7,26.7,28.1,4.1,2.1,4.8,11.0,4.1,-,-
性/年齢別男性50歳代,128,51,52,67,31,5,42,47,2,2,5,11,2,-,-,130,75,27,69,34,2,42,47,3,2,5,16,2,-,-
性/年齢別男性50歳代,100.0,39.8,40.6,52.3,24.2,3.9,32.8,36.7,1.6,1.6,3.9,8.6,1.6,-,-,100.0,57.7,20.8,53.1,26.2,1.5,32.3,36.2,2.3,1.5,3.8,12.3,1.5,-,-
性/年齢別男性60歳代,142,68,57,78,44,8,54,39,2,1,4,6,2,-,-,142,83,38,79,40,3,52,37,5,1,3,9,2,-,-
性/年齢別男性60歳代,100.0,47.9,40.1,54.9,31.0,5.6,38.0,27.5,1.4,0.7,2.8,4.2,1.4,-,-,100.0,58.5,26.8,55.6,28.2,2.1,36.6,26.1,3.5,0.7,2.1,6.3,1.4,-,-
性/年齢別男性70歳代,92,45,37,41,31,5,32,19,6,-,3,3,1,1,2,95,57,25,44,34,2,31,21,7,-,4,3,2,1,1
性/年齢別男性70歳代,100.0,48.9,40.2,44.6,33.7,5.4,34.8,20.7,6.5,-,3.3,3.3,1.1,1.1,2.2,100.0,60.0,26.3,46.3,35.8,2.1,32.6,22.1,7.4,-,4.2,3.2,2.1,1.1,1.1
性/年齢別男性80歳以上,31,7,14,12,2,2,9,6,-,-,-,-,-,-,-,32,8,14,12,2,2,10,7,-,-,-,-,-,-,-
性/年齢別男性80歳以上,100.0,22.6,45.2,38.7,6.5,6.5,29.0,19.4,-,-,-,-,-,-,-,100.0,25.0,43.8,37.5,6.3,6.3,31.3,21.9,-,-,-,-,-,-,-
性/年齢別女性18歳,5,1,-,3,1,-,1,3,-,-,-,-,-,-,-,5,2,-,3,1,-,1,3,-,-,-,1,-,-,-
性/年齢別女性18歳,100.0,20.0,-,60.0,20.0,-,20.0,60.0,-,-,-,-,-,-,-,100.0,40.0,-,60.0,20.0,-,20.0,60.0,-,-,-,20.0,-,-,-
性/年齢別女性19歳,2,-,-,1,1,-,-,1,-,-,-,-,-,-,-,3,-,-,1,1,-,-,1,-,1,-,1,1,-,-
性/年齢別女性19歳,100.0,-,-,50.0,50.0,-,-,50.0,-,-,-,-,-,-,-,100.0,-,-,33.3,33.3,-,-,33.3,-,33.3,-,33.3,33.3,-,-
性/年齢別女性20歳代,51,17,13,24,11,-,11,13,4,2,3,3,-,-,4,53,25,7,22,11,-,10,11,5,3,3,3,1,-,4
性/年齢別女性20歳代,100.0,33.3,25.5,47.1,21.6,-,21.6,25.5,7.8,3.9,5.9,5.9,-,-,7.8,100.0,47.2,13.2,41.5,20.8,-,18.9,20.8,9.4,5.7,5.7,5.7,1.9,-,7.5
性/年齢別女性30歳代,106,33,30,51,27,10,19,19,3,6,4,5,1,-,1,110,52,17,55,31,4,20,20,3,7,5,12,2,-,1
性/年齢別女性30歳代,100.0,31.1,28.3,48.1,25.5,9.4,17.9,17.9,2.8,5.7,3.8,4.7,0.9,-,0.9,100.0,47.3,15.5,50.0,28.2,3.6,18.2,18.2,2.7,6.4,4.5,10.9,1.8,-,0.9
性/年齢別女性40歳代,186,44,56,104,52,17,47,44,7,8,4,13,3,-,1,191,91,26,108,64,11,45,45,7,6,5,25,4,-,-
性/年齢別女性40歳代,100.0,23.7,30.1,55.9,28.0,9.1,25.3,23.7,3.8,4.3,2.2,7.0,1.6,-,0.5,100.0,47.6,13.6,56.5,33.5,5.8,23.6,23.6,3.7,3.1,2.6,13.1,2.1,-,-
性/年齢別女性50歳代,132,46,45,74,37,8,34,30,3,2,2,11,3,-,1,136,68,24,79,41,3,34,29,3,2,3,18,4,-,-
性/年齢別女性50歳代,100.0,34.8,34.1,56.1,28.0,6.1,25.8,22.7,2.3,1.5,1.5,8.3,2.3,-,0.8,100.0,50.0,17.6,58.1,30.1,2.2,25.0,21.3,2.2,1.5,2.2,13.2,2.9,-,-
性/年齢別女性60歳代,154,58,54,88,44,10,48,42,7,1,1,9,3,-,1,163,92,29,92,47,9,49,44,7,1,2,20,2,-,1
性/年齢別女性60歳代,100.0,37.7,35.1,57.1,28.6,6.5,31.2,27.3,4.5,0.6,0.6,5.8,1.9,-,0.6,100.0,56.4,17.8,56.4,28.8,5.5,30.1,27.0,4.3,0.6,1.2,12.3,1.2,-,0.6
性/年齢別女性70歳代,93,42,43,49,22,4,33,29,3,2,2,5,1,1,1,101,61,26,51,27,4,33,30,3,4,2,8,1,1,-
性/年齢別女性70歳代,100.0,45.2,46.2,52.7,23.7,4.3,35.5,31.2,3.2,2.2,2.2,5.4,1.1,1.1,1.1,100.0,60.4,25.7,50.5,26.7,4.0,32.7,29.7,3.0,4.0,2.0,7.9,1.0,1.0,-
性/年齢別女性80歳以上,33,15,13,13,4,3,12,4,1,2,-,-,-,-,1,33,17,11,13,4,3,12,4,1,2,-,-,-,-,1
性/年齢別女性80歳以上,100.0,45.5,39.4,39.4,12.1,9.1,36.4,12.1,3.0,6.1,-,-,-,-,3.0,100.0,51.5,33.3,39.4,12.1,9.1,36.4,12.1,3.0,6.1,-,-,-,-,3.0
未・既婚別未婚,216,65,58,100,39,8,46,57,9,10,10,18,1,-,7,223,100,34,102,41,4,41,53,12,12,10,29,5,1,6
未・既婚別未婚,100.0,30.1,26.9,46.3,18.1,3.7,21.3,26.4,4.2,4.6,4.6,8.3,0.5,-,3.2,100.0,44.8,15.2,45.7,18.4,1.8,18.4,23.8,5.4,5.4,4.5,13.0,2.2,0.4,2.7
未・既婚別既婚（死別・離別を含む）,1219,459,443,654,348,72,363,321,42,26,30,69,23,2,7,1268,666,259,679,382,44,365,330,45,31,37,129,28,2,3
未・既婚別既婚（死別・離別を含む）,100.0,37.7,36.3,53.7,28.5,5.9,29.8,26.3,3.4,2.1,2.5,5.7,1.9,0.2,0.6,100.0,52.5,20.4,53.5,30.1,3.5,28.8,26.0,3.5,2.4,2.9,10.2,2.2,0.2,0.2
子供の有無別子供はいない,263,86,72,124,53,10,57,74,15,10,14,22,3,-,7,273,125,42,128,58,6,54,71,18,13,14,38,9,1,6
子供の有無別子供はいない,100.0,32.7,27.4,47.1,20.2,3.8,21.7,28.1,5.7,3.8,5.3,8.4,1.1,-,2.7,100.0,45.8,15.4,46.9,21.2,2.2,19.8,26.0,6.6,4.8,5.1,13.9,3.3,0.4,2.2
子供の有無別未就学（～６歳）,94,29,29,50,25,3,24,22,4,6,2,4,1,-,-,97,36,19,52,28,3,25,23,4,6,2,10,3,-,-
子供の有無別未就学（～６歳）,100.0,30.9,30.9,53.2,26.6,3.2,25.5,23.4,4.3,6.4,2.1,4.3,1.1,-,-,100.0,37.1,19.6,53.6,28.9,3.1,25.8,23.7,4.1,6.2,2.1,10.3,3.1,-,-
子供の有無別小・中・高校生,320,104,99,171,96,26,85,85,6,10,9,24,7,-,-,339,177,47,180,113,14,85,87,7,10,14,49,9,-,-
子供の有無別小・中・高校生,100.0,32.5,30.9,53.4,30.0,8.1,26.6,26.6,1.9,3.1,2.8,7.5,2.2,-,-,100.0,52.2,13.9,53.1,33.3,4.1,25.1,25.7,2.1,2.9,4.1,14.5,2.7,-,-
子供の有無別大学生・大学院生・短大生・専門学校生,124,41,39,74,32,9,33,38,3,2,4,7,2,-,1,125,61,17,78,34,2,33,39,3,1,4,14,2,-,-
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,33.1,31.5,59.7,25.8,7.3,26.6,30.6,2.4,1.6,3.2,5.6,1.6,-,0.8,100.0,48.8,13.6,62.4,27.2,1.6,26.4,31.2,2.4,0.8,3.2,11.2,1.6,-,-
子供の有無別学校教育終了,649,273,269,337,186,32,210,169,21,9,12,30,9,2,6,671,381,170,347,194,21,210,172,23,13,12,52,8,2,3
子供の有無別学校教育終了,100.0,42.1,41.4,51.9,28.7,4.9,32.4,26.0,3.2,1.4,1.8,4.6,1.4,0.3,0.9,100.0,56.8,25.3,51.7,28.9,3.1,31.3,25.6,3.4,1.9,1.8,7.7,1.2,0.3,0.4
子供の有無別その他,52,16,12,31,11,4,19,12,3,1,-,3,3,-,-,55,20,8,34,14,3,19,15,3,-,2,5,4,-,-
子供の有無別その他,100.0,30.8,23.1,59.6,21.2,7.7,36.5,23.1,5.8,1.9,-,5.8,5.8,-,-,100.0,36.4,14.5,61.8,25.5,5.5,34.5,27.3,5.5,-,3.6,9.1,7.3,-,-
職業別自営業（計）,120,60,29,66,32,5,42,39,7,3,5,8,4,,,125,77,22,71,33,7,43,38,8,3,5,14,6,,
職業別自営業（計）,100.0,50.0,24.2,55.0,26.7,4.2,35.0,32.5,5.8,2.5,4.2,6.7,3.3,,,100.0,61.6,17.6,56.8,26.4,5.6,34.4,30.4,6.4,2.4,4.0,11.2,4.8,,
職業別農林漁業,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-
職業別農林漁業,100.0,-,-,100.0,-,-,-,-,-,-,100.0,-,-,-,-,100.0,-,-,100.0,-,-,-,-,-,-,100.0,-,-,-,-
職業別商工・サービス業,36,21,14,22,9,2,13,10,4,1,1,1,1,-,-,38,24,11,22,10,3,14,10,3,1,1,2,2,-,-
職業別商工・サービス業,100.0,58.3,38.9,61.1,25.0,5.6,36.1,27.8,11.1,2.8,2.8,2.8,2.8,-,-,100.0,63.2,28.9,57.9,26.3,7.9,36.8,26.3,7.9,2.6,2.6,5.3,5.3,-,-
職業別その他自由業,83,39,15,43,23,3,29,29,3,2,3,7,3,-,-,86,53,11,48,23,4,29,28,5,2,3,12,4,-,-
職業別その他自由業,100.0,47.0,18.1,51.8,27.7,3.6,34.9,34.9,3.6,2.4,3.6,8.4,3.6,-,-,100.0,61.6,12.8,55.8,26.7,4.7,33.7,32.6,5.8,2.3,3.5,14.0,4.7,-,-
職業別お勤め（計）,621,204,204,331,171,31,178,180,19,15,23,38,15,,6,646,301,112,340,187,15,173,180,20,20,28,72,21,1,5
職業別お勤め（計）,100.0,32.9,32.9,53.3,27.5,5.0,28.7,29.0,3.1,2.4,3.7,6.1,2.4,,1.0,100.0,46.6,17.3,52.6,28.9,2.3,26.8,27.9,3.1,3.1,4.3,11.1,3.3,0.2,0.8
職業別経営・管理職,62,22,26,43,20,5,28,26,3,-,-,3,3,-,-,64,33,15,42,20,1,27,26,3,-,-,6,3,-,-
職業別経営・管理職,100.0,35.5,41.9,69.4,32.3,8.1,45.2,41.9,4.8,-,-,4.8,4.8,-,-,100.0,51.6,23.4,65.6,31.3,1.6,42.2,40.6,4.7,-,-,9.4,4.7,-,-
職業別専門職・技術職,157,51,54,89,42,4,50,51,5,2,7,9,3,-,-,158,68,34,90,47,2,48,50,4,-,9,16,4,-,-
職業別専門職・技術職,100.0,32.5,34.4,56.7,26.8,2.5,31.8,32.5,3.2,1.3,4.5,5.7,1.9,-,-,100.0,43.0,21.5,57.0,29.7,1.3,30.4,31.6,2.5,-,5.7,10.1,2.5,-,-
職業別事務職,165,54,50,79,37,7,47,37,4,3,5,8,3,-,4,181,86,24,84,43,5,46,38,5,5,6,23,6,-,3
職業別事務職,100.0,32.7,30.3,47.9,22.4,4.2,28.5,22.4,2.4,1.8,3.0,4.8,1.8,-,2.4,100.0,47.5,13.3,46.4,23.8,2.8,25.4,21.0,2.8,2.8,3.3,12.7,3.3,-,1.7
職業別労務職・技能職,50,24,17,27,12,1,17,16,1,-,1,5,2,-,-,51,29,13,26,13,-,17,16,1,1,1,7,2,-,-
職業別労務職・技能職,100.0,48.0,34.0,54.0,24.0,2.0,34.0,32.0,2.0,-,2.0,10.0,4.0,-,-,100.0,56.9,25.5,51.0,25.5,-,33.3,31.4,2.0,2.0,2.0,13.7,3.9,-,-
職業別販売・サービス職,187,53,57,93,60,14,36,50,6,10,10,13,4,-,2,192,85,26,98,64,7,35,50,7,14,12,20,6,1,2
職業別販売・サービス職,100.0,28.3,30.5,49.7,32.1,7.5,19.3,26.7,3.2,5.3,5.3,7.0,2.1,-,1.1,100.0,44.3,13.5,51.0,33.3,3.6,18.2,26.0,3.6,7.3,6.3,10.4,3.1,0.5,1.0
職業別その他（計）,694,260,268,357,184,44,189,159,25,18,12,41,5,2,8,720,388,159,370,203,26,190,165,29,20,14,72,6,2,4
職業別その他（計）,100.0,37.5,38.6,51.4,26.5,6.3,27.2,22.9,3.6,2.6,1.7,5.9,0.7,0.3,1.2,100.0,53.9,22.1,51.4,28.2,3.6,26.4,22.9,4.0,2.8,1.9,10.0,0.8,0.3,0.6
職業別生徒・学生,27,3,3,13,4,-,4,8,1,3,1,5,-,-,1,28,6,2,13,4,-,4,8,1,4,1,6,-,-,1
職業別生徒・学生,100.0,11.1,11.1,48.1,14.8,-,14.8,29.6,3.7,11.1,3.7,18.5,-,-,3.7,100.0,21.4,7.1,46.4,14.3,-,14.3,28.6,3.6,14.3,3.6,21.4,-,-,3.6
職業別専業主婦（夫）,340,120,120,189,96,29,86,79,15,12,4,27,5,1,2,354,198,59,198,108,16,86,80,16,11,6,51,4,1,1
職業別専業主婦（夫）,100.0,35.3,35.3,55.6,28.2,8.5,25.3,23.2,4.4,3.5,1.2,7.9,1.5,0.3,0.6,100.0,55.9,16.7,55.9,30.5,4.5,24.3,22.6,4.5,3.1,1.7,14.4,1.1,0.3,0.3
職業別その他,19,3,5,9,2,-,4,6,1,-,-,3,-,-,1,19,5,3,9,3,-,5,6,1,-,-,3,1,-,-
職業別その他,100.0,15.8,26.3,47.4,10.5,-,21.1,31.6,5.3,-,-,15.8,-,-,5.3,100.0,26.3,15.8,47.4,15.8,-,26.3,31.6,5.3,-,-,15.8,5.3,-,-
職業別無職（年金受給者含む）,308,134,140,146,82,15,95,66,8,3,7,6,-,1,4,319,179,95,150,88,10,95,71,11,5,7,12,1,1,2
職業別無職（年金受給者含む）,100.0,43.5,45.5,47.4,26.6,4.9,30.8,21.4,2.6,1.0,2.3,1.9,-,0.3,1.3,100.0,56.1,29.8,47.0,27.6,3.1,29.8,22.3,3.4,1.6,2.2,3.8,0.3,0.3,0.6
投票所までの時間別５分以内,359,105,95,214,105,20,110,100,11,8,6,28,10,-,3,371,141,64,221,121,11,111,99,9,7,6,43,12,1,3
投票所までの時間別５分以内,100.0,29.2,26.5,59.6,29.2,5.6,30.6,27.9,3.1,2.2,1.7,7.8,2.8,-,0.8,100.0,38.0,17.3,59.6,32.6,3.0,29.9,26.7,2.4,1.9,1.6,11.6,3.2,0.3,0.8
投票所までの時間別10分以内,838,317,314,446,233,52,238,232,28,22,28,40,12,1,9,876,490,166,459,252,29,234,236,30,32,36,93,17,1,5
投票所までの時間別10分以内,100.0,37.8,37.5,53.2,27.8,6.2,28.4,27.7,3.3,2.6,3.3,4.8,1.4,0.1,1.1,100.0,55.9,18.9,52.4,28.8,3.3,26.7,26.9,3.4,3.7,4.1,10.6,1.9,0.1,0.6
投票所までの時間別20分以内,222,97,87,87,46,8,60,42,11,5,6,18,2,1,2,228,127,61,93,47,8,60,45,17,3,5,20,4,1,1
投票所までの時間別20分以内,100.0,43.7,39.2,39.2,20.7,3.6,27.0,18.9,5.0,2.3,2.7,8.1,0.9,0.5,0.9,100.0,55.7,26.8,40.8,20.6,3.5,26.3,19.7,7.5,1.3,2.2,8.8,1.8,0.4,0.4
投票所までの時間別30分以内,12,4,4,5,2,-,-,4,1,1,-,-,-,-,-,12,7,1,6,2,-,-,3,1,1,-,1,-,-,-
投票所までの時間別30分以内,100.0,33.3,33.3,41.7,16.7,-,-,33.3,8.3,8.3,-,-,-,-,-,100.0,58.3,8.3,50.0,16.7,-,-,25.0,8.3,8.3,-,8.3,-,-,-
投票所までの時間別30分を超える,3,-,1,2,1,-,1,-,-,-,-,1,-,-,-,3,-,1,2,1,-,1,-,-,-,-,1,-,-,-
投票所までの時間別30分を超える,100.0,-,33.3,66.7,33.3,-,33.3,-,-,-,-,33.3,-,-,-,100.0,-,33.3,66.7,33.3,-,33.3,-,-,-,-,33.3,-,-,-
投票所までの時間別わからない,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-
投票所までの時間別わからない,100.0,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-
地域別区部（計）,1089,412,420,550,295,65,271,284,43,30,31,64,18,2,12,1131,616,238,566,323,38,269,288,49,39,38,128,24,3,8
地域別区部（計）,100.0,37.8,38.6,50.5,27.1,6.0,24.9,26.1,3.9,2.8,2.8,5.9,1.7,0.2,1.1,100.0,54.5,21.0,50.0,28.6,3.4,23.8,25.5,4.3,3.4,3.4,11.3,2.1,0.3,0.7
地域別センターコア,307,104,117,175,88,18,80,95,11,5,13,25,5,-,2,319,170,54,179,96,10,80,93,12,7,14,48,7,-,1
地域別センターコア,100.0,33.9,38.1,57.0,28.7,5.9,26.1,30.9,3.6,1.6,4.2,8.1,1.6,-,0.7,100.0,53.3,16.9,56.1,30.1,3.1,25.1,29.2,3.8,2.2,4.4,15.0,2.2,-,0.3
地域別区部東部・北部エリア,318,105,122,150,77,15,88,84,7,13,8,10,6,2,8,336,173,66,152,84,12,88,88,8,19,11,20,7,3,5
地域別区部東部・北部エリア,100.0,33.0,38.4,47.2,24.2,4.7,27.7,26.4,2.2,4.1,2.5,3.1,1.9,0.6,2.5,100.0,51.5,19.6,45.2,25.0,3.6,26.2,26.2,2.4,5.7,3.3,6.0,2.1,0.9,1.5
地域別区部西部・南部エリア,464,203,181,225,130,32,103,105,25,12,10,29,7,-,2,476,273,118,235,143,16,101,107,29,13,13,60,10,-,2
地域別区部西部・南部エリア,100.0,43.8,39.0,48.5,28.0,6.9,22.2,22.6,5.4,2.6,2.2,6.3,1.5,-,0.4,100.0,57.4,24.8,49.4,30.0,3.4,21.2,22.5,6.1,2.7,2.7,12.6,2.1,-,0.4
地域別市郡部（計）,346,112,81,204,92,15,138,94,8,6,9,23,6,-,2,360,150,55,215,100,10,137,95,8,4,9,30,9,-,1
地域別市郡部（計）,100.0,32.4,23.4,59.0,26.6,4.3,39.9,27.2,2.3,1.7,2.6,6.6,1.7,-,0.6,100.0,41.7,15.3,59.7,27.8,2.8,38.1,26.4,2.2,1.1,2.5,8.3,2.5,-,0.3
地域別多摩東部エリア,106,26,24,62,24,2,37,25,4,-,6,7,3,-,1,113,38,19,66,27,1,37,26,3,-,7,8,4,-,-
地域別多摩東部エリア,100.0,24.5,22.6,58.5,22.6,1.9,34.9,23.6,3.8,-,5.7,6.6,2.8,-,0.9,100.0,33.6,16.8,58.4,23.9,0.9,32.7,23.0,2.7,-,6.2,7.1,3.5,-,-
