,参議院議員選挙/調査数,参議院議員選挙/定期購読している,参議院議員選挙/定期購読していない,東京都知事選挙/調査数,東京都知事選挙/定期購読している,東京都知事選挙/定期購読していない
職業別専門職・技術職,196,123,73,196,123,73
職業別専門職・技術職,100.0,62.8,37.2,100.0,62.8,37.2
職業別事務職,221,125,96,221,125,96
職業別事務職,100.0,56.6,43.4,100.0,56.6,43.4
職業別労務職・技能職,61,46,15,61,46,15
職業別労務職・技能職,100.0,75.4,24.6,100.0,75.4,24.6
職業別販売・サービス職,269,129,140,269,129,140
職業別販売・サービス職,100.0,48.0,52.0,100.0,48.0,52.0
職業別その他（計）,869,655,214,869,655,214
職業別その他（計）,100.0,75.4,24.6,100.0,75.4,24.6
職業別生徒・学生,47,12,35,47,12,35
職業別生徒・学生,100.0,25.5,74.5,100.0,25.5,74.5
職業別専業主婦（夫）,395,310,85,395,310,85
職業別専業主婦（夫）,100.0,78.5,21.5,100.0,78.5,21.5
職業別その他,25,14,11,25,14,11
職業別その他,100.0,56.0,44.0,100.0,56.0,44.0
職業別無職（年金受給者含む）,402,319,83,402,319,83
職業別無職（年金受給者含む）,100.0,79.4,20.6,100.0,79.4,20.6
投票所までの時間別５分以内,433,309,124,433,309,124
投票所までの時間別５分以内,100.0,71.4,28.6,100.0,71.4,28.6
投票所までの時間別10分以内,1067,709,358,1067,709,358
投票所までの時間別10分以内,100.0,66.4,33.6,100.0,66.4,33.6
投票所までの時間別20分以内,288,205,83,288,205,83
投票所までの時間別20分以内,100.0,71.2,28.8,100.0,71.2,28.8
投票所までの時間別30分以内,21,13,8,21,13,8
投票所までの時間別30分以内,100.0,61.9,38.1,100.0,61.9,38.1
投票所までの時間別30分を超える,3,2,1,3,2,1
投票所までの時間別30分を超える,100.0,66.7,33.3,100.0,66.7,33.3
投票所までの時間別わからない,11,2,9,11,2,9
投票所までの時間別わからない,100.0,18.2,81.8,100.0,18.2,81.8
地域別区部（計）,1381,907,474,1381,907,474
地域別区部（計）,100.0,65.7,34.3,100.0,65.7,34.3
地域別センターコア,388,278,110,388,278,110
地域別センターコア,100.0,71.6,28.4,100.0,71.6,28.4
地域別区部東部・北部エリア,398,254,144,398,254,144
地域別区部東部・北部エリア,100.0,63.8,36.2,100.0,63.8,36.2
地域別区部西部・南部エリア,595,375,220,595,375,220
地域別区部西部・南部エリア,100.0,63.0,37.0,100.0,63.0,37.0
地域別市郡部（計）,442,333,109,442,333,109
地域別市郡部（計）,100.0,75.3,24.7,100.0,75.3,24.7
地域別多摩東部エリア,132,89,43,132,89,43
地域別多摩東部エリア,100.0,67.4,32.6,100.0,67.4,32.6
地域別多摩中央部北エリア,70,47,23,70,47,23
地域別多摩中央部北エリア,100.0,67.1,32.9,100.0,67.1,32.9
地域別多摩中央部南エリア,201,168,33,201,168,33
地域別多摩中央部南エリア,100.0,83.6,16.4,100.0,83.6,16.4
地域別多摩西部エリア,39,29,10,39,29,10
地域別多摩西部エリア,100.0,74.4,25.6,100.0,74.4,25.6
選挙への関心度別関心があった（計）,1283,998,285,1424,1079,345
選挙への関心度別関心があった（計）,100.0,77.8,22.2,100.0,75.8,24.2
選挙への関心度別関心があった,633,512,121,769,592,177
選挙への関心度別関心があった,100.0,80.9,19.1,100.0,77.0,23.0
選挙への関心度別やや関心があった,650,486,164,655,487,168
選挙への関心度別やや関心があった,100.0,74.8,25.2,100.0,74.4,25.6
選挙への関心度別関心がなかった（計）,227,73,154,175,51,124
選挙への関心度別関心がなかった（計）,100.0,32.2,67.8,100.0,29.1,70.9
選挙への関心度別あまり関心がなかった,125,47,78,89,27,62
選挙への関心度別あまり関心がなかった,100.0,37.6,62.4,100.0,30.3,69.7
選挙への関心度別関心がなかった,102,26,76,86,24,62
選挙への関心度別関心がなかった,100.0,25.5,74.5,100.0,27.9,72.1
選挙への関心度別どちらともいえない,298,166,132,209,107,102
選挙への関心度別どちらともいえない,100.0,55.7,44.3,100.0,51.2,48.8
選挙への関心度別わからない,15,3,12,15,3,12
選挙への関心度別わからない,100.0,20.0,80.0,100.0,20.0,80.0
投票への意識別投票するべき（計）,1434,1081,353,1443,1086,357
投票への意識別投票するべき（計）,100.0,75.4,24.6,100.0,75.3,24.7
投票への意識別必ず投票するべき,596,499,97,615,512,103
投票への意識別必ず投票するべき,100.0,83.7,16.3,100.0,83.3,16.7
投票への意識別可能な限り投票するべき,838,582,256,828,574,254
投票への意識別可能な限り投票するべき,100.0,69.5,30.5,100.0,69.3,30.7
投票への意識別投票するのもしないのも自由,344,144,200,335,138,197
投票への意識別投票するのもしないのも自由,100.0,41.9,58.1,100.0,41.2,58.8
投票への意識別その他,1,1,-,1,1,-
投票への意識別その他,100.0,100.0,-,100.0,100.0,-
投票への意識別わからない,44,14,30,44,15,29
投票への意識別わからない,100.0,31.8,68.2,100.0,34.1,65.9
投票への参加状況別投票した（計）,1435,1076,359,1491,1110,381
投票への参加状況別投票した（計）,100.0,75.0,25.0,100.0,74.4,25.6
投票への参加状況別投票日に投票した,1226,930,296,1254,954,300
投票への参加状況別投票日に投票した,100.0,75.9,24.1,100.0,76.1,23.9
投票への参加状況別期日前投票（又は不在者投票等）をした,209,146,63,237,156,81
投票への参加状況別期日前投票（又は不在者投票等）をした,100.0,69.9,30.1,100.0,65.8,34.2
投票への参加状況別投票しなかった,377,160,217,321,126,195
投票への参加状況別投票しなかった,100.0,42.4,57.6,100.0,39.3,60.7
投票への参加状況別答えたくない,11,4,7,11,4,7
投票への参加状況別答えたくない,100.0,36.4,63.6,100.0,36.4,63.6
新聞の定期購読別定期購読している,1240,1240,-,1240,1240,-
新聞の定期購読別定期購読している,100.0,100.0,-,100.0,100.0,-
新聞の定期購読別定期購読していない,583,-,583,583,-,583
新聞の定期購読別定期購読していない,100.0,-,100.0,100.0,-,100.0
インターネットの利用有無別インターネットを利用している,1055,616,439,1055,616,439
インターネットの利用有無別インターネットを利用している,100.0,58.4,41.6,100.0,58.4,41.6
インターネットの利用有無別インターネットを利用していない,768,624,144,768,624,144
インターネットの利用有無別インターネットを利用していない,100.0,81.3,18.8,100.0,81.3,18.8
