,調査数,ネット選挙運動の規制が緩和され、より自由に選挙運動ができることが望ましい,ネット選挙運動の規制をより強化する,現状のままでよい,わからない,無回答
性／年齢別女性70歳代,100.0,2.6,2.6,6.6,80.3,7.9
性／年齢別女性80歳以上,16,-,1,-,13,2
性／年齢別女性80歳以上,100.0,-,6.3,-,81.3,12.5
未・既婚別未婚（死別・離別を含む）,279,87,33,39,107,13
未・既婚別未婚（死別・離別を含む）,100.0,31.2,11.8,14.0,38.4,4.7
未・既婚別既婚,711,176,57,132,320,26
未・既婚別既婚,100.0,24.8,8.0,18.6,45.0,3.7
子供の有無別子供はいない,280,93,35,50,91,11
子供の有無別子供はいない,100.0,33.2,12.5,17.9,32.5,3.9
子供の有無別未就学（～６歳）,70,24,6,11,28,1
子供の有無別未就学（～６歳）,100.0,34.3,8.6,15.7,40.0,1.4
子供の有無別小・中・高校生,185,66,17,34,64,4
子供の有無別小・中・高校生,100.0,35.7,9.2,18.4,34.6,2.2
子供の有無別大学生・大学院生・短大生・専門学校生,63,13,17,12,17,4
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,20.6,27.0,19.0,27.0,6.3
子供の有無別学校教育終了,415,70,20,64,242,19
子供の有無別学校教育終了,100.0,16.9,4.8,15.4,58.3,4.6
子供の有無別その他,8,3,2,1,2,-
子供の有無別その他,100.0,37.5,25.0,12.5,25.0,-
職業別自営業（計）,92,21,7,12,48,4
職業別自営業（計）,100.0,22.8,7.6,13.0,52.2,4.3
職業別農林漁業,2,-,-,-,2,-
職業別農林漁業,100.0,-,-,-,100.0,-
職業別商工・サービス業,37,6,2,7,19,3
職業別商工・サービス業,100.0,16.2,5.4,18.9,51.4,8.1
職業別その他自由業,53,15,5,5,27,1
職業別その他自由業,100.0,28.3,9.4,9.4,50.9,1.9
職業別お勤め（計）,452,156,56,94,135,11
職業別お勤め（計）,100.0,34.5,12.4,20.8,29.9,2.4
職業別経営・管理職,69,19,10,15,22,3
職業別経営・管理職,100.0,27.5,14.5,21.7,31.9,4.3
職業別専門職・技術職,142,57,18,32,34,1
職業別専門職・技術職,100.0,40.1,12.7,22.5,23.9,0.7
職業別事務職,124,44,14,25,37,4
職業別事務職,100.0,35.5,11.3,20.2,29.8,3.2
職業別労務職・技能職,38,10,5,5,18,-
職業別労務職・技能職,100.0,26.3,13.2,13.2,47.4,-
職業別販売・サービス職,79,26,9,17,24,3
職業別販売・サービス職,100.0,32.9,11.4,21.5,30.4,3.8
職業別その他（計）,447,85,27,65,246,24
職業別その他（計）,100.0,19.0,6.0,14.5,55.0,5.4
職業別学生,11,4,4,1,1,1
職業別学生,100.0,36.4,36.4,9.1,9.1,9.1
職業別専業主婦（夫）,221,42,14,37,119,9
職業別専業主婦（夫）,100.0,19.0,6.3,16.7,53.8,4.1
職業別その他,35,9,3,7,16,-
職業別その他,100.0,25.7,8.6,20.0,45.7,-
職業別無職（年金受給者含む）,180,30,6,20,110,14
職業別無職（年金受給者含む）,100.0,16.7,3.3,11.1,61.1,7.8
投票所までの時間別５分以内,388,119,40,73,140,16
投票所までの時間別５分以内,100.0,30.7,10.3,18.8,36.1,4.1
投票所までの時間別10分以内,467,106,39,82,225,15
投票所までの時間別10分以内,100.0,22.7,8.4,17.6,48.2,3.2
投票所までの時間別20分以内,101,26,6,12,51,6
投票所までの時間別20分以内,100.0,25.7,5.9,11.9,50.5,5.9
投票所までの時間別30分以内,19,7,2,2,7,1
投票所までの時間別30分以内,100.0,36.8,10.5,10.5,36.8,5.3
投票所までの時間別30分を超える,19,6,3,2,7,1
投票所までの時間別30分を超える,100.0,31.6,15.8,10.5,36.8,5.3
地域別区部（計）,730,161,67,122,343,37
地域別区部（計）,100.0,22.1,9.2,16.7,47.0,5.1
地域別センターコア,216,75,25,34,73,9
地域別センターコア,100.0,34.7,11.6,15.7,33.8,4.2
地域別区部東部・北部エリア,200,41,17,38,101,3
地域別区部東部・北部エリア,100.0,20.5,8.5,19.0,50.5,1.5
地域別区部西部・南部エリア,314,45,25,50,169,25
地域別区部西部・南部エリア,100.0,14.3,8.0,15.9,53.8,8.0
地域別市郡部（計）,269,103,23,50,91,2
地域別市郡部（計）,100.0,38.3,8.6,18.6,33.8,0.7
地域別多摩東部エリア,89,37,9,13,29,1
地域別多摩東部エリア,100.0,41.6,10.1,14.6,32.6,1.1
地域別多摩中央部北エリア,40,9,3,9,19,-
地域別多摩中央部北エリア,100.0,22.5,7.5,22.5,47.5,-
地域別多摩中央部南エリア,129,53,10,26,39,1
地域別多摩中央部南エリア,100.0,41.1,7.8,20.2,30.2,0.8
地域別多摩西部エリア,11,4,1,2,4,-
地域別多摩西部エリア,100.0,36.4,9.1,18.2,36.4,-
選挙への関心度別関心があった（計）,853,246,79,150,346,32
選挙への関心度別関心があった（計）,100.0,28.8,9.3,17.6,40.6,3.8
選挙への関心度別関心があった,530,158,42,95,220,15
選挙への関心度別関心があった,100.0,29.8,7.9,17.9,41.5,2.8
選挙への関心度別やや関心があった,323,88,37,55,126,17
選挙への関心度別やや関心があった,100.0,27.2,11.5,17.0,39.0,5.3
選挙への関心度別関心がなかった（計）,70,7,5,11,44,3
選挙への関心度別関心がなかった（計）,100.0,10.0,7.1,15.7,62.9,4.3
選挙への関心度別あまり関心がなかった,59,6,3,11,36,3
選挙への関心度別あまり関心がなかった,100.0,10.2,5.1,18.6,61.0,5.1
選挙への関心度別関心がなかった,11,1,2,-,8,-
選挙への関心度別関心がなかった,100.0,9.1,18.2,-,72.7,-
選挙への関心度別どちらともいえない,76,11,6,11,44,4
選挙への関心度別どちらともいえない,100.0,14.5,7.9,14.5,57.9,5.3
選挙への関心度別わからない、答えたくない,-,-,-,-,-,-
選挙への関心度別わからない、答えたくない,-,-,-,-,-,-
投票への意識別必ず投票するべき,541,143,49,93,238,18
投票への意識別必ず投票するべき,100.0,26.4,9.1,17.2,44.0,3.3
投票への意識別可能な限り投票するべき,396,106,38,69,166,17
投票への意識別可能な限り投票するべき,100.0,26.8,9.6,17.4,41.9,4.3
投票への意識別投票するのもしないのも自由,56,14,2,10,27,3
投票への意識別投票するのもしないのも自由,100.0,25.0,3.6,17.9,48.2,5.4
投票への意識別その他,-,-,-,-,-,-
投票への意識別その他,-,-,-,-,-,-
投票への意識別わからない,3,-,-,-,2,1
投票への意識別わからない,100.0,-,-,-,66.7,33.3
投票への参加状況別投票した（計）,999,264,90,172,434,39
投票への参加状況別投票した（計）,100.0,26.4,9.0,17.2,43.4,3.9
投票への参加状況別投票日（２月９日）に投票した,827,211,71,144,367,34
投票への参加状況別投票日（２月１０日）に投票した,100.0,25.5,8.6,17.4,44.4,4.1
投票への参加状況別期日前投票（又は不在者投票等）をした,172,53,19,28,67,5
投票への参加状況別期日前投票（又は不在者投票等）をした,100.0,30.8,11.0,16.3,39.0,2.9
投票への参加状況別投票しなかった,-,-,-,-,-,-
投票への参加状況別投票しなかった,-,-,-,-,-,-
投票への参加状況別答えたくない,-,-,-,-,-,-
投票への参加状況別答えたくない,-,-,-,-,-,-
ネット投票の認知度別知っている,733,223,77,134,283,16
ネット投票の認知度別知っている,100.0,30.4,10.5,18.3,38.6,2.2
ネット投票の認知度別知らなかった,242,40,11,35,143,13
ネット投票の認知度別知らなかった,100.0,16.5,4.5,14.5,59.1,5.4
インターネットの利用有無別インターネットを利用している,543,220,62,107,143,11
インターネットの利用有無別インターネットを利用している,100.0,40.5,11.4,19.7,26.3,2.0
インターネットの利用有無別インターネットを利用していない,454,44,28,65,289,28
インターネットの利用有無別インターネットを利用していない,100.0,9.7,6.2,14.3,63.7,6.2
新聞の定期購読別定期購読している,741,177,60,134,341,29
新聞の定期購読別定期購読している,100.0,23.9,8.1,18.1,46.0,3.9
新聞の定期購読別定期購読していない,254,87,30,38,89,10
新聞の定期購読別定期購読していない,100.0,34.3,11.8,15.0,35.0,3.9
