,調査数,電車・駅構内、庁舎・公共施設等での選挙公報用ポスター（仲間由紀恵）,コンビニレジ画面の広告,選挙広報用の新聞広告,国、都、区市町村の広報誌,ラジオ告知（都民ニュース）,庁舎や公園などの懸垂幕・横断幕,都庁舎のライトアップ,衆議院議員選挙メッセージツリーイベント（渋谷・吉祥寺）,スーパー、コンビニなどの店内放送、防災無線による放送,ポケットティッシュ、マスク等の広報グッズ,はし袋広告（コンビニ、大学で配布）,区市町村の広報車,区市町村の広報掲示板,都及び区市町村、総務省のホームページ,都、区市町村、総務省のＳＮＳ（ツイッター等）,インターネットバナー広告（Yahoo!JAPAN・プロモツイート）,その他,見たり聞いたりしたものはない,わからない、忘れた,無回答
子供の有無別未就学（～６歳）（％）,100.0,33.3,1.7,21.1,13.3,1.1,5.0,-,-,1.1,2.2,0.6,16.1,12.8,0.6,0.6,5.0,-,26.7,13.9,0.6
子供の有無別小・中・高校生実数,270,118,11,80,41,10,14,1,2,4,5,-,58,45,2,3,12,1,42,35,1
子供の有無別小・中・高校生（％）,100.0,43.7,4.1,29.6,15.2,3.7,5.2,0.4,0.7,1.5,1.9,-,21.5,16.7,0.7,1.1,4.4,0.4,15.6,13.0,0.4
子供の有無別大学生・大学院生・短大生・専門学校生実数,106,42,3,38,21,6,4,-,-,1,4,-,25,16,1,1,5,1,15,12,1
子供の有無別大学生・大学院生・短大生・専門学校生（％）,100.0,39.6,2.8,35.8,19.8,5.7,3.8,-,-,0.9,3.8,-,23.6,15.1,0.9,0.9,4.7,0.9,14.2,11.3,0.9
子供の有無別学校教育終了実数,743,235,15,294,166,53,44,4,4,7,19,-,164,123,12,3,8,4,149,59,4
子供の有無別学校教育終了（％）,100.0,31.6,2.0,39.6,22.3,7.1,5.9,0.5,0.5,0.9,2.6,-,22.1,16.6,1.6,0.4,1.1,0.5,20.1,7.9,0.5
子供の有無別その他実数,7,2,-,4,3,1,-,-,-,-,-,-,2,-,1,-,-,-,-,2,-
子供の有無別その他（％）,100.0,28.6,-,57.1,42.9,14.3,-,-,-,-,-,-,28.6,-,14.3,-,-,-,-,28.6,-
職業別自営業（計）実数,152,43,2,57,25,10,6,-,1,2,3,-,30,24,2,2,5,-,28,21,-
職業別自営業（計）（％）,100.0,28.3,1.3,37.5,16.4,6.6,3.9,-,0.7,1.3,2.0,-,19.7,15.8,1.3,1.3,3.3,-,18.4,13.8,-
職業別農林漁業実数,3,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
職業別農林漁業（％）,100.0,33.3,33.3,33.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
職業別商工・サービス業実数,96,26,-,41,17,8,2,-,1,2,-,-,20,16,1,-,2,-,20,8,-
職業別商工・サービス業（％）,100.0,27.1,-,42.7,17.7,8.3,2.1,-,1.0,2.1,-,-,20.8,16.7,1.0,-,2.1,-,20.8,8.3,-
職業別その他自由業実数,53,16,1,15,8,2,4,-,-,-,3,-,10,8,1,2,3,-,8,13,-
職業別その他自由業（％）,100.0,30.2,1.9,28.3,15.1,3.8,7.5,-,-,-,5.7,-,18.9,15.1,1.9,3.8,5.7,-,15.1,24.5,-
職業別お勤め（計）実数,934,374,28,252,142,49,54,4,7,17,23,1,176,132,21,10,62,3,189,116,6
職業別お勤め（計）（％）,100.0,40.0,3.0,27.0,15.2,5.2,5.8,0.4,0.7,1.8,2.5,0.1,18.8,14.1,2.2,1.1,6.6,0.3,20.2,12.4,0.6
職業別経営・管理職実数,94,43,1,38,21,7,10,2,1,3,4,-,22,20,4,5,7,-,5,15,2
職業別経営・管理職（％）,100.0,45.7,1.1,40.4,22.3,7.4,10.6,2.1,1.1,3.2,4.3,-,23.4,21.3,4.3,5.3,7.4,-,5.3,16.0,2.1
職業別専門職・技術職実数,243,102,7,64,32,15,16,-,3,1,6,-,50,36,6,2,22,-,51,26,1
職業別専門職・技術職（％）,100.0,42.0,2.9,26.3,13.2,6.2,6.6,-,1.2,0.4,2.5,-,20.6,14.8,2.5,0.8,9.1,-,21.0,10.7,0.4
職業別事務職実数,249,108,6,64,46,8,10,1,2,9,5,-,36,32,7,2,15,1,52,35,-
職業別事務職（％）,100.0,43.4,2.4,25.7,18.5,3.2,4.0,0.4,0.8,3.6,2.0,-,14.5,12.9,2.8,0.8,6.0,0.4,20.9,14.1,-
職業別労務職・技能職実数,111,40,6,29,13,6,8,-,-,-,2,-,23,12,1,-,2,-,27,11,1
職業別労務職・技能職（％）,100.0,36.0,5.4,26.1,11.7,5.4,7.2,-,-,-,1.8,-,20.7,10.8,0.9,-,1.8,-,24.3,9.9,0.9
職業別販売・サービス職実数,237,81,8,57,30,13,10,1,1,4,6,1,45,32,3,1,16,2,54,29,2
職業別販売・サービス職（％）,100.0,34.2,3.4,24.1,12.7,5.5,4.2,0.4,0.4,1.7,2.5,0.4,19.0,13.5,1.3,0.4,6.8,0.8,22.8,12.2,0.8
職業別その他（計）実数,732,202,15,249,138,43,39,4,2,10,20,-,145,105,7,4,9,3,172,71,5
職業別その他（計）（％）,100.0,27.6,2.0,34.0,18.9,5.9,5.3,0.5,0.3,1.4,2.7,-,19.8,14.3,1.0,0.5,1.2,0.4,23.5,9.7,0.7
職業別生徒・学生実数,35,12,1,6,1,2,3,-,-,1,2,-,6,3,1,2,2,-,7,5,-
職業別生徒・学生（％）,100.0,34.3,2.9,17.1,2.9,5.7,8.6,-,-,2.9,5.7,-,17.1,8.6,2.9,5.7,5.7,-,20.0,14.3,-
職業別専業主婦（夫）実数,309,95,8,103,55,12,18,-,1,4,12,-,70,48,-,1,2,2,66,34,1
職業別専業主婦（夫）（％）,100.0,30.7,2.6,33.3,17.8,3.9,5.8,-,0.3,1.3,3.9,-,22.7,15.5,-,0.3,0.6,0.6,21.4,11.0,0.3
職業別その他実数,18,7,1,4,2,1,2,-,-,-,-,-,1,1,-,-,1,-,7,2,-
職業別その他（％）,100.0,38.9,5.6,22.2,11.1,5.6,11.1,-,-,-,-,-,5.6,5.6,-,-,5.6,-,38.9,11.1,-
職業別無職（年金受給者含む）実数,370,88,5,136,80,28,16,4,1,5,6,-,68,53,6,1,4,1,92,30,4
職業別無職（年金受給者含む）（％）,100.0,23.8,1.4,36.8,21.6,7.6,4.3,1.1,0.3,1.4,1.6,-,18.4,14.3,1.6,0.3,1.1,0.3,24.9,8.1,1.1
投票所までの時間別５分以内実数,712,235,18,225,125,43,38,1,3,11,22,-,137,108,16,7,35,3,153,76,4
投票所までの時間別５分以内（％）,100.0,33.0,2.5,31.6,17.6,6.0,5.3,0.1,0.4,1.5,3.1,-,19.2,15.2,2.2,1.0,4.9,0.4,21.5,10.7,0.6
投票所までの時間別10分以内実数,769,266,16,215,133,41,47,4,5,12,13,1,150,114,11,5,23,2,173,89,4
投票所までの時間別10分以内（％）,100.0,34.6,2.1,28.0,17.3,5.3,6.1,0.5,0.7,1.6,1.7,0.1,19.5,14.8,1.4,0.7,3.0,0.3,22.5,11.6,0.5
投票所までの時間別20分以内実数,245,95,7,92,38,17,11,3,2,4,9,-,56,35,3,4,15,1,33,29,2
投票所までの時間別20分以内（％）,100.0,38.8,2.9,37.6,15.5,6.9,4.5,1.2,0.8,1.6,3.7,-,22.9,14.3,1.2,1.6,6.1,0.4,13.5,11.8,0.8
投票所までの時間別30分以内実数,38,12,3,16,8,1,3,-,-,2,1,-,6,4,-,-,2,-,8,3,-
投票所までの時間別30分以内（％）,100.0,31.6,7.9,42.1,21.1,2.6,7.9,-,-,5.3,2.6,-,15.8,10.5,-,-,5.3,-,21.1,7.9,-
投票所までの時間別30分を超える実数,11,3,-,5,-,-,1,-,-,1,-,-,-,1,-,-,-,-,2,3,-
投票所までの時間別30分を超える（％）,100.0,27.3,-,45.5,-,-,9.1,-,-,9.1,-,-,-,9.1,-,-,-,-,18.2,27.3,-
投票所までの時間別わからない実数,48,10,1,4,2,-,-,-,-,-,1,-,5,2,-,-,1,-,21,9,1
投票所までの時間別わからない（％）,100.0,20.8,2.1,8.3,4.2,-,-,-,-,-,2.1,-,10.4,4.2,-,-,2.1,-,43.8,18.8,2.1
地域別区部（計）実数,1189,407,24,338,181,60,63,1,3,20,28,-,209,169,16,11,56,4,278,141,8
地域別区部（計）（％）,100.0,34.2,2.0,28.4,15.2,5.0,5.3,0.1,0.3,1.7,2.4,-,17.6,14.2,1.3,0.9,4.7,0.3,23.4,11.9,0.7
地域別センターコア実数,314,117,12,85,46,10,18,-,1,6,6,-,55,39,5,2,18,-,82,32,1
地域別センターコア（％）,100.0,37.3,3.8,27.1,14.6,3.2,5.7,-,0.3,1.9,1.9,-,17.5,12.4,1.6,0.6,5.7,-,26.1,10.2,0.3
地域別区部東部・北部エリア実数,382,120,8,103,66,28,21,-,1,4,11,-,78,64,6,5,13,-,88,41,2
地域別区部東部・北部エリア（％）,100.0,31.4,2.1,27.0,17.3,7.3,5.5,-,0.3,1.0,2.9,-,20.4,16.8,1.6,1.3,3.4,-,23.0,10.7,0.5
地域別区部西部・南部エリア実数,493,170,4,150,69,22,24,1,1,10,11,-,76,66,5,4,25,4,108,68,5
地域別区部西部・南部エリア（％）,100.0,34.5,0.8,30.4,14.0,4.5,4.9,0.2,0.2,2.0,2.2,-,15.4,13.4,1.0,0.8,5.1,0.8,21.9,13.8,1.0
地域別市郡部（計）実数,638,216,21,222,125,42,37,7,7,10,18,1,145,95,14,5,20,2,112,68,3
地域別市郡部（計）（％）,100.0,33.9,3.3,34.8,19.6,6.6,5.8,1.1,1.1,1.6,2.8,0.2,22.7,14.9,2.2,0.8,3.1,0.3,17.6,10.7,0.5
地域別多摩東部エリア実数,239,96,5,81,52,14,17,6,4,4,11,-,43,43,8,2,9,-,41,27,-
地域別多摩東部エリア（％）,100.0,40.2,2.1,33.9,21.8,5.9,7.1,2.5,1.7,1.7,4.6,-,18.0,18.0,3.3,0.8,3.8,-,17.2,11.3,-
地域別多摩中央部北エリア実数,89,24,4,30,22,10,7,-,1,1,1,-,26,12,-,-,6,-,20,7,-
地域別多摩中央部北エリア（％）,100.0,27.0,4.5,33.7,24.7,11.2,7.9,-,1.1,1.1,1.1,-,29.2,13.5,-,-,6.7,-,22.5,7.9,-
地域別多摩中央部南エリア実数,267,87,10,95,45,14,11,1,2,5,3,1,66,37,6,3,5,2,41,33,-
地域別多摩中央部南エリア（％）,100.0,32.6,3.7,35.6,16.9,5.2,4.1,0.4,0.7,1.9,1.1,0.4,24.7,13.9,2.2,1.1,1.9,0.7,15.4,12.4,-
地域別多摩西部エリア実数,43,9,2,16,6,4,2,-,-,-,3,-,10,3,-,-,-,-,10,1,3
地域別多摩西部エリア（％）,100.0,20.9,4.7,37.2,14.0,9.3,4.7,-,-,-,7.0,-,23.3,7.0,-,-,-,-,23.3,2.3,7.0
選挙への関心度別関心があった（計）実数,1084,413,30,414,242,83,76,6,6,20,28,-,241,180,26,14,49,5,179,88,4
選挙への関心度別関心があった（計）（％）,100.0,38.1,2.8,38.2,22.3,7.7,7.0,0.6,0.6,1.8,2.6,-,22.2,16.6,2.4,1.3,4.5,0.5,16.5,8.1,0.4
選挙への関心度別関心があった実数,642,243,18,272,146,56,53,5,6,9,14,-,140,115,22,7,30,4,96,49,4
選挙への関心度別関心があった（％）,100.0,37.9,2.8,42.4,22.7,8.7,8.3,0.8,0.9,1.4,2.2,-,21.8,17.9,3.4,1.1,4.7,0.6,15.0,7.6,0.6
選挙への関心度別やや関心があった実数,442,170,12,142,96,27,23,1,-,11,14,-,101,65,4,7,19,1,83,39,-
選挙への関心度別やや関心があった（％）,100.0,38.5,2.7,32.1,21.7,6.1,5.2,0.2,-,2.5,3.2,-,22.9,14.7,0.9,1.6,4.3,0.2,18.8,8.8,-
選挙への関心度別関心がなかった（計）実数,179,63,3,38,20,7,11,1,2,2,2,-,26,25,2,1,3,1,40,26,1
選挙への関心度別関心がなかった（計）（％）,100.0,35.2,1.7,21.2,11.2,3.9,6.1,0.6,1.1,1.1,1.1,-,14.5,14.0,1.1,0.6,1.7,0.6,22.3,14.5,0.6
選挙への関心度別あまり関心がなかった実数,554,146,12,106,43,12,13,1,2,8,16,1,87,59,2,1,24,-,167,93,5
選挙への関心度別あまり関心がなかった（％）,100.0,26.4,2.2,19.1,7.8,2.2,2.3,0.2,0.4,1.4,2.9,0.2,15.7,10.6,0.4,0.2,4.3,-,30.1,16.8,0.9
選挙への関心度別関心がなかった実数,369,104,10,84,32,10,11,1,2,6,13,1,61,44,2,1,20,-,92,60,4
選挙への関心度別関心がなかった（％）,100.0,28.2,2.7,22.8,8.7,2.7,3.0,0.3,0.5,1.6,3.5,0.3,16.5,11.9,0.5,0.3,5.4,-,24.9,16.3,1.1
選挙への関心度別どちらともいえない実数,185,42,2,22,11,2,2,-,-,2,3,-,26,15,-,-,4,-,75,33,1
選挙への関心度別どちらともいえない（％）,100.0,22.7,1.1,11.9,5.9,1.1,1.1,-,-,1.1,1.6,-,14.1,8.1,-,-,2.2,-,40.5,17.8,0.5
選挙への関心度別わからない実数,7,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,4,2,-
選挙への関心度別わからない（％）,100.0,-,-,14.3,14.3,-,-,-,-,-,-,-,-,-,-,-,-,-,57.1,28.6,-
投票への意識別投票するべき（計）実数,1484,542,39,518,281,95,92,8,10,27,42,-,305,233,29,14,72,6,274,142,8
投票への意識別投票するべき（計）（％）,100.0,36.5,2.6,34.9,18.9,6.4,6.2,0.5,0.7,1.8,2.8,-,20.6,15.7,2.0,0.9,4.9,0.4,18.5,9.6,0.5
投票への意識別必ず投票するべき実数,703,276,21,293,155,58,58,6,7,14,23,-,147,114,17,8,30,3,104,62,1
投票への意識別必ず投票するべき（％）,100.0,39.3,3.0,41.7,22.0,8.3,8.3,0.9,1.0,2.0,3.3,-,20.9,16.2,2.4,1.1,4.3,0.4,14.8,8.8,0.1
投票への意識別可能な限り投票するべき実数,781,266,18,225,126,37,34,2,3,13,19,-,158,119,12,6,42,3,170,80,7
投票への意識別可能な限り投票するべき（％）,100.0,34.1,2.3,28.8,16.1,4.7,4.4,0.3,0.4,1.7,2.4,-,20.2,15.2,1.5,0.8,5.4,0.4,21.8,10.2,0.9
投票への意識別投票するのもしないのも自由実数,315,78,5,38,22,6,8,-,-,3,4,1,49,31,1,2,4,-,104,62,2
投票への意識別投票するのもしないのも自由（％）,100.0,24.8,1.6,12.1,7.0,1.9,2.5,-,-,1.0,1.3,0.3,15.6,9.8,0.3,0.6,1.3,-,33.0,19.7,0.6
投票への意識別その他実数,11,2,-,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,5,1,-
投票への意識別その他（％）,100.0,18.2,-,18.2,27.3,-,-,-,-,-,-,-,-,-,-,-,-,-,45.5,9.1,-
投票への意識別わからない実数,15,1,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,7,4,-
投票への意識別わからない（％）,100.0,6.7,6.7,6.7,-,6.7,-,-,-,-,-,-,-,-,-,-,-,-,46.7,26.7,-
投票への参加状況別投票した（計）実数,1246,469,30,473,253,87,81,8,10,23,34,-,247,205,27,13,60,4,212,113,3
投票への参加状況別投票した（計）（％）,100.0,37.6,2.4,38.0,20.3,7.0,6.5,0.6,0.8,1.8,2.7,-,19.8,16.5,2.2,1.0,4.8,0.3,17.0,9.1,0.2
投票への参加状況別投票日（12月14日）に投票した実数,987,362,24,355,195,69,55,6,9,19,27,-,195,162,20,9,48,3,178,90,2
投票への参加状況別投票日（12月14日）に投票した（％）,100.0,36.7,2.4,36.0,19.8,7.0,5.6,0.6,0.9,1.9,2.7,-,19.8,16.4,2.0,0.9,4.9,0.3,18.0,9.1,0.2
投票への参加状況別期日前投票（又は不在者投票等）をした実数,259,107,6,118,58,18,26,2,1,4,7,-,52,43,7,4,12,1,34,23,1
投票への参加状況別期日前投票（又は不在者投票等）をした（％）,100.0,41.3,2.3,45.6,22.4,6.9,10.0,0.8,0.4,1.5,2.7,-,20.1,16.6,2.7,1.5,4.6,0.4,13.1,8.9,0.4
投票への参加状況別投票しなかった実数,563,152,15,84,52,15,17,-,-,7,12,1,107,58,2,3,16,2,175,88,6
投票への参加状況別投票しなかった（％）,100.0,27.0,2.7,14.9,9.2,2.7,3.0,-,-,1.2,2.1,0.2,19.0,10.3,0.4,0.5,2.8,0.4,31.1,15.6,1.1
投票への参加状況別答えたくない実数,18,2,-,3,1,-,2,-,-,-,-,-,-,1,1,-,-,-,3,8,2
投票への参加状況別答えたくない（％）,100.0,11.1,-,16.7,5.6,-,11.1,-,-,-,-,-,-,5.6,5.6,-,-,-,16.7,44.4,11.1
新聞の定期購読定期購読している実数,1142,391,27,472,237,72,63,6,6,22,30,-,224,186,18,8,29,5,221,103,3
新聞の定期購読定期購読している（％）,100.0,34.2,2.4,41.3,20.8,6.3,5.5,0.5,0.5,1.9,2.6,-,19.6,16.3,1.6,0.7,2.5,0.4,19.4,9.0,0.3
新聞の定期購読定期購読していない実数,681,232,18,87,69,30,37,2,4,8,16,1,130,78,12,8,47,1,168,105,7
新聞の定期購読定期購読していない（％）,100.0,34.1,2.6,12.8,10.1,4.4,5.4,0.3,0.6,1.2,2.3,0.1,19.1,11.5,1.8,1.2,6.9,0.1,24.7,15.4,1.0
インターネットの利用有無利用している実数,984,398,33,251,145,44,62,5,6,25,27,1,204,142,28,15,73,2,196,129,2
インターネットの利用有無利用している（％）,100.0,40.4,3.4,25.5,14.7,4.5,6.3,0.5,0.6,2.5,2.7,0.1,20.7,14.4,2.8,1.5,7.4,0.2,19.9,13.1,0.2
インターネットの利用有無利用していない実数,835,223,11,309,161,58,38,3,4,5,19,-,149,122,2,1,3,4,192,79,7
インターネットの利用有無利用していない（％）,100.0,26.7,1.3,37.0,19.3,6.9,4.6,0.4,0.5,0.6,2.3,-,17.8,14.6,0.2,0.1,0.4,0.5,23.0,9.5,0.8
ネット選挙の認知度別知っている実数,955,381,27,336,189,66,63,6,8,23,25,-,216,148,27,13,63,3,152,96,2
ネット選挙の認知度別知っている（％）,100.0,39.9,2.8,35.2,19.8,6.9,6.6,0.6,0.8,2.4,2.6,-,22.6,15.5,2.8,1.4,6.6,0.3,15.9,10.1,0.2
ネット選挙の認知度別知らなかった実数,752,211,16,175,97,30,31,2,2,6,20,1,122,96,2,3,13,3,213,103,5
ネット選挙の認知度別知らなかった（％）,100.0,28.1,2.1,23.3,12.9,4.0,4.1,0.3,0.3,0.8,2.7,0.1,16.2,12.8,0.3,0.4,1.7,0.4,28.3,13.7,0.7
