,調査数,５分以内,10分以内,20分以内,30分以内,30分を超える,無回答
性／年齢別男性80歳以上,39,8,16,10,1,1,3
性／年齢別男性80歳以上,100.0,20.5,41.0,25.6,2.6,2.6,7.7
性／年齢別女性20歳代,152,38,99,10,5,-,-
性／年齢別女性20歳代,100.0,25.0,65.1,6.6,3.3,-,-
性／年齢別女性30歳代,202,62,110,18,11,-,1
性／年齢別女性30歳代,100.0,30.7,54.5,8.9,5.4,-,0.5
性／年齢別女性40歳代,222,81,108,23,6,3,1
性／年齢別女性40歳代,100.0,36.5,48.6,10.4,2.7,1.4,0.5
性／年齢別女性50歳代,145,45,84,16,-,-,-
性／年齢別女性50歳代,100.0,31.0,57.9,11.0,-,-,-
性／年齢別女性60歳代,158,47,88,15,3,4,1
性／年齢別女性60歳代,100.0,29.7,55.7,9.5,1.9,2.5,0.6
性／年齢別女性70歳代,114,33,62,15,-,3,1
性／年齢別女性70歳代,100.0,28.9,54.4,13.2,-,2.6,0.9
性／年齢別女性80歳以上,51,13,25,11,-,-,2
性／年齢別女性80歳以上,100.0,25.5,49.0,21.6,-,-,3.9
未・既婚別未婚（死別・離別を含む）,801,253,444,70,23,3,8
未・既婚別未婚（死別・離別を含む）,100.0,31.6,55.4,8.7,2.9,0.4,1.0
未・既婚別既婚,1188,380,610,148,27,21,2
未・既婚別既婚,100.0,32.0,51.3,12.5,2.3,1.8,0.2
子供の有無別子供はいない,779,229,450,68,24,4,4
子供の有無別子供はいない,100.0,29.4,57.8,8.7,3.1,0.5,0.5
子供の有無別未就学（～６歳）,155,49,75,19,8,4,-
子供の有無別未就学（～６歳）,100.0,31.6,48.4,12.3,5.2,2.6,-
子供の有無別小・中・高校生,320,111,163,37,8,1,-
子供の有無別小・中・高校生,100.0,34.7,50.9,11.6,2.5,0.3,-
子供の有無別大学生・大学院生・短大生・専門学校生,92,38,45,7,1,1,-
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,41.3,48.9,7.6,1.1,1.1,-
子供の有無別学校教育終了,671,222,328,94,8,16,3
子供の有無別学校教育終了,100.0,33.1,48.9,14.0,1.2,2.4,0.4
子供の有無別その他,11,4,5,1,1,-,-
子供の有無別その他,100.0,36.4,45.5,9.1,9.1,-,-
職業別自営業（計）,174,74,67,22,7,3,1
職業別自営業（計）,100.0,42.5,38.5,12.6,4.0,1.7,0.6
職業別農林漁業,2,-,2,-,-,-,-
職業別農林漁業,100.0,-,100.0,-,-,-,-
職業別商工・サービス業,71,34,23,8,5,1,-
職業別商工・サービス業,100.0,47.9,32.4,11.3,7.0,1.4,-
職業別その他自由業,101,40,42,14,2,2,1
職業別その他自由業,100.0,39.6,41.6,13.9,2.0,2.0,1.0
職業別お勤め（計）,981,311,539,91,27,11,2
職業別お勤め（計）,100.0,31.7,54.9,9.3,2.8,1.1,0.2
職業別経営・管理職,109,42,59,6,1,1,-
職業別経営・管理職,100.0,38.5,54.1,5.5,0.9,0.9,-
職業別専門職・技術職,261,89,136,22,8,6,-
職業別専門職・技術職,100.0,34.1,52.1,8.4,3.1,2.3,-
職業別事務職,305,96,171,30,6,1,1
職業別事務職,100.0,31.5,56.1,9.8,2.0,0.3,0.3
職業別労務職・技能職,89,17,55,12,4,1,-
職業別労務職・技能職,100.0,19.1,61.8,13.5,4.5,1.1,-
職業別販売・サービス職,217,67,118,21,8,2,1
職業別販売・サービス職,100.0,30.9,54.4,9.7,3.7,0.9,0.5
職業別その他（計）,841,251,449,105,16,12,8
職業別その他（計）,100.0,29.8,53.4,12.5,1.9,1.4,1.0
職業別学生,53,11,33,9,-,-,-
職業別学生,100.0,20.8,62.3,17.0,-,-,-
職業別専業主婦（夫）,391,109,218,43,13,7,1
職業別専業主婦（夫）,100.0,27.9,55.8,11.0,3.3,1.8,0.3
職業別その他,62,19,34,5,1,-,3
職業別その他,100.0,30.6,54.8,8.1,1.6,-,4.8
職業別無職（年金受給者含む）,335,112,164,48,2,5,4
職業別無職（年金受給者含む）,100.0,33.4,49.0,14.3,0.6,1.5,1.2
投票所までの時間別５分以内,636,636,-,-,-,-,-
投票所までの時間別５分以内,100.0,100.0,-,-,-,-,-
投票所までの時間別10分以内,1060,-,1060,-,-,-,-
投票所までの時間別10分以内,100.0,-,100.0,-,-,-,-
投票所までの時間別20分以内,221,-,-,221,-,-,-
投票所までの時間別20分以内,100.0,-,-,100.0,-,-,-
投票所までの時間別30分以内,50,-,-,-,50,-,-
投票所までの時間別30分以内,100.0,-,-,-,100.0,-,-
投票所までの時間別30分を超える,26,-,-,-,-,26,-
投票所までの時間別30分を超える,100.0,-,-,-,-,100.0,-
地域別区部（計）,1392,489,715,122,45,7,14
地域別区部（計）,100.0,35.1,51.4,8.8,3.2,0.5,1.0
地域別センターコア,372,153,169,31,16,2,1
地域別センターコア,100.0,41.1,45.4,8.3,4.3,0.5,0.3
地域別区部東部・北部エリア,408,118,234,43,7,4,2
地域別区部東部・北部エリア,100.0,28.9,57.4,10.5,1.7,1.0,0.5
地域別区部西部・南部エリア,612,218,312,48,22,1,11
地域別区部西部・南部エリア,100.0,35.6,51.0,7.8,3.6,0.2,1.8
地域別市郡部（計）,619,147,345,99,5,19,4
地域別市郡部（計）,100.0,23.7,55.7,16.0,0.8,3.1,0.6
地域別多摩東部エリア,235,59,156,19,-,-,1
地域別多摩東部エリア,100.0,25.1,66.4,8.1,-,-,0.4
地域別多摩中央部北エリア,88,24,40,23,-,-,1
地域別多摩中央部北エリア,100.0,27.3,45.5,26.1,-,-,1.1
地域別多摩中央部南エリア,261,62,125,49,5,19,1
地域別多摩中央部南エリア,100.0,23.8,47.9,18.8,1.9,7.3,0.4
地域別多摩西部エリア,35,2,24,8,-,-,1
地域別多摩西部エリア,100.0,5.7,68.6,22.9,-,-,2.9
選挙への関心度別関心があった（計）,1170,392,599,124,28,22,5
選挙への関心度別関心があった（計）,100.0,33.5,51.2,10.6,2.4,1.9,0.4
選挙への関心度別関心があった,636,223,321,66,11,13,2
選挙への関心度別関心があった,100.0,35.1,50.5,10.4,1.7,2.0,0.3
選挙への関心度別やや関心があった,534,169,278,58,17,9,3
選挙への関心度別やや関心があった,100.0,31.6,52.1,10.9,3.2,1.7,0.6
選挙への関心度別関心がなかった（計）,533,153,309,50,11,-,10
選挙への関心度別関心がなかった（計）,100.0,28.7,58.0,9.4,2.1,-,1.9
選挙への関心度別あまり関心がなかった,316,89,187,29,8,-,3
選挙への関心度別あまり関心がなかった,100.0,28.2,59.2,9.2,2.5,-,0.9
選挙への関心度別関心がなかった,217,64,122,21,3,-,7
選挙への関心度別関心がなかった,100.0,29.5,56.2,9.7,1.4,-,3.2
選挙への関心度別どちらともいえない,298,87,149,45,11,4,2
選挙への関心度別どちらともいえない,100.0,29.2,50.0,15.1,3.7,1.3,0.7
選挙への関心度別わからない、答えたくない,10,4,3,2,-,-,1
選挙への関心度別わからない、答えたくない,100.0,40.0,30.0,20.0,-,-,10.0
投票への意識別必ず投票するべき,609,233,296,62,5,9,4
投票への意識別必ず投票するべき,100.0,38.3,48.6,10.2,0.8,1.5,0.7
投票への意識別可能な限り投票するべき,845,233,476,98,24,13,1
投票への意識別可能な限り投票するべき,100.0,27.6,56.3,11.6,2.8,1.5,0.1
投票への意識別投票するのもしないのも自由,473,138,250,54,15,4,12
投票への意識別投票するのもしないのも自由,100.0,29.2,52.9,11.4,3.2,0.8,2.5
投票への意識別その他,8,2,5,-,-,-,1
投票への意識別その他,100.0,25.0,62.5,-,-,-,12.5
投票への意識別わからない,62,21,30,6,5,-,-
投票への意識別わからない,100.0,33.9,48.4,9.7,8.1,-,-
投票への参加状況別投票した（計）,999,388,467,101,19,19,5
投票への参加状況別投票した（計）,100.0,38.8,46.7,10.1,1.9,1.9,0.5
投票への参加状況別投票日（２月９日）に投票した,827,336,387,71,14,14,5
投票への参加状況別投票日（２月１０日）に投票した,100.0,40.6,46.8,8.6,1.7,1.7,0.6
投票への参加状況別期日前投票（又は不在者投票等）をした,172,52,80,30,5,5,-
投票への参加状況別期日前投票（又は不在者投票等）をした,100.0,30.2,46.5,17.4,2.9,2.9,-
投票への参加状況別投票しなかった,963,237,573,113,23,6,11
投票への参加状況別投票しなかった,100.0,24.6,59.5,11.7,2.4,0.6,1.1
投票への参加状況別答えたくない,42,8,19,6,8,-,1
投票への参加状況別答えたくない,100.0,19.0,45.2,14.3,19.0,-,2.4
ネット投票の認知度別知っている,1292,411,707,131,15,23,4
ネット投票の認知度別知っている,100.0,31.8,54.8,10.1,1.2,1.8,0.3
ネット投票の認知度別知らなかった,645,202,320,74,34,3,12
ネット投票の認知度別知らなかった,100.0,31.3,49.6,11.5,5.3,0.5,1.9
インターネットの利用有無別インターネットを利用している,1176,365,637,113,37,15,9
インターネットの利用有無別インターネットを利用している,100.0,31.0,54.2,9.6,3.1,1.3,0.8
インターネットの利用有無別インターネットを利用していない,832,270,422,107,13,11,9
インターネットの利用有無別インターネットを利用していない,100.0,32.5,50.7,12.9,1.6,1.3,1.1
新聞の定期購読別定期購読している,1206,383,636,141,17,21,8
新聞の定期購読別定期購読している,100.0,31.8,52.7,11.7,1.4,1.7,0.7
新聞の定期購読別定期購読していない,796,251,419,79,33,4,10
新聞の定期購読別定期購読していない,100.0,31.5,52.6,9.9,4.1,0.5,1.3
