,調査数,1回のみ,2～3回,4回以上,わからない,無回答
子供の有無別小・中・高校生（％）,100.0,28.6,57.1,-,14.3,-
子供の有無別大学生・大学院生・短大生・専門学校生実数,1,-,1,-,-,-
子供の有無別大学生・大学院生・短大生・専門学校生（％）,100.0,-,100.0,-,-,-
子供の有無別学校教育終了実数,7,3,2,-,1,1
子供の有無別学校教育終了（％）,100.0,42.9,28.6,-,14.3,14.3
子供の有無別その他実数,-,-,-,-,-,-
子供の有無別その他（％）,-,-,-,-,-,-
職業別自営業（計）実数,2,1,-,1,-,-
職業別自営業（計）（％）,100.0,50.0,-,50.0,-,-
職業別農林漁業実数,-,-,-,-,-,-
職業別農林漁業（％）,-,-,-,-,-,-
職業別商工・サービス業実数,1,1,-,-,-,-
職業別商工・サービス業（％）,100.0,100.0,-,-,-,-
職業別その他自由業実数,1,-,-,1,-,-
職業別その他自由業（％）,100.0,-,-,100.0,-,-
職業別お勤め（計）実数,25,7,16,1,1,-
職業別お勤め（計）（％）,100.0,28.0,64.0,4.0,4.0,-
職業別経営・管理職実数,2,2,-,-,-,-
職業別経営・管理職（％）,100.0,100.0,-,-,-,-
職業別専門職・技術職実数,10,2,6,1,1,-
職業別専門職・技術職（％）,100.0,20.0,60.0,10.0,10.0,-
職業別事務職実数,10,3,7,-,-,-
職業別事務職（％）,100.0,30.0,70.0,-,-,-
職業別労務職・技能職実数,1,-,1,-,-,-
職業別労務職・技能職（％）,100.0,-,100.0,-,-,-
職業別販売・サービス職実数,2,-,2,-,-,-
職業別販売・サービス職（％）,100.0,-,100.0,-,-,-
職業別その他（計）実数,10,5,3,-,1,1
職業別その他（計）（％）,100.0,50.0,30.0,-,10.0,10.0
職業別生徒・学生実数,1,-,1,-,-,-
職業別生徒・学生（％）,100.0,-,100.0,-,-,-
職業別専業主婦（夫）実数,6,4,1,-,1,-
職業別専業主婦（夫）（％）,100.0,66.7,16.7,-,16.7,-
職業別その他実数,-,-,-,-,-,-
職業別その他（％）,-,-,-,-,-,-
職業別無職（年金受給者含む）実数,3,1,1,-,-,1
職業別無職（年金受給者含む）（％）,100.0,33.3,33.3,-,-,33.3
投票所までの時間別５分以内実数,18,6,10,1,1,-
投票所までの時間別５分以内（％）,100.0,33.3,55.6,5.6,5.6,-
投票所までの時間別10分以内実数,14,4,8,1,1,-
投票所までの時間別10分以内（％）,100.0,28.6,57.1,7.1,7.1,-
投票所までの時間別20分以内実数,4,3,1,-,-,-
投票所までの時間別20分以内（％）,100.0,75.0,25.0,-,-,-
投票所までの時間別30分以内実数,1,-,-,-,-,1
投票所までの時間別30分以内（％）,100.0,-,-,-,-,100.0
投票所までの時間別30分を超える実数,-,-,-,-,-,-
投票所までの時間別30分を超える（％）,-,-,-,-,-,-
投票所までの時間別わからない実数,-,-,-,-,-,-
投票所までの時間別わからない（％）,-,-,-,-,-,-
地域別区部（計）実数,30,10,16,2,1,1
地域別区部（計）（％）,100.0,33.3,53.3,6.7,3.3,3.3
地域別センターコア実数,9,4,3,1,1,-
地域別センターコア（％）,100.0,44.4,33.3,11.1,11.1,-
地域別区部東部・北部エリア実数,10,3,7,-,-,-
地域別区部東部・北部エリア（％）,100.0,30.0,70.0,-,-,-
地域別区部西部・南部エリア実数,11,3,6,1,-,1
地域別区部西部・南部エリア（％）,100.0,27.3,54.5,9.1,-,9.1
地域別市郡部（計）実数,7,3,3,-,1,-
地域別市郡部（計）（％）,100.0,42.9,42.9,-,14.3,-
地域別多摩東部エリア実数,4,2,2,-,-,-
地域別多摩東部エリア（％）,100.0,50.0,50.0,-,-,-
地域別多摩中央部北エリア実数,-,-,-,-,-,-
地域別多摩中央部北エリア（％）,-,-,-,-,-,-
地域別多摩中央部南エリア実数,3,1,1,-,1,-
地域別多摩中央部南エリア（％）,100.0,33.3,33.3,-,33.3,-
地域別多摩西部エリア実数,-,-,-,-,-,-
地域別多摩西部エリア（％）,-,-,-,-,-,-
選挙への関心度別関心があった（計）実数,29,10,14,2,2,1
選挙への関心度別関心があった（計）（％）,100.0,34.5,48.3,6.9,6.9,3.4
選挙への関心度別関心があった実数,24,9,11,2,2,-
選挙への関心度別関心があった（％）,100.0,37.5,45.8,8.3,8.3,-
選挙への関心度別やや関心があった実数,5,1,3,-,-,1
選挙への関心度別やや関心があった（％）,100.0,20.0,60.0,-,-,20.0
選挙への関心度別関心がなかった（計）実数,3,2,1,-,-,-
選挙への関心度別関心がなかった（計）（％）,100.0,66.7,33.3,-,-,-
選挙への関心度別あまり関心がなかった実数,5,1,4,-,-,-
選挙への関心度別あまり関心がなかった（％）,100.0,20.0,80.0,-,-,-
選挙への関心度別関心がなかった実数,4,1,3,-,-,-
選挙への関心度別関心がなかった（％）,100.0,25.0,75.0,-,-,-
選挙への関心度別どちらともいえない実数,1,-,1,-,-,-
選挙への関心度別どちらともいえない（％）,100.0,-,100.0,-,-,-
選挙への関心度別わからない実数,-,-,-,-,-,-
選挙への関心度別わからない（％）,-,-,-,-,-,-
投票への意識別投票するべき（計）実数,34,12,18,2,1,1
投票への意識別投票するべき（計）（％）,100.0,35.3,52.9,5.9,2.9,2.9
投票への意識別必ず投票するべき実数,23,8,11,2,1,1
投票への意識別必ず投票するべき（％）,100.0,34.8,47.8,8.7,4.3,4.3
投票への意識別可能な限り投票するべき実数,11,4,7,-,-,-
投票への意識別可能な限り投票するべき（％）,100.0,36.4,63.6,-,-,-
投票への意識別投票するのもしないのも自由実数,3,1,1,-,1,-
投票への意識別投票するのもしないのも自由（％）,100.0,33.3,33.3,-,33.3,-
投票への意識別その他実数,-,-,-,-,-,-
投票への意識別その他（％）,-,-,-,-,-,-
投票への意識別わからない実数,-,-,-,-,-,-
投票への意識別わからない（％）,-,-,-,-,-,-
投票への参加状況別投票した（計）実数,34,13,17,2,2,-
投票への参加状況別投票した（計）（％）,100.0,38.2,50.0,5.9,5.9,-
投票への参加状況別投票日（12月14日）に投票した実数,24,8,12,2,2,-
投票への参加状況別投票日（12月14日）に投票した（％）,100.0,33.3,50.0,8.3,8.3,-
投票への参加状況別期日前投票（又は不在者投票等）をした実数,10,5,5,-,-,-
投票への参加状況別期日前投票（又は不在者投票等）をした（％）,100.0,50.0,50.0,-,-,-
投票への参加状況別投票しなかった実数,3,-,2,-,-,1
投票への参加状況別投票しなかった（％）,100.0,-,66.7,-,-,33.3
投票への参加状況別答えたくない実数,-,-,-,-,-,-
投票への参加状況別答えたくない（％）,-,-,-,-,-,-
新聞の定期購読定期購読している実数,16,7,8,-,-,1
新聞の定期購読定期購読している（％）,100.0,43.8,50.0,-,-,6.3
新聞の定期購読定期購読していない実数,21,6,11,2,2,-
新聞の定期購読定期購読していない（％）,100.0,28.6,52.4,9.5,9.5,-
インターネットの利用有無利用している実数,34,12,19,2,1,-
インターネットの利用有無利用している（％）,100.0,35.3,55.9,5.9,2.9,-
インターネットの利用有無利用していない実数,3,1,-,-,1,1
インターネットの利用有無利用していない（％）,100.0,33.3,-,-,33.3,33.3
ネット選挙の認知度別知っている実数,30,8,18,2,2,-
ネット選挙の認知度別知っている（％）,100.0,26.7,60.0,6.7,6.7,-
ネット選挙の認知度別知らなかった実数,5,4,1,-,-,-
ネット選挙の認知度別知らなかった（％）,100.0,80.0,20.0,-,-,-
