,調査数,日常的に使っている,時々使っている,ほとんど利用しない,無回答
職業別その他自由業（％）,100.0,90.9,9.1,-,-
職業別お勤め（計）実数,675,605,64,5,1
職業別お勤め（計）（％）,100.0,89.6,9.5,0.7,0.1
職業別経営・管理職実数,69,68,1,-,-
職業別経営・管理職（％）,100.0,98.6,1.4,-,-
職業別専門職・技術職実数,192,170,21,-,1
職業別専門職・技術職（％）,100.0,88.5,10.9,-,0.5
職業別事務職実数,206,195,11,-,-
職業別事務職（％）,100.0,94.7,5.3,-,-
職業別労務職・技能職実数,55,47,6,2,-
職業別労務職・技能職（％）,100.0,85.5,10.9,3.6,-
職業別販売・サービス職実数,153,125,25,3,-
職業別販売・サービス職（％）,100.0,81.7,16.3,2.0,-
職業別その他（計）実数,224,174,46,3,1
職業別その他（計）（％）,100.0,77.7,20.5,1.3,0.4
職業別生徒・学生実数,33,31,2,-,-
職業別生徒・学生（％）,100.0,93.9,6.1,-,-
職業別専業主婦（夫）実数,124,90,32,1,1
職業別専業主婦（夫）（％）,100.0,72.6,25.8,0.8,0.8
職業別その他実数,10,7,3,-,-
職業別その他（％）,100.0,70.0,30.0,-,-
職業別無職（年金受給者含む）実数,57,46,9,2,-
職業別無職（年金受給者含む）（％）,100.0,80.7,15.8,3.5,-
投票所までの時間別５分以内実数,417,360,52,4,1
投票所までの時間別５分以内（％）,100.0,86.3,12.5,1.0,0.2
投票所までの時間別10分以内実数,394,343,47,3,1
投票所までの時間別10分以内（％）,100.0,87.1,11.9,0.8,0.3
投票所までの時間別20分以内実数,125,111,14,-,-
投票所までの時間別20分以内（％）,100.0,88.8,11.2,-,-
投票所までの時間別30分以内実数,14,12,2,-,-
投票所までの時間別30分以内（％）,100.0,85.7,14.3,-,-
投票所までの時間別30分を超える実数,4,4,-,-,-
投票所までの時間別30分を超える（％）,100.0,100.0,-,-,-
投票所までの時間別わからない実数,29,23,5,1,-
投票所までの時間別わからない（％）,100.0,79.3,17.2,3.4,-
地域別区部（計）実数,664,583,73,6,2
地域別区部（計）（％）,100.0,87.8,11.0,0.9,0.3
地域別センターコア実数,174,156,16,2,-
地域別センターコア（％）,100.0,89.7,9.2,1.1,-
地域別区部東部・北部エリア実数,194,168,23,2,1
地域別区部東部・北部エリア（％）,100.0,86.6,11.9,1.0,0.5
地域別区部西部・南部エリア実数,296,259,34,2,1
地域別区部西部・南部エリア（％）,100.0,87.5,11.5,0.7,0.3
地域別市郡部（計）実数,320,270,47,3,-
地域別市郡部（計）（％）,100.0,84.4,14.7,0.9,-
地域別多摩東部エリア実数,120,97,21,2,-
地域別多摩東部エリア（％）,100.0,80.8,17.5,1.7,-
地域別多摩中央部北エリア実数,38,36,1,1,-
地域別多摩中央部北エリア（％）,100.0,94.7,2.6,2.6,-
地域別多摩中央部南エリア実数,146,125,21,-,-
地域別多摩中央部南エリア（％）,100.0,85.6,14.4,-,-
地域別多摩西部エリア実数,16,12,4,-,-
地域別多摩西部エリア（％）,100.0,75.0,25.0,-,-
選挙への関心度別関心があった（計）実数,581,515,60,5,1
選挙への関心度別関心があった（計）（％）,100.0,88.6,10.3,0.9,0.2
選挙への関心度別関心があった実数,322,284,35,3,-
選挙への関心度別関心があった（％）,100.0,88.2,10.9,0.9,-
選挙への関心度別やや関心があった実数,259,231,25,2,1
選挙への関心度別やや関心があった（％）,100.0,89.2,9.7,0.8,0.4
選挙への関心度別関心がなかった（計）実数,106,83,22,1,-
選挙への関心度別関心がなかった（計）（％）,100.0,78.3,20.8,0.9,-
選挙への関心度別あまり関心がなかった実数,296,254,38,3,1
選挙への関心度別あまり関心がなかった（％）,100.0,85.8,12.8,1.0,0.3
選挙への関心度別関心がなかった実数,197,171,23,2,1
選挙への関心度別関心がなかった（％）,100.0,86.8,11.7,1.0,0.5
選挙への関心度別どちらともいえない実数,99,83,15,1,-
選挙への関心度別どちらともいえない（％）,100.0,83.8,15.2,1.0,-
選挙への関心度別わからない実数,1,1,-,-,-
選挙への関心度別わからない（％）,100.0,100.0,-,-,-
投票への意識別投票するべき（計）実数,800,708,83,7,2
投票への意識別投票するべき（計）（％）,100.0,88.5,10.4,0.9,0.3
投票への意識別必ず投票するべき実数,347,311,34,2,-
投票への意識別必ず投票するべき（％）,100.0,89.6,9.8,0.6,-
投票への意識別可能な限り投票するべき実数,453,397,49,5,2
投票への意識別可能な限り投票するべき（％）,100.0,87.6,10.8,1.1,0.4
投票への意識別投票するのもしないのも自由実数,174,137,35,2,-
投票への意識別投票するのもしないのも自由（％）,100.0,78.7,20.1,1.1,-
投票への意識別その他実数,6,5,1,-,-
投票への意識別その他（％）,100.0,83.3,16.7,-,-
投票への意識別わからない実数,4,3,1,-,-
投票への意識別わからない（％）,100.0,75.0,25.0,-,-
投票への参加状況別投票した（計）実数,660,583,71,5,1
投票への参加状況別投票した（計）（％）,100.0,88.3,10.8,0.8,0.2
投票への参加状況別投票日（12月14日）に投票した実数,518,457,56,4,1
投票への参加状況別投票日（12月14日）に投票した（％）,100.0,88.2,10.8,0.8,0.2
投票への参加状況別期日前投票（又は不在者投票等）をした実数,142,126,15,1,-
投票への参加状況別期日前投票（又は不在者投票等）をした（％）,100.0,88.7,10.6,0.7,-
投票への参加状況別投票しなかった実数,313,261,47,4,1
投票への参加状況別投票しなかった（％）,100.0,83.4,15.0,1.3,0.3
投票への参加状況別答えたくない実数,11,9,2,-,-
投票への参加状況別答えたくない（％）,100.0,81.8,18.2,-,-
新聞の定期購読定期購読している実数,518,434,76,7,1
新聞の定期購読定期購読している（％）,100.0,83.8,14.7,1.4,0.2
新聞の定期購読定期購読していない実数,465,418,44,2,1
新聞の定期購読定期購読していない（％）,100.0,89.9,9.5,0.4,0.2
インターネットの利用有無利用している実数,984,853,120,9,2
インターネットの利用有無利用している（％）,100.0,86.7,12.2,0.9,0.2
インターネットの利用有無利用していない実数,-,-,-,-,-
インターネットの利用有無利用していない（％）,-,-,-,-,-
ネット選挙の認知度別知っている実数,622,548,70,3,1
ネット選挙の認知度別知っている（％）,100.0,88.1,11.3,0.5,0.2
ネット選挙の認知度別知らなかった実数,361,305,50,5,1
ネット選挙の認知度別知らなかった（％）,100.0,84.5,13.9,1.4,0.3
