,参議院議員選挙/調査数,参議院議員選挙/投票するべき（計）,参議院議員選挙/必ず投票するべき,参議院議員選挙/可能な限り投票するべき,参議院議員選挙/投票するのもしないのも自由,参議院議員選挙/投票その他,参議院議員選挙/投票わからない,東京都知事選挙/調査数,東京都知事選挙/投票するべき（計）,東京都知事選挙/必ず投票するべき,東京都知事選挙/可能な限り投票するべき,東京都知事選挙/投票するのもしないのも自由,東京都知事選挙/投票その他,東京都知事選挙/投票わからない
性/年齢別男性18歳,1,1,-,1,-,-,-,1,1,-,1,-,-,-
性/年齢別男性18歳,100.0,100.0,-,100.0,-,-,-,100.0,100,-,100.0,-,-,-
性/年齢別男性19歳,12,8,-,8,4,-,-,12,8,-,8,4,-,-
性/年齢別男性19歳,100.0,66.7,-,66.7,33.3,-,-,100.0,66.7,-,66.7,33.3,-,-
性/年齢別男性20歳代,83,33,8,25,44,-,6,83,33,8,25,44,-,6
性/年齢別男性20歳代,100.0,39.8,9.6,30.1,53.0,-,7.2,100.0,39.8,9.6,30.1,53.0,-,7.2
性/年齢別男性30歳代,122,92,33,59,30,-,-,122,92,35,57,30,-,-
性/年齢別男性30歳代,100.0,75.4,27.0,48.4,24.6,-,-,100.0,75.4,28.7,46.7,24.6,-,-
性/年齢別男性40歳代,170,141,53,88,27,-,2,170,142,55,87,26,-,2
性/年齢別男性40歳代,100.0,82.9,31.2,51.8,15.9,-,1.2,100.0,83.5,32.4,51.2,15.3,-,1.2
性/年齢別男性50歳代,152,130,63,67,18,-,4,152,132,65,67,16,-,4
性/年齢別男性50歳代,100.0,85.5,41.4,44.1,11.8,-,2.6,100.0,86.8,42.8,44.1,10.5,-,2.6
性/年齢別男性60歳代,157,144,90,54,11,-,2,157,144,92,52,11,-,2
性/年齢別男性60歳代,100.0,91.7,57.3,34.4,7.0,-,1.3,100.0,91.7,58.6,33.1,7.0,-,1.3
性/年齢別男性70歳代,107,95,59,36,10,1,1,107,95,60,35,10,1,1
性/年齢別男性70歳代,100.0,88.8,55.1,33.6,9.3,0.9,0.9,100.0,88.8,56.1,32.7,9.3,0.9,0.9
性/年齢別男性80歳以上,48,38,23,15,6,-,4,48,38,23,15,6,-,4
性/年齢別男性80歳以上,100.0,79.2,47.9,31.3,12.5,-,8.3,100.0,79.2,47.9,31.3,12.5,-,8.3
性/年齢別女性18歳,6,2,1,1,2,-,2,6,2,1,1,2,-,2
性/年齢別女性18歳,100.0,33.3,16.7,16.7,33.3,-,33.3,100.0,33.3,16.7,16.7,33.3,-,33.3
性/年齢別女性19歳,8,2,-,2,4,-,2,8,2,-,2,4,-,2
性/年齢別女性19歳,100.0,25.0,-,25.0,50.0,-,25.0,100.0,25.0,-,25.0,50.0,-,25.0
性/年齢別女性20歳代,81,40,11,29,35,-,6,81,40,12,28,35,-,6
性/年齢別女性20歳代,100.0,49.4,13.6,35.8,43.2,-,7.4,100.0,49.4,14.8,34.6,43.2,-,7.4
性/年齢別女性30歳代,135,101,21,80,34,-,-,135,102,23,79,33,-,-
性/年齢別女性30歳代,100.0,74.8,15.6,59.3,25.2,-,-,100.0,75.6,17.0,58.5,24.4,-,-
性/年齢別女性40歳代,228,181,42,139,44,-,3,228,183,45,138,43,-,2
性/年齢別女性40歳代,100.0,79.4,18.4,61.0,19.3,-,1.3,100.0,80.3,19.7,60.5,18.9,-,0.9
性/年齢別女性50歳代,159,134,49,85,25,-,-,159,134,49,85,25,-,-
性/年齢別女性50歳代,100.0,84.3,30.8,53.5,15.7,-,-,100.0,84.3,30.8,53.5,15.7,-,-
性/年齢別女性60歳代,180,157,71,86,16,-,7,180,158,73,85,14,-,8
性/年齢別女性60歳代,100.0,87.2,39.4,47.8,8.9,-,3.9,100.0,87.8,40.6,47.2,7.8,-,4.4
性/年齢別女性70歳代,124,97,50,47,24,-,3,124,99,52,47,22,-,3
性/年齢別女性70歳代,100.0,78.2,40.3,37.9,19.4,-,2.4,100.0,79.8,41.9,37.9,17.7,-,2.4
性/年齢別女性80歳以上,50,38,22,16,10,-,2,50,38,22,16,10,-,2
性/年齢別女性80歳以上,100.0,76.0,44.0,32.0,20.0,-,4.0,100.0,76.0,44.0,32.0,20.0,-,4.0
未・既婚別未婚,344,194,57,137,131,-,19,344,195,58,137,130,-,19
未・既婚別未婚,100.0,56.4,16.6,39.8,38.1,-,5.5,100.0,56.7,16.9,39.8,37.8,-,5.5
未・既婚別既婚（死別・離別を含む）,1479,1240,539,701,213,1,25,1479,1248,557,691,205,1,25
未・既婚別既婚（死別・離別を含む）,100.0,83.8,36.4,47.4,14.4,0.1,1.7,100.0,84.4,37.7,46.7,13.9,0.1,1.7
子供の有無別子供はいない,404,240,83,157,143,-,21,404,241,84,157,142,-,21
子供の有無別子供はいない,100.0,59.4,20.5,38.9,35.4,-,5.2,100.0,59.7,20.8,38.9,35.1,-,5.2
子供の有無別未就学（～６歳）,114,93,32,61,21,-,-,114,93,34,59,21,-,-
子供の有無別未就学（～６歳）,100.0,81.6,28.1,53.5,18.4,-,-,100.0,81.6,29.8,51.8,18.4,-,-
子供の有無別小・中・高校生,394,322,99,223,69,-,3,394,326,105,221,66,-,2
子供の有無別小・中・高校生,100.0,81.7,25.1,56.6,17.5,-,0.8,100.0,82.7,26.6,56.1,16.8,-,0.5
子供の有無別大学生・大学院生・短大生・専門学校生,144,125,46,79,17,-,2,144,126,48,78,16,-,2
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,86.8,31.9,54.9,11.8,-,1.4,100.0,87.5,33.3,54.2,11.1,-,1.4
子供の有無別学校教育終了,791,666,330,336,105,1,19,791,669,338,331,101,1,20
子供の有無別学校教育終了,100.0,84.2,41.7,42.5,13.3,0.1,2.4,100.0,84.6,42.7,41.8,12.8,0.1,2.5
子供の有無別その他,60,56,36,20,4,-,-,60,56,37,19,4,-,-
子供の有無別その他,100.0,93.3,60.0,33.3,6.7,-,-,100.0,93.3,61.7,31.7,6.7,-,-
職業別自営業（計）,133,116,61,55,16,,1,133,117,62,55,15,,1
職業別自営業（計）,100.0,87.2,45.9,41.4,12.0,,0.8,100.0,88.0,46.6,41.4,11.3,,0.8
職業別農林漁業,1,,-,-,1,-,-,1,1,1,-,-,-,-
職業別農林漁業,100.0,,-,-,100.0,-,-,100.0,100,100.0,-,-,-,-
職業別商工・サービス業,42,36,24,12,6,-,-,42,36,23,13,6,-,-
職業別商工・サービス業,100.0,85.7,57.1,28.6,14.3,-,-,100.0,85.7,54.8,31.0,14.3,-,-
職業別その他自由業,90,80,37,43,9,-,1,90,80,38,42,9,-,1
職業別その他自由業,100.0,88.9,41.1,47.8,10.0,-,1.1,100.0,88.9,42.2,46.7,10.0,-,1.1
職業別お勤め（計）,821,619,215,404,184,,18,821,623,226,397,181,,17
職業別お勤め（計）,100.0,75.4,26.2,49.2,22.4,,2.2,100.0,75.9,27.5,48.4,22.0,,2.1
職業別経営・管理職,74,68,37,31,5,-,1,74,68,38,30,5,-,1
職業別経営・管理職,100.0,91.9,50.0,41.9,6.8,-,1.4,100.0,91.9,51.4,40.5,6.8,-,1.4
職業別専門職・技術職,196,161,62,99,32,-,3,196,162,65,97,31,-,3
職業別専門職・技術職,100.0,82.1,31.6,50.5,16.3,-,1.5,100.0,82.7,33.2,49.5,15.8,-,1.5
職業別事務職,221,169,58,111,48,-,4,221,170,62,108,47,-,4
職業別事務職,100.0,76.5,26.2,50.2,21.7,-,1.8,100.0,76.9,28.1,48.9,21.3,-,1.8
職業別労務職・技能職,61,47,19,28,11,-,3,61,47,20,27,11,-,3
職業別労務職・技能職,100.0,77.0,31.1,45.9,18.0,-,4.9,100.0,77.0,32.8,44.3,18.0,-,4.9
職業別販売・サービス職,269,174,39,135,88,-,7,269,176,41,135,87,-,6
職業別販売・サービス職,100.0,64.7,14.5,50.2,32.7,-,2.6,100.0,65.4,15.2,50.2,32.3,-,2.2
職業別その他（計）,869,699,320,379,144,1,25,869,703,327,376,139,1,26
職業別その他（計）,100.0,80.4,36.8,43.6,16.6,0.1,2.9,100.0,80.9,37.6,43.3,16.0,0.1,3.0
職業別生徒・学生,47,19,5,14,23,-,5,47,19,5,14,23,-,5
職業別生徒・学生,100.0,40.4,10.6,29.8,48.9,-,10.6,100.0,40.4,10.6,29.8,48.9,-,10.6
職業別専業主婦（夫）,395,337,126,211,54,-,4,395,339,131,208,51,-,5
職業別専業主婦（夫）,100.0,85.3,31.9,53.4,13.7,-,1.0,100.0,85.8,33.2,52.7,12.9,-,1.3
職業別その他,25,17,8,9,7,-,1,25,17,8,9,7,-,1
職業別その他,100.0,68.0,32.0,36.0,28.0,-,4.0,100.0,68.0,32.0,36.0,28.0,-,4.0
職業別無職（年金受給者含む）,402,326,181,145,60,1,15,402,328,183,145,58,1,15
職業別無職（年金受給者含む）,100.0,81.1,45.0,36.1,14.9,0.2,3.7,100.0,81.6,45.5,36.1,14.4,0.2,3.7
投票所までの時間別５分以内,433,356,159,197,67,-,10,433,357,164,193,66,-,10
投票所までの時間別５分以内,100.0,82.2,36.7,45.5,15.5,-,2.3,100.0,82.4,37.9,44.6,15.2,-,2.3
投票所までの時間別10分以内,1067,825,337,488,224,-,18,1067,832,348,484,217,-,18
投票所までの時間別10分以内,100.0,77.3,31.6,45.7,21.0,-,1.7,100.0,78.0,32.6,45.4,20.3,-,1.7
投票所までの時間別20分以内,288,237,94,143,43,1,7,288,238,97,141,42,1,7
投票所までの時間別20分以内,100.0,82.3,32.6,49.7,14.9,0.3,2.4,100.0,82.6,33.7,49.0,14.6,0.3,2.4
投票所までの時間別30分以内,21,12,4,8,6,-,3,21,12,4,8,6,-,3
投票所までの時間別30分以内,100.0,57.1,19.0,38.1,28.6,-,14.3,100.0,57.1,19.0,38.1,28.6,-,14.3
投票所までの時間別30分を超える,3,2,2,-,1,-,-,3,2,2,-,1,-,-
投票所までの時間別30分を超える,100.0,66.7,66.7,-,33.3,-,-,100.0,66.7,66.7,-,33.3,-,-
投票所までの時間別わからない,11,2,-,2,3,-,6,11,2,-,2,3,-,6
投票所までの時間別わからない,100.0,18.2,-,18.2,27.3,-,54.5,100.0,18.2,-,18.2,27.3,-,54.5
地域別区部（計）,1381,1076,421,655,274,-,31,1381,1084,440,644,267,-,30
地域別区部（計）,100.0,77.9,30.5,47.4,19.8,-,2.2,100.0,78.5,31.9,46.6,19.3,-,2.2
地域別センターコア,388,300,103,197,79,-,9,388,300,104,196,79,-,9
地域別センターコア,100.0,77.3,26.5,50.8,20.4,-,2.3,100.0,77.3,26.8,50.5,20.4,-,2.3
地域別区部東部・北部エリア,398,313,149,164,76,-,9,398,318,156,162,71,-,9
地域別区部東部・北部エリア,100.0,78.6,37.4,41.2,19.1,-,2.3,100.0,79.9,39.2,40.7,17.8,-,2.3
地域別区部西部・南部エリア,595,463,169,294,119,-,13,595,466,180,286,117,-,12
地域別区部西部・南部エリア,100.0,77.8,28.4,49.4,20.0,-,2.2,100.0,78.3,30.3,48.1,19.7,-,2.0
地域別市郡部（計）,442,358,175,183,70,1,13,442,359,175,184,68,1,14
地域別市郡部（計）,100.0,81.0,39.6,41.4,15.8,0.2,2.9,100.0,81.2,39.6,41.6,15.4,0.2,3.2
地域別多摩東部エリア,132,105,56,49,24,-,3,132,106,56,50,23,-,3
地域別多摩東部エリア,100.0,79.5,42.4,37.1,18.2,-,2.3,100.0,80.3,42.4,37.9,17.4,-,2.3
地域別多摩中央部北エリア,70,56,29,27,12,-,2,70,56,29,27,12,-,2
地域別多摩中央部北エリア,100.0,80.0,41.4,38.6,17.1,-,2.9,100.0,80.0,41.4,38.6,17.1,-,2.9
地域別多摩中央部南エリア,201,169,68,101,30,-,2,201,169,69,100,30,-,2
地域別多摩中央部南エリア,100.0,84.1,33.8,50.2,14.9,-,1.0,100.0,84.1,34.3,49.8,14.9,-,1.0
地域別多摩西部エリア,39,28,22,6,4,1,6,39,28,21,7,3,1,7
地域別多摩西部エリア,100.0,71.8,56.4,15.4,10.3,2.6,15.4,100.0,71.8,53.8,17.9,7.7,2.6,17.9
選挙への関心度別関心があった（計）,1283,1235,567,668,45,,3,1424,1342,606,736,77,,5
選挙への関心度別関心があった（計）,100.0,96.3,44.2,52.1,3.5,,0.2,100.0,94.2,42.6,51.7,5.4,,0.4
選挙への関心度別関心があった,633,614,421,193,16,-,3,769,747,499,248,19,-,3
選挙への関心度別関心があった,100.0,97.0,66.5,30.5,2.5,-,0.5,100.0,97.1,64.9,32.2,2.5,-,0.4
選挙への関心度別やや関心があった,650,621,146,475,29,-,-,655,595,107,488,58,-,2
選挙への関心度別やや関心があった,100.0,95.5,22.5,73.1,4.5,-,-,100.0,90.8,16.3,74.5,8.9,-,0.3
選挙への関心度別関心がなかった（計）,227,49,12,37,154,1,23,175,22,4,18,130,1,22
選挙への関心度別関心がなかった（計）,100.0,21.6,5.3,16.3,67.8,0.4,10.1,100.0,12.6,2.3,10.3,74.3,0.6,12.6
選挙への関心度別あまり関心がなかった,125,44,10,34,77,1,3,89,19,2,17,65,1,4
選挙への関心度別あまり関心がなかった,100.0,35.2,8.0,27.2,61.6,0.8,2.4,100.0,21.3,2.2,19.1,73.0,1.1,4.5
選挙への関心度別関心がなかった,102,5,2,3,77,-,20,86,3,2,1,65,-,18
選挙への関心度別関心がなかった,100.0,4.9,2.0,2.9,75.5,-,19.6,100.0,3.5,2.3,1.2,75.6,-,20.9
選挙への関心度別どちらともいえない,298,150,17,133,139,-,9,209,79,5,74,122,-,8
選挙への関心度別どちらともいえない,100.0,50.3,5.7,44.6,46.6,-,3.0,100.0,37.8,2.4,35.4,58.4,-,3.8
選挙への関心度別わからない,15,,-,-,6,-,9,15,,-,-,6,-,9
選挙への関心度別わからない,100.0,,-,-,40.0,-,60.0,100.0,,-,-,40.0,-,60.0
投票への意識別投票するべき（計）,1434,1434,596,838,,,,1443,1443,615,828,-,-,-
投票への意識別投票するべき（計）,100.0,100.0,41.6,58.4,,,,100.0,100.0,42.6,57.4,-,-,-
投票への意識別必ず投票するべき,596,596,596,-,-,-,-,615,615,615,-,-,-,-
投票への意識別必ず投票するべき,100.0,100.0,100.0,-,-,-,-,100.0,100.0,100.0,-,-,-,-
投票への意識別可能な限り投票するべき,838,838,-,838,-,-,-,828,828,-,828,-,-,-
投票への意識別可能な限り投票するべき,100.0,100.0,-,100.0,-,-,-,100.0,100.0,-,100.0,-,-,-
投票への意識別投票するのもしないのも自由,344,,-,-,344,-,-,335,-,-,-,335,-,-
投票への意識別投票するのもしないのも自由,100.0,,-,-,100.0,-,-,100.0,-,-,-,100.0,-,-
投票への意識別その他,1,,-,-,-,1,-,1,-,-,-,-,1,-
投票への意識別その他,100.0,,-,-,-,100.0,-,100.0,-,-,-,-,100.0,-
投票への意識別わからない,44,,-,-,-,-,44,44,-,-,-,-,-,44
投票への意識別わからない,100.0,,-,-,-,-,100.0,100.0,-,-,-,-,-,100.0
投票への参加状況別投票した（計）,1435,1313,584,729,114,,8,1491,1351,607,744,132,,8
投票への参加状況別投票した（計）,100.0,91.5,40.7,50.8,7.9,,0.6,100.0,90.6,40.7,49.9,8.9,,0.5
投票への参加状況別投票日に投票した,1226,1121,496,625,98,-,7,1254,1134,508,626,112,-,8
投票への参加状況別投票日に投票した,100.0,91.4,40.5,51.0,8.0,-,0.6,100.0,90.4,40.5,49.9,8.9,-,0.6
投票への参加状況別期日前投票（又は不在者投票等）をした,209,192,88,104,16,-,1,237,217,99,118,20,-,-
投票への参加状況別期日前投票（又は不在者投票等）をした,100.0,91.9,42.1,49.8,7.7,-,0.5,100.0,91.6,41.8,49.8,8.4,-,-
投票への参加状況別投票しなかった,377,118,12,106,225,1,33,321,88,6,82,198,1,34
投票への参加状況別投票しなかった,100.0,31.3,3.2,28.1,59.7,0.3,8.8,100.0,27.4,1.9,25.5,61.7,0.3,10.6
投票への参加状況別答えたくない,11,3,-,3,5,-,3,11,4,2,2,5,-,2
投票への参加状況別答えたくない,100.0,27.3,-,27.3,45.5,-,27.3,100.0,36.4,18.2,18.2,45.5,-,18.2
新聞の定期購読別定期購読している,1240,1081,499,582,144,1,14,1240,1081,512,574,138,1,15
新聞の定期購読別定期購読している,100.0,87.2,40.2,46.9,11.6,0.1,1.1,100.0,87.6,41.3,46.3,11.1,0.1,1.2
新聞の定期購読別定期購読していない,583,353,97,256,200,-,30,583,357,103,254,197,-,29
新聞の定期購読別定期購読していない,100.0,60.5,16.6,43.9,34.3,-,5.1,100.0,61.2,17.7,43.6,33.8,-,5.0
インターネットの利用有無別インターネットを利用している,1055,814,287,527,220,-,21,1055,818,300,518,216,-,21
インターネットの利用有無別インターネットを利用している,100.0,77.2,27.2,50.0,20.9,-,2.0,100.0,77.5,28.4,49.1,20.5,-,2.0
インターネットの利用有無別インターネットを利用していない,768,620,309,311,124,1,23,768,625,315,310,119,1,23
インターネットの利用有無別インターネットを利用していない,100.0,80.7,40.2,40.5,16.1,0.1,3.0,100.0,81.4,41.0,40.4,15.5,0.1,3.0
