名称,郵便番号,住所,緯度,経度,座標系,代表電話番号
日野市選挙管理委員会,191-8686,日野市神明1-12-1,35.670496,139.395606,JGD2011,042-585-1111
東村山市選挙管理委員会,189-8501,東村山市本町1-2-3,35.754574,139.468413,JGD2011,0423-93-5111
国分寺市選挙管理委員会,185-8501,国分寺市戸倉1-6-1,35.710360,139.463207,JGD2011,0423-25-0111
国立市選挙管理委員会,186-8501,国立市富士見台2-47-1,35.683909,139.441410,JGD2011,042-576-2111
福生市選挙管理委員会,197-8501,福生市本町5,35.738654,139.326776,JGD2011,042-551-1511
狛江市選挙管理委員会,201-8585,狛江市和泉本町1-1-5,35.634901,139.578772,JGD2011,03-3430-1111
東大和市選挙管理委員会,207-8585,東大和市中央3-930,35.745371,139.426350,JGD2011,042-563-2111
清瀬市選挙管理委員会,204-8511,清瀬市中里5-842,35.786055,139.526067,JGD2011,0424-92-5111
東久留米市選挙管理委員会,203-8555,東久留米市本町3-3-1,35.757965,139.529734,JGD2011,042-470-7777
武蔵村山市選挙管理委員会,208-8501,武蔵村山市本町1-1-1,35.754859,139.387430,JGD2011,042-565-1111
多摩市選挙管理委員会,206-8666,多摩市関戸6-12-1,35.637126,139.446269,JGD2011,0423-75-8111
稲城市選挙管理委員会,206-8601,稲城市東長沼2111,35.638082,139.503756,JGD2011,0423-78-2111
羽村市選挙管理委員会,205-8601,羽村市緑ヶ丘5-1-30羽村市役所分庁舎,35.767163,139.311017,JGD2011,042-555-1111
あきる野市選挙管理委員会,197-0814,あきる野市二宮350番地あきる野市役所内,35.728894,139.294115,JGD2011,042-558-1111
西東京市選挙管理委員会,188-8666,西東京市南町5-6-13西東京市役所田無庁舎,35.725681,139.538370,JGD2011,042-464-1311
瑞穂町選挙管理委員会,190-1292,西多摩郡瑞穂町箱根ヶ崎2335,35.772033,139.353973,JGD2011,0425-57-0501
日の出町選挙管理委員会,190-0192,西多摩郡日の出町平井2780,35.742095,139.257423,JGD2011,0425-97-0511
檜原村選挙管理委員会,190-0212,西多摩郡檜原村467-1,35.726822,139.148860,JGD2011,0425-98-1011
奥多摩町選挙管理委員会,198-0212,西多摩郡奥多摩町氷川215-6,35.809523,139.096235,JGD2011,0428-83-2111
大島町役場,100-0101,東京都大島町元町1-1-14,34.750200,139.355150,JGD2011,04992-2-1443
利島村役場,100-0301,東京都利島村248,34.529142,139.281900,JGD2011,04992-9-0011
新島村役場,100-0402,東京都新島村本村1-1-1,34.377126,139.257123,JGD2011,04992-5-0240
神津島村役場,100-0601,東京都神津島村904,34.205524,139.134499,JGD2011,04992-8-0011
三宅村役場,100-1212,東京都三宅島三宅村阿古497番地,34.075968,139.479169,JGD2011,04994-5-0981
御蔵島村役場,100-1301,東京都御蔵島村字入かねが沢,33.897402,139.595862,JGD2011,04994-8-2121
八丈町役場,100-1498,東京都八丈町大賀郷2551-2,33.112735,139.789068,JGD2011,04996-2-1121
青ヶ島村役場,100-1701,東京都青ケ島村無番地,32.466714,139.763529,JGD2011,04996-9-0111
小笠原村役場,100-2101,東京都小笠原村父島字西町,27.094271,142.191871,JGD2011,04998-2-3111
