,調査数,区部（計）,センター・コア・エリア,区部東部・北部エリア,区部西部・南部エリア,市郡部（計）,多摩東部エリア,多摩中央部北エリア,多摩中央部南エリア,多摩西部エリア
職業別その他自由業（％）,100.0,71.7,18.9,20.8,32.1,28.3,9.4,1.9,17.0,-
職業別お勤め（計）実数,934,617,162,200,255,317,127,41,132,17
職業別お勤め（計）（％）,100.0,66.1,17.3,21.4,27.3,33.9,13.6,4.4,14.1,1.8
職業別経営・管理職実数,94,67,13,17,37,27,13,2,10,2
職業別経営・管理職（％）,100.0,71.3,13.8,18.1,39.4,28.7,13.8,2.1,10.6,2.1
職業別専門職・技術職実数,243,158,44,50,64,85,33,11,38,3
職業別専門職・技術職（％）,100.0,65.0,18.1,20.6,26.3,35.0,13.6,4.5,15.6,1.2
職業別事務職実数,249,183,58,46,79,66,30,8,24,4
職業別事務職（％）,100.0,73.5,23.3,18.5,31.7,26.5,12.0,3.2,9.6,1.6
職業別労務職・技能職実数,111,64,15,30,19,47,11,8,25,3
職業別労務職・技能職（％）,100.0,57.7,13.5,27.0,17.1,42.3,9.9,7.2,22.5,2.7
職業別販売・サービス職実数,237,145,32,57,56,92,40,12,35,5
職業別販売・サービス職（％）,100.0,61.2,13.5,24.1,23.6,38.8,16.9,5.1,14.8,2.1
職業別その他（計）実数,732,449,116,147,186,283,97,43,120,23
職業別その他（計）（％）,100.0,61.3,15.8,20.1,25.4,38.7,13.3,5.9,16.4,3.1
職業別生徒・学生実数,35,19,3,3,13,16,4,1,10,1
職業別生徒・学生（％）,100.0,54.3,8.6,8.6,37.1,45.7,11.4,2.9,28.6,2.9
職業別専業主婦（夫）実数,309,185,48,56,81,124,46,19,48,11
職業別専業主婦（夫）（％）,100.0,59.9,15.5,18.1,26.2,40.1,14.9,6.1,15.5,3.6
職業別その他実数,18,10,1,4,5,8,2,1,4,1
職業別その他（％）,100.0,55.6,5.6,22.2,27.8,44.4,11.1,5.6,22.2,5.6
職業別無職（年金受給者含む）実数,370,235,64,84,87,135,45,22,58,10
職業別無職（年金受給者含む）（％）,100.0,63.5,17.3,22.7,23.5,36.5,12.2,5.9,15.7,2.7
投票所までの時間別５分以内実数,712,489,140,155,194,223,88,28,96,11
投票所までの時間別５分以内（％）,100.0,68.7,19.7,21.8,27.2,31.3,12.4,3.9,13.5,1.5
投票所までの時間別10分以内実数,769,520,140,175,205,249,92,46,95,16
投票所までの時間別10分以内（％）,100.0,67.6,18.2,22.8,26.7,32.4,12.0,6.0,12.4,2.1
投票所までの時間別20分以内実数,245,122,15,36,71,123,44,8,56,15
投票所までの時間別20分以内（％）,100.0,49.8,6.1,14.7,29.0,50.2,18.0,3.3,22.9,6.1
投票所までの時間別30分以内実数,38,21,3,6,12,17,6,3,8,-
投票所までの時間別30分以内（％）,100.0,55.3,7.9,15.8,31.6,44.7,15.8,7.9,21.1,-
投票所までの時間別30分を超える実数,11,3,-,1,2,8,2,1,5,-
投票所までの時間別30分を超える（％）,100.0,27.3,-,9.1,18.2,72.7,18.2,9.1,45.5,-
投票所までの時間別わからない実数,48,32,15,8,9,16,5,3,7,1
投票所までの時間別わからない（％）,100.0,66.7,31.3,16.7,18.8,33.3,10.4,6.3,14.6,2.1
地域別区部（計）実数,1189,1189,314,382,493,-,-,-,-,-
地域別区部（計）（％）,100.0,100.0,26.4,32.1,41.5,-,-,-,-,-
地域別センターコア実数,314,314,314,-,-,-,-,-,-,-
地域別センターコア（％）,100.0,100.0,100.0,-,-,-,-,-,-,-
地域別区部東部・北部エリア実数,382,382,-,382,-,-,-,-,-,-
地域別区部東部・北部エリア（％）,100.0,100.0,-,100.0,-,-,-,-,-,-
地域別区部西部・南部エリア実数,493,493,-,-,493,-,-,-,-,-
地域別区部西部・南部エリア（％）,100.0,100.0,-,-,100.0,-,-,-,-,-
地域別市郡部（計）実数,638,-,-,-,-,638,239,89,267,43
地域別市郡部（計）（％）,100.0,-,-,-,-,100.0,37.5,13.9,41.8,6.7
地域別多摩東部エリア実数,239,-,-,-,-,239,239,-,-,-
地域別多摩東部エリア（％）,100.0,-,-,-,-,100.0,100.0,-,-,-
地域別多摩中央部北エリア実数,89,-,-,-,-,89,-,89,-,-
地域別多摩中央部北エリア（％）,100.0,-,-,-,-,100.0,-,100.0,-,-
地域別多摩中央部南エリア実数,267,-,-,-,-,267,-,-,267,-
地域別多摩中央部南エリア（％）,100.0,-,-,-,-,100.0,-,-,100.0,-
地域別多摩西部エリア実数,43,-,-,-,-,43,-,-,-,43
地域別多摩西部エリア（％）,100.0,-,-,-,-,100.0,-,-,-,100.0
選挙への関心度別関心があった（計）実数,1084,708,186,221,301,376,143,53,157,23
選挙への関心度別関心があった（計）（％）,100.0,65.3,17.2,20.4,27.8,34.7,13.2,4.9,14.5,2.1
選挙への関心度別関心があった実数,642,417,109,128,180,225,83,31,97,14
選挙への関心度別関心があった（％）,100.0,65.0,17.0,19.9,28.0,35.0,12.9,4.8,15.1,2.2
選挙への関心度別やや関心があった実数,442,291,77,93,121,151,60,22,60,9
選挙への関心度別やや関心があった（％）,100.0,65.8,17.4,21.0,27.4,34.2,13.6,5.0,13.6,2.0
選挙への関心度別関心がなかった（計）実数,179,115,28,39,48,64,23,7,27,7
選挙への関心度別関心がなかった（計）（％）,100.0,64.2,15.6,21.8,26.8,35.8,12.8,3.9,15.1,3.9
選挙への関心度別あまり関心がなかった実数,554,358,98,117,143,196,73,29,82,12
選挙への関心度別あまり関心がなかった（％）,100.0,64.6,17.7,21.1,25.8,35.4,13.2,5.2,14.8,2.2
選挙への関心度別関心がなかった実数,369,243,59,82,102,126,51,16,55,4
選挙への関心度別関心がなかった（％）,100.0,65.9,16.0,22.2,27.6,34.1,13.8,4.3,14.9,1.1
選挙への関心度別どちらともいえない実数,185,115,39,35,41,70,22,13,27,8
選挙への関心度別どちらともいえない（％）,100.0,62.2,21.1,18.9,22.2,37.8,11.9,7.0,14.6,4.3
選挙への関心度別わからない実数,7,6,2,4,-,1,-,-,1,-
選挙への関心度別わからない（％）,100.0,85.7,28.6,57.1,-,14.3,-,-,14.3,-
投票への意識別投票するべき（計）実数,1484,973,259,300,414,511,194,68,215,34
投票への意識別投票するべき（計）（％）,100.0,65.6,17.5,20.2,27.9,34.4,13.1,4.6,14.5,2.3
投票への意識別必ず投票するべき実数,703,467,126,137,204,236,88,29,101,18
投票への意識別必ず投票するべき（％）,100.0,66.4,17.9,19.5,29.0,33.6,12.5,4.1,14.4,2.6
投票への意識別可能な限り投票するべき実数,781,506,133,163,210,275,106,39,114,16
投票への意識別可能な限り投票するべき（％）,100.0,64.8,17.0,20.9,26.9,35.2,13.6,5.0,14.6,2.0
投票への意識別投票するのもしないのも自由実数,315,197,47,76,74,118,45,21,47,5
投票への意識別投票するのもしないのも自由（％）,100.0,62.5,14.9,24.1,23.5,37.5,14.3,6.7,14.9,1.6
投票への意識別その他実数,11,9,5,2,2,2,-,-,1,1
投票への意識別その他（％）,100.0,81.8,45.5,18.2,18.2,18.2,-,-,9.1,9.1
投票への意識別わからない実数,15,9,3,3,3,6,-,-,4,2
投票への意識別わからない（％）,100.0,60.0,20.0,20.0,20.0,40.0,-,-,26.7,13.3
投票への参加状況別投票した（計）実数,1246,826,207,268,351,420,169,53,171,27
投票への参加状況別投票した（計）（％）,100.0,66.3,16.6,21.5,28.2,33.7,13.6,4.3,13.7,2.2
投票への参加状況別投票日（12月14日）に投票した実数,987,653,162,212,279,334,139,39,133,23
投票への参加状況別投票日（12月14日）に投票した（％）,100.0,66.2,16.4,21.5,28.3,33.8,14.1,4.0,13.5,2.3
投票への参加状況別期日前投票（又は不在者投票等）をした実数,259,173,45,56,72,86,30,14,38,4
投票への参加状況別期日前投票（又は不在者投票等）をした（％）,100.0,66.8,17.4,21.6,27.8,33.2,11.6,5.4,14.7,1.5
投票への参加状況別投票しなかった実数,563,348,100,111,137,215,69,36,94,16
投票への参加状況別投票しなかった（％）,100.0,61.8,17.8,19.7,24.3,38.2,12.3,6.4,16.7,2.8
投票への参加状況別答えたくない実数,18,15,7,3,5,3,1,-,2,-
投票への参加状況別答えたくない（％）,100.0,83.3,38.9,16.7,27.8,16.7,5.6,-,11.1,-
新聞の定期購読定期購読している実数,1142,714,177,223,314,428,168,51,183,26
新聞の定期購読定期購読している（％）,100.0,62.5,15.5,19.5,27.5,37.5,14.7,4.5,16.0,2.3
新聞の定期購読定期購読していない実数,681,471,137,157,177,210,71,38,84,17
新聞の定期購読定期購読していない（％）,100.0,69.2,20.1,23.1,26.0,30.8,10.4,5.6,12.3,2.5
インターネットの利用有無利用している実数,984,664,174,194,296,320,120,38,146,16
インターネットの利用有無利用している（％）,100.0,67.5,17.7,19.7,30.1,32.5,12.2,3.9,14.8,1.6
インターネットの利用有無利用していない実数,835,522,139,187,196,313,119,50,118,26
インターネットの利用有無利用していない（％）,100.0,62.5,16.6,22.4,23.5,37.5,14.3,6.0,14.1,3.1
ネット選挙の認知度別知っている実数,955,625,170,179,276,330,115,47,152,16
ネット選挙の認知度別知っている（％）,100.0,65.4,17.8,18.7,28.9,34.6,12.0,4.9,15.9,1.7
ネット選挙の認知度別知らなかった実数,752,465,121,166,178,287,112,42,108,25
ネット選挙の認知度別知らなかった（％）,100.0,61.8,16.1,22.1,23.7,38.2,14.9,5.6,14.4,3.3
