,調査数,テレビ・ラジオの選挙報道,新聞・雑誌などの選挙報道,選挙公報,投票所入場（整理）券,候補者等の新聞広告,候補者等のポスター,候補者等の街頭演説,候補者の個人演説会,候補者のはがき・ビラ,候補者等のホームページやＳＮＳ（ツイッターやフェイスブック等）、動画,政党、候補者の後援会などからの推薦,家族、友人、知人からの勧め,その他,どれにも接していない,わからない、忘れた,無回答
職業別自営業（計）（％）,100.0,71.1,49.3,46.7,24.3,19.1,40.1,21.1,3.9,19.7,5.9,8.6,7.2,-,2.6,1.3,0.7
職業別農林漁業実数,3,1,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-
職業別農林漁業（％）,100.0,33.3,-,-,-,-,-,66.7,33.3,-,-,-,-,-,-,-,-
職業別商工・サービス業実数,96,72,50,46,24,21,40,18,3,21,3,7,6,-,4,1,1
職業別商工・サービス業（％）,100.0,75.0,52.1,47.9,25.0,21.9,41.7,18.8,3.1,21.9,3.1,7.3,6.3,-,4.2,1.0,1.0
職業別その他自由業実数,53,35,25,25,13,8,21,12,2,9,6,6,5,-,-,1,-
職業別その他自由業（％）,100.0,66.0,47.2,47.2,24.5,15.1,39.6,22.6,3.8,17.0,11.3,11.3,9.4,-,-,1.9,-
職業別お勤め（計）実数,934,661,382,301,224,136,417,232,30,116,55,41,78,11,64,13,3
職業別お勤め（計）（％）,100.0,70.8,40.9,32.2,24.0,14.6,44.6,24.8,3.2,12.4,5.9,4.4,8.4,1.2,6.9,1.4,0.3
職業別経営・管理職実数,94,65,61,36,21,14,37,24,3,11,7,8,6,1,3,1,1
職業別経営・管理職（％）,100.0,69.1,64.9,38.3,22.3,14.9,39.4,25.5,3.2,11.7,7.4,8.5,6.4,1.1,3.2,1.1,1.1
職業別専門職・技術職実数,243,170,97,89,64,35,108,62,6,40,20,9,16,4,14,5,-
職業別専門職・技術職（％）,100.0,70.0,39.9,36.6,26.3,14.4,44.4,25.5,2.5,16.5,8.2,3.7,6.6,1.6,5.8,2.1,-
職業別事務職実数,249,191,117,88,75,45,123,62,8,26,18,9,19,1,17,2,-
職業別事務職（％）,100.0,76.7,47.0,35.3,30.1,18.1,49.4,24.9,3.2,10.4,7.2,3.6,7.6,0.4,6.8,0.8,-
職業別労務職・技能職実数,111,75,30,29,15,14,51,20,5,9,2,2,12,1,13,2,-
職業別労務職・技能職（％）,100.0,67.6,27.0,26.1,13.5,12.6,45.9,18.0,4.5,8.1,1.8,1.8,10.8,0.9,11.7,1.8,-
職業別販売・サービス職実数,237,160,77,59,49,28,98,64,8,30,8,13,25,4,17,3,2
職業別販売・サービス職（％）,100.0,67.5,32.5,24.9,20.7,11.8,41.4,27.0,3.4,12.7,3.4,5.5,10.5,1.7,7.2,1.3,0.8
職業別その他（計）実数,732,526,319,330,217,120,313,138,36,117,18,36,70,3,49,10,5
職業別その他（計）（％）,100.0,71.9,43.6,45.1,29.6,16.4,42.8,18.9,4.9,16.0,2.5,4.9,9.6,0.4,6.7,1.4,0.7
職業別生徒・学生実数,35,23,15,11,7,5,14,12,2,2,2,1,2,-,2,-,-
職業別生徒・学生（％）,100.0,65.7,42.9,31.4,20.0,14.3,40.0,34.3,5.7,5.7,5.7,2.9,5.7,-,5.7,-,-
職業別専業主婦（夫）実数,309,231,132,141,102,44,139,69,16,61,7,16,37,1,23,5,1
職業別専業主婦（夫）（％）,100.0,74.8,42.7,45.6,33.0,14.2,45.0,22.3,5.2,19.7,2.3,5.2,12.0,0.3,7.4,1.6,0.3
職業別その他実数,18,11,3,4,3,1,4,3,-,2,1,1,1,-,2,1,-
職業別その他（％）,100.0,61.1,16.7,22.2,16.7,5.6,22.2,16.7,-,11.1,5.6,5.6,5.6,-,11.1,5.6,-
職業別無職（年金受給者含む）実数,370,261,169,174,105,70,156,54,18,52,8,18,30,2,22,4,4
職業別無職（年金受給者含む）（％）,100.0,70.5,45.7,47.0,28.4,18.9,42.2,14.6,4.9,14.1,2.2,4.9,8.1,0.5,5.9,1.1,1.1
投票所までの時間別５分以内実数,712,512,318,286,199,116,309,160,26,104,39,37,70,7,38,8,2
投票所までの時間別５分以内（％）,100.0,71.9,44.7,40.2,27.9,16.3,43.4,22.5,3.7,14.6,5.5,5.2,9.8,1.0,5.3,1.1,0.3
投票所までの時間別10分以内実数,769,552,322,291,216,125,344,165,35,117,32,39,65,6,53,10,3
投票所までの時間別10分以内（％）,100.0,71.8,41.9,37.8,28.1,16.3,44.7,21.5,4.6,15.2,4.2,5.1,8.5,0.8,6.9,1.3,0.4
投票所までの時間別20分以内実数,245,172,110,100,48,35,112,62,9,32,12,11,22,1,13,4,2
投票所までの時間別20分以内（％）,100.0,70.2,44.9,40.8,19.6,14.3,45.7,25.3,3.7,13.1,4.9,4.5,9.0,0.4,5.3,1.6,0.8
投票所までの時間別30分以内実数,38,31,16,17,11,7,16,7,2,6,1,1,1,-,1,-,-
投票所までの時間別30分以内（％）,100.0,81.6,42.1,44.7,28.9,18.4,42.1,18.4,5.3,15.8,2.6,2.6,2.6,-,2.6,-,-
投票所までの時間別30分を超える実数,11,8,6,3,2,1,2,2,-,3,-,2,-,-,-,1,-
投票所までの時間別30分を超える（％）,100.0,72.7,54.5,27.3,18.2,9.1,18.2,18.2,-,27.3,-,18.2,-,-,-,9.1,-
投票所までの時間別わからない実数,48,26,9,6,3,3,10,7,-,1,-,-,2,-,12,2,1
投票所までの時間別わからない（％）,100.0,54.2,18.8,12.5,6.3,6.3,20.8,14.6,-,2.1,-,-,4.2,-,25.0,4.2,2.1
地域別区部（計）実数,1189,852,501,446,349,180,533,273,49,170,66,55,89,6,71,16,6
地域別区部（計）（％）,100.0,71.7,42.1,37.5,29.4,15.1,44.8,23.0,4.1,14.3,5.6,4.6,7.5,0.5,6.0,1.3,0.5
地域別センターコア実数,314,234,139,98,111,46,140,64,11,46,22,12,18,1,16,4,1
地域別センターコア（％）,100.0,74.5,44.3,31.2,35.4,14.6,44.6,20.4,3.5,14.6,7.0,3.8,5.7,0.3,5.1,1.3,0.3
地域別区部東部・北部エリア実数,382,257,143,147,119,58,187,88,18,59,16,19,43,1,21,7,2
地域別区部東部・北部エリア（％）,100.0,67.3,37.4,38.5,31.2,15.2,49.0,23.0,4.7,15.4,4.2,5.0,11.3,0.3,5.5,1.8,0.5
地域別区部西部・南部エリア実数,493,361,219,201,119,76,206,121,20,65,28,24,28,4,34,5,3
地域別区部西部・南部エリア（％）,100.0,73.2,44.4,40.8,24.1,15.4,41.8,24.5,4.1,13.2,5.7,4.9,5.7,0.8,6.9,1.0,0.6
地域別市郡部（計）実数,638,451,281,258,131,107,260,130,23,93,18,35,71,8,46,9,3
地域別市郡部（計）（％）,100.0,70.7,44.0,40.4,20.5,16.8,40.8,20.4,3.6,14.6,2.8,5.5,11.1,1.3,7.2,1.4,0.5
地域別多摩東部エリア実数,239,156,99,97,47,46,97,46,6,36,10,12,19,3,17,4,2
地域別多摩東部エリア（％）,100.0,65.3,41.4,40.6,19.7,19.2,40.6,19.2,2.5,15.1,4.2,5.0,7.9,1.3,7.1,1.7,0.8
地域別多摩中央部北エリア実数,89,71,43,41,33,19,40,17,3,11,2,7,22,2,4,1,-
地域別多摩中央部北エリア（％）,100.0,79.8,48.3,46.1,37.1,21.3,44.9,19.1,3.4,12.4,2.2,7.9,24.7,2.2,4.5,1.1,-
地域別多摩中央部南エリア実数,267,194,125,105,45,39,107,62,12,41,6,16,29,3,16,4,-
地域別多摩中央部南エリア（％）,100.0,72.7,46.8,39.3,16.9,14.6,40.1,23.2,4.5,15.4,2.2,6.0,10.9,1.1,6.0,1.5,-
地域別多摩西部エリア実数,43,30,14,15,6,3,16,5,2,5,-,-,1,-,9,-,1
地域別多摩西部エリア（％）,100.0,69.8,32.6,34.9,14.0,7.0,37.2,11.6,4.7,11.6,-,-,2.3,-,20.9,-,2.3
選挙への関心度別関心があった（計）実数,1084,854,549,534,342,207,513,261,56,163,68,68,88,9,24,5,3
選挙への関心度別関心があった（計）（％）,100.0,78.8,50.6,49.3,31.5,19.1,47.3,24.1,5.2,15.0,6.3,6.3,8.1,0.8,2.2,0.5,0.3
選挙への関心度別関心があった実数,642,519,355,349,202,137,303,161,36,102,49,48,53,6,13,4,3
選挙への関心度別関心があった（％）,100.0,80.8,55.3,54.4,31.5,21.3,47.2,25.1,5.6,15.9,7.6,7.5,8.3,0.9,2.0,0.6,0.5
選挙への関心度別やや関心があった実数,442,335,194,185,140,70,210,100,20,61,19,20,35,3,11,1,-
選挙への関心度別やや関心があった（％）,100.0,75.8,43.9,41.9,31.7,15.8,47.5,22.6,4.5,13.8,4.3,4.5,7.9,0.7,2.5,0.2,-
選挙への関心度別関心がなかった（計）実数,179,107,65,56,40,26,84,38,7,27,4,5,24,-,13,3,-
選挙への関心度別関心がなかった（計）（％）,100.0,59.8,36.3,31.3,22.3,14.5,46.9,21.2,3.9,15.1,2.2,2.8,13.4,-,7.3,1.7,-
選挙への関心度別あまり関心がなかった実数,554,340,168,114,97,53,195,103,9,71,12,16,47,5,76,15,6
選挙への関心度別あまり関心がなかった（％）,100.0,61.4,30.3,20.6,17.5,9.6,35.2,18.6,1.6,12.8,2.2,2.9,8.5,0.9,13.7,2.7,1.1
選挙への関心度別関心がなかった実数,369,246,125,91,73,45,152,75,6,51,8,9,33,3,31,8,4
選挙への関心度別関心がなかった（％）,100.0,66.7,33.9,24.7,19.8,12.2,41.2,20.3,1.6,13.8,2.2,2.4,8.9,0.8,8.4,2.2,1.1
選挙への関心度別どちらともいえない実数,185,94,43,23,24,8,43,28,3,20,4,7,14,2,45,7,2
選挙への関心度別どちらともいえない（％）,100.0,50.8,23.2,12.4,13.0,4.3,23.2,15.1,1.6,10.8,2.2,3.8,7.6,1.1,24.3,3.8,1.1
選挙への関心度別わからない実数,7,-,-,-,1,1,1,-,-,-,-,-,1,-,3,2,-
選挙への関心度別わからない（％）,100.0,-,-,-,14.3,14.3,14.3,-,-,-,-,-,14.3,-,42.9,28.6,-
投票への意識別投票するべき（計）実数,1484,1110,710,655,437,266,685,336,70,232,81,83,135,13,51,11,7
投票への意識別投票するべき（計）（％）,100.0,74.8,47.8,44.1,29.4,17.9,46.2,22.6,4.7,15.6,5.5,5.6,9.1,0.9,3.4,0.7,0.5
投票への意識別必ず投票するべき実数,703,552,385,370,254,161,338,165,37,121,42,52,66,4,15,6,1
投票への意識別必ず投票するべき（％）,100.0,78.5,54.8,52.6,36.1,22.9,48.1,23.5,5.3,17.2,6.0,7.4,9.4,0.6,2.1,0.9,0.1
投票への意識別可能な限り投票するべき実数,781,558,325,285,183,105,347,171,33,111,39,31,69,9,36,5,6
投票への意識別可能な限り投票するべき（％）,100.0,71.4,41.6,36.5,23.4,13.4,44.4,21.9,4.2,14.2,5.0,4.0,8.8,1.2,4.6,0.6,0.8
投票への意識別投票するのもしないのも自由実数,315,180,66,47,38,20,102,65,2,28,3,7,23,1,57,11,2
投票への意識別投票するのもしないのも自由（％）,100.0,57.1,21.0,14.9,12.1,6.3,32.4,20.6,0.6,8.9,1.0,2.2,7.3,0.3,18.1,3.5,0.6
投票への意識別その他実数,11,7,4,2,5,1,4,1,-,2,-,-,-,-,3,-,-
投票への意識別その他（％）,100.0,63.6,36.4,18.2,45.5,9.1,36.4,9.1,-,18.2,-,-,-,-,27.3,-,-
投票への意識別わからない実数,15,5,2,-,-,-,2,1,-,-,-,-,2,-,5,3,-
投票への意識別わからない（％）,100.0,33.3,13.3,-,-,-,13.3,6.7,-,-,-,-,13.3,-,33.3,20.0,-
投票への参加状況別投票した（計）実数,1246,929,616,602,404,237,592,292,56,198,78,76,124,6,29,10,1
投票への参加状況別投票した（計）（％）,100.0,74.6,49.4,48.3,32.4,19.0,47.5,23.4,4.5,15.9,6.3,6.1,10.0,0.5,2.3,0.8,0.1
投票への参加状況別投票日（12月14日）に投票した実数,987,742,472,465,307,182,466,222,40,155,56,56,92,5,23,8,1
投票への参加状況別投票日（12月14日）に投票した（％）,100.0,75.2,47.8,47.1,31.1,18.4,47.2,22.5,4.1,15.7,5.7,5.7,9.3,0.5,2.3,0.8,0.1
投票への参加状況別期日前投票（又は不在者投票等）をした実数,259,187,144,137,97,55,126,70,16,43,22,20,32,1,6,2,-
投票への参加状況別期日前投票（又は不在者投票等）をした（％）,100.0,72.2,55.6,52.9,37.5,21.2,48.6,27.0,6.2,16.6,8.5,7.7,12.4,0.4,2.3,0.8,-
投票への参加状況別投票しなかった実数,563,362,161,98,74,49,194,109,16,63,6,14,36,8,87,13,7
投票への参加状況別投票しなかった（％）,100.0,64.3,28.6,17.4,13.1,8.7,34.5,19.4,2.8,11.2,1.1,2.5,6.4,1.4,15.5,2.3,1.2
投票への参加状況別答えたくない実数,18,12,5,4,2,1,7,2,-,2,-,-,-,-,1,2,1
投票への参加状況別答えたくない（％）,100.0,66.7,27.8,22.2,11.1,5.6,38.9,11.1,-,11.1,-,-,-,-,5.6,11.1,5.6
新聞の定期購読定期購読している実数,1142,833,645,505,319,242,512,234,54,186,30,71,111,8,53,10,4
新聞の定期購読定期購読している（％）,100.0,72.9,56.5,44.2,27.9,21.2,44.8,20.5,4.7,16.3,2.6,6.2,9.7,0.7,4.6,0.9,0.4
新聞の定期購読定期購読していない実数,681,469,137,198,161,45,278,168,18,76,54,19,49,6,64,15,4
新聞の定期購読定期購読していない（％）,100.0,68.9,20.1,29.1,23.6,6.6,40.8,24.7,2.6,11.2,7.9,2.8,7.2,0.9,9.4,2.2,0.6
インターネットの利用有無利用している実数,984,716,432,359,265,145,464,274,34,143,81,42,79,7,49,9,2
インターネットの利用有無利用している（％）,100.0,72.8,43.9,36.5,26.9,14.7,47.2,27.8,3.5,14.5,8.2,4.3,8.0,0.7,5.0,0.9,0.2
インターネットの利用有無利用していない実数,835,582,348,343,214,142,328,128,38,120,3,47,80,7,67,16,6
インターネットの利用有無利用していない（％）,100.0,69.7,41.7,41.1,25.6,17.0,39.3,15.3,4.6,14.4,0.4,5.6,9.6,0.8,8.0,1.9,0.7
ネット選挙の認知度別知っている実数,955,745,500,413,290,176,465,236,39,157,68,51,74,8,32,4,1
ネット選挙の認知度別知っている（％）,100.0,78.0,52.4,43.2,30.4,18.4,48.7,24.7,4.1,16.4,7.1,5.3,7.7,0.8,3.4,0.4,0.1
ネット選挙の認知度別知らなかった実数,752,482,239,239,164,96,281,147,27,87,16,36,77,5,75,17,5
ネット選挙の認知度別知らなかった（％）,100.0,64.1,31.8,31.8,21.8,12.8,37.4,19.5,3.6,11.6,2.1,4.8,10.2,0.7,10.0,2.3,0.7
