,調査数,見た（計）,すべてのポスターを一枚一枚よく見た,すべてのポスターをざっと見た,関心のある候補者のポスターしか見なかった,ほとんど見なかった,わからない、忘れた,無回答
選挙への関心度別あまり関心がなかった（％）,100.0,46.8,4.5,37.4,4.9,50.9,1.8,0.5
選挙への関心度別関心がなかった実数,369,198,23,155,20,165,5,1
選挙への関心度別関心がなかった（％）,100.0,53.7,6.2,42.0,5.4,44.7,1.4,0.3
選挙への関心度別どちらともいえない実数,185,61,2,52,7,117,5,2
選挙への関心度別どちらともいえない（％）,100.0,33.0,1.1,28.1,3.8,63.2,2.7,1.1
選挙への関心度別わからない実数,7,2,-,1,1,3,2,-
選挙への関心度別わからない（％）,100.0,28.6,-,14.3,14.3,42.9,28.6,-
投票への意識別投票するべき（計）実数,1484,1114,148,822,144,354,11,5
投票への意識別投票するべき（計）（％）,100.0,75.1,10.0,55.4,9.7,23.9,0.7,0.3
投票への意識別必ず投票するべき実数,703,593,112,417,64,106,3,1
投票への意識別必ず投票するべき（％）,100.0,84.4,15.9,59.3,9.1,15.1,0.4,0.1
投票への意識別可能な限り投票するべき実数,781,521,36,405,80,248,8,4
投票への意識別可能な限り投票するべき（％）,100.0,66.7,4.6,51.9,10.2,31.8,1.0,0.5
投票への意識別投票するのもしないのも自由実数,315,134,6,108,20,170,9,2
投票への意識別投票するのもしないのも自由（％）,100.0,42.5,1.9,34.3,6.3,54.0,2.9,0.6
投票への意識別その他実数,11,5,2,3,-,6,-,-
投票への意識別その他（％）,100.0,45.5,18.2,27.3,-,54.5,-,-
投票への意識別わからない実数,15,2,1,1,-,10,3,-
投票への意識別わからない（％）,100.0,13.3,6.7,6.7,-,66.7,20.0,-
投票への参加状況別投票した（計）実数,1246,993,144,721,128,239,9,5
投票への参加状況別投票した（計）（％）,100.0,79.7,11.6,57.9,10.3,19.2,0.7,0.4
投票への参加状況別投票日（12月14日）に投票した実数,987,779,112,564,103,196,8,4
投票への参加状況別投票日（12月14日）に投票した（％）,100.0,78.9,11.3,57.1,10.4,19.9,0.8,0.4
投票への参加状況別期日前投票（又は不在者投票等）をした実数,259,214,32,157,25,43,1,1
投票への参加状況別期日前投票（又は不在者投票等）をした（％）,100.0,82.6,12.4,60.6,9.7,16.6,0.4,0.4
投票への参加状況別投票しなかった実数,563,251,13,204,34,298,12,2
投票への参加状況別投票しなかった（％）,100.0,44.6,2.3,36.2,6.0,52.9,2.1,0.4
投票への参加状況別答えたくない実数,18,12,-,10,2,4,2,-
投票への参加状況別答えたくない（％）,100.0,66.7,-,55.6,11.1,22.2,11.1,-
新聞の定期購読定期購読している実数,1142,855,119,620,116,277,6,4
新聞の定期購読定期購読している（％）,100.0,74.9,10.4,54.3,10.2,24.3,0.5,0.4
新聞の定期購読定期購読していない実数,681,398,38,314,46,264,17,2
新聞の定期購読定期購読していない（％）,100.0,58.4,5.6,46.1,6.8,38.8,2.5,0.3
インターネットの利用有無利用している実数,984,663,65,528,70,303,16,2
インターネットの利用有無利用している（％）,100.0,67.4,6.6,53.7,7.1,30.8,1.6,0.2
インターネットの利用有無利用していない実数,835,589,91,405,93,235,7,4
インターネットの利用有無利用していない（％）,100.0,70.5,10.9,48.5,11.1,28.1,0.8,0.5
ネット選挙の認知度別知っている実数,955,714,100,538,76,232,7,2
ネット選挙の認知度別知っている（％）,100.0,74.8,10.5,56.3,8.0,24.3,0.7,0.2
ネット選挙の認知度別知らなかった実数,752,454,47,332,75,281,15,2
ネット選挙の認知度別知らなかった（％）,100.0,60.4,6.3,44.1,10.0,37.4,2.0,0.3
