,年齢,ｎ,知っている（％）,知らなかった（％）,,,,,
オ)期日前投票は夜の８時までできること,全体,1699,68.5,31.5,,,,,
オ)期日前投票は夜の８時までできること,18歳,6,50.0,50.0,,,,,
オ)期日前投票は夜の８時までできること,19歳,17,47.1,52.9,,,,,
オ)期日前投票は夜の８時までできること,20歳代,143,54.5,45.5,,,,,
オ)期日前投票は夜の８時までできること,30歳代,245,64.5,35.5,,,,,
オ)期日前投票は夜の８時までできること,40歳代,382,73.8,26.2,,,,,
オ)期日前投票は夜の８時までできること,50歳代,305,75.1,24.9,,,,,
オ)期日前投票は夜の８時までできること,60歳代,313,71.9,28.1,,,,,
オ)期日前投票は夜の８時までできること,70歳代,204,66.2,33.8,,,,,
オ)期日前投票は夜の８時までできること,80歳代以上,84,53.6,46.4,,,,,
カ)期日前投票ができる場所が東京都の特設ＨＰに掲載されていること,全体,1699,18.8,81.2,,,,,
カ)期日前投票ができる場所が東京都の特設ＨＰに掲載されていること,18歳,6,33.3,66.7,,,,,
カ)期日前投票ができる場所が東京都の特設ＨＰに掲載されていること,19歳,17,17.6,82.4,,,,,
カ)期日前投票ができる場所が東京都の特設ＨＰに掲載されていること,20歳代,143,22.4,77.6,,,,,
カ)期日前投票ができる場所が東京都の特設ＨＰに掲載されていること,30歳代,245,23.7,76.3,,,,,
カ)期日前投票ができる場所が東京都の特設ＨＰに掲載されていること,40歳代,382,20.4,79.6,,,,,
カ)期日前投票ができる場所が東京都の特設ＨＰに掲載されていること,50歳代,305,22.0,78.0,,,,,
カ)期日前投票ができる場所が東京都の特設ＨＰに掲載されていること,60歳代,313,15.7,84.3,,,,,
カ)期日前投票ができる場所が東京都の特設ＨＰに掲載されていること,70歳代,204,13.2,86.8,,,,,
カ)期日前投票ができる場所が東京都の特設ＨＰに掲載されていること,80歳代以上,84,3.6,96.4,,,,,
