,調査数,テレビ・ラジオの選挙報道,新聞・雑誌などの選挙報道,選挙公報,候補者等のポスター,テレビ・ラジオの政見放送・経歴放送,候補者の新聞広告,候補者等の街頭演説,候補者の個人演説会,候補者のはがき・候補者等のビラ,候補者のホームページ、ツイッター等のネット上の情報,候補者以外のホームページ、ツイッター等のネット上の情報,候補者の後援会などからの推薦,各種団体からの推薦,家族、友人、知人からの勧め,その他,どれにも接していない,役立ったものはない,わからない、忘れた,無回答
子供の有無別学校教育終了,100.0,71.6,63.4,39.8,19.3,26.3,12.0,6.0,2.7,2.2,3.9,1.7,1.9,2.4,8.4,1.9,0.7,4.1,0.5,0.7
子供の有無別その他,8,7,4,2,2,-,-,1,-,-,1,-,-,-,1,-,-,-,-,-
子供の有無別その他,100.0,87.5,50.0,25.0,25.0,-,-,12.5,-,-,12.5,-,-,-,12.5,-,-,-,-,-
職業別自営業（計）,92,65,52,33,21,22,10,14,2,3,11,13,4,6,7,2,1,2,-,-
職業別自営業（計）,100.0,70.7,56.5,35.9,22.8,23.9,10.9,15.2,2.2,3.3,12.0,14.1,4.3,6.5,7.6,2.2,1.1,2.2,-,-
職業別農林漁業,2,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-
職業別農林漁業,100.0,50.0,50.0,-,-,-,-,-,-,-,50.0,50.0,-,-,-,-,-,-,-,-
職業別商工・サービス業,37,29,22,13,11,8,3,6,1,1,2,3,1,4,2,-,-,-,-,-
職業別商工・サービス業,100.0,78.4,59.5,35.1,29.7,21.6,8.1,16.2,2.7,2.7,5.4,8.1,2.7,10.8,5.4,-,-,-,-,-
職業別その他自由業,53,35,29,20,10,14,7,8,1,2,8,9,3,2,5,2,1,2,-,-
職業別その他自由業,100.0,66.0,54.7,37.7,18.9,26.4,13.2,15.1,1.9,3.8,15.1,17.0,5.7,3.8,9.4,3.8,1.9,3.8,-,-
職業別お勤め（計）,452,326,243,166,82,97,38,28,9,6,45,39,4,7,37,3,3,15,1,4
職業別お勤め（計）,100.0,72.1,53.8,36.7,18.1,21.5,8.4,6.2,2.0,1.3,10.0,8.6,0.9,1.5,8.2,0.7,0.7,3.3,0.2,0.9
職業別経営・管理職,69,46,47,28,13,17,10,3,2,-,6,4,2,2,8,2,-,3,-,-
職業別経営・管理職,100.0,66.7,68.1,40.6,18.8,24.6,14.5,4.3,2.9,-,8.7,5.8,2.9,2.9,11.6,2.9,-,4.3,-,-
職業別専門職・技術職,142,103,83,53,24,30,12,11,6,3,12,12,2,4,6,-,2,7,-,-
職業別専門職・技術職,100.0,72.5,58.5,37.3,16.9,21.1,8.5,7.7,4.2,2.1,8.5,8.5,1.4,2.8,4.2,-,1.4,4.9,-,-
職業別事務職,124,95,63,50,25,25,8,8,1,1,13,8,-,-,11,-,1,2,-,3
職業別事務職,100.0,76.6,50.8,40.3,20.2,20.2,6.5,6.5,0.8,0.8,10.5,6.5,-,-,8.9,-,0.8,1.6,-,2.4
職業別労務職・技能職,38,31,14,12,6,7,-,2,-,1,5,4,-,-,4,1,-,1,-,-
職業別労務職・技能職,100.0,81.6,36.8,31.6,15.8,18.4,-,5.3,-,2.6,13.2,10.5,-,-,10.5,2.6,-,2.6,-,-
職業別販売・サービス職,79,51,36,23,14,18,8,4,-,1,9,11,-,1,8,-,-,2,1,1
職業別販売・サービス職,100.0,64.6,45.6,29.1,17.7,22.8,10.1,5.1,-,1.3,11.4,13.9,-,1.3,10.1,-,-,2.5,1.3,1.3
職業別その他（計）,447,330,254,174,88,106,43,37,11,10,23,13,6,12,49,6,-,11,2,4
職業別その他（計）,100.0,73.8,56.8,38.9,19.7,23.7,9.6,8.3,2.5,2.2,5.1,2.9,1.3,2.7,11.0,1.3,-,2.5,0.4,0.9
職業別学生,11,10,5,6,4,2,2,3,1,-,2,2,-,-,1,-,-,-,-,-
職業別学生,100.0,90.9,45.5,54.5,36.4,18.2,18.2,27.3,9.1,-,18.2,18.2,-,-,9.1,-,-,-,-,-
職業別専業主婦（夫）,221,160,119,85,27,47,13,10,2,4,11,5,4,7,29,3,-,7,-,2
職業別専業主婦（夫）,100.0,72.4,53.8,38.5,12.2,21.3,5.9,4.5,0.9,1.8,5.0,2.3,1.8,3.2,13.1,1.4,-,3.2,-,0.9
職業別その他,35,26,18,13,9,10,2,4,-,-,4,4,-,-,-,1,-,-,-,-
職業別その他,100.0,74.3,51.4,37.1,25.7,28.6,5.7,11.4,-,-,11.4,11.4,-,-,-,2.9,-,-,-,-
職業別無職（年金受給者含む）,180,134,112,70,48,47,26,20,8,6,6,2,2,5,19,2,-,4,2,2
職業別無職（年金受給者含む）,100.0,74.4,62.2,38.9,26.7,26.1,14.4,11.1,4.4,3.3,3.3,1.1,1.1,2.8,10.6,1.1,-,2.2,1.1,1.1
投票所までの時間別５分以内,388,285,219,137,90,101,43,39,9,9,37,32,4,9,34,3,3,10,-,1
投票所までの時間別５分以内,100.0,73.5,56.4,35.3,23.2,26.0,11.1,10.1,2.3,2.3,9.5,8.2,1.0,2.3,8.8,0.8,0.8,2.6,-,0.3
投票所までの時間別10分以内,467,322,247,181,68,89,34,33,10,8,34,26,8,15,40,5,1,16,3,6
投票所までの時間別10分以内,100.0,69.0,52.9,38.8,14.6,19.1,7.3,7.1,2.1,1.7,7.3,5.6,1.7,3.2,8.6,1.1,0.2,3.4,0.6,1.3
投票所までの時間別20分以内,101,85,61,40,23,23,10,5,2,1,4,5,1,-,9,1,-,2,-,1
投票所までの時間別20分以内,100.0,84.2,60.4,39.6,22.8,22.8,9.9,5.0,2.0,1.0,4.0,5.0,1.0,-,8.9,1.0,-,2.0,-,1.0
投票所までの時間別30分以内,19,17,8,8,6,5,-,1,-,1,3,1,-,-,10,-,-,-,-,-
投票所までの時間別30分以内,100.0,89.5,42.1,42.1,31.6,26.3,-,5.3,-,5.3,15.8,5.3,-,-,52.6,-,-,-,-,-
投票所までの時間別30分を超える,19,15,16,8,4,6,5,1,1,-,1,1,1,1,1,2,-,-,-,-
投票所までの時間別30分を超える,100.0,78.9,84.2,42.1,21.1,31.6,26.3,5.3,5.3,-,5.3,5.3,5.3,5.3,5.3,10.5,-,-,-,-
地域別区部（計）,730,509,395,254,162,152,72,71,17,13,64,55,9,15,75,9,3,21,1,6
地域別区部（計）,100.0,69.7,54.1,34.8,22.2,20.8,9.9,9.7,2.3,1.8,8.8,7.5,1.2,2.1,10.3,1.2,0.4,2.9,0.1,0.8
地域別センターコア,216,174,129,87,56,76,34,27,6,3,26,23,2,6,10,3,1,4,-,-
地域別センターコア,100.0,80.6,59.7,40.3,25.9,35.2,15.7,12.5,2.8,1.4,12.0,10.6,0.9,2.8,4.6,1.4,0.5,1.9,-,-
地域別区部東部・北部エリア,200,140,100,88,46,43,14,14,1,4,15,16,3,1,16,3,-,3,-,2
地域別区部東部・北部エリア,100.0,70.0,50.0,44.0,23.0,21.5,7.0,7.0,0.5,2.0,7.5,8.0,1.5,0.5,8.0,1.5,-,1.5,-,1.0
地域別区部西部・南部エリア,314,195,166,79,60,33,24,30,10,6,23,16,4,8,49,3,2,14,1,4
地域別区部西部・南部エリア,100.0,62.1,52.9,25.2,19.1,10.5,7.6,9.6,3.2,1.9,7.3,5.1,1.3,2.5,15.6,1.0,0.6,4.5,0.3,1.3
地域別市郡部（計）,269,218,157,121,30,74,20,9,5,6,15,10,5,10,19,2,1,8,2,3
地域別市郡部（計）,100.0,81.0,58.4,45.0,11.2,27.5,7.4,3.3,1.9,2.2,5.6,3.7,1.9,3.7,7.1,0.7,0.4,3.0,0.7,1.1
地域別多摩東部エリア,89,79,44,48,10,33,2,2,2,3,7,2,1,7,10,-,-,1,-,2
地域別多摩東部エリア,100.0,88.8,49.4,53.9,11.2,37.1,2.2,2.2,2.2,3.4,7.9,2.2,1.1,7.9,11.2,-,-,1.1,-,2.2
地域別多摩中央部北エリア,40,29,24,18,5,8,5,-,-,1,-,-,-,-,1,1,-,4,1,-
地域別多摩中央部北エリア,100.0,72.5,60.0,45.0,12.5,20.0,12.5,-,-,2.5,-,-,-,-,2.5,2.5,-,10.0,2.5,-
地域別多摩中央部南エリア,129,101,86,49,15,31,13,7,2,1,8,8,1,1,7,1,1,3,1,-
地域別多摩中央部南エリア,100.0,78.3,66.7,38.0,11.6,24.0,10.1,5.4,1.6,0.8,6.2,6.2,0.8,0.8,5.4,0.8,0.8,2.3,0.8,-
地域別多摩西部エリア,11,9,3,6,-,2,-,-,1,1,-,-,3,2,1,-,-,-,-,1
地域別多摩西部エリア,100.0,81.8,27.3,54.5,-,18.2,-,-,9.1,9.1,-,-,27.3,18.2,9.1,-,-,-,-,9.1
選挙への関心度別関心があった（計）,853,639,499,339,164,207,79,66,20,18,72,57,12,23,70,10,-,20,2,8
選挙への関心度別関心があった（計）,100.0,74.9,58.5,39.7,19.2,24.3,9.3,7.7,2.3,2.1,8.4,6.7,1.4,2.7,8.2,1.2,-,2.3,0.2,0.9
選挙への関心度別関心があった,530,389,333,222,101,149,57,44,13,13,45,34,9,13,40,7,-,9,2,5
選挙への関心度別関心があった,100.0,73.4,62.8,41.9,19.1,28.1,10.8,8.3,2.5,2.5,8.5,6.4,1.7,2.5,7.5,1.3,-,1.7,0.4,0.9
選挙への関心度別やや関心があった,323,250,166,117,63,58,22,22,7,5,27,23,3,10,30,3,-,11,-,3
選挙への関心度別やや関心があった,100.0,77.4,51.4,36.2,19.5,18.0,6.8,6.8,2.2,1.5,8.4,7.1,0.9,3.1,9.3,0.9,-,3.4,-,0.9
選挙への関心度別関心がなかった（計）,70,36,19,18,7,7,4,3,1,-,2,3,1,-,11,1,3,8,-,-
選挙への関心度別関心がなかった（計）,100.0,51.4,27.1,25.7,10.0,10.0,5.7,4.3,1.4,-,2.9,4.3,1.4,-,15.7,1.4,4.3,11.4,-,-
選挙への関心度別あまり関心がなかった,59,31,18,17,4,7,4,3,1,-,1,2,1,-,11,1,2,7,-,-
選挙への関心度別あまり関心がなかった,100.0,52.5,30.5,28.8,6.8,11.9,6.8,5.1,1.7,-,1.7,3.4,1.7,-,18.6,1.7,3.4,11.9,-,-
選挙への関心度別関心がなかった,11,5,1,1,3,-,-,-,-,-,1,1,-,-,-,-,1,1,-,-
選挙への関心度別関心がなかった,100.0,45.5,9.1,9.1,27.3,-,-,-,-,-,9.1,9.1,-,-,-,-,9.1,9.1,-,-
選挙への関心度別どちらともいえない,76,52,34,18,21,12,9,11,1,1,5,5,1,2,13,-,1,1,1,1
選挙への関心度別どちらともいえない,100.0,68.4,44.7,23.7,27.6,15.8,11.8,14.5,1.3,1.3,6.6,6.6,1.3,2.6,17.1,-,1.3,1.3,1.3,1.3
選挙への関心度別わからない、答えたくない,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
選挙への関心度別わからない、答えたくない,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への意識別必ず投票するべき,541,391,323,232,102,147,60,43,12,11,35,23,10,17,35,9,1,14,2,4
投票への意識別必ず投票するべき,100.0,72.3,59.7,42.9,18.9,27.2,11.1,7.9,2.2,2.0,6.5,4.3,1.8,3.1,6.5,1.7,0.2,2.6,0.4,0.7
投票への意識別可能な限り投票するべき,396,300,208,132,80,72,26,32,8,8,36,29,4,7,44,2,2,12,-,4
投票への意識別可能な限り投票するべき,100.0,75.8,52.5,33.3,20.2,18.2,6.6,8.1,2.0,2.0,9.1,7.3,1.0,1.8,11.1,0.5,0.5,3.0,-,1.0
投票への意識別投票するのもしないのも自由,56,33,19,9,9,7,5,4,2,-,7,11,-,1,14,-,1,3,1,1
投票への意識別投票するのもしないのも自由,100.0,58.9,33.9,16.1,16.1,12.5,8.9,7.1,3.6,-,12.5,19.6,-,1.8,25.0,-,1.8,5.4,1.8,1.8
投票への意識別その他,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への意識別その他,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への意識別わからない,3,1,1,2,1,-,1,1,-,-,1,1,-,-,1,-,-,-,-,-
投票への意識別わからない,100.0,33.3,33.3,66.7,33.3,-,33.3,33.3,-,-,33.3,33.3,-,-,33.3,-,-,-,-,-
投票への参加状況別投票した（計）,999,727,552,375,192,226,92,80,22,19,79,65,14,25,94,11,4,29,3,9
投票への参加状況別投票した（計）,100.0,72.8,55.3,37.5,19.2,22.6,9.2,8.0,2.2,1.9,7.9,6.5,1.4,2.5,9.4,1.1,0.4,2.9,0.3,0.9
投票への参加状況別投票日（２月９日）に投票した,827,604,460,308,161,185,76,60,22,13,57,49,12,20,78,6,4,24,3,8
投票への参加状況別投票日（２月１０日）に投票した,100.0,73.0,55.6,37.2,19.5,22.4,9.2,7.3,2.7,1.6,6.9,5.9,1.5,2.4,9.4,0.7,0.5,2.9,0.4,1.0
投票への参加状況別期日前投票（又は不在者投票等）をした,172,123,92,67,31,41,16,20,-,6,22,16,2,5,16,5,-,5,-,1
投票への参加状況別期日前投票（又は不在者投票等）をした,100.0,71.5,53.5,39.0,18.0,23.8,9.3,11.6,-,3.5,12.8,9.3,1.2,2.9,9.3,2.9,-,2.9,-,0.6
投票への参加状況別投票しなかった,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別投票しなかった,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別答えたくない,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別答えたくない,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ネット投票の認知度別知っている,733,518,427,292,118,170,56,53,15,14,76,62,11,18,53,6,2,22,2,6
ネット投票の認知度別知っている,100.0,70.7,58.3,39.8,16.1,23.2,7.6,7.2,2.0,1.9,10.4,8.5,1.5,2.5,7.2,0.8,0.3,3.0,0.3,0.8
ネット投票の認知度別知らなかった,242,191,111,73,66,52,32,23,4,3,3,3,3,6,37,5,2,7,1,3
ネット投票の認知度別知らなかった,100.0,78.9,45.9,30.2,27.3,21.5,13.2,9.5,1.7,1.2,1.2,1.2,1.2,2.5,15.3,2.1,0.8,2.9,0.4,1.2
インターネットの利用有無別インターネットを利用している,543,393,290,208,95,122,50,48,8,10,78,65,6,11,51,7,2,16,1,5
インターネットの利用有無別インターネットを利用している,100.0,72.4,53.4,38.3,17.5,22.5,9.2,8.8,1.5,1.8,14.4,12.0,1.1,2.0,9.4,1.3,0.4,2.9,0.2,0.9
インターネットの利用有無別インターネットを利用していない,454,333,262,167,96,104,42,31,14,9,1,-,8,14,42,4,2,13,2,4
インターネットの利用有無別インターネットを利用していない,100.0,73.3,57.7,36.8,21.1,22.9,9.3,6.8,3.1,2.0,0.2,-,1.8,3.1,9.3,0.9,0.4,2.9,0.4,0.9
新聞の定期購読別定期購読している,741,540,486,298,133,168,82,56,20,12,43,29,13,21,63,7,3,21,2,6
新聞の定期購読別定期購読している,100.0,72.9,65.6,40.2,17.9,22.7,11.1,7.6,2.7,1.6,5.8,3.9,1.8,2.8,8.5,0.9,0.4,2.8,0.3,0.8
新聞の定期購読別定期購読していない,254,183,64,75,58,56,10,24,2,7,36,36,1,4,31,4,1,8,1,3
新聞の定期購読別定期購読していない,100.0,72.0,25.2,29.5,22.8,22.0,3.9,9.4,0.8,2.8,14.2,14.2,0.4,1.6,12.2,1.6,0.4,3.1,0.4,1.2
