,調査数,自営業（家族従業含む）（計）,農林漁業,商工・サービス業,その他自由業,勤め人（計）,経営・管理職,専門職・技術職,事務職,労務・技能職,販売・サービス職,その他（計）,学生,専業主婦（夫）,その他,無職（年金受給者含む）,無回答
性/年齢別男性60歳代（％）,100.0,17.6,0.7,13.7,3.3,51.0,9.8,11.8,7.8,12.4,9.2,30.7,-,-,0.7,30.1,0.7
性/年齢別男性70歳代実数,134,19,-,12,7,19,7,4,1,3,4,95,-,1,3,91,1
性/年齢別男性70歳代（％）,100.0,14.2,-,9.0,5.2,14.2,5.2,3.0,0.7,2.2,3.0,70.9,-,0.7,2.2,67.9,0.7
性/年齢別男性80歳以上実数,50,3,-,3,-,1,-,-,1,-,-,46,-,-,-,46,-
性/年齢別男性80歳以上（％）,100.0,6.0,-,6.0,-,2.0,-,-,2.0,-,-,92.0,-,-,-,92.0,-
性/年齢別女性20歳代実数,82,1,-,-,1,57,-,13,22,3,19,24,15,6,2,1,-
性/年齢別女性20歳代（％）,100.0,1.2,-,-,1.2,69.5,-,15.9,26.8,3.7,23.2,29.3,18.3,7.3,2.4,1.2,-
性/年齢別女性30歳代実数,143,3,-,2,1,95,2,22,35,5,31,45,-,43,-,2,-
性/年齢別女性30歳代（％）,100.0,2.1,-,1.4,0.7,66.4,1.4,15.4,24.5,3.5,21.7,31.5,-,30.1,-,1.4,-
性/年齢別女性40歳代実数,191,11,-,6,5,112,3,21,51,6,31,65,-,58,2,5,3
性/年齢別女性40歳代（％）,100.0,5.8,-,3.1,2.6,58.6,1.6,11.0,26.7,3.1,16.2,34.0,-,30.4,1.0,2.6,1.6
性/年齢別女性50歳代実数,133,15,1,7,7,69,1,17,30,7,14,49,-,41,2,6,-
性/年齢別女性50歳代（％）,100.0,11.3,0.8,5.3,5.3,51.9,0.8,12.8,22.6,5.3,10.5,36.8,-,30.8,1.5,4.5,-
性/年齢別女性60歳代実数,160,14,-,7,7,49,-,12,10,6,21,96,-,62,2,32,1
性/年齢別女性60歳代（％）,100.0,8.8,-,4.4,4.4,30.6,-,7.5,6.3,3.8,13.1,60.0,-,38.8,1.3,20.0,0.6
性/年齢別女性70歳代実数,162,7,-,5,2,15,1,-,2,4,8,140,-,77,1,62,-
性/年齢別女性70歳代（％）,100.0,4.3,-,3.1,1.2,9.3,0.6,-,1.2,2.5,4.9,86.4,-,47.5,0.6,38.3,-
性/年齢別女性80歳以上実数,74,-,-,-,-,1,1,-,-,-,-,73,-,21,-,52,-
性/年齢別女性80歳以上（％）,100.0,-,-,-,-,1.4,1.4,-,-,-,-,98.6,-,28.4,-,70.3,-
未・既婚別未婚実数,453,33,1,18,14,317,6,74,95,48,94,102,35,2,6,59,1
未・既婚別未婚（％）,100.0,7.3,0.2,4.0,3.1,70.0,1.3,16.3,21.0,10.6,20.8,22.5,7.7,0.4,1.3,13.0,0.2
未・既婚別既婚（死別・離別を含む）実数,1366,119,2,78,39,615,88,169,154,63,141,628,-,307,12,309,4
未・既婚別既婚（死別・離別を含む）（％）,100.0,8.7,0.1,5.7,2.9,45.0,6.4,12.4,11.3,4.6,10.3,46.0,-,22.5,0.9,22.6,0.3
子供の有無別子供はいない実数,642,44,1,26,17,434,17,105,134,58,120,162,33,33,7,89,2
子供の有無別子供はいない（％）,100.0,6.9,0.2,4.0,2.6,67.6,2.6,16.4,20.9,9.0,18.7,25.2,5.1,5.1,1.1,13.9,0.3
子供の有無別未就学（～６歳）実数,180,9,-,5,4,114,9,43,31,8,23,57,1,53,2,1,-
子供の有無別未就学（～６歳）（％）,100.0,5.0,-,2.8,2.2,63.3,5.0,23.9,17.2,4.4,12.8,31.7,0.6,29.4,1.1,0.6,-
子供の有無別小・中・高校生実数,270,23,-,14,9,184,30,56,48,13,37,62,-,60,2,-,1
子供の有無別小・中・高校生（％）,100.0,8.5,-,5.2,3.3,68.1,11.1,20.7,17.8,4.8,13.7,23.0,-,22.2,0.7,-,0.4
子供の有無別大学生・大学院生・短大生・専門学校生実数,106,12,1,9,2,71,15,16,22,4,14,23,1,19,1,2,-
子供の有無別大学生・大学院生・短大生・専門学校生（％）,100.0,11.3,0.9,8.5,1.9,67.0,14.2,15.1,20.8,3.8,13.2,21.7,0.9,17.9,0.9,1.9,-
子供の有無別学校教育終了実数,743,73,1,51,21,216,39,44,40,35,58,454,-,177,7,270,-
子供の有無別学校教育終了（％）,100.0,9.8,0.1,6.9,2.8,29.1,5.2,5.9,5.4,4.7,7.8,61.1,-,23.8,0.9,36.3,-
子供の有無別その他実数,7,-,-,-,-,1,-,-,1,-,-,6,-,-,-,6,-
子供の有無別その他（％）,100.0,-,-,-,-,14.3,-,-,14.3,-,-,85.7,-,-,-,85.7,-
職業別自営業（計）実数,152,152,3,96,53,-,-,-,-,-,-,-,-,-,-,-,-
職業別自営業（計）（％）,100.0,100.0,2.0,63.2,34.9,-,-,-,-,-,-,-,-,-,-,-,-
職業別農林漁業実数,3,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
職業別農林漁業（％）,100.0,100.0,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
職業別商工・サービス業実数,96,96,-,96,-,-,-,-,-,-,-,-,-,-,-,-,-
職業別商工・サービス業（％）,100.0,100.0,-,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-
職業別その他自由業実数,53,53,-,-,53,-,-,-,-,-,-,-,-,-,-,-,-
職業別その他自由業（％）,100.0,100.0,-,-,100.0,-,-,-,-,-,-,-,-,-,-,-,-
職業別お勤め（計）実数,934,-,-,-,-,934,94,243,249,111,237,-,-,-,-,-,-
職業別お勤め（計）（％）,100.0,-,-,-,-,100.0,10.1,26.0,26.7,11.9,25.4,-,-,-,-,-,-
職業別経営・管理職実数,94,-,-,-,-,94,94,-,-,-,-,-,-,-,-,-,-
職業別経営・管理職（％）,100.0,-,-,-,-,100.0,100.0,-,-,-,-,-,-,-,-,-,-
職業別専門職・技術職実数,243,-,-,-,-,243,-,243,-,-,-,-,-,-,-,-,-
職業別専門職・技術職（％）,100.0,-,-,-,-,100.0,-,100.0,-,-,-,-,-,-,-,-,-
職業別事務職実数,249,-,-,-,-,249,-,-,249,-,-,-,-,-,-,-,-
職業別事務職（％）,100.0,-,-,-,-,100.0,-,-,100.0,-,-,-,-,-,-,-,-
職業別労務職・技能職実数,111,-,-,-,-,111,-,-,-,111,-,-,-,-,-,-,-
職業別労務職・技能職（％）,100.0,-,-,-,-,100.0,-,-,-,100.0,-,-,-,-,-,-,-
職業別販売・サービス職実数,237,-,-,-,-,237,-,-,-,-,237,-,-,-,-,-,-
職業別販売・サービス職（％）,100.0,-,-,-,-,100.0,-,-,-,-,100.0,-,-,-,-,-,-
職業別その他（計）実数,732,-,-,-,-,-,-,-,-,-,-,732,35,309,18,370,-
職業別その他（計）（％）,100.0,-,-,-,-,-,-,-,-,-,-,100.0,4.8,42.2,2.5,50.5,-
職業別生徒・学生実数,35,-,-,-,-,-,-,-,-,-,-,35,35,-,-,-,-
職業別生徒・学生（％）,100.0,-,-,-,-,-,-,-,-,-,-,100.0,100.0,-,-,-,-
職業別専業主婦（夫）実数,309,-,-,-,-,-,-,-,-,-,-,309,-,309,-,-,-
職業別専業主婦（夫）（％）,100.0,-,-,-,-,-,-,-,-,-,-,100.0,-,100.0,-,-,-
職業別その他実数,18,-,-,-,-,-,-,-,-,-,-,18,-,-,18,-,-
職業別その他（％）,100.0,-,-,-,-,-,-,-,-,-,-,100.0,-,-,100.0,-,-
職業別無職（年金受給者含む）実数,370,-,-,-,-,-,-,-,-,-,-,370,-,-,-,370,-
職業別無職（年金受給者含む）（％）,100.0,-,-,-,-,-,-,-,-,-,-,100.0,-,-,-,100.0,-
投票所までの時間別５分以内実数,712,79,2,50,27,357,39,93,90,41,94,272,17,125,6,124,4
投票所までの時間別５分以内（％）,100.0,11.1,0.3,7.0,3.8,50.1,5.5,13.1,12.6,5.8,13.2,38.2,2.4,17.6,0.8,17.4,0.6
投票所までの時間別10分以内実数,769,51,-,34,17,399,39,101,116,50,93,316,12,127,8,169,3
投票所までの時間別10分以内（％）,100.0,6.6,-,4.4,2.2,51.9,5.1,13.1,15.1,6.5,12.1,41.1,1.6,16.5,1.0,22.0,0.4
投票所までの時間別20分以内実数,245,14,1,7,6,128,12,38,29,14,35,103,3,46,2,52,-
投票所までの時間別20分以内（％）,100.0,5.7,0.4,2.9,2.4,52.2,4.9,15.5,11.8,5.7,14.3,42.0,1.2,18.8,0.8,21.2,-
投票所までの時間別30分以内実数,38,4,-,2,2,17,1,3,6,1,6,17,1,6,-,10,-
投票所までの時間別30分以内（％）,100.0,10.5,-,5.3,5.3,44.7,2.6,7.9,15.8,2.6,15.8,44.7,2.6,15.8,-,26.3,-
投票所までの時間別30分を超える実数,11,1,-,-,1,5,-,1,2,-,2,5,1,1,-,3,-
投票所までの時間別30分を超える（％）,100.0,9.1,-,-,9.1,45.5,-,9.1,18.2,-,18.2,45.5,9.1,9.1,-,27.3,-
投票所までの時間別わからない実数,48,2,-,2,-,28,3,7,6,5,7,17,1,4,1,11,1
投票所までの時間別わからない（％）,100.0,4.2,-,4.2,-,58.3,6.3,14.6,12.5,10.4,14.6,35.4,2.1,8.3,2.1,22.9,2.1
地域別区部（計）実数,1189,117,3,76,38,617,67,158,183,64,145,449,19,185,10,235,6
地域別区部（計）（％）,100.0,9.8,0.3,6.4,3.2,51.9,5.6,13.3,15.4,5.4,12.2,37.8,1.6,15.6,0.8,19.8,0.5
地域別センターコア実数,314,34,-,24,10,162,13,44,58,15,32,116,3,48,1,64,2
地域別センターコア（％）,100.0,10.8,-,7.6,3.2,51.6,4.1,14.0,18.5,4.8,10.2,36.9,1.0,15.3,0.3,20.4,0.6
地域別区部東部・北部エリア実数,382,35,1,23,11,200,17,50,46,30,57,147,3,56,4,84,-
地域別区部東部・北部エリア（％）,100.0,9.2,0.3,6.0,2.9,52.4,4.5,13.1,12.0,7.9,14.9,38.5,0.8,14.7,1.0,22.0,-
地域別区部西部・南部エリア実数,493,48,2,29,17,255,37,64,79,19,56,186,13,81,5,87,4
地域別区部西部・南部エリア（％）,100.0,9.7,0.4,5.9,3.4,51.7,7.5,13.0,16.0,3.9,11.4,37.7,2.6,16.4,1.0,17.6,0.8
地域別市郡部（計）実数,638,35,-,20,15,317,27,85,66,47,92,283,16,124,8,135,3
地域別市郡部（計）（％）,100.0,5.5,-,3.1,2.4,49.7,4.2,13.3,10.3,7.4,14.4,44.4,2.5,19.4,1.3,21.2,0.5
地域別多摩東部エリア実数,239,13,-,8,5,127,13,33,30,11,40,97,4,46,2,45,2
地域別多摩東部エリア（％）,100.0,5.4,-,3.3,2.1,53.1,5.4,13.8,12.6,4.6,16.7,40.6,1.7,19.2,0.8,18.8,0.8
地域別多摩中央部北エリア実数,89,4,-,3,1,41,2,11,8,8,12,43,1,19,1,22,1
地域別多摩中央部北エリア（％）,100.0,4.5,-,3.4,1.1,46.1,2.2,12.4,9.0,9.0,13.5,48.3,1.1,21.3,1.1,24.7,1.1
地域別多摩中央部南エリア実数,267,15,-,6,9,132,10,38,24,25,35,120,10,48,4,58,-
地域別多摩中央部南エリア（％）,100.0,5.6,-,2.2,3.4,49.4,3.7,14.2,9.0,9.4,13.1,44.9,3.7,18.0,1.5,21.7,-
地域別多摩西部エリア実数,43,3,-,3,-,17,2,3,4,3,5,23,1,11,1,10,-
地域別多摩西部エリア（％）,100.0,7.0,-,7.0,-,39.5,4.7,7.0,9.3,7.0,11.6,53.5,2.3,25.6,2.3,23.3,-
選挙への関心度別関心があった（計）実数,1084,97,1,57,39,522,65,147,143,52,115,462,20,188,10,244,3
選挙への関心度別関心があった（計）（％）,100.0,8.9,0.1,5.3,3.6,48.2,6.0,13.6,13.2,4.8,10.6,42.6,1.8,17.3,0.9,22.5,0.3
選挙への関心度別関心があった実数,642,62,1,40,21,279,48,82,73,25,51,298,9,108,8,173,3
選挙への関心度別関心があった（％）,100.0,9.7,0.2,6.2,3.3,43.5,7.5,12.8,11.4,3.9,7.9,46.4,1.4,16.8,1.2,26.9,0.5
選挙への関心度別やや関心があった実数,442,35,-,17,18,243,17,65,70,27,64,164,11,80,2,71,-
選挙への関心度別やや関心があった（％）,100.0,7.9,-,3.8,4.1,55.0,3.8,14.7,15.8,6.1,14.5,37.1,2.5,18.1,0.5,16.1,-
選挙への関心度別関心がなかった（計）実数,179,13,-,7,6,114,10,26,32,19,27,49,1,30,1,17,3
選挙への関心度別関心がなかった（計）（％）,100.0,7.3,-,3.9,3.4,63.7,5.6,14.5,17.9,10.6,15.1,27.4,0.6,16.8,0.6,9.5,1.7
選挙への関心度別あまり関心がなかった実数,554,40,2,30,8,295,19,70,73,38,95,216,14,89,7,106,3
選挙への関心度別あまり関心がなかった（％）,100.0,7.2,0.4,5.4,1.4,53.2,3.4,12.6,13.2,6.9,17.1,39.0,2.5,16.1,1.3,19.1,0.5
選挙への関心度別関心がなかった実数,369,30,2,23,5,190,13,45,46,23,63,147,10,65,5,67,2
選挙への関心度別関心がなかった（％）,100.0,8.1,0.5,6.2,1.4,51.5,3.5,12.2,12.5,6.2,17.1,39.8,2.7,17.6,1.4,18.2,0.5
選挙への関心度別どちらともいえない実数,185,10,-,7,3,105,6,25,27,15,32,69,4,24,2,39,1
選挙への関心度別どちらともいえない（％）,100.0,5.4,-,3.8,1.6,56.8,3.2,13.5,14.6,8.1,17.3,37.3,2.2,13.0,1.1,21.1,0.5
選挙への関心度別わからない実数,7,2,-,2,-,2,-,-,-,2,-,3,-,1,-,2,-
選挙への関心度別わからない（％）,100.0,28.6,-,28.6,-,28.6,-,-,-,28.6,-,42.9,-,14.3,-,28.6,-
投票への意識別投票するべき（計）実数,1484,124,2,78,44,740,81,195,211,77,176,612,28,259,14,311,8
投票への意識別投票するべき（計）（％）,100.0,8.4,0.1,5.3,3.0,49.9,5.5,13.1,14.2,5.2,11.9,41.2,1.9,17.5,0.9,21.0,0.5
投票への意識別必ず投票するべき実数,703,63,1,39,23,321,48,84,97,29,63,316,12,125,9,170,3
投票への意識別必ず投票するべき（％）,100.0,9.0,0.1,5.5,3.3,45.7,6.8,11.9,13.8,4.1,9.0,45.0,1.7,17.8,1.3,24.2,0.4
投票への意識別可能な限り投票するべき実数,781,61,1,39,21,419,33,111,114,48,113,296,16,134,5,141,5
投票への意識別可能な限り投票するべき（％）,100.0,7.8,0.1,5.0,2.7,53.6,4.2,14.2,14.6,6.1,14.5,37.9,2.0,17.2,0.6,18.1,0.6
投票への意識別投票するのもしないのも自由実数,315,24,-,15,9,183,11,47,34,32,59,107,7,46,4,50,1
投票への意識別投票するのもしないのも自由（％）,100.0,7.6,-,4.8,2.9,58.1,3.5,14.9,10.8,10.2,18.7,34.0,2.2,14.6,1.3,15.9,0.3
投票への意識別その他実数,11,1,-,1,-,6,2,1,3,-,-,4,-,1,-,3,-
投票への意識別その他（％）,100.0,9.1,-,9.1,-,54.5,18.2,9.1,27.3,-,-,36.4,-,9.1,-,27.3,-
投票への意識別わからない実数,15,3,1,2,-,5,-,-,1,2,2,7,-,2,-,5,-
投票への意識別わからない（％）,100.0,20.0,6.7,13.3,-,33.3,-,-,6.7,13.3,13.3,46.7,-,13.3,-,33.3,-
投票への参加状況別投票した（計）実数,1246,108,2,67,39,612,70,175,172,59,136,519,21,222,12,264,7
投票への参加状況別投票した（計）（％）,100.0,8.7,0.2,5.4,3.1,49.1,5.6,14.0,13.8,4.7,10.9,41.7,1.7,17.8,1.0,21.2,0.6
投票への参加状況別投票日（12月14日）に投票した実数,987,81,2,51,28,472,49,138,127,51,107,427,18,178,7,224,7
投票への参加状況別投票日（12月14日）に投票した（％）,100.0,8.2,0.2,5.2,2.8,47.8,5.0,14.0,12.9,5.2,10.8,43.3,1.8,18.0,0.7,22.7,0.7
投票への参加状況別期日前投票（又は不在者投票等）をした実数,259,27,-,16,11,140,21,37,45,8,29,92,3,44,5,40,-
投票への参加状況別期日前投票（又は不在者投票等）をした（％）,100.0,10.4,-,6.2,4.2,54.1,8.1,14.3,17.4,3.1,11.2,35.5,1.2,17.0,1.9,15.4,-
投票への参加状況別投票しなかった実数,563,42,1,28,13,311,23,64,74,51,99,208,13,86,6,103,2
投票への参加状況別投票しなかった（％）,100.0,7.5,0.2,5.0,2.3,55.2,4.1,11.4,13.1,9.1,17.6,36.9,2.3,15.3,1.1,18.3,0.4
投票への参加状況別答えたくない実数,18,2,-,1,1,11,1,4,3,1,2,5,1,1,-,3,-
投票への参加状況別答えたくない（％）,100.0,11.1,-,5.6,5.6,61.1,5.6,22.2,16.7,5.6,11.1,27.8,5.6,5.6,-,16.7,-
新聞の定期購読定期購読している実数,1142,109,3,70,36,498,69,121,132,59,117,529,19,216,15,279,6
新聞の定期購読定期購読している（％）,100.0,9.5,0.3,6.1,3.2,43.6,6.0,10.6,11.6,5.2,10.2,46.3,1.7,18.9,1.3,24.4,0.5
新聞の定期購読定期購読していない実数,681,43,-,26,17,434,25,122,117,52,118,201,15,92,3,91,3
新聞の定期購読定期購読していない（％）,100.0,6.3,-,3.8,2.5,63.7,3.7,17.9,17.2,7.6,17.3,29.5,2.2,13.5,0.4,13.4,0.4
インターネットの利用有無利用している実数,984,79,1,45,33,675,69,192,206,55,153,224,33,124,10,57,6
インターネットの利用有無利用している（％）,100.0,8.0,0.1,4.6,3.4,68.6,7.0,19.5,20.9,5.6,15.5,22.8,3.4,12.6,1.0,5.8,0.6
インターネットの利用有無利用していない実数,835,73,2,51,20,256,25,51,42,56,82,504,2,182,8,312,2
インターネットの利用有無利用していない（％）,100.0,8.7,0.2,6.1,2.4,30.7,3.0,6.1,5.0,6.7,9.8,60.4,0.2,21.8,1.0,37.4,0.2
ネット選挙の認知度別知っている実数,955,88,1,53,34,536,64,157,156,45,114,325,15,147,8,155,6
ネット選挙の認知度別知っている（％）,100.0,9.2,0.1,5.5,3.6,56.1,6.7,16.4,16.3,4.7,11.9,34.0,1.6,15.4,0.8,16.2,0.6
ネット選挙の認知度別知らなかった実数,752,49,2,31,16,360,25,79,86,59,111,340,20,142,8,170,3
ネット選挙の認知度別知らなかった（％）,100.0,6.5,0.3,4.1,2.1,47.9,3.3,10.5,11.4,7.8,14.8,45.2,2.7,18.9,1.1,22.6,0.4
