,調査数,選挙期間に入る前から（12月1日以前）,投票日当日を除く選挙期間中（投票した日を除く）,投票した日当日,わからない、忘れた,無回答
選挙への関心度別やや関心があった（％）,100.0,35.4,52.3,9.2,3.1,-
選挙への関心度別関心がなかった（計）実数,22,7,12,1,1,1
選挙への関心度別関心がなかった（計）（％）,100.0,31.8,54.5,4.5,4.5,4.5
選挙への関心度別あまり関心がなかった実数,36,12,14,9,1,-
選挙への関心度別あまり関心がなかった（％）,100.0,33.3,38.9,25.0,2.8,-
選挙への関心度別関心がなかった実数,31,11,13,6,1,-
選挙への関心度別関心がなかった（％）,100.0,35.5,41.9,19.4,3.2,-
選挙への関心度別どちらともいえない実数,5,1,1,3,-,-
選挙への関心度別どちらともいえない（％）,100.0,20.0,20.0,60.0,-,-
選挙への関心度別わからない実数,-,-,-,-,-,-
選挙への関心度別わからない（％）,-,-,-,-,-,-
投票への意識別投票するべき（計）実数,244,118,101,19,4,2
投票への意識別投票するべき（計）（％）,100.0,48.4,41.4,7.8,1.6,0.8
投票への意識別必ず投票するべき実数,135,77,48,7,1,2
投票への意識別必ず投票するべき（％）,100.0,57.0,35.6,5.2,0.7,1.5
投票への意識別可能な限り投票するべき実数,109,41,53,12,3,-
投票への意識別可能な限り投票するべき（％）,100.0,37.6,48.6,11.0,2.8,-
投票への意識別投票するのもしないのも自由実数,14,6,4,3,1,-
投票への意識別投票するのもしないのも自由（％）,100.0,42.9,28.6,21.4,7.1,-
投票への意識別その他実数,-,-,-,-,-,-
投票への意識別その他（％）,-,-,-,-,-,-
投票への意識別わからない実数,1,-,-,-,1,-
投票への意識別わからない（％）,100.0,-,-,-,100.0,-
投票への参加状況別投票した（計）実数,259,124,105,22,6,2
投票への参加状況別投票した（計）（％）,100.0,47.9,40.5,8.5,2.3,0.8
投票への参加状況別投票日（12月14日）に投票した実数,-,-,-,-,-,-
投票への参加状況別投票日（12月14日）に投票した（％）,-,-,-,-,-,-
投票への参加状況別期日前投票（又は不在者投票等）をした実数,259,124,105,22,6,2
投票への参加状況別期日前投票（又は不在者投票等）をした（％）,100.0,47.9,40.5,8.5,2.3,0.8
投票への参加状況別投票しなかった実数,-,-,-,-,-,-
投票への参加状況別投票しなかった（％）,-,-,-,-,-,-
投票への参加状況別答えたくない実数,-,-,-,-,-,-
投票への参加状況別答えたくない（％）,-,-,-,-,-,-
新聞の定期購読定期購読している実数,182,94,73,14,1,-
新聞の定期購読定期購読している（％）,100.0,51.6,40.1,7.7,0.5,-
新聞の定期購読定期購読していない実数,77,30,32,8,5,2
新聞の定期購読定期購読していない（％）,100.0,39.0,41.6,10.4,6.5,2.6
インターネットの利用有無利用している実数,142,55,68,12,5,2
インターネットの利用有無利用している（％）,100.0,38.7,47.9,8.5,3.5,1.4
インターネットの利用有無利用していない実数,117,69,37,10,1,-
インターネットの利用有無利用していない（％）,100.0,59.0,31.6,8.5,0.9,-
ネット選挙の認知度別知っている実数,175,82,75,13,4,1
ネット選挙の認知度別知っている（％）,100.0,46.9,42.9,7.4,2.3,0.6
ネット選挙の認知度別知らなかった実数,69,33,26,7,2,1
ネット選挙の認知度別知らなかった（％）,100.0,47.8,37.7,10.1,2.9,1.4
