,参議院議員選挙／調査数,参議院議員選挙／候補者・政党等のホームページ・ブログ,参議院議員選挙／候補者等のツイッター・フェイスブック・ＬＩＮＥ等のＳＮＳ,参議院議員選挙／候補者等からのメール,参議院議員選挙／Youtubeなど動画共有サイトでの候補者演説等選挙関連の動画,参議院議員選挙／候補者・政党以外のホームページ・ブログ,参議院議員選挙／候補者・政党以外のツイッター・フェイスブック・ＬＩＮＥ等のＳＮＳ,参議院議員選挙／ニュースサイトや選挙情報サイト,参議院議員選挙／まとめサイトや電子掲示板などその他のサイト,参議院議員選挙／その他,参議院議員選挙／わからない、忘れた,東京都知事選挙／調査数,東京都知事選挙／候補者・政党等のホームページ・ブログ,東京都知事選挙／候補者等のツイッター・フェイスブック・ＬＩＮＥ等のＳＮＳ,東京都知事選挙／候補者等からのメール,東京都知事選挙／Youtubeなど動画共有サイトでの候補者演説等選挙関連の動画,東京都知事選挙／候補者・政党以外のホームページ・ブログ,東京都知事選挙／候補者・政党以外のツイッター・フェイスブック・ＬＩＮＥ等のＳＮＳ,東京都知事選挙／ニュースサイトや選挙情報サイト,東京都知事選挙／まとめサイトや電子掲示板などその他のサイト,東京都知事選挙／その他,東京都知事選挙／わからない、忘れた
性/年齢別女性60歳代,100.0,25.0,-,-,-,-,25.0,50.0,-,-,-,100.0,25.0,-,-,-,-,25.0,50.0,-,-,-
性/年齢別女性70歳代,4,1,-,-,2,-,1,2,1,-,-,4,1,-,-,2,-,1,2,1,-,-
性/年齢別女性70歳代,100.0,25.0,-,-,50.0,-,25.0,50.0,25.0,-,-,100.0,25.0,-,-,50.0,-,25.0,50.0,25.0,-,-
性/年齢別女性80歳以上,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
性/年齢別女性80歳以上,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
未・既婚別未婚,39,7,9,1,5,4,8,25,16,-,-,47,6,10,1,6,4,9,29,20,-,1
未・既婚別未婚,100.0,17.9,23.1,2.6,12.8,10.3,20.5,64.1,41.0,-,-,100.0,12.8,21.3,2.1,12.8,8.5,19.1,61.7,42.6,-,2.1
未・既婚別既婚（死別・離別を含む）,174,62,29,3,27,13,9,129,27,-,10,191,64,34,1,32,13,9,141,32,-,9
未・既婚別既婚（死別・離別を含む）,100.0,35.6,16.7,1.7,15.5,7.5,5.2,74.1,15.5,-,5.7,100.0,33.5,17.8,0.5,16.8,6.8,4.7,73.8,16.8,-,4.7
子供の有無別子供はいない,64,16,15,1,12,6,10,45,18,-,1,76,17,17,1,14,6,11,52,24,-,2
子供の有無別子供はいない,100.0,25.0,23.4,1.6,18.8,9.4,15.6,70.3,28.1,-,1.6,100.0,22.4,22.4,1.3,18.4,7.9,14.5,68.4,31.6,-,2.6
子供の有無別未就学（～６歳）,23,9,4,-,6,2,3,15,6,-,2,26,6,5,-,7,2,4,17,9,-,2
子供の有無別未就学（～６歳）,100.0,39.1,17.4,-,26.1,8.7,13.0,65.2,26.1,-,8.7,100.0,23.1,19.2,-,26.9,7.7,15.4,65.4,34.6,-,7.7
子供の有無別小・中・高校生,67,24,11,1,12,6,2,51,13,-,4,74,23,13,-,14,6,2,59,13,-,2
子供の有無別小・中・高校生,100.0,35.8,16.4,1.5,17.9,9.0,3.0,76.1,19.4,-,6.0,100.0,31.1,17.6,-,18.9,8.1,2.7,79.7,17.6,-,2.7
子供の有無別大学生・大学院生・短大生・専門学校生,21,5,3,-,2,1,-,18,5,-,2,22,5,4,-,4,1,-,18,5,-,1
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,23.8,14.3,-,9.5,4.8,-,85.7,23.8,-,9.5,100.0,22.7,18.2,-,18.2,4.5,-,81.8,22.7,-,4.5
子供の有無別学校教育終了,50,20,8,2,4,4,3,36,6,-,2,51,21,8,1,4,4,2,36,6,-,3
子供の有無別学校教育終了,100.0,40.0,16.0,4.0,8.0,8.0,6.0,72.0,12.0,-,4.0,100.0,41.2,15.7,2.0,7.8,7.8,3.9,70.6,11.8,-,5.9
子供の有無別その他,5,2,1,-,-,-,-,2,-,-,-,6,2,2,-,-,-,-,2,-,-,-
子供の有無別その他,100.0,40.0,20.0,-,-,-,-,40.0,-,-,-,100.0,33.3,33.3,-,-,-,-,33.3,-,-,-
職業別自営業（計）,24,9,6,2,7,3,5,17,7,-,-,27,11,6,1,7,3,5,18,8,-,-
職業別自営業（計）,100.0,37.5,25.0,8.3,29.2,12.5,20.8,70.8,29.2,-,-,100.0,40.7,22.2,3.7,25.9,11.1,18.5,66.7,29.6,-,-
職業別農林漁業,1,1,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-
職業別農林漁業,100.0,100.0,-,-,-,-,-,-,-,-,-,100.0,100.0,-,-,-,-,-,-,-,-,-
職業別商工・サービス業,6,1,1,-,3,1,2,4,3,-,-,6,1,1,-,3,1,2,4,3,-,-
職業別商工・サービス業,100.0,16.7,16.7,-,50.0,16.7,33.3,66.7,50.0,-,-,100.0,16.7,16.7,-,50.0,16.7,33.3,66.7,50,-,-
職業別その他自由業,17,7,5,2,4,2,3,13,4,-,-,20,9,5,1,4,2,3,14,5,-,-
職業別その他自由業,100.0,41.2,29.4,11.8,23.5,11.8,17.6,76.5,23.5,-,-,100.0,45.0,25.0,5.0,20.0,10.0,15.0,70.0,25.0,-,-
職業別お勤め（計）,137,51,26,2,20,13,7,108,26,-,4,155,50,31,1,25,13,8,122,33,-,3
職業別お勤め（計）,100.0,37.2,19.0,1.5,14.6,9.5,5.1,78.8,19.0,-,2.9,100.0,32.3,20.0,0.6,16.1,8.4,5.2,78.7,21.3,-,1.9
職業別経営・管理職,23,11,5,1,1,4,1,20,3,-,1,24,11,7,-,3,4,-,21,3,-,-
職業別経営・管理職,100.0,47.8,21.7,4.3,4.3,17.4,4.3,87.0,13.0,-,4.3,100.0,45.8,29.2,-,12.5,16.7,-,87.5,12.5,-,-
職業別専門職・技術職,46,13,7,-,7,4,4,35,8,-,2,51,12,8,-,8,4,4,38,10,-,2
職業別専門職・技術職,100.0,28.3,15.2,-,15.2,8.7,8.7,76.1,17.4,-,4.3,100.0,23.5,15.7,-,15.7,7.8,7.8,74.5,19.6,-,3.9
職業別事務職,42,18,7,1,6,3,2,32,10,-,-,50,18,9,1,9,3,3,39,14,-,-
職業別事務職,100.0,42.9,16.7,2.4,14.3,7.1,4.8,76.2,23.8,-,-,100.0,36.0,18.0,2.0,18.0,6.0,6.0,78.0,28.0,-,-
職業別労務職・技能職,7,4,-,-,-,-,-,7,2,-,-,7,4,-,-,-,-,-,7,2,-,-
職業別労務職・技能職,100.0,57.1,-,-,-,-,-,100.0,28.6,-,-,100.0,57.1,-,-,-,-,-,100.0,28.6,-,-
職業別販売・サービス職,19,5,7,-,6,2,-,14,3,-,1,23,5,7,-,5,2,1,17,4,-,1
職業別販売・サービス職,100.0,26.3,36.8,-,31.6,10.5,-,73.7,15.8,-,5.3,100.0,21.7,30.4,-,21.7,8.7,4.3,73.9,17.4,-,4.3
職業別その他（計）,52,9,6,-,5,1,5,29,10,-,6,56,9,7,-,6,1,5,30,11,-,7
職業別その他（計）,100.0,17.3,11.5,-,9.6,1.9,9.6,55.8,19.2,-,11.5,100.0,16.1,12.5,-,10.7,1.8,8.9,53.6,19.6,-,12.5
職業別生徒・学生,8,1,1,-,1,-,1,4,3,-,-,8,1,1,-,1,-,1,3,3,-,1
職業別生徒・学生,100.0,12.5,12.5,-,12.5,-,12.5,50.0,37.5,-,-,100.0,12.5,12.5,-,12.5,-,12.5,37.5,37.5,-,12.5
職業別専業主婦（夫）,28,7,3,-,2,1,2,16,4,-,4,31,7,3,-,3,1,2,18,5,-,4
職業別専業主婦（夫）,100.0,25.0,10.7,-,7.1,3.6,7.1,57.1,14.3,-,14.3,100.0,22.6,9.7,-,9.7,3.2,6.5,58.1,16.1,-,12.9
職業別その他,5,-,-,-,1,-,-,4,1,-,1,5,-,-,-,1,-,-,4,1,-,1
職業別その他,100.0,-,-,-,20.0,-,-,80.0,20.0,-,20.0,100.0,-,-,-,20.0,-,-,80.0,20.0,-,20.0
職業別無職（年金受給者含む）,11,1,2,-,1,-,2,5,2,-,1,12,1,3,-,1,-,2,5,2,-,1
職業別無職（年金受給者含む）,100.0,9.1,18.2,-,9.1,-,18.2,45.5,18.2,-,9.1,100.0,8.3,25.0,-,8.3,-,16.7,41.7,16.7,-,8.3
投票所までの時間別５分以内,76,27,13,2,13,8,7,54,12,-,3,83,25,16,1,15,8,8,56,14,-,3
投票所までの時間別５分以内,100.0,35.5,17.1,2.6,17.1,10.5,9.2,71.1,15.8,-,3.9,100.0,30.1,19.3,1.2,18.1,9.6,9.6,67.5,16.9,-,3.6
投票所までの時間別10分以内,108,34,18,2,15,7,6,77,21,-,7,126,39,21,1,20,7,6,91,28,-,7
投票所までの時間別10分以内,100.0,31.5,16.7,1.9,13.9,6.5,5.6,71.3,19.4,-,6.5,100.0,31.0,16.7,0.8,15.9,5.6,4.8,72.2,22.2,-,5.6
投票所までの時間別20分以内,26,8,5,-,2,2,2,22,10,-,-,26,6,5,-,1,2,2,22,10,-,-
投票所までの時間別20分以内,100.0,30.8,19.2,-,7.7,7.7,7.7,84.6,38.5,-,-,100.0,23.1,19.2,-,3.8,7.7,7.7,84.6,38.5,-,-
投票所までの時間別30分以内,2,-,1,-,2,-,1,1,-,-,-,2,-,1,-,2,-,1,1,-,-,-
投票所までの時間別30分以内,100.0,-,50.0,-,100.0,-,50.0,50.0,-,-,-,100.0,-,50.0,-,100.0,-,50.0,50.0,-,-,-
投票所までの時間別30分を超える,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票所までの時間別30分を超える,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票所までの時間別わからない,1,-,1,-,-,-,1,-,-,-,-,1,-,1,-,-,-,1,-,-,-,-
投票所までの時間別わからない,100.0,-,100.0,-,-,-,100.0,-,-,-,-,100.0,-,100.0,-,-,-,100.0,-,-,-,-
地域別区部（計）,143,54,24,4,29,12,9,103,19,-,7,161,56,26,2,33,11,10,116,26,-,7
地域別区部（計）,100.0,37.8,16.8,2.8,20.3,8.4,6.3,72.0,13.3,-,4.9,100.0,34.8,16.1,1.2,20.5,6.8,6.2,72.0,16.1,-,4.3
地域別センターコア,47,14,10,1,15,3,4,39,9,-,1,52,14,12,-,15,3,4,43,9,-,1
地域別センターコア,100.0,29.8,21.3,2.1,31.9,6.4,8.5,83.0,19.1,-,2.1,100.0,26.9,23.1,-,28.8,5.8,7.7,82.7,17.3,-,1.9
地域別区部東部・北部エリア,39,13,6,1,5,3,4,28,6,-,1,43,12,5,1,7,3,5,30,8,-,1
地域別区部東部・北部エリア,100.0,33.3,15.4,2.6,12.8,7.7,10.3,71.8,15.4,-,2.6,100.0,27.9,11.6,2.3,16.3,7.0,11.6,69.8,18.6,-,2.3
地域別区部西部・南部エリア,57,27,8,2,9,6,1,36,4,-,5,66,30,9,1,11,5,1,43,9,-,5
地域別区部西部・南部エリア,100.0,47.4,14.0,3.5,15.8,10.5,1.8,63.2,7.0,-,8.8,100.0,45.5,13.6,1.5,16.7,7.6,1.5,65.2,13.6,-,7.6
地域別市郡部（計）,70,15,14,-,3,5,8,51,24,-,3,77,14,18,-,5,6,8,54,26,-,3
地域別市郡部（計）,100.0,21.4,20.0,-,4.3,7.1,11.4,72.9,34.3,-,4.3,100.0,18.2,23.4,-,6.5,7.8,10.4,70.1,33.8,-,3.9
地域別多摩東部エリア,25,4,7,-,2,2,5,15,6,-,1,27,3,9,-,2,3,4,15,6,-,2
地域別多摩東部エリア,100.0,16.0,28.0,-,8.0,8.0,20.0,60.0,24.0,-,4.0,100.0,11.1,33.3,-,7.4,11.1,14.8,55.6,22.2,-,7.4
地域別多摩中央部北エリア,10,6,3,-,1,2,2,7,2,-,-,10,6,3,-,1,2,2,7,2,-,-
地域別多摩中央部北エリア,100.0,60.0,30.0,-,10.0,20.0,20.0,70.0,20.0,-,-,100.0,60.0,30.0,-,10.0,20.0,20.0,70.0,20.0,-,-
地域別多摩中央部南エリア,33,5,4,-,-,1,1,27,16,-,2,36,5,6,-,1,1,2,28,18,-,1
地域別多摩中央部南エリア,100.0,15.2,12.1,-,-,3.0,3.0,81.8,48.5,-,6.1,100.0,13.9,16.7,-,2.8,2.8,5.6,77.8,50,-,2.8
地域別多摩西部エリア,2,-,-,-,-,-,-,2,-,-,-,4,-,-,-,1,-,-,4,-,-,-
地域別多摩西部エリア,100.0,-,-,-,-,-,-,100.0,-,-,-,100.0,-,-,-,25.0,-,-,100.0,-,-,-
選挙への関心度別関心があった（計）,196,67,38,3,31,16,16,141,36,-,9,222,67,44,1,36,17,18,157,45,-,10
選挙への関心度別関心があった（計）,100.0,34.2,19.4,1.5,15.8,8.2,8.2,71.9,18.4,-,4.6,100.0,30.2,19.8,0.5,16.2,7.7,8.1,70.7,20.3,-,4.5
選挙への関心度別関心があった,109,34,24,1,15,7,14,69,22,-,5,135,38,29,1,26,7,15,91,26,-,6
選挙への関心度別関心があった,100.0,31.2,22.0,0.9,13.8,6.4,12.8,63.3,20.2,-,4.6,100.0,28.1,21.5,0.7,19.3,5.2,11.1,67.4,19.3,-,4.4
選挙への関心度別やや関心があった,87,33,14,2,16,9,2,72,14,-,4,87,29,15,-,10,10,3,66,19,-,4
選挙への関心度別やや関心があった,100.0,37.9,16.1,2.3,18.4,10.3,2.3,82.8,16.1,-,4.6,100.0,33.3,17.2,-,11.5,11.5,3.4,75.9,21.8,-,4.6
選挙への関心度別関心がなかった（計）,7,1,-,1,1,-,-,5,-,-,1,3,1,-,1,-,-,-,2,-,-,-
選挙への関心度別関心がなかった（計）,100.0,14.3,-,14.3,14.3,-,-,71.4,-,-,14.3,100.0,33.3,-,33.3,-,-,-,66.7,-,-,-
選挙への関心度別あまり関心がなかった,6,1,-,1,-,-,-,4,-,-,1,3,1,-,1,-,-,-,2,-,-,-
選挙への関心度別あまり関心がなかった,100.0,16.7,-,16.7,-,-,-,66.7,-,-,16.7,100.0,33.3,-,33.3,-,-,-,66.7,-,-,-
選挙への関心度別関心がなかった,1,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
選挙への関心度別関心がなかった,100.0,-,-,-,100.0,-,-,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
選挙への関心度別どちらともいえない,10,1,-,-,-,1,1,8,7,-,-,13,2,-,-,2,-,-,11,7,-,-
選挙への関心度別どちらともいえない,100.0,10.0,-,-,-,10.0,10.0,80.0,70.0,-,-,100.0,15.4,-,-,15.4,-,-,84.6,53.8,-,-
選挙への関心度別わからない,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
選挙への関心度別わからない,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への意識別投票するべき（計）,202,66,37,3,30,17,17,147,40,-,10,216,66,42,1,35,16,18,154,46,-,9
投票への意識別投票するべき（計）,100.0,32.7,18.3,1.5,14.9,8.4,8.4,72.8,19.8,-,5.0,100.0,30.6,19.4,0.5,16.2,7.4,8.3,71.3,21.3,-,4.2
投票への意識別必ず投票するべき,97,35,19,1,16,7,12,66,14,-,4,99,34,22,1,18,7,11,64,16,-,5
投票への意識別必ず投票するべき,100.0,36.1,19.6,1.0,16.5,7.2,12.4,68.0,14.4,-,4.1,100.0,34.3,22.2,1.0,18.2,7.1,11.1,64.6,16.2,-,5.1
投票への意識別可能な限り投票するべき,105,31,18,2,14,10,5,81,26,-,6,117,32,20,-,17,9,7,90,30,-,4
投票への意識別可能な限り投票するべき,100.0,29.5,17.1,1.9,13.3,9.5,4.8,77.1,24.8,-,5.7,100.0,27.4,17.1,-,14.5,7.7,6.0,76.9,25.6,-,3.4
投票への意識別投票するのもしないのも自由,10,3,1,1,2,-,-,6,3,-,-,21,4,2,1,3,1,-,15,6,-,1
投票への意識別投票するのもしないのも自由,100.0,30.0,10.0,10.0,20.0,-,-,60.0,30.0,-,-,100.0,19.0,9.5,4.8,14.3,4.8,-,71.4,28.6,-,4.8
投票への意識別その他,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への意識別その他,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への意識別わからない,1,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,1,-,-,-
投票への意識別わからない,100.0,-,-,-,-,-,-,100.0,-,-,-,100.0,-,-,-,-,-,-,100.0,-,-,-
投票への参加状況別投票した（計）,213,69,38,4,32,17,17,154,43,-,10,238,70,44,2,38,17,18,170,52,-,10
投票への参加状況別投票した（計）,100.0,32.4,17.8,1.9,15.0,8.0,8.0,72.3,20.2,-,4.7,100.0,29.4,18.5,0.8,16.0,7.1,7.6,71.4,21.8,-,4.2
投票への参加状況別投票日に投票した,157,49,23,4,23,11,9,115,34,-,7,169,47,26,2,23,11,11,121,40,-,7
投票への参加状況別投票日に投票した,100.0,31.2,14.6,2.5,14.6,7.0,5.7,73.2,21.7,-,4.5,100.0,27.8,15.4,1.2,13.6,6.5,6.5,71.6,23.7,-,4.1
投票への参加状況別期日前投票（又は不在者投票等）をした,56,20,15,-,9,6,8,39,9,-,3,69,23,18,-,15,6,7,49,12,-,3
投票への参加状況別期日前投票（又は不在者投票等）をした,100.0,35.7,26.8,-,16.1,10.7,14.3,69.6,16.1,-,5.4,100.0,33.3,26.1,-,21.7,8.7,10.1,71.0,17.4,-,4.3
投票への参加状況別投票しなかった,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別投票しなかった,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別答えたくない,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別答えたくない,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
新聞の定期購読別定期購読している,135,40,17,3,12,10,8,94,30,-,7,143,40,21,2,14,9,7,96,31,-,8
新聞の定期購読別定期購読している,100.0,29.6,12.6,2.2,8.9,7.4,5.9,69.6,22.2,-,5.2,100.0,28.0,14.7,1.4,9.8,6.3,4.9,67.1,21.7,-,5.6
新聞の定期購読別定期購読していない,78,29,21,1,20,7,9,60,13,-,3,95,30,23,-,24,8,11,74,21,-,2
新聞の定期購読別定期購読していない,100.0,37.2,26.9,1.3,25.6,9.0,11.5,76.9,16.7,-,3.8,100.0,31.6,24.2,-,25.3,8.4,11.6,77.9,22.1,-,2.1
インターネットの利用有無別インターネットを利用している,202,64,36,1,32,16,16,150,43,-,9,228,65,42,-,38,16,18,166,52,-,9
インターネットの利用有無別インターネットを利用している,100.0,31.7,17.8,0.5,15.8,7.9,7.9,74.3,21.3,-,4.5,100.0,28.5,18.4,-,16.7,7.0,7.9,72.8,22.8,-,3.9
インターネットの利用有無別インターネットを利用していない,11,5,2,3,-,1,1,4,-,-,1,10,5,2,2,-,1,-,4,-,-,1
