,調査数,旅行に出かけていたから,投票日を忘れていたから、知らなかったから,投票所へ行くのが面倒だったから,投票所が遠かった（不便だった、わからなかった）から,適当な候補者がいなかったから,候補者の人柄や政策がわからなかったから,政治や選挙には関心がないから,仕事が忙しく、時間がなかったから,病気（看病を含む）又は体調が悪かったから,選挙によって政治や暮らしが良くなるわけではないから,自分一人が投票しなくても選挙の結果に影響がないから,その他(雪の影響）,わからない、忘れた,その他（雪の影響以外）,無回答
性／年齢別女性30歳代,118,-,5,8,-,13,4,14,52,18,7,16,49,-,6,1
性／年齢別女性30歳代,100.0,-,4.2,6.8,-,11.0,3.4,11.9,44.1,15.3,5.9,13.6,41.5,-,5.1,0.8
性／年齢別女性40歳代,96,5,2,8,4,8,1,10,26,10,9,2,51,1,7,1
性／年齢別女性40歳代,100.0,5.2,2.1,8.3,4.2,8.3,1.0,10.4,27.1,10.4,9.4,2.1,53.1,1.0,7.3,1.0
性／年齢別女性50歳代,55,4,-,5,1,5,1,2,9,16,3,7,24,-,3,-
性／年齢別女性50歳代,100.0,7.3,-,9.1,1.8,9.1,1.8,3.6,16.4,29.1,5.5,12.7,43.6,-,5.5,-
性／年齢別女性60歳代,54,3,-,3,-,3,-,2,4,19,4,2,32,-,2,1
性／年齢別女性60歳代,100.0,5.6,-,5.6,-,5.6,-,3.7,7.4,35.2,7.4,3.7,59.3,-,3.7,1.9
性／年齢別女性70歳代,37,1,-,1,1,3,1,1,-,21,1,2,17,1,1,-
性／年齢別女性70歳代,100.0,2.7,-,2.7,2.7,8.1,2.7,2.7,-,56.8,2.7,5.4,45.9,2.7,2.7,-
性／年齢別女性80歳以上,35,2,-,2,-,-,-,3,1,23,2,1,18,-,1,-
性／年齢別女性80歳以上,100.0,5.7,-,5.7,-,-,-,8.6,2.9,65.7,5.7,2.9,51.4,-,2.9,-
未・既婚別未婚（死別・離別を含む）,502,16,30,58,6,47,14,93,213,62,48,53,169,6,14,4
未・既婚別未婚（死別・離別を含む）,100.0,3.2,6.0,11.6,1.2,9.4,2.8,18.5,42.4,12.4,9.6,10.6,33.7,1.2,2.8,0.8
未・既婚別既婚,454,16,4,26,9,47,16,27,90,96,23,24,230,2,28,2
未・既婚別既婚,100.0,3.5,0.9,5.7,2.0,10.4,3.5,5.9,19.8,21.1,5.1,5.3,50.7,0.4,6.2,0.4
子供の有無別子供はいない,480,17,29,56,6,50,17,92,226,35,41,54,158,4,15,3
子供の有無別子供はいない,100.0,3.5,6.0,11.7,1.3,10.4,3.5,19.2,47.1,7.3,8.5,11.3,32.9,0.8,3.1,0.6
子供の有無別未就学（～６歳）,79,-,1,3,1,8,2,2,19,16,7,3,36,1,12,2
子供の有無別未就学（～６歳）,100.0,-,1.3,3.8,1.3,10.1,2.5,2.5,24.1,20.3,8.9,3.8,45.6,1.3,15.2,2.5
子供の有無別小・中・高校生,130,5,1,6,5,12,6,9,28,12,12,4,69,2,6,-
子供の有無別小・中・高校生,100.0,3.8,0.8,4.6,3.8,9.2,4.6,6.9,21.5,9.2,9.2,3.1,53.1,1.5,4.6,-
子供の有無別大学生・大学院生・短大生・専門学校生,27,1,-,3,1,4,1,2,5,8,2,3,10,-,1,-
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,3.7,-,11.1,3.7,14.8,3.7,7.4,18.5,29.6,7.4,11.1,37.0,-,3.7,-
子供の有無別学校教育終了,244,9,-,15,3,25,7,12,27,90,10,12,124,1,7,1
子供の有無別学校教育終了,100.0,3.7,-,6.1,1.2,10.2,2.9,4.9,11.1,36.9,4.1,4.9,50.8,0.4,2.9,0.4
子供の有無別その他,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
子供の有無別その他,100.0,-,-,-,-,-,-,-,-,-,-,-,100.0,-,-,-
職業別自営業（計）,77,2,2,8,1,10,4,17,29,7,5,5,21,-,5,1
職業別自営業（計）,100.0,2.6,2.6,10.4,1.3,13.0,5.2,22.1,37.7,9.1,6.5,6.5,27.3,-,6.5,1.3
職業別農林漁業,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
職業別農林漁業,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
職業別商工・サービス業,32,-,1,2,1,6,3,6,14,3,1,-,11,-,-,1
職業別商工・サービス業,100.0,-,3.1,6.3,3.1,18.8,9.4,18.8,43.8,9.4,3.1,-,34.4,-,-,3.1
職業別その他自由業,45,2,1,6,-,4,1,11,15,4,4,5,10,-,5,-
職業別その他自由業,100.0,4.4,2.2,13.3,-,8.9,2.2,24.4,33.3,8.9,8.9,11.1,22.2,-,11.1,-
職業別お勤め（計）,508,17,22,44,10,56,15,72,255,19,42,46,180,5,18,2
職業別お勤め（計）,100.0,3.3,4.3,8.7,2.0,11.0,3.0,14.2,50.2,3.7,8.3,9.1,35.4,1.0,3.5,0.4
職業別経営・管理職,38,3,1,2,1,6,-,4,17,2,2,2,11,1,2,-
職業別経営・管理職,100.0,7.9,2.6,5.3,2.6,15.8,-,10.5,44.7,5.3,5.3,5.3,28.9,2.6,5.3,-
職業別専門職・技術職,115,4,4,6,2,12,7,15,56,4,8,6,39,1,7,-
職業別専門職・技術職,100.0,3.5,3.5,5.2,1.7,10.4,6.1,13.0,48.7,3.5,7.0,5.2,33.9,0.9,6.1,-
職業別事務職,174,7,9,17,4,17,5,23,84,7,13,17,63,2,4,1
職業別事務職,100.0,4.0,5.2,9.8,2.3,9.8,2.9,13.2,48.3,4.0,7.5,9.8,36.2,1.1,2.3,0.6
職業別労務職・技能職,47,1,1,3,-,5,1,6,19,-,4,6,19,-,3,1
職業別労務職・技能職,100.0,2.1,2.1,6.4,-,10.6,2.1,12.8,40.4,-,8.5,12.8,40.4,-,6.4,2.1
職業別販売・サービス職,134,2,7,16,3,16,2,24,79,6,15,15,48,1,2,-
職業別販売・サービス職,100.0,1.5,5.2,11.9,2.2,11.9,1.5,17.9,59.0,4.5,11.2,11.2,35.8,0.7,1.5,-
職業別その他（計）,375,13,10,32,4,28,11,32,20,132,23,26,200,3,20,3
職業別その他（計）,100.0,3.5,2.7,8.5,1.1,7.5,2.9,8.5,5.3,35.2,6.1,6.9,53.3,0.8,5.3,0.8
職業別学生,39,3,7,5,-,1,1,8,1,1,2,6,14,1,1,1
職業別学生,100.0,7.7,17.9,12.8,-,2.6,2.6,20.5,2.6,2.6,5.1,15.4,35.9,2.6,2.6,2.6
職業別専業主婦（夫）,163,7,1,8,2,12,3,8,9,49,8,7,100,-,14,1
職業別専業主婦（夫）,100.0,4.3,0.6,4.9,1.2,7.4,1.8,4.9,5.5,30.1,4.9,4.3,61.3,-,8.6,0.6
職業別その他,25,-,1,3,-,4,3,5,7,4,4,3,8,-,1,1
職業別その他,100.0,-,4.0,12.0,-,16.0,12.0,20.0,28.0,16.0,16.0,12.0,32.0,-,4.0,4.0
職業別無職（年金受給者含む）,148,3,1,16,2,11,4,11,3,78,9,10,78,2,4,-
職業別無職（年金受給者含む）,100.0,2.0,0.7,10.8,1.4,7.4,2.7,7.4,2.0,52.7,6.1,6.8,52.7,1.4,2.7,-
投票所までの時間別５分以内,237,5,3,25,3,38,8,38,73,38,23,35,68,3,13,2
投票所までの時間別５分以内,100.0,2.1,1.3,10.5,1.3,16.0,3.4,16.0,30.8,16.0,9.7,14.8,28.7,1.3,5.5,0.8
投票所までの時間別10分以内,573,22,28,49,6,46,16,73,199,95,38,34,266,3,23,4
投票所までの時間別10分以内,100.0,3.8,4.9,8.6,1.0,8.0,2.8,12.7,34.7,16.6,6.6,5.9,46.4,0.5,4.0,0.7
投票所までの時間別20分以内,113,4,1,8,4,7,5,5,21,21,6,6,52,2,6,-
投票所までの時間別20分以内,100.0,3.5,0.9,7.1,3.5,6.2,4.4,4.4,18.6,18.6,5.3,5.3,46.0,1.8,5.3,-
投票所までの時間別30分以内,23,-,1,1,1,2,1,2,9,2,3,1,12,-,-,-
投票所までの時間別30分以内,100.0,-,4.3,4.3,4.3,8.7,4.3,8.7,39.1,8.7,13.0,4.3,52.2,-,-,-
投票所までの時間別30分を超える,6,-,-,-,1,-,-,-,2,1,-,-,3,-,-,-
投票所までの時間別30分を超える,100.0,-,-,-,16.7,-,-,-,33.3,16.7,-,-,50.0,-,-,-
地域別区部（計）,634,23,28,58,6,74,25,104,222,122,63,62,211,6,36,6
地域別区部（計）,100.0,3.6,4.4,9.1,0.9,11.7,3.9,16.4,35.0,19.2,9.9,9.8,33.3,0.9,5.7,0.9
地域別センターコア,147,6,5,11,3,29,10,22,48,31,16,12,27,2,7,2
地域別センターコア,100.0,4.1,3.4,7.5,2.0,19.7,6.8,15.0,32.7,21.1,10.9,8.2,18.4,1.4,4.8,1.4
地域別区部東部・北部エリア,201,11,11,14,2,26,12,17,76,38,30,16,72,1,17,1
地域別区部東部・北部エリア,100.0,5.5,5.5,7.0,1.0,12.9,6.0,8.5,37.8,18.9,14.9,8.0,35.8,0.5,8.5,0.5
地域別区部西部・南部エリア,286,6,12,33,1,19,3,65,98,53,17,34,112,3,12,3
地域別区部西部・南部エリア,100.0,2.1,4.2,11.5,0.3,6.6,1.0,22.7,34.3,18.5,5.9,11.9,39.2,1.0,4.2,1.0
地域別市郡部（計）,329,9,6,26,9,20,5,17,83,36,9,15,190,2,7,-
地域別市郡部（計）,100.0,2.7,1.8,7.9,2.7,6.1,1.5,5.2,25.2,10.9,2.7,4.6,57.8,0.6,2.1,-
地域別多摩東部エリア,133,4,1,14,3,6,-,9,25,13,6,11,88,-,4,-
地域別多摩東部エリア,100.0,3.0,0.8,10.5,2.3,4.5,-,6.8,18.8,9.8,4.5,8.3,66.2,-,3.0,-
地域別多摩中央部北エリア,45,1,-,3,1,9,2,3,14,4,1,3,19,-,-,-
地域別多摩中央部北エリア,100.0,2.2,-,6.7,2.2,20.0,4.4,6.7,31.1,8.9,2.2,6.7,42.2,-,-,-
地域別多摩中央部南エリア,127,4,5,7,3,5,3,5,39,18,2,1,62,2,3,-
地域別多摩中央部南エリア,100.0,3.1,3.9,5.5,2.4,3.9,2.4,3.9,30.7,14.2,1.6,0.8,48.8,1.6,2.4,-
地域別多摩西部エリア,24,-,-,2,2,-,-,-,5,1,-,-,21,-,-,-
地域別多摩西部エリア,100.0,-,-,8.3,8.3,-,-,-,20.8,4.2,-,-,87.5,-,-,-
選挙への関心度別関心があった（計）,308,10,3,14,9,18,6,1,78,83,7,14,158,-,18,4
選挙への関心度別関心があった（計）,100.0,3.2,1.0,4.5,2.9,5.8,1.9,0.3,25.3,26.9,2.3,4.5,51.3,-,5.8,1.3
選挙への関心度別関心があった,104,4,-,6,6,9,2,-,18,29,1,4,49,-,6,2
選挙への関心度別関心があった,100.0,3.8,-,5.8,5.8,8.7,1.9,-,17.3,27.9,1.0,3.8,47.1,-,5.8,1.9
選挙への関心度別やや関心があった,204,6,3,8,3,9,4,1,60,54,6,10,109,-,12,2
選挙への関心度別やや関心があった,100.0,2.9,1.5,3.9,1.5,4.4,2.0,0.5,29.4,26.5,2.9,4.9,53.4,-,5.9,1.0
選挙への関心度別関心がなかった（計）,437,17,21,58,5,55,14,103,157,50,50,53,157,5,19,2
選挙への関心度別関心がなかった（計）,100.0,3.9,4.8,13.3,1.1,12.6,3.2,23.6,35.9,11.4,11.4,12.1,35.9,1.1,4.3,0.5
選挙への関心度別あまり関心がなかった,247,13,14,21,2,30,5,51,93,34,23,22,101,2,12,1
選挙への関心度別あまり関心がなかった,100.0,5.3,5.7,8.5,0.8,12.1,2.0,20.6,37.7,13.8,9.3,8.9,40.9,0.8,4.9,0.4
選挙への関心度別関心がなかった,190,4,7,37,3,25,9,52,64,16,27,31,56,3,7,1
選挙への関心度別関心がなかった,100.0,2.1,3.7,19.5,1.6,13.2,4.7,27.4,33.7,8.4,14.2,16.3,29.5,1.6,3.7,0.5
選挙への関心度別どちらともいえない,211,5,9,12,1,20,9,16,69,24,13,8,85,-,6,-
選挙への関心度別どちらともいえない,100.0,2.4,4.3,5.7,0.5,9.5,4.3,7.6,32.7,11.4,6.2,3.8,40.3,-,2.8,-
選挙への関心度別わからない、答えたくない,7,-,1,-,-,1,1,1,1,1,2,2,1,3,-,-
選挙への関心度別わからない、答えたくない,100.0,-,14.3,-,-,14.3,14.3,14.3,14.3,14.3,28.6,28.6,14.3,42.9,-,-
投票への意識別必ず投票するべき,66,4,-,4,3,8,1,-,12,17,2,3,37,-,3,1
投票への意識別必ず投票するべき,100.0,6.1,-,6.1,4.5,12.1,1.5,-,18.2,25.8,3.0,4.5,56.1,-,4.5,1.5
投票への意識別可能な限り投票するべき,435,13,12,21,7,34,9,27,155,98,23,17,209,-,24,1
投票への意識別可能な限り投票するべき,100.0,3.0,2.8,4.8,1.6,7.8,2.1,6.2,35.6,22.5,5.3,3.9,48.0,-,5.5,0.2
投票への意識別投票するのもしないのも自由,399,12,21,53,5,49,19,80,117,31,42,50,144,4,11,4
投票への意識別投票するのもしないのも自由,100.0,3.0,5.3,13.3,1.3,12.3,4.8,20.1,29.3,7.8,10.5,12.5,36.1,1.0,2.8,1.0
投票への意識別その他,8,1,-,1,-,1,-,1,3,2,1,1,2,-,2,-
投票への意識別その他,100.0,12.5,-,12.5,-,12.5,-,12.5,37.5,25.0,12.5,12.5,25.0,-,25.0,-
投票への意識別わからない,45,2,-,5,-,1,-,12,17,6,4,6,7,4,2,-
投票への意識別わからない,100.0,4.4,-,11.1,-,2.2,-,26.7,37.8,13.3,8.9,13.3,15.6,8.9,4.4,-
投票への参加状況別投票した（計）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別投票した（計）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別投票日（２月９日）に投票した,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別投票日（２月９日）に投票した,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別期日前投票（又は不在者投票等）をした,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別期日前投票（又は不在者投票等）をした,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別投票しなかった,963,32,34,84,15,94,30,121,305,158,72,77,401,8,43,6
投票への参加状況別投票しなかった,100.0,3.3,3.5,8.7,1.6,9.8,3.1,12.6,31.7,16.4,7.5,8.0,41.6,0.8,4.5,0.6
投票への参加状況別答えたくない,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別答えたくない,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ネット投票の認知度別知っている,539,15,12,36,8,56,15,51,197,63,26,38,245,-,26,5
ネット投票の認知度別知っている,100.0,2.8,2.2,6.7,1.5,10.4,2.8,9.5,36.5,11.7,4.8,7.1,45.5,-,4.8,0.9
ネット投票の認知度別知らなかった,375,17,22,38,7,38,15,63,97,87,43,35,126,8,15,1
ネット投票の認知度別知らなかった,100.0,4.5,5.9,10.1,1.9,10.1,4.0,16.8,25.9,23.2,11.5,9.3,33.6,2.1,4.0,0.3
インターネットの利用有無別インターネットを利用している,602,22,30,45,10,56,19,86,253,39,51,56,237,4,31,4
インターネットの利用有無別インターネットを利用している,100.0,3.7,5.0,7.5,1.7,9.3,3.2,14.3,42.0,6.5,8.5,9.3,39.4,0.7,5.1,0.7
インターネットの利用有無別インターネットを利用していない,360,10,4,38,5,38,11,35,51,119,21,21,164,4,12,2
インターネットの利用有無別インターネットを利用していない,100.0,2.8,1.1,10.6,1.4,10.6,3.1,9.7,14.2,33.1,5.8,5.8,45.6,1.1,3.3,0.6
新聞の定期購読別定期購読している,451,17,8,29,12,46,12,30,104,101,22,24,208,2,25,4
新聞の定期購読別定期購読している,100.0,3.8,1.8,6.4,2.7,10.2,2.7,6.7,23.1,22.4,4.9,5.3,46.1,0.4,5.5,0.9
新聞の定期購読別定期購読していない,508,15,26,55,3,48,18,91,197,57,50,53,191,6,18,2
新聞の定期購読別定期購読していない,100.0,3.0,5.1,10.8,0.6,9.4,3.5,17.9,38.8,11.2,9.8,10.4,37.6,1.2,3.5,0.4
