,参議院議員選挙/調査数,参議院議員選挙/候補者・政党等のホームページ・ブログ,参議院議員選挙/候補者等のツイッター・フェイスブック・ＬＩＮＥ等のＳＮＳ,参議院議員選挙/候補者等からのメール,参議院議員選挙/Youtubeなど動画共有サイトでの候補者演説等選挙関連の動画,参議院議員選挙/候補者・政党以外のホームページ・ブログ,参議院議員選挙/候補者・政党以外のツイッター・フェイスブック・ＬＩＮＥ等のＳＮＳ,参議院議員選挙/ニュースサイトや選挙情報サイト,参議院議員選挙/まとめサイトや電子掲示板などその他のサイト,参議院議員選挙/その他,参議院議員選挙/触れていない、見ていない,参議院議員選挙/わからない、忘れた,東京都知事選挙/調査数,東京都知事選挙/候補者・政党等のホームページ・ブログ,東京都知事選挙/候補者等のツイッター・フェイスブック・ＬＩＮＥ等のＳＮＳ,東京都知事選挙/候補者等からのメール,東京都知事選挙/Youtubeなど動画共有サイトでの候補者演説等選挙関連の動画,東京都知事選挙/候補者・政党以外のホームページ・ブログ,東京都知事選挙/候補者・政党以外のツイッター・フェイスブック・ＬＩＮＥ等のＳＮＳ,東京都知事選挙/ニュースサイトや選挙情報サイト,東京都知事選挙/まとめサイトや電子掲示板などその他のサイト,東京都知事選挙/その他,東京都知事選挙/触れていない、見ていない,東京都知事選挙/わからない、忘れた
性/年齢別女性18歳,100.0,-,-,-,-,-,-,60.0,20.0,-,40.0,-,100.0,-,-,-,-,-,-,60.0,20.0,-,40.0,-
性/年齢別女性19歳,2,-,-,-,-,-,-,-,-,-,2,-,3,-,-,-,-,-,-,-,-,-,3,-
性/年齢別女性19歳,100.0,-,-,-,-,-,-,-,-,-,100.0,-,100.0,-,-,-,-,-,-,-,-,-,100.0,-
性/年齢別女性20歳代,51,6,4,1,2,3,2,15,7,-,26,4,53,5,5,-,-,3,3,17,6,-,26,4
性/年齢別女性20歳代,100.0,11.8,7.8,2.0,3.9,5.9,3.9,29.4,13.7,-,51.0,7.8,100.0,9.4,9.4,-,-,5.7,5.7,32.1,11.3,-,49.1,7.5
性/年齢別女性30歳代,106,7,5,-,6,3,2,24,7,-,71,6,110,8,5,-,7,2,2,28,11,-,73,4
性/年齢別女性30歳代,100.0,6.6,4.7,-,5.7,2.8,1.9,22.6,6.6,-,67.0,5.7,100.0,7.3,4.5,-,6.4,1.8,1.8,25.5,10.0,-,66.4,3.6
性/年齢別女性40歳代,186,13,8,-,5,2,5,51,8,-,126,2,191,14,9,-,5,3,6,50,11,-,131,3
性/年齢別女性40歳代,100.0,7.0,4.3,-,2.7,1.1,2.7,27.4,4.3,-,67.7,1.1,100.0,7.3,4.7,-,2.6,1.6,3.1,26.2,5.8,-,68.6,1.6
性/年齢別女性50歳代,132,2,1,-,1,-,1,20,9,-,101,8,136,3,1,-,1,-,3,21,9,-,106,4
性/年齢別女性50歳代,100.0,1.5,0.8,-,0.8,-,0.8,15.2,6.8,-,76.5,6.1,100.0,2.2,0.7,-,0.7,-,2.2,15.4,6.6,-,77.9,2.9
性/年齢別女性60歳代,154,3,3,1,2,1,1,12,2,1,130,9,163,2,3,1,2,1,2,12,2,1,138,10
性/年齢別女性60歳代,100.0,1.9,1.9,0.6,1.3,0.6,0.6,7.8,1.3,0.6,84.4,5.8,100.0,1.2,1.8,0.6,1.2,0.6,1.2,7.4,1.2,0.6,84.7,6.1
性/年齢別女性70歳代,93,2,-,-,2,1,-,4,1,-,79,8,101,2,-,-,2,1,-,6,1,-,85,8
性/年齢別女性70歳代,100.0,2.2,-,-,2.2,1.1,-,4.3,1.1,-,84.9,8.6,100.0,2.0,-,-,2.0,1.0,-,5.9,1.0,-,84.2,7.9
性/年齢別女性80歳以上,33,-,-,-,-,-,-,-,-,-,31,2,33,-,-,-,-,-,-,1,-,-,29,3
性/年齢別女性80歳以上,100.0,-,-,-,-,-,-,-,-,-,93.9,6.1,100.0,-,-,-,-,-,-,3.0,-,-,87.9,9.1
未・既婚別未婚,216,15,12,1,12,4,10,56,27,-,125,15,223,13,14,-,11,5,11,63,30,-,126,11
未・既婚別未婚,100.0,6.9,5.6,0.5,5.6,1.9,4.6,25.9,12.5,-,57.9,6.9,100.0,5.8,6.3,-,4.9,2.2,4.9,28.3,13.5,-,56.5,4.9
未・既婚別既婚（死別・離別を含む）,1219,98,43,2,41,30,14,255,54,1,859,55,1268,94,48,2,47,30,24,272,63,1,890,52
未・既婚別既婚（死別・離別を含む）,100.0,8.0,3.5,0.2,3.4,2.5,1.1,20.9,4.4,0.1,70.5,4.5,100.0,7.4,3.8,0.2,3.7,2.4,1.9,21.5,5.0,0.1,70.2,4.1
子供の有無別子供はいない,263,29,22,1,18,9,13,85,32,-,138,15,273,28,24,-,19,11,14,93,38,-,139,12
子供の有無別子供はいない,100.0,11.0,8.4,0.4,6.8,3.4,4.9,32.3,12.2,-,52.5,5.7,100.0,10.3,8.8,-,7.0,4.0,5.1,34.1,13.9,-,50.9,4.4
子供の有無別未就学（～６歳）,94,13,7,-,9,5,6,32,11,-,51,3,97,12,9,-,10,5,7,37,16,-,52,-
子供の有無別未就学（～６歳）,100.0,13.8,7.4,-,9.6,5.3,6.4,34.0,11.7,-,54.3,3.2,100.0,12.4,9.3,-,10.3,5.2,7.2,38.1,16.5,-,53.6,-
子供の有無別小・中・高校生,320,32,12,-,15,13,5,102,20,-,193,10,339,32,15,-,17,12,6,113,23,-,202,10
子供の有無別小・中・高校生,100.0,10.0,3.8,-,4.7,4.1,1.6,31.9,6.3,-,60.3,3.1,100.0,9.4,4.4,-,5.0,3.5,1.8,33.3,6.8,-,59.6,2.9
子供の有無別大学生・大学院生・短大生・専門学校生,124,7,3,-,4,1,0.8,29,4,-,91,1,125,7,4,-,6,1,2,31,4,-,89,1
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,5.6,2.4,-,3.2,,,23.4,3.2,-,73.4,0.8,100.0,5.6,3.2,-,4.8,0.8,1.6,24.8,3.2,-,71.2,0.8
子供の有無別学校教育終了,649,35,14,2,10,7,2,77,18,-,516,39,671,30,14,2,10,7,8,78,18,-,538,36
子供の有無別学校教育終了,100.0,5.4,2.2,0.3,1.5,1.1,0.3,11.9,2.8,-,79.5,6.0,100.0,4.5,2.1,0.3,1.5,1.0,1.2,11.6,2.7,-,80.2,5.4
子供の有無別その他,52,6,1,-,-,1,-,7,1,1,37,3,55,6,2,-,-,1,-,7,1,1,38,4
子供の有無別その他,100.0,11.5,1.9,-,-,1.9,-,13.5,1.9,1.9,71.2,5.8,100.0,10.9,3.6,-,-,1.8,-,12.7,1.8,1.8,69.1,7.3
職業別自営業（計）,120,17,9,1,7,7,3,33,10,-,73,5,125,17,9,1,8,8,4,34,11,-,76,4
職業別自営業（計）,100.0,14.2,7.5,0.8,5.8,5.8,2.5,27.5,8.3,-,60.8,4.2,100.0,13.6,7.2,0.8,6.4,6.4,3.2,27.2,8.8,-,60.8,3.2
職業別農林漁業,1,1,-,-,-,-,-,1,-,-,-,-,1,1,-,-,-,-,-,1,-,-,-,-
職業別農林漁業,100.0,100.0,-,-,-,-,-,100.0,-,-,-,-,100.0,100.0,-,-,-,-,-,100.0,-,-,-,-
職業別商工・サービス業,36,4,2,-,2,2,1,8,3,-,26,1,38,4,2,-,2,2,1,8,3,-,28,1
職業別商工・サービス業,100.0,11.1,5.6,-,5.6,5.6,2.8,22.2,8.3,-,72.2,2.8,100.0,10.5,5.3,-,5.3,5.3,2.6,21.1,7.9,-,73.7,2.6
職業別その他自由業,83,12,7,1,5,5,2,24,7,-,47,4,86,12,7,1,6,6,3,25,8,-,48,3
職業別その他自由業,100.0,14.5,8.4,1.2,6.0,6.0,2.4,28.9,8.4,-,56.6,4.8,100.0,14.0,8.1,1.2,7.0,7.0,3.5,29.1,9.3,-,55.8,3.5
職業別お勤め（計）,621,70,37,1,31,24,16,207,51,-,351,30,646,68,43,-,36,24,21,228,61,-,361,22
職業別お勤め（計）,100.0,11.3,6.0,0.2,5.0,3.9,2.6,33.3,8.2,-,56.5,4.8,100.0,10.5,6.7,-,5.6,3.7,3.3,35.3,9.4,-,55.9,3.4
職業別経営・管理職,62,15,6,-,3,3,2,26,4,-,26,5,64,16,8,-,6,4,4,29,4,-,27,3
職業別経営・管理職,100.0,24.2,9.7,-,4.8,4.8,3.2,41.9,6.5,-,41.9,8.1,100.0,25.0,12.5,-,9.4,6.3,6.3,45.3,6.3,-,42.2,4.7
職業別専門職・技術職,157,20,11,-,10,10,6,67,13,-,78,4,158,18,12,-,12,10,7,71,12,-,76,3
職業別専門職・技術職,100.0,12.7,7.0,-,6.4,6.4,3.8,42.7,8.3,-,49.7,2.5,100.0,11.4,7.6,-,7.6,6.3,4.4,44.9,7.6,-,48.1,1.9
職業別事務職,165,23,11,1,11,7,4,61,15,-,80,13,181,23,14,-,12,6,5,73,24,-,86,10
職業別事務職,100.0,13.9,6.7,0.6,6.7,4.2,2.4,37.0,9.1,-,48.5,7.9,100.0,12.7,7.7,-,6.6,3.3,2.8,40.3,13.3,-,47.5,5.5
職業別労務職・技能職,50,4,1,-,1,3,-,16,5,-,33,1,51,4,1,-,1,3,-,16,5,-,34,1
職業別労務職・技能職,100.0,8.0,2.0,-,2.0,6.0,-,32.0,10.0,-,66.0,2.0,100.0,7.8,2.0,-,2.0,5.9,-,31.4,9.8,-,66.7,2.0
職業別販売・サービス職,187,8,8,-,6,1,4,37,14,-,134,7,192,7,8,-,5,1,5,39,16,-,138,5
職業別販売・サービス職,100.0,4.3,4.3,-,3.2,0.5,2.1,19.8,7.5,-,71.7,3.7,100.0,3.6,4.2,-,2.6,0.5,2.6,20.3,8.3,-,71.9,2.6
職業別その他（計）,694,26,9,1,15,3,5,71,20,1,560,35,720,22,10,1,14,3,10,73,21,1,579,37
職業別その他（計）,100.0,3.7,1.3,0.1,2.2,0.4,0.7,10.2,2.9,0.1,80.7,5.0,100.0,3.1,1.4,0.1,1.9,0.4,1.4,10.1,2.9,0.1,80.4,5.1
職業別生徒・学生,27,2,1,-,3,-,1,6,5,-,15,-,28,1,1,-,2,-,1,7,5,-,15,-
職業別生徒・学生,100.0,7.4,3.7,-,11.1,-,3.7,22.2,18.5,-,55.6,-,100.0,3.6,3.6,-,7.1,-,3.6,25.0,17.9,-,53.6,-
職業別専業主婦（夫）,340,13,5,1,8,3,2,45,12,-,273,13,354,11,5,1,8,3,4,45,13,-,285,15
職業別専業主婦（夫）,100.0,3.8,1.5,0.3,2.4,0.9,0.6,13.2,3.5,-,80.3,3.8,100.0,3.1,1.4,0.3,2.3,0.8,1.1,12.7,3.7,-,80.5,4.2
職業別その他,19,2,-,-,1,-,-,4,-,-,11,2,19,2,-,-,1,-,-,4,-,-,11,2
職業別その他,100.0,10.5,-,-,5.3,-,-,21.1,-,-,57.9,10.5,100.0,10.5,-,-,5.3,-,-,21.1,-,-,57.9,10.5
職業別無職（年金受給者含む）,308,9,3,-,3,-,2,16,3,1,261,20,319,8,4,-,3,-,5,17,3,1,268,20
職業別無職（年金受給者含む）,100.0,2.9,1.0,-,1.0,-,0.6,5.2,1.0,0.3,84.7,6.5,100.0,2.5,1.3,-,0.9,-,1.6,5.3,0.9,0.3,84.0,6.3
投票所までの時間別５分以内,359,43,20,2,16,9,11,104,24,-,207,26,371,38,25,2,19,11,14,104,25,-,219,22
投票所までの時間別５分以内,100.0,12.0,5.6,0.6,4.5,2.5,3.1,29.0,6.7,-,57.7,7.2,100.0,10.2,6.7,0.5,5.1,3.0,3.8,28.0,6.7,-,59.0,5.9
投票所までの時間別10分以内,838,57,27,1,28,20,8,172,45,1,591,33,876,59,29,-,31,18,15,192,56,1,609,30
投票所までの時間別10分以内,100.0,6.8,3.2,0.1,3.3,2.4,1.0,20.5,5.4,0.1,70.5,3.9,100.0,6.7,3.3,-,3.5,2.1,1.7,21.9,6.4,0.1,69.5,3.4
投票所までの時間別20分以内,222,12,6,-,7,5,4,33,12,-,174,11,228,9,6,-,6,6,5,36,12,-,177,11
投票所までの時間別20分以内,100.0,5.4,2.7,-,3.2,2.3,1.8,14.9,5.4,-,78.4,5.0,100.0,3.9,2.6,-,2.6,2.6,2.2,15.8,5.3,-,77.6,4.8
投票所までの時間別30分以内,12,1,1,-,2,-,1,2,-,-,9,-,12,1,1,-,2,-,1,3,-,-,8,-
投票所までの時間別30分以内,100.0,8.3,8.3,-,16.7,-,8.3,16.7,-,-,75.0,-,100.0,8.3,8.3,-,16.7,-,8.3,25.0,-,-,66.7,-
投票所までの時間別30分を超える,3,-,-,-,-,-,-,-,-,-,3,-,3,-,-,-,-,-,-,-,-,-,3,-
投票所までの時間別30分を超える,100.0,-,-,-,-,-,-,-,-,-,100.0,-,100.0,-,-,-,-,-,-,-,-,-,100.0,-
投票所までの時間別わからない,1,-,1,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-
投票所までの時間別わからない,100.0,-,100.0,-,-,-,-,-,-,-,-,-,100.0,-,100.0,-,-,-,-,-,-,-,-,-
地域別区部（計）,1089,79,40,3,46,29,14,241,51,1,743,61,1131,76,43,2,50,29,21,256,59,1,774,55
地域別区部（計）,100.0,7.3,3.7,0.3,4.2,2.7,1.3,22.1,4.7,0.1,68.2,5.6,100.0,6.7,3.8,0.2,4.4,2.6,1.9,22.6,5.2,0.1,68.4,4.9
地域別センターコア,307,22,18,-,25,8,4,101,15,-,187,11,319,21,20,-,27,9,7,107,16,-,194,9
地域別センターコア,100.0,7.2,5.9,-,8.1,2.6,1.3,32.9,4.9,-,60.9,3.6,100.0,6.6,6.3,-,8.5,2.8,2.2,33.5,5.0,-,60.8,2.8
地域別区部東部・北部エリア,318,21,10,1,10,7,4,46,14,1,248,11,336,18,11,1,10,7,5,51,17,1,261,10
地域別区部東部・北部エリア,100.0,6.6,3.1,0.3,3.1,2.2,1.3,14.5,4.4,0.3,78.0,3.5,100.0,5.4,3.3,0.3,3.0,2.1,1.5,15.2,5.1,0.3,77.7,3.0
地域別区部西部・南部エリア,464,36,12,2,11,14,6,94,22,-,308,39,476,37,12,1,13,13,9,98,26,-,319,36
地域別区部西部・南部エリア,100.0,7.8,2.6,0.4,2.4,3.0,1.3,20.3,4.7,-,66.4,8.4,100.0,7.8,2.5,0.2,2.7,2.7,1.9,20.6,5.5,-,67.0,7.6
地域別市郡部（計）,346,34,15,-,7,5,10,70,30,-,241,9,360,31,19,-,8,6,14,79,34,-,242,8
地域別市郡部（計）,100.0,9.8,4.3,-,2.0,1.4,2.9,20.2,8.7,-,69.7,2.6,100.0,8.6,5.3,-,2.2,1.7,3.9,21.9,9.4,-,67.2,2.2
地域別多摩東部エリア,106,17,8,-,4,1,4,21,8,-,69,3,113,15,11,-,4,1,6,22,9,-,71,4
地域別多摩東部エリア,100.0,16.0,7.5,-,3.8,0.9,3.8,19.8,7.5,-,65.1,2.8,100.0,13.3,9.7,-,3.5,0.9,5.3,19.5,8.0,-,62.8,3.5
地域別多摩中央部北エリア,56,8,2,-,2,3,4,12,4,-,36,2,58,8,2,-,1,3,4,13,5,-,37,1
地域別多摩中央部北エリア,100.0,14.3,3.6,-,3.6,5.4,7.1,21.4,7.1,-,64.3,3.6,100.0,13.8,3.4,-,1.7,5.2,6.9,22.4,8.6,-,63.8,1.7
地域別多摩中央部南エリア,161,9,5,-,1,1,2,33,17,-,117,4,164,8,6,-,2,2,3,38,18,-,116,3
地域別多摩中央部南エリア,100.0,5.6,3.1,-,0.6,0.6,1.2,20.5,10.6,-,72.7,2.5,100.0,4.9,3.7,-,1.2,1.2,1.8,23.2,11.0,-,70.7,1.8
地域別多摩西部エリア,23,-,-,-,-,-,-,4,1,-,19,-,25,-,-,-,1,-,1,6,2,-,18,-
地域別多摩西部エリア,100.0,-,-,-,-,-,-,17.4,4.3,-,82.6,-,100.0,-,-,-,4.0,-,4.0,24.0,8.0,-,72.0,-
選挙への関心度別関心があった（計）,1206,110,55,2,49,32,21,270,63,1,813,62,1337,104,62,2,55,34,33,307,81,1,900,60
選挙への関心度別関心があった（計）,100.0,9.1,4.6,0.2,4.1,2.7,1.7,22.4,5.2,0.1,67.4,5.1,100.0,7.8,4.6,0.1,4.1,2.5,2.5,23.0,6.1,0.1,67.3,4.5
選挙への関心度別関心があった,608,66,35,2,24,14,15,120,39,-,424,26,738,71,41,2,38,17,21,166,52,-,500,29
選挙への関心度別関心があった,100.0,10.9,5.8,0.3,3.9,2.3,2.5,19.7,6.4,-,69.7,4.3,100.0,9.6,5.6,0.3,5.1,2.3,2.8,22.5,7.0,-,67.8,3.9
選挙への関心度別やや関心があった,598,44,20,-,25,18,6,150,24,1,389,36,599,33,21,-,17,17,12,141,29,1,400,31
選挙への関心度別やや関心があった,100.0,7.4,3.3,-,4.2,3.0,1.0,25.1,4.0,0.2,65.1,6.0,100.0,5.5,3.5,-,2.8,2.8,2.0,23.5,4.8,0.2,66.8,5.2
選挙への関心度別関心がなかった（計）,70,1,-,1,2,-,2,7,3,-,54,3,45,1,-,-,-,-,1,6,3,-,34,1
選挙への関心度別関心がなかった（計）,100.0,1.4,-,1.4,2.9,-,2.9,10.0,4.3,-,77.1,4.3,100.0,2.2,-,-,-,-,2.2,13.3,6.7,-,75.6,2.2
選挙への関心度別あまり関心がなかった,59,1,-,1,1,-,2,6,3,-,46,1,36,1,-,-,-,-,1,5,3,-,27,-
選挙への関心度別あまり関心がなかった,100.0,1.7,-,1.7,1.7,-,3.4,10.2,5.1,-,78.0,1.7,100.0,2.8,-,-,-,-,2.8,13.9,8.3,-,75.0,-
選挙への関心度別関心がなかった,11,-,-,-,1,-,-,1,-,-,8,2,9,-,-,-,-,-,-,1,-,-,7,1
選挙への関心度別関心がなかった,100.0,-,-,-,9.1,-,-,9.1,-,-,72.7,18.2,100.0,-,-,-,-,-,-,11.1,-,-,77.8,11.1
選挙への関心度別どちらともいえない,159,2,-,-,2,2,1,34,15,-,117,5,109,2,-,-,3,1,1,22,9,-,82,2
選挙への関心度別どちらともいえない,100.0,1.3,-,-,1.3,1.3,0.6,21.4,9.4,-,73.6,3.1,100.0,1.8,-,-,2.8,0.9,0.9,20.2,8.3,-,75.2,1.8
選挙への関心度別わからない,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
選挙への関心度別わからない,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への意識別投票するべき（計）,1313,108,54,2,49,34,24,287,69,1,894,67,1351,102,59,2,54,34,34,303,77,1,921,60
投票への意識別投票するべき（計）,100.0,8.2,4.1,0.2,3.7,2.6,1.8,21.9,5.3,0.1,68.1,5.1,100.0,7.5,4.4,0.1,4.0,2.5,2.5,22.4,5.7,0.1,68.2,4.4
投票への意識別必ず投票するべき,584,60,26,2,27,15,13,107,31,-,422,22,607,59,28,2,30,15,17,118,34,-,437,20
投票への意識別必ず投票するべき,100.0,10.3,4.5,0.3,4.6,2.6,2.2,18.3,5.3,-,72.3,3.8,100.0,9.7,4.6,0.3,4.9,2.5,2.8,19.4,5.6,-,72.0,3.3
投票への意識別可能な限り投票するべき,729,48,28,-,22,19,11,180,38,1,472,45,744,43,31,-,24,19,17,185,43,1,484,40
投票への意識別可能な限り投票するべき,100.0,6.6,3.8,-,3.0,2.6,1.5,24.7,5.2,0.1,64.7,6.2,100.0,5.8,4.2,-,3.2,2.6,2.3,24.9,5.8,0.1,65.1,5.4
投票への意識別投票するのもしないのも自由,114,5,1,1,4,-,-,21,12,-,86,2,132,5,3,-,4,1,1,29,16,-,91,2
投票への意識別投票するのもしないのも自由,100.0,4.4,0.9,0.9,3.5,-,-,18.4,10.5,-,75.4,1.8,100.0,3.8,2.3,-,3.0,0.8,0.8,22.0,12.1,-,68.9,1.5
投票への意識別その他,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への意識別その他,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への意識別わからない,8,-,-,-,-,-,-,3,-,-,4,1,8,-,-,-,-,-,-,3,-,-,4,1
