,参議院議員選挙/調査数,参議院議員選挙/関心があった（計）,参議院議員選挙/関心があった,参議院議員選挙/やや関心があった,参議院議員選挙/どちらともいえない,参議院議員選挙/関心がなかった（計）,参議院議員選挙/あまり関心がなかった,参議院議員選挙/関心がなかった,参議院議員選挙/わからない,東京都知事選挙/調査数,東京都知事選挙/関心があった（計）,東京都知事選挙/関心があった,東京都知事選挙/やや関心があった,東京都知事選挙/どちらともいえない,東京都知事選挙/関心がなかった（計）,東京都知事選挙/あまり関心がなかった,東京都知事選挙/関心がなかった,東京都知事選挙/わからない,,,,,,,
性/年齢別男性20歳代,100.0,33.7,15.7,18.1,25.3,39.8,16.9,22.9,1.2,100.0,41.0,19.3,21.7,21.7,36.1,16.9,19.3,1.2,,,,,,,
性/年齢別男性30歳代,122,92,38,54,16,14,6,8,-,122,95,49,46,15,12,6,6,-,,,,,,,
性/年齢別男性30歳代,100.0,75.4,31.1,44.3,13.1,11.5,4.9,6.6,-,100.0,77.9,40.2,37.7,12.3,9.8,4.9,4.9,-,,,,,,,
性/年齢別男性40歳代,170,132,57,75,21,17,9,8,-,170,144,69,75,17,9,3,6,-,,,,,,,
性/年齢別男性40歳代,100.0,77.6,33.5,44.1,12.4,10.0,5.3,4.7,-,100.0,84.7,40.6,44.1,10.0,5.3,1.8,3.5,-,,,,,,,
性/年齢別男性50歳代,152,119,66,53,21,11,6,5,1,152,127,79,48,16,8,4,4,1,,,,,,,
性/年齢別男性50歳代,100.0,78.3,43.4,34.9,13.8,7.2,3.9,3.3,0.7,100.0,83.6,52.0,31.6,10.5,5.3,2.6,2.6,0.7,,,,,,,
性/年齢別男性60歳代,157,138,85,53,11,8,4,4,-,157,143,98,45,8,6,2,4,-,,,,,,,
性/年齢別男性60歳代,100.0,87.9,54.1,33.8,7.0,5.1,2.5,2.5,-,100.0,91.1,62.4,28.7,5.1,3.8,1.3,2.5,-,,,,,,,
性/年齢別男性70歳代,107,90,69,21,7,9,8,1,1,107,94,76,18,6,6,5,1,1,,,,,,,
性/年齢別男性70歳代,100.0,84.1,64.5,19.6,6.5,8.4,7.5,0.9,0.9,100.0,87.9,71.0,16.8,5.6,5.6,4.7,0.9,0.9,,,,,,,
性/年齢別男性80歳以上,48,37,28,9,4,3,1,2,4,48,38,28,10,4,2,1,1,4,,,,,,,
性/年齢別男性80歳以上,100.0,77.1,58.3,18.8,8.3,6.3,2.1,4.2,8.3,100.0,79.2,58.3,20.8,8.3,4.2,2.1,2.1,8.3,,,,,,,
性/年齢別女性18歳,6,3,2,1,2,1,-,1,-,6,4,3,1,2,-,-,-,-,,,,,,,
性/年齢別女性18歳,100.0,50.0,33.3,16.7,33.3,16.7,-,16.7,-,100.0,66.7,50.0,16.7,33.3,-,-,-,-,,,,,,,
性/年齢別女性19歳,8,1,-,1,1,4,1,3,2,8,1,-,1,1,4,1,3,2,,,,,,,
性/年齢別女性19歳,100.0,12.5,-,12.5,12.5,50.0,12.5,37.5,25.0,100.0,12.5,-,12.5,12.5,50.0,12.5,37.5,25.0,,,,,,,
性/年齢別女性20歳代,81,33,17,16,15,33,20,13,-,81,38,20,18,14,29,16,13,-,,,,,,,
性/年齢別女性20歳代,100.0,40.7,21.0,19.8,18.5,40.7,24.7,16.0,-,100.0,46.9,24.7,22.2,17.3,35.8,19.8,16.0,-,,,,,,,
性/年齢別女性30歳代,135,78,22,56,44,13,11,2,-,135,95,31,64,31,9,6,3,-,,,,,,,
性/年齢別女性30歳代,100.0,57.8,16.3,41.5,32.6,9.6,8.1,1.5,-,100.0,70.4,23.0,47.4,23.0,6.7,4.4,2.2,-,,,,,,,
性/年齢別女性40歳代,228,145,41,104,55,28,17,11,-,228,184,58,126,24,20,12,8,-,,,,,,,
性/年齢別女性40歳代,100.0,63.6,18.0,45.6,24.1,12.3,7.5,4.8,-,100.0,80.7,25.4,55.3,10.5,8.8,5.3,3.5,-,,,,,,,
性/年齢別女性50歳代,159,124,50,74,24,11,7,4,-,159,135,63,72,16,8,5,3,-,,,,,,,
性/年齢別女性50歳代,100.0,78.0,31.4,46.5,15.1,6.9,4.4,2.5,-,100.0,84.9,39.6,45.3,10.1,5.0,3.1,1.9,-,,,,,,,
性/年齢別女性60歳代,180,136,71,65,26,18,10,8,-,180,152,93,59,15,13,5,8,-,,,,,,,
性/年齢別女性60歳代,100.0,75.6,39.4,36.1,14.4,10.0,5.6,4.4,-,100.0,84.4,51.7,32.8,8.3,7.2,2.8,4.4,-,,,,,,,
性/年齢別女性70歳代,124,86,49,37,22,15,7,8,1,124,98,58,40,14,11,6,5,1,,,,,,,
性/年齢別女性70歳代,100.0,69.4,39.5,29.8,17.7,12.1,5.6,6.5,0.8,100.0,79.0,46.8,32.3,11.3,8.9,4.8,4.0,0.8,,,,,,,
性/年齢別女性80歳以上,50,33,21,12,6,6,3,3,5,50,34,24,10,6,5,2,3,5,,,,,,,
性/年齢別女性80歳以上,100.0,66.0,42.0,24.0,12.0,12.0,6.0,6.0,10.0,100.0,68.0,48.0,20.0,12.0,10.0,4.0,6.0,10.0,,,,,,,
未・既婚別未婚,344,168,81,87,73,100,48,52,3,344,191,96,95,64,86,40,46,3,,,,,,,
未・既婚別未婚,100.0,48.8,23.5,25.3,21.2,29.1,14.0,15.1,0.9,100.0,55.5,27.9,27.6,18.6,25.0,11.6,13.4,0.9,,,,,,,
未・既婚別既婚（死別・離別を含む）,1479,1115,552,563,225,127,77,50,12,1479,1233,673,560,145,89,49,40,12,,,,,,,
未・既婚別既婚（死別・離別を含む）,100.0,75.4,37.3,38.1,15.2,8.6,5.2,3.4,0.8,100.0,83.4,45.5,37.9,9.8,6.0,3.3,2.7,0.8,,,,,,,
子供の有無別子供はいない,404,214,110,104,84,103,50,53,3,404,243,135,108,72,86,39,47,3,,,,,,,
子供の有無別子供はいない,100.0,53.0,27.2,25.7,20.8,25.5,12.4,13.1,0.7,100.0,60.1,33.4,26.7,17.8,21.3,9.7,11.6,0.7,,,,,,,
子供の有無別未就学（～６歳）,114,79,36,43,19,16,10,6,-,114,91,46,45,13,10,6,4,-,,,,,,,
子供の有無別未就学（～６歳）,100.0,69.3,31.6,37.7,16.7,14.0,8.8,5.3,-,100.0,79.8,40.4,39.5,11.4,8.8,5.3,3.5,-,,,,,,,
子供の有無別小・中・高校生,394,281,97,184,80,33,19,14,-,394,326,132,194,43,25,14,11,-,,,,,,,
子供の有無別小・中・高校生,100.0,71.3,24.6,46.7,20.3,8.4,4.8,3.6,-,100.0,82.7,33.5,49.2,10.9,6.3,3.6,2.8,-,,,,,,,
子供の有無別大学生・大学院生・短大生・専門学校生,144,114,52,62,16,14,12,2,-,144,124,64,60,11,9,7,2,-,,,,,,,
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,79.2,36.1,43.1,11.1,9.7,8.3,1.4,-,100.0,86.1,44.4,41.7,7.6,6.3,4.9,1.4,-,,,,,,,
子供の有無別学校教育終了,791,611,334,277,105,63,35,28,12,791,657,390,267,75,47,23,24,12,,,,,,,
子供の有無別学校教育終了,100.0,77.2,42.2,35.0,13.3,8.0,4.4,3.5,1.5,100.0,83.1,49.3,33.8,9.5,5.9,2.9,3.0,1.5,,,,,,,
子供の有無別その他,60,51,36,15,5,4,3,1,-,60,56,44,12,2,2,2,-,-,,,,,,,
子供の有無別その他,100.0,85.0,60.0,25.0,8.3,6.7,5.0,1.7,-,100.0,93.3,73.3,20.0,3.3,3.3,3.3,-,-,,,,,,,
職業別自営業（計）,133,107,63,44,16,10,5,5,-,133,118,73,45,9,6,1,5,-,,,,,,,
職業別自営業（計）,100.0,80.5,47.4,33.1,12.0,7.5,3.8,3.8,-,100.0,88.7,54.9,33.8,6.8,4.5,0.8,3.8,-,,,,,,,
職業別農林漁業,1,1,1,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,,,,,,,
職業別農林漁業,100.0,100.0,100.0,-,-,-,-,-,-,100.0,100.0,100.0,-,-,-,-,-,-,,,,,,,
職業別商工・サービス業,42,34,20,14,4,4,1,3,-,42,37,27,10,2,3,-,3,-,,,,,,,
職業別商工・サービス業,100.0,81.0,47.6,33.3,9.5,9.5,2.4,7.1,-,100.0,88.1,64.3,23.8,4.8,7.1,-,7.1,-,,,,,,,
職業別その他自由業,90,72,42,30,12,6,4,2,-,90,80,45,35,7,3,1,2,-,,,,,,,
職業別その他自由業,100.0,80.0,46.7,33.3,13.3,6.7,4.4,2.2,-,100.0,88.9,50.0,38.9,7.8,3.3,1.1,2.2,-,,,,,,,
職業別お勤め（計）,821,551,236,315,149,120,66,54,1,821,612,297,315,111,97,50,47,1,,,,,,,
職業別お勤め（計）,100.0,67.1,28.7,38.4,18.1,14.6,8.0,6.6,0.1,100.0,74.5,36.2,38.4,13.5,11.8,6.1,5.7,0.1,,,,,,,
職業別経営・管理職,74,61,37,24,8,5,2,3,-,74,67,44,23,4,3,-,3,-,,,,,,,
職業別経営・管理職,100.0,82.4,50.0,32.4,10.8,6.8,2.7,4.1,-,100.0,90.5,59.5,31.1,5.4,4.1,-,4.1,-,,,,,,,
職業別専門職・技術職,196,146,66,80,31,18,11,7,1,196,156,84,72,25,14,7,7,1,,,,,,,
職業別専門職・技術職,100.0,74.5,33.7,40.8,15.8,9.2,5.6,3.6,0.5,100.0,79.6,42.9,36.7,12.8,7.1,3.6,3.6,0.5,,,,,,,
職業別事務職,221,150,56,94,42,29,21,8,-,221,170,78,92,28,23,19,4,-,,,,,,,
職業別事務職,100.0,67.9,25.3,42.5,19.0,13.1,9.5,3.6,-,100.0,76.9,35.3,41.6,12.7,10.4,8.6,1.8,-,,,,,,,
職業別労務職・技能職,61,45,23,22,6,10,5,5,-,61,45,25,20,7,9,6,3,-,,,,,,,
職業別労務職・技能職,100.0,73.8,37.7,36.1,9.8,16.4,8.2,8.2,-,100.0,73.8,41.0,32.8,11.5,14.8,9.8,4.9,-,,,,,,,
職業別販売・サービス職,269,149,54,95,62,58,27,31,-,269,174,66,108,47,48,18,30,-,,,,,,,
職業別販売・サービス職,100.0,55.4,20.1,35.3,23.0,21.6,10.0,11.5,-,100.0,64.7,24.5,40.1,17.5,17.8,6.7,11.2,-,,,,,,,
職業別その他（計）,869,625,334,291,133,97,54,43,14,869,694,399,295,89,72,38,34,14,,,,,,,
職業別その他（計）,100.0,71.9,38.4,33.5,15.3,11.2,6.2,4.9,1.6,100.0,79.9,45.9,33.9,10.2,8.3,4.4,3.9,1.6,,,,,,,
職業別生徒・学生,47,20,15,5,6,19,8,11,2,47,22,17,5,6,17,9,8,2,,,,,,,
職業別生徒・学生,100.0,42.6,31.9,10.6,12.8,40.4,17.0,23.4,4.3,100.0,46.8,36.2,10.6,12.8,36.2,19.1,17.0,4.3,,,,,,,
職業別専業主婦（夫）,395,282,119,163,79,33,25,8,1,395,329,156,173,45,20,13,7,1,,,,,,,
職業別専業主婦（夫）,100.0,71.4,30.1,41.3,20.0,8.4,6.3,2.0,0.3,100.0,83.3,39.5,43.8,11.4,5.1,3.3,1.8,0.3,,,,,,,
職業別その他,25,19,10,9,2,4,2,2,-,25,20,13,7,3,2,1,1,-,,,,,,,
職業別その他,100.0,76.0,40.0,36.0,8.0,16.0,8.0,8.0,-,100.0,80.0,52.0,28.0,12.0,8.0,4.0,4.0,-,,,,,,,
職業別無職（年金受給者含む）,402,304,190,114,46,41,19,22,11,402,323,213,110,35,33,15,18,11,,,,,,,
職業別無職（年金受給者含む）,100.0,75.6,47.3,28.4,11.4,10.2,4.7,5.5,2.7,100.0,80.3,53.0,27.4,8.7,8.2,3.7,4.5,2.7,,,,,,,
投票所までの時間別５分以内,433,330,172,158,60,41,21,20,2,433,361,219,142,39,31,14,17,2,,,,,,,
投票所までの時間別５分以内,100.0,76.2,39.7,36.5,13.9,9.5,4.8,4.6,0.5,100.0,83.4,50.6,32.8,9.0,7.2,3.2,3.9,0.5,,,,,,,
投票所までの時間別10分以内,1067,742,342,400,177,143,76,67,5,1067,824,416,408,122,116,57,59,5,,,,,,,
投票所までの時間別10分以内,100.0,69.5,32.1,37.5,16.6,13.4,7.1,6.3,0.5,100.0,77.2,39.0,38.2,11.4,10.9,5.3,5.5,0.5,,,,,,,
投票所までの時間別20分以内,288,197,110,87,56,30,21,9,5,288,220,124,96,44,19,14,5,5,,,,,,,
投票所までの時間別20分以内,100.0,68.4,38.2,30.2,19.4,10.4,7.3,3.1,1.7,100.0,76.4,43.1,33.3,15.3,6.6,4.9,1.7,1.7,,,,,,,
投票所までの時間別30分以内,21,11,6,5,3,4,2,2,3,21,14,7,7,2,2,1,1,3,,,,,,,
投票所までの時間別30分以内,100.0,52.4,28.6,23.8,14.3,19.0,9.5,9.5,14.3,100.0,66.7,33.3,33.3,9.5,9.5,4.8,4.8,14.3,,,,,,,
投票所までの時間別30分を超える,3,2,2,-,-,1,1,-,-,3,2,2,-,-,1,1,-,-,,,,,,,
投票所までの時間別30分を超える,100.0,66.7,66.7,-,-,33.3,33.3,-,-,100.0,66.7,66.7,-,-,33.3,33.3,-,-,,,,,,,
投票所までの時間別わからない,11,1,1,-,2,8,4,4,-,11,3,1,2,2,6,2,4,-,,,,,,,
投票所までの時間別わからない,100.0,9.1,9.1,-,18.2,72.7,36.4,36.4,-,100.0,27.3,9.1,18.2,18.2,54.5,18.2,36.4,-,,,,,,,
地域別区部（計）,1381,943,407,536,251,174,90,84,13,1381,1051,506,545,176,141,70,71,13,,,,,,,
地域別区部（計）,100.0,68.3,29.5,38.8,18.2,12.6,6.5,6.1,0.9,100.0,76.1,36.6,39.5,12.7,10.2,5.1,5.1,0.9,,,,,,,
地域別センターコア,388,275,87,188,62,43,17,26,8,388,298,112,186,44,38,16,22,8,,,,,,,
地域別センターコア,100.0,70.9,22.4,48.5,16.0,11.1,4.4,6.7,2.1,100.0,76.8,28.9,47.9,11.3,9.8,4.1,5.7,2.1,,,,,,,
地域別区部東部・北部エリア,398,266,137,129,73,57,33,24,2,398,305,171,134,48,43,26,17,2,,,,,,,
地域別区部東部・北部エリア,100.0,66.8,34.4,32.4,18.3,14.3,8.3,6.0,0.5,100.0,76.6,43.0,33.7,12.1,10.8,6.5,4.3,0.5,,,,,,,
地域別区部西部・南部エリア,595,402,183,219,116,74,40,34,3,595,448,223,225,84,60,28,32,3,,,,,,,
地域別区部西部・南部エリア,100.0,67.6,30.8,36.8,19.5,12.4,6.7,5.7,0.5,100.0,75.3,37.5,37.8,14.1,10.1,4.7,5.4,0.5,,,,,,,
地域別市郡部（計）,442,340,226,114,47,53,35,18,2,442,373,263,110,33,34,19,15,2,,,,,,,
地域別市郡部（計）,100.0,76.9,51.1,25.8,10.6,12.0,7.9,4.1,0.5,100.0,84.4,59.5,24.9,7.5,7.7,4.3,3.4,0.5,,,,,,,
地域別多摩東部エリア,132,106,79,27,9,17,10,7,-,132,117,89,28,4,11,4,7,-,,,,,,,
地域別多摩東部エリア,100.0,80.3,59.8,20.5,6.8,12.9,7.6,5.3,-,100.0,88.6,67.4,21.2,3.0,8.3,3.0,5.3,-,,,,,,,
地域別多摩中央部北エリア,70,53,34,19,7,10,7,3,-,70,60,40,20,3,7,5,2,-,,,,,,,
地域別多摩中央部北エリア,100.0,75.7,48.6,27.1,10.0,14.3,10.0,4.3,-,100.0,85.7,57.1,28.6,4.3,10.0,7.1,2.9,-,,,,,,,
地域別多摩中央部南エリア,201,158,97,61,28,13,10,3,2,201,169,113,56,23,7,5,2,2,,,,,,,
地域別多摩中央部南エリア,100.0,78.6,48.3,30.3,13.9,6.5,5.0,1.5,1.0,100.0,84.1,56.2,27.9,11.4,3.5,2.5,1.0,1.0,,,,,,,
地域別多摩西部エリア,39,23,16,7,3,13,8,5,-,39,27,21,6,3,9,5,4,-,,,,,,,
地域別多摩西部エリア,100.0,59.0,41.0,17.9,7.7,33.3,20.5,12.8,-,100.0,69.2,53.8,15.4,7.7,23.1,12.8,10.3,-,,,,,,,
選挙への関心度別関心があった（計）,1283,1283,633,650,-,-,-,-,-,1424,1424,769,655,-,-,-,-,-,,,,,,,
選挙への関心度別関心があった（計）,100.0,100.0,49.3,50.7,-,-,-,-,-,100.0,100.0,54.0,46.0,-,-,-,-,-,,,,,,,
選挙への関心度別関心があった,633,633,633,-,-,-,-,-,-,769,769,769,-,-,-,-,-,-,,,,,,,
選挙への関心度別関心があった,100.0,100.0,100.0,-,-,-,-,-,-,100.0,100.0,100.0,-,-,-,-,-,-,,,,,,,
選挙への関心度別やや関心があった,650,650,-,650,-,-,-,-,-,655,655,-,655,-,-,-,-,-,,,,,,,
選挙への関心度別やや関心があった,100.0,100.0,-,100.0,-,-,-,-,-,100.0,100.0,-,100.0,-,-,-,-,-,,,,,,,
選挙への関心度別関心がなかった（計）,227,-,-,-,-,227,125,102,-,175,-,-,-,-,175,89,86,-,,,,,,,
選挙への関心度別関心がなかった（計）,100.0,-,-,-,-,100.0,55.1,44.9,-,100.0,-,-,-,-,100.0,50.9,49.1,-,,,,,,,
選挙への関心度別あまり関心がなかった,125,-,-,-,-,125,125,-,-,89,-,-,-,-,89,89,-,-,,,,,,,
選挙への関心度別あまり関心がなかった,100.0,-,-,-,-,100.0,100.0,-,-,100.0,-,-,-,-,100.0,100.0,-,-,,,,,,,
選挙への関心度別関心がなかった,102,-,-,-,-,102,-,102,-,86,-,-,-,-,86,-,86,-,,,,,,,
選挙への関心度別関心がなかった,100.0,-,-,-,-,100.0,-,100.0,-,100.0,-,-,-,-,100.0,-,100.0,-,,,,,,,
選挙への関心度別どちらともいえない,298,-,-,-,298,-,-,-,-,209,-,-,-,209,-,-,-,-,,,,,,,
選挙への関心度別どちらともいえない,100.0,-,-,-,100.0,-,-,-,-,100.0,-,-,-,100.0,-,-,-,-,,,,,,,
選挙への関心度別わからない,15,-,-,-,-,-,-,-,15,15,-,-,-,-,-,-,-,15,,,,,,,
選挙への関心度別わからない,100.0,-,-,-,-,-,-,-,100.0,100.0,-,-,-,-,-,-,-,100.0,,,,,,,
投票への意識別投票するべき（計）,1434,1235,614,621,150,49,44,5,-,1443,1342,747,595,79,22,19,3,-,,,,,,,
投票への意識別投票するべき（計）,100.0,86.1,42.8,43.3,10.5,3.4,3.1,0.3,-,100.0,93.0,51.8,41.2,5.5,1.5,1.3,0.2,-,,,,,,,
投票への意識別必ず投票するべき,596,567,421,146,17,12,10,2,-,615,606,499,107,5,4,2,2,-,,,,,,,
投票への意識別必ず投票するべき,100.0,95.1,70.6,24.5,2.9,2.0,1.7,0.3,-,100.0,98.5,70.1,24.4,3.1,0.7,1.8,0.7,-,,,,,,,
投票への意識別可能な限り投票するべき,838,668,193,475,133,37,34,3,-,828,736,248,488,74,18,17,1,-,,,,,,,
投票への意識別可能な限り投票するべき,100.0,79.7,23.0,56.7,15.9,4.4,4.1,0.4,-,100.0,88.9,22.3,56.8,16.4,2.2,4.1,0.4,-,,,,,,,
投票への意識別投票するのもしないのも自由,344,45,16,29,139,154,77,77,6,335,77,19,58,122,130,65,65,6,,,,,,,
投票への意識別投票するのもしないのも自由,100.0,13.1,4.7,8.4,40.4,44.8,22.4,22.4,1.7,100.0,23.0,4.2,8.7,40.0,38.8,22.7,22.7,1.8,,,,,,,
投票への意識別その他,1,-,-,-,-,1,1,-,-,1,-,-,-,-,1,1,-,-,,,,,,,
投票への意識別その他,100.0,-,-,-,-,100.0,100.0,-,-,100.0,-,-,-,-,100.0,100.0,-,-,,,,,,,
投票への意識別わからない,44,3,3,-,9,23,3,20,9,44,4,2,2,8,22,4,18,9,,,,,,,
投票への意識別わからない,100.0,6.8,6.8,-,20.5,52.3,6.8,45.5,20.5,100.0,9.1,6.8,2.3,20.5,50.0,6.8,43.2,20.5,,,,,,,
投票への参加状況別投票した（計）,1435,1206,608,598,159,70,59,11,-,1491,1337,738,599,109,45,36,9,-,,,,,,,
投票への参加状況別投票した（計）,100.0,71.3,35.3,36.0,10.0,4.2,3.4,0.8,-,100.0,89.7,49.5,40.2,7.3,3.0,2.4,0.6,-,,,,,,,
投票への参加状況別投票日に投票した,1226,1023,507,516,143,60,49,11,-,1254,1118,605,513,95,41,32,9,-,,,,,,,
投票への参加状況別投票日に投票した,100.0,83.4,41.4,42.1,11.7,4.9,4.0,0.9,-,100.0,89.2,48.2,40.9,7.6,3.3,2.6,0.7,-,,,,,,,
投票への参加状況別期日前投票（又は不在者投票等）をした,209,183,101,82,16,10,10,-,-,237,219,133,86,14,4,4,-,-,,,,,,,
投票への参加状況別期日前投票（又は不在者投票等）をした,100.0,87.6,48.3,39.2,7.7,4.8,4.8,-,-,100.0,92.4,56.1,36.3,5.9,1.7,1.7,-,-,,,,,,,
投票への参加状況別投票しなかった,377,74,25,49,138,151,64,87,14,321,83,30,53,98,126,52,74,14,,,,,,,
投票への参加状況別投票しなかった,100.0,19.6,6.6,13.0,36.6,40.1,17.0,23.1,3.7,100.0,25.9,9.3,16.5,30.5,39.3,16.2,23.1,4.4,,,,,,,
投票への参加状況別答えたくない,11,3,-,3,1,6,2,4,1,11,4,1,3,2,4,1,3,1,,,,,,,
投票への参加状況別答えたくない,100.0,27.3,-,27.3,9.1,54.5,18.2,36.4,9.1,100.0,36.4,9.1,27.3,18.2,36.4,9.1,27.3,9.1,,,,,,,
新聞の定期購読別定期購読している,1240,998,512,486,166,73,47,26,3,1240,1079,592,487,107,51,27,24,3,,,,,,,
新聞の定期購読別定期購読している,100.0,80.5,41.3,39.2,13.4,5.9,3.8,2.1,0.2,100.0,87.0,47.7,39.3,8.6,4.1,2.2,1.9,0.2,,,,,,,
新聞の定期購読別定期購読していない,583,285,121,164,132,154,78,76,12,583,345,177,168,102,124,62,62,12,,,,,,,
新聞の定期購読別定期購読していない,100.0,48.9,20.8,28.1,22.6,26.4,13.4,13.0,2.1,100.0,59.2,30.4,28.8,17.5,21.3,10.6,10.6,2.1,,,,,,,
インターネットの利用有無別インターネットを利用している,1055,722,305,417,189,142,80,62,2,1055,809,386,423,131,113,61,52,2,,,,,,,
インターネットの利用有無別インターネットを利用している,100.0,68.4,28.9,39.5,17.9,13.5,7.6,5.9,0.2,100.0,76.7,36.6,40.1,12.4,10.7,5.8,4.9,0.2,,,,,,,
インターネットの利用有無別インターネットを利用していない,768,561,328,233,109,85,45,40,13,768,615,383,232,78,62,28,34,13,,,,,,,
インターネットの利用有無別インターネットを利用していない,100.0,73.0,42.7,30.3,14.2,11.1,5.9,5.2,1.7,100.0,80.1,49.9,30.2,10.2,8.1,3.6,4.4,1.7,,,,,,,
