,調査数,定期購読している,定期購読していない,無回答
子供の有無別学校教育終了,671,550,118,3
子供の有無別学校教育終了,100.0,82.0,17.6,0.4
子供の有無別その他,11,7,4,-
子供の有無別その他,100.0,63.6,36.4,-
職業別自営業（計）,174,101,73,-
職業別自営業（計）,100.0,58.0,42.0,-
職業別農林漁業,2,1,1,-
職業別農林漁業,100.0,50.0,50.0,-
職業別商工・サービス業,71,42,29,-
職業別商工・サービス業,100.0,59.2,40.8,-
職業別その他自由業,101,58,43,-
職業別その他自由業,100.0,57.4,42.6,-
職業別お勤め（計）,981,493,482,6
職業別お勤め（計）,100.0,50.3,49.1,0.6
職業別経営・管理職,109,85,22,2
職業別経営・管理職,100.0,78.0,20.2,1.8
職業別専門職・技術職,261,133,125,3
職業別専門職・技術職,100.0,51.0,47.9,1.1
職業別事務職,305,149,156,-
職業別事務職,100.0,48.9,51.1,-
職業別労務職・技能職,89,35,54,-
職業別労務職・技能職,100.0,39.3,60.7,-
職業別販売・サービス職,217,91,125,1
職業別販売・サービス職,100.0,41.9,57.6,0.5
職業別その他（計）,841,604,234,3
職業別その他（計）,100.0,71.8,27.8,0.4
職業別学生,53,32,21,-
職業別学生,100.0,60.4,39.6,-
職業別専業主婦（夫）,391,290,101,-
職業別専業主婦（夫）,100.0,74.2,25.8,-
職業別その他,62,29,33,-
職業別その他,100.0,46.8,53.2,-
職業別無職（年金受給者含む）,335,253,79,3
職業別無職（年金受給者含む）,100.0,75.5,23.6,0.9
投票所までの時間別５分以内,636,383,251,2
投票所までの時間別５分以内,100.0,60.2,39.5,0.3
投票所までの時間別10分以内,1060,636,419,5
投票所までの時間別10分以内,100.0,60.0,39.5,0.5
投票所までの時間別20分以内,221,141,79,1
投票所までの時間別20分以内,100.0,63.8,35.7,0.5
投票所までの時間別30分以内,50,17,33,-
投票所までの時間別30分以内,100.0,34.0,66.0,-
投票所までの時間別30分を超える,26,21,4,1
投票所までの時間別30分を超える,100.0,80.8,15.4,3.8
地域別区部（計）,1392,780,607,5
地域別区部（計）,100.0,56.0,43.6,0.4
地域別センターコア,372,206,165,1
地域別センターコア,100.0,55.4,44.4,0.3
地域別区部東部・北部エリア,408,220,186,2
地域別区部東部・北部エリア,100.0,53.9,45.6,0.5
地域別区部西部・南部エリア,612,354,256,2
地域別区部西部・南部エリア,100.0,57.8,41.8,0.3
地域別市郡部（計）,619,426,189,4
地域別市郡部（計）,100.0,68.8,30.5,0.6
地域別多摩東部エリア,235,154,80,1
地域別多摩東部エリア,100.0,65.5,34.0,0.4
地域別多摩中央部北エリア,88,63,25,-
地域別多摩中央部北エリア,100.0,71.6,28.4,-
地域別多摩中央部南エリア,261,189,69,3
地域別多摩中央部南エリア,100.0,72.4,26.4,1.1
地域別多摩西部エリア,35,20,15,-
地域別多摩西部エリア,100.0,57.1,42.9,-
選挙への関心度別関心があった（計）,1170,851,314,5
選挙への関心度別関心があった（計）,100.0,72.7,26.8,0.4
選挙への関心度別関心があった,636,491,143,2
選挙への関心度別関心があった,100.0,77.2,22.5,0.3
選挙への関心度別やや関心があった,534,360,171,3
選挙への関心度別やや関心があった,100.0,67.4,32.0,0.6
選挙への関心度別関心がなかった（計）,533,200,332,1
選挙への関心度別関心がなかった（計）,100.0,37.5,62.3,0.2
選挙への関心度別あまり関心がなかった,316,129,186,1
選挙への関心度別あまり関心がなかった,100.0,40.8,58.9,0.3
選挙への関心度別関心がなかった,217,71,146,-
選挙への関心度別関心がなかった,100.0,32.7,67.3,-
選挙への関心度別どちらともいえない,298,153,142,3
選挙への関心度別どちらともいえない,100.0,51.3,47.7,1.0
選挙への関心度別わからない、答えたくない,10,2,8,-
選挙への関心度別わからない、答えたくない,100.0,20.0,80.0,-
投票への意識別必ず投票するべき,609,489,117,3
投票への意識別必ず投票するべき,100.0,80.3,19.2,0.5
投票への意識別可能な限り投票するべき,845,517,324,4
投票への意識別可能な限り投票するべき,100.0,61.2,38.3,0.5
投票への意識別投票するのもしないのも自由,473,179,292,2
投票への意識別投票するのもしないのも自由,100.0,37.8,61.7,0.4
投票への意識別その他,8,1,7,-
投票への意識別その他,100.0,12.5,87.5,-
投票への意識別わからない,62,12,50,-
投票への意識別わからない,100.0,19.4,80.6,-
投票への参加状況別投票した（計）,999,741,254,4
投票への参加状況別投票した（計）,100.0,74.2,25.4,0.4
投票への参加状況別投票日（２月９日）に投票した,827,618,205,4
投票への参加状況別投票日（２月１０日）に投票した,100.0,74.7,24.8,0.5
投票への参加状況別期日前投票（又は不在者投票等）をした,172,123,49,-
投票への参加状況別期日前投票（又は不在者投票等）をした,100.0,71.5,28.5,-
投票への参加状況別投票しなかった,963,451,508,4
投票への参加状況別投票しなかった,100.0,46.8,52.8,0.4
投票への参加状況別答えたくない,42,11,30,1
投票への参加状況別答えたくない,100.0,26.2,71.4,2.4
ネット投票の認知度別知っている,1291,837,449,5
ネット投票の認知度別知っている,100.0,64.8,34.8,0.4
ネット投票の認知度別知らなかった,645,314,328,3
ネット投票の認知度別知らなかった,100.0,48.7,50.9,0.5
インターネットの利用有無別インターネットを利用している,1176,599,572,5
インターネットの利用有無別インターネットを利用している,100.0,50.9,48.6,0.4
インターネットの利用有無別インターネットを利用していない,832,606,222,4
インターネットの利用有無別インターネットを利用していない,100.0,72.8,26.7,0.5
新聞の定期購読別定期購読している,1206,1206,-,-
新聞の定期購読別定期購読している,100.0,100.0,-,-
新聞の定期購読別定期購読していない,796,-,796,-
新聞の定期購読別定期購読していない,100.0,-,100.0,-
