,調査数,各戸配布（新聞折込以外）,新聞折込で配布,区市町村からの郵送,公共施設等に置いてあった,都及び区市町村・総務省のホームページ,わからない、忘れた,無回答
子供の有無別子供はいない実数,288,147,110,19,32,5,14,3
子供の有無別子供はいない（％）,100.0,51.0,38.2,6.6,11.1,1.7,4.9,1.0
子供の有無別未就学（～６歳）実数,83,46,30,5,8,2,4,2
子供の有無別未就学（～６歳）（％）,100.0,55.4,36.1,6.0,9.6,2.4,4.8,2.4
子供の有無別小・中・高校生実数,136,61,66,5,17,1,5,1
子供の有無別小・中・高校生（％）,100.0,44.9,48.5,3.7,12.5,0.7,3.7,0.7
子供の有無別大学生・大学院生・短大生・専門学校生実数,58,23,33,2,6,2,1,-
子供の有無別大学生・大学院生・短大生・専門学校生（％）,100.0,39.7,56.9,3.4,10.3,3.4,1.7,-
子供の有無別学校教育終了実数,487,228,280,25,41,7,9,8
子供の有無別学校教育終了（％）,100.0,46.8,57.5,5.1,8.4,1.4,1.8,1.6
子供の有無別その他実数,4,1,4,-,2,-,-,-
子供の有無別その他（％）,100.0,25.0,100.0,-,50.0,-,-,-
職業別自営業（計）実数,91,40,47,3,7,1,5,1
職業別自営業（計）（％）,100.0,44.0,51.6,3.3,7.7,1.1,5.5,1.1
職業別農林漁業実数,1,1,-,-,-,-,-,-
職業別農林漁業（％）,100.0,100.0,-,-,-,-,-,-
職業別商工・サービス業実数,55,28,29,2,5,1,1,-
職業別商工・サービス業（％）,100.0,50.9,52.7,3.6,9.1,1.8,1.8,-
職業別その他自由業実数,35,11,18,1,2,-,4,1
職業別その他自由業（％）,100.0,31.4,51.4,2.9,5.7,-,11.4,2.9
職業別お勤め（計）実数,440,218,194,26,52,9,18,4
職業別お勤め（計）（％）,100.0,49.5,44.1,5.9,11.8,2.0,4.1,0.9
職業別経営・管理職実数,43,14,24,4,2,1,3,-
職業別経営・管理職（％）,100.0,32.6,55.8,9.3,4.7,2.3,7.0,-
職業別専門職・技術職実数,120,55,58,5,15,2,2,2
職業別専門職・技術職（％）,100.0,45.8,48.3,4.2,12.5,1.7,1.7,1.7
職業別事務職実数,131,68,54,9,16,3,6,1
職業別事務職（％）,100.0,51.9,41.2,6.9,12.2,2.3,4.6,0.8
職業別労務職・技能職実数,46,25,23,4,4,1,2,-
職業別労務職・技能職（％）,100.0,54.3,50.0,8.7,8.7,2.2,4.3,-
職業別販売・サービス職実数,100,56,35,4,15,2,5,1
職業別販売・サービス職（％）,100.0,56.0,35.0,4.0,15.0,2.0,5.0,1.0
職業別その他（計）実数,459,215,252,24,40,6,9,9
職業別その他（計）（％）,100.0,46.8,54.9,5.2,8.7,1.3,2.0,2.0
職業別生徒・学生実数,11,4,7,-,-,-,-,-
職業別生徒・学生（％）,100.0,36.4,63.6,-,-,-,-,-
職業別専業主婦（夫）実数,207,103,114,12,15,2,3,3
職業別専業主婦（夫）（％）,100.0,49.8,55.1,5.8,7.2,1.0,1.4,1.4
職業別その他実数,8,3,3,-,3,-,-,-
職業別その他（％）,100.0,37.5,37.5,-,37.5,-,-,-
職業別無職（年金受給者含む）実数,233,105,128,12,22,4,6,6
職業別無職（年金受給者含む）（％）,100.0,45.1,54.9,5.2,9.4,1.7,2.6,2.6
投票所までの時間別５分以内実数,403,189,200,29,42,7,14,4
投票所までの時間別５分以内（％）,100.0,46.9,49.6,7.2,10.4,1.7,3.5,1.0
投票所までの時間別10分以内実数,416,203,197,16,44,5,11,5
投票所までの時間別10分以内（％）,100.0,48.8,47.4,3.8,10.6,1.2,2.6,1.2
投票所までの時間別20分以内実数,138,67,79,5,10,3,5,4
投票所までの時間別20分以内（％）,100.0,48.6,57.2,3.6,7.2,2.2,3.6,2.9
投票所までの時間別30分以内実数,20,9,11,2,1,-,1,1
投票所までの時間別30分以内（％）,100.0,45.0,55.0,10.0,5.0,-,5.0,5.0
投票所までの時間別30分を超える実数,3,2,2,-,-,-,-,-
投票所までの時間別30分を超える（％）,100.0,66.7,66.7,-,-,-,-,-
投票所までの時間別わからない実数,11,4,5,1,1,1,1,-
投票所までの時間別わからない（％）,100.0,36.4,45.5,9.1,9.1,9.1,9.1,-
地域別区部（計）実数,612,274,299,37,66,13,18,10
地域別区部（計）（％）,100.0,44.8,48.9,6.0,10.8,2.1,2.9,1.6
地域別センターコア実数,151,70,78,8,21,4,1,1
地域別センターコア（％）,100.0,46.4,51.7,5.3,13.9,2.6,0.7,0.7
地域別区部東部・北部エリア実数,198,94,88,10,20,4,9,4
地域別区部東部・北部エリア（％）,100.0,47.5,44.4,5.1,10.1,2.0,4.5,2.0
地域別区部西部・南部エリア実数,263,110,133,19,25,5,8,5
地域別区部西部・南部エリア（％）,100.0,41.8,50.6,7.2,9.5,1.9,3.0,1.9
地域別市郡部（計）実数,381,201,195,16,33,3,14,4
地域別市郡部（計）（％）,100.0,52.8,51.2,4.2,8.7,0.8,3.7,1.0
地域別多摩東部エリア実数,151,79,80,7,11,1,3,2
地域別多摩東部エリア（％）,100.0,52.3,53.0,4.6,7.3,0.7,2.0,1.3
地域別多摩中央部北エリア実数,56,36,23,2,-,-,2,1
地域別多摩中央部北エリア（％）,100.0,64.3,41.1,3.6,-,-,3.6,1.8
地域別多摩中央部南エリア実数,152,72,82,6,21,2,9,1
地域別多摩中央部南エリア（％）,100.0,47.4,53.9,3.9,13.8,1.3,5.9,0.7
地域別多摩西部エリア実数,22,14,10,1,1,-,-,-
地域別多摩西部エリア（％）,100.0,63.6,45.5,4.5,4.5,-,-,-
選挙への関心度別関心があった（計）実数,719,344,371,39,73,14,23,8
選挙への関心度別関心があった（計）（％）,100.0,47.8,51.6,5.4,10.2,1.9,3.2,1.1
選挙への関心度別関心があった実数,454,227,238,26,46,13,12,3
選挙への関心度別関心があった（％）,100.0,50.0,52.4,5.7,10.1,2.9,2.6,0.7
選挙への関心度別やや関心があった実数,265,117,133,13,27,1,11,5
選挙への関心度別やや関心があった（％）,100.0,44.2,50.2,4.9,10.2,0.4,4.2,1.9
選挙への関心度別関心がなかった（計）実数,77,38,26,3,8,2,5,3
選挙への関心度別関心がなかった（計）（％）,100.0,49.4,33.8,3.9,10.4,2.6,6.5,3.9
選挙への関心度別あまり関心がなかった実数,195,91,96,11,18,-,4,3
選挙への関心度別あまり関心がなかった（％）,100.0,46.7,49.2,5.6,9.2,-,2.1,1.5
選挙への関心度別関心がなかった実数,154,71,72,9,15,-,4,3
選挙への関心度別関心がなかった（％）,100.0,46.1,46.8,5.8,9.7,-,2.6,1.9
選挙への関心度別どちらともいえない実数,41,20,24,2,3,-,-,-
選挙への関心度別どちらともいえない（％）,100.0,48.8,58.5,4.9,7.3,-,-,-
選挙への関心度別わからない実数,1,1,1,-,-,-,-,-
選挙への関心度別わからない（％）,100.0,100.0,100.0,-,-,-,-,-
投票への意識別投票するべき（計）実数,903,435,455,49,87,15,29,12
投票への意識別投票するべき（計）（％）,100.0,48.2,50.4,5.4,9.6,1.7,3.2,1.3
投票への意識別必ず投票するべき実数,487,244,256,28,50,10,7,6
投票への意識別必ず投票するべき（％）,100.0,50.1,52.6,5.7,10.3,2.1,1.4,1.2
投票への意識別可能な限り投票するべき実数,416,191,199,21,37,5,22,6
投票への意識別可能な限り投票するべき（％）,100.0,45.9,47.8,5.0,8.9,1.2,5.3,1.4
投票への意識別投票するのもしないのも自由実数,82,37,35,4,10,1,3,2
投票への意識別投票するのもしないのも自由（％）,100.0,45.1,42.7,4.9,12.2,1.2,3.7,2.4
投票への意識別その他実数,5,1,3,-,1,-,-,-
投票への意識別その他（％）,100.0,20.0,60.0,-,20.0,-,-,-
投票への意識別わからない実数,3,2,1,-,1,-,-,-
投票への意識別わからない（％）,100.0,66.7,33.3,-,33.3,-,-,-
投票への参加状況別投票した（計）実数,803,390,404,43,71,14,25,11
投票への参加状況別投票した（計）（％）,100.0,48.6,50.3,5.4,8.8,1.7,3.1,1.4
投票への参加状況別投票日（12月14日）に投票した実数,622,293,314,38,52,9,14,11
投票への参加状況別投票日（12月14日）に投票した（％）,100.0,47.1,50.5,6.1,8.4,1.4,2.3,1.8
投票への参加状況別期日前投票（又は不在者投票等）をした実数,181,97,90,5,19,5,11,-
投票への参加状況別期日前投票（又は不在者投票等）をした（％）,100.0,53.6,49.7,2.8,10.5,2.8,6.1,-
投票への参加状況別投票しなかった実数,184,83,87,10,28,2,6,3
投票への参加状況別投票しなかった（％）,100.0,45.1,47.3,5.4,15.2,1.1,3.3,1.6
投票への参加状況別答えたくない実数,6,2,3,-,-,-,1,-
投票への参加状況別答えたくない（％）,100.0,33.3,50.0,-,-,-,16.7,-
新聞の定期購読定期購読している実数,699,276,459,32,60,5,19,7
新聞の定期購読定期購読している（％）,100.0,39.5,65.7,4.6,8.6,0.7,2.7,1.0
新聞の定期購読定期購読していない実数,291,198,34,21,39,11,13,6
新聞の定期購読定期購読していない（％）,100.0,68.0,11.7,7.2,13.4,3.8,4.5,2.1
インターネットの利用有無利用している実数,496,254,214,27,53,15,19,3
インターネットの利用有無利用している（％）,100.0,51.2,43.1,5.4,10.7,3.0,3.8,0.6
インターネットの利用有無利用していない実数,495,220,280,26,46,1,13,10
インターネットの利用有無利用していない（％）,100.0,44.4,56.6,5.3,9.3,0.2,2.6,2.0
ネット選挙の認知度別知っている実数,594,287,284,38,61,14,21,6
ネット選挙の認知度別知っている（％）,100.0,48.3,47.8,6.4,10.3,2.4,3.5,1.0
ネット選挙の認知度別知らなかった実数,327,151,169,12,29,2,11,6
ネット選挙の認知度別知らなかった（％）,100.0,46.2,51.7,3.7,8.9,0.6,3.4,1.8
