,参議院議員選挙／調査数,参議院議員選挙／知っている（計）,参議院議員選挙／利用した,参議院議員選挙／知っているが利用していない,参議院議員選挙／知らない,参議院議員選挙／わからない,東京都知事選挙／調査数,東京都知事選挙／知っている（計）,東京都知事選挙／利用した,東京都知事選挙／知っているが利用していない,東京都知事選挙／知らない,東京都知事選挙／わからない
性/年齢別男性50歳代,152,45,12,33,97,10,152,45,12,33,97,10
性/年齢別男性50歳代,100.0,29.6,7.9,21.7,63.8,6.6,100.0,29.6,7.9,21.7,63.8,6.6
性/年齢別男性60歳代,157,39,13,26,94,24,157,39,14,25,94,24
性/年齢別男性60歳代,100.0,24.8,8.3,16.6,59.9,15.3,100.0,24.8,8.9,15.9,59.9,15.3
性/年齢別男性70歳代,107,16,3,13,63,28,107,16,3,13,63,28
性/年齢別男性70歳代,100.0,15.0,2.8,12.1,58.9,26.2,100.0,15.0,2.8,12.1,58.9,26.2
性/年齢別男性80歳以上,48,3,-,3,33,12,48,3,-,3,33,12
性/年齢別男性80歳以上,100.0,6.3,-,6.3,68.8,25.0,100.0,6.3,-,6.3,68.8,25.0
性/年齢別女性18歳,6,1,1,-,3,2,6,1,1,-,3,2
性/年齢別女性18歳,100.0,16.7,16.7,-,50.0,33.3,100.0,16.7,16.7,-,50.0,33.3
性/年齢別女性19歳,8,1,-,1,6,1,8,1,-,1,6,1
性/年齢別女性19歳,100.0,12.5,-,12.5,75.0,12.5,100.0,12.5,-,12.5,75.0,12.5
性/年齢別女性20歳代,81,17,5,12,57,7,81,17,7,10,57,7
性/年齢別女性20歳代,100.0,21.0,6.2,14.8,70.4,8.6,100.0,21.0,8.6,12.3,70.4,8.6
性/年齢別女性30歳代,135,26,8,18,99,10,135,26,9,17,99,10
性/年齢別女性30歳代,100.0,19.3,5.9,13.3,73.3,7.4,100.0,19.3,6.7,12.6,73.3,7.4
性/年齢別女性40歳代,228,46,12,34,158,24,228,46,10,36,158,24
性/年齢別女性40歳代,100.0,20.2,5.3,14.9,69.3,10.5,100.0,20.2,4.4,15.8,69.3,10.5
性/年齢別女性50歳代,159,40,7,33,98,21,159,41,7,34,98,20
性/年齢別女性50歳代,100.0,25.2,4.4,20.8,61.6,13.2,100.0,25.8,4.4,21.4,61.6,12.6
性/年齢別女性60歳代,180,25,4,21,105,50,180,26,4,22,104,50
性/年齢別女性60歳代,100.0,13.9,2.2,11.7,58.3,27.8,100.0,14.4,2.2,12.2,57.8,27.8
性/年齢別女性70歳代,124,14,2,12,72,38,124,15,3,12,71,38
性/年齢別女性70歳代,100.0,11.3,1.6,9.7,58.1,30.6,100.0,12.1,2.4,9.7,57.3,30.6
性/年齢別女性80歳以上,50,1,1,-,24,25,50,1,1,-,24,25
性/年齢別女性80歳以上,100.0,2.0,2.0,-,48.0,50.0,100.0,2.0,2.0,-,48.0,50.0
未・既婚別未婚,344,74,14,60,238,32,344,74,15,59,238,32
未・既婚別未婚,100.0,21.5,4.1,17.4,69.2,9.3,100.0,21.5,4.4,17.2,69.2,9.3
未・既婚別既婚（死別・離別を含む）,1479,328,80,248,911,240,1479,333,87,246,907,239
未・既婚別既婚（死別・離別を含む）,100.0,22.2,5.4,16.8,61.6,16.2,100.0,22.5,5.9,16.6,61.3,16.2
子供の有無別子供はいない,404,96,18,78,270,38,404,98,20,78,269,37
子供の有無別子供はいない,100.0,23.8,4.5,19.3,66.8,9.4,100.0,24.3,5.0,19.3,66.6,9.2
子供の有無別未就学（～６歳）,114,33,7,26,72,9,114,35,10,25,70,9
子供の有無別未就学（～６歳）,100.0,28.9,6.1,22.8,63.2,7.9,100.0,30.7,8.8,21.9,61.4,7.9
子供の有無別小・中・高校生,394,111,30,81,252,31,394,111,28,83,252,31
子供の有無別小・中・高校生,100.0,28.2,7.6,20.6,64.0,7.9,100.0,28.2,7.1,21.1,64.0,7.9
子供の有無別大学生・大学院生・短大生・専門学校生,144,40,6,34,92,12,144,40,8,32,92,12
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,27.8,4.2,23.6,63.9,8.3,100.0,27.8,5.6,22.2,63.9,8.3
子供の有無別学校教育終了,791,136,32,104,482,173,791,137,35,102,481,173
子供の有無別学校教育終了,100.0,17.2,4.0,13.1,60.9,21.9,100.0,17.3,4.4,12.9,60.8,21.9
子供の有無別その他,60,17,5,12,27,16,60,18,6,12,26,16
子供の有無別その他,100.0,28.3,8.3,20.0,45.0,26.7,100.0,30.0,10.0,20.0,43.3,26.7
職業別自営業（計）,133,38,14,24,80,15,133,39,14,25,79,15
職業別自営業（計）,100.0,28.6,10.5,18.0,60.2,11.3,100.0,29.3,10.5,18.8,59.4,11.3
職業別農林漁業,1,1,1,-,-,-,1,1,1,-,-,-
職業別農林漁業,100.0,100.0,100.0,-,-,-,100.0,100.0,100.0,-,-,-
職業別商工・サービス業,42,6,1,5,29,7,42,7,1,6,28,7
職業別商工・サービス業,100.0,14.3,2.4,11.9,69.0,16.7,100.0,16.7,2.4,14.3,66.7,16.7
職業別その他自由業,90,31,12,19,51,8,90,31,12,19,51,8
職業別その他自由業,100.0,34.4,13.3,21.1,56.7,8.9,100.0,34.4,13.3,21.1,56.7,8.9
職業別お勤め（計）,821,241,56,185,527,53,821,244,65,179,524,53
職業別お勤め（計）,100.0,29.4,6.8,22.5,64.2,6.5,100.0,29.7,7.9,21.8,63.8,6.5
職業別経営・管理職,74,37,9,28,36,1,74,37,11,26,36,1
職業別経営・管理職,100.0,50.0,12.2,37.8,48.6,1.4,100.0,50.0,14.9,35.1,48.6,1.4
職業別専門職・技術職,196,70,12,58,120,6,196,70,12,58,120,6
職業別専門職・技術職,100.0,35.7,6.1,29.6,61.2,3.1,100.0,35.7,6.1,29.6,61.2,3.1
職業別事務職,221,68,22,46,138,15,221,70,24,46,136,15
職業別事務職,100.0,30.8,10.0,20.8,62.4,6.8,100.0,31.7,10.9,20.8,61.5,6.8
職業別労務職・技能職,61,17,2,15,40,4,61,18,5,13,39,4
職業別労務職・技能職,100.0,27.9,3.3,24.6,65.6,6.6,100.0,29.5,8.2,21.3,63.9,6.6
職業別販売・サービス職,269,49,11,38,193,27,269,49,13,36,193,27
職業別販売・サービス職,100.0,18.2,4.1,14.1,71.7,10.0,100.0,18.2,4.8,13.4,71.7,10.0
職業別その他（計）,869,123,24,99,542,204,869,124,23,101,542,203
職業別その他（計）,100.0,14.2,2.8,11.4,62.4,23.5,100.0,14.3,2.6,11.6,62.4,23.4
職業別生徒・学生,47,10,2,8,33,4,47,10,3,7,33,4
職業別生徒・学生,100.0,21.3,4.3,17.0,70.2,8.5,100.0,21.3,6.4,14.9,70.2,8.5
職業別専業主婦（夫）,395,67,13,54,257,71,395,67,11,56,258,70
職業別専業主婦（夫）,100.0,17.0,3.3,13.7,65.1,18.0,100.0,17.0,2.8,14.2,65.3,17.7
職業別その他,25,7,2,5,14,4,25,7,2,5,14,4
職業別その他,100.0,28.0,8.0,20.0,56.0,16.0,100.0,28.0,8.0,20.0,56.0,16.0
職業別無職（年金受給者含む）,402,39,7,32,238,125,402,40,7,33,237,125
職業別無職（年金受給者含む）,100.0,9.7,1.7,8.0,59.2,31.1,100.0,10.0,1.7,8.2,59.0,31.1
投票所までの時間別５分以内,433,124,29,95,251,58,433,125,32,93,250,58
投票所までの時間別５分以内,100.0,28.6,6.7,21.9,58.0,13.4,100.0,28.9,7.4,21.5,57.7,13.4
投票所までの時間別10分以内,1067,220,54,166,714,133,1067,224,59,165,711,132
投票所までの時間別10分以内,100.0,20.6,5.1,15.6,66.9,12.5,100.0,21.0,5.5,15.5,66.6,12.4
投票所までの時間別20分以内,288,53,10,43,162,73,288,53,10,43,162,73
投票所までの時間別20分以内,100.0,18.4,3.5,14.9,56.3,25.3,100.0,18.4,3.5,14.9,56.3,25.3
投票所までの時間別30分以内,21,4,-,4,11,6,21,4,-,4,11,6
投票所までの時間別30分以内,100.0,19.0,-,19.0,52.4,28.6,100.0,19.0,-,19.0,52.4,28.6
投票所までの時間別30分を超える,3,1,1,-,1,1,3,1,1,-,1,1
投票所までの時間別30分を超える,100.0,33.3,33.3,-,33.3,33.3,100.0,33.3,33.3,-,33.3,33.3
投票所までの時間別わからない,11,-,-,-,10,1,11,-,-,-,10,1
投票所までの時間別わからない,100.0,-,-,-,90.9,9.1,100.0,-,-,-,90.9,9.1
地域別区部（計）,1381,314,74,240,885,182,1381,317,82,235,883,181
地域別区部（計）,100.0,22.7,5.4,17.4,64.1,13.2,100.0,23.0,5.9,17.0,63.9,13.1
地域別センターコア,388,82,21,61,256,50,388,83,23,60,255,50
地域別センターコア,100.0,21.1,5.4,15.7,66.0,12.9,100.0,21.4,5.9,15.5,65.7,12.9
地域別区部東部・北部エリア,398,83,14,69,268,47,398,84,18,66,267,47
地域別区部東部・北部エリア,100.0,20.9,3.5,17.3,67.3,11.8,100.0,21.1,4.5,16.6,67.1,11.8
地域別区部西部・南部エリア,595,149,39,110,361,85,595,150,41,109,361,84
地域別区部西部・南部エリア,100.0,25.0,6.6,18.5,60.7,14.3,100.0,25.2,6.9,18.3,60.7,14.1
地域別市郡部（計）,442,88,20,68,264,90,442,90,20,70,262,90
地域別市郡部（計）,100.0,19.9,4.5,15.4,59.7,20.4,100.0,20.4,4.5,15.8,59.3,20.4
地域別多摩東部エリア,132,29,7,22,79,24,132,30,7,23,78,24
地域別多摩東部エリア,100.0,22.0,5.3,16.7,59.8,18.2,100.0,22.7,5.3,17.4,59.1,18.2
地域別多摩中央部北エリア,70,19,7,12,38,13,70,20,6,14,37,13
地域別多摩中央部北エリア,100.0,27.1,10.0,17.1,54.3,18.6,100.0,28.6,8.6,20.0,52.9,18.6
地域別多摩中央部南エリア,201,36,5,31,115,50,201,36,6,30,115,50
地域別多摩中央部南エリア,100.0,17.9,2.5,15.4,57.2,24.9,100.0,17.9,3.0,14.9,57.2,24.9
地域別多摩西部エリア,39,4,1,3,32,3,39,4,1,3,32,3
地域別多摩西部エリア,100.0,10.3,2.6,7.7,82.1,7.7,100.0,10.3,2.6,7.7,82.1,7.7
選挙への関心度別関心があった（計）,1283,346,89,257,778,159,1424,371,98,273,870,183
選挙への関心度別関心があった（計）,100.0,27.0,6.9,20.0,60.6,12.4,100.0,26.1,6.9,19.2,61.1,12.9
選挙への関心度別関心があった,633,179,44,135,376,78,769,230,57,173,449,90
選挙への関心度別関心があった,100.0,28.3,7.0,21.3,59.4,12.3,100.0,29.9,7.4,22.5,58.4,11.7
選挙への関心度別やや関心があった,650,167,45,122,402,81,655,141,41,100,421,93
選挙への関心度別やや関心があった,100.0,25.7,6.9,18.8,61.8,12.5,100.0,21.5,6.3,15.3,64.3,14.2
選挙への関心度別関心がなかった（計）,227,22,3,19,170,35,175,12,2,10,137,26
選挙への関心度別関心がなかった（計）,100.0,9.7,1.3,8.4,74.9,15.4,100.0,6.9,1.1,5.7,78.3,14.9
選挙への関心度別あまり関心がなかった,125,14,2,12,91,20,89,7,2,5,68,14
選挙への関心度別あまり関心がなかった,100.0,11.2,1.6,9.6,72.8,16.0,100.0,7.9,2.2,5.6,76.4,15.7
選挙への関心度別関心がなかった,102,8,1,7,79,15,86,5,-,5,69,12
選挙への関心度別関心がなかった,100.0,7.8,1.0,6.9,77.5,14.7,100.0,5.8,-,5.8,80.2,14.0
選挙への関心度別どちらともいえない,298,34,2,32,195,69,209,24,2,22,132,53
選挙への関心度別どちらともいえない,100.0,11.4,0.7,10.7,65.4,23.2,100.0,11.5,1.0,10.5,63.2,25.4
選挙への関心度別わからない,15,-,-,-,6,9,15,-,-,-,6,9
選挙への関心度別わからない,100.0,-,-,-,40.0,60.0,100.0,-,-,-,40.0,60.0
投票への意識別投票するべき（計）,1434,363,89,274,882,189,1443,370,98,272,884,189
投票への意識別投票するべき（計）,100.0,25.3,6.2,19.1,61.5,13.2,100.0,25.6,6.8,18.8,61.3,13.1
投票への意識別必ず投票するべき,596,176,48,128,357,63,615,188,55,133,365,62
投票への意識別必ず投票するべき,100.0,29.5,8.1,21.5,59.9,10.6,100.0,30.6,8.9,21.6,59.3,10.1
投票への意識別可能な限り投票するべき,838,187,41,146,525,126,828,182,43,139,519,127
投票への意識別可能な限り投票するべき,100.0,22.3,4.9,17.4,62.6,15.0,100.0,22.0,5.2,16.8,62.7,15.3
投票への意識別投票するのもしないのも自由,344,37,5,32,241,66,335,35,4,31,235,65
投票への意識別投票するのもしないのも自由,100.0,10.8,1.5,9.3,70.1,19.2,100.0,10.4,1.2,9.3,70.1,19.4
投票への意識別その他,1,-,-,-,1,-,1,-,-,-,1,-
投票への意識別その他,100.0,-,-,-,100.0,-,100.0,-,-,-,100.0,-
投票への意識別わからない,44,2,-,2,25,17,44,2,-,2,25,17
投票への意識別わからない,100.0,4.5,-,4.5,56.8,38.6,100.0,4.5,-,4.5,56.8,38.6
投票への参加状況別投票した（計）,1435,372,91,281,885,178,1491,386,98,288,915,190
投票への参加状況別投票した（計）,100.0,25.9,6.3,19.6,61.7,12.4,100.0,25.9,6.6,19.3,61.4,12.7
投票への参加状況別投票日に投票した,1226,287,61,226,778,161,1254,299,63,236,782,173
投票への参加状況別投票日に投票した,100.0,23.4,5.0,18.4,63.5,13.1,100.0,23.8,5.0,18.8,62.4,13.8
投票への参加状況別期日前投票（又は不在者投票等）をした,209,85,30,55,107,17,237,87,35,52,133,17
投票への参加状況別期日前投票（又は不在者投票等）をした,100.0,40.7,14.4,26.3,51.2,8.1,100.0,36.7,14.8,21.9,56.1,7.2
投票への参加状況別投票しなかった,377,30,3,27,258,89,321,21,4,17,224,76
投票への参加状況別投票しなかった,100.0,8.0,0.8,7.2,68.4,23.6,100.0,6.5,1.2,5.3,69.8,23.7
投票への参加状況別答えたくない,11,-,-,-,6,5,11,-,-,-,6,5
投票への参加状況別答えたくない,100.0,-,-,-,54.5,45.5,100.0,-,-,-,54.5,45.5
新聞の定期購読別定期購読している,1240,276,64,212,775,189,1240,280,68,212,772,188
新聞の定期購読別定期購読している,100.0,22.3,5.2,17.1,62.5,15.2,100.0,22.6,5.5,17.1,62.3,15.2
新聞の定期購読別定期購読していない,583,126,30,96,374,83,583,127,34,93,373,83
新聞の定期購読別定期購読していない,100.0,21.6,5.1,16.5,64.2,14.2,100.0,21.8,5.8,16.0,64.0,14.2
インターネットの利用有無別インターネットを利用している,1055,299,80,219,684,72,1055,301,88,213,682,72
インターネットの利用有無別インターネットを利用している,100.0,28.3,7.6,20.8,64.8,6.8,100.0,28.5,8.3,20.2,64.6,6.8
インターネットの利用有無別インターネットを利用していない,768,103,14,89,465,200,768,106,14,92,463,199
インターネットの利用有無別インターネットを利用していない,100.0,13.4,1.8,11.6,60.5,26.0,100.0,13.8,1.8,12.0,60.3,25.9
