,調査数,投票した（計）,投票日（12月14日）に投票した,期日前投票（又は不在者投票等）をした［郵便投票もこちら］,投票しなかった,答えたくない
投票への参加状況別投票した（計）実数,1246,1246,987,259,-,-
投票への参加状況別投票した（計）（％）,100.0,100.0,79.2,20.8,-,-
投票への参加状況別投票日（12月14日）に投票した実数,987,987,987,-,-,-
投票への参加状況別投票日（12月14日）に投票した（％）,100.0,100.0,100.0,-,-,-
投票への参加状況別期日前投票（又は不在者投票等）をした実数,259,259,-,259,-,-
投票への参加状況別期日前投票（又は不在者投票等）をした（％）,100.0,100.0,-,100.0,-,-
投票への参加状況別投票しなかった実数,563,-,-,-,563,-
投票への参加状況別投票しなかった（％）,100.0,-,-,-,100.0,-
投票への参加状況別答えたくない実数,18,-,-,-,-,18
投票への参加状況別答えたくない（％）,100.0,-,-,-,-,100.0
新聞の定期購読定期購読している実数,1142,864,682,182,271,7
新聞の定期購読定期購読している（％）,100.0,75.7,59.7,15.9,23.7,0.6
新聞の定期購読定期購読していない実数,681,381,304,77,290,10
新聞の定期購読定期購読していない（％）,100.0,55.9,44.6,11.3,42.6,1.5
インターネットの利用有無利用している実数,984,660,518,142,313,11
インターネットの利用有無利用している（％）,100.0,67.1,52.6,14.4,31.8,1.1
インターネットの利用有無利用していない実数,835,581,464,117,247,7
インターネットの利用有無利用していない（％）,100.0,69.6,55.6,14.0,29.6,0.8
ネット選挙の認知度別知っている実数,955,734,559,175,211,10
ネット選挙の認知度別知っている（％）,100.0,76.9,58.5,18.3,22.1,1.0
ネット選挙の認知度別知らなかった実数,752,431,362,69,315,6
ネット選挙の認知度別知らなかった（％）,100.0,57.3,48.1,9.2,41.9,0.8
