,参議院議員選挙/調査数,参議院議員選挙/知っていた（計）,参議院議員選挙/知らなかった,東京都知事選挙/調査数,東京都知事選挙/知っていた（計）,東京都知事選挙/知らなかった
性/年齢別女性70歳代,124,109,15,124,109,15
性/年齢別女性70歳代,100.0,87.9,12.1,100.0,87.9,12.1
性/年齢別女性80歳以上,50,40,10,50,40,10
性/年齢別女性80歳以上,100.0,80.0,20.0,100.0,80.0,20.0
未・既婚別未婚,344,334,10,344,334,10
未・既婚別未婚,100.0,97.1,2.9,100.0,97.1,2.9
未・既婚別既婚（死別・離別を含む）,1479,1412,67,1479,1412,67
未・既婚別既婚（死別・離別を含む）,100.0,95.5,4.5,100.0,95.5,4.5
子供の有無別子供はいない,404,394,10,404,394,10
子供の有無別子供はいない,100.0,97.5,2.5,100.0,97.5,2.5
子供の有無別未就学（～６歳）,114,113,1,114,113,1
子供の有無別未就学（～６歳）,100.0,99.1,0.9,100.0,99.1,0.9
子供の有無別小・中・高校生,394,389,5,394,389,5
子供の有無別小・中・高校生,100.0,98.7,1.3,100.0,98.7,1.3
子供の有無別大学生・大学院生・短大生・専門学校生,144,141,3,144,141,3
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,97.9,2.1,100.0,97.9,2.1
子供の有無別学校教育終了,791,732,59,791,732,59
子供の有無別学校教育終了,100.0,92.5,7.5,100.0,92.5,7.5
子供の有無別その他,60,60,-,60,60,-
子供の有無別その他,100.0,100.0,-,100.0,100.0,-
職業別自営業（計）,133,131,2,133,131,2
職業別自営業（計）,100.0,98.5,1.5,100.0,98.5,1.5
職業別農林漁業,1,1,-,1,1,-
職業別農林漁業,100.0,100.0,-,100.0,100.0,-
職業別商工・サービス業,42,40,2,42,40,2
職業別商工・サービス業,100.0,95.2,4.8,100.0,95.2,4.8
職業別その他自由業,90,90,-,90,90,-
職業別その他自由業,100.0,100.0,-,100.0,100.0,-
職業別お勤め（計）,821,803,18,821,803,18
職業別お勤め（計）,100.0,97.8,2.2,100.0,97.8,2.2
職業別経営・管理職,74,73,1,74,73,1
職業別経営・管理職,100.0,98.6,1.4,100.0,98.6,1.4
職業別専門職・技術職,196,195,1,196,195,1
職業別専門職・技術職,100.0,99.5,0.5,100.0,99.5,0.5
職業別事務職,221,217,4,221,217,4
職業別事務職,100.0,98.2,1.8,100.0,98.2,1.8
職業別労務職・技能職,61,60,1,61,60,1
職業別労務職・技能職,100.0,98.4,1.6,100.0,98.4,1.6
職業別販売・サービス職,269,258,11,269,258,11
職業別販売・サービス職,100.0,95.9,4.1,100.0,95.9,4.1
職業別その他（計）,869,812,57,869,812,57
職業別その他（計）,100.0,93.4,6.6,100.0,93.4,6.6
職業別生徒・学生,47,46,1,47,46,1
職業別生徒・学生,100.0,97.9,2.1,100.0,97.9,2.1
職業別専業主婦（夫）,395,388,7,395,388,7
職業別専業主婦（夫）,100.0,98.2,1.8,100.0,98.2,1.8
職業別その他,25,25,-,25,25,-
職業別その他,100.0,100.0,-,100.0,100.0,-
職業別無職（年金受給者含む）,402,353,49,402,353,49
職業別無職（年金受給者含む）,100.0,87.8,12.2,100.0,87.8,12.2
投票所までの時間別５分以内,433,415,18,433,415,18
投票所までの時間別５分以内,100.0,95.8,4.2,100.0,95.8,4.2
投票所までの時間別10分以内,1067,1021,46,1067,1021,46
投票所までの時間別10分以内,100.0,95.7,4.3,100.0,95.7,4.3
投票所までの時間別20分以内,288,277,11,288,277,11
投票所までの時間別20分以内,100.0,96.2,3.8,100.0,96.2,3.8
投票所までの時間別30分以内,21,19,2,21,19,2
投票所までの時間別30分以内,100.0,90.5,9.5,100.0,90.5,9.5
投票所までの時間別30分を超える,3,3,-,3,3,-
投票所までの時間別30分を超える,100.0,100.0,-,100.0,100.0,-
投票所までの時間別わからない,11,11,-,11,11,-
投票所までの時間別わからない,100.0,100.0,-,100.0,100.0,-
地域別区部（計）,1381,1310,71,1381,1310,71
地域別区部（計）,100.0,94.9,5.1,100.0,94.9,5.1
地域別センターコア,388,361,27,388,361,27
地域別センターコア,100.0,93.0,7.0,100.0,93.0,7.0
地域別区部東部・北部エリア,398,378,20,398,378,20
地域別区部東部・北部エリア,100.0,95.0,5.0,100.0,95.0,5.0
地域別区部西部・南部エリア,595,571,24,595,571,24
地域別区部西部・南部エリア,100.0,96.0,4.0,100.0,96.0,4.0
地域別市郡部（計）,442,436,6,442,436,6
地域別市郡部（計）,100.0,98.6,1.4,100.0,98.6,1.4
地域別多摩東部エリア,132,130,2,132,130,2
地域別多摩東部エリア,100.0,98.5,1.5,100.0,98.5,1.5
地域別多摩中央部北エリア,70,70,-,70,70,-
地域別多摩中央部北エリア,100.0,100.0,-,100.0,100.0,-
地域別多摩中央部南エリア,201,197,4,201,197,4
地域別多摩中央部南エリア,100.0,98.0,2.0,100.0,98.0,2.0
地域別多摩西部エリア,39,39,-,39,39,-
地域別多摩西部エリア,100.0,100.0,-,100.0,100.0,-
選挙への関心度別関心があった（計）,1283,1267,16,1424,1400,24
選挙への関心度別関心があった（計）,100.0,98.8,1.2,100.0,98.3,1.7
選挙への関心度別関心があった,633,629,4,769,763,6
選挙への関心度別関心があった,100.0,99.4,0.6,100.0,99.2,0.8
選挙への関心度別やや関心があった,650,638,12,655,637,18
選挙への関心度別やや関心があった,100.0,98.2,1.8,100.0,97.3,2.7
選挙への関心度別関心がなかった（計）,227,199,28,175,149,26
選挙への関心度別関心がなかった（計）,100.0,87.7,12.3,100.0,85.1,14.9
選挙への関心度別あまり関心がなかった,125,117,8,89,81,8
選挙への関心度別あまり関心がなかった,100.0,93.6,6.4,100.0,91.0,9.0
選挙への関心度別関心がなかった,102,82,20,86,68,18
選挙への関心度別関心がなかった,100.0,80.4,19.6,100.0,79.1,20.9
選挙への関心度別どちらともいえない,298,276,22,209,193,16
選挙への関心度別どちらともいえない,100.0,92.6,7.4,100.0,92.3,7.7
選挙への関心度別わからない,15,4,11,15,4,11
選挙への関心度別わからない,100.0,26.7,73.3,100.0,26.7,73.3
投票への意識別投票するべき（計）,1434,1409,25,1443,1417,26
投票への意識別投票するべき（計）,100.0,98.3,1.7,100.0,98.2,1.8
投票への意識別必ず投票するべき,596,591,5,615,610,5
投票への意識別必ず投票するべき,100.0,99.2,0.8,100.0,99.2,0.8
投票への意識別可能な限り投票するべき,838,818,20,828,807,21
投票への意識別可能な限り投票するべき,100.0,97.6,2.4,100.0,97.5,2.5
投票への意識別投票するのもしないのも自由,344,308,36,335,299,36
投票への意識別投票するのもしないのも自由,100.0,89.5,10.5,100.0,89.3,10.7
投票への意識別その他,1,1,-,1,1,-
投票への意識別その他,100.0,100.0,-,100.0,100.0,-
投票への意識別わからない,44,28,16,44,29,15
投票への意識別わからない,100.0,63.6,36.4,100.0,65.9,34.1
投票への参加状況別投票した（計）,1435,1417,18,1491,1464,27
投票への参加状況別投票した（計）,100.0,98.7,1.3,100.0,98.2,1.8
投票への参加状況別投票日に投票した,1226,1210,16,1254,1228,26
投票への参加状況別投票日に投票した,100.0,98.7,1.3,100.0,97.9,2.1
投票への参加状況別期日前投票（又は不在者投票等）をした,209,207,2,237,236,1
投票への参加状況別期日前投票（又は不在者投票等）をした,100.0,99.0,1.0,100.0,99.6,0.4
投票への参加状況別投票しなかった,377,322,55,321,275,46
投票への参加状況別投票しなかった,100.0,85.4,14.6,100.0,85.7,14.3
投票への参加状況別答えたくない,11,7,4,11,7,4
投票への参加状況別答えたくない,100.0,63.6,36.4,100.0,63.6,36.4
新聞の定期購読別定期購読している,1240,1203,37,1240,1203,37
新聞の定期購読別定期購読している,100.0,97.0,3.0,100.0,97.0,3.0
新聞の定期購読別定期購読していない,583,543,40,583,543,40
新聞の定期購読別定期購読していない,100.0,93.1,6.9,100.0,93.1,6.9
インターネットの利用有無別インターネットを利用している,1055,1045,10,1055,1045,10
インターネットの利用有無別インターネットを利用している,100.0,99.1,0.9,100.0,99.1,0.9
インターネットの利用有無別インターネットを利用していない,768,701,67,768,701,67
インターネットの利用有無別インターネットを利用していない,100.0,91.3,8.7,100.0,91.3,8.7
