,調査数,候補者・政党等のホームページ・ブログ,候補者等のツイッター・フェイスブック等のＳＮＳ［LINEはＳＮＳの扱い］,候補者等からのメール,YouTubeなど動画共有サイトでの選挙関連の動画,候補者・政党以外のホームページ・ブログ,候補者・政党以外のツイッター・フェイスブック等のＳＮＳ［LINEはＳＮＳの扱い］,ニュースサイトや選挙情報サイト,まとめサイトや電子掲示板などその他のサイト,その他,わからない、忘れた,無回答
性/年齢別女性20歳代（％）,100.0,38.5,23.1,-,7.7,46.2,38.5,53.8,23.1,7.7,-,-
性/年齢別女性30歳代実数,17,6,4,-,1,5,5,13,4,-,-,-
性/年齢別女性30歳代（％）,100.0,35.3,23.5,-,5.9,29.4,29.4,76.5,23.5,-,-,-
性/年齢別女性40歳代実数,24,11,4,-,1,2,4,15,6,-,-,1
性/年齢別女性40歳代（％）,100.0,45.8,16.7,-,4.2,8.3,16.7,62.5,25.0,-,-,4.2
性/年齢別女性50歳代実数,7,4,2,-,1,1,1,4,-,-,-,-
性/年齢別女性50歳代（％）,100.0,57.1,28.6,-,14.3,14.3,14.3,57.1,-,-,-,-
性/年齢別女性60歳代実数,8,5,1,-,-,2,-,4,-,-,-,-
性/年齢別女性60歳代（％）,100.0,62.5,12.5,-,-,25.0,-,50.0,-,-,-,-
性/年齢別女性70歳代実数,2,-,-,-,1,-,-,-,-,1,-,-
性/年齢別女性70歳代（％）,100.0,-,-,-,50.0,-,-,-,-,50.0,-,-
性/年齢別女性80歳以上実数,-,-,-,-,-,-,-,-,-,-,-,-
性/年齢別女性80歳以上（％）,-,-,-,-,-,-,-,-,-,-,-,-
未・既婚別未婚実数,63,24,11,-,7,16,13,34,15,1,-,1
未・既婚別未婚（％）,100.0,38.1,17.5,-,11.1,25.4,20.6,54.0,23.8,1.6,-,1.6
未・既婚別既婚（死別・離別を含む）実数,148,62,21,4,13,27,16,83,19,5,4,1
未・既婚別既婚（死別・離別を含む）（％）,100.0,41.9,14.2,2.7,8.8,18.2,10.8,56.1,12.8,3.4,2.7,0.7
子供の有無別子供はいない実数,97,38,17,-,12,23,20,52,20,2,1,1
子供の有無別子供はいない（％）,100.0,39.2,17.5,-,12.4,23.7,20.6,53.6,20.6,2.1,1.0,1.0
子供の有無別未就学（～６歳）実数,29,12,5,-,3,6,2,14,8,-,2,1
子供の有無別未就学（～６歳）（％）,100.0,41.4,17.2,-,10.3,20.7,6.9,48.3,27.6,-,6.9,3.4
子供の有無別小・中・高校生実数,47,19,8,-,1,5,4,33,7,-,-,-
子供の有無別小・中・高校生（％）,100.0,40.4,17.0,-,2.1,10.6,8.5,70.2,14.9,-,-,-
子供の有無別大学生・大学院生・短大生・専門学校生実数,12,5,1,-,1,2,1,8,2,1,-,-
子供の有無別大学生・大学院生・短大生・専門学校生（％）,100.0,41.7,8.3,-,8.3,16.7,8.3,66.7,16.7,8.3,-,-
子供の有無別学校教育終了実数,45,19,5,4,4,8,3,23,-,3,1,-
子供の有無別学校教育終了（％）,100.0,42.2,11.1,8.9,8.9,17.8,6.7,51.1,-,6.7,2.2,-
子供の有無別その他実数,-,-,-,-,-,-,-,-,-,-,-,-
子供の有無別その他（％）,-,-,-,-,-,-,-,-,-,-,-,-
職業別自営業（計）実数,20,7,8,-,1,6,7,11,6,-,-,-
職業別自営業（計）（％）,100.0,35.0,40.0,-,5.0,30.0,35.0,55.0,30.0,-,-,-
職業別農林漁業実数,-,-,-,-,-,-,-,-,-,-,-,-
職業別農林漁業（％）,-,-,-,-,-,-,-,-,-,-,-,-
職業別商工・サービス業実数,8,2,2,-,1,1,1,4,2,-,-,-
職業別商工・サービス業（％）,100.0,25.0,25.0,-,12.5,12.5,12.5,50.0,25.0,-,-,-
職業別その他自由業実数,12,5,6,-,-,5,6,7,4,-,-,-
職業別その他自由業（％）,100.0,41.7,50.0,-,-,41.7,50.0,58.3,33.3,-,-,-
職業別お勤め（計）実数,152,62,21,3,15,28,17,90,25,2,4,2
職業別お勤め（計）（％）,100.0,40.8,13.8,2.0,9.9,18.4,11.2,59.2,16.4,1.3,2.6,1.3
職業別経営・管理職実数,20,10,3,1,1,3,1,12,1,-,1,-
職業別経営・管理職（％）,100.0,50.0,15.0,5.0,5.0,15.0,5.0,60.0,5.0,-,5.0,-
職業別専門職・技術職実数,50,18,9,-,8,14,7,31,10,-,2,-
職業別専門職・技術職（％）,100.0,36.0,18.0,-,16.0,28.0,14.0,62.0,20.0,-,4.0,-
職業別事務職実数,49,19,6,2,2,7,6,31,8,1,-,1
職業別事務職（％）,100.0,38.8,12.2,4.1,4.1,14.3,12.2,63.3,16.3,2.0,-,2.0
職業別労務職・技能職実数,9,4,-,-,-,1,-,4,1,-,-,1
職業別労務職・技能職（％）,100.0,44.4,-,-,-,11.1,-,44.4,11.1,-,-,11.1
職業別販売・サービス職実数,24,11,3,-,4,3,3,12,5,1,1,-
職業別販売・サービス職（％）,100.0,45.8,12.5,-,16.7,12.5,12.5,50.0,20.8,4.2,4.2,-
職業別その他（計）実数,38,16,3,1,4,9,5,15,3,4,-,-
職業別その他（計）（％）,100.0,42.1,7.9,2.6,10.5,23.7,13.2,39.5,7.9,10.5,-,-
職業別生徒・学生実数,5,1,-,-,-,2,2,3,1,-,-,-
職業別生徒・学生（％）,100.0,20.0,-,-,-,40.0,40.0,60.0,20.0,-,-,-
職業別専業主婦（夫）実数,13,6,2,-,-,5,2,8,2,-,-,-
職業別専業主婦（夫）（％）,100.0,46.2,15.4,-,-,38.5,15.4,61.5,15.4,-,-,-
職業別その他実数,1,1,1,-,1,-,-,1,-,-,-,-
職業別その他（％）,100.0,100.0,100.0,-,100.0,-,-,100.0,-,-,-,-
職業別無職（年金受給者含む）実数,19,8,-,1,3,2,1,3,-,4,-,-
職業別無職（年金受給者含む）（％）,100.0,42.1,-,5.3,15.8,10.5,5.3,15.8,-,21.1,-,-
投票所までの時間別５分以内実数,100,41,14,1,10,20,15,52,18,2,4,1
投票所までの時間別５分以内（％）,100.0,41.0,14.0,1.0,10.0,20.0,15.0,52.0,18.0,2.0,4.0,1.0
投票所までの時間別10分以内実数,81,30,13,1,5,12,9,49,11,2,1,1
投票所までの時間別10分以内（％）,100.0,37.0,16.0,1.2,6.2,14.8,11.1,60.5,13.6,2.5,1.2,1.2
投票所までの時間別20分以内実数,29,14,5,2,5,10,5,15,5,2,-,-
投票所までの時間別20分以内（％）,100.0,48.3,17.2,6.9,17.2,34.5,17.2,51.7,17.2,6.9,-,-
投票所までの時間別30分以内実数,1,1,-,-,-,-,-,1,-,-,-,-
投票所までの時間別30分以内（％）,100.0,100.0,-,-,-,-,-,100.0,-,-,-,-
投票所までの時間別30分を超える実数,1,-,-,-,-,1,-,-,-,-,-,-
投票所までの時間別30分を超える（％）,100.0,-,-,-,-,100.0,-,-,-,-,-,-
投票所までの時間別わからない実数,-,-,-,-,-,-,-,-,-,-,-,-
投票所までの時間別わからない（％）,-,-,-,-,-,-,-,-,-,-,-,-
地域別区部（計）実数,135,60,25,1,14,24,20,68,20,6,3,2
地域別区部（計）（％）,100.0,44.4,18.5,0.7,10.4,17.8,14.8,50.4,14.8,4.4,2.2,1.5
地域別センターコア実数,36,16,8,-,1,5,8,14,4,2,1,-
地域別センターコア（％）,100.0,44.4,22.2,-,2.8,13.9,22.2,38.9,11.1,5.6,2.8,-
地域別区部東部・北部エリア実数,41,19,6,-,6,7,4,24,7,2,-,-
地域別区部東部・北部エリア（％）,100.0,46.3,14.6,-,14.6,17.1,9.8,58.5,17.1,4.9,-,-
地域別区部西部・南部エリア実数,58,25,11,1,7,12,8,30,9,2,2,2
地域別区部西部・南部エリア（％）,100.0,43.1,19.0,1.7,12.1,20.7,13.8,51.7,15.5,3.4,3.4,3.4
地域別市郡部（計）実数,77,26,7,3,6,19,9,49,14,-,2,-
地域別市郡部（計）（％）,100.0,33.8,9.1,3.9,7.8,24.7,11.7,63.6,18.2,-,2.6,-
地域別多摩東部エリア実数,37,13,4,2,3,11,4,26,4,-,1,-
地域別多摩東部エリア（％）,100.0,35.1,10.8,5.4,8.1,29.7,10.8,70.3,10.8,-,2.7,-
地域別多摩中央部北エリア実数,9,4,-,-,2,1,1,5,2,-,1,-
地域別多摩中央部北エリア（％）,100.0,44.4,-,-,22.2,11.1,11.1,55.6,22.2,-,11.1,-
地域別多摩中央部南エリア実数,30,9,3,-,1,7,4,18,8,-,-,-
地域別多摩中央部南エリア（％）,100.0,30.0,10.0,-,3.3,23.3,13.3,60.0,26.7,-,-,-
地域別多摩西部エリア実数,1,-,-,1,-,-,-,-,-,-,-,-
地域別多摩西部エリア（％）,100.0,-,-,100.0,-,-,-,-,-,-,-,-
選挙への関心度別関心があった（計）実数,179,76,26,3,17,41,28,99,26,5,4,1
選挙への関心度別関心があった（計）（％）,100.0,42.5,14.5,1.7,9.5,22.9,15.6,55.3,14.5,2.8,2.2,0.6
選挙への関心度別関心があった実数,123,54,18,3,10,26,23,65,18,4,4,1
選挙への関心度別関心があった（％）,100.0,43.9,14.6,2.4,8.1,21.1,18.7,52.8,14.6,3.3,3.3,0.8
選挙への関心度別やや関心があった実数,56,22,8,-,7,15,5,34,8,1,-,-
選挙への関心度別やや関心があった（％）,100.0,39.3,14.3,-,12.5,26.8,8.9,60.7,14.3,1.8,-,-
選挙への関心度別関心がなかった（計）実数,8,2,2,-,-,1,-,4,3,-,-,-
選挙への関心度別関心がなかった（計）（％）,100.0,25.0,25.0,-,-,12.5,-,50.0,37.5,-,-,-
選挙への関心度別あまり関心がなかった実数,25,8,4,1,3,1,1,14,5,1,1,1
選挙への関心度別あまり関心がなかった（％）,100.0,32.0,16.0,4.0,12.0,4.0,4.0,56.0,20.0,4.0,4.0,4.0
選挙への関心度別関心がなかった実数,20,5,2,1,3,-,-,11,4,1,1,1
選挙への関心度別関心がなかった（％）,100.0,25.0,10.0,5.0,15.0,-,-,55.0,20.0,5.0,5.0,5.0
選挙への関心度別どちらともいえない実数,5,3,2,-,-,1,1,3,1,-,-,-
選挙への関心度別どちらともいえない（％）,100.0,60.0,40.0,-,-,20.0,20.0,60.0,20.0,-,-,-
選挙への関心度別わからない実数,-,-,-,-,-,-,-,-,-,-,-,-
選挙への関心度別わからない（％）,-,-,-,-,-,-,-,-,-,-,-,-
投票への意識別投票するべき（計）実数,207,84,31,4,20,41,28,116,33,6,5,2
投票への意識別投票するべき（計）（％）,100.0,40.6,15.0,1.9,9.7,19.8,13.5,56.0,15.9,2.9,2.4,1.0
投票への意識別必ず投票するべき実数,125,55,22,3,12,24,19,72,15,2,2,2
投票への意識別必ず投票するべき（％）,100.0,44.0,17.6,2.4,9.6,19.2,15.2,57.6,12.0,1.6,1.6,1.6
投票への意識別可能な限り投票するべき実数,82,29,9,1,8,17,9,44,18,4,3,-
投票への意識別可能な限り投票するべき（％）,100.0,35.4,11.0,1.2,9.8,20.7,11.0,53.7,22.0,4.9,3.7,-
投票への意識別投票するのもしないのも自由実数,5,2,1,-,-,2,1,1,1,-,-,-
投票への意識別投票するのもしないのも自由（％）,100.0,40.0,20.0,-,-,40.0,20.0,20.0,20.0,-,-,-
投票への意識別その他実数,-,-,-,-,-,-,-,-,-,-,-,-
投票への意識別その他（％）,-,-,-,-,-,-,-,-,-,-,-,-
投票への意識別わからない実数,-,-,-,-,-,-,-,-,-,-,-,-
投票への意識別わからない（％）,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別投票した（計）実数,212,86,32,4,20,43,29,117,34,6,5,2
投票への参加状況別投票した（計）（％）,100.0,40.6,15.1,1.9,9.4,20.3,13.7,55.2,16.0,2.8,2.4,0.9
投票への参加状況別投票日（12月14日）に投票した実数,159,58,21,3,16,30,22,91,28,4,4,1
投票への参加状況別投票日（12月14日）に投票した（％）,100.0,36.5,13.2,1.9,10.1,18.9,13.8,57.2,17.6,2.5,2.5,0.6
投票への参加状況別期日前投票（又は不在者投票等）をした実数,53,28,11,1,4,13,7,26,6,2,1,1
投票への参加状況別期日前投票（又は不在者投票等）をした（％）,100.0,52.8,20.8,1.9,7.5,24.5,13.2,49.1,11.3,3.8,1.9,1.9
投票への参加状況別投票しなかった実数,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別投票しなかった（％）,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別答えたくない実数,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別答えたくない（％）,-,-,-,-,-,-,-,-,-,-,-,-
新聞の定期購読定期購読している実数,99,42,10,4,9,16,8,62,10,2,1,-
新聞の定期購読定期購読している（％）,100.0,42.4,10.1,4.0,9.1,16.2,8.1,62.6,10.1,2.0,1.0,-
新聞の定期購読定期購読していない実数,113,44,22,-,11,27,21,55,24,4,4,2
新聞の定期購読定期購読していない（％）,100.0,38.9,19.5,-,9.7,23.9,18.6,48.7,21.2,3.5,3.5,1.8
インターネットの利用有無利用している実数,202,82,31,3,20,42,27,114,33,5,5,2
インターネットの利用有無利用している（％）,100.0,40.6,15.3,1.5,9.9,20.8,13.4,56.4,16.3,2.5,2.5,1.0
インターネットの利用有無利用していない実数,10,4,1,1,-,1,2,3,1,1,-,-
インターネットの利用有無利用していない（％）,100.0,40.0,10.0,10.0,-,10.0,20.0,30.0,10.0,10.0,-,-
ネット選挙の認知度別知っている実数,181,77,29,4,19,38,27,99,26,5,3,1
ネット選挙の認知度別知っている（％）,100.0,42.5,16.0,2.2,10.5,21.0,14.9,54.7,14.4,2.8,1.7,0.6
ネット選挙の認知度別知らなかった実数,30,8,3,-,1,5,2,18,7,1,2,1
ネット選挙の認知度別知らなかった（％）,100.0,26.7,10.0,-,3.3,16.7,6.7,60.0,23.3,3.3,6.7,3.3
