,Ｆ３調査数,Ｆ３未婚（死別・離別を含む）,Ｆ３既婚,Ｆ３無回答,Ｆ３－１調査数,Ｆ３－１子供はいない,Ｆ３－１未就学（～６歳）,Ｆ３－１小・中・高校生,Ｆ３－１大学生・大学院生・短大生・専門学校生,Ｆ３－１学校教育終了,Ｆ３－１その他,Ｆ３－１無回答
選挙への関心度別関心があった（計）,1170,345,815,10,1170,331,89,216,66,485,9,23
選挙への関心度別関心があった（計）,100.0,29.5,69.7,0.9,100.0,28.3,7.6,18.5,5.6,41.5,0.8,2.0
選挙への関心度別関心があった,636,158,472,6,636,151,40,100,41,311,5,11
選挙への関心度別関心があった,100.0,24.8,74.2,0.9,100.0,23.7,6.3,15.7,6.4,48.9,0.8,1.7
選挙への関心度別やや関心があった,534,187,343,4,534,180,49,116,25,174,4,12
選挙への関心度別やや関心があった,100.0,35.0,64.2,0.7,100.0,33.7,9.2,21.7,4.7,32.6,0.7,2.2
選挙への関心度別関心がなかった（計）,533,320,208,5,533,317,41,50,14,102,1,16
選挙への関心度別関心がなかった（計）,100.0,60.0,39.0,0.9,100.0,59.5,7.7,9.4,2.6,19.1,0.2,3.0
選挙への関心度別あまり関心がなかった,316,171,144,1,316,176,30,31,12,65,-,8
選挙への関心度別あまり関心がなかった,100.0,54.1,45.6,0.3,100.0,55.7,9.5,9.8,3.8,20.6,-,2.5
選挙への関心度別関心がなかった,217,149,64,4,217,141,11,19,2,37,1,8
選挙への関心度別関心がなかった,100.0,68.7,29.5,1.8,100.0,65.0,5.1,8.8,0.9,17.1,0.5,3.7
選挙への関心度別どちらともいえない,298,127,164,7,298,126,25,51,12,82,1,12
選挙への関心度別どちらともいえない,100.0,42.6,55.0,2.3,100.0,42.3,8.4,17.1,4.0,27.5,0.3,4.0
選挙への関心度別わからない、答えたくない,10,9,1,-,10,5,-,3,-,2,-,-
選挙への関心度別わからない、答えたくない,100.0,90.0,10.0,-,100.0,50.0,-,30.0,-,20.0,-,-
投票への意識別必ず投票するべき,609,139,466,4,609,132,31,101,40,313,3,10
投票への意識別必ず投票するべき,100.0,22.8,76.5,0.7,100.0,21.7,5.1,16.6,6.6,51.4,0.5,1.6
投票への意識別可能な限り投票するべき,845,329,508,8,845,325,86,152,33,264,5,13
投票への意識別可能な限り投票するべき,100.0,38.9,60.1,0.9,100.0,38.5,10.2,18.0,3.9,31.2,0.6,1.5
投票への意識別投票するのもしないのも自由,473,277,188,8,473,270,35,63,17,76,1,24
投票への意識別投票するのもしないのも自由,100.0,58.6,39.7,1.7,100.0,57.1,7.4,13.3,3.6,16.1,0.2,5.1
投票への意識別その他,8,6,2,-,8,5,-,1,-,1,-,1
投票への意識別その他,100.0,75.0,25.0,-,100.0,62.5,-,12.5,-,12.5,-,12.5
投票への意識別わからない,62,42,18,2,62,40,2,3,1,14,1,2
投票への意識別わからない,100.0,67.7,29.0,3.2,100.0,64.5,3.2,4.8,1.6,22.6,1.6,3.2
投票への参加状況別投票した（計）,999,279,711,9,999,280,70,185,63,415,8,23
投票への参加状況別投票した（計）,100.0,27.9,71.2,0.9,100.0,28.0,7.0,18.5,6.3,41.5,0.8,2.3
投票への参加状況別投票日（２月９日）に投票した,827,224,595,8,827,227,64,157,49,341,7,20
投票への参加状況別投票日（２月１０日）に投票した,100.0,27.1,71.9,1.0,100.0,27.4,7.7,19.0,5.9,41.2,0.8,2.4
投票への参加状況別期日前投票（又は不在者投票等）をした,172,55,116,1,172,53,6,28,14,74,1,3
投票への参加状況別期日前投票（又は不在者投票等）をした,100.0,32.0,67.4,0.6,100.0,30.8,3.5,16.3,8.1,43.0,0.6,1.7
投票への参加状況別投票しなかった,963,502,454,7,963,480,79,130,27,244,1,23
投票への参加状況別投票しなかった,100.0,52.1,47.1,0.7,100.0,49.8,8.2,13.5,2.8,25.3,0.1,2.4
投票への参加状況別答えたくない,42,19,18,5,42,18,4,3,2,10,2,4
投票への参加状況別答えたくない,100.0,45.2,42.9,11.9,100.0,42.9,9.5,7.1,4.8,23.8,4.8,9.5
ネット投票の認知度別知っている,1291,463,818,10,1291,485,123,240,70,392,6,28
ネット投票の認知度別知っている,100.0,35.9,63.4,0.8,100.0,37.6,9.5,18.6,5.4,30.4,0.5,2.2
ネット投票の認知度別知らなかった,645,318,317,10,645,275,31,75,18,235,4,22
ネット投票の認知度別知らなかった,100.0,49.3,49.1,1.6,100.0,42.6,4.8,11.6,2.8,36.4,0.6,3.4
インターネットの利用有無別インターネットを利用している,1176,552,615,9,1176,596,133,250,57,155,2,32
インターネットの利用有無別インターネットを利用している,100.0,46.9,52.3,0.8,100.0,50.7,11.3,21.3,4.8,13.2,0.2,2.7
インターネットの利用有無別インターネットを利用していない,832,248,571,13,832,182,22,69,35,515,9,19
インターネットの利用有無別インターネットを利用していない,100.0,29.8,68.6,1.6,100.0,21.9,2.6,8.3,4.2,61.9,1.1,2.3
新聞の定期購読別定期購読している,1206,341,852,13,1206,311,77,214,66,550,7,25
新聞の定期購読別定期購読している,100.0,28.3,70.6,1.1,100.0,25.8,6.4,17.7,5.5,45.6,0.6,2.1
新聞の定期購読別定期購読していない,796,455,333,8,796,465,78,105,25,118,4,25
新聞の定期購読別定期購読していない,100.0,57.2,41.8,1.0,100.0,58.4,9.8,13.2,3.1,14.8,0.5,3.1
