,調査数,農林漁業,商工・サービス業,その他自由業,経営・管理職,専門職・技術職,事務職,労務職・技能職,販売・サービス職,学生,専業主婦（夫）,その他,無職（年金受給者含む）,無回答
子供の有無別その他,100.0,-,-,9.1,9.1,9.1,-,-,9.1,-,9.1,9.1,45.5,-
職業別自営業（計）,174,2,71,101,-,-,-,-,-,-,-,-,-,-
職業別自営業（計）,100.0,1.1,40.8,58.0,-,-,-,-,-,-,-,-,-,-
職業別農林漁業,2,2,-,-,-,-,-,-,-,-,-,-,-,-
職業別農林漁業,100.0,100.0,-,-,-,-,-,-,-,-,-,-,-,-
職業別商工・サービス業,71,-,71,-,-,-,-,-,-,-,-,-,-,-
職業別商工・サービス業,100.0,-,100.0,-,-,-,-,-,-,-,-,-,-,-
職業別その他自由業,101,-,-,101,-,-,-,-,-,-,-,-,-,-
職業別その他自由業,100.0,-,-,100.0,-,-,-,-,-,-,-,-,-,-
職業別お勤め（計）,981,-,-,-,109,261,305,89,217,-,-,-,-,-
職業別お勤め（計）,100.0,-,-,-,11.1,26.6,31.1,9.1,22.1,-,-,-,-,-
職業別経営・管理職,109,-,-,-,109,-,-,-,-,-,-,-,-,-
職業別経営・管理職,100.0,-,-,-,100.0,-,-,-,-,-,-,-,-,-
職業別専門職・技術職,261,-,-,-,-,261,-,-,-,-,-,-,-,-
職業別専門職・技術職,100.0,-,-,-,-,100.0,-,-,-,-,-,-,-,-
職業別事務職,305,-,-,-,-,-,305,-,-,-,-,-,-,-
職業別事務職,100.0,-,-,-,-,-,100.0,-,-,-,-,-,-,-
職業別労務職・技能職,89,-,-,-,-,-,-,89,-,-,-,-,-,-
職業別労務職・技能職,100.0,-,-,-,-,-,-,100.0,-,-,-,-,-,-
職業別販売・サービス職,217,-,-,-,-,-,-,-,217,-,-,-,-,-
職業別販売・サービス職,100.0,-,-,-,-,-,-,-,100.0,-,-,-,-,-
職業別その他（計）,841,-,-,-,-,-,-,-,-,53,391,62,335,-
職業別その他（計）,100.0,-,-,-,-,-,-,-,-,6.3,46.5,7.4,39.8,-
職業別学生,53,-,-,-,-,-,-,-,-,53,-,-,-,-
職業別学生,100.0,-,-,-,-,-,-,-,-,100.0,-,-,-,-
職業別専業主婦（夫）,391,-,-,-,-,-,-,-,-,-,391,-,-,-
職業別専業主婦（夫）,100.0,-,-,-,-,-,-,-,-,-,100.0,-,-,-
職業別その他,62,-,-,-,-,-,-,-,-,-,-,62,-,-
職業別その他,100.0,-,-,-,-,-,-,-,-,-,-,100.0,-,-
職業別無職（年金受給者含む）,335,-,-,-,-,-,-,-,-,-,-,-,335,-
職業別無職（年金受給者含む）,100.0,-,-,-,-,-,-,-,-,-,-,-,100.0,-
投票所までの時間別５分以内,636,-,34,40,42,89,96,17,67,11,109,19,112,-
投票所までの時間別５分以内,100.0,-,5.3,6.3,6.6,14.0,15.1,2.7,10.5,1.7,17.1,3.0,17.6,-
投票所までの時間別10分以内,1060,2,23,42,59,136,171,55,118,33,218,34,164,5
投票所までの時間別10分以内,100.0,0.2,2.2,4.0,5.6,12.8,16.1,5.2,11.1,3.1,20.6,3.2,15.5,0.5
投票所までの時間別20分以内,221,-,8,14,6,22,30,12,21,9,43,5,48,3
投票所までの時間別20分以内,100.0,-,3.6,6.3,2.7,10.0,13.6,5.4,9.5,4.1,19.5,2.3,21.7,1.4
投票所までの時間別30分以内,50,-,5,2,1,8,6,4,8,-,13,1,2,-
投票所までの時間別30分以内,100.0,-,10.0,4.0,2.0,16.0,12.0,8.0,16.0,-,26.0,2.0,4.0,-
投票所までの時間別30分を超える,26,-,1,2,1,6,1,1,2,-,7,-,5,-
投票所までの時間別30分を超える,100.0,-,3.8,7.7,3.8,23.1,3.8,3.8,7.7,-,26.9,-,19.2,-
地域別区部（計）,1392,1,62,82,89,182,205,53,174,22,227,52,238,5
地域別区部（計）,100.0,0.1,4.5,5.9,6.4,13.1,14.7,3.8,12.5,1.6,16.3,3.7,17.1,0.4
地域別センターコア,372,1,15,23,24,57,63,17,45,4,45,15,63,-
地域別センターコア,100.0,0.3,4.0,6.2,6.5,15.3,16.9,4.6,12.1,1.1,12.1,4.0,16.9,-
地域別区部東部・北部エリア,408,-,18,23,20,56,68,18,45,7,61,31,59,2
地域別区部東部・北部エリア,100.0,-,4.4,5.6,4.9,13.7,16.7,4.4,11.0,1.7,15.0,7.6,14.5,0.5
地域別区部西部・南部エリア,612,-,29,36,45,69,74,18,84,11,121,6,116,3
地域別区部西部・南部エリア,100.0,-,4.7,5.9,7.4,11.3,12.1,2.9,13.7,1.8,19.8,1.0,19.0,0.5
地域別市郡部（計）,619,1,9,19,20,79,100,36,43,31,164,10,97,10
地域別市郡部（計）,100.0,0.2,1.5,3.1,3.2,12.8,16.2,5.8,6.9,5.0,26.5,1.6,15.7,1.6
地域別多摩東部エリア,235,1,2,4,7,18,42,20,12,13,71,2,40,3
地域別多摩東部エリア,100.0,0.4,0.9,1.7,3.0,7.7,17.9,8.5,5.1,5.5,30.2,0.9,17.0,1.3
地域別多摩中央部北エリア,88,-,4,3,5,10,9,5,7,3,20,8,12,2
地域別多摩中央部北エリア,100.0,-,4.5,3.4,5.7,11.4,10.2,5.7,8.0,3.4,22.7,9.1,13.6,2.3
地域別多摩中央部南エリア,261,-,2,12,7,47,42,8,22,15,63,-,39,4
地域別多摩中央部南エリア,100.0,-,0.8,4.6,2.7,18.0,16.1,3.1,8.4,5.7,24.1,-,14.9,1.5
地域別多摩西部エリア,35,-,1,-,1,4,7,3,2,-,10,-,6,1
地域別多摩西部エリア,100.0,-,2.9,-,2.9,11.4,20.0,8.6,5.7,-,28.6,-,17.1,2.9
選挙への関心度別関心があった（計）,1170,2,41,59,79,170,143,48,86,13,270,36,217,6
選挙への関心度別関心があった（計）,100.0,0.2,3.5,5.0,6.8,14.5,12.2,4.1,7.4,1.1,23.1,3.1,18.5,0.5
選挙への関心度別関心があった,636,2,23,37,53,84,67,16,42,4,157,20,127,4
選挙への関心度別関心があった,100.0,0.3,3.6,5.8,8.3,13.2,10.5,2.5,6.6,0.6,24.7,3.1,20.0,0.6
選挙への関心度別やや関心があった,534,-,18,22,26,86,76,32,44,9,113,16,90,2
選挙への関心度別やや関心があった,100.0,-,3.4,4.1,4.9,16.1,14.2,6.0,8.2,1.7,21.2,3.0,16.9,0.4
選挙への関心度別関心がなかった（計）,533,-,16,27,18,58,110,26,90,31,73,19,62,3
選挙への関心度別関心がなかった（計）,100.0,-,3.0,5.1,3.4,10.9,20.6,4.9,16.9,5.8,13.7,3.6,11.6,0.6
選挙への関心度別あまり関心がなかった,316,-,9,17,15,38,61,12,52,14,58,7,32,1
選挙への関心度別あまり関心がなかった,100.0,-,2.8,5.4,4.7,12.0,19.3,3.8,16.5,4.4,18.4,2.2,10.1,0.3
選挙への関心度別関心がなかった,217,-,7,10,3,20,49,14,38,17,15,12,30,2
選挙への関心度別関心がなかった,100.0,-,3.2,4.6,1.4,9.2,22.6,6.5,17.5,7.8,6.9,5.5,13.8,0.9
選挙への関心度別どちらともいえない,298,-,14,14,11,32,49,14,41,9,48,7,53,6
選挙への関心度別どちらともいえない,100.0,-,4.7,4.7,3.7,10.7,16.4,4.7,13.8,3.0,16.1,2.3,17.8,2.0
選挙への関心度別わからない、答えたくない,10,-,-,1,1,1,3,1,-,-,-,-,3,-
選挙への関心度別わからない、答えたくない,100.0,-,-,10.0,10.0,10.0,30.0,10.0,-,-,-,-,30.0,-
投票への意識別必ず投票するべき,609,1,19,29,51,75,59,15,38,5,156,21,136,4
投票への意識別必ず投票するべき,100.0,0.2,3.1,4.8,8.4,12.3,9.7,2.5,6.2,0.8,25.6,3.4,22.3,0.7
投票への意識別可能な限り投票するべき,845,1,22,41,44,128,134,42,97,13,173,24,123,3
投票への意識別可能な限り投票するべき,100.0,0.1,2.6,4.9,5.2,15.1,15.9,5.0,11.5,1.5,20.5,2.8,14.6,0.4
投票への意識別投票するのもしないのも自由,473,-,26,27,11,52,95,23,72,29,59,17,56,6
投票への意識別投票するのもしないのも自由,100.0,-,5.5,5.7,2.3,11.0,20.1,4.9,15.2,6.1,12.5,3.6,11.8,1.3
投票への意識別その他,8,-,1,-,-,1,1,1,2,1,-,-,1,-
投票への意識別その他,100.0,-,12.5,-,-,12.5,12.5,12.5,25.0,12.5,-,-,12.5,-
投票への意識別わからない,62,-,2,3,3,4,15,7,5,4,3,-,15,1
投票への意識別わからない,100.0,-,3.2,4.8,4.8,6.5,24.2,11.3,8.1,6.5,4.8,-,24.2,1.6
投票への参加状況別投票した（計）,999,2,37,53,69,142,124,38,79,11,221,35,180,8
投票への参加状況別投票した（計）,100.0,0.2,3.7,5.3,6.9,14.2,12.4,3.8,7.9,1.1,22.1,3.5,18.0,0.8
投票への参加状況別投票日（２月９日）に投票した,827,2,36,43,52,125,99,27,66,10,189,22,148,8
投票への参加状況別投票日（２月１０日）に投票した,100.0,0.2,4.4,5.2,6.3,15.1,12.0,3.3,8.0,1.2,22.9,2.7,17.9,1.0
投票への参加状況別期日前投票（又は不在者投票等）をした,172,-,1,10,17,17,25,11,13,1,32,13,32,-
投票への参加状況別期日前投票（又は不在者投票等）をした,100.0,-,0.6,5.8,9.9,9.9,14.5,6.4,7.6,0.6,18.6,7.6,18.6,-
投票への参加状況別投票しなかった,963,-,32,45,38,115,174,47,134,39,163,25,148,3
投票への参加状況別投票しなかった,100.0,-,3.3,4.7,3.9,11.9,18.1,4.9,13.9,4.0,16.9,2.6,15.4,0.3
投票への参加状況別答えたくない,42,-,2,2,1,3,7,4,3,3,7,1,5,4
投票への参加状況別答えたくない,100.0,-,4.8,4.8,2.4,7.1,16.7,9.5,7.1,7.1,16.7,2.4,11.9,9.5
ネット投票の認知度別知っている,1291,2,46,55,94,199,217,62,130,31,258,42,147,8
ネット投票の認知度別知っている,100.0,0.2,3.6,4.3,7.3,15.4,16.8,4.8,10.1,2.4,20.0,3.3,11.4,0.6
ネット投票の認知度別知らなかった,645,-,20,39,14,57,83,25,81,22,119,20,159,6
ネット投票の認知度別知らなかった,100.0,-,3.1,6.0,2.2,8.8,12.9,3.9,12.6,3.4,18.4,3.1,24.7,0.9
インターネットの利用有無別インターネットを利用している,1176,1,35,55,70,214,256,66,155,50,190,34,44,6
インターネットの利用有無別インターネットを利用している,100.0,0.1,3.0,4.7,6.0,18.2,21.8,5.6,13.2,4.3,16.2,2.9,3.7,0.5
インターネットの利用有無別インターネットを利用していない,832,1,34,46,39,47,49,23,62,3,201,28,290,9
インターネットの利用有無別インターネットを利用していない,100.0,0.1,4.1,5.5,4.7,5.6,5.9,2.8,7.5,0.4,24.2,3.4,34.9,1.1
新聞の定期購読別定期購読している,1206,1,42,58,85,133,149,35,91,32,290,29,253,8
新聞の定期購読別定期購読している,100.0,0.1,3.5,4.8,7.0,11.0,12.4,2.9,7.5,2.7,24.0,2.4,21.0,0.7
新聞の定期購読別定期購読していない,796,1,29,43,22,125,156,54,125,21,101,33,79,7
新聞の定期購読別定期購読していない,100.0,0.1,3.6,5.4,2.8,15.7,19.6,6.8,15.7,2.6,12.7,4.1,9.9,0.9
