,参議院議員選挙/調査数,参議院議員選挙/日常的に使っている,参議院議員選挙/時々使っている,参議院議員選挙/ほとんど利用しない,東京都知事選挙/調査数,東京都知事選挙/日常的に使っている,東京都知事選挙/時々使っている,東京都知事選挙/ほとんど利用しない
性/年齢別女性70歳代,15,10,5,-,15,10,5,-
性/年齢別女性70歳代,100.0,66.7,33.3,-,100.0,66.7,33.3,-
性/年齢別女性80歳以上,2,1,1,-,2,1,1,-
性/年齢別女性80歳以上,100.0,50.0,50.0,-,100.0,50.0,50.0,-
未・既婚別未婚,290,277,12,1,290,277,12,1
未・既婚別未婚,100.0,95.5,4.1,0.3,100.0,95.5,4.1,0.3
未・既婚別既婚（死別・離別を含む）,765,652,109,4,765,652,109,4
未・既婚別既婚（死別・離別を含む）,100.0,85.2,14.2,0.5,100.0,85.2,14.2,0.5
子供の有無別子供はいない,341,324,16,1,341,324,16,1
子供の有無別子供はいない,100.0,95.0,4.7,0.3,100.0,95.0,4.7,0.3
子供の有無別未就学（～６歳）,102,98,4,-,102,98,4,-
子供の有無別未就学（～６歳）,100.0,96.1,3.9,-,100.0,96.1,3.9,-
子供の有無別小・中・高校生,328,291,35,2,328,291,35,2
子供の有無別小・中・高校生,100.0,88.7,10.7,0.6,100.0,88.7,10.7,0.6
子供の有無別大学生・大学院生・短大生・専門学校生,100,87,13,-,100,87,13,-
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,87.0,13.0,-,100.0,87.0,13.0,-
子供の有無別学校教育終了,233,175,56,2,233,175,56,2
子供の有無別学校教育終了,100.0,75.1,24.0,0.9,100.0,75.1,24.0,0.9
子供の有無別その他,17,13,4,-,17,13,4,-
子供の有無別その他,100.0,76.5,23.5,-,100.0,76.5,23.5,-
職業別自営業（計）,80,69,9,2,80,69,9,2
職業別自営業（計）,100.0,86.3,11.3,2.5,100.0,86.3,11.3,2.5
職業別農林漁業,-,-,-,-,-,-,-,-
職業別農林漁業,-,-,-,-,-,-,-,-
職業別商工・サービス業,24,19,4,1,24,19,4,1
職業別商工・サービス業,100.0,79.2,16.7,4.2,100.0,79.2,16.7,4.2
職業別その他自由業,56,50,5,1,56,50,5,1
職業別その他自由業,100.0,89.3,8.9,1.8,100.0,89.3,8.9,1.8
職業別お勤め（計）,658,596,62,-,658,596,62,-
職業別お勤め（計）,100.0,90.6,9.4,-,100.0,90.6,9.4,-
職業別経営・管理職,55,47,8,-,55,47,8,-
職業別経営・管理職,100.0,85.5,14.5,-,100.0,85.5,14.5,-
職業別専門職・技術職,151,143,8,-,151,143,8,-
職業別専門職・技術職,100.0,94.7,5.3,-,100.0,94.7,5.3,-
職業別事務職,192,178,14,-,192,178,14,-
職業別事務職,100.0,92.7,7.3,-,100.0,92.7,7.3,-
職業別労務職・技能職,45,35,10,-,45,35,10,-
職業別労務職・技能職,100.0,77.8,22.2,-,100.0,77.8,22.2,-
職業別販売・サービス職,215,193,22,-,215,193,22,-
職業別販売・サービス職,100.0,89.8,10.2,-,100.0,89.8,10.2,-
職業別その他（計）,317,264,50,3,317,264,50,3
職業別その他（計）,100.0,83.3,15.8,0.9,100.0,83.3,15.8,0.9
職業別生徒・学生,46,46,-,-,46,46,-,-
職業別生徒・学生,100.0,100.0,-,-,100.0,100.0,-,-
職業別専業主婦（夫）,199,157,40,2,199,157,40,2
職業別専業主婦（夫）,100.0,78.9,20.1,1.0,100.0,78.9,20.1,1.0
職業別その他,15,14,1,-,15,14,1,-
職業別その他,100.0,93.3,6.7,-,100.0,93.3,6.7,-
職業別無職（年金受給者含む）,57,47,9,1,57,47,9,1
職業別無職（年金受給者含む）,100.0,82.5,15.8,1.8,100.0,82.5,15.8,1.8
投票所までの時間別５分以内,269,251,17,1,269,251,17,1
投票所までの時間別５分以内,100.0,93.3,6.3,0.4,100.0,93.3,6.3,0.4
投票所までの時間別10分以内,651,557,91,3,651,557,91,3
投票所までの時間別10分以内,100.0,85.6,14.0,0.5,100.0,85.6,14.0,0.5
投票所までの時間別20分以内,115,104,10,1,115,104,10,1
投票所までの時間別20分以内,100.0,90.4,8.7,0.9,100.0,90.4,8.7,0.9
投票所までの時間別30分以内,8,6,2,-,8,6,2,-
投票所までの時間別30分以内,100.0,75.0,25.0,-,100.0,75.0,25.0,-
投票所までの時間別30分を超える,2,2,-,-,2,2,-,-
投票所までの時間別30分を超える,100.0,100.0,-,-,100.0,100.0,-,-
投票所までの時間別わからない,10,9,1,-,10,9,1,-
投票所までの時間別わからない,100.0,90.0,10.0,-,100.0,90.0,10.0,-
地域別区部（計）,830,728,98,4,830,728,98,4
地域別区部（計）,100.0,87.7,11.8,0.5,100.0,87.7,11.8,0.5
地域別センターコア,233,217,16,-,233,217,16,-
地域別センターコア,100.0,93.1,6.9,-,100.0,93.1,6.9,-
地域別区部東部・北部エリア,228,195,31,2,228,195,31,2
地域別区部東部・北部エリア,100.0,85.5,13.6,0.9,100.0,85.5,13.6,0.9
地域別区部西部・南部エリア,369,316,51,2,369,316,51,2
地域別区部西部・南部エリア,100.0,85.6,13.8,0.5,100.0,85.6,13.8,0.5
地域別市郡部（計）,225,201,23,1,225,201,23,1
地域別市郡部（計）,100.0,89.3,10.2,0.4,100.0,89.3,10.2,0.4
地域別多摩東部エリア,72,65,7,-,72,65,7,-
地域別多摩東部エリア,100.0,90.3,9.7,-,100.0,90.3,9.7,-
地域別多摩中央部北エリア,44,41,2,1,44,41,2,1
地域別多摩中央部北エリア,100.0,93.2,4.5,2.3,100.0,93.2,4.5,2.3
地域別多摩中央部南エリア,89,79,10,-,89,79,10,-
地域別多摩中央部南エリア,100.0,88.8,11.2,-,100.0,88.8,11.2,-
地域別多摩西部エリア,20,16,4,-,20,16,4,-
地域別多摩西部エリア,100.0,80.0,20.0,-,100.0,80.0,20.0,-
選挙への関心度別関心があった（計）,722,636,82,4,809,709,96,4
選挙への関心度別関心があった（計）,100.0,88.1,11.4,0.6,100.0,87.6,11.9,0.5
選挙への関心度別関心があった,305,273,31,1,386,344,41,1
選挙への関心度別関心があった,100.0,89.5,10.2,0.3,100.0,89.1,10.6,0.3
選挙への関心度別やや関心があった,417,363,51,3,423,365,55,3
選挙への関心度別やや関心があった,100.0,87.1,12.2,0.7,100.0,86.3,13.0,0.7
選挙への関心度別関心がなかった（計）,142,129,13,-,113,104,9,-
選挙への関心度別関心がなかった（計）,100.0,90.8,9.2,-,100.0,92.0,8.0,-
選挙への関心度別あまり関心がなかった,80,71,9,-,61,56,5,-
選挙への関心度別あまり関心がなかった,100.0,88.8,11.3,-,100.0,91.8,8.2,-
選挙への関心度別関心がなかった,62,58,4,-,52,48,4,-
選挙への関心度別関心がなかった,100.0,93.5,6.5,-,100.0,92.3,7.7,-
選挙への関心度別どちらともいえない,189,162,26,1,131,114,16,1
選挙への関心度別どちらともいえない,100.0,85.7,13.8,0.5,100.0,87.0,12.2,0.8
選挙への関心度別わからない,2,2,-,-,2,2,-,-
選挙への関心度別わからない,100.0,100.0,-,-,100.0,100.0,-,-
投票への意識別投票するべき（計）,814,714,96,4,818,717,97,4
投票への意識別投票するべき（計）,100.0,87.7,11.8,0.5,100.0,87.7,11.9,0.5
投票への意識別必ず投票するべき,287,246,40,1,300,258,41,1
投票への意識別必ず投票するべき,100.0,85.7,13.9,0.3,100.0,86.0,13.7,0.3
投票への意識別可能な限り投票するべき,527,468,56,3,518,459,56,3
投票への意識別可能な限り投票するべき,100.0,88.8,10.6,0.6,100.0,88.6,10.8,0.6
投票への意識別投票するのもしないのも自由,220,195,24,1,216,192,23,1
投票への意識別投票するのもしないのも自由,100.0,88.6,10.9,0.5,100.0,88.9,10.6,0.5
投票への意識別その他,-,-,-,-,-,-,-,-
投票への意識別その他,-,-,-,-,-,-,-,-
投票への意識別わからない,21,20,1,-,21,20,1,-
投票への意識別わからない,100.0,95.2,4.8,-,100.0,95.2,4.8,-
投票への参加状況別投票した（計）,838,732,102,4,865,756,104,5
投票への参加状況別投票した（計）,100.0,87.4,12.2,0.5,100.0,87.4,12.0,0.6
投票への参加状況別投票日に投票した,695,606,85,4,698,607,86,5
投票への参加状況別投票日に投票した,100.0,87.2,12.2,0.6,100.0,87.0,12.3,0.7
投票への参加状況別期日前投票（又は不在者投票等）をした,143,126,17,-,167,149,18,-
投票への参加状況別期日前投票（又は不在者投票等）をした,100.0,88.1,11.9,-,100.0,89.2,10.8,-
投票への参加状況別投票しなかった,212,192,19,1,185,168,17,-
投票への参加状況別投票しなかった,100.0,90.6,9.0,0.5,100.0,90.8,9.2,-
投票への参加状況別答えたくない,5,5,-,-,5,5,-,-
投票への参加状況別答えたくない,100.0,100.0,-,-,100.0,100.0,-,-
新聞の定期購読別定期購読している,616,521,90,5,616,521,90,5
新聞の定期購読別定期購読している,100.0,84.6,14.6,0.8,100.0,84.6,14.6,0.8
新聞の定期購読別定期購読していない,439,408,31,-,439,408,31,-
新聞の定期購読別定期購読していない,100.0,92.9,7.1,-,100.0,92.9,7.1,-
インターネットの利用有無別インターネットを利用している,1055,929,121,5,1055,929,121,5
インターネットの利用有無別インターネットを利用している,100.0,88.1,11.5,0.5,100.0,88.1,11.5,0.5
インターネットの利用有無別インターネットを利用していない,-,-,-,-,-,-,-,-
インターネットの利用有無別インターネットを利用していない,-,-,-,-,-,-,-,-
