,参議院議員選挙/調査数,参議院議員選挙/子供はいない,参議院議員選挙/未就学（～６歳）,参議院議員選挙/小・中・高校生,参議院議員選挙/大学生・大学院生・短大生・専門学校生,参議院議員選挙/学校教育終了,参議院議員選挙/その他,東京都知事選挙/調査数,東京都知事選挙/子供はいない,東京都知事選挙/未就学（～６歳）,東京都知事選挙/小・中・高校生,東京都知事選挙/大学生・大学院生・短大生・専門学校生,東京都知事選挙/学校教育終了,東京都知事選挙/その他
性/年齢別女性60歳代,100.0,3.3,-,-,2.2,85.0,10.6,100.0,3.3,-,-,2.2,85.0,10.6
性/年齢別女性70歳代,124,5,-,-,-,108,11,124,5,-,-,-,108,11
性/年齢別女性70歳代,100.0,4.0,-,-,-,87.1,8.9,100.0,4.0,-,-,-,87.1,8.9
性/年齢別女性80歳以上,50,1,-,-,-,45,4,50,1,-,-,-,45,4
性/年齢別女性80歳以上,100.0,2.0,-,-,-,90.0,8.0,100.0,2.0,-,-,-,90.0,8.0
未・既婚別未婚,344,333,3,2,1,4,1,344,333,3,2,1,4,1
未・既婚別未婚,100.0,96.8,0.9,0.6,0.3,1.2,0.3,100.0,96.8,0.9,0.6,0.3,1.2,0.3
未・既婚別既婚（死別・離別を含む）,1479,71,111,392,143,787,59,1479,71,111,392,143,787,59
未・既婚別既婚（死別・離別を含む）,100.0,4.8,7.5,26.5,9.7,53.2,4.0,100.0,4.8,7.5,26.5,9.7,53.2,4.0
子供の有無別子供はいない,404,404,-,-,-,-,-,404,404,-,-,-,-,-
子供の有無別子供はいない,100.0,100.0,-,-,-,-,-,100.0,100.0,-,-,-,-,-
子供の有無別未就学（～６歳）,114,-,114,27,-,-,-,114,-,114,27,-,-,-
子供の有無別未就学（～６歳）,100.0,-,100.0,23.7,-,-,-,100.0,-,100.0,23.7,-,-,-
子供の有無別小・中・高校生,394,-,27,394,40,4,-,394,-,27,394,40,4,-
子供の有無別小・中・高校生,100.0,-,6.9,100.0,10.2,1.0,-,100.0,-,6.9,100.0,10.2,1.0,-
子供の有無別大学生・大学院生・短大生・専門学校生,144,-,-,40,144,13,1,144,-,-,40,144,13,1
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,-,-,27.8,100.0,9.0,0.7,100.0,-,-,27.8,100.0,9.0,0.7
子供の有無別学校教育終了,791,-,-,4,13,791,-,791,-,-,4,13,791,-
子供の有無別学校教育終了,100.0,-,-,0.5,1.6,100,-,100.0,-,-,0.5,1.6,100,-
子供の有無別その他,60,-,-,-,1,-,60,60,-,-,-,1,-,60
子供の有無別その他,100.0,-,-,-,1.7,-,100.0,100.0,-,-,-,1.7,-,100.0
職業別自営業（計）,133,36,6,21,8,56,10,133,36,6,21,8,56,10
職業別自営業（計）,100.0,27.1,4.5,15.8,6.0,42.1,7.5,100.0,27.1,4.5,15.8,6.0,42.1,7.5
職業別農林漁業,1,-,-,-,-,1,-,1,-,-,-,-,1,-
職業別農林漁業,100.0,-,-,-,-,100,-,100.0,-,-,-,-,100,-
職業別商工・サービス業,42,10,-,7,5,18,4,42,10,-,7,5,18,4
職業別商工・サービス業,100.0,23.8,-,16.7,11.9,42.9,9.5,100.0,23.8,-,16.7,11.9,42.9,9.5
職業別その他自由業,90,26,6,14,3,37,6,90,26,6,14,3,37,6
職業別その他自由業,100.0,28.9,6.7,15.6,3.3,41.1,6.7,100.0,28.9,6.7,15.6,3.3,41.1,6.7
職業別お勤め（計）,821,271,79,259,89,179,6,821,271,79,259,89,179,6
職業別お勤め（計）,100.0,33.0,9.6,31.5,10.8,21.8,0.7,100.0,33.0,9.6,31.5,10.8,21.8,0.7
職業別経営・管理職,74,7,6,21,17,33,1,74,7,6,21,17,33,1
職業別経営・管理職,100.0,9.5,8.1,28.4,23.0,44.6,1.4,100.0,9.5,8.1,28.4,23.0,44.6,1.4
職業別専門職・技術職,196,47,24,65,26,51,2,196,47,24,65,26,51,2
職業別専門職・技術職,100.0,24.0,12.2,33.2,13.3,26.0,1.0,100.0,24.0,12.2,33.2,13.3,26.0,1.0
職業別事務職,221,85,17,70,20,39,1,221,85,17,70,20,39,1
職業別事務職,100.0,38.5,7.7,31.7,9.0,17.6,0.5,100.0,38.5,7.7,31.7,9.0,17.6,0.5
職業別労務職・技能職,61,13,5,14,5,28,-,61,13,5,14,5,28,-
職業別労務職・技能職,100.0,21.3,8.2,23.0,8.2,45.9,-,100.0,21.3,8.2,23.0,8.2,45.9,-
職業別販売・サービス職,269,119,27,89,21,28,2,269,119,27,89,21,28,2
職業別販売・サービス職,100.0,44.2,10.0,33.1,7.8,10.4,0.7,100.0,44.2,10.0,33.1,7.8,10.4,0.7
職業別その他（計）,869,97,29,114,47,556,44,869,97,29,114,47,556,44
職業別その他（計）,100.0,11.2,3.3,13.1,5.4,64.0,5.1,100.0,11.2,3.3,13.1,5.4,64.0,5.1
職業別生徒・学生,47,46,-,-,1,-,-,47,46,-,-,1,-,-
職業別生徒・学生,100.0,97.9,-,-,2.1,-,-,100.0,97.9,-,-,2.1,-,-
職業別専業主婦（夫）,395,7,28,112,45,208,12,395,7,28,112,45,208,12
職業別専業主婦（夫）,100.0,1.8,7.1,28.4,11.4,52.7,3.0,100.0,1.8,7.1,28.4,11.4,52.7,3.0
職業別その他,25,16,1,1,-,6,1,25,16,1,1,-,6,1
職業別その他,100.0,64.0,4.0,4.0,-,24.0,4.0,100.0,64.0,4.0,4.0,-,24.0,4.0
職業別無職（年金受給者含む）,402,28,-,1,1,342,31,402,28,-,1,1,342,31
職業別無職（年金受給者含む）,100.0,7.0,-,0.2,0.2,85.1,7.7,100.0,7.0,-,0.2,0.2,85.1,7.7
投票所までの時間別５分以内,433,104,37,88,29,173,25,433,104,37,88,29,173,25
投票所までの時間別５分以内,100.0,24.0,8.5,20.3,6.7,40.0,5.8,100.0,24.0,8.5,20.3,6.7,40.0,5.8
投票所までの時間別10分以内,1067,219,60,270,93,455,22,1067,219,60,270,93,455,22
投票所までの時間別10分以内,100.0,20.5,5.6,25.3,8.7,42.6,2.1,100.0,20.5,5.6,25.3,8.7,42.6,2.1
投票所までの時間別20分以内,288,68,14,33,20,148,12,288,68,14,33,20,148,12
投票所までの時間別20分以内,100.0,23.6,4.9,11.5,6.9,51.4,4.2,100.0,23.6,4.9,11.5,6.9,51.4,4.2
投票所までの時間別30分以内,21,5,1,2,1,13,1,21,5,1,2,1,13,1
投票所までの時間別30分以内,100.0,23.8,4.8,9.5,4.8,61.9,4.8,100.0,23.8,4.8,9.5,4.8,61.9,4.8
投票所までの時間別30分を超える,3,-,1,-,1,1,-,3,-,1,-,1,1,-
投票所までの時間別30分を超える,100.0,-,33.3,-,33.3,33.3,-,100.0,-,33.3,-,33.3,33.3,-
投票所までの時間別わからない,11,8,1,1,-,1,-,11,8,1,1,-,1,-
投票所までの時間別わからない,100.0,72.7,9.1,9.1,-,9.1,-,100.0,72.7,9.1,9.1,-,9.1,-
地域別区部（計）,1381,295,97,325,108,601,18,1381,295,97,325,108,601,18
地域別区部（計）,100.0,21.4,7.0,23.5,7.8,43.5,1.3,100.0,21.4,7.0,23.5,7.8,43.5,1.3
地域別センターコア,388,86,35,94,30,153,-,388,86,35,94,30,153,-
地域別センターコア,100.0,22.2,9.0,24.2,7.7,39.4,-,100.0,22.2,9.0,24.2,7.7,39.4,-
地域別区部東部・北部エリア,398,77,30,71,28,205,11,398,77,30,71,28,205,11
地域別区部東部・北部エリア,100.0,19.3,7.5,17.8,7.0,51.5,2.8,100.0,19.3,7.5,17.8,7.0,51.5,2.8
地域別区部西部・南部エリア,595,132,32,160,50,243,7,595,132,32,160,50,243,7
地域別区部西部・南部エリア,100.0,22.2,5.4,26.9,8.4,40.8,1.2,100.0,22.2,5.4,26.9,8.4,40.8,1.2
地域別市郡部（計）,442,109,17,69,36,190,42,442,109,17,69,36,190,42
地域別市郡部（計）,100.0,24.7,3.8,15.6,8.1,43.0,9.5,100.0,24.7,3.8,15.6,8.1,43.0,9.5
地域別多摩東部エリア,132,45,6,20,11,39,17,132,45,6,20,11,39,17
地域別多摩東部エリア,100.0,34.1,4.5,15.2,8.3,29.5,12.9,100.0,34.1,4.5,15.2,8.3,29.5,12.9
地域別多摩中央部北エリア,70,20,3,13,5,27,8,70,20,3,13,5,27,8
地域別多摩中央部北エリア,100.0,28.6,4.3,18.6,7.1,38.6,11.4,100.0,28.6,4.3,18.6,7.1,38.6,11.4
地域別多摩中央部南エリア,201,36,6,32,15,104,17,201,36,6,32,15,104,17
地域別多摩中央部南エリア,100.0,17.9,3.0,15.9,7.5,51.7,8.5,100.0,17.9,3.0,15.9,7.5,51.7,8.5
地域別多摩西部エリア,39,8,2,4,5,20,-,39,8,2,4,5,20,-
地域別多摩西部エリア,100.0,20.5,5.1,10.3,12.8,51.3,-,100.0,20.5,5.1,10.3,12.8,51.3,-
選挙への関心度別関心があった（計）,1283,214,79,281,114,611,51,1424,243,91,326,124,657,56
選挙への関心度別関心があった（計）,100.0,16.7,6.2,21.9,8.9,47.6,4.0,100.0,17.1,6.4,22.9,8.7,46.1,3.9
選挙への関心度別関心があった,633,110,36,97,52,334,36,769,135,46,132,64,390,44
選挙への関心度別関心があった,100.0,17.4,5.7,15.3,8.2,52.8,5.7,100.0,17.6,6.0,17.2,8.3,50.7,5.7
選挙への関心度別やや関心があった,650,104,43,184,62,277,15,655,108,45,194,60,267,12
選挙への関心度別やや関心があった,100.0,16.0,6.6,28.3,9.5,42.6,2.3,100.0,16.5,6.9,29.6,9.2,40.8,1.8
選挙への関心度別関心がなかった（計）,227,103,16,33,14,63,4,175,86,10,25,9,47,2
選挙への関心度別関心がなかった（計）,100.0,45.4,7.0,14.5,6.2,27.8,1.8,100.0,49.1,5.7,14.3,5.1,26.9,1.1
選挙への関心度別あまり関心がなかった,125,50,10,19,12,35,3,89,39,6,14,7,23,2
選挙への関心度別あまり関心がなかった,100.0,40.0,8.0,15.2,9.6,28.0,2.4,100.0,43.8,6.7,15.7,7.9,25.8,2.2
選挙への関心度別関心がなかった,102,53,6,14,2,28,1,86,47,4,11,2,24,-
選挙への関心度別関心がなかった,100.0,52.0,5.9,13.7,2.0,27.5,1.0,100.0,54.7,4.7,12.8,2.3,27.9,-
選挙への関心度別どちらともいえない,298,84,19,80,16,105,5,209,72,13,43,11,75,2
選挙への関心度別どちらともいえない,100.0,28.2,6.4,26.8,5.4,35.2,1.7,100.0,34.4,6.2,20.6,5.3,35.9,1.0
選挙への関心度別わからない,15,3,-,-,-,12,-,15,3,-,-,-,12,-
選挙への関心度別わからない,100.0,20.0,-,-,-,80.0,-,100.0,20.0,-,-,-,80.0,-
投票への意識別投票するべき（計）,1434,240,93,322,125,666,56,1443,241,93,326,126,669,56
投票への意識別投票するべき（計）,100.0,16.7,6.5,22.5,8.7,46.4,3.9,100.0,16.7,6.4,22.6,8.7,46.4,3.9
投票への意識別必ず投票するべき,596,83,32,99,46,330,36,615,84,34,105,48,338,37
投票への意識別必ず投票するべき,100.0,13.9,5.4,16.6,7.7,55.4,6.0,100.0,13.7,5.5,17.1,7.8,55.0,6.0
投票への意識別可能な限り投票するべき,838,157,61,223,79,336,20,828,157,59,221,78,331,19
投票への意識別可能な限り投票するべき,100.0,18.7,7.3,26.6,9.4,40.1,2.4,100.0,19.0,7.1,26.7,9.4,40.0,2.3
投票への意識別投票するのもしないのも自由,344,143,21,69,17,105,4,335,142,21,66,16,101,4
投票への意識別投票するのもしないのも自由,100.0,41.6,6.1,20.1,4.9,30.5,1.2,100.0,42.4,6.3,19.7,4.8,30.1,1.2
投票への意識別その他,1,-,-,-,-,1,-,1,-,-,-,-,1,-
投票への意識別その他,100.0,-,-,-,-,100,-,100.0,-,-,-,-,100,-
投票への意識別わからない,44,21,-,3,2,19,-,44,21,-,2,2,20,-
投票への意識別わからない,100.0,47.7,-,6.8,4.5,43.2,-,100.0,47.7,-,4.5,4.5,45.5,-
投票への参加状況別投票した（計）,1435,263,94,320,124,649,52,1491,273,97,339,125,671,55
投票への参加状況別投票した（計）,100.0,18.3,6.6,22.3,8.6,45.2,3.6,100.0,18.3,6.5,22.7,8.4,45.0,3.7
投票への参加状況別投票日に投票した,1226,207,79,273,110,569,44,1254,209,79,286,109,582,46
投票への参加状況別投票日に投票した,100.0,16.9,6.4,22.3,9.0,46.4,3.6,100.0,16.7,6.3,22.8,8.7,46.4,3.7
投票への参加状況別期日前投票（又は不在者投票等）をした,209,56,15,47,14,80,8,237,64,18,53,16,89,9
投票への参加状況別期日前投票（又は不在者投票等）をした,100.0,26.8,7.2,22.5,6.7,38.3,3.8,100.0,27.0,7.6,22.4,6.8,37.6,3.8
投票への参加状況別投票しなかった,377,140,19,71,19,136,8,321,129,17,52,18,114,5
投票への参加状況別投票しなかった,100.0,37.1,5.0,18.8,5.0,36.1,2.1,100.0,40.2,5.3,16.2,5.6,35.5,1.6
投票への参加状況別答えたくない,11,1,1,3,1,6,-,11,2,-,3,1,6,-
投票への参加状況別答えたくない,100.0,9.1,9.1,27.3,9.1,54.5,-,100.0,18.2,-,27.3,9.1,54.5,-
新聞の定期購読別定期購読している,1240,147,63,264,110,666,47,1240,147,63,264,110,666,47
新聞の定期購読別定期購読している,100.0,11.9,5.1,21.3,8.9,53.7,3.8,100.0,11.9,5.1,21.3,8.9,53.7,3.8
新聞の定期購読別定期購読していない,583,257,51,130,34,125,13,583,257,51,130,34,125,13
新聞の定期購読別定期購読していない,100.0,44.1,8.7,22.3,5.8,21.4,2.2,100.0,44.1,8.7,22.3,5.8,21.4,2.2
インターネットの利用有無別インターネットを利用している,1055,341,102,328,100,233,17,1055,341,102,328,100,233,17
インターネットの利用有無別インターネットを利用している,100.0,32.3,9.7,31.1,9.5,22.1,1.6,100.0,32.3,9.7,31.1,9.5,22.1,1.6
インターネットの利用有無別インターネットを利用していない,768,63,12,66,44,558,43,768,63,12,66,44,558,43
インターネットの利用有無別インターネットを利用していない,100.0,8.2,1.6,8.6,5.7,72.7,5.6,100.0,8.2,1.6,8.6,5.7,72.7,5.6
