,参議院議員選挙/調査数,参議院議員選挙/５分以内,参議院議員選挙/10分以内,参議院議員選挙/20分以内,参議院議員選挙/30分以内,参議院議員選挙/30分を超える,参議院議員選挙/わからない,東京都知事選挙/調査数,東京都知事選挙/５分以内,東京都知事選挙/10分以内,東京都知事選挙/20分以内,東京都知事選挙/30分以内,東京都知事選挙/30分を超える,東京都知事選挙/わからない
職業別その他（計）,100.0,22.1,54.9,20.9,1.6,0.2,0.2,100.0,22.1,54.9,20.9,1.6,0.2,0.2
職業別生徒・学生,47,15,27,4,1,-,-,47,15,27,4,1,-,-
職業別生徒・学生,100.0,31.9,57.4,8.5,2.1,-,-,100.0,31.9,57.4,8.5,2.1,-,-
職業別専業主婦（夫）,395,76,244,69,4,1,1,395,76,244,69,4,1,1
職業別専業主婦（夫）,100.0,19.2,61.8,17.5,1.0,0.3,0.3,100.0,19.2,61.8,17.5,1.0,0.3,0.3
職業別その他,25,7,11,5,-,1,1,25,7,11,5,-,1,1
職業別その他,100.0,28.0,44.0,20.0,-,4.0,4.0,100.0,28.0,44.0,20.0,-,4.0,4.0
職業別無職（年金受給者含む）,402,94,195,104,9,-,-,402,94,195,104,9,-,-
職業別無職（年金受給者含む）,100.0,23.4,48.5,25.9,2.2,-,-,100.0,23.4,48.5,25.9,2.2,-,-
投票所までの時間別５分以内,433,433,-,-,-,-,-,433,433,-,-,-,-,-
投票所までの時間別５分以内,100.0,100.0,-,-,-,-,-,100.0,100.0,-,-,-,-,-
投票所までの時間別10分以内,1067,-,1067,-,-,-,-,1067,-,1067,-,-,-,-
投票所までの時間別10分以内,100.0,-,100.0,-,-,-,-,100.0,-,100.0,-,-,-,-
投票所までの時間別20分以内,288,-,-,288,-,-,-,288,-,-,288,-,-,-
投票所までの時間別20分以内,100.0,-,-,100.0,-,-,-,100.0,-,-,100.0,-,-,-
投票所までの時間別30分以内,21,-,-,-,21,-,-,21,-,-,-,21,-,-
投票所までの時間別30分以内,100.0,-,-,-,100.0,-,-,100.0,-,-,-,100.0,-,-
投票所までの時間別30分を超える,3,-,-,-,-,3,-,3,-,-,-,-,3,-
投票所までの時間別30分を超える,100.0,-,-,-,-,100.0,-,100.0,-,-,-,-,100.0,-
投票所までの時間別わからない,11,-,-,-,-,-,11,11,-,-,-,-,-,11
投票所までの時間別わからない,100.0,-,-,-,-,-,100.0,100.0,-,-,-,-,-,100.0
地域別区部（計）,1381,321,868,173,12,-,7,1381,321,868,173,12,-,7
地域別区部（計）,100.0,23.2,62.9,12.5,0.9,-,0.5,100.0,23.2,62.9,12.5,0.9,-,0.5
地域別センターコア,388,130,211,37,9,-,1,388,130,211,37,9,-,1
地域別センターコア,100.0,33.5,54.4,9.5,2.3,-,0.3,100.0,33.5,54.4,9.5,2.3,-,0.3
地域別区部東部・北部エリア,398,80,281,36,1,-,-,398,80,281,36,1,-,-
地域別区部東部・北部エリア,100.0,20.1,70.6,9.0,0.3,-,-,100.0,20.1,70.6,9.0,0.3,-,-
地域別区部西部・南部エリア,595,111,376,100,2,-,6,595,111,376,100,2,-,6
地域別区部西部・南部エリア,100.0,18.7,63.2,16.8,0.3,-,1.0,100.0,18.7,63.2,16.8,0.3,-,1.0
地域別市郡部（計）,442,112,199,115,9,3,4,442,112,199,115,9,3,4
地域別市郡部（計）,100.0,25.3,45.0,26.0,2.0,0.7,0.9,100.0,25.3,45.0,26.0,2.0,0.7,0.9
地域別多摩東部エリア,132,54,61,13,1,1,2,132,54,61,13,1,1,2
地域別多摩東部エリア,100.0,40.9,46.2,9.8,0.8,0.8,1.5,100.0,40.9,46.2,9.8,0.8,0.8,1.5
地域別多摩中央部北エリア,70,12,37,17,2,1,1,70,12,37,17,2,1,1
地域別多摩中央部北エリア,100.0,17.1,52.9,24.3,2.9,1.4,1.4,100.0,17.1,52.9,24.3,2.9,1.4,1.4
地域別多摩中央部南エリア,201,42,81,73,5,-,-,201,42,81,73,5,-,-
地域別多摩中央部南エリア,100.0,20.9,40.3,36.3,2.5,-,-,100.0,20.9,40.3,36.3,2.5,-,-
地域別多摩西部エリア,39,4,20,12,1,1,1,39,4,20,12,1,1,1
地域別多摩西部エリア,100.0,10.3,51.3,30.8,2.6,2.6,2.6,100.0,10.3,51.3,30.8,2.6,2.6,2.6
選挙への関心度別関心があった（計）,1283,330,742,197,11,2,1,1424,361,824,220,14,2,3
選挙への関心度別関心があった（計）,100.0,25.7,57.8,15.4,0.9,0.2,0.1,100.0,25.4,57.9,15.4,1.0,0.1,0.2
選挙への関心度別関心があった,633,172,342,110,6,2,1,769,219,416,124,7,2,1
選挙への関心度別関心があった,100.0,27.2,54.0,17.4,0.9,0.3,0.2,100.0,28.5,54.1,16.1,0.9,0.3,0.1
選挙への関心度別やや関心があった,650,158,400,87,5,-,-,655,142,408,96,7,-,2
選挙への関心度別やや関心があった,100.0,24.3,61.5,13.4,0.8,-,-,100.0,21.7,62.3,14.7,1.1,-,0.3
選挙への関心度別関心がなかった（計）,227,41,143,30,4,1,8,175,31,116,19,2,1,6
選挙への関心度別関心がなかった（計）,100.0,18.1,63.0,13.2,1.8,0.4,3.5,100.0,17.7,66.3,10.9,1.1,0.6,3.4
選挙への関心度別あまり関心がなかった,125,21,76,21,2,1,4,89,14,57,14,1,1,2
選挙への関心度別あまり関心がなかった,100.0,16.8,60.8,16.8,1.6,0.8,3.2,100.0,15.7,64.0,15.7,1.1,1.1,2.2
選挙への関心度別関心がなかった,102,20,67,9,2,-,4,86,17,59,5,1,-,4
選挙への関心度別関心がなかった,100.0,19.6,65.7,8.8,2.0,-,3.9,100.0,19.8,68.6,5.8,1.2,-,4.7
選挙への関心度別どちらともいえない,298,60,177,56,3,-,2,209,39,122,44,2,-,2
選挙への関心度別どちらともいえない,100.0,20.1,59.4,18.8,1.0,-,0.7,100.0,18.7,58.4,21.1,1.0,-,1.0
選挙への関心度別わからない,15,2,5,5,3,-,-,15,2,5,5,3,-,-
選挙への関心度別わからない,100.0,13.3,33.3,33.3,20.0,-,-,100.0,13.3,33.3,33.3,20.0,-,-
投票への意識別投票するべき（計）,1434,356,825,237,12,2,2,1443,357,832,238,12,2,2
投票への意識別投票するべき（計）,100.0,24.8,57.5,16.5,0.8,0.1,0.1,100.0,24.7,57.7,16.5,0.8,0.1,0.1
投票への意識別必ず投票するべき,596,159,337,94,4,2,-,615,164,348,97,4,2,-
投票への意識別必ず投票するべき,100.0,26.7,56.5,15.8,0.7,0.3,-,100.0,26.7,56.6,15.8,0.7,0.3,-
投票への意識別可能な限り投票するべき,838,197,488,143,8,-,2,828,193,484,141,8,-,2
投票への意識別可能な限り投票するべき,100.0,23.5,58.2,17.1,1.0,-,0.2,100.0,23.3,58.5,17.0,1.0,-,0.2
投票への意識別投票するのもしないのも自由,344,67,224,43,6,1,3,335,66,217,42,6,1,3
投票への意識別投票するのもしないのも自由,100.0,19.5,65.1,12.5,1.7,0.3,0.9,100.0,19.7,64.8,12.5,1.8,0.3,0.9
投票への意識別その他,1,-,-,1,-,-,-,1,-,-,1,-,-,-
投票への意識別その他,100.0,-,-,100.0,-,-,-,100.0,-,-,100.0,-,-,-
投票への意識別わからない,44,10,18,7,3,-,6,44,10,18,7,3,-,6
投票への意識別わからない,100.0,22.7,40.9,15.9,6.8,-,13.6,100.0,22.7,40.9,15.9,6.8,-,13.6
投票への参加状況別投票した（計）,1435,359,838,222,12,3,1,1491,371,876,228,12,3,1
投票への参加状況別投票した（計）,100.0,25.0,58.4,15.5,0.8,0.2,0.1,100.0,24.9,58.8,15.3,0.8,0.2,0.1
投票への参加状況別投票日に投票した,1226,303,726,192,5,-,-,1254,311,743,195,5,-,-
投票への参加状況別投票日に投票した,100.0,24.7,59.2,15.7,0.4,-,-,100.0,24.8,59.3,15.6,0.4,-,-
投票への参加状況別期日前投票（又は不在者投票等）をした,209,56,112,30,7,3,1,237,60,133,33,7,3,1
投票への参加状況別期日前投票（又は不在者投票等）をした,100.0,26.8,53.6,14.4,3.3,1.4,0.5,100.0,25.3,56.1,13.9,3.0,1.3,0.4
投票への参加状況別投票しなかった,377,72,221,66,8,-,10,321,60,183,60,8,-,10
投票への参加状況別投票しなかった,100.0,19.1,58.6,17.5,2.1,-,2.7,100.0,18.7,57.0,18.7,2.5,-,3.1
投票への参加状況別答えたくない,11,2,8,-,1,-,-,11,2,8,-,1,-,-
投票への参加状況別答えたくない,100.0,18.2,72.7,-,9.1,-,-,100.0,18.2,72.7,-,9.1,-,-
新聞の定期購読別定期購読している,1240,309,709,205,13,2,2,1240,309,709,205,13,2,2
新聞の定期購読別定期購読している,100.0,24.9,57.2,16.5,1.0,0.2,0.2,100.0,24.9,57.2,16.5,1.0,0.2,0.2
新聞の定期購読別定期購読していない,583,124,358,83,8,1,9,583,124,358,83,8,1,9
新聞の定期購読別定期購読していない,100.0,21.3,61.4,14.2,1.4,0.2,1.5,100.0,21.3,61.4,14.2,1.4,0.2,1.5
インターネットの利用有無別インターネットを利用している,1055,269,651,115,8,2,10,1055,269,651,115,8,2,10
インターネットの利用有無別インターネットを利用している,100.0,25.5,61.7,10.9,0.8,0.2,0.9,100.0,25.5,61.7,10.9,0.8,0.2,0.9
インターネットの利用有無別インターネットを利用していない,768,164,416,173,13,1,1,768,164,416,173,13,1,1
インターネットの利用有無別インターネットを利用していない,100.0,21.4,54.2,22.5,1.7,0.1,0.1,100.0,21.4,54.2,22.5,1.7,0.1,0.1
