,参議院議員選挙/調査数,参議院議員選挙/テレビ・ラジオの選挙報道,参議院議員選挙/新聞・雑誌などの選挙報道,参議院議員選挙/選挙公報,参議院議員選挙/テレビ・ラジオの政見放送・経歴放送,参議院議員選挙/候補者等の新聞広告,参議院議員選挙/候補者等のポスター,参議院議員選挙/候補者等の街頭演説,参議院議員選挙/候補者等の選挙運動用自動車からの連呼,参議院議員選挙/候補者の個人演説会,参議院議員選挙/候補者のはがき・候補者等のビラ,参議院議員選挙/各政党の政策等を記載した選挙運動用パンフレット（マニフェスト）,参議院議員選挙/候補者のホームページ、ツイッター等のネット上の情報,参議院議員選挙/候補者以外のホームページ、ツイッター等のネット上の情報,参議院議員選挙/政党、候補者の後援会などからの推薦,参議院議員選挙/各種団体からの推薦,参議院議員選挙/家族、友人、知人からの勧め,参議院議員選挙/その他,参議院議員選挙/どれにも接していない,参議院議員選挙/役立ったものはない,参議院議員選挙/わからない、忘れた,東京都知事選挙/調査数,東京都知事選挙/テレビ・ラジオの選挙報道,東京都知事選挙/新聞・雑誌などの選挙報道,東京都知事選挙/選挙公報,東京都知事選挙/テレビ・ラジオの政見放送・経歴放送,東京都知事選挙/候補者等の新聞広告,東京都知事選挙/候補者等のポスター,東京都知事選挙/候補者等の街頭演説,東京都知事選挙/候補者等の選挙運動用自動車からの連呼,東京都知事選挙/候補者の個人演説会,東京都知事選挙/候補者のはがき・候補者等のビラ,東京都知事選挙/候補者のホームページ、ツイッター等のネット上の情報,東京都知事選挙/候補者以外のホームページ、ツイッター等のネット上の情報,東京都知事選挙/政党、候補者の後援会などからの推薦,東京都知事選挙/各種団体からの推薦,東京都知事選挙/家族、友人、知人からの勧め,東京都知事選挙/その他,東京都知事選挙/どれにも接していない,東京都知事選挙/役立ったものはない,東京都知事選挙/わからない、忘れた
年齢別20歳代,88,61,30,24,21,8,20,5,3,-,3,3,4,8,2,1,6,1,-,8,3,95,65,29,22,20,7,21,9,4,-,3,6,10,1,-,7,1,-,10,3
年齢別20歳代,100.0,69.3,34.1,27.3,23.9,9.1,22.7,5.7,3.4,-,3.4,3.4,4.5,9.1,2.3,1.1,6.8,1.1,-,9.1,3.4,100.0,68.4,30.5,23.2,21.1,7.4,22.1,9.5,4.2,-,3.2,6.3,10.5,1.1,-,7.4,1.1,-,10.5,3.2
年齢別30歳代,199,171,80,54,45,35,68,24,18,-,12,15,17,13,5,-,11,-,-,6,2,210,187,82,58,41,36,70,40,23,-,12,21,17,2,-,9,-,-,6,2
年齢別30歳代,100.0,85.9,40.2,27.1,22.6,17.6,34.2,12.1,9.0,-,6.0,7.5,8.5,6.5,2.5,-,5.5,-,-,3.0,1.0,100.0,89.0,39.0,27.6,19.5,17.1,33.3,19.0,11.0,-,5.7,10.0,8.1,1.0,-,4.3,-,-,2.9,1.0
年齢別40歳代,327,277,130,95,82,55,110,35,19,4,30,31,23,16,4,3,22,1,1,7,1,337,288,136,101,76,59,120,65,24,5,30,23,19,4,2,18,1,-,5,3
年齢別40歳代,100.0,84.7,39.8,29.1,25.1,16.8,33.6,10.7,5.8,1.2,9.2,9.5,7.0,4.9,1.2,0.9,6.7,0.3,0.3,2.1,0.3,100.0,85.5,40.4,30.0,22.6,17.5,35.6,19.3,7.1,1.5,8.9,6.8,5.6,1.2,0.6,5.3,0.3,-,1.5,0.9
年齢別50歳代,260,226,157,105,60,42,70,18,14,3,15,15,7,10,5,5,8,-,-,7,3,266,234,165,109,59,44,74,44,24,3,15,10,11,5,3,3,-,-,8,3
年齢別50歳代,100.0,86.9,60.4,40.4,23.1,16.2,26.9,6.9,5.4,1.2,5.8,5.8,2.7,3.8,1.9,1.9,3.1,-,-,2.7,1.2,100.0,88.0,62.0,41.0,22.2,16.5,27.8,16.5,9.0,1.1,5.6,3.8,4.1,1.9,1.1,1.1,-,-,3.0,1.1
年齢別60歳代,296,251,179,122,81,36,66,28,13,4,10,9,5,2,7,6,8,-,3,9,3,305,268,188,126,72,42,71,47,18,5,9,5,2,4,3,8,-,2,9,4
年齢別60歳代,100.0,84.8,60.5,41.2,27.4,12.2,22.3,9.5,4.4,1.4,3.4,3.0,1.7,0.7,2.4,2.0,2.7,-,1.0,3.0,1.0,100.0,87.9,61.6,41.3,23.6,13.8,23.3,15.4,5.9,1.6,3.0,1.6,0.7,1.3,1.0,2.6,-,0.7,3.0,1.3
年齢別70歳代,185,151,111,83,42,29,43,19,14,4,11,8,1,1,9,1,3,1,1,6,2,196,161,111,84,46,30,44,30,18,3,10,2,2,6,1,6,1,-,6,5
年齢別70歳代,100.0,81.6,60.0,44.9,22.7,15.7,23.2,10.3,7.6,2.2,5.9,4.3,0.5,0.5,4.9,0.5,1.6,0.5,0.5,3.2,1.1,100.0,82.1,56.6,42.9,23.5,15.3,22.4,15.3,9.2,1.5,5.1,1.0,1.0,3.1,0.5,3.1,0.5,-,3.1,2.6
年齢別80歳以上,64,50,40,25,14,15,14,3,1,-,4,3,-,-,1,2,1,-,1,5,-,65,53,41,26,14,15,14,2,1,-,4,-,-,1,2,1,-,1,4,-
年齢別80歳以上,100.0,78.1,62.5,39.1,21.9,23.4,21.9,4.7,1.6,-,6.3,4.7,-,-,1.6,3.1,1.6,-,1.6,7.8,-,100.0,81.5,63.1,40.0,21.5,23.1,21.5,3.1,1.5,-,6.2,-,-,1.5,3.1,1.5,-,1.5,6.2,-
性/年齢別男性18歳,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
性/年齢別男性18歳,100.0,100.0,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0,100.0,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
性/年齢別男性19歳,8,5,3,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,8,3,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
性/年齢別男性19歳,100.0,62.5,37.5,37.5,12.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.5,-,100.0,37.5,25.0,25.0,25.0,-,-,-,-,-,-,-,-,-,-,-,-,-,12.5,-
性/年齢別男性20歳代,37,22,11,11,7,3,8,4,-,-,1,2,3,4,2,1,2,1,-,5,1,42,26,11,10,6,3,9,5,-,-,1,5,7,1,-,3,1,-,7,1
性/年齢別男性20歳代,100.0,59.5,29.7,29.7,18.9,8.1,21.6,10.8,-,-,2.7,5.4,8.1,10.8,5.4,2.7,5.4,2.7,-,13.5,2.7,100.0,61.9,26.2,23.8,14.3,7.1,21.4,11.9,-,-,2.4,11.9,16.7,2.4,-,7.1,2.4,-,16.7,2.4
性/年齢別男性30歳代,93,79,37,27,21,19,42,15,14,-,8,12,13,8,3,-,1,-,-,4,1,100,85,38,29,18,20,42,23,16,-,8,11,9,2,-,5,-,-,4,1
性/年齢別男性30歳代,100.0,84.9,39.8,29.0,22.6,20.4,45.2,16.1,15.1,-,8.6,12.9,14.0,8.6,3.2,-,1.1,-,-,4.3,1.1,100.0,85.0,38.0,29.0,18.0,20.0,42.0,23.0,16.0,-,8.0,11.0,9.0,2.0,-,5.0,-,-,4.0,1.0
性/年齢別男性40歳代,141,117,59,44,31,22,42,16,10,2,12,15,17,13,2,2,4,1,-,1,1,146,120,59,45,26,22,44,28,10,2,12,18,16,2,2,4,1,-,1,2
性/年齢別男性40歳代,100.0,83.0,41.8,31.2,22.0,15.6,29.8,11.3,7.1,1.4,8.5,10.6,12.1,9.2,1.4,1.4,2.8,0.7,-,0.7,0.7,100.0,82.2,40.4,30.8,17.8,15.1,30.1,19.2,6.8,1.4,8.2,12.3,11.0,1.4,1.4,2.7,0.7,-,0.7,1.4
性/年齢別男性50歳代,128,109,84,64,30,16,33,5,5,3,4,8,7,8,3,3,4,-,-,4,1,130,111,86,64,29,16,35,19,11,3,4,9,8,3,1,1,-,-,4,1
性/年齢別男性50歳代,100.0,85.2,65.6,50.0,23.4,12.5,25.8,3.9,3.9,2.3,3.1,6.3,5.5,6.3,2.3,2.3,3.1,-,-,3.1,0.8,100.0,85.4,66.2,49.2,22.3,12.3,26.9,14.6,8.5,2.3,3.1,6.9,6.2,2.3,0.8,0.8,-,-,3.1,0.8
性/年齢別男性60歳代,142,119,90,65,42,16,31,12,5,2,5,4,5,2,5,1,2,-,1,5,1,142,123,90,65,37,17,31,18,7,3,4,5,2,4,-,1,-,1,5,1
性/年齢別男性60歳代,100.0,83.8,63.4,45.8,29.6,11.3,21.8,8.5,3.5,1.4,3.5,2.8,3.5,1.4,3.5,0.7,1.4,-,0.7,3.5,0.7,100.0,86.6,63.4,45.8,26.1,12.0,21.8,12.7,4.9,2.1,2.8,3.5,1.4,2.8,-,0.7,-,0.7,3.5,0.7
性/年齢別男性70歳代,92,67,56,39,21,18,18,9,6,4,6,5,1,1,5,1,2,-,1,5,2,95,73,55,40,24,17,18,11,6,3,7,1,1,4,1,1,-,-,5,3
性/年齢別男性70歳代,100.0,72.8,60.9,42.4,22.8,19.6,19.6,9.8,6.5,4.3,6.5,5.4,1.1,1.1,5.4,1.1,2.2,-,1.1,5.4,2.2,100.0,76.8,57.9,42.1,25.3,17.9,18.9,11.6,6.3,3.2,7.4,1.1,1.1,4.2,1.1,1.1,-,-,5.3,3.2
性/年齢別男性80歳以上,31,25,21,12,7,8,8,-,-,-,3,3,-,-,-,1,-,-,1,1,-,32,27,22,13,7,8,8,-,-,-,3,-,-,-,1,-,-,1,1,-
性/年齢別男性80歳以上,100.0,80.6,67.7,38.7,22.6,25.8,25.8,-,-,-,9.7,9.7,-,-,-,3.2,-,-,3.2,3.2,-,100.0,84.4,68.8,40.6,21.9,25.0,25.0,-,-,-,9.4,-,-,-,3.1,-,-,3.1,3.1,-
性/年齢別女性18歳,5,5,2,-,1,1,2,1,-,-,-,-,-,1,-,-,-,-,-,-,-,5,5,2,-,-,1,2,2,-,-,-,-,1,-,-,-,-,-,-,-
性/年齢別女性18歳,100.0,100.0,40.0,-,20.0,20.0,40.0,20.0,-,-,-,-,-,20.0,-,-,-,-,-,-,-,100.0,100.0,40.0,-,-,20.0,40.0,40.0,-,-,-,-,20.0,-,-,-,-,-,-,-
性/年齢別女性19歳,2,2,-,-,-,-,1,1,-,-,1,1,1,-,-,-,-,-,-,-,-,3,2,-,-,-,-,1,1,-,-,1,1,-,-,-,-,-,-,1,-
性/年齢別女性19歳,100.0,100.0,-,-,-,-,50.0,50.0,-,-,50.0,50.0,50.0,-,-,-,-,-,-,-,-,100.0,66.7,-,-,-,-,33.3,33.3,-,-,33.3,33.3,-,-,-,-,-,-,33.3,-
性/年齢別女性20歳代,51,39,19,13,14,5,12,1,3,-,2,1,1,4,-,-,4,-,-,3,2,53,39,18,12,14,4,12,4,4,-,2,1,3,-,-,4,-,-,3,2
性/年齢別女性20歳代,100.0,76.5,37.3,25.5,27.5,9.8,23.5,2.0,5.9,-,3.9,2.0,2.0,7.8,-,-,7.8,-,-,5.9,3.9,100.0,73.6,34.0,22.6,26.4,7.5,22.6,7.5,7.5,-,3.8,1.9,5.7,-,-,7.5,-,-,5.7,3.8
性/年齢別女性30歳代,106,92,43,27,24,16,26,9,4,-,4,3,4,5,2,-,10,-,-,2,1,110,102,44,29,23,16,28,17,7,-,4,10,8,-,-,4,-,-,2,1
性/年齢別女性30歳代,100.0,86.8,40.6,25.5,22.6,15.1,24.5,8.5,3.8,-,3.8,2.8,3.8,4.7,1.9,-,9.4,-,-,1.9,0.9,100.0,92.7,40.0,26.4,20.9,14.5,25.5,15.5,6.4,-,3.6,9.1,7.3,-,-,3.6,-,-,1.8,0.9
性/年齢別女性40歳代,186,160,71,51,51,33,68,19,9,2,18,16,6,3,2,1,18,-,1,6,-,191,168,77,56,50,37,76,37,14,3,18,5,3,2,-,14,-,-,4,1
性/年齢別女性40歳代,100.0,86.0,38.2,27.4,27.4,17.7,36.6,10.2,4.8,1.1,9.7,8.6,3.2,1.6,1.1,0.5,9.7,-,0.5,3.2,-,100.0,88.0,40.3,29.3,26.2,19.4,39.8,19.4,7.3,1.6,9.4,2.6,1.6,1.0,-,7.3,-,-,2.1,0.5
性/年齢別女性50歳代,132,117,73,41,30,26,37,13,9,-,11,7,-,2,2,2,4,-,-,3,2,136,123,79,45,30,28,39,25,13,-,11,1,3,2,2,2,-,-,4,2
性/年齢別女性50歳代,100.0,88.6,55.3,31.1,22.7,19.7,28.0,9.8,6.8,-,8.3,5.3,-,1.5,1.5,1.5,3.0,-,-,2.3,1.5,100.0,90.4,58.1,33.1,22.1,20.6,28.7,18.4,9.6,-,8.1,0.7,2.2,1.5,1.5,1.5,-,-,2.9,1.5
性/年齢別女性60歳代,154,132,89,57,39,20,35,16,8,2,5,5,-,-,2,5,6,-,2,4,2,163,145,98,61,35,25,40,29,11,2,5,-,-,-,3,7,-,1,4,3
性/年齢別女性60歳代,100.0,85.7,57.8,37.0,25.3,13.0,22.7,10.4,5.2,1.3,3.2,3.2,-,-,1.3,3.2,3.9,-,1.3,2.6,1.3,100.0,89.0,60.1,37.4,21.5,15.3,24.5,17.8,6.7,1.2,3.1,-,-,-,1.8,4.3,-,0.6,2.5,1.8
性/年齢別女性70歳代,93,84,55,44,21,11,25,10,8,-,5,3,-,-,4,-,1,1,-,1,-,101,88,56,44,22,13,26,19,12,-,3,1,1,2,-,5,1,-,1,2
性/年齢別女性70歳代,100.0,90.3,59.1,47.3,22.6,11.8,26.9,10.8,8.6,-,5.4,3.2,-,-,4.3,-,1.1,1.1,-,1.1,-,100.0,87.1,55.4,43.6,21.8,12.9,25.7,18.8,11.9,-,3.0,1.0,1.0,2.0,-,5.0,1.0,-,1.0,2.0
性/年齢別女性80歳以上,33,25,19,13,7,7,6,3,1,-,1,-,-,-,1,1,1,-,-,4,-,33,26,19,13,7,7,6,2,1,-,1,-,-,1,1,1,-,-,3,-
性/年齢別女性80歳以上,100.0,75.8,57.6,39.4,21.2,21.2,18.2,9.1,3.0,-,3.0,-,-,-,3.0,3.0,3.0,-,-,12.1,-,100.0,78.8,57.6,39.4,21.2,21.2,18.2,6.1,3.0,-,3.0,-,-,3.0,3.0,3.0,-,-,9.1,-
未・既婚別未婚,216,157,84,55,43,17,52,19,6,2,7,8,12,11,7,3,11,-,1,18,3,223,164,79,52,38,15,53,32,11,2,7,16,14,4,2,8,-,-,20,3
未・既婚別未婚,100.0,72.7,38.9,25.5,19.9,7.9,24.1,8.8,2.8,0.9,3.2,3.7,5.6,5.1,3.2,1.4,5.1,-,0.5,8.3,1.4,100.0,73.5,35.4,23.3,17.0,6.7,23.8,14.3,4.9,0.9,3.1,7.2,6.3,1.8,0.9,3.6,-,-,9.0,1.3
未・既婚別既婚（死別・離別を含む）,1219,1043,649,456,304,204,342,115,76,13,79,77,46,40,26,15,48,3,5,31,11,1268,1103,678,476,292,219,364,208,101,14,77,52,48,19,9,44,3,3,30,17
未・既婚別既婚（死別・離別を含む）,100.0,85.6,53.2,37.4,24.9,16.7,28.1,9.4,6.2,1.1,6.5,6.3,3.8,3.3,2.1,1.2,3.9,0.2,0.4,2.5,0.9,100.0,87.0,53.5,37.5,23.0,17.3,28.7,16.4,8.0,1.1,6.1,4.1,3.8,1.5,0.7,3.5,0.2,0.2,2.4,1.3
子供の有無別子供はいない,263,197,107,71,67,25,64,24,7,2,7,11,25,18,7,3,12,-,1,19,3,273,207,102,69,60,23,66,43,13,2,7,28,21,4,2,11,-,-,22,3
子供の有無別子供はいない,100.0,74.9,40.7,27.0,25.5,9.5,24.3,9.1,2.7,0.8,2.7,4.2,9.5,6.8,2.7,1.1,4.6,-,0.4,7.2,1.1,100.0,75.8,37.4,25.3,22.0,8.4,24.2,15.8,4.8,0.7,2.6,10.3,7.7,1.5,0.7,4.0,-,-,8.1,1.1
子供の有無別未就学（～６歳）,94,82,39,27,21,14,31,9,10,-,9,10,6,7,2,1,6,1,-,-,1,97,86,40,29,22,15,33,15,12,-,9,8,9,1,1,7,1,-,-,1
子供の有無別未就学（～６歳）,100.0,87.2,41.5,28.7,22.3,14.9,33.0,9.6,10.6,-,9.6,10.6,6.4,7.4,2.1,1.1,6.4,1.1,-,-,1.1,100.0,88.7,41.2,29.9,22.7,15.5,34.0,15.5,12.4,-,9.3,8.2,9.3,1.0,1.0,7.2,1.0,-,-,1.0
子供の有無別小・中・高校生,320,283,133,95,72,58,104,41,26,4,25,32,14,11,3,2,25,-,-,5,2,339,302,142,101,69,63,113,68,33,6,25,16,16,2,-,17,-,-,4,4
子供の有無別小・中・高校生,100.0,88.4,41.6,29.7,22.5,18.1,32.5,12.8,8.1,1.3,7.8,10.0,4.4,3.4,0.9,0.6,7.8,-,-,1.6,0.6,100.0,89.1,41.9,29.8,20.4,18.6,33.3,20.1,9.7,1.8,7.4,4.7,4.7,0.6,-,5.0,-,-,1.2,1.2
子供の有無別大学生・大学院生・短大生・専門学校生,124,105,71,48,32,16,36,10,8,1,5,5,3,4,1,4,4,-,-,3,1,125,103,73,49,30,18,38,21,11,2,4,4,5,1,2,1,-,-,3,2
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,84.7,57.3,38.7,25.8,12.9,29.0,8.1,6.5,0.8,4.0,4.0,2.4,3.2,0.8,3.2,3.2,-,-,2.4,0.8,100.0,82.4,58.4,39.2,24.0,14.4,30.4,16.8,8.8,1.6,3.2,3.2,4,0.8,1.6,0.8,-,-,2.4,1.6
子供の有無別学校教育終了,649,546,389,281,164,114,173,56,34,8,39,30,12,12,19,6,14,1,4,23,8,671,578,404,291,161,124,183,101,50,7,39,13,13,14,4,17,1,3,23,10
子供の有無別学校教育終了,100.0,84.1,59.9,43.3,25.3,17.6,26.7,8.6,5.2,1.2,6.0,4.6,1.8,1.8,2.9,0.9,2.2,0.2,0.6,3.5,1.2,100.0,86.1,60.2,43.4,24.0,18.5,27.3,15.1,7.5,1.0,5.8,1.9,1.9,2.1,0.6,2.5,0.1,0.4,3.4,1.5
子供の有無別その他,52,39,26,11,8,4,5,1,3,1,4,1,1,-,3,3,1,1,1,1,-,55,43,29,12,9,4,4,3,2,1,2,2,1,2,2,1,1,-,-,2
子供の有無別その他,100.0,75.0,50.0,21.2,15.4,7.7,9.6,1.9,5.8,1.9,7.7,1.9,1.9,-,5.8,5.8,1.9,1.9,1.9,1.9,-,100.0,78.2,52.7,21.8,16.4,7.3,7.3,5.5,3.6,1.8,3.6,3.6,1.8,3.6,3.6,1.8,1.8,-,-,3.6
職業別自営業（計）,120,94,68,45,35,17,27,11,4,3,8,10,8,6,3,-,5,1,-,4,1,125,100,71,44,37,18,27,16,3,3,7,9,7,2,-,6,1,-,6,1
職業別自営業（計）,100.0,78.3,56.7,37.5,29.2,14.2,22.5,9.2,3.3,2.5,6.7,8.3,6.7,5.0,2.5,-,4.2,0.8,-,3.3,0.8,100.0,80.0,56.8,35.2,29.6,14.4,21.6,12.8,2.4,2.4,5.6,7.2,5.6,1.6,-,4.8,0.8,-,4.8,0.8
職業別農林漁業,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
職業別農林漁業,100.0,-,-,-,-,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0,-,-,-,-,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
職業別商工・サービス業,36,26,22,14,10,5,7,4,2,2,1,2,3,1,-,-,2,1,-,3,-,38,29,23,12,10,5,5,4,1,2,-,3,1,1,-,2,1,-,5,-
職業別商工・サービス業,100.0,72.2,61.1,38.9,27.8,13.9,19.4,11.1,5.6,5.6,2.8,5.6,8.3,2.8,-,-,5.6,2.8,-,8.3,-,100.0,76.3,60.5,31.6,26.3,13.2,13.2,10.5,2.6,5.3,-,7.9,2.6,2.6,-,5.3,2.6,-,13.2,-
職業別その他自由業,83,68,46,31,25,11,20,7,2,1,7,8,5,5,3,-,3,-,-,1,1,86,71,48,32,27,12,22,12,2,1,7,6,6,1,-,4,-,-,1,1
職業別その他自由業,100.0,81.9,55.4,37.3,30.1,13.3,24.1,8.4,2.4,1.2,8.4,9.6,6.0,6.0,3.6,-,3.6,-,-,1.2,1.2,100.0,82.6,55.8,37.2,31.4,14.0,25.6,14.0,2.3,1.2,8.1,7.0,7.0,1.2,-,4.7,-,-,1.2,1.2
職業別お勤め（計）,621,526,290,197,150,102,207,63,41,7,48,48,45,41,14,6,28,1,2,16,7,646,552,295,205,139,103,219,116,56,8,48,52,47,11,3,23,1,1,18,8
職業別お勤め（計）,100.0,84.7,46.7,31.7,24.2,16.4,33.3,10.1,6.6,1.1,7.7,7.7,7.2,6.6,2.3,1.0,4.5,0.2,0.3,2.6,1.1,100.0,85.4,45.7,31.7,21.5,15.9,33.9,18.0,8.7,1.2,7.4,8.0,7.3,1.7,0.5,3.6,0.2,0.2,2.8,1.2
職業別経営・管理職,62,53,35,20,16,11,24,5,3,2,4,5,7,7,2,2,-,-,-,1,-,64,55,34,20,16,12,24,11,5,1,4,9,8,2,1,-,-,-,2,-
職業別経営・管理職,100.0,85.5,56.5,32.3,25.8,17.7,38.7,8.1,4.8,3.2,6.5,8.1,11.3,11.3,3.2,3.2,-,-,-,1.6,-,100.0,85.9,53.1,31.3,25.0,18.8,37.5,17.2,7.8,1.6,6.3,14.1,12.5,3.1,1.6,-,-,-,3.1,-
職業別専門職・技術職,157,134,74,65,41,28,55,19,15,-,8,16,15,16,5,2,5,1,1,2,1,158,140,74,65,39,28,57,31,20,-,8,17,18,3,1,3,1,-,1,1
職業別専門職・技術職,100.0,85.4,47.1,41.4,26.1,17.8,35.0,12.1,9.6,-,5.1,10.2,9.6,10.2,3.2,1.3,3.2,0.6,0.6,1.3,0.6,100.0,88.6,46.8,41.1,24.7,17.7,36.1,19.6,12.7,-,5.1,10.8,11.4,1.9,0.6,1.9,0.6,-,0.6,0.6
職業別事務職,165,137,87,43,39,19,43,11,6,3,11,9,13,11,4,-,8,-,1,3,4,181,152,94,47,40,21,48,27,9,4,10,14,12,2,-,8,-,1,3,4
職業別事務職,100.0,83.0,52.7,26.1,23.6,11.5,26.1,6.7,3.6,1.8,6.7,5.5,7.9,6.7,2.4,-,4.8,-,0.6,1.8,2.4,100.0,84.0,51.9,26.0,22.1,11.6,26.5,14.9,5.0,2.2,5.5,7.7,6.6,1.1,-,4.4,-,0.6,1.7,2.2
職業別労務職・技能職,50,39,23,19,9,11,19,5,4,1,10,8,3,3,2,1,1,-,-,2,1,51,39,23,19,9,11,19,6,4,2,10,3,3,2,1,1,-,-,2,1
職業別労務職・技能職,100.0,78.0,46.0,38.0,18.0,22.0,38.0,10.0,8.0,2.0,20.0,16.0,6.0,6.0,4.0,2.0,2.0,-,-,4.0,2.0,100.0,76.5,45.1,37.3,17.6,21.6,37.3,11.8,7.8,3.9,19.6,5.9,5.9,3.9,2.0,2.0,-,-,3.9,2.0
職業別販売・サービス職,187,163,71,50,45,33,66,23,13,1,15,10,7,4,1,1,14,-,-,8,1,192,166,70,54,35,31,71,41,18,1,16,9,6,2,-,11,-,-,10,2
職業別販売・サービス職,100.0,87.2,38.0,26.7,24.1,17.6,35.3,12.3,7.0,0.5,8.0,5.3,3.7,2.1,0.5,0.5,7.5,-,-,4.3,0.5,100.0,86.5,36.5,28.1,18.2,16.1,37.0,21.4,9.4,0.5,8.3,4.7,3.1,1.0,-,5.7,-,-,5.2,1.0
