,調査数,候補者等の政策や人柄について、これまでより簡単に大量の情報を得ることができた,選挙に関する情報がリアルタイムで得ることができた,さほど効果や影響があるとは思わない,選挙への関心が高まった,ビラやはがきが減った,候補者になりすましたり偽名を使った不正な情報が氾濫した,ひぼう中傷やデマが横行した,インターネットを使わない人にとって不利になった,その他,わからない,無回答
性／年齢別女性40歳代,100.0,19.2,17.6,30.4,5.6,8.0,3.2,6.4,13.6,1.6,24.8,2.4
性／年齢別女性50歳代,85,16,11,22,6,7,5,9,12,-,25,6
性／年齢別女性50歳代,100.0,18.8,12.9,25.9,7.1,8.2,5.9,10.6,14.1,-,29.4,7.1
性／年齢別女性60歳代,103,10,10,30,5,5,2,1,9,3,40,5
性／年齢別女性60歳代,100.0,9.7,9.7,29.1,4.9,4.9,1.9,1.0,8.7,2.9,38.8,4.9
性／年齢別女性70歳代,76,3,2,12,2,2,1,-,9,1,44,7
性／年齢別女性70歳代,100.0,3.9,2.6,15.8,2.6,2.6,1.3,-,11.8,1.3,57.9,9.2
性／年齢別女性80歳以上,16,-,-,2,-,1,1,-,3,1,8,2
性／年齢別女性80歳以上,100.0,-,-,12.5,-,6.3,6.3,-,18.8,6.3,50.0,12.5
未・既婚別未婚（死別・離別を含む）,279,64,63,61,24,24,15,18,35,6,75,14
未・既婚別未婚（死別・離別を含む）,100.0,22.9,22.6,21.9,8.6,8.6,5.4,6.5,12.5,2.2,26.9,5.0
未・既婚別既婚,711,133,96,206,48,42,23,40,72,12,217,29
未・既婚別既婚,100.0,18.7,13.5,29.0,6.8,5.9,3.2,5.6,10.1,1.7,30.5,4.1
子供の有無別子供はいない,280,75,62,66,28,21,14,25,38,4,65,12
子供の有無別子供はいない,100.0,26.8,22.1,23.6,10.0,7.5,5.0,8.9,13.6,1.4,23.2,4.3
子供の有無別未就学（～６歳）,70,26,21,12,12,6,2,6,12,1,16,1
子供の有無別未就学（～６歳）,100.0,37.1,30.0,17.1,17.1,8.6,2.9,8.6,17.1,1.4,22.9,1.4
子供の有無別小・中・高校生,185,42,36,62,14,17,6,13,20,4,38,4
子供の有無別小・中・高校生,100.0,22.7,19.5,33.5,7.6,9.2,3.2,7.0,10.8,2.2,20.5,2.2
子供の有無別大学生・大学院生・短大生・専門学校生,63,15,10,18,4,3,6,10,5,-,13,3
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,23.8,15.9,28.6,6.3,4.8,9.5,15.9,7.9,-,20.6,4.8
子供の有無別学校教育終了,415,42,31,117,16,20,9,11,37,10,170,23
子供の有無別学校教育終了,100.0,10.1,7.5,28.2,3.9,4.8,2.2,2.7,8.9,2.4,41.0,5.5
子供の有無別その他,8,1,2,4,-,1,1,-,-,-,1,-
子供の有無別その他,100.0,12.5,25.0,50.0,-,12.5,12.5,-,-,-,12.5,-
職業別自営業（計）,92,27,18,14,6,9,4,5,11,4,35,4
職業別自営業（計）,100.0,29.3,19.6,15.2,6.5,9.8,4.3,5.4,12.0,4.3,38.0,4.3
職業別農林漁業,2,1,-,-,1,-,-,-,-,1,-,-
職業別農林漁業,100.0,50.0,-,-,50.0,-,-,-,-,50.0,-,-
職業別商工・サービス業,37,10,6,4,4,2,1,2,1,2,17,2
職業別商工・サービス業,100.0,27.0,16.2,10.8,10.8,5.4,2.7,5.4,2.7,5.4,45.9,5.4
職業別その他自由業,53,16,12,10,1,7,3,3,10,1,18,2
職業別その他自由業,100.0,30.2,22.6,18.9,1.9,13.2,5.7,5.7,18.9,1.9,34.0,3.8
職業別お勤め（計）,452,114,91,124,42,36,28,37,58,10,95,11
職業別お勤め（計）,100.0,25.2,20.1,27.4,9.3,8.0,6.2,8.2,12.8,2.2,21.0,2.4
職業別経営・管理職,69,16,7,15,3,4,5,6,13,1,20,3
職業別経営・管理職,100.0,23.2,10.1,21.7,4.3,5.8,7.2,8.7,18.8,1.4,29.0,4.3
職業別専門職・技術職,142,38,43,45,18,12,7,10,17,2,17,2
職業別専門職・技術職,100.0,26.8,30.3,31.7,12.7,8.5,4.9,7.0,12.0,1.4,12.0,1.4
職業別事務職,124,33,23,35,12,11,6,6,15,3,26,3
職業別事務職,100.0,26.6,18.5,28.2,9.7,8.9,4.8,4.8,12.1,2.4,21.0,2.4
職業別労務職・技能職,38,12,5,6,5,-,3,4,6,1,12,-
職業別労務職・技能職,100.0,31.6,13.2,15.8,13.2,-,7.9,10.5,15.8,2.6,31.6,-
職業別販売・サービス職,79,15,13,23,4,9,7,11,7,3,20,3
職業別販売・サービス職,100.0,19.0,16.5,29.1,5.1,11.4,8.9,13.9,8.9,3.8,25.3,3.8
職業別その他（計）,447,56,50,129,24,21,6,16,38,4,163,28
職業別その他（計）,100.0,12.5,11.2,28.9,5.4,4.7,1.3,3.6,8.5,0.9,36.5,6.3
職業別学生,11,4,1,5,2,-,1,1,1,-,-,1
職業別学生,100.0,36.4,9.1,45.5,18.2,-,9.1,9.1,9.1,-,-,9.1
職業別専業主婦（夫）,221,31,24,75,13,11,3,7,20,1,72,8
職業別専業主婦（夫）,100.0,14.0,10.9,33.9,5.9,5.0,1.4,3.2,9.0,0.5,32.6,3.6
職業別その他,35,6,9,8,6,1,1,4,3,2,11,-
職業別その他,100.0,17.1,25.7,22.9,17.1,2.9,2.9,11.4,8.6,5.7,31.4,-
職業別無職（年金受給者含む）,180,15,16,41,3,9,1,4,14,1,80,19
職業別無職（年金受給者含む）,100.0,8.3,8.9,22.8,1.7,5.0,0.6,2.2,7.8,0.6,44.4,10.6
投票所までの時間別５分以内,388,94,73,98,22,25,12,24,39,7,106,22
投票所までの時間別５分以内,100.0,24.2,18.8,25.3,5.7,6.4,3.1,6.2,10.1,1.8,27.3,5.7
投票所までの時間別10分以内,467,84,64,125,36,34,22,27,54,10,146,13
投票所までの時間別10分以内,100.0,18.0,13.7,26.8,7.7,7.3,4.7,5.8,11.6,2.1,31.3,2.8
投票所までの時間別20分以内,101,7,13,34,6,6,3,3,8,-,37,6
投票所までの時間別20分以内,100.0,6.9,12.9,33.7,5.9,5.9,3.0,3.0,7.9,-,36.6,5.9
投票所までの時間別30分以内,19,7,5,3,7,-,-,4,4,-,3,1
投票所までの時間別30分以内,100.0,36.8,26.3,15.8,36.8,-,-,21.1,21.1,-,15.8,5.3
投票所までの時間別30分を超える,19,5,5,9,1,1,1,-,2,1,1,1
投票所までの時間別30分を超える,100.0,26.3,26.3,47.4,5.3,5.3,5.3,-,10.5,5.3,5.3,5.3
地域別区部（計）,730,164,124,97,60,62,35,54,97,17,261,39
地域別区部（計）,100.0,22.5,17.0,13.3,8.2,8.5,4.8,7.4,13.3,2.3,35.8,5.3
地域別センターコア,216,58,51,31,21,5,16,15,29,7,69,7
地域別センターコア,100.0,26.9,23.6,14.4,9.7,2.3,7.4,6.9,13.4,3.2,31.9,3.2
地域別区部東部・北部エリア,200,36,34,44,21,17,7,15,29,5,72,5
地域別区部東部・北部エリア,100.0,18.0,17.0,22.0,10.5,8.5,3.5,7.5,14.5,2.5,36.0,2.5
地域別区部西部・南部エリア,314,70,39,22,18,40,12,24,39,5,120,27
地域別区部西部・南部エリア,100.0,22.3,12.4,7.0,5.7,12.7,3.8,7.6,12.4,1.6,38.2,8.6
地域別市郡部（計）,269,33,36,174,12,4,3,4,10,1,35,4
地域別市郡部（計）,100.0,12.3,13.4,64.7,4.5,1.5,1.1,1.5,3.7,0.4,13.0,1.5
地域別多摩東部エリア,89,12,11,61,4,-,-,1,1,-,8,1
地域別多摩東部エリア,100.0,13.5,12.4,68.5,4.5,-,-,1.1,1.1,-,9.0,1.1
地域別多摩中央部北エリア,40,4,6,21,2,2,1,1,4,-,12,-
地域別多摩中央部北エリア,100.0,10.0,15.0,52.5,5.0,5.0,2.5,2.5,10.0,-,30.0,-
地域別多摩中央部南エリア,129,16,18,82,6,2,2,2,5,1,15,3
地域別多摩中央部南エリア,100.0,12.4,14.0,63.6,4.7,1.6,1.6,1.6,3.9,0.8,11.6,2.3
地域別多摩西部エリア,11,1,1,10,-,-,-,-,-,-,-,-
地域別多摩西部エリア,100.0,9.1,9.1,90.9,-,-,-,-,-,-,-,-
選挙への関心度別関心があった（計）,853,181,145,235,66,55,34,50,99,15,232,34
選挙への関心度別関心があった（計）,100.0,21.2,17.0,27.5,7.7,6.4,4.0,5.9,11.6,1.8,27.2,4.0
選挙への関心度別関心があった,530,111,86,156,44,29,20,31,61,12,146,17
選挙への関心度別関心があった,100.0,20.9,16.2,29.4,8.3,5.5,3.8,5.8,11.5,2.3,27.5,3.2
選挙への関心度別やや関心があった,323,70,59,79,22,26,14,19,38,3,86,17
選挙への関心度別やや関心があった,100.0,21.7,18.3,24.5,6.8,8.0,4.3,5.9,11.8,0.9,26.6,5.3
選挙への関心度別関心がなかった（計）,70,7,5,21,2,6,-,6,4,2,29,4
選挙への関心度別関心がなかった（計）,100.0,10.0,7.1,30.0,2.9,8.6,-,8.6,5.7,2.9,41.4,5.7
選挙への関心度別あまり関心がなかった,59,7,4,18,1,5,-,6,4,1,21,4
選挙への関心度別あまり関心がなかった,100.0,11.9,6.8,30.5,1.7,8.5,-,10.2,6.8,1.7,35.6,6.8
選挙への関心度別関心がなかった,11,-,1,3,1,1,-,-,-,1,8,-
選挙への関心度別関心がなかった,100.0,-,9.1,27.3,9.1,9.1,-,-,-,9.1,72.7,-
選挙への関心度別どちらともいえない,76,9,10,15,4,5,4,2,4,1,35,5
選挙への関心度別どちらともいえない,100.0,11.8,13.2,19.7,5.3,6.6,5.3,2.6,5.3,1.3,46.1,6.6
選挙への関心度別わからない、答えたくない,-,-,-,-,-,-,-,-,-,-,-,-
選挙への関心度別わからない、答えたくない,-,-,-,-,-,-,-,-,-,-,-,-
投票への意識別必ず投票するべき,541,92,85,173,42,26,17,27,58,12,153,20
投票への意識別必ず投票するべき,100.0,17.0,15.7,32.0,7.8,4.8,3.1,5.0,10.7,2.2,28.3,3.7
投票への意識別可能な限り投票するべき,396,91,64,87,27,34,19,28,42,4,118,18
投票への意識別可能な限り投票するべき,100.0,23.0,16.2,22.0,6.8,8.6,4.8,7.1,10.6,1.0,29.8,4.5
投票への意識別投票するのもしないのも自由,56,12,10,10,3,6,2,2,7,1,23,4
投票への意識別投票するのもしないのも自由,100.0,21.4,17.9,17.9,5.4,10.7,3.6,3.6,12.5,1.8,41.1,7.1
投票への意識別その他,-,-,-,-,-,-,-,-,-,-,-,-
投票への意識別その他,-,-,-,-,-,-,-,-,-,-,-,-
投票への意識別わからない,3,1,1,-,-,-,-,1,-,1,1,1
投票への意識別わからない,100.0,33.3,33.3,-,-,-,-,33.3,-,33.3,33.3,33.3
投票への参加状況別投票した（計）,999,197,160,271,72,66,38,58,107,18,296,43
投票への参加状況別投票した（計）,100.0,19.7,16.0,27.1,7.2,6.6,3.8,5.8,10.7,1.8,29.6,4.3
投票への参加状況別投票日（２月９日）に投票した,827,166,123,219,59,54,27,44,83,12,256,38
投票への参加状況別投票日（２月１０日）に投票した,100.0,20.1,14.9,26.5,7.1,6.5,3.3,5.3,10.0,1.5,31.0,4.6
投票への参加状況別期日前投票（又は不在者投票等）をした,172,31,37,52,13,12,11,14,24,6,40,5
投票への参加状況別期日前投票（又は不在者投票等）をした,100.0,18.0,21.5,30.2,7.6,7.0,6.4,8.1,14.0,3.5,23.3,2.9
投票への参加状況別投票しなかった,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別投票しなかった,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別答えたくない,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別答えたくない,-,-,-,-,-,-,-,-,-,-,-,-
ネット投票の認知度別知っている,733,169,140,211,63,51,35,53,85,16,178,19
ネット投票の認知度別知っている,100.0,23.1,19.1,28.8,8.6,7.0,4.8,7.2,11.6,2.2,24.3,2.6
ネット投票の認知度別知らなかった,242,28,20,56,9,15,3,5,21,2,110,13
ネット投票の認知度別知らなかった,100.0,11.6,8.3,23.1,3.7,6.2,1.2,2.1,8.7,0.8,45.5,5.4
インターネットの利用有無別インターネットを利用している,543,177,146,159,61,48,31,46,73,10,76,13
インターネットの利用有無別インターネットを利用している,100.0,32.6,26.9,29.3,11.2,8.8,5.7,8.5,13.4,1.8,14.0,2.4
インターネットの利用有無別インターネットを利用していない,454,20,14,112,11,18,7,12,34,8,218,30
インターネットの利用有無別インターネットを利用していない,100.0,4.4,3.1,24.7,2.4,4.0,1.5,2.6,7.5,1.8,48.0,6.6
新聞の定期購読別定期購読している,741,123,100,212,52,36,25,40,73,12,236,32
新聞の定期購読別定期購読している,100.0,16.6,13.5,28.6,7.0,4.9,3.4,5.4,9.9,1.6,31.8,4.3
新聞の定期購読別定期購読していない,254,74,60,57,20,30,13,18,34,6,58,11
新聞の定期購読別定期購読していない,100.0,29.1,23.6,22.4,7.9,11.8,5.1,7.1,13.4,2.4,22.8,4.3
