,調査数,テレビ・ラジオの選挙報道,新聞・雑誌などの選挙報道,選挙公報,投票所入場（整理）券,候補者の新聞広告,候補者等のポスター,候補者等の街頭演説,候補者の個人演説会,候補者のはがき・ビラ,候補者等のホームページやＳＮＳ（ツイッターやフェイスブック等,政党、候補者の後援会などからの推薦,ＴＶ・ラジオ・街頭・コンビニレジ・駅構内ビジョンによるＣＭ放映,東京都選挙管理委員会が作成した選挙広報用のポスター,選挙広報用の新聞広告,庁舎や公園などの懸垂幕・横断幕・のぼり旗,都知事選メッセージバスキャンペーン
性／年齢別男性70歳代,100.0,80.5,68.6,49.2,9.3,10.2,33.1,11.0,1.7,7.6,0.8,3.4,5.1,5.1,9.3,0.8,-
性／年齢別男性80歳以上,39,33,29,17,6,2,13,4,-,1,-,2,1,2,3,-,1
性／年齢別男性80歳以上,100.0,84.6,74.4,43.6,15.4,5.1,33.3,10.3,-,2.6,-,5.1,2.6,5.1,7.7,-,2.6
性／年齢別女性20歳代,152,114,35,16,12,5,46,18,-,1,7,-,13,7,4,1,3
性／年齢別女性20歳代,100.0,75.0,23.0,10.5,7.9,3.3,30.3,11.8,-,0.7,4.6,-,8.6,4.6,2.6,0.7,2.0
性／年齢別女性30歳代,202,168,79,61,26,11,79,28,3,10,16,2,17,8,8,3,1
性／年齢別女性30歳代,100.0,83.2,39.1,30.2,12.9,5.4,39.1,13.9,1.5,5.0,7.9,1.0,8.4,4.0,4.0,1.5,0.5
性／年齢別女性40歳代,222,191,127,93,28,20,90,38,6,16,8,1,16,17,15,11,1
性／年齢別女性40歳代,100.0,86.0,57.2,41.9,12.6,9.0,40.5,17.1,2.7,7.2,3.6,0.5,7.2,7.7,6.8,5.0,0.5
性／年齢別女性50歳代,145,124,88,76,25,24,67,25,2,9,5,3,11,9,11,3,2
性／年齢別女性50歳代,100.0,85.5,60.7,52.4,17.2,16.6,46.2,17.2,1.4,6.2,3.4,2.1,7.6,6.2,7.6,2.1,1.4
性／年齢別女性60歳代,158,138,105,78,19,22,70,22,8,13,3,3,10,8,18,3,1
性／年齢別女性60歳代,100.0,87.3,66.5,49.4,12.0,13.9,44.3,13.9,5.1,8.2,1.9,1.9,6.3,5.1,11.4,1.9,0.6
性／年齢別女性70歳代,114,92,74,54,12,5,46,15,3,5,1,3,6,2,10,2,1
性／年齢別女性70歳代,100.0,80.7,64.9,47.4,10.5,4.4,40.4,13.2,2.6,4.4,0.9,2.6,5.3,1.8,8.8,1.8,0.9
性／年齢別女性80歳以上,51,42,26,17,2,3,6,1,-,3,-,-,-,-,1,-,-
性／年齢別女性80歳以上,100.0,82.4,51.0,33.3,3.9,5.9,11.8,2.0,-,5.9,-,-,-,-,2.0,-,-
未・既婚別未婚（死別・離別を含む）,801,615,299,203,75,50,259,110,14,25,41,12,49,34,37,16,9
未・既婚別未婚（死別・離別を含む）,100.0,76.8,37.3,25.3,9.4,6.2,32.3,13.7,1.7,3.1,5.1,1.5,6.1,4.2,4.6,2.0,1.1
未・既婚別既婚,1188,1034,763,568,156,129,495,162,28,80,42,24,91,70,97,22,8
未・既婚別既婚,100.0,87.0,64.2,47.8,13.1,10.9,41.7,13.6,2.4,6.7,3.5,2.0,7.7,5.9,8.2,1.9,0.7
子供の有無別子供はいない,779,606,294,183,73,47,260,119,13,22,45,12,61,36,32,17,7
子供の有無別子供はいない,100.0,77.8,37.7,23.5,9.4,6.0,33.4,15.3,1.7,2.8,5.8,1.5,7.8,4.6,4.1,2.2,0.9
子供の有無別未就学（～６歳）,155,132,73,53,15,11,59,23,4,8,13,2,14,10,9,3,-
子供の有無別未就学（～６歳）,100.0,85.2,47.1,34.2,9.7,7.1,38.1,14.8,2.6,5.2,8.4,1.3,9.0,6.5,5.8,1.9,-
子供の有無別小・中・高校生,320,283,210,156,53,35,145,50,6,24,13,5,26,21,26,6,3
子供の有無別小・中・高校生,100.0,88.4,65.6,48.8,16.6,10.9,45.3,15.6,1.9,7.5,4.1,1.6,8.1,6.6,8.1,1.9,0.9
子供の有無別大学生・大学院生・短大生・専門学校生,92,76,63,49,11,10,39,8,-,6,3,1,7,7,7,1,1
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,82.6,68.5,53.3,12.0,10.9,42.4,8.7,-,6.5,3.3,1.1,7.6,7.6,7.6,1.1,1.1
子供の有無別学校教育終了,671,582,457,357,91,85,277,79,20,51,13,17,40,38,67,12,8
子供の有無別学校教育終了,100.0,86.7,68.1,53.2,13.6,12.7,41.3,11.8,3.0,7.6,1.9,2.5,6.0,5.7,10.0,1.8,1.2
子供の有無別その他,11,7,3,3,2,2,4,1,-,-,1,-,2,-,-,-,-
子供の有無別その他,100.0,63.6,27.3,27.3,18.2,18.2,36.4,9.1,-,-,9.1,-,18.2,-,-,-,-
職業別自営業（計）,174,132,85,58,15,22,72,31,7,5,14,9,16,13,16,4,-
職業別自営業（計）,100.0,75.9,48.9,33.3,8.6,12.6,41.4,17.8,4.0,2.9,8.0,5.2,9.2,7.5,9.2,2.3,-
職業別農林漁業,2,2,2,-,1,1,2,1,-,-,-,-,-,-,-,-,-
職業別農林漁業,100.0,100.0,100.0,-,50.0,50.0,100.0,50.0,-,-,-,-,-,-,-,-,-
職業別商工・サービス業,71,51,36,26,3,6,31,10,3,1,3,4,8,7,9,-,-
職業別商工・サービス業,100.0,71.8,50.7,36.6,4.2,8.5,43.7,14.1,4.2,1.4,4.2,5.6,11.3,9.9,12.7,-,-
職業別その他自由業,101,79,47,32,11,15,39,20,4,4,11,5,8,6,7,4,-
職業別その他自由業,100.0,78.2,46.5,31.7,10.9,14.9,38.6,19.8,4.0,4.0,10.9,5.0,7.9,5.9,6.9,4.0,-
職業別お勤め（計）,981,815,472,344,124,81,361,136,17,37,50,13,72,54,59,17,10
職業別お勤め（計）,100.0,83.1,48.1,35.1,12.6,8.3,36.8,13.9,1.7,3.8,5.1,1.3,7.3,5.5,6.0,1.7,1.0
職業別経営・管理職,109,91,74,58,20,21,44,12,3,8,7,3,9,7,18,-,2
職業別経営・管理職,100.0,83.5,67.9,53.2,18.3,19.3,40.4,11.0,2.8,7.3,6.4,2.8,8.3,6.4,16.5,-,1.8
職業別専門職・技術職,261,222,143,104,38,25,103,42,9,14,15,5,19,21,14,5,2
職業別専門職・技術職,100.0,85.1,54.8,39.8,14.6,9.6,39.5,16.1,3.4,5.4,5.7,1.9,7.3,8.0,5.4,1.9,0.8
職業別事務職,305,257,134,109,48,23,126,47,2,9,16,3,21,13,18,7,4
職業別事務職,100.0,84.3,43.9,35.7,15.7,7.5,41.3,15.4,0.7,3.0,5.2,1.0,6.9,4.3,5.9,2.3,1.3
職業別労務職・技能職,89,73,37,29,8,4,30,8,-,2,4,-,9,8,4,1,1
職業別労務職・技能職,100.0,82.0,41.6,32.6,9.0,4.5,33.7,9.0,-,2.2,4.5,-,10.1,9.0,4.5,1.1,1.1
職業別販売・サービス職,217,172,84,44,10,8,58,27,3,4,8,2,14,5,5,4,1
職業別販売・サービス職,100.0,79.3,38.7,20.3,4.6,3.7,26.7,12.4,1.4,1.8,3.7,0.9,6.5,2.3,2.3,1.8,0.5
職業別その他（計）,841,706,509,369,91,77,323,105,18,63,18,14,52,37,59,17,7
職業別その他（計）,100.0,83.9,60.5,43.9,10.8,9.2,38.4,12.5,2.1,7.5,2.1,1.7,6.2,4.4,7.0,2.0,0.8
職業別学生,53,38,14,5,5,6,19,9,1,1,3,1,7,4,2,2,1
職業別学生,100.0,71.7,26.4,9.4,9.4,11.3,35.8,17.0,1.9,1.9,5.7,1.9,13.2,7.5,3.8,3.8,1.9
職業別専業主婦（夫）,391,348,259,192,46,32,161,59,7,34,7,5,25,16,28,4,3
職業別専業主婦（夫）,100.0,89.0,66.2,49.1,11.8,8.2,41.2,15.1,1.8,8.7,1.8,1.3,6.4,4.1,7.2,1.0,0.8
職業別その他,62,50,24,25,8,4,26,8,1,6,4,1,6,5,3,3,1
職業別その他,100.0,80.6,38.7,40.3,12.9,6.5,41.9,12.9,1.6,9.7,6.5,1.6,9.7,8.1,4.8,4.8,1.6
職業別無職（年金受給者含む）,335,270,212,147,32,35,117,29,9,22,4,7,14,12,26,8,2
職業別無職（年金受給者含む）,100.0,80.6,63.3,43.9,9.6,10.4,34.9,8.7,2.7,6.6,1.2,2.1,4.2,3.6,7.8,2.4,0.6
投票所までの時間別５分以内,636,491,357,257,72,71,279,102,16,37,44,13,48,39,48,19,9
投票所までの時間別５分以内,100.0,77.2,56.1,40.4,11.3,11.2,43.9,16.0,2.5,5.8,6.9,2.0,7.5,6.1,7.5,3.0,1.4
投票所までの時間別10分以内,1060,911,538,412,131,88,381,138,18,53,33,16,68,37,62,12,7
投票所までの時間別10分以内,100.0,85.9,50.8,38.9,12.4,8.3,35.9,13.0,1.7,5.0,3.1,1.5,6.4,3.5,5.8,1.1,0.7
投票所までの時間別20分以内,221,185,132,76,20,15,64,22,5,8,5,6,15,14,16,6,-
投票所までの時間別20分以内,100.0,83.7,59.7,34.4,9.0,6.8,29.0,10.0,2.3,3.6,2.3,2.7,6.8,6.3,7.2,2.7,-
投票所までの時間別30分以内,50,43,24,15,1,4,18,7,3,5,-,-,4,5,4,-,1
投票所までの時間別30分以内,100.0,86.0,48.0,30.0,2.0,8.0,36.0,14.0,6.0,10.0,-,-,8.0,10.0,8.0,-,2.0
投票所までの時間別30分を超える,26,23,19,13,7,3,14,3,-,2,1,1,4,9,4,1,-
投票所までの時間別30分を超える,100.0,88.5,73.1,50.0,26.9,11.5,53.8,11.5,-,7.7,3.8,3.8,15.4,34.6,15.4,3.8,-
地域別区部（計）,1392,1107,662,460,139,139,484,169,34,56,66,23,108,77,99,35,16
地域別区部（計）,100.0,79.5,47.6,33.0,10.0,10.0,34.8,12.1,2.4,4.0,4.7,1.7,7.8,5.5,7.1,2.5,1.1
地域別センターコア,372,323,206,154,68,60,183,52,8,16,22,7,38,27,35,10,6
地域別センターコア,100.0,86.8,55.4,41.4,18.3,16.1,49.2,14.0,2.2,4.3,5.9,1.9,10.2,7.3,9.4,2.7,1.6
地域別区部東部・北部エリア,408,323,182,131,28,28,141,55,6,19,19,5,34,29,21,13,6
地域別区部東部・北部エリア,100.0,79.2,44.6,32.1,6.9,6.9,34.6,13.5,1.5,4.7,4.7,1.2,8.3,7.1,5.1,3.2,1.5
地域別区部西部・南部エリア,612,461,274,175,43,51,160,62,20,21,25,11,36,21,43,12,4
地域別区部西部・南部エリア,100.0,75.3,44.8,28.6,7.0,8.3,26.1,10.1,3.3,3.4,4.1,1.8,5.9,3.4,7.0,2.0,0.7
地域別市郡部（計）,619,555,411,314,92,42,273,104,8,49,17,13,32,27,35,3,1
地域別市郡部（計）,100.0,89.7,66.4,50.7,14.9,6.8,44.1,16.8,1.3,7.9,2.7,2.1,5.2,4.4,5.7,0.5,0.2
地域別多摩東部エリア,235,213,153,141,25,4,115,68,5,29,5,2,6,2,5,-,-
地域別多摩東部エリア,100.0,90.6,65.1,60.0,10.6,1.7,48.9,28.9,2.1,12.3,2.1,0.9,2.6,0.9,2.1,-,-
地域別多摩中央部北エリア,88,76,52,35,14,10,41,-,-,5,-,5,6,3,10,1,1
地域別多摩中央部北エリア,100.0,86.4,59.1,39.8,15.9,11.4,46.6,-,-,5.7,-,5.7,6.8,3.4,11.4,1.1,1.1
地域別多摩中央部南エリア,261,231,179,111,53,28,101,34,2,11,11,6,20,22,20,2,-
地域別多摩中央部南エリア,100.0,88.5,68.6,42.5,20.3,10.7,38.7,13.0,0.8,4.2,4.2,2.3,7.7,8.4,7.7,0.8,-
地域別多摩西部エリア,35,35,27,27,-,-,16,2,1,4,1,-,-,-,-,-,-
地域別多摩西部エリア,100.0,100.0,77.1,77.1,-,-,45.7,5.7,2.9,11.4,2.9,-,-,-,-,-,-
選挙への関心度別関心があった（計）,1170,1048,814,631,180,152,548,187,38,88,68,29,92,79,111,28,10
選挙への関心度別関心があった（計）,100.0,89.6,69.6,53.9,15.4,13.0,46.8,16.0,3.2,7.5,5.8,2.5,7.9,6.8,9.5,2.4,0.9
選挙への関心度別関心があった,636,571,471,382,108,100,318,110,25,56,41,16,55,49,72,16,6
選挙への関心度別関心があった,100.0,89.8,74.1,60.1,17.0,15.7,50.0,17.3,3.9,8.8,6.4,2.5,8.6,7.7,11.3,2.5,0.9
選挙への関心度別やや関心があった,534,477,343,249,72,52,230,77,13,32,27,13,37,30,39,12,4
選挙への関心度別やや関心があった,100.0,89.3,64.2,46.6,13.5,9.7,43.1,14.4,2.4,6.0,5.1,2.4,6.9,5.6,7.3,2.2,0.7
選挙への関心度別関心がなかった（計）,533,377,130,88,28,14,126,56,1,5,8,4,24,9,7,8,4
選挙への関心度別関心がなかった（計）,100.0,70.7,24.4,16.5,5.3,2.6,23.6,10.5,0.2,0.9,1.5,0.8,4.5,1.7,1.3,1.5,0.8
選挙への関心度別あまり関心がなかった,316,236,90,61,22,10,82,36,-,2,5,3,16,5,5,4,3
選挙への関心度別あまり関心がなかった,100.0,74.7,28.5,19.3,7.0,3.2,25.9,11.4,-,0.6,1.6,0.9,5.1,1.6,1.6,1.3,0.9
選挙への関心度別関心がなかった,217,141,40,27,6,4,44,20,1,3,3,1,8,4,2,4,1
選挙への関心度別関心がなかった,100.0,65.0,18.4,12.4,2.8,1.8,20.3,9.2,0.5,1.4,1.4,0.5,3.7,1.8,0.9,1.8,0.5
選挙への関心度別どちらともいえない,298,237,129,55,23,15,82,29,3,12,7,3,24,16,16,2,3
選挙への関心度別どちらともいえない,100.0,79.5,43.3,18.5,7.7,5.0,27.5,9.7,1.0,4.0,2.3,1.0,8.1,5.4,5.4,0.7,1.0
選挙への関心度別わからない、答えたくない,10,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-
選挙への関心度別わからない、答えたくない,100.0,-,-,-,-,-,10.0,10.0,-,-,-,-,-,-,-,-,-
投票への意識別必ず投票するべき,609,544,453,392,110,96,312,113,21,60,25,17,39,42,70,16,7
投票への意識別必ず投票するべき,100.0,89.3,74.4,64.4,18.1,15.8,51.2,18.6,3.4,9.9,4.1,2.8,6.4,6.9,11.5,2.6,1.1
投票への意識別可能な限り投票するべき,845,744,470,306,98,77,328,101,17,35,46,17,70,48,53,18,8
投票への意識別可能な限り投票するべき,100.0,88.0,55.6,36.2,11.6,9.1,38.8,12.0,2.0,4.1,5.4,2.0,8.3,5.7,6.3,2.1,0.9
投票への意識別投票するのもしないのも自由,473,334,144,70,21,7,105,49,4,10,9,1,28,13,10,4,2
投票への意識別投票するのもしないのも自由,100.0,70.6,30.4,14.8,4.4,1.5,22.2,10.4,0.8,2.1,1.9,0.2,5.9,2.7,2.1,0.8,0.4
投票への意識別その他,8,6,-,-,-,-,2,1,-,-,-,-,-,-,-,-,-
投票への意識別その他,100.0,75.0,-,-,-,-,25.0,12.5,-,-,-,-,-,-,-,-,-
投票への意識別わからない,62,27,4,5,2,-,10,8,-,-,2,1,2,1,1,-,-
投票への意識別わからない,100.0,43.5,6.5,8.1,3.2,-,16.1,12.9,-,-,3.2,1.6,3.2,1.6,1.6,-,-
投票への参加状況別投票した（計）,999,875,701,550,173,144,479,166,33,75,67,25,79,73,112,29,10
投票への参加状況別投票した（計）,100.0,87.6,70.2,55.1,17.3,14.4,47.9,16.6,3.3,7.5,6.7,2.5,7.9,7.3,11.2,2.9,1.0
投票への参加状況別投票日（２月９日）に投票した,827,723,583,449,151,116,393,124,29,57,51,22,59,59,94,21,7
投票への参加状況別投票日（２月１０日）に投票した,100.0,87.4,70.5,54.3,18.3,14.0,47.5,15.0,3.5,6.9,6.2,2.7,7.1,7.1,11.4,2.5,0.8
投票への参加状況別期日前投票（又は不在者投票等）をした,172,152,118,101,22,28,86,42,4,18,16,3,20,14,18,8,3
投票への参加状況別期日前投票（又は不在者投票等）をした,100.0,88.4,68.6,58.7,12.8,16.3,50.0,24.4,2.3,10.5,9.3,1.7,11.6,8.1,10.5,4.7,1.7
投票への参加状況別投票しなかった,963,764,362,214,55,36,269,102,7,28,15,10,58,29,21,9,7
投票への参加状況別投票しなかった,100.0,79.3,37.6,22.2,5.7,3.7,27.9,10.6,0.7,2.9,1.6,1.0,6.0,3.0,2.2,0.9,0.7
投票への参加状況別答えたくない,42,20,8,8,2,1,8,3,1,-,1,-,2,1,1,-,-
投票への参加状況別答えたくない,100.0,47.6,19.0,19.0,4.8,2.4,19.0,7.1,2.4,-,2.4,-,4.8,2.4,2.4,-,-
ネット投票の認知度別知っている,1291,1125,774,586,179,140,544,197,29,82,76,26,103,72,94,22,14
ネット投票の認知度別知っている,100.0,87.1,60.0,45.4,13.9,10.8,42.1,15.3,2.2,6.4,5.9,2.0,8.0,5.6,7.3,1.7,1.1
ネット投票の認知度別知らなかった,645,482,262,172,49,36,199,72,9,21,7,9,34,30,35,15,3
ネット投票の認知度別知らなかった,100.0,74.7,40.6,26.7,7.6,5.6,30.9,11.2,1.4,3.3,1.1,1.4,5.3,4.7,5.4,2.3,0.5
インターネットの利用有無別インターネットを利用している,1176,984,577,429,159,105,474,188,20,62,82,19,97,71,74,23,12
インターネットの利用有無別インターネットを利用している,100.0,83.7,49.1,36.5,13.5,8.9,40.3,16.0,1.7,5.3,7.0,1.6,8.2,6.0,6.3,2.0,1.0
インターネットの利用有無別インターネットを利用していない,832,675,495,345,72,76,282,84,22,43,1,17,43,33,60,15,5
インターネットの利用有無別インターネットを利用していない,100.0,81.1,59.5,41.5,8.7,9.1,33.9,10.1,2.6,5.2,0.1,2.0,5.2,4.0,7.2,1.8,0.6
新聞の定期購読別定期購読している,1206,1063,895,599,169,158,510,166,34,77,34,34,83,69,117,20,11
新聞の定期購読別定期購読している,100.0,88.1,74.2,49.7,14.0,13.1,42.3,13.8,2.8,6.4,2.8,2.8,6.9,5.7,9.7,1.7,0.9
新聞の定期購読別定期購読していない,796,592,172,172,60,22,244,106,8,28,49,2,56,34,17,18,6
新聞の定期購読別定期購読していない,100.0,74.4,21.6,21.6,7.5,2.8,30.7,13.3,1.0,3.5,6.2,0.3,7.0,4.3,2.1,2.3,0.8
