,参議院議員選挙／調査数,参議院議員選挙／各戸配布（新聞折込以外）,参議院議員選挙／新聞折込で配布,参議院議員選挙／区市町村からの郵送,参議院議員選挙／公共施設等に置いてあった,参議院議員選挙／都及び区市町村・総務省のホームページ,参議院議員選挙／わからない、忘れた,東京都知事選挙／調査数,東京都知事選挙／各戸配布（新聞折込以外）,東京都知事選挙／新聞折込で配布,東京都知事選挙／区市町村からの郵送,東京都知事選挙／公共施設等に置いてあった,東京都知事選挙／都及び区市町村のホームページ,東京都知事選挙／わからない、忘れた
未・既婚別既婚（死別・離別を含む）,1067,553,554,23,118,20,41,1086,572,559,24,119,27,44
未・既婚別既婚（死別・離別を含む）,100.0,51.8,51.9,2.2,11.1,1.9,3.8,100.0,52.7,51.5,2.2,11.0,2.5,4.1
子供の有無別子供はいない,187,101,73,3,23,4,6,196,106,76,5,24,6,7
子供の有無別子供はいない,100.0,54.0,39.0,1.6,12.3,2.1,3.2,100.0,54.1,38.8,2.6,12.2,3.1,3.6
子供の有無別未就学（～６歳）,75,38,38,1,10,4,1,76,41,36,-,10,5,1
子供の有無別未就学（～６歳）,100.0,50.7,50.7,1.3,13.3,5.3,1.3,100.0,53.9,47.4,-,13.2,6.6,1.3
子供の有無別小・中・高校生,273,143,147,5,34,8,13,275,144,147,8,32,10,15
子供の有無別小・中・高校生,100.0,52.4,53.8,1.8,12.5,2.9,4.8,100.0,52.4,53.5,2.9,11.6,3.6,5.5
子供の有無別大学生・大学院生・短大生・専門学校生,113,55,63,4,13,1,6,114,57,63,3,15,2,5
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,48.7,55.8,3.5,11.5,0.9,5.3,100.0,50.0,55.3,2.6,13.2,1.8,4.4
子供の有無別学校教育終了,575,277,307,13,62,5,21,586,286,310,12,64,8,23
子供の有無別学校教育終了,100.0,48.2,53.4,2.3,10.8,0.9,3.7,100.0,48.8,52.9,2.0,10.9,1.4,3.9
子供の有無別その他,44,30,20,1,3,-,1,44,33,20,1,2,-,1
子供の有無別その他,100.0,68.2,45.5,2.3,6.8,-,2.3,100.0,75.0,45.5,2.3,4.5,-,2.3
職業別自営業（計）,98,64,43,3,3,3,1,98,64,43,4,3,3,1
職業別自営業（計）,100.0,65.3,43.9,3.1,3.1,3.1,1.0,100.0,65.3,43.9,4.1,3.1,3.1,1.0
職業別農林漁業,1,1,1,-,-,-,-,1,1,1,-,-,-,-
職業別農林漁業,100.0,100.0,100.0,-,-,-,-,100.0,100.0,100.0,-,-,-,-
職業別商工・サービス業,28,17,11,-,1,-,1,27,16,10,1,1,-,1
職業別商工・サービス業,100.0,60.7,39.3,-,3.6,-,3.6,100.0,59.3,37.0,3.7,3.7,-,3.7
職業別その他自由業,69,46,31,3,2,3,-,70,47,32,3,2,3,-
職業別その他自由業,100.0,66.7,44.9,4.3,2.9,4.3,-,100.0,67.1,45.7,4.3,2.9,4.3,-
職業別お勤め（計）,507,240,271,13,72,15,20,523,255,271,14,75,22,23
職業別お勤め（計）,100.0,47.3,53.5,2.6,14.2,3.0,3.9,100.0,48.8,51.8,2.7,14.3,4.2,4.4
職業別経営・管理職,57,25,39,1,6,3,1,58,28,39,-,9,5,-
職業別経営・管理職,100.0,43.9,68.4,1.8,10.5,5.3,1.8,100.0,48.3,67.2,-,15.5,8.6,-
職業別専門職・技術職,139,66,73,5,26,4,7,140,69,73,5,25,7,6
職業別専門職・技術職,100.0,47.5,52.5,3.6,18.7,2.9,5.0,100.0,49.3,52.1,3.6,17.9,5.0,4.3
職業別事務職,131,65,65,2,21,6,2,143,71,66,4,20,7,6
職業別事務職,100.0,49.6,49.6,1.5,16.0,4.6,1.5,100.0,49.7,46.2,2.8,14.0,4.9,4.2
職業別労務職・技能職,41,20,23,1,5,-,2,41,20,23,-,5,1,2
職業別労務職・技能職,100.0,48.8,56.1,2.4,12.2,-,4.9,100.0,48.8,56.1,-,12.2,2.4,4.9
職業別販売・サービス職,139,64,71,4,14,2,8,141,67,70,5,16,2,9
職業別販売・サービス職,100.0,46.0,51.1,2.9,10.1,1.4,5.8,100.0,47.5,49.6,3.5,11.3,1.4,6.4
職業別その他（計）,603,318,297,11,63,3,25,611,325,302,11,62,5,26
職業別その他（計）,100.0,52.7,49.3,1.8,10.4,0.5,4.1,100.0,53.2,49.4,1.8,10.1,0.8,4.3
職業別生徒・学生,17,7,9,1,2,-,1,17,7,9,1,2,-,1
職業別生徒・学生,100.0,41.2,52.9,5.9,11.8,-,5.9,100.0,41.2,52.9,5.9,11.8,-,5.9
職業別専業主婦（夫）,288,149,149,5,37,1,11,296,151,154,5,37,3,12
職業別専業主婦（夫）,100.0,51.7,51.7,1.7,12.8,0.3,3.8,100.0,51.0,52.0,1.7,12.5,1.0,4.1
職業別その他,18,11,6,-,1,1,-,17,11,6,-,-,1,-
職業別その他,100.0,61.1,33.3,-,5.6,5.6,-,100.0,64.7,35.3,-,-,5.9,-
職業別無職（年金受給者含む）,280,151,133,5,23,1,13,281,156,133,5,23,1,13
職業別無職（年金受給者含む）,100.0,53.9,47.5,1.8,8.2,0.4,4.6,100.0,55.5,47.3,1.8,8.2,0.4,4.6
投票所までの時間別５分以内,310,147,171,10,30,7,13,316,156,174,9,30,12,11
投票所までの時間別５分以内,100.0,47.4,55.2,3.2,9.7,2.3,4.2,100.0,49.4,55.1,2.8,9.5,3.8,3.5
投票所までの時間別10分以内,700,375,345,13,90,12,23,716,388,347,14,93,15,28
投票所までの時間別10分以内,100.0,53.6,49.3,1.9,12.9,1.7,3.3,100.0,54.2,48.5,2.0,13.0,2.1,3.9
投票所までの時間別20分以内,183,94,89,3,17,1,7,184,93,88,5,16,2,8
投票所までの時間別20分以内,100.0,51.4,48.6,1.6,9.3,0.5,3.8,100.0,50.5,47.8,2.7,8.7,1.1,4.3
投票所までの時間別30分以内,10,4,4,1,1,-,2,11,5,5,1,1,-,2
投票所までの時間別30分以内,100.0,40.0,40.0,10.0,10.0,-,20.0,100.0,45.5,45.5,9.1,9.1,-,18.2
投票所までの時間別30分を超える,3,1,2,-,-,1,-,3,1,2,-,-,1,-
投票所までの時間別30分を超える,100.0,33.3,66.7,-,-,33.3,-,100.0,33.3,66.7,-,-,33.3,-
投票所までの時間別わからない,2,1,-,-,-,-,1,2,1,-,-,-,-,1
投票所までの時間別わからない,100.0,50.0,-,-,-,-,50.0,100.0,50.0,-,-,-,-,50.0
地域別区部（計）,881,460,442,22,120,19,38,902,477,449,23,125,27,40
地域別区部（計）,100.0,52.2,50.2,2.5,13.6,2.2,4.3,100.0,52.9,49.8,2.5,13.9,3.0,4.4
地域別センターコア,253,115,137,4,22,7,14,259,123,139,4,23,9,14
地域別センターコア,100.0,45.5,54.2,1.6,8.7,2.8,5.5,100.0,47.5,53.7,1.5,8.9,3.5,5.4
地域別区部東部・北部エリア,246,145,104,8,41,3,10,254,151,108,8,41,4,11
地域別区部東部・北部エリア,100.0,58.9,42.3,3.3,16.7,1.2,4.1,100.0,59.4,42.5,3.1,16.1,1.6,4.3
地域別区部西部・南部エリア,382,200,201,10,57,9,14,389,203,202,11,61,14,15
地域別区部西部・南部エリア,100.0,52.4,52.6,2.6,14.9,2.4,3.7,100.0,52.2,51.9,2.8,15.7,3.6,3.9
地域別市郡部（計）,327,162,169,5,18,2,8,330,167,167,6,15,3,10
地域別市郡部（計）,100.0,49.5,51.7,1.5,5.5,0.6,2.4,100.0,50.6,50.6,1.8,4.5,0.9,3.0
地域別多摩東部エリア,102,65,53,2,6,2,2,105,67,54,2,6,2,3
地域別多摩東部エリア,100.0,63.7,52.0,2.0,5.9,2.0,2.0,100.0,63.8,51.4,1.9,5.7,1.9,2.9
地域別多摩中央部北エリア,42,23,20,-,2,-,1,43,24,20,-,-,1,1
地域別多摩中央部北エリア,100.0,54.8,47.6,-,4.8,-,2.4,100.0,55.8,46.5,-,-,2.3,2.3
地域別多摩中央部南エリア,162,74,75,3,10,-,5,161,76,72,4,9,-,6
地域別多摩中央部南エリア,100.0,45.7,46.3,1.9,6.2,-,3.1,100.0,47.2,44.7,2.5,5.6,-,3.7
地域別多摩西部エリア,21,-,21,-,-,-,-,21,-,21,-,-,-,-
地域別多摩西部エリア,100.0,-,100.0,-,-,-,-,100.0,-,100.0,-,-,-,-
選挙への関心度別関心があった（計）,1017,536,525,26,122,19,24,1102,589,554,29,128,27,34
選挙への関心度別関心があった（計）,100.0,52.7,51.6,2.6,12.0,1.9,2.4,100.0,53.4,50.3,2.6,11.6,2.5,3.1
選挙への関心度別関心があった,534,288,272,12,64,8,9,633,348,311,16,76,16,13
選挙への関心度別関心があった,100.0,53.9,50.9,2.2,12.0,1.5,1.7,100.0,55.0,49.1,2.5,12.0,2.5,2.1
選挙への関心度別やや関心があった,483,248,253,14,58,11,15,469,241,243,13,52,11,21
選挙への関心度別やや関心があった,100.0,51.3,52.4,2.9,12.0,2.3,3.1,100.0,51.4,51.8,2.8,11.1,2.3,4.5
選挙への関心度別関心がなかった（計）,58,30,20,,5,1,11,41,19,16,,5,1,9
選挙への関心度別関心がなかった（計）,100.0,51.7,34.5,,8.6,1.7,19.0,100.0,46.3,39.0,,12.2,2.4,22.0
選挙への関心度別あまり関心がなかった,38,17,14,-,5,1,7,25,8,8,-,4,1,7
選挙への関心度別あまり関心がなかった,100.0,44.7,36.8,-,13.2,2.6,18.4,100.0,32.0,32.0,-,16.0,4.0,28.0
選挙への関心度別関心がなかった,20,13,6,-,-,-,4,16,11,8,-,1,-,2
選挙への関心度別関心がなかった,100.0,65.0,30.0,-,-,-,20.0,100.0,68.8,50.0,-,6.3,-,12.5
選挙への関心度別どちらともいえない,132,55,66,1,11,1,11,88,35,46,-,7,2,7
選挙への関心度別どちらともいえない,100.0,41.7,50.0,0.8,8.3,0.8,8.3,100.0,39.8,52.3,-,8.0,2.3,8.0
選挙への関心度別わからない,1,1,-,-,-,-,-,1,1,-,-,-,-,-
選挙への関心度別わからない,100.0,100.0,-,-,-,-,-,100.0,100.0,-,-,-,-,-
投票への意識別投票するべき（計）,1081,565,555,25,126,20,29,1102,584,557,26,128,28,32
投票への意識別投票するべき（計）,100.0,52.3,51.3,2.3,11.7,1.9,2.7,100.0,53.0,50.5,2.4,11.6,2.5,2.9
投票への意識別必ず投票するべき,488,272,236,12,62,10,7,509,289,243,10,70,15,8
投票への意識別必ず投票するべき,100.0,55.7,48.4,2.5,12.7,2.0,1.4,100.0,56.8,47.7,2.0,13.8,2.9,1.6
投票への意識別可能な限り投票するべき,593,293,319,13,64,10,22,593,295,314,16,58,13,24
投票への意識別可能な限り投票するべき,100.0,49.4,53.8,2.2,10.8,1.7,3.7,100.0,49.7,53.0,2.7,9.8,2.2,4.0
投票への意識別投票するのもしないのも自由,118,54,51,2,12,1,15,120,57,53,3,11,2,16
投票への意識別投票するのもしないのも自由,100.0,45.8,43.2,1.7,10.2,0.8,12.7,100.0,47.5,44.2,2.5,9.2,1.7,13.3
投票への意識別その他,1,-,1,-,-,-,-,1,-,1,-,-,-,-
投票への意識別その他,100.0,-,100.0,-,-,-,-,100.0,-,100.0,-,-,-,-
投票への意識別わからない,8,3,4,-,-,-,2,9,3,5,-,1,-,2
投票への意識別わからない,100.0,37.5,50.0,-,-,-,25.0,100.0,33.3,55.6,-,11.1,-,22.2
投票への参加状況別投票した（計）,1079,569,556,25,128,20,27,1125,596,567,29,130,29,38
投票への参加状況別投票した（計）,100.0,52.7,51.5,2.3,11.9,1.9,2.5,100.0,53.0,50.4,2.6,11.6,2.6,3.4
投票への参加状況別投票日に投票した,918,485,479,19,115,13,24,939,494,486,22,119,20,33
投票への参加状況別投票日に投票した,100.0,52.8,52.2,2.1,12.5,1.4,2.6,100.0,52.6,51.8,2.3,12.7,2.1,3.5
投票への参加状況別期日前投票（又は不在者投票等）をした,161,84,77,6,13,7,3,186,102,81,7,11,9,5
投票への参加状況別期日前投票（又は不在者投票等）をした,100.0,52.2,47.8,3.7,8.1,4.3,1.9,100.0,54.8,43.5,3.8,5.9,4.8,2.7
投票への参加状況別投票しなかった,128,53,54,2,10,1,19,106,48,48,-,10,1,12
投票への参加状況別投票しなかった,100.0,41.4,42.2,1.6,7.8,0.8,14.8,100.0,45.3,45.3,-,9.4,0.9,11.3
投票への参加状況別答えたくない,1,-,1,-,-,-,-,1,-,1,-,-,-,-
投票への参加状況別答えたくない,100.0,-,100.0,-,-,-,-,100.0,-,100.0,-,-,-,-
新聞の定期購読別定期購読している,958,464,559,15,101,11,23,974,478,563,16,106,16,28
新聞の定期購読別定期購読している,100.0,48.4,58.4,1.6,10.5,1.1,2.4,100.0,49.1,57.8,1.6,10.9,1.6,2.9
新聞の定期購読別定期購読していない,250,158,52,12,37,10,23,258,166,53,13,34,14,22
新聞の定期購読別定期購読していない,100.0,63.2,20.8,4.8,14.8,4.0,9.2,100.0,64.3,20.5,5.0,13.2,5.4,8.5
インターネットの利用有無別インターネットを利用している,680,340,328,17,85,20,27,696,354,332,15,86,29,30
インターネットの利用有無別インターネットを利用している,100.0,50.0,48.2,2.5,12.5,2.9,4.0,100.0,50.9,47.7,2.2,12.4,4.2,4.3
インターネットの利用有無別インターネットを利用していない,528,282,283,10,53,1,19,536,290,284,14,54,1,20
インターネットの利用有無別インターネットを利用していない,100.0,53.4,53.6,1.9,10.0,0.2,3.6,100.0,54.1,53.0,2.6,10.1,0.2,3.7
