,調査数,参考にした（計）,ネット上の情報が一番参考になった,参考にしたが、その他の情報の方が役にたった,ほとんど参考にしなかった,わからない,無回答
性/年齢別女性80歳以上（％）,-,-,-,-,-,-,-
未・既婚別未婚実数,105,63,31,32,35,4,3
未・既婚別未婚（％）,100.0,60.0,29.5,30.5,33.3,3.8,2.9
未・既婚別既婚（死別・離別を含む）実数,266,148,56,92,98,9,11
未・既婚別既婚（死別・離別を含む）（％）,100.0,55.6,21.1,34.6,36.8,3.4,4.1
子供の有無別子供はいない実数,160,97,51,46,51,7,5
子供の有無別子供はいない（％）,100.0,60.6,31.9,28.8,31.9,4.4,3.1
子供の有無別未就学（～６歳）実数,47,29,12,17,17,1,-
子供の有無別未就学（～６歳）（％）,100.0,61.7,25.5,36.2,36.2,2.1,-
子供の有無別小・中・高校生実数,83,47,12,35,33,1,2
子供の有無別小・中・高校生（％）,100.0,56.6,14.5,42.2,39.8,1.2,2.4
子供の有無別大学生・大学院生・短大生・専門学校生実数,25,12,4,8,12,-,1
子供の有無別大学生・大学院生・短大生・専門学校生（％）,100.0,48.0,16.0,32.0,48.0,-,4.0
子供の有無別学校教育終了実数,94,45,11,34,37,4,8
子供の有無別学校教育終了（％）,100.0,47.9,11.7,36.2,39.4,4.3,8.5
子供の有無別その他実数,-,-,-,-,-,-,-
子供の有無別その他（％）,-,-,-,-,-,-,-
職業別自営業（計）実数,29,20,13,7,9,-,-
職業別自営業（計）（％）,100.0,69.0,44.8,24.1,31.0,-,-
職業別農林漁業実数,-,-,-,-,-,-,-
職業別農林漁業（％）,-,-,-,-,-,-,-
職業別商工・サービス業実数,12,8,6,2,4,-,-
職業別商工・サービス業（％）,100.0,66.7,50.0,16.7,33.3,-,-
職業別その他自由業実数,17,12,7,5,5,-,-
職業別その他自由業（％）,100.0,70.6,41.2,29.4,29.4,-,-
職業別お勤め（計）実数,256,152,60,92,88,9,7
職業別お勤め（計）（％）,100.0,59.4,23.4,35.9,34.4,3.5,2.7
職業別経営・管理職実数,36,20,6,14,13,2,1
職業別経営・管理職（％）,100.0,55.6,16.7,38.9,36.1,5.6,2.8
職業別専門職・技術職実数,82,50,25,25,29,2,1
職業別専門職・技術職（％）,100.0,61.0,30.5,30.5,35.4,2.4,1.2
職業別事務職実数,78,49,17,32,26,1,2
職業別事務職（％）,100.0,62.8,21.8,41.0,33.3,1.3,2.6
職業別労務職・技能職実数,13,9,4,5,4,-,-
職業別労務職・技能職（％）,100.0,69.2,30.8,38.5,30.8,-,-
職業別販売・サービス職実数,47,24,8,16,16,4,3
職業別販売・サービス職（％）,100.0,51.1,17.0,34.0,34.0,8.5,6.4
職業別その他（計）実数,86,38,14,24,36,4,8
職業別その他（計）（％）,100.0,44.2,16.3,27.9,41.9,4.7,9.3
職業別生徒・学生実数,11,5,2,3,4,1,1
職業別生徒・学生（％）,100.0,45.5,18.2,27.3,36.4,9.1,9.1
職業別専業主婦（夫）実数,36,13,3,10,17,2,4
職業別専業主婦（夫）（％）,100.0,36.1,8.3,27.8,47.2,5.6,11.1
職業別その他実数,4,1,-,1,3,-,-
職業別その他（％）,100.0,25.0,-,25.0,75.0,-,-
職業別無職（年金受給者含む）実数,35,19,9,10,12,1,3
職業別無職（年金受給者含む）（％）,100.0,54.3,25.7,28.6,34.3,2.9,8.6
投票所までの時間別５分以内実数,167,100,46,54,58,4,5
投票所までの時間別５分以内（％）,100.0,59.9,27.5,32.3,34.7,2.4,3.0
投票所までの時間別10分以内実数,143,81,27,54,49,6,7
投票所までの時間別10分以内（％）,100.0,56.6,18.9,37.8,34.3,4.2,4.9
投票所までの時間別20分以内実数,59,29,14,15,24,3,3
投票所までの時間別20分以内（％）,100.0,49.2,23.7,25.4,40.7,5.1,5.1
投票所までの時間別30分以内実数,2,1,-,1,1,-,-
投票所までの時間別30分以内（％）,100.0,50.0,-,50.0,50.0,-,-
投票所までの時間別30分を超える実数,2,1,1,-,1,-,-
投票所までの時間別30分を超える（％）,100.0,50.0,50.0,-,50.0,-,-
投票所までの時間別わからない実数,-,-,-,-,-,-,-
投票所までの時間別わからない（％）,-,-,-,-,-,-,-
地域別区部（計）実数,240,135,56,79,85,10,10
地域別区部（計）（％）,100.0,56.3,23.3,32.9,35.4,4.2,4.2
地域別センターコア実数,57,36,17,19,17,1,3
地域別センターコア（％）,100.0,63.2,29.8,33.3,29.8,1.8,5.3
地域別区部東部・北部エリア実数,65,41,15,26,20,3,1
地域別区部東部・北部エリア（％）,100.0,63.1,23.1,40.0,30.8,4.6,1.5
地域別区部西部・南部エリア実数,118,58,24,34,48,6,6
地域別区部西部・南部エリア（％）,100.0,49.2,20.3,28.8,40.7,5.1,5.1
地域別市郡部（計）実数,133,77,32,45,48,3,5
地域別市郡部（計）（％）,100.0,57.9,24.1,33.8,36.1,2.3,3.8
地域別多摩東部エリア実数,57,37,16,21,16,-,4
地域別多摩東部エリア（％）,100.0,64.9,28.1,36.8,28.1,-,7.0
地域別多摩中央部北エリア実数,12,9,3,6,3,-,-
地域別多摩中央部北エリア（％）,100.0,75.0,25.0,50.0,25.0,-,-
地域別多摩中央部南エリア実数,57,30,13,17,25,2,-
地域別多摩中央部南エリア（％）,100.0,52.6,22.8,29.8,43.9,3.5,-
地域別多摩西部エリア実数,7,1,-,1,4,1,1
地域別多摩西部エリア（％）,100.0,14.3,-,14.3,57.1,14.3,14.3
選挙への関心度別関心があった（計）実数,291,179,76,103,93,9,10
選挙への関心度別関心があった（計）（％）,100.0,61.5,26.1,35.4,32.0,3.1,3.4
選挙への関心度別関心があった実数,188,123,49,74,54,7,4
選挙への関心度別関心があった（％）,100.0,65.4,26.1,39.4,28.7,3.7,2.1
選挙への関心度別やや関心があった実数,103,56,27,29,39,2,6
選挙への関心度別やや関心があった（％）,100.0,54.4,26.2,28.2,37.9,1.9,5.8
選挙への関心度別関心がなかった（計）実数,23,8,3,5,14,1,-
選挙への関心度別関心がなかった（計）（％）,100.0,34.8,13.0,21.7,60.9,4.3,-
選挙への関心度別あまり関心がなかった実数,57,25,9,16,25,3,4
選挙への関心度別あまり関心がなかった（％）,100.0,43.9,15.8,28.1,43.9,5.3,7.0
選挙への関心度別関心がなかった実数,49,20,7,13,23,3,3
選挙への関心度別関心がなかった（％）,100.0,40.8,14.3,26.5,46.9,6.1,6.1
選挙への関心度別どちらともいえない実数,8,5,2,3,2,-,1
選挙への関心度別どちらともいえない（％）,100.0,62.5,25.0,37.5,25.0,-,12.5
選挙への関心度別わからない実数,1,-,-,-,-,-,1
選挙への関心度別わからない（％）,100.0,-,-,-,-,-,100.0
投票への意識別投票するべき（計）実数,359,207,84,123,126,12,14
投票への意識別投票するべき（計）（％）,100.0,57.7,23.4,34.3,35.1,3.3,3.9
投票への意識別必ず投票するべき実数,202,125,49,76,66,4,7
投票への意識別必ず投票するべき（％）,100.0,61.9,24.3,37.6,32.7,2.0,3.5
投票への意識別可能な限り投票するべき実数,157,82,35,47,60,8,7
投票への意識別可能な限り投票するべき（％）,100.0,52.2,22.3,29.9,38.2,5.1,4.5
投票への意識別投票するのもしないのも自由実数,14,5,4,1,7,1,1
投票への意識別投票するのもしないのも自由（％）,100.0,35.7,28.6,7.1,50.0,7.1,7.1
投票への意識別その他実数,-,-,-,-,-,-,-
投票への意識別その他（％）,-,-,-,-,-,-,-
投票への意識別わからない実数,-,-,-,-,-,-,-
投票への意識別わからない（％）,-,-,-,-,-,-,-
投票への参加状況別投票した（計）実数,373,212,88,124,133,13,15
投票への参加状況別投票した（計）（％）,100.0,56.8,23.6,33.2,35.7,3.5,4.0
投票への参加状況別投票日（12月14日）に投票した実数,284,159,69,90,104,9,12
投票への参加状況別投票日（12月14日）に投票した（％）,100.0,56.0,24.3,31.7,36.6,3.2,4.2
投票への参加状況別期日前投票（又は不在者投票等）をした実数,89,53,19,34,29,4,3
投票への参加状況別期日前投票（又は不在者投票等）をした（％）,100.0,59.6,21.3,38.2,32.6,4.5,3.4
投票への参加状況別投票しなかった実数,-,-,-,-,-,-,-
投票への参加状況別投票しなかった（％）,-,-,-,-,-,-,-
投票への参加状況別答えたくない実数,-,-,-,-,-,-,-
投票への参加状況別答えたくない（％）,-,-,-,-,-,-,-
新聞の定期購読定期購読している実数,202,99,26,73,85,7,11
新聞の定期購読定期購読している（％）,100.0,49.0,12.9,36.1,42.1,3.5,5.4
新聞の定期購読定期購読していない実数,171,113,62,51,48,6,4
新聞の定期購読定期購読していない（％）,100.0,66.1,36.3,29.8,28.1,3.5,2.3
インターネットの利用有無利用している実数,335,202,87,115,114,11,8
インターネットの利用有無利用している（％）,100.0,60.3,26.0,34.3,34.0,3.3,2.4
インターネットの利用有無利用していない実数,38,10,1,9,19,2,7
インターネットの利用有無利用していない（％）,100.0,26.3,2.6,23.7,50.0,5.3,18.4
ネット選挙の認知度別知っている実数,299,181,76,105,102,8,8
ネット選挙の認知度別知っている（％）,100.0,60.5,25.4,35.1,34.1,2.7,2.7
ネット選挙の認知度別知らなかった実数,70,30,12,18,31,5,4
ネット選挙の認知度別知らなかった（％）,100.0,42.9,17.1,25.7,44.3,7.1,5.7
