,調査数,１回のみ,２～３回,４回以上,わからない,無回答
地域別区部西部・南部エリア,16,3,5,8,-,-
地域別区部西部・南部エリア,100.0,18.8,31.3,50.0,-,-
地域別市郡部（計）,10,6,1,3,-,-
地域別市郡部（計）,100.0,60.0,10.0,30.0,-,-
地域別多摩東部エリア,5,1,1,3,-,-
地域別多摩東部エリア,100.0,20.0,20.0,60.0,-,-
地域別多摩中央部北エリア,-,-,-,-,-,-
地域別多摩中央部北エリア,-,-,-,-,-,-
地域別多摩中央部南エリア,5,5,-,-,-,-
地域別多摩中央部南エリア,100.0,100.0,-,-,-,-
地域別多摩西部エリア,-,-,-,-,-,-
地域別多摩西部エリア,-,-,-,-,-,-
選挙への関心度別関心があった（計）,37,12,12,13,-,-
選挙への関心度別関心があった（計）,100.0,32.4,32.4,35.1,-,-
選挙への関心度別関心があった,25,10,9,6,-,-
選挙への関心度別関心があった,100.0,40.0,36.0,24.0,-,-
選挙への関心度別やや関心があった,12,2,3,7,-,-
選挙への関心度別やや関心があった,100.0,16.7,25.0,58.3,-,-
選挙への関心度別関心がなかった（計）,6,3,1,1,1,-
選挙への関心度別関心がなかった（計）,100.0,50.0,16.7,16.7,16.7,-
選挙への関心度別あまり関心がなかった,4,2,-,1,1,-
選挙への関心度別あまり関心がなかった,100.0,50.0,-,25.0,25.0,-
選挙への関心度別関心がなかった,2,1,1,-,-,-
選挙への関心度別関心がなかった,100.0,50.0,50.0,-,-,-
選挙への関心度別どちらともいえない,3,-,-,2,-,1
選挙への関心度別どちらともいえない,100.0,-,-,66.7,-,33.3
選挙への関心度別わからない、答えたくない,-,-,-,-,-,-
選挙への関心度別わからない、答えたくない,-,-,-,-,-,-
投票への意識別必ず投票するべき,21,8,7,6,-,-
投票への意識別必ず投票するべき,100.0,38.1,33.3,28.6,-,-
投票への意識別可能な限り投票するべき,21,6,6,7,1,1
投票への意識別可能な限り投票するべき,100.0,28.6,28.6,33.3,4.8,4.8
投票への意識別投票するのもしないのも自由,4,1,-,3,-,-
投票への意識別投票するのもしないのも自由,100.0,25.0,-,75.0,-,-
投票への意識別その他,-,-,-,-,-,-
投票への意識別その他,-,-,-,-,-,-
投票への意識別わからない,-,-,-,-,-,-
投票への意識別わからない,-,-,-,-,-,-
投票への参加状況別投票した（計）,39,9,13,16,-,1
投票への参加状況別投票した（計）,100.0,23.1,33.3,41.0,-,2.6
投票への参加状況別投票日（２月９日）に投票した,25,7,11,6,-,1
投票への参加状況別投票日（２月１０日）に投票した,100.0,28.0,44.0,24.0,-,4.0
投票への参加状況別期日前投票（又は不在者投票等）をした,14,2,2,10,-,-
投票への参加状況別期日前投票（又は不在者投票等）をした,100.0,14.3,14.3,71.4,-,-
投票への参加状況別投票しなかった,7,6,-,-,1,-
投票への参加状況別投票しなかった,100.0,85.7,-,-,14.3,-
投票への参加状況別答えたくない,-,-,-,-,-,-
投票への参加状況別答えたくない,-,-,-,-,-,-
ネット投票の認知度別知っている,41,12,12,16,1,-
ネット投票の認知度別知っている,100.0,29.3,29.3,39.0,2.4,-
ネット投票の認知度別知らなかった,5,3,1,-,-,1
ネット投票の認知度別知らなかった,100.0,60.0,20.0,-,-,20.0
インターネットの利用有無別インターネットを利用している,36,9,11,16,-,-
インターネットの利用有無別インターネットを利用している,100.0,25.0,30.6,44.4,-,-
インターネットの利用有無別インターネットを利用していない,10,6,2,-,1,1
インターネットの利用有無別インターネットを利用していない,100.0,60.0,20.0,-,10.0,10.0
新聞の定期購読別定期購読している,29,12,8,8,1,-
新聞の定期購読別定期購読している,100.0,41.4,27.6,27.6,3.4,-
新聞の定期購読別定期購読していない,17,3,5,8,-,1
新聞の定期購読別定期購読していない,100.0,17.6,29.4,47.1,-,5.9
